actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
18,PT10M29.00S,2021-10-30T23:12:49.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,3,8,2021-10-30T23:12:49Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M25.00S,2021-10-30T23:13:02.0Z,1,REGULAR,2pt,Jump Shot,[],1628984,76.5604467805519,63.970588235294116,1610612740,3,8,2021-10-30T23:13:08Z,190000,70.0,168.0,1,right,MISS D. Graham 18' pullup Shot,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,18.18,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M20.00S,2021-10-30T23:13:07.0Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,3,8,2021-10-30T23:13:08Z,200000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,19.0,,,,1.0,1.0,0.0,,,,,,
21,PT10M11.00S,2021-10-30T23:13:15.0Z,1,REGULAR,3pt,Jump Shot,[],1629628,32.013797634691194,44.85294117647059,1610612752,3,11,2021-10-30T23:13:20Z,210000,26.0,248.0,1,left,R. Barrett 24' 3PT pullup (5 PTS) (K. Walker 2 AST),"[1629628, 202689]",1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,24.97,Made,5.0,,,,,,,K. Walker,202689.0,2.0,,,,,,,,,
23,PT09M50.00S,2021-10-30T23:13:36.3Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612740,3,11,2021-10-30T23:13:42Z,230000,,,0,,J. Valanciunas bad pass TURNOVER (1 TO),"[202685, 202689]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,1.0,Walker,202689.0,,,
24,PT09M50.00S,2021-10-30T23:13:36.3Z,1,REGULAR,steal,,[],202689,,,1610612752,3,11,2021-10-30T23:13:40Z,240000,,,0,,K. Walker STEAL (1 STL),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M50.00S,2021-10-30T23:13:41.9Z,1,REGULAR,foul,personal,[],1628984,,,1610612752,3,11,2021-10-30T23:14:07Z,250000,,,0,,D. Graham personal FOUL (1 PF),"[1628984, 1629011]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,202056.0,1.0,0.0,Robinson,1629011.0,,,,,,,,,,,,,
27,PT09M26.00S,2021-10-30T23:14:17.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203944,32.276609724047304,30.14705882352941,1610612752,3,14,2021-10-30T23:14:22Z,270000,99.0,251.0,1,left,J. Randle 26' 3PT  (3 PTS) (E. Fournier 1 AST),"[203944, 203095]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,26.98,Made,3.0,,,,,,,E. Fournier,203095.0,1.0,,,,,,,,,
29,PT09M17.00S,2021-10-30T23:14:26.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628984,69.20170827858082,15.441176470588236,1610612740,3,14,2021-10-30T23:14:36Z,290000,-173.0,237.0,1,right,MISS D. Graham 29' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,29.33,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M16.00S,2021-10-30T23:14:27.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,3,14,2021-10-30T23:14:36Z,300000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,
31,PT09M16.00S,2021-10-30T23:14:35.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,3,14,2021-10-30T23:14:35Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M04.00S,2021-10-30T23:14:53.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,15.325229960578188,49.50980392156863,1610612752,3,14,2021-10-30T23:15:00Z,320000,2.0,92.0,1,left,MISS E. Fournier 9' floating Shot,[203095],1610612752.0,NYK,floating,,,Fournier,E. Fournier,,,,,9.16,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M02.00S,2021-10-30T23:14:55.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,3,14,2021-10-30T23:15:00Z,330000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,32.0,,,,1.0,1.0,0.0,,,,,,
34,PT08M47.00S,2021-10-30T23:15:10.9Z,1,REGULAR,turnover,bad pass,[],1628984,,,1610612740,3,14,2021-10-30T23:15:15Z,340000,,,0,,D. Graham bad pass TURNOVER (1 TO),"[1628984, 203095]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,1.0,Fournier,203095.0,,,
35,PT08M47.00S,2021-10-30T23:15:10.9Z,1,REGULAR,steal,,[],203095,,,1610612752,3,14,2021-10-30T23:15:13Z,350000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M41.00S,2021-10-30T23:15:17.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629628,6.1268068331143235,4.166666666666666,1610612752,3,14,2021-10-30T23:15:22Z,360000,229.0,5.0,1,left,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,22.93,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M38.00S,2021-10-30T23:15:20.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,3,14,2021-10-30T23:15:22Z,370000,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,36.0,,,,2.0,2.0,0.0,,,,,,
38,PT08M35.00S,2021-10-30T23:15:24.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,94.30026281208936,46.568627450980394,1610612740,5,14,2021-10-30T23:15:31Z,380000,-17.0,1.0,1,right,J. Hart cutting Layup (4 PTS) (D. Graham 1 AST),"[1628404, 1628984]",1610612740.0,NOP,cutting,,,Hart,J. Hart,,,,,1.72,Made,4.0,,,,,,,D. Graham,1628984.0,1.0,,,,,,,,,
40,PT08M23.00S,2021-10-30T23:15:34.6Z,1,REGULAR,3pt,Jump Shot,[],202689,27.414586070959263,21.323529411764707,1610612752,5,14,2021-10-30T23:15:40Z,400000,143.0,205.0,1,left,MISS K. Walker 25' pullup 3PT,[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,25.03,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M19.00S,2021-10-30T23:15:38.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,14,2021-10-30T23:15:40Z,410000,,,0,,J. Valanciunas REBOUND (Off:0 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,40.0,,,,3.0,3.0,0.0,,,,,,
42,PT08M10.00S,2021-10-30T23:15:47.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628984,94.69448094612353,45.09803921568628,1610612740,7,14,2021-10-30T23:15:53Z,420000,-25.0,-3.0,1,right,D. Graham driving finger roll Layup (2 PTS) (J. Valanciunas 1 AST),"[1628984, 202685]",1610612740.0,NOP,driving finger roll,,,Graham,D. Graham,,,,,2.46,Made,2.0,,,,,,,J. Valanciunas,202685.0,1.0,,,,,,,,,
44,PT07M53.00S,2021-10-30T23:16:10.7Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612752,7,14,2021-10-30T23:16:25Z,440000,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Robinson 2 FT),"[202685, 1629011]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,,,,204058.0,1.0,0.0,Robinson,1629011.0,,,,,,,,,,,,,
46,PT07M53.00S,2021-10-30T23:16:38.8Z,1,REGULAR,freethrow,1 of 2,[],1629011,,,1610612752,7,15,2021-10-30T23:16:38Z,460000,,,0,,M. Robinson Free Throw 1 of 2 (1 PTS),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
47,PT07M53.00S,2021-10-30T23:16:55.6Z,1,REGULAR,freethrow,2 of 2,[],1629011,,,1610612752,7,16,2021-10-30T23:16:55Z,470000,,,0,,M. Robinson Free Throw 2 of 2 (2 PTS),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
48,PT07M43.00S,2021-10-30T23:17:07.6Z,1,REGULAR,2pt,Jump Shot,[],202685,92.59198423127464,73.2843137254902,1610612740,9,16,2021-10-30T23:17:13Z,480000,116.0,17.0,1,right,J. Valanciunas 11' Jump Shot (3 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,11.76,Made,3.0,,,,,,,,,,,,,,,,,,
50,PT07M26.00S,2021-10-30T23:17:24.7Z,1,REGULAR,turnover,bad pass,[],202689,,,1610612752,9,16,2021-10-30T23:17:30Z,500000,,,0,,K. Walker bad pass TURNOVER (1 TO),"[202689, 1630529]",1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,1.0,Jones,1630529.0,,,
51,PT07M26.00S,2021-10-30T23:17:24.7Z,1,REGULAR,steal,,[],1630529,,,1610612740,9,16,2021-10-30T23:17:27Z,510000,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M01.00S,2021-10-30T23:17:49.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202685,91.5407358738502,29.65686274509804,1610612740,11,16,2021-10-30T23:17:55Z,520000,-102.0,27.0,1,right,J. Valanciunas 10' turnaround Jump Shot (5 PTS),[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,10.52,Made,5.0,,,,,,,,,,,,,,,,,,
53,PT06M47.00S,2021-10-30T23:18:03.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,5.469776609724048,48.529411764705884,1610612752,11,18,2021-10-30T23:18:09Z,530000,7.0,-1.0,1,left,M. Robinson alley-oop DUNK (4 PTS) (R. Barrett 1 AST),"[1629011, 1629628]",1610612752.0,NYK,alley-oop,,,Robinson,M. Robinson,,,,,0.75,Made,4.0,,,,,,,R. Barrett,1629628.0,1.0,,,,,,,,,
55,PT06M26.00S,2021-10-30T23:18:24.4Z,1,REGULAR,3pt,Jump Shot,[],1629638,71.30420499342969,75.98039215686273,1610612740,11,18,2021-10-30T23:18:29Z,550000,130.0,217.0,1,right,MISS N. Alexander-Walker 25' pullup 3PT,[1629638],1610612740.0,NOP,pullup,,,Alexander-Walker,N. Alexander-Walker,,,,,25.31,Missed,,,,,,,,,,,,,,,,,,,
56,PT06M23.00S,2021-10-30T23:18:27.4Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,11,18,2021-10-30T23:18:29Z,560000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,55.0,,,,1.0,1.0,0.0,,,,,,
57,PT06M18.00S,2021-10-30T23:18:32.2Z,1,REGULAR,3pt,Jump Shot,[],203944,31.225361366622867,45.09803921568628,1610612752,11,21,2021-10-30T23:18:49Z,570000,25.0,241.0,1,left,J. Randle 24' 3PT pullup (6 PTS),[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,24.22,Made,6.0,,,,,,,,,,,,,,,,,,
58,PT06M16.00S,2021-10-30T23:18:51.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,11,21,2021-10-30T23:18:51Z,580000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M16.00S,2021-10-30T23:21:29.7Z,1,REGULAR,substitution,out,[],1628984,,,1610612740,11,21,2021-10-30T23:21:38Z,590000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M16.00S,2021-10-30T23:21:29.7Z,1,REGULAR,substitution,in,[],203107,,,1610612740,11,21,2021-10-30T23:21:38Z,600000,,,0,,SUB in: T. Satoransky,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M05.00S,2021-10-30T23:21:46.3Z,1,REGULAR,2pt,Jump Shot,[],202685,89.56964520367937,25.0,1610612740,11,21,2021-10-30T23:21:55Z,610000,-125.0,46.0,1,right,MISS J. Valanciunas 13' pullup Shot,[202685],1610612740.0,NOP,pullup,,,Valanciunas,J. Valanciunas,,,,,13.3,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M01.00S,2021-10-30T23:21:50.3Z,1,REGULAR,rebound,defensive,[],202689,,,1610612752,11,21,2021-10-30T23:21:55Z,620000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,61.0,,,,1.0,1.0,0.0,,,,,,
63,PT05M53.00S,2021-10-30T23:22:03.3Z,1,REGULAR,foul,personal,[],1630529,,,1610612752,11,21,2021-10-30T23:22:09Z,630000,,,0,,H. Jones personal FOUL (1 PF),"[1630529, 203944]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,202056.0,1.0,0.0,Randle,203944.0,,,,,,,,,,,,,
65,PT05M46.00S,2021-10-30T23:22:25.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,5.469776609724048,52.450980392156865,1610612752,11,23,2021-10-30T23:22:31Z,650000,-12.0,-1.0,1,left,K. Walker driving Layup (5 PTS),[202689],1610612752.0,NYK,driving,,,Walker,K. Walker,,,,,1.23,Made,5.0,,,,,,,,,,,,,,,,,,
66,PT05M30.00S,2021-10-30T23:22:41.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,93.51182654402102,47.30392156862745,1610612740,13,23,2021-10-30T23:22:46Z,660000,-13.0,8.0,1,right,H. Jones driving finger roll Layup (2 PTS) (J. Valanciunas 2 AST),"[1630529, 202685]",1610612740.0,NOP,driving finger roll,,,Jones,H. Jones,,,,,1.6,Made,2.0,,,,,,,J. Valanciunas,202685.0,2.0,,,,,,,,,
68,PT05M14.00S,2021-10-30T23:22:57.6Z,1,REGULAR,3pt,Jump Shot,[],203095,5.469776609724048,97.54901960784314,1610612752,13,23,2021-10-30T23:23:03Z,680000,-238.0,-1.0,1,left,MISS E. Fournier 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,23.77,Missed,,,,,,,,,,,,,,,,,,,
69,PT05M11.00S,2021-10-30T23:23:00.6Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,13,23,2021-10-30T23:23:03Z,690000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,68.0,,,,1.0,1.0,0.0,,,,,,
70,PT05M04.00S,2021-10-30T23:23:08.0Z,1,REGULAR,3pt,Jump Shot,[],202685,67.88764783180025,37.5,1610612740,16,23,2021-10-30T23:23:13Z,700000,-62.0,249.0,1,right,J. Valanciunas 25' 3PT  (8 PTS) (N. Alexander-Walker 1 AST),"[202685, 1629638]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,25.71,Made,8.0,,,,,,,N. Alexander-Walker,1629638.0,1.0,,,,,,,,,
72,PT04M45.00S,2021-10-30T23:23:26.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,15.982260183968464,58.57843137254902,1610612752,16,23,2021-10-30T23:23:32Z,720000,-43.0,98.0,1,left,MISS K. Walker 10' fadeaway Shot,[202689],1610612752.0,NYK,fadeaway,,,Walker,K. Walker,,,,,10.67,Missed,,,,,,,,,,,,,,,,,,,
73,PT04M43.00S,2021-10-30T23:23:28.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,16,23,2021-10-30T23:23:32Z,730000,,,0,,J. Valanciunas REBOUND (Off:0 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,72.0,,,,4.0,4.0,0.0,,,,,,
74,PT04M38.00S,2021-10-30T23:23:33.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,94.30026281208936,51.9607843137255,1610612740,16,23,2021-10-30T23:23:42Z,740000,10.0,1.0,1,right,MISS J. Hart driving Layup,[1628404],1610612740.0,NOP,driving,,,Hart,J. Hart,,,,,0.99,Missed,,,,,,,,,,,,,,,,,,,
75,PT04M35.00S,2021-10-30T23:23:36.1Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,16,23,2021-10-30T23:23:42Z,750000,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,74.0,,,,2.0,2.0,0.0,,,,,,
76,PT04M29.00S,2021-10-30T23:23:42.1Z,1,REGULAR,2pt,Jump Shot,[],1629628,3.630091984231275,28.676470588235293,1610612752,16,25,2021-10-30T23:23:47Z,760000,107.0,-18.0,1,left,R. Barrett 10' pullup Jump Shot (7 PTS),[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,10.82,Made,7.0,,,,,,,,,,,,,,,,,,
77,PT04M15.00S,2021-10-30T23:23:58.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,16,25,2021-10-30T23:23:58Z,770000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M15.00S,2021-10-30T23:24:01.1Z,1,REGULAR,substitution,out,[],1628404,,,1610612740,16,25,2021-10-30T23:24:23Z,780000,,,0,,SUB out: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M15.00S,2021-10-30T23:24:01.1Z,1,REGULAR,substitution,out,[],1629638,,,1610612740,16,25,2021-10-30T23:24:23Z,790000,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M15.00S,2021-10-30T23:24:01.1Z,1,REGULAR,substitution,out,[],202689,,,1610612740,16,25,2021-10-30T23:24:23Z,800000,,,0,,SUB out: K. Walker,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M15.00S,2021-10-30T23:24:01.1Z,1,REGULAR,substitution,out,[],1629011,,,1610612740,16,25,2021-10-30T23:24:23Z,810000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M15.00S,2021-10-30T23:24:01.1Z,1,REGULAR,substitution,in,[],1630530,,,1610612740,16,25,2021-10-30T23:24:23Z,820000,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M15.00S,2021-10-30T23:24:01.1Z,1,REGULAR,substitution,in,[],1630184,,,1610612740,16,25,2021-10-30T23:24:23Z,830000,,,0,,SUB in: K. Lewis Jr.,[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M15.00S,2021-10-30T23:24:01.1Z,1,REGULAR,substitution,in,[],201565,,,1610612740,16,25,2021-10-30T23:24:23Z,840000,,,0,,SUB in: D. Rose,[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M15.00S,2021-10-30T23:24:01.1Z,1,REGULAR,substitution,in,[],201959,,,1610612740,16,25,2021-10-30T23:24:23Z,850000,,,0,,SUB in: T. Gibson,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M09.00S,2021-10-30T23:24:28.7Z,1,REGULAR,3pt,Jump Shot,[],1630529,80.3712220762155,94.36274509803921,1610612740,16,25,2021-10-30T23:24:34Z,860000,222.0,132.0,1,right,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,25.81,Missed,,,,,,,,,,,,,,,,,,,
87,PT04M05.00S,2021-10-30T23:24:32.7Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,16,25,2021-10-30T23:24:34Z,870000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,86.0,,,,1.0,1.0,0.0,,,,,,
88,PT04M01.00S,2021-10-30T23:24:38.2Z,1,REGULAR,turnover,bad pass,[],203095,,,1610612752,16,25,2021-10-30T23:26:56Z,880000,,,0,,E. Fournier bad pass TURNOVER (1 TO),"[203095, 1630529]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,1.0,Jones,1630529.0,,,
89,PT04M01.00S,2021-10-30T23:24:38.2Z,1,REGULAR,steal,,[],1630529,,,1610612740,16,25,2021-10-30T23:25:23Z,890000,,,0,,H. Jones STEAL (2 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M00.00S,2021-10-30T23:24:51.4Z,1,REGULAR,foul,personal,[],203944,,,1610612740,16,25,2021-10-30T23:45:10Z,900000,,,0,,J. Randle take personal FOUL (1 PF),"[203944, 1630530]",1610612752.0,NYK,take,,,Randle,J. Randle,,,,,,,,204058.0,1.0,0.0,Murphy III,1630530.0,,,,,,,,,,,,,
92,PT03M41.00S,2021-10-30T23:25:24.0Z,1,REGULAR,foul,personal,['2freethrow'],201959,,,1610612740,16,25,2021-10-30T23:25:32Z,920000,,,0,,T. Gibson shooting personal FOUL (1 PF) (Valanciunas 2 FT),"[201959, 202685]",1610612752.0,NYK,shooting,,,Gibson,T. Gibson,,,,,,,,202056.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,,,,,
