actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
90,PT04M48.00S,2021-11-20T01:24:33.7Z,1,REGULAR,3pt,Jump Shot,[],202339,70.90998685939553,21.323529411764707,1610612746,11,17,2021-11-20T01:24:39Z,890000,-143.0,221.0,1,right,MISS E. Bledsoe 26' pullup 3PT,[202339],1610612746.0,LAC,pullup,,,Bledsoe,E. Bledsoe,,,,,26.34,Missed,,,,,,,,,,,,,,,,,,
91,PT04M44.00S,2021-11-20T01:24:37.7Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,11,17,2021-11-20T01:24:39Z,900000,,,0,,B. Ingram REBOUND (Off:0 Def:3),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,90.0,3.0,3.0,0.0,,,,,,,,,,,,,
92,PT04M35.00S,2021-11-20T01:24:47.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,7.966491458607096,56.86274509803921,1610612740,11,17,2021-11-20T01:24:53Z,910000,-34.0,22.0,1,left,MISS H. Jones driving Layup,[1630529],1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,4.1,Missed,,,,,,,,,,,,,,,,,,
93,PT04M32.00S,2021-11-20T01:24:50.0Z,1,REGULAR,rebound,offensive,[],1630184,,,1610612740,11,17,2021-11-20T01:24:50Z,920000,,,0,,K. Lewis Jr. REBOUND (Off:1 Def:0),[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,92.0,1.0,0.0,1.0,,,,,,,,,,,,,
94,PT04M30.00S,2021-11-20T01:24:54.6Z,1,REGULAR,turnover,out-of-bounds,[],1627742,,,1610612740,11,17,2021-11-20T01:24:59Z,930000,,,0,,B. Ingram bad pass out-of-bounds TURNOVER (1 TO),[1627742],1610612740.0,NOP,bad pass,,,Ingram,B. Ingram,,,,,,,,,,,,1.0,,,,,,1627529.0,,,,,,
95,PT04M30.00S,2021-11-20T01:24:57.8Z,1,REGULAR,substitution,out,[],1627826,,,1610612746,11,17,2021-11-20T01:25:06Z,940000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M30.00S,2021-11-20T01:24:57.8Z,1,REGULAR,substitution,in,[],1628392,,,1610612746,11,17,2021-11-20T01:25:06Z,950000,,,0,,SUB in: I. Hartenstein,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M09.00S,2021-11-20T01:25:32.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629611,92.06636005256242,48.28431372549019,1610612746,11,19,2021-11-20T01:25:41Z,960000,-9.0,22.0,1,right,T. Mann cutting Layup (2 PTS) (I. Hartenstein 1 AST),"[1629611, 1628392]",1610612746.0,LAC,cutting,,,Mann,T. Mann,,,,,2.37,Made,2.0,,,,,,,,I. Hartenstein,1628392.0,1.0,,,,,,,
99,PT03M59.00S,2021-11-20T01:25:42.5Z,1,REGULAR,3pt,Jump Shot,[],202685,28.33442838370565,19.362745098039216,1610612740,14,19,2021-11-20T01:25:47Z,980000,153.0,214.0,1,left,J. Valanciunas 26' 3PT  (8 PTS) (K. Lewis Jr. 2 AST),"[202685, 1630184]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,26.3,Made,8.0,,,,,,,,K. Lewis Jr.,1630184.0,2.0,,,,,,,
101,PT03M44.00S,2021-11-20T01:26:01.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,93.24901445466492,46.07843137254902,1610612746,14,21,2021-11-20T01:26:05Z,1000000,-20.0,11.0,1,right,I. Hartenstein Layup (2 PTS) (P. George 2 AST),"[1628392, 202331]",1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,2.25,Made,2.0,,,,,,,,P. George,202331.0,2.0,,,,,,,
103,PT03M44.00S,2021-11-20T01:26:03.4Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1627742,,,1610612746,14,21,2021-11-20T01:26:34Z,1020000,,,0,,B. Ingram shooting personal FOUL (2 PF) (Hartenstein 1 FT),"[1627742, 1628392]",1610612740.0,NOP,shooting,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,1148.0,2.0,0.0,Hartenstein,1628392.0,,
105,PT03M44.00S,2021-11-20T01:26:11.4Z,1,REGULAR,substitution,out,[],1628404,,,1610612746,14,21,2021-11-20T01:26:32Z,1040000,,,0,,SUB out: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M44.00S,2021-11-20T01:26:11.4Z,1,REGULAR,substitution,out,[],1627742,,,1610612746,14,21,2021-11-20T01:26:32Z,1050000,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M44.00S,2021-11-20T01:26:11.4Z,1,REGULAR,substitution,out,[],202685,,,1610612746,14,21,2021-11-20T01:26:32Z,1060000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M44.00S,2021-11-20T01:26:11.4Z,1,REGULAR,substitution,out,[],202339,,,1610612746,14,21,2021-11-20T01:26:32Z,1070000,,,0,,SUB out: E. Bledsoe,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M44.00S,2021-11-20T01:26:11.4Z,1,REGULAR,substitution,in,[],202066,,,1610612746,14,21,2021-11-20T01:26:32Z,1080000,,,0,,SUB in: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M44.00S,2021-11-20T01:26:11.4Z,1,REGULAR,substitution,in,[],1629638,,,1610612746,14,21,2021-11-20T01:26:32Z,1090000,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M44.00S,2021-11-20T01:26:11.4Z,1,REGULAR,substitution,in,[],1629637,,,1610612746,14,21,2021-11-20T01:26:32Z,1100000,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M44.00S,2021-11-20T01:26:11.4Z,1,REGULAR,substitution,in,[],202704,,,1610612746,14,21,2021-11-20T01:26:32Z,1110000,,,0,,SUB in: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M44.00S,2021-11-20T01:26:42.8Z,1,REGULAR,freethrow,1 of 1,[],1628392,,,1610612746,14,22,2021-11-20T01:26:42Z,1120000,,,0,,I. Hartenstein Free Throw 1 of 1 (3 PTS),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
114,PT03M28.00S,2021-11-20T01:27:01.1Z,1,REGULAR,3pt,Jump Shot,[],1630529,3.235873850197109,94.85294117647058,1610612740,14,22,2021-11-20T01:31:11Z,1130000,-224.0,-22.0,1,left,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,22.54,Missed,,,,,,,,,,,,,,,,,,
115,PT03M23.00S,2021-11-20T01:27:06.1Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,14,22,2021-11-20T01:27:07Z,1140000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,114.0,1.0,1.0,0.0,,,,,,,,,,,,,
116,PT03M19.00S,2021-11-20T01:27:09.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202331,73.66951379763469,84.80392156862744,1610612746,14,22,2021-11-20T01:27:17Z,1150000,174.0,195.0,1,right,MISS P. George 26' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,26.13,Missed,,,,,,,,,,,,,,,,,,
117,PT03M18.00S,2021-11-20T01:27:10.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,14,22,2021-11-20T01:27:17Z,1160000,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,
118,PT03M18.00S,2021-11-20T01:27:16.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,14,22,2021-11-20T01:27:16Z,1170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M01.00S,2021-11-20T01:27:40.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,4.944152431011826,46.81372549019608,1610612740,14,22,2021-11-20T01:27:46Z,1180000,16.0,-6.0,1,left,MISS N. Alexander-Walker driving Layup,[1629638],1610612740.0,NOP,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,1.7,Missed,,,,,,,,,,,,,,,,,,
120,PT03M01.00S,2021-11-20T01:27:40.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,14,22,2021-11-20T01:27:46Z,1190000,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,
121,PT03M01.00S,2021-11-20T01:27:46.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,14,22,2021-11-20T01:27:46Z,1200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M01.00S,2021-11-20T01:27:47.6Z,1,REGULAR,substitution,out,[],202331,,,1610612746,14,22,2021-11-20T01:27:51Z,1210000,,,0,,SUB out: P. George,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M01.00S,2021-11-20T01:27:47.6Z,1,REGULAR,substitution,in,[],1629599,,,1610612746,14,22,2021-11-20T01:27:51Z,1220000,,,0,,SUB in: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M39.00S,2021-11-20T01:28:13.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,93.51182654402102,44.85294117647059,1610612746,14,22,2021-11-20T01:28:19Z,1230000,-26.0,8.0,1,right,MISS I. Hartenstein Layup,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,2.71,Missed,,,,,,,,,,,,,,,,,,
126,PT02M36.00S,2021-11-20T01:28:16.7Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,14,22,2021-11-20T01:28:19Z,1250000,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,124.0,1.0,1.0,0.0,,,,,,,,,,,,,
127,PT02M36.00S,2021-11-20T01:28:20.9Z,1,REGULAR,turnover,out-of-bounds,[],202066,,,1610612740,14,22,2021-11-20T01:28:27Z,1260000,,,0,,G. Temple lost ball out-of-bounds TURNOVER (1 TO),[202066],1610612740.0,NOP,lost ball,,,Temple,G. Temple,,,,,,,,,,,,1.0,,,,,,1627529.0,,,,,,
128,PT02M36.00S,2021-11-20T01:28:34.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,14,22,2021-11-20T01:28:34Z,1270000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M22.00S,2021-11-20T01:31:27.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202704,81.2910643889619,68.62745098039215,1610612746,14,24,2021-11-20T01:32:54Z,1280000,93.0,123.0,1,right,R. Jackson 15' driving floating Jump Shot (2 PTS),[202704],1610612746.0,LAC,driving floating,,,Jackson,R. Jackson,,,,,15.46,Made,2.0,,,,,,,,,,,,,,,,,
131,PT02M12.00S,2021-11-20T01:31:42.9Z,1,REGULAR,foul,personal,[],202704,,,1610612740,14,24,2021-11-20T01:31:57Z,1290000,,,0,,R. Jackson personal FOUL (1 PF),"[202704, 1629637]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,1148.0,1.0,0.0,Hayes,1629637.0,,
133,PT01M58.00S,2021-11-20T01:32:08.6Z,1,REGULAR,3pt,Jump Shot,[],202066,2.7102496714848883,96.81372549019608,1610612740,14,24,2021-11-20T01:32:13Z,1310000,-234.0,-27.0,1,left,MISS G. Temple 3PT,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,23.57,Missed,,,,,,,,,,,,,,,,,,
134,PT01M55.00S,2021-11-20T01:32:11.6Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,14,24,2021-11-20T01:32:13Z,1320000,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,133.0,1.0,1.0,0.0,,,,,,,,,,,,,
135,PT01M38.00S,2021-11-20T01:32:28.2Z,1,REGULAR,2pt,Jump Shot,[],202704,92.85479632063075,21.813725490196077,1610612746,14,24,2021-11-20T01:33:41Z,1330000,-141.0,15.0,1,right,MISS R. Jackson 14' step back Shot,[202704],1610612746.0,LAC,step back,,,Jackson,R. Jackson,,,,,14.17,Missed,,,,,,,,,,,,,,,,,,
136,PT01M35.00S,2021-11-20T01:32:31.2Z,1,REGULAR,rebound,defensive,[],1630184,,,1610612740,14,24,2021-11-20T01:32:33Z,1340000,,,0,,K. Lewis Jr. REBOUND (Off:1 Def:1),[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,135.0,2.0,1.0,1.0,,,,,,,,,,,,,
137,PT01M29.00S,2021-11-20T01:32:37.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630184,4.812746386333772,48.28431372549019,1610612740,14,24,2021-11-20T01:34:14Z,1350000,9.0,-7.0,1,left,MISS K. Lewis Jr. driving Layup,[1630184],1610612740.0,NOP,driving,,,Lewis Jr.,K. Lewis Jr.,,,,,1.13,Missed,,,,,,,,,,,,,,,,,,
138,PT01M26.00S,2021-11-20T01:32:40.5Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612746,14,24,2021-11-20T01:32:46Z,1360000,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,137.0,1.0,1.0,0.0,,,,,,,,,,,,,
139,PT01M20.00S,2021-11-20T01:32:46.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,94.43166885676742,51.9607843137255,1610612746,14,26,2021-11-20T01:32:51Z,1370000,10.0,0.0,1,right,I. Hartenstein Layup (5 PTS) (A. Coffey 1 AST),"[1628392, 1629599]",1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,0.98,Made,5.0,,,,,,,,A. Coffey,1629599.0,1.0,,,,,,,
141,PT01M00.00S,2021-11-20T01:33:08.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629637,14.668199737187912,49.01960784313725,1610612740,16,26,2021-11-20T01:35:10Z,1390000,5.0,85.0,1,left,J. Hayes 8' driving floating Jump Shot (2 PTS),[1629637],1610612740.0,NOP,driving floating,,,Hayes,J. Hayes,,,,,8.55,Made,2.0,,,,,,,,,,,,,,,,,
142,PT00M40.30S,2021-11-20T01:33:30.3Z,1,REGULAR,2pt,Jump Shot,[],202704,82.9993429697766,67.64705882352942,1610612746,16,26,2021-11-20T01:33:36Z,1400000,88.0,107.0,1,right,MISS R. Jackson 13' pullup Shot,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,13.89,Missed,,,,,,,,,,,,,,,,,,
143,PT00M37.70S,2021-11-20T01:33:32.9Z,1,REGULAR,rebound,defensive,[],202066,,,1610612740,16,26,2021-11-20T01:33:36Z,1410000,,,0,,G. Temple REBOUND (Off:0 Def:1),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,142.0,1.0,1.0,0.0,,,,,,,,,,,,,
144,PT00M34.20S,2021-11-20T01:33:38.8Z,1,REGULAR,turnover,out-of-bounds,[],1629638,,,1610612740,16,26,2021-11-20T01:33:44Z,1420000,,,0,,N. Alexander-Walker bad pass out-of-bounds TURNOVER (1 TO),[1629638],1610612740.0,NOP,bad pass,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,1.0,,,,,,1198.0,,,,,,
145,PT00M34.20S,2021-11-20T01:33:44.3Z,1,REGULAR,substitution,out,[],1630184,,,1610612746,16,26,2021-11-20T01:33:48Z,1430000,,,0,,SUB out: K. Lewis Jr.,[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,
146,PT00M34.20S,2021-11-20T01:33:44.3Z,1,REGULAR,substitution,in,[],203107,,,1610612746,16,26,2021-11-20T01:33:48Z,1440000,,,0,,SUB in: T. Satoransky,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M19.00S,2021-11-20T01:34:12.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628379,81.553876478318,6.127450980392156,1610612746,16,29,2021-11-20T01:37:14Z,1450000,-219.0,121.0,1,right,L. Kennard 25' 3PT  (3 PTS) (R. Jackson 1 AST),"[1628379, 202704]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,25.05,Made,3.0,,,,,,,,R. Jackson,202704.0,1.0,,,,,,,
149,PT00M00.00S,2021-11-20T01:34:33.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,5.469776609724048,54.41176470588235,1610612740,16,29,2021-11-20T01:34:41Z,1470000,-22.0,-1.0,1,left,MISS H. Jones driving Layup,[1630529],1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,2.21,Missed,,,,,,,,,,,,,,,,,,
150,PT00M00.00S,2021-11-20T01:34:33.5Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,16,29,2021-11-20T01:34:41Z,1480000,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,149.0,1.0,0.0,1.0,,,,,,,,,,,,,
151,PT00M00.00S,2021-11-20T01:34:41.0Z,1,REGULAR,period,end,[],0,,,1610612740,16,29,2021-11-20T01:34:41Z,1490000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2021-11-20T01:36:52.4Z,2,REGULAR,substitution,out,['startperiod'],1630529,,,1610612740,16,29,2021-11-20T01:37:06Z,1500000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2021-11-20T01:36:52.4Z,2,REGULAR,substitution,out,['startperiod'],1629638,,,1610612740,16,29,2021-11-20T01:37:06Z,1510000,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2021-11-20T01:36:52.4Z,2,REGULAR,substitution,out,['startperiod'],1629637,,,1610612740,16,29,2021-11-20T01:37:06Z,1520000,,,0,,SUB out: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2021-11-20T01:36:52.4Z,2,REGULAR,substitution,in,['startperiod'],1627742,,,1610612740,16,29,2021-11-20T01:37:06Z,1530000,,,0,,SUB in: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2021-11-20T01:36:52.4Z,2,REGULAR,substitution,in,['startperiod'],202685,,,1610612740,16,29,2021-11-20T01:37:06Z,1540000,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2021-11-20T01:36:52.4Z,2,REGULAR,substitution,in,['startperiod'],1628404,,,1610612740,16,29,2021-11-20T01:37:06Z,1550000,,,0,,SUB in: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-11-20T01:37:15.4Z,2,REGULAR,period,start,[],0,,,1610612740,16,29,2021-11-20T01:37:15Z,1560000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M43.00S,2021-11-20T01:37:31.5Z,2,REGULAR,3pt,Jump Shot,[],202066,24.52365308804205,83.82352941176471,1610612740,16,29,2021-11-20T01:37:36Z,1570000,-169.0,178.0,1,left,MISS G. Temple 24' 3PT,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,24.55,Missed,,,,,,,,,,,,,,,,,,
160,PT11M40.00S,2021-11-20T01:37:34.5Z,2,REGULAR,rebound,defensive,[],1629611,,,1610612746,16,29,2021-11-20T01:37:36Z,1580000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,159.0,1.0,1.0,0.0,,,,,,,,,,,,,
161,PT11M34.00S,2021-11-20T01:37:40.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629611,91.93495400788436,56.372549019607845,1610612746,16,31,2021-11-20T01:37:48Z,1590000,32.0,23.0,1,right,T. Mann running Jump Shot (4 PTS),[1629611],1610612746.0,LAC,running,,,Mann,T. Mann,,,,,3.95,Made,4.0,,,,,,,,,,,,,,,,,
162,PT11M21.00S,2021-11-20T01:37:53.3Z,2,REGULAR,turnover,bad pass,[],1627742,,,1610612740,16,31,2021-11-20T01:37:58Z,1600000,,,0,,B. Ingram bad pass TURNOVER (2 TO),"[1627742, 1628392]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,2.0,Hartenstein,1628392.0,,,,,,,,,,
163,PT11M21.00S,2021-11-20T01:37:53.3Z,2,REGULAR,steal,,[],1628392,,,1610612746,16,31,2021-11-20T01:37:55Z,1610000,,,0,,I. Hartenstein STEAL (1 STL),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,
164,PT11M15.00S,2021-11-20T01:37:58.7Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629611,95.6143232588699,95.83333333333334,1610612746,16,34,2021-11-20T01:38:05Z,1620000,229.0,-11.0,1,right,T. Mann 3PT  (7 PTS) (L. Kennard 1 AST),"[1629611, 1628379]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,22.95,Made,7.0,,,,,,,,L. Kennard,1628379.0,1.0,,,,,,,
166,PT11M15.00S,2021-11-20T01:38:11.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,16,34,2021-11-20T01:38:11Z,1640000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT10M57.00S,2021-11-20T01:41:09.6Z,2,REGULAR,2pt,Jump Shot,[],1627742,6.521024967148489,23.774509803921568,1610612740,16,34,2021-11-20T01:41:16Z,1650000,131.0,9.0,1,left,MISS B. Ingram 13' step back Shot,[1627742],1610612740.0,NOP,step back,,,Ingram,B. Ingram,,,,,13.14,Missed,,,,,,,,,,,,,,,,,,
168,PT10M55.00S,2021-11-20T01:41:11.6Z,2,REGULAR,rebound,defensive,[],1628392,,,1610612746,16,34,2021-11-20T01:41:16Z,1660000,,,0,,I. Hartenstein REBOUND (Off:0 Def:2),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,167.0,2.0,2.0,0.0,,,,,,,,,,,,,
169,PT10M43.00S,2021-11-20T01:41:23.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,87.20433639947439,46.81372549019608,1610612746,16,36,2021-11-20T01:42:19Z,1670000,-16.0,68.0,1,right,I. Hartenstein 6' floating Jump Shot (7 PTS) (R. Jackson 2 AST),"[1628392, 202704]",1610612746.0,LAC,floating,,,Hartenstein,I. Hartenstein,,,,,6.96,Made,7.0,,,,,,,,R. Jackson,202704.0,2.0,,,,,,,
171,PT10M29.00S,2021-11-20T01:41:37.9Z,2,REGULAR,turnover,bad pass,[],1627742,,,1610612740,16,36,2021-11-20T02:03:29Z,1690000,,,0,,B. Ingram bad pass TURNOVER (3 TO),"[1627742, 1628379]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,3.0,Kennard,1628379.0,,,,,,,,,,
172,PT10M29.00S,2021-11-20T01:41:37.9Z,2,REGULAR,steal,,[],1628379,,,1610612746,16,36,2021-11-20T01:41:40Z,1700000,,,0,,L. Kennard STEAL (1 STL),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,
173,PT10M24.00S,2021-11-20T01:41:42.4Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628379,68.01905387647832,51.9607843137255,1610612746,16,36,2021-11-20T01:41:49Z,1710000,10.0,248.0,1,right,MISS L. Kennard 24' 3PT,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,24.83,Missed,,,,,,,,,,,,,,,,,,
174,PT10M22.00S,2021-11-20T01:41:44.4Z,2,REGULAR,rebound,defensive,[],1627742,,,1610612740,16,36,2021-11-20T01:41:49Z,1720000,,,0,,B. Ingram REBOUND (Off:0 Def:4),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,173.0,4.0,4.0,0.0,,,,,,,,,,,,,
175,PT10M19.00S,2021-11-20T01:41:47.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628404,5.732588699080158,50.98039215686274,1610612740,18,36,2021-11-20T01:43:46Z,1730000,-5.0,1.0,1,left,J. Hart running DUNK (2 PTS) (B. Ingram 2 AST),"[1628404, 1627742]",1610612740.0,NOP,running,,,Hart,J. Hart,,,,,0.51,Made,2.0,,,,,,,,B. Ingram,1627742.0,2.0,,,,,,,
177,PT10M02.00S,2021-11-20T01:42:07.5Z,2,REGULAR,turnover,lost ball,[],202704,,,1610612746,18,36,2021-11-20T01:42:12Z,1750000,,,0,,R. Jackson lost ball TURNOVER (2 TO),"[202704, 202066]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,2.0,Temple,202066.0,,,,,,,,,,
178,PT10M02.00S,2021-11-20T01:42:07.5Z,2,REGULAR,steal,,[],202066,,,1610612740,18,36,2021-11-20T01:42:09Z,1760000,,,0,,G. Temple STEAL (1 STL),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,
