actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
29,PT09M50.00S,2022-01-12T01:13:06.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626156,23.866622864651774,84.55882352941177,1610612750,7,9,2022-01-12T01:22:13Z,290000,-173.0,172.0,1,left,D. Russell 24' 3PT running (5 PTS) (A. Edwards 2 AST),"[1626156, 1630162]",1610612750.0,MIN,running,,,Russell,D. Russell,,,,,,,,24.37,Made,5.0,A. Edwards,1630162.0,2.0,,,,,,,,,,,,
31,PT09M30.00S,2022-01-12T01:13:27.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,92.59198423127464,52.94117647058824,1610612740,9,9,2022-01-12T01:13:35Z,310000,15.0,17.0,1,right,B. Ingram cutting finger roll Layup (2 PTS) (H. Jones 1 AST),"[1627742, 1630529]",1610612740.0,NOP,cutting finger roll,,,Ingram,B. Ingram,,,,,,,,2.25,Made,2.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,
33,PT09M22.00S,2022-01-12T01:13:34.2Z,1,REGULAR,3pt,Jump Shot,[],1626156,23.47240473061761,11.76470588235294,1610612750,9,9,2022-01-12T01:22:50Z,330000,191.0,168.0,1,left,MISS D. Russell 25' pullup 3PT,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,,,,25.46,Missed,,,,,,,,,,,,,,,,
34,PT09M19.00S,2022-01-12T01:13:37.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,9,9,2022-01-12T01:13:38Z,340000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,
35,PT09M13.00S,2022-01-12T01:13:43.0Z,1,REGULAR,2pt,Jump Shot,[],202685,75.90341655716163,45.83333333333333,1610612740,11,9,2022-01-12T02:20:52Z,350000,-21.0,174.0,1,right,J. Valanciunas 17' Jump Shot (2 PTS) (J. Hart 2 AST),"[202685, 1628404]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,17.52,Made,2.0,J. Hart,1628404.0,2.0,,,,,,,,,,,,
37,PT08M46.00S,2022-01-12T01:14:14.0Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612750,11,9,2022-01-12T01:14:22Z,370000,,,0,,H. Jones shooting personal FOUL (1 PF) (Towns 2 FT),"[1630529, 1626157]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,,,,,,,,,,1627529.0,1.0,0.0,Towns,1626157.0,,,,,,,
39,PT08M46.00S,2022-01-12T01:14:44.4Z,1,REGULAR,freethrow,1 of 2,[],1626157,,,1610612750,11,9,2022-01-12T01:14:44Z,390000,,,0,,MISS K. Towns Free Throw 1 of 2,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,Missed,,,,,,,,,,,,,,,,
40,PT08M46.00S,2022-01-12T01:14:44.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,11,9,2022-01-12T01:14:44Z,400000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,
41,PT08M46.00S,2022-01-12T01:15:03.6Z,1,REGULAR,freethrow,2 of 2,[],1626157,,,1610612750,11,10,2022-01-12T01:15:03Z,410000,,,0,,K. Towns Free Throw 2 of 2 (3 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
42,PT08M38.00S,2022-01-12T01:15:13.9Z,1,REGULAR,2pt,Jump Shot,[],202685,87.33574244415243,30.88235294117647,1610612740,11,10,2022-01-12T01:26:27Z,420000,-96.0,67.0,1,right,MISS J. Valanciunas 11' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,11.65,Missed,,,,,,,,,,,,,,,,
43,PT08M35.00S,2022-01-12T01:15:16.9Z,1,REGULAR,rebound,offensive,[],1628984,,,1610612740,11,10,2022-01-12T01:26:27Z,430000,,,0,,D. Graham REBOUND (Off:1 Def:0),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,42.0,1.0,0.0,1.0,,,
44,PT08M29.00S,2022-01-12T01:15:22.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628404,75.64060446780552,86.02941176470588,1610612740,11,10,2022-01-12T01:15:29Z,440000,180.0,176.0,1,right,MISS J. Hart 25' 3PT,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,25.22,Missed,,,,,,,,,,,,,,,,
45,PT08M27.00S,2022-01-12T01:15:24.9Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612740,11,10,2022-01-12T01:15:29Z,450000,,,0,,J. Hart REBOUND (Off:1 Def:0),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,44.0,1.0,0.0,1.0,,,
46,PT08M24.00S,2022-01-12T01:15:28.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628404,90.19382391590013,61.029411764705884,1610612740,13,10,2022-01-12T01:27:12Z,460000,55.0,40.0,1,right,J. Hart 6' floating Jump Shot (2 PTS),[1628404],1610612740.0,NOP,floating,,,Hart,J. Hart,,,,,,,,6.79,Made,2.0,,,,,,,,,,,,,,,
68,PT08M10.00S,2022-01-12T01:15:47.8Z,1,REGULAR,turnover,out-of-bounds,[],1626157,,,1610612750,13,10,2022-01-12T01:17:40Z,495000,,,0,,K. Towns lost ball out-of-bounds TURNOVER (1 TO),[1626157],1610612750.0,MIN,lost ball,,,Towns,K. Towns,,,,,1.0,,,,,,,,,1627961.0,,,,,,,,,,,
51,PT07M57.00S,2022-01-12T01:16:05.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627742,78.9257555847569,70.34313725490196,1610612740,13,10,2022-01-12T02:21:00Z,510000,102.0,146.0,1,right,MISS B. Ingram 17' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,,,,17.76,Missed,,,,,,,,,,,,,,,,
52,PT07M54.00S,2022-01-12T01:16:08.1Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,13,10,2022-01-12T01:16:10Z,520000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,51.0,1.0,1.0,0.0,,,
53,PT07M48.00S,2022-01-12T01:16:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,5.469776609724048,47.30392156862745,1610612750,13,12,2022-01-12T01:16:19Z,530000,13.0,-1.0,1,left,J. Vanderbilt cutting Layup (4 PTS) (D. Russell 2 AST),"[1629020, 1626156]",1610612750.0,MIN,cutting,,,Vanderbilt,J. Vanderbilt,,,,,,,,1.35,Made,4.0,D. Russell,1626156.0,2.0,,,,,,,,,,,,
55,PT07M40.00S,2022-01-12T01:16:25.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627742,89.56964520367937,50.0,1610612740,15,12,2022-01-12T01:28:42Z,550000,0.0,46.0,1,right,B. Ingram cutting finger roll Layup (4 PTS) (J. Valanciunas 1 AST),"[1627742, 202685]",1610612740.0,NOP,cutting finger roll,,,Ingram,B. Ingram,,,,,,,,4.55,Made,4.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,,,
57,PT07M40.00S,2022-01-12T01:16:29.6Z,1,REGULAR,foul,personal,['1freethrow'],1626156,,,1610612740,15,12,2022-01-12T01:16:42Z,570000,,,0,,D. Russell shooting personal FOUL (1 PF) (Ingram 1 FT),"[1626156, 1627742]",1610612750.0,MIN,shooting,,,Russell,D. Russell,,,,,,,,,,,,,,1627529.0,1.0,0.0,Ingram,1627742.0,,,,,,,
59,PT07M40.00S,2022-01-12T01:16:54.3Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1627742,,,1610612740,16,12,2022-01-12T01:16:54Z,590000,,,0,,B. Ingram Free Throw 1 of 1 (5 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
60,PT07M27.00S,2022-01-12T01:17:09.4Z,1,REGULAR,3pt,Jump Shot,[],1626156,30.17411300919842,23.284313725490197,1610612750,16,15,2022-01-12T01:17:15Z,600000,134.0,231.0,1,left,D. Russell 26' 3PT  (8 PTS) (J. Vanderbilt 1 AST),"[1626156, 1629020]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,26.69,Made,8.0,J. Vanderbilt,1629020.0,1.0,,,,,,,,,,,,
62,PT07M15.00S,2022-01-12T01:17:21.0Z,1,REGULAR,3pt,Jump Shot,[],1630529,89.83245729303549,3.1862745098039214,1610612740,19,15,2022-01-12T01:17:59Z,620000,-234.0,43.0,1,right,H. Jones 3PT  (6 PTS) (D. Graham 1 AST),"[1630529, 1628984]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,23.8,Made,6.0,D. Graham,1628984.0,1.0,,,,,,,,,,,,
64,PT07M05.00S,2022-01-12T01:17:30.7Z,1,REGULAR,3pt,Jump Shot,[],1626157,33.327858081471746,45.09803921568628,1610612750,19,15,2022-01-12T02:21:10Z,640000,25.0,261.0,1,left,MISS K. Towns 26' pullup 3PT,[1626157],1610612750.0,MIN,pullup,,,Towns,K. Towns,,,,,,,,26.19,Missed,,,,,,,,,,,,,,,,
65,PT07M05.00S,2022-01-12T01:17:30.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,19,15,2022-01-12T01:18:01Z,650000,,,0,,J. Hart REBOUND (Off:1 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,64.0,2.0,1.0,1.0,,,
66,PT06M57.00S,2022-01-12T01:17:38.6Z,1,REGULAR,turnover,lost ball,[],1628404,,,1610612740,19,15,2022-01-12T01:18:04Z,660000,,,0,,J. Hart lost ball TURNOVER (2 TO),"[1628404, 201976]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,2.0,Beverley,201976.0,,,,,,,,,,,,,,,,,,
67,PT06M57.00S,2022-01-12T01:17:38.6Z,1,REGULAR,steal,,[],201976,,,1610612750,19,15,2022-01-12T01:17:40Z,670000,,,0,,P. Beverley STEAL (1 STL),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M54.00S,2022-01-12T01:17:41.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629020,5.995400788436268,50.245098039215684,1610612750,19,17,2022-01-12T01:30:13Z,680000,-1.0,4.0,1,left,J. Vanderbilt running Layup (6 PTS) (K. Towns 1 AST),"[1629020, 1626157]",1610612750.0,MIN,running,,,Vanderbilt,J. Vanderbilt,,,,,,,,0.41,Made,6.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,
71,PT06M30.00S,2022-01-12T01:18:05.4Z,1,REGULAR,3pt,Jump Shot,[],1628984,73.66951379763469,83.57843137254902,1610612740,19,17,2022-01-12T01:18:13Z,700000,168.0,195.0,1,right,MISS D. Graham 25' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,25.73,Missed,,,,,,,,,,,,,,,,
72,PT06M30.00S,2022-01-12T01:18:05.4Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,19,17,2022-01-12T01:18:13Z,710000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,71.0,1.0,1.0,0.0,,,
73,PT06M26.00S,2022-01-12T01:18:15.3Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612750,19,17,2022-01-12T01:18:35Z,720000,,,0,,H. Jones shooting personal FOUL (2 PF) (Vanderbilt 2 FT),"[1630529, 1629020]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,,,,,,,,,,201638.0,2.0,0.0,Vanderbilt,1629020.0,,,,,,,
75,PT06M26.00S,2022-01-12T01:18:33.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,19,17,2022-01-12T01:18:33Z,740000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M26.00S,2022-01-12T01:21:05.9Z,1,REGULAR,substitution,out,[],1630529,,,1610612750,19,17,2022-01-12T01:21:16Z,750000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M26.00S,2022-01-12T01:21:05.9Z,1,REGULAR,substitution,out,[],201976,,,1610612750,19,17,2022-01-12T01:21:16Z,760000,,,0,,SUB out: P. Beverley,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M26.00S,2022-01-12T01:21:05.9Z,1,REGULAR,substitution,in,[],202066,,,1610612750,19,17,2022-01-12T01:21:16Z,770000,,,0,,SUB in: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M26.00S,2022-01-12T01:21:05.9Z,1,REGULAR,substitution,in,[],1630183,,,1610612750,19,17,2022-01-12T01:21:16Z,780000,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M26.00S,2022-01-12T01:21:28.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629020,,,1610612750,19,17,2022-01-12T01:21:28Z,790000,,,0,,MISS J. Vanderbilt Free Throw 1 of 2,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,Missed,,,,,,,,,,,,,,,,
81,PT06M26.00S,2022-01-12T01:21:28.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,19,17,2022-01-12T01:21:28Z,800000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,
82,PT06M26.00S,2022-01-12T01:21:42.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629020,,,1610612750,19,18,2022-01-12T01:21:42Z,810000,,,0,,J. Vanderbilt Free Throw 2 of 2 (7 PTS),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
83,PT06M14.00S,2022-01-12T01:21:55.4Z,1,REGULAR,2pt,Jump Shot,[],1627742,87.86136662286465,73.52941176470588,1610612740,21,18,2022-01-12T01:22:02Z,820000,118.0,62.0,1,right,B. Ingram 13' pullup Jump Shot (7 PTS) (J. Valanciunas 2 AST),"[1627742, 202685]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,,,,13.28,Made,7.0,J. Valanciunas,202685.0,2.0,,,,,,,,,,,,
86,PT05M51.00S,2022-01-12T01:22:17.7Z,1,REGULAR,2pt,Jump Shot,[],1626157,19.398817345597898,88.72549019607843,1610612750,21,20,2022-01-12T01:22:22Z,850000,-194.0,130.0,1,left,K. Towns 23' Jump Shot (5 PTS) (D. Russell 3 AST),"[1626157, 1626156]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,23.31,Made,5.0,D. Russell,1626156.0,3.0,,,,,,,,,,,,
88,PT05M45.00S,2022-01-12T01:22:24.1Z,1,REGULAR,3pt,Jump Shot,[],202066,95.22010512483574,96.32352941176471,1610612740,21,20,2022-01-12T01:22:28Z,870000,232.0,-8.0,1,right,MISS G. Temple 3PT,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,23.17,Missed,,,,,,,,,,,,,,,,
89,PT05M45.00S,2022-01-12T01:22:27.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,21,20,2022-01-12T01:22:27Z,880000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,
90,PT05M45.00S,2022-01-12T01:22:28.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,21,20,2022-01-12T01:22:28Z,890000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M45.00S,2022-01-12T01:22:32.6Z,1,REGULAR,substitution,out,[],202685,,,1610612740,21,20,2022-01-12T01:22:45Z,900000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M45.00S,2022-01-12T01:22:32.6Z,1,REGULAR,substitution,in,[],1629637,,,1610612740,21,20,2022-01-12T01:22:45Z,910000,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M42.00S,2022-01-12T01:22:59.6Z,1,REGULAR,foul,personal,['2freethrow'],1630162,,,1610612740,21,20,2022-01-12T01:23:05Z,920000,,,0,,A. Edwards shooting personal FOUL (1 PF) (Hayes 2 FT),"[1630162, 1629637]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,,,,,,,,,,1627529.0,1.0,0.0,Hayes,1629637.0,,,,,,,
95,PT05M42.00S,2022-01-12T01:23:25.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629637,,,1610612740,21,20,2022-01-12T01:23:25Z,940000,,,0,,MISS J. Hayes Free Throw 1 of 2,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,Missed,,,,,,,,,,,,,,,,
96,PT05M42.00S,2022-01-12T01:23:25.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,21,20,2022-01-12T01:23:25Z,950000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,
97,PT05M42.00S,2022-01-12T01:23:42.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629637,,,1610612740,22,20,2022-01-12T01:23:42Z,960000,,,0,,J. Hayes Free Throw 2 of 2 (1 PTS),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
98,PT05M19.00S,2022-01-12T01:24:15.5Z,1,REGULAR,foul,personal,['2freethrow'],1628404,,,1610612750,22,20,2022-01-12T01:24:25Z,970000,,,0,,J. Hart shooting personal FOUL (1 PF) (McDaniels 2 FT),"[1628404, 1630183]",1610612740.0,NOP,shooting,,,Hart,J. Hart,,,,,,,,,,,,,,201638.0,1.0,0.0,McDaniels,1630183.0,,,,,,,
