actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
48,PT07M49.00S,2021-12-29T01:18:44.2Z,1,REGULAR,turnover,3-second-violation,[],202685,,,1610612740,2,9,2021-12-29T01:18:51Z,480000,,,0,,J. Valanciunas 3-second-violation TURNOVER (2 TO),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,2.0,,,,,,,202049.0,,,,,,,
49,PT07M30.00S,2021-12-29T01:19:09.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201937,18.610381077529567,47.05882352941176,1610612739,2,9,2021-12-29T01:19:16Z,490000,15.0,122.0,1,left,MISS R. Rubio 12' Jump Shot,[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,12.33,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M27.00S,2021-12-29T01:19:12.2Z,1,REGULAR,rebound,defensive,[],202066,,,1610612740,2,9,2021-12-29T01:19:16Z,500000,,,0,,G. Temple REBOUND (Off:0 Def:1),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
51,PT07M14.00S,2021-12-29T01:19:32.1Z,1,REGULAR,foul,personal,['2freethrow'],1630171,,,1610612740,2,9,2021-12-29T01:19:51Z,510000,,,0,,I. Okoro shooting personal FOUL (1 PF) (Temple 2 FT),"[1630171, 202066]",1610612739.0,CLE,shooting,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,202049.0,,,1.0,0.0,Temple,202066.0,
53,PT07M14.00S,2021-12-29T01:19:52.7Z,1,REGULAR,freethrow,1 of 2,[],202066,,,1610612740,2,9,2021-12-29T01:20:28Z,530000,,,0,,MISS G. Temple Free Throw 1 of 2,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M14.00S,2021-12-29T01:19:52.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612740,2,9,2021-12-29T01:20:28Z,540000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,
55,PT07M14.00S,2021-12-29T01:19:54.1Z,1,REGULAR,substitution,out,[],1630596,,,1610612740,2,9,2021-12-29T01:20:06Z,550000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M14.00S,2021-12-29T01:19:54.1Z,1,REGULAR,substitution,in,[],201567,,,1610612740,2,9,2021-12-29T01:20:06Z,560000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M14.00S,2021-12-29T01:19:52.7Z,1,REGULAR,freethrow,2 of 2,[],202066,,,1610612740,2,9,2021-12-29T01:20:28Z,570000,,,0,,MISS G. Temple Free Throw 2 of 2,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,Missed,,,,,,,,,,,,,,,,,,,
58,PT07M06.00S,2021-12-29T01:20:00.7Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,2,9,2021-12-29T01:20:28Z,580000,,,0,,L. Markkanen REBOUND (Off:1 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,57.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
59,PT07M01.00S,2021-12-29T01:20:33.3Z,1,REGULAR,3pt,Jump Shot,[],1629731,5.732588699080158,95.83333333333334,1610612739,2,12,2021-12-29T01:20:40Z,590000,-229.0,1.0,1,left,D. Wade 3PT  (3 PTS) (R. Rubio 1 AST),"[1629731, 201937]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,22.92,Made,,,,,,,,3.0,R. Rubio,201937.0,1.0,,,,,,,,
61,PT06M39.00S,2021-12-29T01:20:54.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,93.9060446780552,52.20588235294118,1610612740,4,12,2021-12-29T01:20:59Z,610000,11.0,5.0,1,right,H. Jones cutting Layup (2 PTS) (T. Satoransky 2 AST),"[1630529, 203107]",1610612740.0,NOP,cutting,,,Jones,H. Jones,,,,,1.2,Made,,,,,,,,2.0,T. Satoransky,203107.0,2.0,,,,,,,,
63,PT06M20.00S,2021-12-29T01:21:13.5Z,1,REGULAR,3pt,Jump Shot,[],201937,25.443495400788436,16.42156862745098,1610612739,4,15,2021-12-29T01:21:19Z,630000,168.0,187.0,1,left,R. Rubio 25' 3PT  (10 PTS) (I. Okoro 2 AST),"[201937, 1630171]",1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,25.11,Made,,,,,,,,10.0,I. Okoro,1630171.0,2.0,,,,,,,,
65,PT06M08.00S,2021-12-29T01:21:24.8Z,1,REGULAR,3pt,Jump Shot,[],1629109,67.36202365308804,44.11764705882353,1610612740,4,15,2021-12-29T01:21:30Z,650000,-29.0,254.0,1,right,MISS G. Clark 25' 3PT,[1629109],1610612740.0,NOP,,,,Clark,G. Clark,,,,,25.6,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M05.00S,2021-12-29T01:21:27.8Z,1,REGULAR,rebound,defensive,[],201937,,,1610612739,4,15,2021-12-29T01:21:30Z,660000,,,0,,R. Rubio REBOUND (Off:1 Def:2),[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,65.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
67,PT06M01.00S,2021-12-29T01:21:40.2Z,1,REGULAR,foul,personal,[],1630529,,,1610612739,4,15,2021-12-29T01:22:06Z,670000,,,0,,H. Jones personal FOUL (2 PF),"[1630529, 201937]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,1628168.0,,,2.0,0.0,Rubio,201937.0,
69,PT06M01.00S,2021-12-29T01:21:47.0Z,1,REGULAR,substitution,out,[],1629109,,,1610612739,4,15,2021-12-29T01:22:04Z,690000,,,0,,SUB out: G. Clark,[1629109],1610612740.0,NOP,,,,Clark,G. Clark,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M01.00S,2021-12-29T01:21:47.0Z,1,REGULAR,substitution,out,[],202685,,,1610612739,4,15,2021-12-29T01:22:04Z,700000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M01.00S,2021-12-29T01:21:47.0Z,1,REGULAR,substitution,out,[],203107,,,1610612739,4,15,2021-12-29T01:22:04Z,710000,,,0,,SUB out: T. Satoransky,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M01.00S,2021-12-29T01:21:47.0Z,1,REGULAR,substitution,out,[],1630171,,,1610612739,4,15,2021-12-29T01:22:04Z,720000,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M01.00S,2021-12-29T01:21:47.0Z,1,REGULAR,substitution,in,[],1626195,,,1610612739,4,15,2021-12-29T01:22:04Z,730000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M01.00S,2021-12-29T01:21:47.0Z,1,REGULAR,substitution,in,[],1628984,,,1610612739,4,15,2021-12-29T01:22:04Z,740000,,,0,,SUB in: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M01.00S,2021-12-29T01:21:47.0Z,1,REGULAR,substitution,in,[],1630530,,,1610612739,4,15,2021-12-29T01:22:04Z,750000,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M01.00S,2021-12-29T01:21:47.0Z,1,REGULAR,substitution,in,[],1627756,,,1610612739,4,15,2021-12-29T01:22:04Z,760000,,,0,,SUB in: D. Valentine,[1627756],1610612739.0,CLE,,,,Valentine,D. Valentine,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M52.00S,2021-12-29T01:22:11.8Z,1,REGULAR,3pt,Jump Shot,[],1627756,3.4986859395532193,96.81372549019608,1610612739,4,18,2021-12-29T01:22:17Z,770000,-234.0,-20.0,1,left,D. Valentine 3PT  (3 PTS) (R. Rubio 2 AST),"[1627756, 201937]",1610612739.0,CLE,,,,Valentine,D. Valentine,,,,,23.49,Made,,,,,,,,3.0,R. Rubio,201937.0,2.0,,,,,,,,
79,PT05M28.00S,2021-12-29T01:22:34.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,92.9862023653088,45.34313725490196,1610612740,6,18,2021-12-29T01:22:39Z,790000,-23.0,13.0,1,right,H. Jones cutting Layup (4 PTS) (D. Graham 1 AST),"[1630529, 1628984]",1610612740.0,NOP,cutting,,,Jones,H. Jones,,,,,2.69,Made,,,,,,,,4.0,D. Graham,1628984.0,1.0,,,,,,,,
81,PT05M17.00S,2021-12-29T01:22:46.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201937,4.681340341655716,55.14705882352941,1610612739,6,18,2021-12-29T01:22:50Z,810000,-26.0,-8.0,1,left,MISS R. Rubio running Layup - blocked,"[201937, 1630529]",1610612739.0,CLE,running,,,Rubio,R. Rubio,,,,,2.71,Missed,,,,,,,,,,,,,Jones,1630529.0,,,,,
82,PT05M17.00S,2021-12-29T01:22:46.0Z,1,REGULAR,block,,[],1630529,,,1610612739,6,18,2021-12-29T01:22:48Z,820000,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M14.00S,2021-12-29T01:22:49.0Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,6,18,2021-12-29T01:22:50Z,830000,,,0,,W. Hernangomez REBOUND (Off:0 Def:1),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
84,PT05M10.00S,2021-12-29T01:22:53.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630529,87.46714848883047,52.450980392156865,1610612740,8,18,2021-12-29T01:23:46Z,840000,12.0,65.0,1,right,H. Jones 6' floating Jump Shot (6 PTS),[1630529],1610612740.0,NOP,floating,,,Jones,H. Jones,,,,,6.64,Made,,,,,,,,6.0,,,,,,,,,,,
85,PT04M50.00S,2021-12-29T01:23:13.2Z,1,REGULAR,3pt,Jump Shot,[],201567,28.203022339027594,74.26470588235294,1610612739,8,21,2021-12-29T01:23:17Z,850000,-121.0,213.0,1,left,K. Love 24' 3PT  (3 PTS) (R. Rubio 3 AST),"[201567, 201937]",1610612739.0,CLE,,,,Love,K. Love,,,,,24.48,Made,,,,,,,,3.0,R. Rubio,201937.0,3.0,,,,,,,,
87,PT04M38.00S,2021-12-29T01:23:30.7Z,1,REGULAR,foul,personal,[],1627756,,,1610612740,8,21,2021-12-29T01:23:47Z,870000,,,0,,D. Valentine personal FOUL (1 PF),"[1627756, 1628984]",1610612739.0,CLE,,,,Valentine,D. Valentine,,,,,,,,,,,,,,,,,,1626301.0,,,1.0,0.0,Graham,1628984.0,
89,PT04M38.00S,2021-12-29T01:23:36.0Z,1,REGULAR,substitution,out,[],201937,,,1610612740,8,21,2021-12-29T01:23:47Z,890000,,,0,,SUB out: R. Rubio,[201937],1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M38.00S,2021-12-29T01:23:36.0Z,1,REGULAR,substitution,out,[],1629731,,,1610612740,8,21,2021-12-29T01:23:47Z,900000,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,
