actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
36,PT08M46.00S,2021-12-11T01:14:43.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,86.28449408672799,42.64705882352941,1610612740,10,10,2021-12-11T01:14:52Z,360000,-37.0,76.0,1,right,MISS H. Jones 8' cutting Layup,[1630529],1610612740.0,NOP,cutting,,,Jones,H. Jones,,,,,8.48,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M42.00S,2021-12-11T01:14:45.7Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,10,10,2021-12-11T01:14:45Z,370000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,36.0,,,,,,1.0,1.0,0.0,,,,,,
38,PT08M37.00S,2021-12-11T01:14:50.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630180,34.11629434954008,49.50980392156863,1610612765,10,13,2021-12-11T01:15:16Z,380000,2.0,268.0,1,left,S. Bey 26' 3PT  (3 PTS) (K. Hayes 2 AST),"[1630180, 1630165]",1610612765.0,DET,,,,Bey,S. Bey,,,,,26.82,Made,3.0,K. Hayes,1630165.0,2.0,,,,,,,,,,,,,,,
40,PT08M29.00S,2021-12-11T01:15:03.5Z,1,REGULAR,foul,personal,[],1630191,,,1610612740,10,13,2021-12-11T01:20:40Z,400000,,,0,,I. Stewart personal FOUL (1 PF),"[1630191, 202685]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,200832.0,1.0,0.0,Valanciunas,202685.0,,,,,,,,,
51,PT08M21.00S,2021-12-11T01:15:15.2Z,1,REGULAR,turnover,traveling,[],1628404,,,1610612740,10,13,2021-12-11T01:16:46Z,415000,,,0,,J. Hart traveling TURNOVER (1 TO),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,200832.0,,,,,,,,1.0,,,,,
43,PT08M09.00S,2021-12-11T01:15:43.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630165,9.937582128777924,58.57843137254902,1610612765,10,15,2021-12-11T01:17:37Z,430000,-43.0,41.0,1,left,K. Hayes driving Layup (2 PTS),[1630165],1610612765.0,DET,driving,,,Hayes,K. Hayes,,,,,5.93,Made,2.0,,,,,,,,,,,,,,,,,,
44,PT07M53.00S,2021-12-11T01:16:00.2Z,1,REGULAR,3pt,Jump Shot,[],1628984,68.54467805519053,75.73529411764706,1610612740,10,15,2021-12-11T01:16:09Z,440000,129.0,243.0,1,right,MISS D. Graham 27' 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,27.52,Missed,,,,,,,,,,,,,,,,,,,
45,PT07M53.00S,2021-12-11T01:16:00.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,10,15,2021-12-11T01:20:10Z,450000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,
46,PT07M51.00S,2021-12-11T01:16:14.1Z,1,REGULAR,foul,personal,[],1630191,,,1610612740,10,15,2021-12-11T01:20:10Z,460000,,,0,,I. Stewart personal FOUL (2 PF),"[1630191, 202685]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,202056.0,2.0,0.0,Valanciunas,202685.0,,,,,,,,,
49,PT07M51.00S,2021-12-11T01:16:34.2Z,1,REGULAR,substitution,out,[],1630191,,,1610612740,10,15,2021-12-11T01:16:40Z,490000,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M51.00S,2021-12-11T01:16:34.2Z,1,REGULAR,substitution,in,[],1626168,,,1610612740,10,15,2021-12-11T01:16:40Z,500000,,,0,,SUB in: T. Lyles,[1626168],1610612765.0,DET,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M43.00S,2021-12-11T01:16:55.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202685,82.86793692509855,54.65686274509803,1610612740,10,15,2021-12-11T01:20:25Z,510000,23.0,109.0,1,right,MISS J. Valanciunas 11' turnaround Shot,[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,11.1,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M40.00S,2021-12-11T01:16:58.1Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,10,15,2021-12-11T01:16:58Z,520000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,52.0,,,,,,1.0,1.0,0.0,,,,,,
54,PT07M34.00S,2021-12-11T01:17:05.7Z,1,REGULAR,2pt,Jump Shot,[],1630595,12.697109067017081,29.411764705882355,1610612765,10,17,2021-12-11T01:26:31Z,530000,103.0,67.0,1,left,C. Cunningham 12' pullup Jump Shot (5 PTS),[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,12.27,Made,5.0,,,,,,,,,,,,,,,,,,
55,PT07M34.00S,2021-12-11T01:17:12.6Z,1,REGULAR,foul,personal,['1freethrow'],1630529,,,1610612765,10,17,2021-12-11T01:17:24Z,540000,,,0,,H. Jones shooting personal FOUL (1 PF) (Cunningham 1 FT),"[1630529, 1630595]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,,,,,,,,200832.0,1.0,0.0,Cunningham,1630595.0,,,,,,,,,
57,PT07M34.00S,2021-12-11T01:17:34.8Z,1,REGULAR,freethrow,1 of 1,[],1630595,,,1610612765,10,17,2021-12-11T01:17:43Z,560000,,,0,,MISS C. Cunningham Free Throw 1 of 1,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,Missed,,,,,,,,,,,,,,,,,,,
58,PT07M31.00S,2021-12-11T01:17:37.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,10,17,2021-12-11T01:17:43Z,570000,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,57.0,,,,,,2.0,1.0,1.0,,,,,,
59,PT07M26.00S,2021-12-11T01:17:41.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627742,69.46452036793693,21.568627450980394,1610612740,13,17,2021-12-11T01:17:52Z,580000,-142.0,235.0,1,right,B. Ingram 27' 3PT  (11 PTS) (H. Jones 1 AST),"[1627742, 1630529]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,27.42,Made,11.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,,,,
61,PT07M16.00S,2021-12-11T01:17:51.5Z,1,REGULAR,3pt,Jump Shot,[],1630595,28.991458607095925,17.647058823529413,1610612765,13,17,2021-12-11T01:17:59Z,600000,162.0,220.0,1,left,MISS C. Cunningham 27' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,27.31,Missed,,,,,,,,,,,,,,,,,,,
62,PT07M13.00S,2021-12-11T01:17:54.5Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,13,17,2021-12-11T01:17:59Z,610000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,61.0,,,,,,1.0,1.0,0.0,,,,,,
63,PT06M53.00S,2021-12-11T01:18:14.1Z,1,REGULAR,3pt,Jump Shot,[],1630529,91.5407358738502,2.450980392156863,1610612740,13,17,2021-12-11T01:18:19Z,620000,-238.0,27.0,1,right,MISS H. Jones 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,23.92,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M50.00S,2021-12-11T01:18:17.1Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612765,13,17,2021-12-11T01:18:29Z,630000,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612765.0,DET,,,,Lyles,T. Lyles,,,,,,,,,,,63.0,,,,,,1.0,1.0,0.0,,,,,,
65,PT06M41.00S,2021-12-11T01:18:26.0Z,1,REGULAR,3pt,Jump Shot,[],1630180,26.757555847568987,82.59803921568627,1610612765,13,17,2021-12-11T01:18:34Z,640000,-163.0,199.0,1,left,MISS S. Bey 25' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,25.72,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M38.00S,2021-12-11T01:18:29.0Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,13,17,2021-12-11T01:18:34Z,650000,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,65.0,,,,,,2.0,2.0,0.0,,,,,,
68,PT06M35.00S,2021-12-11T01:18:40.7Z,1,REGULAR,foul,personal,['2freethrow'],1630595,,,1610612740,13,17,2021-12-11T01:21:26Z,670000,,,0,,C. Cunningham shooting personal FOUL (1 PF) (Hart 2 FT),"[1630595, 1628404]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,,,,,,,,202056.0,1.0,0.0,Hart,1628404.0,,,,,,,,,
70,PT06M35.00S,2021-12-11T01:18:58.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,13,17,2021-12-11T01:18:58Z,690000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M35.00S,2021-12-11T01:21:47.5Z,1,REGULAR,freethrow,1 of 2,[],1628404,,,1610612740,14,17,2021-12-11T01:21:47Z,700000,,,0,,J. Hart Free Throw 1 of 2 (3 PTS),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
72,PT06M35.00S,2021-12-11T01:22:03.1Z,1,REGULAR,freethrow,2 of 2,[],1628404,,,1610612740,15,17,2021-12-11T01:22:03Z,710000,,,0,,J. Hart Free Throw 2 of 2 (4 PTS),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
73,PT06M26.00S,2021-12-11T01:22:13.5Z,1,REGULAR,3pt,Jump Shot,[],1630180,11.12023653088042,2.2058823529411766,1610612765,15,20,2021-12-11T01:22:22Z,720000,239.0,52.0,1,left,S. Bey 24' 3PT  (6 PTS) (K. Hayes 3 AST),"[1630180, 1630165]",1610612765.0,DET,,,,Bey,S. Bey,,,,,24.46,Made,6.0,K. Hayes,1630165.0,3.0,,,,,,,,,,,,,,,
75,PT06M02.00S,2021-12-11T01:22:38.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,87.72996057818659,49.50980392156863,1610612740,17,20,2021-12-11T01:22:44Z,740000,-2.0,63.0,1,right,J. Valanciunas 6' Layup (2 PTS) (J. Hart 1 AST),"[202685, 1628404]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,6.28,Made,2.0,J. Hart,1628404.0,1.0,,,,,,,,,,,,,,,
77,PT05M43.00S,2021-12-11T01:22:57.1Z,1,REGULAR,3pt,Jump Shot,[],1630180,24.392247043363994,85.5392156862745,1610612765,17,23,2021-12-11T01:23:01Z,760000,-178.0,177.0,1,left,S. Bey 25' 3PT  (9 PTS) (K. Hayes 4 AST),"[1630180, 1630165]",1610612765.0,DET,,,,Bey,S. Bey,,,,,25.07,Made,9.0,K. Hayes,1630165.0,4.0,,,,,,,,,,,,,,,
79,PT05M24.00S,2021-12-11T01:23:15.8Z,1,REGULAR,2pt,Jump Shot,[],1627742,74.06373193166885,40.19607843137255,1610612740,17,23,2021-12-11T01:23:24Z,780000,-49.0,191.0,1,right,MISS B. Ingram 19' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,19.75,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M22.00S,2021-12-11T01:23:17.8Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,17,23,2021-12-11T01:23:24Z,790000,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,79.0,,,,,,1.0,1.0,0.0,,,,,,
81,PT05M13.00S,2021-12-11T01:23:27.6Z,1,REGULAR,3pt,Jump Shot,[],1626168,29.517082785808146,23.03921568627451,1610612765,17,26,2021-12-11T01:23:45Z,800000,135.0,225.0,1,left,T. Lyles 26' 3PT  (3 PTS) (C. Cunningham 2 AST),"[1626168, 1630595]",1610612765.0,DET,,,,Lyles,T. Lyles,,,,,26.23,Made,3.0,C. Cunningham,1630595.0,2.0,,,,,,,,,,,,,,,
83,PT04M53.00S,2021-12-11T01:23:47.1Z,1,REGULAR,2pt,Jump Shot,[],1628984,78.26872536136662,43.872549019607845,1610612740,17,26,2021-12-11T01:23:53Z,820000,-31.0,152.0,1,right,MISS D. Graham 15' floating Shot,[1628984],1610612740.0,NOP,floating,,,Graham,D. Graham,,,,,15.49,Missed,,,,,,,,,,,,,,,,,,,
84,PT04M51.00S,2021-12-11T01:23:49.1Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,17,26,2021-12-11T01:23:53Z,830000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,83.0,,,,,,1.0,1.0,0.0,,,,,,
85,PT04M32.00S,2021-12-11T01:24:08.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,14.273981603153747,64.2156862745098,1610612765,17,26,2021-12-11T01:26:49Z,840000,-71.0,82.0,1,left,MISS S. Bey 10' driving floating bank Shot,[1630180],1610612765.0,DET,driving floating bank,,,Bey,S. Bey,,,,,10.83,Missed,,,,,,,,,,,,,,,,,,,
86,PT04M30.00S,2021-12-11T01:24:10.1Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,17,26,2021-12-11T01:24:16Z,850000,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,85.0,,,,,,2.0,2.0,0.0,,,,,,
87,PT04M24.00S,2021-12-11T01:24:15.7Z,1,REGULAR,3pt,Jump Shot,[],1628984,88.25558475689881,96.32352941176471,1610612740,17,26,2021-12-11T01:24:40Z,860000,232.0,58.0,1,right,MISS D. Graham 3PT,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,23.87,Missed,,,,,,,,,,,,,,,,,,,
88,PT04M19.00S,2021-12-11T01:24:21.4Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612740,17,26,2021-12-11T01:24:21Z,870000,,,0,,J. Hart REBOUND (Off:1 Def:2),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,87.0,,,,,,3.0,2.0,1.0,,,,,,
89,PT04M16.00S,2021-12-11T01:24:24.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630529,91.93495400788436,45.588235294117645,1610612740,19,26,2021-12-11T01:24:45Z,880000,-22.0,23.0,1,right,H. Jones cutting Layup (2 PTS) (B. Ingram 1 AST),"[1630529, 1627742]",1610612740.0,NOP,cutting,,,Jones,H. Jones,,,,,3.21,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,,
91,PT03M58.00S,2021-12-11T01:24:42.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626168,9.149145860709593,44.6078431372549,1610612765,19,28,2021-12-11T01:24:49Z,900000,27.0,34.0,1,left,T. Lyles Layup (5 PTS) (C. Cunningham 3 AST),"[1626168, 1630595]",1610612765.0,DET,,,,Lyles,T. Lyles,,,,,4.3,Made,5.0,C. Cunningham,1630595.0,3.0,,,,,,,,,,,,,,,
93,PT03M43.00S,2021-12-11T01:24:57.2Z,1,REGULAR,2pt,Jump Shot,[],1627742,80.23981603153744,75.0,1610612740,19,28,2021-12-11T01:25:03Z,920000,125.0,133.0,1,right,MISS B. Ingram 18' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,18.27,Missed,,,,,,,,,,,,,,,,,,,
94,PT03M40.00S,2021-12-11T01:25:00.2Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612765,19,28,2021-12-11T01:25:03Z,930000,,,0,,T. Lyles REBOUND (Off:0 Def:2),[1626168],1610612765.0,DET,,,,Lyles,T. Lyles,,,,,,,,,,,93.0,,,,,,2.0,2.0,0.0,,,,,,
95,PT03M34.00S,2021-12-11T01:25:06.3Z,1,REGULAR,2pt,Jump Shot,[],203924,22.552562417871222,70.09803921568627,1610612765,19,28,2021-12-11T01:25:14Z,940000,-100.0,159.0,1,left,MISS J. Grant 18' pullup Shot,[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,18.85,Missed,,,,,,,,,,,,,,,,,,,
96,PT03M31.00S,2021-12-11T01:25:09.1Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,19,28,2021-12-11T01:25:09Z,950000,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,95.0,,,,,,3.0,2.0,1.0,,,,,,
97,PT03M21.00S,2021-12-11T01:25:19.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,92.46057818659659,53.18627450980392,1610612740,21,28,2021-12-11T01:25:26Z,960000,16.0,18.0,1,right,J. Hart driving reverse Layup (6 PTS),[1628404],1610612740.0,NOP,driving reverse,,,Hart,J. Hart,,,,,2.43,Made,6.0,,,,,,,,,,,,,,,,,,
98,PT03M14.00S,2021-12-11T01:25:32.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,21,28,2021-12-11T01:25:32Z,970000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
