actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
40,PT09M06.00S,2022-02-18T01:14:39.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202685,76.5604467805519,85.29411764705883,1610612740,6,8,2022-02-18T01:14:43Z,390000,176.0,168.0,1,right,MISS J. Valanciunas 24' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,24.35,Missed,,,,,,,,,,,,,
41,PT09M02.00S,2022-02-18T01:14:43.3Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,6,8,2022-02-18T01:14:43Z,400000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,40.0,2.0,2.0,0.0,,,,,,,,,
42,PT08M57.00S,2022-02-18T01:14:47.6Z,1,REGULAR,3pt,Jump Shot,[],1627827,28.465834428383708,14.950980392156863,1610612742,6,11,2022-02-18T01:14:55Z,410000,175.0,215.0,1,left,D. Finney-Smith 27' 3PT  (3 PTS) (J. Brunson 1 AST),"[1627827, 1628973]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,27.74,Made,,,,,3.0,,,,,J. Brunson,1628973.0,1.0,
44,PT08M43.00S,2022-02-18T01:15:01.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,93.77463863337714,46.32352941176471,1610612740,6,11,2022-02-18T01:15:06Z,430000,-18.0,6.0,1,right,MISS B. Ingram driving reverse Layup,[1627742],1610612740.0,NOP,driving reverse,,,Ingram,B. Ingram,,,,,,,,,,,1.94,Missed,,,,,,,,,,,,,
45,PT08M39.00S,2022-02-18T01:15:05.2Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,6,11,2022-02-18T01:15:05Z,440000,,,0,,J. Valanciunas REBOUND (Off:2 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,44.0,3.0,1.0,2.0,,,,,,,,,
46,PT08M39.00S,2022-02-18T01:15:05.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",202685,94.40999984741211,50.0,1610612740,8,11,2022-02-18T01:15:05Z,450000,0.0,0.0,1,right,J. Valanciunas putback DUNK (4 PTS),[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,,,,,,,0.0,Made,,,,,4.0,,,,,,,,
47,PT08M32.00S,2022-02-18T01:15:12.3Z,1,REGULAR,2pt,Jump Shot,[],1629029,17.16491458607096,73.0392156862745,1610612742,8,11,2022-02-18T01:15:17Z,460000,-115.0,109.0,1,left,MISS L. Doncic 15' step back Shot,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,,,,,,15.85,Missed,,,,,,,,,,,,,
48,PT08M28.00S,2022-02-18T01:15:16.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,8,11,2022-02-18T01:15:17Z,470000,,,0,,J. Valanciunas REBOUND (Off:2 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,47.0,4.0,2.0,2.0,,,,,,,,,
49,PT08M14.00S,2022-02-18T01:15:30.3Z,1,REGULAR,2pt,Jump Shot,[],1627742,76.42904073587385,41.42156862745098,1610612740,10,11,2022-02-18T01:15:35Z,480000,-43.0,169.0,1,right,B. Ingram 17' Jump Shot (4 PTS) (H. Jones 1 AST),"[1627742, 1630529]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,17.45,Made,,,,,4.0,,,,,H. Jones,1630529.0,1.0,
51,PT07M56.00S,2022-02-18T01:15:48.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,15.325229960578188,57.59803921568627,1610612742,10,13,2022-02-18T01:15:53Z,500000,-38.0,92.0,1,left,J. Brunson 9' pullup Jump Shot (4 PTS),[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,,,,,,,9.92,Made,,,,,4.0,,,,,,,,
52,PT07M39.00S,2022-02-18T01:16:05.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,91.01511169513797,49.26470588235294,1610612740,12,13,2022-02-18T01:16:10Z,510000,-4.0,32.0,1,right,J. Valanciunas cutting finger roll Layup (6 PTS) (B. Ingram 1 AST),"[202685, 1627742]",1610612740.0,NOP,cutting finger roll,,,Valanciunas,J. Valanciunas,,,,,,,,,,,3.22,Made,,,,,6.0,,,,,B. Ingram,1627742.0,1.0,
54,PT07M21.00S,2022-02-18T01:16:24.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,16.63929040735874,61.76470588235294,1610612742,12,13,2022-02-18T01:16:28Z,530000,-59.0,104.0,1,left,MISS L. Doncic 11' floating Shot,[1629029],1610612742.0,DAL,floating,,,Doncic,L. Doncic,,,,,,,,,,,11.94,Missed,,,,,,,,,,,,,
55,PT07M18.00S,2022-02-18T01:16:26.7Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,12,13,2022-02-18T01:16:26Z,540000,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,54.0,1.0,0.0,1.0,,,,,,,,,
56,PT07M17.00S,2022-02-18T01:16:30.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203939,7.703679369250986,48.77450980392157,1610612742,12,15,2022-02-18T01:16:36Z,550000,6.0,20.0,1,left,D. Powell cutting Layup (2 PTS) (J. Green 1 AST),"[203939, 1630182]",1610612742.0,DAL,cutting,,,Powell,D. Powell,,,,,,,,,,,2.08,Made,,,,,2.0,,,,,J. Green,1630182.0,1.0,
58,PT07M17.00S,2022-02-18T01:16:33.6Z,1,REGULAR,foul,personal,['1freethrow'],1629637,,,1610612742,12,15,2022-02-18T01:16:46Z,570000,,,0,,J. Hayes shooting personal FOUL (1 PF) (Powell 1 FT),"[1629637, 203939]",1610612740.0,NOP,shooting,,,Hayes,J. Hayes,,,,,1627534.0,1.0,0.0,Powell,203939.0,,,,,,,,,,,,,,,,
60,PT07M17.00S,2022-02-18T01:17:03.7Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],203939,,,1610612742,12,16,2022-02-18T01:17:03Z,590000,,,0,,D. Powell Free Throw 1 of 1 (3 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,Made,,,,,3.0,,,,,,,,
61,PT07M04.00S,2022-02-18T01:17:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,94.03745072273325,54.166666666666664,1610612740,12,16,2022-02-18T01:17:21Z,600000,21.0,4.0,1,right,MISS C. McCollum driving Layup - blocked,"[203468, 203939]",1610612740.0,NOP,driving,,,McCollum,C. McCollum,,,,,,,,,,,2.11,Missed,,,,,,Powell,203939.0,,,,,,
62,PT07M04.00S,2022-02-18T01:17:16.8Z,1,REGULAR,block,,[],203939,,,1610612740,12,16,2022-02-18T01:17:19Z,610000,,,0,,D. Powell BLOCK (1 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M01.00S,2022-02-18T01:17:19.8Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,12,16,2022-02-18T01:17:21Z,620000,,,0,,D. Powell REBOUND (Off:1 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,61.0,2.0,1.0,1.0,,,,,,,,,
64,PT06M57.00S,2022-02-18T01:17:23.8Z,1,REGULAR,3pt,Jump Shot,[],1628973,3.3672798948751645,97.05882352941177,1610612742,12,16,2022-02-18T01:17:30Z,630000,-235.0,-21.0,1,left,MISS J. Brunson 3PT,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,23.62,Missed,,,,,,,,,,,,,
65,PT06M54.00S,2022-02-18T01:17:26.8Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,12,16,2022-02-18T01:17:30Z,640000,,,0,,J. Hayes REBOUND (Off:2 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,64.0,3.0,1.0,2.0,,,,,,,,,
66,PT06M44.00S,2022-02-18T01:17:37.0Z,1,REGULAR,3pt,Jump Shot,[],203468,71.56701708278581,19.852941176470587,1610612740,12,16,2022-02-18T01:18:43Z,650000,-151.0,215.0,1,right,MISS C. McCollum 26' pullup 3PT,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,,,,,,,26.24,Missed,,,,,,,,,,,,,
67,PT06M39.00S,2022-02-18T01:17:42.0Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,12,16,2022-02-18T01:17:43Z,660000,,,0,,H. Jones REBOUND (Off:3 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,66.0,3.0,0.0,3.0,,,,,,,,,
68,PT06M39.00S,2022-02-18T01:17:42.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630529,94.40999984741211,50.0,1610612740,12,16,2022-02-18T01:17:42Z,670000,0.0,0.0,1,right,MISS H. Jones tip Layup,[1630529],1610612740.0,NOP,tip,,,Jones,H. Jones,,,,,,,,,,,0.0,Missed,,,,,,,,,,,,,
69,PT06M38.00S,2022-02-18T01:17:43.0Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,12,16,2022-02-18T01:17:43Z,680000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,,,,,
70,PT06M30.00S,2022-02-18T01:17:50.6Z,1,REGULAR,3pt,Jump Shot,[],1628973,23.340998685939553,87.99019607843137,1610612742,12,19,2022-02-18T01:19:00Z,690000,-190.0,167.0,1,left,J. Brunson 25' 3PT pullup (7 PTS),[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,,,,,,,25.29,Made,,,,,7.0,,,,,,,,
71,PT06M08.00S,2022-02-18T01:18:12.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,91.93495400788436,50.49019607843137,1610612740,14,19,2022-02-18T01:18:18Z,700000,2.0,23.0,1,right,J. Valanciunas finger roll Layup (8 PTS),[202685],1610612740.0,NOP,finger roll,,,Valanciunas,J. Valanciunas,,,,,,,,,,,2.34,Made,,,,,8.0,,,,,,,,
72,PT05M55.00S,2022-02-18T01:18:37.8Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612742,14,19,2022-02-18T01:18:50Z,710000,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Doncic 2 FT),"[202685, 1629029]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,1193.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,,,,,,,
74,PT05M55.00S,2022-02-18T01:18:49.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,14,19,2022-02-18T01:18:49Z,730000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M55.00S,2022-02-18T01:20:59.4Z,1,REGULAR,substitution,out,[],1629637,,,1610612742,14,19,2022-02-18T01:21:22Z,740000,,,0,,SUB out: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M55.00S,2022-02-18T01:20:59.4Z,1,REGULAR,substitution,out,[],1630182,,,1610612742,14,19,2022-02-18T01:21:22Z,750000,,,0,,SUB out: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M55.00S,2022-02-18T01:20:59.4Z,1,REGULAR,substitution,in,[],202066,,,1610612742,14,19,2022-02-18T01:21:22Z,760000,,,0,,SUB in: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M55.00S,2022-02-18T01:20:59.4Z,1,REGULAR,substitution,in,[],203915,,,1610612742,14,19,2022-02-18T01:21:22Z,770000,,,0,,SUB in: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M55.00S,2022-02-18T01:21:51.0Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,14,20,2022-02-18T01:21:51Z,780000,,,0,,L. Doncic Free Throw 1 of 2 (7 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,Made,,,,,7.0,,,,,,,,
80,PT05M55.00S,2022-02-18T01:22:09.2Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,14,21,2022-02-18T01:22:09Z,790000,,,0,,L. Doncic Free Throw 2 of 2 (8 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,Made,,,,,8.0,,,,,,,,
81,PT05M34.00S,2022-02-18T01:22:31.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202685,93.77463863337714,50.49019607843137,1610612740,16,21,2022-02-18T01:23:46Z,800000,2.0,6.0,1,right,J. Valanciunas cutting DUNK (10 PTS) (C. McCollum 1 AST),"[202685, 203468]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,,,,,,,0.65,Made,,,,,10.0,,,,,C. McCollum,203468.0,1.0,
83,PT05M13.00S,2022-02-18T01:22:52.3Z,1,REGULAR,3pt,Jump Shot,[],1628973,31.225361366622867,56.127450980392155,1610612742,16,24,2022-02-18T01:23:00Z,820000,-31.0,241.0,1,left,J. Brunson 24' 3PT pullup (10 PTS) (L. Doncic 1 AST),"[1628973, 1629029]",1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,,,,,,,24.29,Made,,,,,10.0,,,,,L. Doncic,1629029.0,1.0,
85,PT04M59.00S,2022-02-18T01:23:05.6Z,1,REGULAR,3pt,Jump Shot,[],202066,70.38436268068331,74.75490196078431,1610612740,16,24,2022-02-18T01:23:10Z,840000,124.0,226.0,1,right,MISS G. Temple 25' 3PT,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,25.76,Missed,,,,,,,,,,,,,
