actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
20,PT10M28.00S,2022-02-15T01:12:09.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629018,23.991869250985545,74.04258578431373,1610612761,5,2,2022-02-15T01:21:20Z,200000,-120.0,173.0,1,left,MISS G. Trent Jr. 21' fadeaway Shot,[1629018],1610612761.0,TOR,fadeaway,,,Trent Jr.,G. Trent Jr.,,,,,21.07,Missed,,,,,,,,,,,,,,,,,,
21,PT10M27.00S,2022-02-15T01:12:10.0Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,5,2,2022-02-15T01:19:18Z,210000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M13.00S,2022-02-15T01:12:16.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202685,94.1688567674113,55.63725490196079,1610612740,7,2,2022-02-15T01:12:49Z,220000,28.0,2.0,1,right,J. Valanciunas Layup (4 PTS) (B. Ingram 1 AST),"[202685, 1627742]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,2.83,Made,,,,,4.0,,,B. Ingram,1627742.0,1.0,,,,,,,,
24,PT09M57.00S,2022-02-15T01:12:32.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,14.14257555847569,41.66666666666667,1610612761,7,2,2022-02-15T01:22:13Z,240000,42.0,80.0,1,left,MISS P. Siakam 9' driving Layup,[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,9.06,Missed,,,,,,,,,,,,,,,,,,
25,PT09M57.00S,2022-02-15T01:12:32.6Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,7,2,2022-02-15T01:12:54Z,250000,,,0,,S. Barnes REBOUND (Off:2 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,24.0,2.0,0.0,2.0,,,,,,,,,,,,,,
26,PT09M53.00S,2022-02-15T01:12:36.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630567,8.623521681997373,46.07843137254902,1610612761,7,4,2022-02-15T01:23:25Z,260000,20.0,29.0,1,left,S. Barnes putback Layup (2 PTS),[1630567],1610612761.0,TOR,putback,,,Barnes,S. Barnes,,,,,3.47,Made,,,,,2.0,,,,,,,,,,,,,
27,PT09M47.00S,2022-02-15T01:12:42.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,91.40932982917214,45.34313725490196,1610612740,9,4,2022-02-15T01:24:19Z,270000,-23.0,28.0,1,right,H. Jones driving Layup (2 PTS) (D. Graham 1 AST),"[1630529, 1628984]",1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,3.67,Made,,,,,2.0,,,D. Graham,1628984.0,1.0,,,,,,,,
28,PT09M24.00S,2022-02-15T01:13:04.7Z,1,REGULAR,3pt,Jump Shot,[],1627832,28.728646517739815,23.284313725490197,1610612761,9,4,2022-02-15T01:13:22Z,280000,134.0,218.0,1,left,MISS F. VanVleet 25' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,25.53,Missed,,,,,,,,,,,,,,,,,,
29,PT09M22.00S,2022-02-15T01:13:06.7Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,9,4,2022-02-15T01:13:22Z,290000,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT09M13.00S,2022-02-15T01:13:17.3Z,1,REGULAR,foul,personal,['2freethrow'],1628384,,,1610612740,9,4,2022-02-15T01:13:28Z,310000,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Ingram 2 FT),"[1628384, 1627742]",1610612761.0,TOR,shooting,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Ingram,1627742.0,,,
33,PT09M13.00S,2022-02-15T01:13:42.3Z,1,REGULAR,freethrow,1 of 2,[],1627742,,,1610612740,10,4,2022-02-15T01:13:42Z,330000,,,0,,B. Ingram Free Throw 1 of 2 (1 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
34,PT09M13.00S,2022-02-15T01:13:58.3Z,1,REGULAR,freethrow,2 of 2,[],1627742,,,1610612740,11,4,2022-02-15T01:13:58Z,340000,,,0,,B. Ingram Free Throw 2 of 2 (2 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
35,PT09M02.00S,2022-02-15T01:14:10.8Z,1,REGULAR,3pt,Jump Shot,[],1629018,26.62614980289093,16.911764705882355,1610612761,11,4,2022-02-15T01:14:15Z,350000,165.0,198.0,1,left,MISS G. Trent Jr. 25' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,25.78,Missed,,,,,,,,,,,,,,,,,,
36,PT08M59.00S,2022-02-15T01:14:13.8Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,11,4,2022-02-15T01:14:15Z,360000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT08M56.00S,2022-02-15T01:14:20.7Z,1,REGULAR,turnover,out-of-bounds,[],1630529,,,1610612740,11,4,2022-02-15T01:26:43Z,370000,,,0,,H. Jones lost ball out-of-bounds TURNOVER (1 TO),[1630529],1610612740.0,NOP,lost ball,,,Jones,H. Jones,,,,,,,,,,,,,,,,,2002.0,,,,,1.0,,
38,PT08M41.00S,2022-02-15T01:14:40.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628384,8.360709592641262,54.65686274509803,1610612761,11,4,2022-02-15T01:14:47Z,380000,-23.0,26.0,1,left,MISS O. Anunoby driving DUNK,[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,3.5,Missed,,,,,,,,,,,,,,,,,,
39,PT08M37.00S,2022-02-15T01:14:44.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,11,4,2022-02-15T01:14:47Z,390000,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,,
40,PT08M36.00S,2022-02-15T01:14:50.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,11,4,2022-02-15T01:14:50Z,400000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M21.00S,2022-02-15T01:15:17.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,83.919185282523,40.44117647058824,1610612740,11,4,2022-02-15T01:28:29Z,410000,-48.0,99.0,1,right,MISS B. Ingram 10' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,10.97,Missed,,,,,,,,,,,,,,,,,,
42,PT08M18.00S,2022-02-15T01:15:20.7Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,11,4,2022-02-15T01:15:23Z,420000,,,0,,S. Barnes REBOUND (Off:2 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,41.0,3.0,1.0,2.0,,,,,,,,,,,,,,
43,PT08M06.00S,2022-02-15T01:15:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,8.360709592641262,44.85294117647059,1610612761,11,4,2022-02-15T01:15:40Z,430000,26.0,26.0,1,left,MISS F. VanVleet driving Layup,[1627832],1610612761.0,TOR,driving,,,VanVleet,F. VanVleet,,,,,3.66,Missed,,,,,,,,,,,,,,,,,,
44,PT08M03.00S,2022-02-15T01:15:35.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,11,4,2022-02-15T01:15:40Z,440000,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,43.0,3.0,2.0,1.0,,,,,,,,,,,,,,
45,PT07M59.00S,2022-02-15T01:15:39.1Z,1,REGULAR,turnover,lost ball,[],1627742,,,1610612740,11,4,2022-02-15T01:15:51Z,450000,,,0,,B. Ingram lost ball TURNOVER (1 TO),"[1627742, 1627832]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,1.0,VanVleet,1627832.0
46,PT07M59.00S,2022-02-15T01:15:39.1Z,1,REGULAR,steal,,[],1627832,,,1610612761,11,4,2022-02-15T01:15:41Z,460000,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M54.00S,2022-02-15T01:15:46.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630567,7.440867279894875,53.67647058823529,1610612761,11,4,2022-02-15T01:33:07Z,470000,-18.0,17.0,1,left,MISS S. Barnes Hook,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,2.53,Missed,,,,,,,,,,,,,,,,,,
48,PT07M53.00S,2022-02-15T01:15:47.3Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,11,4,2022-02-15T01:33:07Z,480000,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,47.0,1.0,0.0,1.0,,,,,,,,,,,,,,
137,PT07M51.00S,2022-02-15T01:15:56.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627783,4.467805519053877,54.189644607843135,1610612761,11,4,2022-02-15T01:33:00Z,485000,-21.0,-11.0,1,left,MISS P. Siakam putback Layup,[1627783],1610612761.0,TOR,putback,,,Siakam,P. Siakam,,,,,2.34,Missed,,,,,,,,,,,,,,,,,,
138,PT07M50.00S,2022-02-15T01:15:57.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,11,4,2022-02-15T01:33:00Z,487500,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,137.0,4.0,3.0,1.0,,,,,,,,,,,,,,
49,PT07M32.00S,2022-02-15T01:16:06.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,90.09526938239159,42.15686274509804,1610612740,13,4,2022-02-15T01:16:13Z,490000,-39.0,41.0,1,right,J. Valanciunas turnaround Hook (6 PTS) (D. Graham 2 AST),"[202685, 1628984]",1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,5.64,Made,,,,,6.0,,,D. Graham,1628984.0,2.0,,,,,,,,
51,PT07M24.00S,2022-02-15T01:16:18.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,13,4,2022-02-15T01:16:18Z,510000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M24.00S,2022-02-15T01:18:41.3Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,13,4,2022-02-15T01:18:56Z,520000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M24.00S,2022-02-15T01:18:41.3Z,1,REGULAR,substitution,in,[],203920,,,1610612761,13,4,2022-02-15T01:18:56Z,530000,,,0,,SUB in: K. Birch,[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M12.00S,2022-02-15T01:19:20.6Z,1,REGULAR,3pt,Jump Shot,[],1627832,27.283180026281208,18.38235294117647,1610612761,13,4,2022-02-15T01:31:37Z,540000,158.0,204.0,1,left,MISS F. VanVleet 25' pullup 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,25.81,Missed,,,,,,,,,,,,,,,,,,
55,PT07M08.00S,2022-02-15T01:19:24.6Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,13,4,2022-02-15T01:19:38Z,550000,,,0,,B. Ingram REBOUND (Off:0 Def:3),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,54.0,3.0,3.0,0.0,,,,,,,,,,,,,,
56,PT06M54.00S,2022-02-15T01:19:38.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,87.20433639947439,51.470588235294116,1610612740,15,4,2022-02-15T01:32:30Z,560000,7.0,68.0,1,right,C. McCollum 6' driving floating Jump Shot (5 PTS) (B. Ingram 2 AST),"[203468, 1627742]",1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,6.82,Made,,,,,5.0,,,B. Ingram,1627742.0,2.0,,,,,,,,
58,PT06M42.00S,2022-02-15T01:19:52.9Z,1,REGULAR,foul,personal,[],1630529,,,1610612761,15,4,2022-02-15T01:20:22Z,580000,,,0,,H. Jones personal FOUL (1 PF),"[1630529, 1627783]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Siakam,1627783.0,,,
60,PT06M42.00S,2022-02-15T01:20:04.2Z,1,REGULAR,substitution,out,[],1628984,,,1610612761,15,4,2022-02-15T01:20:07Z,600000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M42.00S,2022-02-15T01:20:04.2Z,1,REGULAR,substitution,in,[],1629637,,,1610612761,15,4,2022-02-15T01:20:07Z,610000,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M35.00S,2022-02-15T01:20:25.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,17.559132720105126,50.245098039215684,1610612761,15,4,2022-02-15T01:37:02Z,620000,-1.0,113.0,1,left,MISS G. Trent Jr. 11' driving floating Shot,[1629018],1610612761.0,TOR,driving floating,,,Trent Jr.,G. Trent Jr.,,,,,11.26,Missed,,,,,,,,,,,,,,,,,,
63,PT06M32.00S,2022-02-15T01:20:28.9Z,1,REGULAR,rebound,offensive,[],203920,,,1610612761,15,4,2022-02-15T01:35:25Z,630000,,,0,,K. Birch REBOUND (Off:1 Def:0),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,62.0,1.0,0.0,1.0,,,,,,,,,,,,,,
64,PT06M30.00S,2022-02-15T01:20:29.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203920,8.492115637319317,50.73529411764706,1610612761,15,6,2022-02-15T01:20:37Z,640000,-4.0,27.0,1,left,K. Birch turnaround Hook (2 PTS),[203920],1610612761.0,TOR,turnaround,,,Birch,K. Birch,,,,,2.75,Made,,,,,2.0,,,,,,,,,,,,,
65,PT06M09.00S,2022-02-15T01:20:51.9Z,1,REGULAR,2pt,Jump Shot,[],1627742,90.3580814717477,84.80392156862744,1610612740,17,6,2022-02-15T01:21:02Z,650000,174.0,38.0,1,right,B. Ingram 17' Jump Shot (4 PTS) (H. Jones 1 AST),"[1627742, 1630529]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,17.81,Made,,,,,4.0,,,H. Jones,1630529.0,1.0,,,,,,,,
67,PT05M48.00S,2022-02-15T01:21:12.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,18.873193166885677,63.970588235294116,1610612761,17,8,2022-02-15T01:21:19Z,670000,-70.0,125.0,1,left,P. Siakam 14' floating Jump Shot (4 PTS) (F. VanVleet 1 AST),"[1627783, 1627832]",1610612761.0,TOR,floating,,,Siakam,P. Siakam,,,,,14.31,Made,,,,,4.0,,,F. VanVleet,1627832.0,1.0,,,,,,,,
69,PT05M38.00S,2022-02-15T01:21:22.6Z,1,REGULAR,3pt,Jump Shot,[],203468,68.28186596583443,28.676470588235293,1610612740,17,8,2022-02-15T01:21:27Z,690000,-107.0,246.0,1,right,MISS C. McCollum 26' pullup 3PT,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,26.78,Missed,,,,,,,,,,,,,,,,,,
70,PT05M35.00S,2022-02-15T01:21:25.6Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,17,8,2022-02-15T01:21:27Z,700000,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,69.0,2.0,1.0,1.0,,,,,,,,,,,,,,
71,PT05M28.00S,2022-02-15T01:21:32.8Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612761,17,8,2022-02-15T01:21:38Z,710000,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 203468]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,1.0,McCollum,203468.0
72,PT05M28.00S,2022-02-15T01:21:32.8Z,1,REGULAR,steal,,[],203468,,,1610612740,17,8,2022-02-15T01:40:57Z,720000,,,0,,C. McCollum STEAL (1 STL),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M22.00S,2022-02-15T01:21:38.8Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629637,91.80354796320631,49.01960784313725,1610612740,19,8,2022-02-15T01:39:22Z,730000,-5.0,25.0,1,right,J. Hayes running DUNK (2 PTS) (B. Ingram 3 AST),"[1629637, 1627742]",1610612740.0,NOP,running,,,Hayes,J. Hayes,,,,,2.5,Made,,,,,2.0,,,B. Ingram,1627742.0,3.0,,,,,,,,
75,PT05M01.00S,2022-02-15T01:22:00.1Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612761,19,8,2022-02-15T01:22:06Z,750000,,,0,,P. Siakam bad pass TURNOVER (2 TO),"[1627783, 1627742]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,2.0,Ingram,1627742.0
76,PT05M01.00S,2022-02-15T01:22:00.1Z,1,REGULAR,steal,,[],1627742,,,1610612740,19,8,2022-02-15T01:22:03Z,760000,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M56.00S,2022-02-15T01:22:05.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630529,70.38436268068331,20.34313725490196,1610612740,22,8,2022-02-15T01:40:41Z,770000,-148.0,226.0,1,right,H. Jones 27' 3PT running (5 PTS) (C. McCollum 1 AST),"[1630529, 203468]",1610612740.0,NOP,running,,,Jones,H. Jones,,,,,27.02,Made,,,,,5.0,,,C. McCollum,203468.0,1.0,,,,,,,,
79,PT04M42.00S,2022-02-15T01:22:24.1Z,1,REGULAR,foul,personal,[],1627742,,,1610612761,22,8,2022-02-15T01:22:33Z,790000,,,0,,B. Ingram personal FOUL (1 PF),"[1627742, 1627783]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Siakam,1627783.0,,,
81,PT04M42.00S,2022-02-15T01:22:40.5Z,1,REGULAR,substitution,out,[],1628384,,,1610612761,22,8,2022-02-15T01:22:53Z,810000,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M42.00S,2022-02-15T01:22:40.5Z,1,REGULAR,substitution,in,[],1628449,,,1610612761,22,8,2022-02-15T01:22:53Z,830000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M30.00S,2022-02-15T01:22:56.3Z,1,REGULAR,3pt,Jump Shot,[],1627832,29.38567674113009,20.098039215686274,1610612761,22,11,2022-02-15T01:23:28Z,850000,150.0,224.0,1,left,F. VanVleet 26' 3PT  (3 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,26.91,Made,,,,,3.0,,,,,,,,,,,,,
86,PT04M18.00S,2022-02-15T01:23:08.2Z,1,REGULAR,3pt,Jump Shot,[],202685,67.36202365308804,24.509803921568626,1610612740,22,11,2022-02-15T01:23:31Z,860000,-127.0,254.0,1,right,MISS J. Valanciunas 28' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,28.45,Missed,,,,,,,,,,,,,,,,,,
87,PT04M18.00S,2022-02-15T01:23:08.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,22,11,2022-02-15T01:23:31Z,870000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,
