actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
16,PT10M10.00S,2021-12-09T01:12:15.9Z,1,REGULAR,2pt,Jump Shot,[],1628420,8.09789750328515,76.47058823529412,1610612743,3,5,2021-12-09T01:12:21Z,160000,-132.0,24.0,1,left,MISS M. Morris 13' pullup Shot,[1628420],1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,13.45,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M06.00S,2021-12-09T01:12:19.9Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,3,5,2021-12-09T01:12:21Z,170000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
18,PT09M55.00S,2021-12-09T01:12:30.6Z,1,REGULAR,turnover,lost ball,[],1628404,,,1610612740,3,5,2021-12-09T01:12:37Z,180000,,,0,,J. Hart lost ball TURNOVER (1 TO),"[1628404, 203999]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,1.0,Jokic,203999.0,,,,,,,
19,PT09M55.00S,2021-12-09T01:12:30.6Z,1,REGULAR,steal,,[],203999,,,1610612743,3,5,2021-12-09T01:12:59Z,190000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT09M52.00S,2021-12-09T01:12:36.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203999,5.863994743758213,46.07843137254902,1610612743,3,7,2021-12-09T01:12:45Z,200000,20.0,3.0,1,left,N. Jokic cutting Layup (2 PTS) (W. Barton 1 AST),"[203999, 203115]",1610612743.0,DEN,cutting,,,Jokic,N. Jokic,,,,,1.98,Made,,,,,,2.0,W. Barton,203115.0,1.0,,,,,,,,,,
22,PT09M52.00S,2021-12-09T01:12:45.0Z,1,REGULAR,foul,personal,['1freethrow'],1628404,,,1610612743,3,7,2021-12-09T01:13:04Z,220000,,,0,,J. Hart shooting personal FOUL (1 PF) (Jokic 1 FT),"[1628404, 203999]",1610612740.0,NOP,shooting,,,Hart,J. Hart,,,,,,,,,,,2534.0,,,,,,,,1.0,0.0,Jokic,203999.0,,,
24,PT09M52.00S,2021-12-09T01:13:11.0Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],203999,,,1610612743,3,8,2021-12-09T01:13:11Z,240000,,,0,,N. Jokic Free Throw 1 of 1 (3 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,Made,,,,,,3.0,,,,,,,,,,,,,
25,PT09M36.00S,2021-12-09T01:13:29.7Z,1,REGULAR,3pt,Jump Shot,[],1628404,75.77201051248358,87.00980392156863,1610612740,3,8,2021-12-09T01:13:35Z,250000,185.0,175.0,1,right,MISS J. Hart 25' 3PT,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M31.00S,2021-12-09T01:13:34.7Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,3,8,2021-12-09T01:13:35Z,260000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
27,PT09M28.00S,2021-12-09T01:13:37.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203115,22.28975032851511,87.5,1610612743,3,11,2021-12-09T01:13:44Z,270000,-188.0,157.0,1,left,W. Barton 24' 3PT  (8 PTS) (M. Morris 1 AST),"[203115, 1628420]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,24.46,Made,,,,,,8.0,M. Morris,1628420.0,1.0,,,,,,,,,,
28,PT09M08.00S,2021-12-09T01:14:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,91.5407358738502,48.77450980392157,1610612740,5,11,2021-12-09T01:14:09Z,280000,-6.0,27.0,1,right,J. Valanciunas reverse Layup (2 PTS),[202685],1610612740.0,NOP,reverse,,,Valanciunas,J. Valanciunas,,,,,2.77,Made,,,,,,2.0,,,,,,,,,,,,,
29,PT09M08.00S,2021-12-09T01:14:03.9Z,1,REGULAR,foul,personal,['1freethrow'],203999,,,1610612740,5,11,2021-12-09T01:14:15Z,290000,,,0,,N. Jokic shooting personal FOUL (1 PF) (Valanciunas 1 FT),"[203999, 202685]",1610612743.0,DEN,shooting,,,Jokic,N. Jokic,,,,,,,,,,,101283.0,,,,,,,,1.0,0.0,Valanciunas,202685.0,,,
32,PT09M08.00S,2021-12-09T01:14:30.6Z,1,REGULAR,freethrow,1 of 1,[],202685,,,1610612740,5,11,2021-12-09T01:14:32Z,310000,,,0,,MISS J. Valanciunas Free Throw 1 of 1,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M06.00S,2021-12-09T01:14:32.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,5,11,2021-12-09T01:14:32Z,320000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
34,PT08M52.00S,2021-12-09T01:14:44.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203115,5.338370565045992,52.450980392156865,1610612743,5,13,2021-12-09T01:14:50Z,330000,-12.0,-2.0,1,left,W. Barton cutting DUNK (10 PTS) (N. Jokic 1 AST),"[203115, 203999]",1610612743.0,DEN,cutting,,,Barton,W. Barton,,,,,1.25,Made,,,,,,10.0,N. Jokic,203999.0,1.0,,,,,,,,,,
36,PT08M35.00S,2021-12-09T01:15:01.0Z,1,REGULAR,3pt,Jump Shot,[],1628404,93.9060446780552,4.166666666666666,1610612740,8,13,2021-12-09T01:15:06Z,350000,-229.0,5.0,1,right,J. Hart 3PT  (3 PTS) (H. Jones 1 AST),"[1628404, 1630529]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,22.93,Made,,,,,,3.0,H. Jones,1630529.0,1.0,,,,,,,,,,
38,PT08M12.00S,2021-12-09T01:15:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,10.200394218134035,60.049019607843135,1610612743,8,13,2021-12-09T01:15:30Z,370000,-50.0,43.0,1,left,MISS A. Gordon 6' Layup,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,6.64,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M09.00S,2021-12-09T01:15:27.8Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,8,13,2021-12-09T01:15:30Z,380000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
40,PT08M05.00S,2021-12-09T01:15:31.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628404,94.1688567674113,53.92156862745098,1610612740,10,13,2021-12-09T01:16:21Z,390000,20.0,2.0,1,right,J. Hart running Layup (5 PTS),[1628404],1610612740.0,NOP,running,,,Hart,J. Hart,,,,,1.97,Made,,,,,,5.0,,,,,,,,,,,,,
41,PT07M54.00S,2021-12-09T01:15:42.8Z,1,REGULAR,3pt,Jump Shot,[],1628420,9.149145860709593,3.9215686274509802,1610612743,10,16,2021-12-09T01:15:47Z,400000,230.0,34.0,1,left,M. Morris 3PT  (3 PTS) (N. Jokic 2 AST),"[1628420, 203999]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,23.28,Made,,,,,,3.0,N. Jokic,203999.0,2.0,,,,,,,,,,
43,PT07M35.00S,2021-12-09T01:16:01.1Z,1,REGULAR,3pt,Jump Shot,[],1628984,76.5604467805519,88.97058823529412,1610612740,13,16,2021-12-09T01:16:05Z,420000,195.0,168.0,1,right,D. Graham 25' 3PT  (3 PTS) (H. Jones 2 AST),"[1628984, 1630529]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,25.72,Made,,,,,,3.0,H. Jones,1630529.0,2.0,,,,,,,,,,
45,PT07M19.00S,2021-12-09T01:16:17.2Z,1,REGULAR,3pt,Jump Shot,[],203932,4.418528252299605,96.32352941176471,1610612743,13,16,2021-12-09T01:16:22Z,440000,-232.0,-11.0,1,left,MISS A. Gordon 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,23.19,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M16.00S,2021-12-09T01:16:20.2Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,13,16,2021-12-09T01:16:22Z,450000,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
47,PT07M11.00S,2021-12-09T01:16:26.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,91.93495400788436,47.30392156862745,1610612740,15,16,2021-12-09T01:16:37Z,460000,-13.0,23.0,1,right,J. Valanciunas Layup (4 PTS) (B. Ingram 1 AST),"[202685, 1627742]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,2.69,Made,,,,,,4.0,B. Ingram,1627742.0,1.0,,,,,,,,,,
49,PT06M51.00S,2021-12-09T01:16:46.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203115,5.601182654402102,54.41176470588235,1610612743,15,16,2021-12-09T01:16:52Z,480000,-22.0,0.0,1,left,MISS W. Barton turnaround Shot - blocked,"[203115, 1630529]",1610612743.0,DEN,turnaround,,,Barton,W. Barton,,,,,2.21,Missed,,,,,,,,,,,,,,,,,Jones,1630529.0,
50,PT06M51.00S,2021-12-09T01:16:46.6Z,1,REGULAR,block,,[],1630529,,,1610612743,15,16,2021-12-09T01:16:49Z,490000,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M48.00S,2021-12-09T01:16:49.6Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,15,16,2021-12-09T01:16:52Z,500000,,,0,,H. Jones REBOUND (Off:0 Def:2),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,49.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
52,PT06M48.00S,2021-12-09T01:16:57.9Z,1,REGULAR,foul,personal,[],201145,,,1610612740,15,16,2021-12-09T01:19:36Z,510000,,,0,,J. Green take personal FOUL (1 PF),"[201145, 1630529]",1610612743.0,DEN,take,,,Green,J. Green,,,,,,,,,,,2534.0,,,,,,,,1.0,0.0,Jones,1630529.0,,,
54,PT06M48.00S,2021-12-09T01:17:10.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,15,16,2021-12-09T01:17:10Z,530000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M38.00S,2021-12-09T01:20:09.3Z,1,REGULAR,2pt,Jump Shot,[],1628404,78.53153745072274,37.745098039215684,1610612740,15,16,2021-12-09T01:20:16Z,540000,-61.0,149.0,1,right,MISS J. Hart 16' step back Shot,[1628404],1610612740.0,NOP,step back,,,Hart,J. Hart,,,,,16.14,Missed,,,,,,,,,,,,,,,,,,,
56,PT06M35.00S,2021-12-09T01:20:12.3Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,15,16,2021-12-09T01:20:16Z,550000,,,0,,W. Barton REBOUND (Off:0 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
57,PT06M27.00S,2021-12-09T01:20:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,6.521024967148489,53.92156862745098,1610612743,15,18,2021-12-09T01:20:27Z,560000,-20.0,9.0,1,left,N. Jokic reverse Layup (5 PTS) (W. Barton 2 AST),"[203999, 203115]",1610612743.0,DEN,reverse,,,Jokic,N. Jokic,,,,,2.15,Made,,,,,,5.0,W. Barton,203115.0,2.0,,,,,,,,,,
59,PT06M17.00S,2021-12-09T01:20:30.0Z,1,REGULAR,3pt,Jump Shot,[],1628984,66.04796320630749,58.57843137254902,1610612740,18,18,2021-12-09T01:20:35Z,580000,43.0,267.0,1,right,D. Graham 27' 3PT pullup (6 PTS),[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,27.0,Made,,,,,,6.0,,,,,,,,,,,,,
60,PT05M56.00S,2021-12-09T01:20:51.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,5.206964520367937,55.14705882352941,1610612743,18,20,2021-12-09T01:20:56Z,590000,-26.0,-4.0,1,left,N. Jokic driving Layup (7 PTS),[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,2.6,Made,,,,,,7.0,,,,,,,,,,,,,
61,PT05M51.00S,2021-12-09T01:20:56.3Z,1,REGULAR,3pt,Jump Shot,[],1627742,74.19513797634691,16.911764705882355,1610612740,18,20,2021-12-09T01:21:07Z,600000,-165.0,190.0,1,right,MISS B. Ingram 25' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,25.2,Missed,,,,,,,,,,,,,,,,,,,
62,PT05M47.00S,2021-12-09T01:21:00.3Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,18,20,2021-12-09T01:21:07Z,610000,,,0,,W. Barton REBOUND (Off:0 Def:2),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,61.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
63,PT05M38.00S,2021-12-09T01:21:09.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,12.697109067017081,47.794117647058826,1610612743,18,22,2021-12-09T01:21:15Z,620000,11.0,67.0,1,left,N. Jokic 6' floating Jump Shot (9 PTS) (W. Barton 3 AST),"[203999, 203115]",1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,6.78,Made,,,,,,9.0,W. Barton,203115.0,3.0,,,,,,,,,,
65,PT05M22.00S,2021-12-09T01:21:26.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,87.07293035479631,48.77450980392157,1610612740,18,22,2021-12-09T01:21:57Z,640000,-6.0,69.0,1,right,MISS J. Valanciunas 6' floating Shot,[202685],1610612740.0,NOP,floating,,,Valanciunas,J. Valanciunas,,,,,6.93,Missed,,,,,,,,,,,,,,,,,,,
66,PT05M22.00S,2021-12-09T01:21:26.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,18,22,2021-12-09T01:21:34Z,650000,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,
67,PT05M22.00S,2021-12-09T01:21:35.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,18,22,2021-12-09T01:21:35Z,660000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M22.00S,2021-12-09T01:21:35.7Z,1,REGULAR,substitution,out,[],1628984,,,1610612743,18,22,2021-12-09T01:21:44Z,670000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M22.00S,2021-12-09T01:21:35.7Z,1,REGULAR,substitution,in,[],1630184,,,1610612743,18,22,2021-12-09T01:21:44Z,680000,,,0,,SUB in: K. Lewis Jr.,[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M07.00S,2021-12-09T01:21:57.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201145,9.149145860709593,51.470588235294116,1610612743,18,24,2021-12-09T01:22:02Z,690000,-7.0,34.0,1,left,J. Green Hook (2 PTS) (N. Jokic 3 AST),"[201145, 203999]",1610612743.0,DEN,,,,Green,J. Green,,,,,3.43,Made,,,,,,2.0,N. Jokic,203999.0,3.0,,,,,,,,,,
72,PT04M55.00S,2021-12-09T01:22:10.4Z,1,REGULAR,turnover,lost ball,[],202685,,,1610612740,18,24,2021-12-09T01:22:15Z,710000,,,0,,J. Valanciunas lost ball TURNOVER (1 TO),"[202685, 1628420]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,1.0,Morris,1628420.0,,,,,,,
73,PT04M55.00S,2021-12-09T01:22:10.4Z,1,REGULAR,steal,,[],1628420,,,1610612743,18,24,2021-12-09T01:22:14Z,720000,,,0,,M. Morris STEAL (1 STL),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M43.00S,2021-12-09T01:22:22.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203999,19.136005256241788,48.28431372549019,1610612743,18,26,2021-12-09T01:22:27Z,730000,9.0,127.0,1,left,N. Jokic 12' Jump Shot (11 PTS) (J. Green 1 AST),"[203999, 201145]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,12.77,Made,,,,,,11.0,J. Green,201145.0,1.0,,,,,,,,,,
76,PT04M26.00S,2021-12-09T01:22:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,94.30026281208936,51.9607843137255,1610612740,20,26,2021-12-09T01:24:43Z,750000,10.0,1.0,1,right,J. Valanciunas Layup (6 PTS) (J. Hart 2 AST),"[202685, 1628404]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,0.99,Made,,,,,,6.0,J. Hart,1628404.0,2.0,,,,,,,,,,
78,PT04M20.00S,2021-12-09T01:22:45.4Z,1,REGULAR,3pt,Jump Shot,[],203115,13.87976346911958,97.54901960784314,1610612743,20,29,2021-12-09T01:22:57Z,770000,-238.0,78.0,1,left,W. Barton 25' 3PT  (13 PTS) (J. Green 2 AST),"[203115, 201145]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,25.02,Made,,,,,,13.0,J. Green,201145.0,2.0,,,,,,,,,,
80,PT03M58.00S,2021-12-09T01:23:06.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,88.91261498028909,37.745098039215684,1610612740,22,29,2021-12-09T01:26:11Z,790000,-61.0,52.0,1,right,J. Valanciunas 8' turnaround Jump Shot (8 PTS) (J. Hart 3 AST),"[202685, 1628404]",1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,8.02,Made,,,,,,8.0,J. Hart,1628404.0,3.0,,,,,,,,,,
82,PT03M49.00S,2021-12-09T01:23:15.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,5.338370565045992,46.32352941176471,1610612743,22,31,2021-12-09T01:23:21Z,810000,18.0,-2.0,1,left,J. Green Layup (4 PTS) (N. Jokic 4 AST),"[201145, 203999]",1610612743.0,DEN,,,,Green,J. Green,,,,,1.85,Made,,,,,,4.0,N. Jokic,203999.0,4.0,,,,,,,,,,
84,PT03M38.00S,2021-12-09T01:23:26.6Z,1,REGULAR,3pt,Jump Shot,[],202685,74.58935611038108,87.25490196078431,1610612740,22,31,2021-12-09T01:23:31Z,830000,186.0,186.0,1,right,MISS J. Valanciunas 26' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,26.35,Missed,,,,,,,,,,,,,,,,,,,
85,PT03M35.00S,2021-12-09T01:23:29.6Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,22,31,2021-12-09T01:23:31Z,840000,,,0,,W. Barton REBOUND (Off:0 Def:3),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,84.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
86,PT03M22.00S,2021-12-09T01:23:42.9Z,1,REGULAR,2pt,Jump Shot,[],203115,23.209592641261498,61.274509803921575,1610612743,22,31,2021-12-09T01:23:48Z,850000,-56.0,166.0,1,left,MISS W. Barton 17' pullup Shot,[203115],1610612743.0,DEN,pullup,,,Barton,W. Barton,,,,,17.5,Missed,,,,,,,,,,,,,,,,,,,
87,PT03M19.00S,2021-12-09T01:23:45.9Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,22,31,2021-12-09T01:23:48Z,860000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
88,PT03M15.00S,2021-12-09T01:23:55.6Z,1,REGULAR,foul,offensive,[],1628404,,,1610612740,22,31,2021-12-09T01:24:03Z,870000,,,0,,J. Hart charge offensive FOUL (2 PF),"[1628404, 203932]",1610612740.0,NOP,charge,,,Hart,J. Hart,,,,,,,,,,,101283.0,,,,,,,,2.0,0.0,Gordon,203932.0,,,
90,PT03M15.00S,2021-12-09T01:23:55.6Z,1,REGULAR,turnover,offensive foul,[],1628404,,,1610612740,22,31,2021-12-09T01:23:55Z,890000,,,0,,J. Hart offensive foul TURNOVER (2 TO),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,101283.0,,,,,2.0,,,,,,,,,
91,PT03M15.00S,2021-12-09T01:24:02.7Z,1,REGULAR,substitution,out,[],202685,,,1610612743,22,31,2021-12-09T01:24:19Z,900000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M15.00S,2021-12-09T01:24:02.7Z,1,REGULAR,substitution,out,[],1628420,,,1610612743,22,31,2021-12-09T01:24:19Z,910000,,,0,,SUB out: M. Morris,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M15.00S,2021-12-09T01:24:02.7Z,1,REGULAR,substitution,out,[],201145,,,1610612743,22,31,2021-12-09T01:24:19Z,920000,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M15.00S,2021-12-09T01:24:02.7Z,1,REGULAR,substitution,in,[],1626195,,,1610612743,22,31,2021-12-09T01:24:19Z,930000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M15.00S,2021-12-09T01:24:02.7Z,1,REGULAR,substitution,in,[],1630267,,,1610612743,22,31,2021-12-09T01:24:19Z,940000,,,0,,SUB in: F. Campazzo,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,,,,,,,,,,,,,,,
