actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
53,PT07M32.00S,2025-12-03T01:20:22.5Z,1,REGULAR,3pt,Jump Shot,[],203084,96.00854139290408,2.2058823529411766,1610612759,8,10,2025-12-03T01:20:27Z,530000,False,-239.0,-15.0,1,right,H. Barnes 3PT  (6 PTS) (L. Kornet 1 AST),"[203084, 1628436]",1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Left Corner 3,24+ Left,,,23.95,Made,,,,,,,,,6.0,L. Kornet,1628436.0,1.0,,,,
55,PT07M08.00S,2025-12-03T01:20:47.1Z,1,REGULAR,3pt,Jump Shot,[],1631246,26.757555847568987,77.69607843137256,1610612763,8,10,2025-12-03T01:20:50Z,550000,False,-138.0,199.0,1,left,MISS V. Williams Jr. 24' 3PT,[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Left Center,,,24.25,Missed,,,,,,,,,,,,,,,,
56,PT07M05.00S,2025-12-03T01:20:49.6Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,8,10,2025-12-03T01:20:49Z,560000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,
57,PT06M59.00S,2025-12-03T01:20:55.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630577,74.58935611038108,13.480392156862745,1610612759,11,10,2025-12-03T01:21:35Z,570000,False,-183.0,186.0,1,right,J. Champagnie 26' 3PT running (3 PTS) (H. Barnes 1 AST),"[1630577, 203084]",1610612759.0,SAS,running,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,26.09,Made,,,,,,,,,3.0,H. Barnes,203084.0,1.0,,,,
59,PT06M33.00S,2025-12-03T01:21:21.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641744,9.543363994743759,47.794117647058826,1610612763,11,12,2025-12-03T01:21:25Z,590000,False,11.0,37.0,1,left,Z. Edey turnaround Hook (4 PTS) (J. Wells 1 AST),"[1641744, 1642377]",1610612763.0,MEM,turnaround,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,,,3.88,Made,,,,,,,,,4.0,J. Wells,1642377.0,1.0,,,,
61,PT06M16.00S,2025-12-03T01:21:39.3Z,1,REGULAR,3pt,Jump Shot,[],1628368,79.45137976346912,90.93137254901961,1610612759,14,12,2025-12-03T01:21:43Z,610000,False,205.0,141.0,1,right,D. Fox 24' 3PT  (3 PTS) (H. Barnes 2 AST),"[1628368, 203084]",1610612759.0,SAS,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,24.84,Made,,,,,,,,,3.0,H. Barnes,203084.0,2.0,,,,
63,PT06M00.00S,2025-12-03T01:21:54.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641744,9.674770039421814,48.77450980392157,1610612763,14,14,2025-12-03T01:22:38Z,630000,False,6.0,38.0,1,left,Z. Edey turnaround Hook (6 PTS) (V. Williams Jr. 2 AST),"[1641744, 1631246]",1610612763.0,MEM,turnaround,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,,,3.89,Made,,,,,,,,,6.0,V. Williams Jr.,1631246.0,2.0,,,,
111,PT05M51.00S,2025-12-03T01:22:05.4Z,1,REGULAR,turnover,out-of-bounds,[],1630577,,,1610612759,14,14,2025-12-03T01:48:29Z,655000,False,,,0,,J. Champagnie step out-of-bounds TURNOVER (1 TO),[1630577],1610612759.0,SAS,step,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,1662.0,1.0,,,,,,,,,,,,,,,,,,
67,PT05M40.00S,2025-12-03T01:22:16.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631246,6.258212877792378,48.28431372549019,1610612763,14,14,2025-12-03T01:26:41Z,670000,False,9.0,6.0,1,left,MISS V. Williams Jr. driving floating Shot - blocked,"[1631246, 1628436]",1610612763.0,MEM,driving floating,,,Williams Jr.,V. Williams Jr.,,,,,Restricted Area,0-8 Center,,,1.07,Missed,,,,,,,Kornet,1628436.0,,,,,,,,
68,PT05M40.00S,2025-12-03T01:22:16.7Z,1,REGULAR,block,,[],1628436,,,1610612763,14,14,2025-12-03T01:22:19Z,680000,False,,,0,,L. Kornet BLOCK (1 BLK),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
69,PT05M40.00S,2025-12-03T01:22:16.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,14,14,2025-12-03T01:22:51Z,690000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Restricted Area,0-8 Center,,,,,67.0,,,,,,,,,,,,,,,
71,PT05M40.00S,2025-12-03T01:22:23.4Z,1,REGULAR,substitution,out,[],1628368,,,1610612763,14,14,2025-12-03T01:22:38Z,710000,False,,,0,,SUB out: D. Fox,[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M40.00S,2025-12-03T01:22:23.4Z,1,REGULAR,substitution,out,[],1628436,,,1610612763,14,14,2025-12-03T01:22:38Z,720000,False,,,0,,SUB out: L. Kornet,[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M40.00S,2025-12-03T01:22:23.4Z,1,REGULAR,substitution,out,[],1631246,,,1610612763,14,14,2025-12-03T01:22:38Z,730000,False,,,0,,SUB out: V. Williams Jr.,[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M40.00S,2025-12-03T01:22:23.4Z,1,REGULAR,substitution,out,[],1641744,,,1610612763,14,14,2025-12-03T01:22:38Z,740000,False,,,0,,SUB out: Z. Edey,[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M40.00S,2025-12-03T01:22:23.4Z,1,REGULAR,substitution,out,[],1642907,,,1610612763,14,14,2025-12-03T01:22:38Z,750000,False,,,0,,SUB out: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M40.00S,2025-12-03T01:22:23.4Z,1,REGULAR,substitution,in,[],203482,,,1610612763,14,14,2025-12-03T01:22:38Z,760000,False,,,0,,SUB in: K. Olynyk,[203482],1610612759.0,SAS,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M40.00S,2025-12-03T01:22:23.4Z,1,REGULAR,substitution,in,[],1642844,,,1610612763,14,14,2025-12-03T01:22:38Z,770000,False,,,0,,SUB in: D. Harper,[1642844],1610612759.0,SAS,,,,Harper,D. Harper,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M40.00S,2025-12-03T01:22:23.4Z,1,REGULAR,substitution,in,[],203484,,,1610612763,14,14,2025-12-03T01:22:38Z,780000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M40.00S,2025-12-03T01:22:23.4Z,1,REGULAR,substitution,in,[],1642285,,,1610612763,14,14,2025-12-03T01:22:38Z,790000,False,,,0,,SUB in: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M40.00S,2025-12-03T01:22:23.4Z,1,REGULAR,substitution,in,[],1629111,,,1610612763,14,14,2025-12-03T01:22:38Z,800000,False,,,0,,SUB in: J. Landale,[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M31.00S,2025-12-03T01:22:50.5Z,1,REGULAR,2pt,Jump Shot,"['2ndchance', 'fromturnover']",1629111,5.469776609724048,19.607843137254903,1610612763,14,16,2025-12-03T01:26:41Z,810000,False,152.0,-1.0,1,left,J. Landale 15' Jump Shot (2 PTS) (S. Aldama 1 AST),"[1629111, 1630583]",1610612763.0,MEM,,,,Landale,J. Landale,,,,,Mid-Range,8-16 Right,,,15.2,Made,,,,,,,,,2.0,S. Aldama,1630583.0,1.0,,,,
83,PT05M20.00S,2025-12-03T01:23:01.6Z,1,REGULAR,3pt,Jump Shot,[],1630170,67.09921156373193,36.029411764705884,1610612759,17,16,2025-12-03T01:23:15Z,830000,False,-70.0,257.0,1,right,D. Vassell 26' 3PT  (3 PTS) (D. Harper 1 AST),"[1630170, 1642844]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,,,26.61,Made,,,,,,,,,3.0,D. Harper,1642844.0,1.0,,,,
85,PT05M08.00S,2025-12-03T01:23:16.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642377,5.863994743758213,54.90196078431373,1610612763,17,18,2025-12-03T01:23:29Z,850000,False,-25.0,3.0,1,left,J. Wells driving finger roll Layup (8 PTS),[1642377],1610612763.0,MEM,driving finger roll,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,,,2.46,Made,,,,,,,,,8.0,,,,,,,
86,PT05M08.00S,2025-12-03T01:23:18.7Z,1,REGULAR,foul,personal,['1freethrow'],1630577,,,1610612763,17,18,2025-12-03T01:23:24Z,860000,False,,,0,,J. Champagnie shooting personal FOUL (1 PF) (Wells 1 FT),"[1630577, 1642377]",1610612759.0,SAS,shooting,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,1662.0,,,,,,,,,,,,,,,,1.0,0.0,Wells,1642377.0
88,PT05M08.00S,2025-12-03T01:23:27.1Z,1,REGULAR,substitution,out,[],1630577,,,1610612763,17,18,2025-12-03T01:24:06Z,880000,False,,,0,,SUB out: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M08.00S,2025-12-03T01:23:27.1Z,1,REGULAR,substitution,in,[],1629640,,,1610612763,17,18,2025-12-03T01:24:06Z,890000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
