actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
19,PT10M07.00S,2025-12-28T01:13:32.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630170,23.603810775295663,32.1078431372549,1610612759,2,2,2025-12-28T01:13:37Z,190000,False,89.0,169.0,1,left,D. Vassell 19' pullup Jump Shot (2 PTS) (S. Castle 1 AST),"[1630170, 1642264]",1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Right Center,19.16,Made,,,,,2.0,S. Castle,1642264.0,1.0,,,,,,,,,,
21,PT09M52.00S,2025-12-28T01:13:47.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,86.7772667542707,50.49019607843137,1610612762,2,4,2025-12-28T01:14:49Z,210000,False,2.0,72.0,1,right,J. Nurkić 7' floating Jump Shot (2 PTS) (B. Sensabaugh 1 AST),"[203994, 1641729]",1610612762.0,UTA,floating,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,7.18,Made,,,,,2.0,B. Sensabaugh,1641729.0,1.0,,,,,,,,,,
23,PT09M45.00S,2025-12-28T01:13:55.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641705,7.703679369250986,48.28431372549019,1610612759,4,4,2025-12-28T01:14:00Z,230000,False,9.0,20.0,1,left,V. Wembanyama cutting DUNK (2 PTS) (S. Castle 2 AST),"[1641705, 1642264]",1610612759.0,SAS,cutting,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,2.17,Made,,,,,2.0,S. Castle,1642264.0,2.0,,,,,,,,,,
25,PT09M27.00S,2025-12-28T01:14:12.3Z,1,REGULAR,3pt,Jump Shot,[],1628374,87.72996057818659,95.09803921568627,1610612762,4,7,2025-12-28T01:14:15Z,250000,False,225.0,63.0,1,right,L. Markkanen 3PT  (3 PTS) (B. Sensabaugh 2 AST),"[1628374, 1641729]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Right Corner 3,24+ Right,23.41,Made,,,,,3.0,B. Sensabaugh,1641729.0,2.0,,,,,,,,,,
27,PT09M16.00S,2025-12-28T01:14:23.8Z,1,REGULAR,3pt,Jump Shot,[],1641705,30.042706964520367,28.431372549019606,1610612759,4,7,2025-12-28T01:14:28Z,270000,False,108.0,230.0,1,left,MISS V. Wembanyama 25' 3PT,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,25.39,Missed,,,,,,,,,,,,,,,,,,
28,PT09M11.00S,2025-12-28T01:14:28.2Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,4,7,2025-12-28T01:14:28Z,280000,False,,,0,,K. George REBOUND (Off:0 Def:2),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,,
29,PT09M03.00S,2025-12-28T01:14:36.5Z,1,REGULAR,3pt,Jump Shot,[],1641729,94.43166885676742,3.6764705882352944,1610612762,4,10,2025-12-28T01:14:41Z,290000,False,-232.0,0.0,1,right,B. Sensabaugh 3PT  (5 PTS) (J. Nurkić 1 AST),"[1641729, 203994]",1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Left Corner 3,24+ Left,23.16,Made,,,,,5.0,J. Nurkić,203994.0,1.0,,,,,,,,,,
31,PT09M02.00S,2025-12-28T01:14:41.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,4,10,2025-12-28T01:14:41Z,310000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT08M46.00S,2025-12-28T01:17:55.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642264,9.937582128777924,50.73529411764706,1610612759,6,10,2025-12-28T01:18:05Z,320000,False,-4.0,41.0,1,left,S. Castle cutting Layup (2 PTS) (V. Wembanyama 1 AST),"[1642264, 1641705]",1610612759.0,SAS,cutting,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,4.11,Made,,,,,2.0,V. Wembanyama,1641705.0,1.0,,,,,,,,,,
34,PT08M46.00S,2025-12-28T01:17:59.1Z,1,REGULAR,foul,personal,['1freethrow'],1641729,,,1610612759,6,10,2025-12-28T01:18:14Z,340000,False,,,0,,B. Sensabaugh shooting personal FOUL (1 PF) (Castle 1 FT),"[1641729, 1642264]",1610612762.0,UTA,shooting,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1627534.0,1.0,0.0,Castle,1642264.0,,,,
36,PT08M46.00S,2025-12-28T01:18:21.5Z,1,REGULAR,freethrow,1 of 1,[],1642264,,,1610612759,7,10,2025-12-28T01:18:21Z,360000,False,,,0,,S. Castle Free Throw 1 of 1 (3 PTS),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
37,PT08M33.00S,2025-12-28T01:18:35.2Z,1,REGULAR,turnover,lost ball,[],203994,,,1610612762,7,10,2025-12-28T01:18:41Z,370000,False,,,0,,J. Nurkić lost ball TURNOVER (1 TO),"[203994, 1642264]",1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,,,,,,Castle,1642264.0,,
38,PT08M33.00S,2025-12-28T01:18:35.2Z,1,REGULAR,steal,,[],1642264,,,1610612759,7,10,2025-12-28T01:18:37Z,380000,False,,,0,,S. Castle STEAL (1 STL),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
39,PT08M29.00S,2025-12-28T01:18:38.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642264,6.521024967148489,51.225490196078425,1610612759,9,10,2025-12-28T01:18:45Z,390000,False,-6.0,9.0,1,left,S. Castle running Layup (5 PTS),[1642264],1610612759.0,SAS,running,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,5.0,,,,,,,,,,,,,
199,PT08M09.00S,2025-12-28T01:18:50.9Z,1,REGULAR,turnover,lost ball,[],1641729,,,1610612762,9,10,2025-12-28T01:44:36Z,405000,False,,,0,,B. Sensabaugh lost ball TURNOVER (1 TO),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Mid-Range,8-16 Center,,,,,,,,,,,1.0,,,,,,,,,
42,PT08M09.00S,2025-12-28T01:19:03.1Z,1,REGULAR,foul,personal,[],1641729,,,1610612759,9,10,2025-12-28T01:44:36Z,420000,False,,,0,,B. Sensabaugh loose ball personal FOUL (2 PF),"[1641729, 1642264]",1610612762.0,UTA,loose ball,,,Sensabaugh,B. Sensabaugh,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,204059.0,2.0,0.0,Castle,1642264.0,,,,
44,PT07M47.00S,2025-12-28T01:19:39.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641705,5.863994743758213,50.0,1610612759,11,10,2025-12-28T01:19:43Z,440000,False,0.0,3.0,1,left,V. Wembanyama driving Layup (4 PTS) (H. Barnes 1 AST),"[1641705, 203084]",1610612759.0,SAS,driving,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,0.26,Made,,,,,4.0,H. Barnes,203084.0,1.0,,,,,,,,,,
46,PT07M34.00S,2025-12-28T01:19:52.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,80.89684625492772,55.88235294117647,1610612762,11,12,2025-12-28T01:20:07Z,460000,False,29.0,127.0,1,right,J. Nurkić 13' floating Jump Shot (4 PTS) (S. Mykhailiuk 1 AST),"[203994, 1629004]",1610612762.0,UTA,floating,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),8-16 Center,13.05,Made,,,,,4.0,S. Mykhailiuk,1629004.0,1.0,,,,,,,,,,
48,PT07M18.00S,2025-12-28T01:20:09.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630170,9.806176084099869,52.20588235294118,1610612759,13,12,2025-12-28T01:20:19Z,480000,False,-11.0,40.0,1,left,D. Vassell finger roll Layup (4 PTS),[1630170],1610612759.0,SAS,finger roll,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,4.12,Made,,,,,4.0,,,,,,,,,,,,,
49,PT07M02.00S,2025-12-28T01:20:24.2Z,1,REGULAR,3pt,Jump Shot,[],203994,71.30420499342969,23.03921568627451,1610612762,13,15,2025-12-28T01:20:31Z,490000,False,-135.0,217.0,1,right,J. Nurkić 25' 3PT  (7 PTS) (K. George 1 AST),"[203994, 1641718]",1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Above the Break 3,24+ Left Center,25.56,Made,,,,,7.0,K. George,1641718.0,1.0,,,,,,,,,,
51,PT06M47.00S,2025-12-28T01:20:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641705,5.601182654402102,51.225490196078425,1610612759,15,15,2025-12-28T01:22:23Z,510000,False,-6.0,0.0,1,left,V. Wembanyama cutting Layup (6 PTS) (S. Castle 3 AST),"[1641705, 1642264]",1610612759.0,SAS,cutting,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,0.61,Made,,,,,6.0,S. Castle,1642264.0,3.0,,,,,,,,,,
53,PT06M47.00S,2025-12-28T01:20:43.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,15,15,2025-12-28T01:20:43Z,530000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M47.00S,2025-12-28T01:23:16.2Z,1,REGULAR,substitution,out,[],203084,,,1610612762,15,15,2025-12-28T01:23:47Z,540000,False,,,0,,SUB out: H. Barnes,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M47.00S,2025-12-28T01:23:16.2Z,1,REGULAR,substitution,out,[],1641705,,,1610612762,15,15,2025-12-28T01:23:47Z,550000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M47.00S,2025-12-28T01:23:16.2Z,1,REGULAR,substitution,out,[],203994,,,1610612762,15,15,2025-12-28T01:23:47Z,560000,False,,,0,,SUB out: J. Nurkić,[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M47.00S,2025-12-28T01:23:16.2Z,1,REGULAR,substitution,out,[],1641729,,,1610612762,15,15,2025-12-28T01:23:47Z,570000,False,,,0,,SUB out: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M47.00S,2025-12-28T01:23:16.2Z,1,REGULAR,substitution,in,[],1628436,,,1610612762,15,15,2025-12-28T01:23:47Z,580000,False,,,0,,SUB in: L. Kornet,[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M47.00S,2025-12-28T01:23:16.2Z,1,REGULAR,substitution,in,[],1629640,,,1610612762,15,15,2025-12-28T01:23:47Z,590000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M47.00S,2025-12-28T01:23:16.2Z,1,REGULAR,substitution,in,[],1642271,,,1610612762,15,15,2025-12-28T01:23:47Z,600000,False,,,0,,SUB in: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M47.00S,2025-12-28T01:23:16.2Z,1,REGULAR,substitution,in,[],1642268,,,1610612762,15,15,2025-12-28T01:23:47Z,610000,False,,,0,,SUB in: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M36.00S,2025-12-28T01:23:56.3Z,1,REGULAR,foul,personal,[],1629640,,,1610612762,15,15,2025-12-28T01:24:03Z,620000,False,,,0,,K. Johnson personal FOUL (1 PF),"[1629640, 1628374]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,202901.0,1.0,0.0,Markkanen,1628374.0,,,,
65,PT06M32.00S,2025-12-28T01:24:19.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642268,93.24901445466492,49.754901960784316,1610612762,15,17,2025-12-28T01:30:42Z,640000,False,-1.0,11.0,1,right,I. Collier cutting Layup (2 PTS) (K. Filipowski 1 AST),"[1642268, 1642271]",1610612762.0,UTA,cutting,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,1.11,Made,,,,,2.0,K. Filipowski,1642271.0,1.0,,,,,,,,,,
67,PT06M20.00S,2025-12-28T01:24:35.0Z,1,REGULAR,foul,personal,[],1642268,,,1610612759,15,17,2025-12-28T01:24:39Z,660000,False,,,0,,I. Collier personal FOUL (1 PF),"[1642268, 1642264]",1610612762.0,UTA,,,,Collier,I. Collier,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,204059.0,1.0,0.0,Castle,1642264.0,,,,
69,PT06M13.00S,2025-12-28T01:24:54.6Z,1,REGULAR,3pt,Jump Shot,[],1629640,10.463206307490145,2.941176470588235,1610612759,18,17,2025-12-28T01:24:59Z,680000,False,235.0,46.0,1,left,K. Johnson 3PT pullup (3 PTS) (S. Castle 4 AST),"[1629640, 1642264]",1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,Right Corner 3,24+ Right,23.97,Made,,,,,3.0,S. Castle,1642264.0,4.0,,,,,,,,,,
71,PT05M49.00S,2025-12-28T01:25:18.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,81.02825229960578,49.754901960784316,1610612762,18,17,2025-12-28T01:25:23Z,700000,False,-1.0,126.0,1,right,MISS K. George 12' driving floating Shot,[1641718],1610612762.0,UTA,driving floating,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,12.58,Missed,,,,,,,,,,,,,,,,,,
72,PT05M47.00S,2025-12-28T01:25:20.6Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,18,17,2025-12-28T01:25:23Z,710000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),8-16 Center,,,71.0,1.0,1.0,0.0,,,,,,,,,,,,,,
73,PT05M39.00S,2025-12-28T01:25:28.4Z,1,REGULAR,3pt,Jump Shot,[],1629640,26.10052562417871,18.38235294117647,1610612759,21,17,2025-12-28T01:25:32Z,720000,False,158.0,193.0,1,left,K. Johnson 24' 3PT  (6 PTS) (L. Kornet 1 AST),"[1629640, 1628436]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,24.93,Made,,,,,6.0,L. Kornet,1628436.0,1.0,,,,,,,,,,
75,PT05M22.00S,2025-12-28T01:25:48.1Z,1,REGULAR,turnover,out-of-bounds,[],1642268,,,1610612762,21,17,2025-12-28T01:26:16Z,740000,False,,,0,,I. Collier bad pass out-of-bounds TURNOVER (1 TO),[1642268],1610612762.0,UTA,bad pass,,,Collier,I. Collier,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,202901.0,,,,,,,,
76,PT05M22.00S,2025-12-28T01:26:00.3Z,1,REGULAR,substitution,out,[],1630577,,,1610612759,21,17,2025-12-28T01:26:19Z,750000,False,,,0,,SUB out: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M22.00S,2025-12-28T01:26:00.3Z,1,REGULAR,substitution,out,[],1628374,,,1610612759,21,17,2025-12-28T01:26:19Z,760000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M22.00S,2025-12-28T01:26:00.3Z,1,REGULAR,substitution,in,[],1642844,,,1610612759,21,17,2025-12-28T01:26:19Z,770000,False,,,0,,SUB in: D. Harper,[1642844],1610612759.0,SAS,,,,Harper,D. Harper,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M22.00S,2025-12-28T01:26:00.3Z,1,REGULAR,substitution,in,[],1641707,,,1610612759,21,17,2025-12-28T01:26:19Z,780000,False,,,0,,SUB in: T. Hendricks,[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M08.00S,2025-12-28T01:26:22.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628436,7.440867279894875,50.245098039215684,1610612759,23,17,2025-12-28T01:26:26Z,790000,False,-1.0,17.0,1,left,L. Kornet alley-oop DUNK (2 PTS) (D. Vassell 1 AST),"[1628436, 1630170]",1610612759.0,SAS,alley-oop,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,1.74,Made,,,,,2.0,D. Vassell,1630170.0,1.0,,,,,,,,,,
82,PT04M50.00S,2025-12-28T01:26:41.9Z,1,REGULAR,foul,personal,['2freethrow'],1628436,,,1610612762,23,17,2025-12-28T01:26:49Z,810000,False,,,0,,L. Kornet shooting personal FOUL (1 PF) (Filipowski 2 FT),"[1628436, 1642271]",1610612759.0,SAS,shooting,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1627534.0,1.0,0.0,Filipowski,1642271.0,,,,
84,PT04M50.00S,2025-12-28T01:27:07.1Z,1,REGULAR,freethrow,1 of 2,[],1642271,,,1610612762,23,18,2025-12-28T01:27:07Z,830000,False,,,0,,K. Filipowski Free Throw 1 of 2 (1 PTS),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
85,PT04M50.00S,2025-12-28T01:27:25.1Z,1,REGULAR,freethrow,2 of 2,[],1642271,,,1610612762,23,19,2025-12-28T01:27:25Z,840000,False,,,0,,K. Filipowski Free Throw 2 of 2 (2 PTS),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
86,PT04M39.00S,2025-12-28T01:27:39.4Z,1,REGULAR,2pt,Jump Shot,[],1642264,10.5946123521682,25.735294117647058,1610612759,23,19,2025-12-28T01:27:47Z,850000,False,121.0,47.0,1,left,MISS S. Castle 13' pullup bank Shot,[1642264],1610612759.0,SAS,pullup bank,,,Castle,S. Castle,,,,,Mid-Range,8-16 Right,13.01,Missed,,,,,,,,,,,,,,,,,,
87,PT04M39.00S,2025-12-28T01:27:41.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,23,19,2025-12-28T01:27:41Z,860000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Mid-Range,8-16 Right,,,86.0,,,,,,,,,,,,,,,,,
88,PT04M39.00S,2025-12-28T01:27:43.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641718,,,1610612759,23,19,2025-12-28T01:27:56Z,870000,False,,,0,,K. George loose ball personal FOUL (1 PF) (Kornet 2 FT),"[1641718, 1628436]",1610612762.0,UTA,loose ball,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1627534.0,1.0,0.0,Kornet,1628436.0,,,,
90,PT04M39.00S,2025-12-28T01:28:18.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628436,,,1610612759,24,19,2025-12-28T01:28:18Z,890000,False,,,0,,L. Kornet Free Throw 1 of 2 (3 PTS),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
91,PT04M39.00S,2025-12-28T01:28:19.5Z,1,REGULAR,substitution,out,[],1629004,,,1610612759,24,19,2025-12-28T01:28:23Z,900000,False,,,0,,SUB out: S. Mykhailiuk,[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M39.00S,2025-12-28T01:28:19.5Z,1,REGULAR,substitution,in,[],1641729,,,1610612759,24,19,2025-12-28T01:28:23Z,910000,False,,,0,,SUB in: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M39.00S,2025-12-28T01:28:37.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628436,,,1610612759,25,19,2025-12-28T01:28:37Z,920000,False,,,0,,L. Kornet Free Throw 2 of 2 (4 PTS),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
94,PT04M31.00S,2025-12-28T01:28:48.1Z,1,REGULAR,turnover,bad pass,[],1642268,,,1610612762,25,19,2025-12-28T02:07:43Z,930000,False,,,0,,I. Collier bad pass TURNOVER (2 TO),"[1642268, 1642844]",1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,2.0,,,,,,Harper,1642844.0,,
