actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
19,PT10M29.00S,2026-01-01T00:13:39.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,2,4,2026-01-01T00:13:39Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,
20,PT10M29.00S,2026-01-01T00:13:53.8Z,1,REGULAR,freethrow,2 of 2,[],203084,,,1610612759,3,4,2026-01-01T00:13:53Z,200000,False,,,0,,H. Barnes Free Throw 2 of 2 (1 PTS),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
21,PT10M17.00S,2026-01-01T00:14:06.5Z,1,REGULAR,3pt,Jump Shot,[],1642885,10.988830486202366,4.411764705882353,1610612752,3,7,2026-01-01T00:14:12Z,210000,False,228.0,51.0,1,left,M. Diawara 3PT  (3 PTS) (J. Brunson 1 AST),"[1642885, 1628973]",1610612752.0,NYK,,,,Diawara,M. Diawara,,,,,Right Corner 3,24+ Right,23.35,Made,3.0,,,,,,,,,,J. Brunson,1628973.0,1.0,,,,,
23,PT09M59.00S,2026-01-01T00:14:25.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642264,82.7365308804205,46.32352941176471,1610612759,3,7,2026-01-01T00:21:03Z,230000,False,-18.0,110.0,1,right,MISS S. Castle 11' driving floating Shot,[1642264],1610612759.0,SAS,driving floating,,,Castle,S. Castle,,,,,In The Paint (Non-RA),8-16 Center,11.13,Missed,,,,,,,,,,,,,,,,,,
24,PT09M56.00S,2026-01-01T00:14:28.2Z,1,REGULAR,rebound,defensive,[],1642885,,,1610612752,3,7,2026-01-01T00:14:30Z,240000,False,,,0,,M. Diawara REBOUND (Off:0 Def:1),[1642885],1610612752.0,NYK,,,,Diawara,M. Diawara,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,23.0,,,,1.0,1.0,0.0,,
25,PT09M52.00S,2026-01-01T00:14:31.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642885,27.414586070959263,18.872549019607842,1610612752,3,10,2026-01-01T00:14:38Z,250000,False,156.0,205.0,1,left,M. Diawara 25' 3PT running (6 PTS) (J. Brunson 2 AST),"[1642885, 1628973]",1610612752.0,NYK,running,,,Diawara,M. Diawara,,,,,Above the Break 3,24+ Right Center,25.75,Made,6.0,,,,,,,,,,J. Brunson,1628973.0,2.0,,,,,
27,PT09M35.00S,2026-01-01T00:14:51.7Z,1,REGULAR,foul,personal,[],1628384,,,1610612759,3,10,2026-01-01T00:14:59Z,270000,False,,,0,,O. Anunoby personal FOUL (1 PF),"[1628384, 1641705]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,204058.0,1.0,0.0,Wembanyama,1641705.0,,,,,,,,,
29,PT09M32.00S,2026-01-01T00:15:15.5Z,1,REGULAR,foul,offensive,[],1641705,,,1610612759,3,10,2026-01-01T00:15:23Z,290000,False,,,0,,V. Wembanyama offensive FOUL (1 PF),"[1641705, 1628969]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,,,,2882.0,1.0,0.0,Bridges,1628969.0,,,,,,,,,
31,PT09M32.00S,2026-01-01T00:15:15.5Z,1,REGULAR,turnover,offensive foul,[],1641705,,,1610612759,3,10,2026-01-01T00:15:15Z,310000,False,,,0,,V. Wembanyama offensive foul TURNOVER (2 TO),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,2.0,,,2882.0,,,,,,,,,,,,,
32,PT09M21.00S,2026-01-01T00:15:38.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642885,32.40801576872536,50.49019607843137,1610612752,3,10,2026-01-01T00:15:50Z,320000,False,-2.0,252.0,1,left,MISS M. Diawara 25' pullup 3PT,[1642885],1610612752.0,NYK,pullup,,,Diawara,M. Diawara,,,,,Above the Break 3,24+ Center,25.21,Missed,,,,,,,,,,,,,,,,,,
33,PT09M16.00S,2026-01-01T00:15:43.5Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612752,3,10,2026-01-01T00:15:43Z,330000,False,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,32.0,,,,1.0,0.0,1.0,,
34,PT09M12.00S,2026-01-01T00:15:47.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626157,35.03613666228647,31.61764705882353,1610612752,3,10,2026-01-01T00:15:52Z,340000,False,92.0,277.0,1,left,MISS K. Towns 29' 3PT,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,29.17,Missed,,,,,,,,,,,,,,,,,,
35,PT09M12.00S,2026-01-01T00:15:47.5Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,3,10,2026-01-01T00:15:52Z,350000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,34.0,,,,1.0,1.0,0.0,,
36,PT09M03.00S,2026-01-01T00:15:59.0Z,1,REGULAR,foul,personal,['2freethrow'],1628969,,,1610612759,3,10,2026-01-01T00:16:09Z,360000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1628969, 1641705]",1610612752.0,NYK,shooting,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2882.0,1.0,0.0,Wembanyama,1641705.0,,,,,,,,,
38,PT09M03.00S,2026-01-01T00:16:32.1Z,1,REGULAR,freethrow,1 of 2,[],1641705,,,1610612759,4,10,2026-01-01T00:16:32Z,380000,False,,,0,,V. Wembanyama Free Throw 1 of 2 (3 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
39,PT09M03.00S,2026-01-01T00:16:54.3Z,1,REGULAR,freethrow,2 of 2,[],1641705,,,1610612759,5,10,2026-01-01T00:16:54Z,390000,False,,,0,,V. Wembanyama Free Throw 2 of 2 (4 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
40,PT08M43.00S,2026-01-01T00:17:15.8Z,1,REGULAR,2pt,Jump Shot,[],1628384,3.4986859395532193,78.67647058823529,1610612752,5,10,2026-01-01T00:17:21Z,400000,False,-143.0,-20.0,1,left,MISS O. Anunoby 14' step back Shot,[1628384],1610612752.0,NYK,step back,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Left,14.47,Missed,,,,,,,,,,,,,,,,,,
41,PT08M39.00S,2026-01-01T00:17:19.8Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,5,10,2026-01-01T00:17:21Z,410000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:2),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,40.0,,,,2.0,2.0,0.0,,
42,PT08M31.00S,2026-01-01T00:17:28.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641705,93.9060446780552,47.794117647058826,1610612759,7,10,2026-01-01T00:17:32Z,420000,False,-11.0,5.0,1,right,V. Wembanyama alley-oop DUNK (6 PTS) (H. Barnes 1 AST),"[1641705, 203084]",1610612759.0,SAS,alley-oop,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,1.2,Made,6.0,,,,,,,,,,H. Barnes,203084.0,1.0,,,,,
44,PT08M20.00S,2026-01-01T00:17:38.9Z,1,REGULAR,3pt,Jump Shot,[],1628969,29.6484888304862,67.64705882352942,1610612752,7,13,2026-01-01T00:17:44Z,440000,False,-88.0,226.0,1,left,M. Bridges 24' 3PT  (5 PTS) (M. Diawara 1 AST),"[1628969, 1642885]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,24.28,Made,5.0,,,,,,,,,,M. Diawara,1642885.0,1.0,,,,,
47,PT07M58.00S,2026-01-01T00:18:02.0Z,1,REGULAR,3pt,Jump Shot,[],1630577,84.44480946123521,94.85294117647058,1610612759,7,13,2026-01-01T01:08:29Z,470000,False,224.0,94.0,1,right,MISS J. Champagnie 24' pullup 3PT,[1630577],1610612759.0,SAS,pullup,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right,24.31,Missed,,,,,,,,,,,,,,,,,,
48,PT07M56.00S,2026-01-01T00:18:04.1Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,7,13,2026-01-01T00:18:04Z,480000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right,,,,,,,,,,,,47.0,,,,1.0,1.0,0.0,,
49,PT07M53.00S,2026-01-01T00:18:05.9Z,1,REGULAR,3pt,Jump Shot,[],1642885,29.6484888304862,73.2843137254902,1610612752,7,13,2026-01-01T00:18:18Z,490000,False,-116.0,226.0,1,left,MISS M. Diawara 25' 3PT,[1642885],1610612752.0,NYK,,,,Diawara,M. Diawara,,,,,Above the Break 3,24+ Left Center,25.44,Missed,,,,,,,,,,,,,,,,,,
50,PT07M50.00S,2026-01-01T00:18:08.9Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,7,13,2026-01-01T00:18:18Z,500000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,49.0,,,,1.0,1.0,0.0,,
51,PT07M45.00S,2026-01-01T00:18:14.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,91.5407358738502,50.73529411764706,1610612759,9,13,2026-01-01T00:24:24Z,510000,False,4.0,27.0,1,right,H. Barnes driving Layup (3 PTS) (S. Castle 1 AST),"[203084, 1642264]",1610612759.0,SAS,driving,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,2.73,Made,3.0,,,,,,,,,,S. Castle,1642264.0,1.0,,,,,
52,PT07M26.00S,2026-01-01T00:18:32.8Z,1,REGULAR,3pt,Jump Shot,[],1642885,30.831143232588698,25.49019607843137,1610612752,9,13,2026-01-01T00:18:42Z,520000,False,123.0,237.0,1,left,MISS M. Diawara 26' 3PT,[1642885],1610612752.0,NYK,,,,Diawara,M. Diawara,,,,,Above the Break 3,24+ Right Center,26.71,Missed,,,,,,,,,,,,,,,,,,
53,PT07M17.00S,2026-01-01T00:18:41.8Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,9,13,2026-01-01T00:18:42Z,530000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:2),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,52.0,,,,2.0,2.0,0.0,,
54,PT07M16.00S,2026-01-01T00:18:42.6Z,1,REGULAR,3pt,Jump Shot,[],1628368,71.30420499342969,17.15686274509804,1610612759,9,13,2026-01-01T00:26:07Z,540000,False,-164.0,217.0,1,right,MISS D. Fox 27' pullup 3PT,[1628368],1610612759.0,SAS,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,27.23,Missed,,,,,,,,,,,,,,,,,,
55,PT07M16.00S,2026-01-01T00:18:42.6Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,9,13,2026-01-01T00:19:44Z,550000,False,,,0,,M. Bridges REBOUND (Off:1 Def:1),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,54.0,,,,2.0,1.0,1.0,,
56,PT07M08.00S,2026-01-01T00:18:50.8Z,1,REGULAR,3pt,Jump Shot,[],1628384,29.517082785808146,73.77450980392157,1610612752,9,13,2026-01-01T00:20:02Z,560000,False,-119.0,225.0,1,left,MISS O. Anunoby 25' 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,25.45,Missed,,,,,,,,,,,,,,,,,,
57,PT07M05.00S,2026-01-01T00:18:53.8Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,9,13,2026-01-01T00:20:02Z,570000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:3),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,56.0,,,,3.0,3.0,0.0,,
58,PT06M58.00S,2026-01-01T00:19:04.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,93.38042049934296,52.94117647058824,1610612759,11,13,2026-01-01T00:20:20Z,580000,False,15.0,10.0,1,right,D. Fox driving Layup (2 PTS),[1628368],1610612759.0,SAS,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,1.76,Made,2.0,,,,,,,,,,,,,,,,,
59,PT06M58.00S,2026-01-01T00:19:50.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,11,13,2026-01-01T00:19:50Z,590000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M58.00S,2026-01-01T00:21:51.6Z,1,REGULAR,substitution,out,[],1641705,,,1610612752,11,13,2026-01-01T00:22:21Z,600000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M58.00S,2026-01-01T00:21:51.6Z,1,REGULAR,substitution,out,[],1642885,,,1610612752,11,13,2026-01-01T00:22:21Z,610000,False,,,0,,SUB out: M. Diawara,[1642885],1610612752.0,NYK,,,,Diawara,M. Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M58.00S,2026-01-01T00:21:51.6Z,1,REGULAR,substitution,in,[],1628436,,,1610612752,11,13,2026-01-01T00:22:21Z,620000,False,,,0,,SUB in: L. Kornet,[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M58.00S,2026-01-01T00:21:51.6Z,1,REGULAR,substitution,in,[],1630540,,,1610612752,11,13,2026-01-01T00:22:21Z,630000,False,,,0,,SUB in: M. McBride,[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M48.00S,2026-01-01T00:22:26.0Z,1,REGULAR,turnover,lost ball,[],1628969,,,1610612752,11,13,2026-01-01T00:22:31Z,640000,False,,,0,,M. Bridges lost ball TURNOVER (1 TO),"[1628969, 1628368]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,1.0,Fox,1628368.0,,,,,,,,,,,,,,
65,PT06M48.00S,2026-01-01T00:22:26.0Z,1,REGULAR,steal,,[],1628368,,,1610612759,11,13,2026-01-01T00:22:29Z,650000,False,,,0,,D. Fox STEAL (1 STL),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
66,PT06M41.00S,2026-01-01T00:22:32.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628368,94.56307490144546,49.01960784313725,1610612759,13,13,2026-01-01T00:25:04Z,660000,False,-5.0,-1.0,1,right,D. Fox running Layup (4 PTS),[1628368],1610612759.0,SAS,running,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,0.51,Made,4.0,,,,,,,,,,,,,,,,,
68,PT06M24.00S,2026-01-01T00:22:50.1Z,1,REGULAR,3pt,Jump Shot,[],1628973,34.11629434954008,28.431372549019606,1610612752,13,13,2026-01-01T00:22:56Z,680000,False,108.0,268.0,1,left,MISS J. Brunson 28' pullup 3PT,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,28.91,Missed,,,,,,,,,,,,,,,,,,
69,PT06M20.00S,2026-01-01T00:22:54.1Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612759,13,13,2026-01-01T00:22:56Z,690000,False,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,68.0,,,,1.0,1.0,0.0,,
71,PT06M13.00S,2026-01-01T00:23:01.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628436,94.30026281208936,50.98039215686274,1610612759,15,13,2026-01-01T00:23:06Z,710000,False,5.0,1.0,1,right,L. Kornet alley-oop DUNK (2 PTS) (S. Castle 2 AST),"[1628436, 1642264]",1610612759.0,SAS,alley-oop,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,0.5,Made,2.0,,,,,,,,,,S. Castle,1642264.0,2.0,,,,,
73,PT05M49.00S,2026-01-01T00:23:33.3Z,1,REGULAR,timeout,full,['team'],0,,,1610612752,15,13,2026-01-01T00:23:33Z,730000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M49.00S,2026-01-01T00:25:27.4Z,1,REGULAR,substitution,out,[],1628368,,,1610612752,15,13,2026-01-01T00:26:22Z,740000,False,,,0,,SUB out: D. Fox,[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M49.00S,2026-01-01T00:25:27.4Z,1,REGULAR,substitution,out,[],203084,,,1610612752,15,13,2026-01-01T00:26:22Z,750000,False,,,0,,SUB out: H. Barnes,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M49.00S,2026-01-01T00:25:27.4Z,1,REGULAR,substitution,in,[],1642844,,,1610612752,15,13,2026-01-01T00:26:22Z,760000,False,,,0,,SUB in: D. Harper,[1642844],1610612759.0,SAS,,,,Harper,D. Harper,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M49.00S,2026-01-01T00:25:27.4Z,1,REGULAR,substitution,in,[],1629640,,,1610612752,15,13,2026-01-01T00:26:22Z,770000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M46.00S,2026-01-01T00:26:44.9Z,1,REGULAR,2pt,Jump Shot,[],1628973,8.886333771353483,75.98039215686273,1610612752,15,13,2026-01-01T00:26:50Z,780000,False,-130.0,31.0,1,left,MISS J. Brunson 13' driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Left,13.35,Missed,,,,,,,,,,,,,,,,,,
79,PT05M44.00S,2026-01-01T00:26:47.8Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612759,15,13,2026-01-01T00:26:47Z,790000,False,,,0,,L. Kornet REBOUND (Off:0 Def:2),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,78.0,,,,2.0,2.0,0.0,,
81,PT05M33.00S,2026-01-01T00:26:58.2Z,1,REGULAR,3pt,Jump Shot,[],1630577,65.39093298291722,44.36274509803921,1610612759,18,13,2026-01-01T00:27:09Z,810000,False,-28.0,273.0,1,right,J. Champagnie 27' 3PT  (3 PTS) (L. Kornet 1 AST),"[1630577, 1628436]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Center,27.43,Made,3.0,,,,,,,,,,L. Kornet,1628436.0,1.0,,,,,
83,PT05M21.00S,2026-01-01T00:27:09.8Z,1,REGULAR,3pt,Jump Shot,[],1626157,32.670827858081466,60.29411764705882,1610612752,18,16,2026-01-01T00:27:19Z,830000,False,-51.0,255.0,1,left,K. Towns 25' 3PT  (3 PTS) (M. McBride 1 AST),"[1626157, 1630540]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,25.98,Made,3.0,,,,,,,,,,M. McBride,1630540.0,1.0,,,,,
85,PT05M06.00S,2026-01-01T00:27:24.8Z,1,REGULAR,turnover,bad pass,[],1642264,,,1610612759,18,16,2026-01-01T00:27:56Z,850000,False,,,0,,S. Castle bad pass TURNOVER (1 TO),"[1642264, 1626157]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Left Center,,,,1.0,Towns,1626157.0,,,,,,,,,,,,,,
86,PT05M06.00S,2026-01-01T00:27:24.8Z,1,REGULAR,steal,,[],1626157,,,1610612752,18,16,2026-01-01T00:27:28Z,860000,False,,,0,,K. Towns STEAL (1 STL),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
87,PT05M01.00S,2026-01-01T00:27:30.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628973,32.40801576872536,50.73529411764706,1610612752,18,19,2026-01-01T00:28:46Z,870000,False,-4.0,252.0,1,left,J. Brunson 25' 3PT running (5 PTS) (M. McBride 2 AST),"[1628973, 1630540]",1610612752.0,NYK,running,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,25.21,Made,5.0,,,,,,,,,,M. McBride,1630540.0,2.0,,,,,
89,PT05M01.00S,2026-01-01T00:27:44.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,18,19,2026-01-01T00:27:44Z,890000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M01.00S,2026-01-01T00:28:46.2Z,1,REGULAR,substitution,out,[],1642264,,,1610612759,18,19,2026-01-01T00:29:14Z,900000,False,,,0,,SUB out: S. Castle,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,
