actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
19,PT10M45.00S,2026-01-16T01:12:03.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,90.88370565045992,36.76470588235294,1610612759,2,5,2026-01-16T01:12:08Z,190000,False,-66.0,33.0,1,right,D. Fox 7' pullup Jump Shot (2 PTS),[1628368],1610612759.0,SAS,pullup,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,7.41,Made,,2.0,,,,,,,,,,,,,
20,PT10M29.00S,2026-01-16T01:12:18.6Z,1,REGULAR,2pt,Jump Shot,[],203507,24.78646517739816,52.450980392156865,1610612749,2,5,2026-01-16T01:12:22Z,200000,False,-12.0,180.0,1,left,MISS G. Antetokounmpo 18' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,,,,18.09,Missed,,,,,,,,,,,,,,,
21,PT10M26.00S,2026-01-16T01:12:21.6Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,2,5,2026-01-16T01:12:22Z,210000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Center,,,,,,20.0,,,,,1.0,1.0,0.0,,,,,,,
22,PT10M16.00S,2026-01-16T01:12:31.6Z,1,REGULAR,3pt,Jump Shot,[],1628368,67.62483574244416,46.568627450980394,1610612759,5,5,2026-01-16T01:12:35Z,220000,False,-17.0,252.0,1,right,D. Fox 25' 3PT  (5 PTS) (S. Castle 1 AST),"[1628368, 1642264]",1610612759.0,SAS,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,,25.24,Made,,5.0,S. Castle,1642264.0,1.0,,,,,,,,,,
24,PT09M53.00S,2026-01-16T01:12:57.8Z,1,REGULAR,turnover,out-of-bounds,[],1631157,,,1610612749,5,5,2026-01-16T01:13:06Z,240000,False,,,0,,R. Rollins bad pass out-of-bounds TURNOVER (1 TO),[1631157],1610612749.0,MIL,bad pass,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,,,2534.0,,,,,,
25,PT09M46.00S,2026-01-16T01:13:04.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203084,93.24901445466492,95.83333333333334,1610612759,5,5,2026-01-16T01:13:14Z,250000,False,229.0,11.0,1,right,MISS H. Barnes 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,,,,22.95,Missed,,,,,,,,,,,,,,,
26,PT09M39.00S,2026-01-16T01:13:11.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,5,5,2026-01-16T01:13:11Z,260000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Right Corner 3,24+ Right,,,,,,25.0,,,,,1.0,1.0,0.0,,,,,,,
27,PT09M39.00S,2026-01-16T01:13:15.6Z,1,REGULAR,foul,personal,['2freethrow'],1641705,,,1610612749,5,5,2026-01-16T01:13:31Z,270000,False,,,0,,V. Wembanyama shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1641705, 203507]",1610612759.0,SAS,shooting,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2534.0,1.0,0.0,Antetokounmpo,203507.0,,
29,PT09M39.00S,2026-01-16T01:13:47.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203507,,,1610612749,5,6,2026-01-16T01:13:47Z,290000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,Made,,3.0,,,,,,,,,,,,,
30,PT09M39.00S,2026-01-16T01:14:06.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203507,,,1610612749,5,7,2026-01-16T01:14:06Z,300000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (4 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,Made,,4.0,,,,,,,,,,,,,
31,PT09M28.00S,2026-01-16T01:14:18.1Z,1,REGULAR,3pt,Jump Shot,[],1630577,70.38436268068331,27.450980392156865,1610612759,8,7,2026-01-16T01:14:22Z,310000,False,-113.0,226.0,1,right,J. Champagnie 25' 3PT pullup (3 PTS) (S. Castle 2 AST),"[1630577, 1642264]",1610612759.0,SAS,pullup,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,25.25,Made,,3.0,S. Castle,1642264.0,2.0,,,,,,,,,,
33,PT09M18.00S,2026-01-16T01:14:33.0Z,1,REGULAR,foul,personal,['2freethrow'],1641705,,,1610612749,8,7,2026-01-16T01:14:42Z,330000,False,,,0,,V. Wembanyama shooting personal FOUL (2 PF) (Antetokounmpo 2 FT),"[1641705, 203507]",1610612759.0,SAS,shooting,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1629177.0,2.0,0.0,Antetokounmpo,203507.0,,
35,PT09M18.00S,2026-01-16T01:15:19.0Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,8,7,2026-01-16T01:15:19Z,350000,False,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
36,PT09M18.00S,2026-01-16T01:15:19.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,8,7,2026-01-16T01:15:19Z,360000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,
37,PT09M18.00S,2026-01-16T01:15:20.0Z,1,REGULAR,substitution,out,[],1641705,,,1610612749,8,7,2026-01-16T01:15:22Z,370000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M18.00S,2026-01-16T01:15:20.0Z,1,REGULAR,substitution,in,[],1628436,,,1610612749,8,7,2026-01-16T01:15:22Z,380000,False,,,0,,SUB in: L. Kornet,[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT09M18.00S,2026-01-16T01:15:51.1Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,8,8,2026-01-16T01:15:51Z,390000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (5 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,Made,,5.0,,,,,,,,,,,,,
40,PT09M08.00S,2026-01-16T01:16:01.9Z,1,REGULAR,3pt,Jump Shot,[],1642264,89.83245729303549,95.58823529411765,1610612759,11,8,2026-01-16T01:16:06Z,400000,False,228.0,43.0,1,right,S. Castle 3PT  (3 PTS) (D. Fox 1 AST),"[1642264, 1628368]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Right Corner 3,24+ Right,,,,23.19,Made,,3.0,D. Fox,1628368.0,1.0,,,,,,,,,,
42,PT08M47.00S,2026-01-16T01:16:22.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,5.995400788436268,50.73529411764706,1610612749,11,10,2026-01-16T01:16:56Z,420000,False,-4.0,4.0,1,left,G. Antetokounmpo cutting DUNK (7 PTS) (M. Turner 1 AST),"[203507, 1626167]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,0.54,Made,,7.0,M. Turner,1626167.0,1.0,,,,,,,,,,
44,PT08M32.00S,2026-01-16T01:16:37.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,86.81011826544021,44.6078431372549,1610612759,11,10,2026-01-16T01:16:46Z,440000,False,-27.0,71.0,1,right,MISS D. Fox 7' driving floating Shot,[1628368],1610612759.0,SAS,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,7.64,Missed,,,,,,,,,,,,,,,
45,PT08M29.00S,2026-01-16T01:16:40.0Z,1,REGULAR,rebound,offensive,[],1628368,,,1610612759,11,10,2026-01-16T01:16:40Z,450000,False,,,0,,D. Fox REBOUND (Off:1 Def:0),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,,,,44.0,,,,,1.0,0.0,1.0,,,,,,,
46,PT08M29.00S,2026-01-16T01:16:40.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628368,94.40999984741211,50.0,1610612759,11,10,2026-01-16T01:16:40Z,460000,False,0.0,0.0,1,right,MISS D. Fox tip Layup,[1628368],1610612759.0,SAS,tip,,,Fox,D. Fox,,,,,Mid-Range,8-16 Left,,,,0.0,Missed,,,,,,,,,,,,,,,
47,PT08M28.00S,2026-01-16T01:16:40.7Z,1,REGULAR,rebound,defensive,[],1631157,,,1610612749,11,10,2026-01-16T01:16:40Z,470000,False,,,0,,R. Rollins REBOUND (Off:0 Def:1),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Mid-Range,8-16 Left,,,,,,46.0,,,,,1.0,1.0,0.0,,,,,,,
48,PT08M25.00S,2026-01-16T01:16:43.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629645,5.863994743758213,48.77450980392157,1610612749,11,10,2026-01-16T01:17:44Z,480000,False,6.0,3.0,1,left,MISS K. Porter Jr. running Layup,[1629645],1610612749.0,MIL,running,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,0.66,Missed,,,,,,,,,,,,,,,
49,PT08M24.00S,2026-01-16T01:16:44.7Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612759,11,10,2026-01-16T01:16:53Z,490000,False,,,0,,L. Kornet REBOUND (Off:0 Def:1),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,,,,48.0,,,,,1.0,1.0,0.0,,,,,,,
50,PT08M19.00S,2026-01-16T01:16:50.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630577,79.188567674113,8.823529411764707,1610612759,14,10,2026-01-16T01:17:00Z,500000,False,-206.0,143.0,1,right,J. Champagnie 25' 3PT running (6 PTS) (S. Castle 3 AST),"[1630577, 1642264]",1610612759.0,SAS,running,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,25.07,Made,,6.0,S. Castle,1642264.0,3.0,,,,,,,,,,
52,PT08M05.00S,2026-01-16T01:17:03.8Z,1,REGULAR,3pt,Jump Shot,[],1629645,19.66162943495401,91.17647058823529,1610612749,14,10,2026-01-16T01:17:09Z,520000,False,-206.0,132.0,1,left,MISS K. Porter Jr. 24' 3PT,[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,24.47,Missed,,,,,,,,,,,,,,,
53,PT08M02.00S,2026-01-16T01:17:07.1Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612749,14,10,2026-01-16T01:17:07Z,530000,False,,,0,,M. Turner REBOUND (Off:1 Def:0),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,,,,,,52.0,,,,,1.0,0.0,1.0,,,,,,,
54,PT07M58.00S,2026-01-16T01:17:14.9Z,1,REGULAR,turnover,backcourt,[],1629645,,,1610612749,14,10,2026-01-16T01:17:25Z,540000,False,,,0,,K. Porter Jr. backcourt TURNOVER (1 TO),[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,,,,,1629177.0,,,,,,
55,PT07M47.00S,2026-01-16T01:17:46.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630577,67.62483574244416,54.166666666666664,1610612759,14,10,2026-01-16T01:17:50Z,550000,False,21.0,252.0,1,right,MISS J. Champagnie 25' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Center,,,,25.27,Missed,,,,,,,,,,,,,,,
56,PT07M44.00S,2026-01-16T01:17:49.7Z,1,REGULAR,rebound,defensive,[],1631157,,,1610612749,14,10,2026-01-16T01:17:50Z,560000,False,,,0,,R. Rollins REBOUND (Off:0 Def:2),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Center,,,,,,55.0,,,,,2.0,2.0,0.0,,,,,,,
57,PT07M39.00S,2026-01-16T01:17:57.0Z,1,REGULAR,foul,personal,[],1642264,,,1610612749,14,10,2026-01-16T01:18:01Z,570000,False,,,0,,S. Castle personal FOUL (1 PF),"[1642264, 203507]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,203593.0,1.0,0.0,Antetokounmpo,203507.0,,
59,PT07M39.00S,2026-01-16T01:18:02.7Z,1,REGULAR,substitution,out,[],1628368,,,1610612749,14,10,2026-01-16T01:18:10Z,590000,False,,,0,,SUB out: D. Fox,[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M39.00S,2026-01-16T01:18:02.7Z,1,REGULAR,substitution,out,[],203084,,,1610612749,14,10,2026-01-16T01:18:10Z,600000,False,,,0,,SUB out: H. Barnes,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M39.00S,2026-01-16T01:18:02.7Z,1,REGULAR,substitution,in,[],1629640,,,1610612749,14,10,2026-01-16T01:18:10Z,610000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M39.00S,2026-01-16T01:18:02.7Z,1,REGULAR,substitution,in,[],1642844,,,1610612749,14,10,2026-01-16T01:18:10Z,620000,False,,,0,,SUB in: D. Harper,[1642844],1610612759.0,SAS,,,,Harper,D. Harper,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M32.00S,2026-01-16T01:18:29.2Z,1,REGULAR,3pt,Jump Shot,[],203507,32.802233902759525,50.245098039215684,1610612749,14,13,2026-01-16T01:18:33Z,630000,False,-1.0,256.0,1,left,G. Antetokounmpo 25' 3PT  (10 PTS) (R. Rollins 1 AST),"[203507, 1631157]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,,25.58,Made,,10.0,R. Rollins,1631157.0,1.0,,,,,,,,,,
65,PT07M10.00S,2026-01-16T01:18:51.2Z,1,REGULAR,turnover,bad pass,[],1630577,,,1610612759,14,13,2026-01-16T01:19:02Z,650000,False,,,0,,J. Champagnie bad pass TURNOVER (1 TO),"[1630577, 203507]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Center,1.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,,
66,PT07M10.00S,2026-01-16T01:18:51.2Z,1,REGULAR,steal,,[],203507,,,1610612749,14,13,2026-01-16T01:18:53Z,660000,False,,,0,,G. Antetokounmpo STEAL (2 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
67,PT07M10.00S,2026-01-16T01:18:53.8Z,1,REGULAR,foul,personal,['2freethrow'],1630577,,,1610612749,14,13,2026-01-16T01:22:14Z,670000,False,,,0,,J. Champagnie clear-path personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1630577, 203507]",1610612759.0,SAS,clear-path,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,1629177.0,1.0,0.0,Antetokounmpo,203507.0,,
70,PT07M10.00S,2026-01-16T01:22:18.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203507,,,1610612749,14,14,2026-01-16T01:22:18Z,700000,False,,,0,,G. Antetokounmpo clear-path Free Throw 1 of 2 (11 PTS),[203507],1610612749.0,MIL,clear-path,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,Made,,11.0,,,,,,,,,,,,,
71,PT07M10.00S,2026-01-16T01:22:18.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203507,,,1610612749,14,15,2026-01-16T01:22:18Z,710000,False,,,0,,G. Antetokounmpo clear-path Free Throw 2 of 2 (12 PTS),[203507],1610612749.0,MIL,clear-path,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,Made,,12.0,,,,,,,,,,,,,
72,PT06M51.00S,2026-01-16T01:22:53.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629645,29.25427069645204,74.01960784313727,1610612749,14,15,2026-01-16T01:22:58Z,720000,False,-120.0,222.0,1,left,MISS K. Porter Jr. 25' 3PT,[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,25.28,Missed,,,,,,,,,,,,,,,
73,PT06M46.00S,2026-01-16T01:22:58.2Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,14,15,2026-01-16T01:22:58Z,730000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:2),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,,,72.0,,,,,2.0,2.0,0.0,,,,,,,
74,PT06M40.00S,2026-01-16T01:23:07.0Z,1,REGULAR,turnover,out-of-bounds,[],1630577,,,1610612759,14,15,2026-01-16T01:23:18Z,740000,False,,,0,,J. Champagnie bad pass out-of-bounds TURNOVER (2 TO),[1630577],1610612759.0,SAS,bad pass,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Center,2.0,,,,,,,,,,,,,1629177.0,,,,,,
75,PT06M40.00S,2026-01-16T01:23:12.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,14,15,2026-01-16T01:23:28Z,750000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M17.00S,2026-01-16T01:26:51.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631260,6.389618922470433,49.754901960784316,1610612749,14,15,2026-01-16T01:26:56Z,760000,False,1.0,8.0,1,left,MISS A. Green driving finger roll Layup,[1631260],1610612749.0,MIL,driving finger roll,,,Green,A. Green,,,,,Restricted Area,0-8 Center,,,,0.77,Missed,,,,,,,,,,,,,,,
77,PT06M14.00S,2026-01-16T01:26:54.5Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,14,15,2026-01-16T01:38:16Z,770000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,76.0,,,,,1.0,1.0,0.0,,,,,,,
80,PT06M06.00S,2026-01-16T01:27:05.3Z,1,REGULAR,foul,personal,['2freethrow'],1631260,,,1610612759,14,15,2026-01-16T01:27:11Z,800000,False,,,0,,A. Green shooting personal FOUL (1 PF) (Castle 2 FT),"[1631260, 1642264]",1610612749.0,MIL,shooting,,,Green,A. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,2534.0,1.0,0.0,Castle,1642264.0,,
82,PT06M06.00S,2026-01-16T01:27:32.6Z,1,REGULAR,freethrow,1 of 2,[],1642264,,,1610612759,15,15,2026-01-16T01:27:32Z,820000,False,,,0,,S. Castle Free Throw 1 of 2 (4 PTS),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,Made,,4.0,,,,,,,,,,,,,
83,PT06M06.00S,2026-01-16T01:27:48.4Z,1,REGULAR,freethrow,2 of 2,[],1642264,,,1610612759,16,15,2026-01-16T01:27:48Z,830000,False,,,0,,S. Castle Free Throw 2 of 2 (5 PTS),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,Made,,5.0,,,,,,,,,,,,,
84,PT05M39.00S,2026-01-16T01:28:15.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,10.85742444152431,51.225490196078425,1610612749,16,15,2026-01-16T01:28:58Z,840000,False,-6.0,50.0,1,left,MISS M. Turner driving floating Shot,[1626167],1610612749.0,MIL,driving floating,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,5.0,Missed,,,,,,,,,,,,,,,
85,PT05M36.00S,2026-01-16T01:28:18.3Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,16,15,2026-01-16T01:28:58Z,850000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,84.0,,,,,2.0,1.0,1.0,,,,,,,
86,PT05M36.00S,2026-01-16T01:28:18.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203507,5.590000152587891,50.0,1610612749,16,17,2026-01-16T01:28:18Z,860000,False,0.0,0.0,1,left,G. Antetokounmpo tip Layup (14 PTS),[203507],1610612749.0,MIL,tip,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Left,,,,0.0,Made,,14.0,,,,,,,,,,,,,
87,PT05M23.00S,2026-01-16T01:28:35.7Z,1,REGULAR,violation,kicked ball,[],1626167,,,1610612759,16,17,2026-01-16T01:29:10Z,870000,False,,,0,,M. Turner kicked ball VIOLATION,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,1629177.0,,,,,,
88,PT05M23.00S,2026-01-16T01:28:40.1Z,1,REGULAR,substitution,out,[],1630577,,,1610612759,16,17,2026-01-16T01:28:57Z,880000,False,,,0,,SUB out: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
