actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
39,PT08M29.00S,2025-11-16T21:14:51.5Z,1,REGULAR,3pt,Jump Shot,[],1628368,65.91655716162943,48.529411764705884,1610612759,15,8,2025-11-16T21:14:57Z,390000,False,-7.0,268.0,1,right,D. Fox 26' 3PT pullup (8 PTS),[1628368],1610612759.0,SAS,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,,,26.8,Made,8.0,,,,,,,,,,,,,
40,PT08M07.00S,2025-11-16T21:15:16.8Z,1,REGULAR,2pt,Jump Shot,[],201942,21.632720105124836,54.65686274509803,1610612758,15,10,2025-11-16T21:15:29Z,400000,False,-23.0,151.0,1,left,D. DeRozan 15' pullup Jump Shot (6 PTS),[201942],1610612758.0,SAC,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Center,,,,,15.26,Made,6.0,,,,,,,,,,,,,
41,PT08M07.00S,2025-11-16T21:15:21.1Z,1,REGULAR,foul,personal,['1freethrow'],1642264,,,1610612758,15,10,2025-11-16T21:15:29Z,410000,False,,,0,,S. Castle shooting personal FOUL (1 PF) (DeRozan 1 FT),"[1642264, 201942]",1610612759.0,SAS,shooting,,,Castle,S. Castle,,,,,Mid-Range,8-16 Center,204058.0,,,,,,,,,,,,,,1.0,0.0,DeRozan,201942.0,,
43,PT08M07.00S,2025-11-16T21:15:40.5Z,1,REGULAR,freethrow,1 of 1,[],201942,,,1610612758,15,11,2025-11-16T21:15:40Z,430000,False,,,0,,D. DeRozan Free Throw 1 of 1 (7 PTS),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,
44,PT07M55.00S,2025-11-16T21:15:53.1Z,1,REGULAR,3pt,Jump Shot,[],203084,64.20827858081472,51.225490196078425,1610612759,18,11,2025-11-16T21:15:58Z,440000,False,6.0,284.0,1,right,H. Barnes 28' 3PT  (7 PTS) (S. Castle 1 AST),"[203084, 1642264]",1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Center,,,,,28.4,Made,7.0,S. Castle,1642264.0,1.0,,,,,,,,,,
46,PT07M54.00S,2025-11-16T21:15:58.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,18,11,2025-11-16T21:15:58Z,460000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M36.00S,2025-11-16T21:19:15.2Z,1,REGULAR,2pt,Jump Shot,[],1627734,21.23850197109067,51.470588235294116,1610612758,18,13,2025-11-16T21:19:21Z,470000,False,-7.0,147.0,1,left,D. Sabonis 14' Jump Shot (4 PTS) (Z. LaVine 1 AST),"[1627734, 203897]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Center,,,,,14.73,Made,4.0,Z. LaVine,203897.0,1.0,,,,,,,,,,
49,PT07M24.00S,2025-11-16T21:19:27.3Z,1,REGULAR,2pt,Jump Shot,[],1628368,88.91261498028909,70.34313725490196,1610612759,18,13,2025-11-16T21:19:32Z,490000,False,102.0,52.0,1,right,MISS D. Fox 11' pullup bank Shot,[1628368],1610612759.0,SAS,pullup bank,,,Fox,D. Fox,,,,,Mid-Range,8-16 Right,,,,,11.41,Missed,,,,,,,,,,,,,,
50,PT07M22.00S,2025-11-16T21:19:29.3Z,1,REGULAR,rebound,defensive,[],201566,,,1610612758,18,13,2025-11-16T21:19:32Z,500000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612758.0,SAC,,,,Westbrook,R. Westbrook,,,,,Mid-Range,8-16 Right,,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,
51,PT07M13.00S,2025-11-16T21:19:39.4Z,1,REGULAR,3pt,Jump Shot,[],201566,22.158344283837057,9.803921568627452,1610612758,18,13,2025-11-16T21:19:45Z,510000,False,201.0,156.0,1,left,MISS R. Westbrook 25' pullup 3PT,[201566],1610612758.0,SAC,pullup,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Right Center,,,,,25.43,Missed,,,,,,,,,,,,,,
52,PT07M10.00S,2025-11-16T21:19:42.2Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612759,18,13,2025-11-16T21:19:42Z,520000,False,,,0,,L. Kornet REBOUND (Off:2 Def:2),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,51.0,4.0,2.0,2.0,,,,,,
53,PT07M00.00S,2025-11-16T21:19:53.9Z,1,REGULAR,foul,personal,[],201942,,,1610612759,18,13,2025-11-16T21:20:02Z,530000,False,,,0,,D. DeRozan personal FOUL (1 PF),"[201942, 1628436]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,202056.0,,,,,,,,,,,,,,1.0,0.0,Kornet,1628436.0,,
55,PT06M50.00S,2025-11-16T21:20:22.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,90.22667542706965,47.30392156862745,1610612759,20,13,2025-11-16T21:22:53Z,550000,False,-13.0,39.0,1,right,H. Barnes driving finger roll Layup (9 PTS),[203084],1610612759.0,SAS,driving finger roll,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,,,,,4.16,Made,9.0,,,,,,,,,,,,,
56,PT06M38.00S,2025-11-16T21:20:33.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,5.075558475689881,53.431372549019606,1610612758,20,15,2025-11-16T21:20:38Z,560000,False,-17.0,-5.0,1,left,D. Sabonis cutting Layup (6 PTS) (R. Westbrook 2 AST),"[1627734, 201566]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,1.79,Made,6.0,R. Westbrook,201566.0,2.0,,,,,,,,,,
58,PT06M19.00S,2025-11-16T21:20:52.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,84.44480946123521,51.225490196078425,1610612759,20,15,2025-11-16T21:21:03Z,580000,False,6.0,94.0,1,right,MISS D. Fox 9' fadeaway Shot,[1628368],1610612759.0,SAS,fadeaway,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,,,9.39,Missed,,,,,,,,,,,,,,
59,PT06M15.00S,2025-11-16T21:20:56.3Z,1,REGULAR,rebound,defensive,[],201942,,,1610612758,20,15,2025-11-16T21:21:03Z,590000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,
60,PT06M10.00S,2025-11-16T21:21:01.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201566,5.075558475689881,3.6764705882352944,1610612758,20,15,2025-11-16T21:21:13Z,600000,False,232.0,-5.0,1,left,MISS R. Westbrook running 3PT,[201566],1610612758.0,SAC,running,,,Westbrook,R. Westbrook,,,,,Right Corner 3,24+ Right,,,,,23.16,Missed,,,,,,,,,,,,,,
61,PT06M07.00S,2025-11-16T21:21:04.3Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,20,15,2025-11-16T21:21:13Z,610000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Right Corner 3,24+ Right,,,,,,,,,,,60.0,1.0,1.0,0.0,,,,,,
62,PT05M55.00S,2025-11-16T21:21:17.6Z,1,REGULAR,3pt,Jump Shot,[],1628368,65.91655716162943,49.754901960784316,1610612759,20,15,2025-11-16T21:21:25Z,620000,False,-1.0,268.0,1,right,MISS D. Fox 26' pullup 3PT,[1628368],1610612759.0,SAS,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,,,26.79,Missed,,,,,,,,,,,,,,
63,PT05M52.00S,2025-11-16T21:21:20.6Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612759,20,15,2025-11-16T21:21:25Z,630000,False,,,0,,L. Kornet REBOUND (Off:3 Def:2),[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Center,,,,,,,,,,,62.0,5.0,2.0,3.0,,,,,,
64,PT05M50.00S,2025-11-16T21:21:21.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203084,74.85216819973719,11.029411764705882,1610612759,20,15,2025-11-16T21:21:28Z,640000,False,-195.0,184.0,1,right,MISS H. Barnes 26' 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,26.8,Missed,,,,,,,,,,,,,,
65,PT05M47.00S,2025-11-16T21:21:24.8Z,1,REGULAR,rebound,defensive,[],203897,,,1610612758,20,15,2025-11-16T21:21:28Z,650000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,64.0,1.0,1.0,0.0,,,,,,
66,PT05M29.00S,2025-11-16T21:21:42.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,8.229303547963205,46.81372549019608,1610612758,20,15,2025-11-16T21:21:50Z,660000,False,16.0,25.0,1,left,MISS D. Sabonis driving Hook,[1627734],1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,2.95,Missed,,,,,,,,,,,,,,
67,PT05M23.00S,2025-11-16T21:21:48.5Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,20,15,2025-11-16T21:21:48Z,670000,False,,,0,,D. Sabonis REBOUND (Off:2 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,66.0,3.0,1.0,2.0,,,,,,
68,PT05M23.00S,2025-11-16T21:21:48.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627734,5.590000152587891,50.0,1610612758,20,15,2025-11-16T21:21:48Z,680000,False,0.0,0.0,1,left,MISS D. Sabonis putback Layup,[1627734],1610612758.0,SAC,putback,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Left,,,,,0.0,Missed,,,,,,,,,,,,,,
69,PT05M22.00S,2025-11-16T21:21:49.7Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,20,15,2025-11-16T21:21:49Z,690000,False,,,0,,H. Barnes REBOUND (Off:0 Def:2),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Mid-Range,8-16 Left,,,,,,,,,,,68.0,2.0,2.0,0.0,,,,,,
70,PT05M14.00S,2025-11-16T21:21:57.4Z,1,REGULAR,2pt,Jump Shot,[],1630170,89.70105124835742,22.30392156862745,1610612759,22,15,2025-11-16T21:22:02Z,700000,False,-138.0,44.0,1,right,D. Vassell 14' pullup Jump Shot (2 PTS) (H. Barnes 1 AST),"[1630170, 203084]",1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Left,,,,,14.54,Made,2.0,H. Barnes,203084.0,1.0,,,,,,,,,,
72,PT04M58.00S,2025-11-16T21:22:18.2Z,1,REGULAR,foul,offensive,[],1627734,,,1610612758,22,15,2025-11-16T21:22:29Z,720000,False,,,0,,D. Sabonis offensive FOUL (1 PF),"[1627734, 1628436]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,202056.0,,,,,,,,,,,,,,1.0,0.0,Kornet,1628436.0,,
74,PT04M58.00S,2025-11-16T21:22:18.2Z,1,REGULAR,turnover,offensive foul,[],1627734,,,1610612758,22,15,2025-11-16T21:22:18Z,740000,False,,,0,,D. Sabonis offensive foul TURNOVER (1 TO),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,202056.0,1.0,,,,,,,,,,,,,,,,,,
75,PT04M58.00S,2025-11-16T21:22:26.2Z,1,REGULAR,substitution,out,[],1628368,,,1610612759,22,15,2025-11-16T21:22:45Z,750000,False,,,0,,SUB out: D. Fox,[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M58.00S,2025-11-16T21:22:26.2Z,1,REGULAR,substitution,out,[],1628436,,,1610612759,22,15,2025-11-16T21:22:45Z,760000,False,,,0,,SUB out: L. Kornet,[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M58.00S,2025-11-16T21:22:26.2Z,1,REGULAR,substitution,out,[],201942,,,1610612759,22,15,2025-11-16T21:22:45Z,770000,False,,,0,,SUB out: D. DeRozan,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M58.00S,2025-11-16T21:22:26.2Z,1,REGULAR,substitution,out,[],1631165,,,1610612759,22,15,2025-11-16T21:22:45Z,780000,False,,,0,,SUB out: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M58.00S,2025-11-16T21:22:26.2Z,1,REGULAR,substitution,in,[],202687,,,1610612759,22,15,2025-11-16T21:22:45Z,790000,False,,,0,,SUB in: B. Biyombo,[202687],1610612759.0,SAS,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M58.00S,2025-11-16T21:22:26.2Z,1,REGULAR,substitution,in,[],1630577,,,1610612759,22,15,2025-11-16T21:22:45Z,800000,False,,,0,,SUB in: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M58.00S,2025-11-16T21:22:26.2Z,1,REGULAR,substitution,in,[],1628370,,,1610612759,22,15,2025-11-16T21:22:45Z,810000,False,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M58.00S,2025-11-16T21:22:26.2Z,1,REGULAR,substitution,in,[],1642363,,,1610612759,22,15,2025-11-16T21:22:45Z,820000,False,,,0,,SUB in: N. Clifford,[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M48.00S,2025-11-16T21:22:49.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630170,85.10183968462549,2.941176470588235,1610612759,22,15,2025-11-16T21:22:55Z,830000,False,-235.0,88.0,1,right,MISS D. Vassell 25' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Left Corner 3,24+ Left,,,,,25.1,Missed,,,,,,,,,,,,,,
84,PT04M45.00S,2025-11-16T21:22:52.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,22,15,2025-11-16T21:22:55Z,840000,False,,,0,,D. Sabonis REBOUND (Off:2 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Left Corner 3,24+ Left,,,,,,,,,,,83.0,4.0,2.0,2.0,,,,,,
