actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
48,PT08M19.00S,2026-01-18T01:15:22.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,6,4,2026-01-18T01:15:22Z,480000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,
49,PT08M19.00S,2026-01-18T01:15:41.7Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630183,,,1610612750,6,5,2026-01-18T01:15:41Z,490000,False,,,0,,J. McDaniels Free Throw 2 of 2 (1 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
50,PT08M01.00S,2026-01-18T01:16:00.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641705,6.652431011826544,46.07843137254902,1610612759,8,5,2026-01-18T01:16:13Z,500000,False,20.0,10.0,1,left,V. Wembanyama alley-oop Layup (2 PTS) (S. Castle 1 AST),"[1641705, 1642264]",1610612759.0,SAS,alley-oop,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,2.2,Made,2.0,,,,,,,,,,,S. Castle,1642264.0,1.0,,,,
52,PT07M40.00S,2026-01-18T01:16:21.9Z,1,REGULAR,2pt,Jump Shot,[],1630162,96.40275952693824,78.92156862745098,1610612750,8,7,2026-01-18T01:16:26Z,520000,False,145.0,-19.0,1,right,A. Edwards 14' pullup Jump Shot (6 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,14.58,Made,6.0,,,,,,,,,,,,,,,,,
53,PT07M40.00S,2026-01-18T01:16:27.6Z,1,REGULAR,foul,technical,['1freethrow'],1630162,,,1610612759,8,7,2026-01-18T01:16:37Z,530000,False,,,0,,A. Edwards technical FOUL (1 Tech),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,1628480.0,,,,,,,,,0.0,1.0,,
54,PT07M40.00S,2026-01-18T01:16:51.7Z,1,REGULAR,freethrow,1 of 1,[],1641705,,,1610612759,9,7,2026-01-18T01:16:51Z,540000,False,,,0,,V. Wembanyama technical Free Throw 1 of 1 (3 PTS),[1641705],1610612759.0,SAS,technical,,,Wembanyama,V. Wembanyama,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
55,PT07M25.00S,2026-01-18T01:17:19.6Z,1,REGULAR,2pt,Jump Shot,[],1641705,20.71287779237845,30.392156862745097,1610612759,9,7,2026-01-18T01:17:30Z,550000,False,98.0,142.0,1,left,MISS V. Wembanyama 17' pullup Shot,[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Right Center,17.27,Missed,,,,,,,,,,,,,,,,,,
56,PT07M22.00S,2026-01-18T01:17:22.6Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612750,9,7,2026-01-18T01:17:30Z,560000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,16-24 Right Center,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,
57,PT07M18.00S,2026-01-18T01:17:26.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630183,93.24901445466492,50.98039215686274,1610612750,9,9,2026-01-18T01:18:12Z,570000,False,5.0,11.0,1,right,J. McDaniels running Layup (3 PTS) (D. DiVincenzo 2 AST),"[1630183, 1628978]",1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,1.2,Made,3.0,,,,,,,,,,,D. DiVincenzo,1628978.0,2.0,,,,
59,PT06M58.00S,2026-01-18T01:17:47.5Z,1,REGULAR,turnover,out-of-bounds,[],203084,,,1610612759,9,9,2026-01-18T01:17:59Z,590000,False,,,0,,H. Barnes bad pass out-of-bounds TURNOVER (1 TO),[203084],1610612759.0,SAS,bad pass,,,Barnes,H. Barnes,,,,,Mid-Range,16-24 Right,,,,,,,,1830.0,1.0,,,,,,,,,,,
60,PT06M58.00S,2026-01-18T01:18:21.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,9,9,2026-01-18T01:18:21Z,600000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M58.00S,2026-01-18T01:20:42.2Z,1,REGULAR,substitution,out,[],1641705,,,1610612750,9,9,2026-01-18T01:20:57Z,610000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M58.00S,2026-01-18T01:20:42.2Z,1,REGULAR,substitution,out,[],1628368,,,1610612750,9,9,2026-01-18T01:20:57Z,620000,False,,,0,,SUB out: D. Fox,[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M58.00S,2026-01-18T01:20:42.2Z,1,REGULAR,substitution,out,[],1629675,,,1610612750,9,9,2026-01-18T01:20:57Z,630000,False,,,0,,SUB out: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M58.00S,2026-01-18T01:20:42.2Z,1,REGULAR,substitution,in,[],1628436,,,1610612750,9,9,2026-01-18T01:20:57Z,640000,False,,,0,,SUB in: L. Kornet,[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M58.00S,2026-01-18T01:20:42.2Z,1,REGULAR,substitution,in,[],1642844,,,1610612750,9,9,2026-01-18T01:20:57Z,650000,False,,,0,,SUB in: D. Harper,[1642844],1610612759.0,SAS,,,,Harper,D. Harper,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M58.00S,2026-01-18T01:20:42.2Z,1,REGULAR,substitution,in,[],1642866,,,1610612750,9,9,2026-01-18T01:20:57Z,660000,False,,,0,,SUB in: J. Beringer,[1642866],1610612750.0,MIN,,,,Beringer,J. Beringer,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M45.00S,2026-01-18T01:21:10.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203944,84.57621550591328,16.176470588235293,1610612750,9,9,2026-01-18T01:21:16Z,670000,False,-169.0,92.0,1,right,MISS J. Randle 19' Jump Shot,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Left,19.27,Missed,,,,,,,,,,,,,,,,,,
68,PT06M44.00S,2026-01-18T01:21:11.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,9,9,2026-01-18T01:21:16Z,680000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Mid-Range,16-24 Left,,,,67.0,,,,,,,,,,,,,,,,
70,PT06M34.00S,2026-01-18T01:21:27.1Z,1,REGULAR,3pt,Jump Shot,[],203084,30.56833114323259,26.96078431372549,1610612759,9,9,2026-01-18T01:21:33Z,700000,False,115.0,235.0,1,left,MISS H. Barnes 26' 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,26.15,Missed,,,,,,,,,,,,,,,,,,
71,PT06M31.00S,2026-01-18T01:21:30.3Z,1,REGULAR,rebound,offensive,[],1642264,,,1610612759,9,9,2026-01-18T01:21:30Z,710000,False,,,0,,S. Castle REBOUND (Off:1 Def:0),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Right Center,,,,70.0,1.0,0.0,1.0,,,,,,,,,,,,,
72,PT06M31.00S,2026-01-18T01:21:32.6Z,1,REGULAR,foul,personal,['2freethrow'],203944,,,1610612759,9,9,2026-01-18T01:21:43Z,720000,False,,,0,,J. Randle shooting personal FOUL (1 PF) (Castle 2 FT),"[203944, 1642264]",1610612750.0,MIN,shooting,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,1627962.0,,,,,,,,,1.0,0.0,Castle,1642264.0
74,PT06M31.00S,2026-01-18T01:21:59.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1642264,,,1610612759,10,9,2026-01-18T01:22:17Z,740000,False,,,0,,S. Castle Free Throw 1 of 2 (1 PTS),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
75,PT06M31.00S,2026-01-18T01:21:59.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1642264,,,1610612759,10,9,2026-01-18T01:22:17Z,750000,False,,,0,,MISS S. Castle Free Throw 2 of 2,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
76,PT06M28.00S,2026-01-18T01:22:02.2Z,1,REGULAR,rebound,offensive,[],203084,,,1610612759,10,9,2026-01-18T01:22:17Z,760000,False,,,0,,H. Barnes REBOUND (Off:1 Def:2),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,75.0,3.0,2.0,1.0,,,,,,,,,,,,,
77,PT06M25.00S,2026-01-18T01:22:19.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642844,8.492115637319317,96.07843137254902,1610612759,10,9,2026-01-18T01:22:23Z,770000,False,-230.0,27.0,1,left,MISS D. Harper 3PT,[1642844],1610612759.0,SAS,,,,Harper,D. Harper,,,,,Left Corner 3,24+ Left,23.2,Missed,,,,,,,,,,,,,,,,,,
78,PT06M22.00S,2026-01-18T01:22:22.4Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,10,9,2026-01-18T01:22:23Z,780000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Left Corner 3,24+ Left,,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,
79,PT06M07.00S,2026-01-18T01:22:39.6Z,1,REGULAR,foul,personal,[],1630577,,,1610612750,10,9,2026-01-18T01:22:46Z,790000,False,,,0,,J. Champagnie personal FOUL (1 PF),"[1630577, 1630162]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,,,,,1830.0,,,,,,,,,1.0,0.0,Edwards,1630162.0
81,PT05M58.00S,2026-01-18T01:23:04.0Z,1,REGULAR,3pt,Jump Shot,[],203944,74.06373193166885,14.705882352941178,1610612750,10,9,2026-01-18T01:23:09Z,810000,False,-176.0,191.0,1,right,MISS J. Randle 26' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,26.03,Missed,,,,,,,,,,,,,,,,,,
82,PT05M55.00S,2026-01-18T01:23:07.0Z,1,REGULAR,rebound,defensive,[],1642844,,,1610612759,10,9,2026-01-18T01:23:09Z,820000,False,,,0,,D. Harper REBOUND (Off:0 Def:1),[1642844],1610612759.0,SAS,,,,Harper,D. Harper,,,,,Above the Break 3,24+ Left Center,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,
