actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,jumpBallRecoverdPersonId
19,PT10M35.00S,2024-01-03T01:12:46.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,92.19776609724047,40.44117647058824,1610612763,2,3,2024-01-03T01:12:51Z,190000,False,-48.0,21.0,1,right,MISS J. Jackson Jr. turnaround Hook - blocked,"[1628991, 1641705]",1610612763.0,MEM,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,5.21,Missed,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,Wembanyama,1641705.0,,,,,
20,PT10M35.00S,2024-01-03T01:12:46.5Z,1,REGULAR,block,,[],1641705,,,1610612763,2,3,2024-01-03T01:12:49Z,200000,False,,,0,,V. Wembanyama BLOCK (2 BLK),[1641705],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,
21,PT10M32.00S,2024-01-03T01:12:49.5Z,1,REGULAR,rebound,defensive,[],1631103,,,1610612759,2,3,2024-01-03T01:12:51Z,210000,False,,,0,,M. Branham REBOUND (Off:0 Def:1),[1631103],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Branham,M. Branham,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,
22,PT10M11.00S,2024-01-03T01:13:10.9Z,1,REGULAR,3pt,Jump Shot,[],1630577,29.911300919842315,28.431372549019606,1610612759,2,3,2024-01-03T01:13:17Z,220000,False,108.0,229.0,1,left,MISS J. Champagnie 25' step back 3PT,[1630577],1610612759.0,SAS,step back,,,,,,Above the Break 3,24+ Right Center,25.28,Missed,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,
23,PT10M11.00S,2024-01-03T01:13:10.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,2,3,2024-01-03T01:13:32Z,230000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,22.0,,,,
24,PT10M11.00S,2024-01-03T01:13:16.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612759,2,3,2024-01-03T01:13:29Z,240000,False,,,0,,SAS shot clock Team TURNOVER,[],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1627963.0,,,,,,,,,,,,,,
25,PT10M03.00S,2024-01-03T01:13:39.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629630,66.83639947437582,36.029411764705884,1610612763,5,3,2024-01-03T01:13:44Z,250000,False,-70.0,259.0,1,right,J. Morant 26' 3PT pullup (3 PTS),[1629630],1610612763.0,MEM,pullup,,,,,,Above the Break 3,24+ Center,26.85,Made,3.0,Morant,J. Morant,,,,,,,,,,,,,,,,,,
26,PT09M33.00S,2024-01-03T01:14:08.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631103,6.1268068331143235,35.78431372549019,1610612759,5,3,2024-01-03T01:14:14Z,260000,False,71.0,5.0,1,left,MISS M. Branham 7' floating Shot,[1631103],1610612759.0,SAS,floating,,,,,,In The Paint (Non-RA),0-8 Center,7.13,Missed,,Branham,M. Branham,,,,,,,,,,,,,,,,,,
27,PT09M30.00S,2024-01-03T01:14:11.9Z,1,REGULAR,rebound,defensive,[],202687,,,1610612763,5,3,2024-01-03T01:14:14Z,270000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,
28,PT09M23.00S,2024-01-03T01:14:18.1Z,1,REGULAR,3pt,Jump Shot,[],1630217,75.90341655716163,83.33333333333334,1610612763,5,3,2024-01-03T01:14:23Z,280000,False,167.0,174.0,1,right,MISS D. Bane 24' pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,,,,Above the Break 3,24+ Right Center,24.1,Missed,,Bane,D. Bane,,,,,,,,,,,,,,,,,,
29,PT09M19.00S,2024-01-03T01:14:22.1Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,5,3,2024-01-03T01:14:23Z,290000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,
31,PT09M15.00S,2024-01-03T01:14:27.4Z,1,REGULAR,foul,personal,['2freethrow'],1630217,,,1610612759,5,3,2024-01-03T01:14:38Z,310000,False,,,0,,D. Bane shooting personal FOUL (1 PF) (Sochan 2 FT),"[1630217, 1631110]",1610612763.0,MEM,shooting,,,,,,Restricted Area,0-8 Center,,,,Bane,D. Bane,,,,202056.0,1.0,0.0,Sochan,1631110.0,,,,,,,,,,
33,PT09M15.00S,2024-01-03T01:14:50.3Z,1,REGULAR,freethrow,1 of 2,[],1631110,,,1610612759,5,4,2024-01-03T01:14:50Z,330000,False,,,0,,J. Sochan Free Throw 1 of 2 (1 PTS),[1631110],1610612759.0,SAS,,,,,,,,,,Made,1.0,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,
34,PT09M15.00S,2024-01-03T01:15:02.7Z,1,REGULAR,freethrow,2 of 2,[],1631110,,,1610612759,5,5,2024-01-03T01:15:02Z,340000,False,,,0,,J. Sochan Free Throw 2 of 2 (2 PTS),[1631110],1610612759.0,SAS,,,,,,,,,,Made,2.0,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,
35,PT09M04.00S,2024-01-03T01:15:17.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202687,93.9060446780552,51.470588235294116,1610612763,7,5,2024-01-03T01:15:21Z,350000,False,7.0,5.0,1,right,B. Biyombo alley-oop DUNK (2 PTS) (J. Morant 1 AST),"[202687, 1629630]",1610612763.0,MEM,alley-oop,,,,,,Restricted Area,0-8 Center,0.88,Made,2.0,Biyombo,B. Biyombo,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,,
37,PT08M52.00S,2024-01-03T01:15:29.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641705,6.1268068331143235,51.71568627450981,1610612759,7,7,2024-01-03T01:15:33Z,370000,False,-9.0,5.0,1,left,V. Wembanyama alley-oop DUNK (2 PTS) (M. Branham 1 AST),"[1641705, 1631103]",1610612759.0,SAS,alley-oop,,,,,,Restricted Area,0-8 Center,1.0,Made,2.0,Wembanyama,V. Wembanyama,M. Branham,1631103.0,1.0,,,,,,,,,,,,,,,
39,PT08M40.00S,2024-01-03T01:15:44.6Z,1,REGULAR,foul,offensive,[],202687,,,1610612763,7,7,2024-01-03T01:15:54Z,390000,False,,,0,,B. Biyombo offensive FOUL (1 PF),"[202687, 1631103]",1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Biyombo,B. Biyombo,,,,1627963.0,1.0,0.0,Branham,1631103.0,,,,,,,,,,
41,PT08M40.00S,2024-01-03T01:15:44.6Z,1,REGULAR,turnover,offensive foul,[],202687,,,1610612763,7,7,2024-01-03T01:15:44Z,410000,False,,,0,,B. Biyombo offensive foul TURNOVER (1 TO),[202687],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Biyombo,B. Biyombo,,,,1627963.0,,,,,1.0,,,,,,,,,
42,PT08M27.00S,2024-01-03T01:16:07.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1641705,6.652431011826544,51.225490196078425,1610612759,7,9,2024-01-03T01:16:12Z,420000,False,-6.0,10.0,1,left,V. Wembanyama alley-oop DUNK (4 PTS) (D. Vassell 1 AST),"[1641705, 1630170]",1610612759.0,SAS,alley-oop,,,,,,Restricted Area,0-8 Center,1.17,Made,4.0,Wembanyama,V. Wembanyama,D. Vassell,1630170.0,1.0,,,,,,,,,,,,,,,
44,PT08M16.00S,2024-01-03T01:16:21.4Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612763,7,9,2024-01-03T01:16:30Z,440000,False,,,0,,M. Smart lost ball out-of-bounds TURNOVER (1 TO),[203935],1610612763.0,MEM,lost ball,,,,,,In The Paint (Non-RA),0-8 Center,,,,Smart,M. Smart,,,,202056.0,,,,,1.0,,,,,,,,,
45,PT08M04.00S,2024-01-03T01:16:44.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630170,8.360709592641262,47.794117647058826,1610612759,7,9,2024-01-03T01:16:58Z,450000,False,11.0,26.0,1,left,MISS D. Vassell driving Layup - blocked,"[1630170, 1628991]",1610612759.0,SAS,driving,,,,,,Restricted Area,0-8 Center,2.83,Missed,,Vassell,D. Vassell,,,,,,,,,,,,Jackson Jr.,1628991.0,,,,,
48,PT08M04.00S,2024-01-03T01:16:44.2Z,1,REGULAR,block,,[],1628991,,,1610612759,7,9,2024-01-03T01:16:58Z,455000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,
46,PT08M03.00S,2024-01-03T01:16:45.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,7,9,2024-01-03T01:16:58Z,460000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,45.0,,,,
49,PT07M55.00S,2024-01-03T01:17:08.3Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1631103,11.251642575558476,67.40196078431373,1610612759,7,9,2024-01-03T01:17:13Z,480000,False,-87.0,53.0,1,left,MISS M. Branham 10' driving floating Shot - blocked,"[1631103, 1628991]",1610612759.0,SAS,driving floating,,,,,,Mid-Range,8-16 Left,10.2,Missed,,Branham,M. Branham,,,,,,,,,,,,Jackson Jr.,1628991.0,,,,,
50,PT07M55.00S,2024-01-03T01:17:08.3Z,1,REGULAR,block,,[],1628991,,,1610612759,7,9,2024-01-03T01:17:11Z,490000,False,,,0,,J. Jackson Jr. BLOCK (2 BLK),[1628991],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Left,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,
51,PT07M51.00S,2024-01-03T01:17:12.3Z,1,REGULAR,rebound,defensive,[],202687,,,1610612763,7,9,2024-01-03T01:17:13Z,500000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:2),[202687],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Left,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,49.0,2.0,2.0,0.0,
52,PT07M45.00S,2024-01-03T01:17:21.1Z,1,REGULAR,foul,personal,[],1631110,,,1610612763,7,9,2024-01-03T01:17:33Z,510000,False,,,0,,J. Sochan personal FOUL (1 PF),"[1631110, 1629630]",1610612759.0,SAS,,,,,,,Above the Break 3,24+ Center,,,,Sochan,J. Sochan,,,,1627963.0,1.0,0.0,Morant,1629630.0,,,,,,,,,,
55,PT07M36.00S,2024-01-03T01:18:05.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,88.78120893561103,36.76470588235294,1610612763,7,9,2024-01-03T01:18:10Z,540000,False,-66.0,53.0,1,right,MISS M. Smart 8' turnaround Shot,[203935],1610612763.0,MEM,turnaround,,,,,,In The Paint (Non-RA),8-16 Left,8.48,Missed,,Smart,M. Smart,,,,,,,,,,,,,,,,,,
56,PT07M34.00S,2024-01-03T01:18:07.0Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,7,9,2024-01-03T01:18:10Z,550000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:2),[1641705],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),8-16 Left,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,55.0,2.0,2.0,0.0,
57,PT07M29.00S,2024-01-03T01:18:13.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641705,29.38567674113009,19.11764705882353,1610612759,7,9,2024-01-03T01:18:19Z,560000,False,154.0,224.0,1,left,MISS V. Wembanyama 27' running pullup 3PT,[1641705],1610612759.0,SAS,running pullup,,,,,,Above the Break 3,24+ Right Center,27.18,Missed,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,
58,PT07M23.00S,2024-01-03T01:18:19.5Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,7,9,2024-01-03T01:18:19Z,570000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Morant,J. Morant,,,,,,,,,,,,,,57.0,1.0,1.0,0.0,
59,PT07M21.00S,2024-01-03T01:18:23.2Z,1,REGULAR,foul,personal,['2freethrow'],1631103,,,1610612763,7,9,2024-01-03T01:18:35Z,580000,False,,,0,,M. Branham shooting personal FOUL (1 PF) (Morant 2 FT),"[1631103, 1629630]",1610612759.0,SAS,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Branham,M. Branham,,,,203591.0,1.0,0.0,Morant,1629630.0,,,,,,,,,,
61,PT07M21.00S,2024-01-03T01:18:49.1Z,1,REGULAR,freethrow,1 of 2,[],1629630,,,1610612763,8,9,2024-01-03T01:18:49Z,600000,False,,,0,,J. Morant Free Throw 1 of 2 (4 PTS),[1629630],1610612763.0,MEM,,,,,,,,,,Made,4.0,Morant,J. Morant,,,,,,,,,,,,,,,,,,
62,PT07M21.00S,2024-01-03T01:19:03.6Z,1,REGULAR,freethrow,2 of 2,[],1629630,,,1610612763,9,9,2024-01-03T01:19:03Z,610000,False,,,0,,J. Morant Free Throw 2 of 2 (5 PTS),[1629630],1610612763.0,MEM,,,,,,,,,,Made,5.0,Morant,J. Morant,,,,,,,,,,,,,,,,,,
63,PT06M57.00S,2024-01-03T01:19:30.0Z,1,REGULAR,2pt,Jump Shot,[],1631110,14.4053876478318,26.715686274509803,1610612759,9,9,2024-01-03T01:19:36Z,620000,False,116.0,83.0,1,left,MISS J. Sochan 14' turnaround fadeaway Shot,[1631110],1610612759.0,SAS,turnaround fadeaway,,,,,,Mid-Range,8-16 Right,14.29,Missed,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,
64,PT06M52.00S,2024-01-03T01:19:35.0Z,1,REGULAR,rebound,defensive,[],202687,,,1610612763,9,9,2024-01-03T01:19:36Z,630000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:3),[202687],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Right,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,63.0,3.0,3.0,0.0,
66,PT06M37.00S,2024-01-03T01:19:55.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,9,9,2024-01-03T01:19:55Z,650000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M37.00S,2024-01-03T01:22:33.0Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,9,9,2024-01-03T01:22:54Z,660000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,
68,PT06M37.00S,2024-01-03T01:22:33.0Z,1,REGULAR,substitution,out,[],1630577,,,1610612763,9,9,2024-01-03T01:22:54Z,670000,False,,,0,,SUB out: J. Champagnie,[1630577],1610612759.0,SAS,,,,,,,,,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,
69,PT06M37.00S,2024-01-03T01:22:33.0Z,1,REGULAR,substitution,out,[],1641705,,,1610612763,9,9,2024-01-03T01:22:54Z,680000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,,,,,,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,
70,PT06M37.00S,2024-01-03T01:22:33.0Z,1,REGULAR,substitution,in,[],1630583,,,1610612763,9,9,2024-01-03T01:22:54Z,690000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,,,,,,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,
71,PT06M37.00S,2024-01-03T01:22:33.0Z,1,REGULAR,substitution,in,[],1629640,,,1610612763,9,9,2024-01-03T01:22:54Z,700000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,,,,,,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,
72,PT06M37.00S,2024-01-03T01:22:33.0Z,1,REGULAR,substitution,in,[],1631230,,,1610612763,9,9,2024-01-03T01:22:54Z,710000,False,,,0,,SUB in: D. Barlow,[1631230],1610612759.0,SAS,,,,,,,,,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,
73,PT06M31.00S,2024-01-03T01:23:16.1Z,1,REGULAR,3pt,Jump Shot,[],1630217,90.48948751642575,3.431372549019608,1610612763,9,9,2024-01-03T01:23:26Z,720000,False,-233.0,37.0,1,right,MISS D. Bane 3PT,[1630217],1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,23.57,Missed,,Bane,D. Bane,,,,,,,,,,,,,,,,,,
74,PT06M30.00S,2024-01-03T01:23:17.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,9,9,2024-01-03T01:23:26Z,730000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,73.0,,,,
76,PT06M23.00S,2024-01-03T01:23:44.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630217,92.59198423127464,54.90196078431373,1610612763,11,9,2024-01-03T01:23:49Z,750000,False,25.0,17.0,1,right,D. Bane driving finger roll Layup (4 PTS) (M. Smart 2 AST),"[1630217, 203935]",1610612763.0,MEM,driving finger roll,,,,,,Restricted Area,0-8 Center,2.99,Made,4.0,Bane,D. Bane,M. Smart,203935.0,2.0,,,,,,,,,,,,,,,
78,PT06M04.00S,2024-01-03T01:24:03.4Z,1,REGULAR,2pt,Jump Shot,[],1630170,16.376478318002626,26.225490196078432,1610612759,11,9,2024-01-03T01:24:09Z,770000,False,119.0,101.0,1,left,MISS D. Vassell 15' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,,,,Mid-Range,8-16 Right,15.63,Missed,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,
79,PT06M02.00S,2024-01-03T01:24:05.4Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,11,9,2024-01-03T01:24:09Z,780000,False,,,0,,J. Morant REBOUND (Off:0 Def:2),[1629630],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Right,,,,Morant,J. Morant,,,,,,,,,,,,,,78.0,2.0,2.0,0.0,
80,PT05M53.00S,2024-01-03T01:24:14.9Z,1,REGULAR,3pt,Jump Shot,[],1629630,67.36202365308804,25.98039215686275,1610612763,11,9,2024-01-03T01:26:13Z,790000,False,-120.0,254.0,1,right,MISS J. Morant 28' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,,,,Above the Break 3,24+ Left Center,28.12,Missed,,Morant,J. Morant,,,,,,,,,,,,,,,,,,
81,PT05M51.00S,2024-01-03T01:24:16.9Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,11,9,2024-01-03T01:24:19Z,800000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Left Center,,,,Johnson,K. Johnson,,,,,,,,,,,,,,80.0,1.0,1.0,0.0,
82,PT05M39.00S,2024-01-03T01:24:28.2Z,1,REGULAR,2pt,Jump Shot,[],1631103,14.14257555847569,69.11764705882352,1610612759,11,11,2024-01-03T01:24:33Z,810000,False,-96.0,80.0,1,left,M. Branham 12' pullup Jump Shot (2 PTS) (D. Barlow 1 AST),"[1631103, 1631230]",1610612759.0,SAS,pullup,,,,,,Mid-Range,8-16 Left,12.49,Made,2.0,Branham,M. Branham,D. Barlow,1631230.0,1.0,,,,,,,,,,,,,,,
84,PT05M24.00S,2024-01-03T01:24:44.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202687,91.93495400788436,44.85294117647059,1610612763,11,11,2024-01-03T01:24:48Z,830000,False,-26.0,23.0,1,right,MISS B. Biyombo Layup,[202687],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,3.47,Missed,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,
85,PT05M21.00S,2024-01-03T01:24:47.4Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612759,11,11,2024-01-03T01:24:48Z,840000,False,,,0,,D. Barlow REBOUND (Off:0 Def:1),[1631230],1610612759.0,SAS,,,,,,,Restricted Area,0-8 Center,,,,Barlow,D. Barlow,,,,,,,,,,,,,,84.0,1.0,1.0,0.0,
86,PT05M12.00S,2024-01-03T01:24:55.5Z,1,REGULAR,2pt,Jump Shot,[],1631103,12.171484888304862,30.392156862745097,1610612759,11,11,2024-01-03T01:25:02Z,850000,False,98.0,62.0,1,left,MISS M. Branham 11' driving floating bank Shot,[1631103],1610612759.0,SAS,driving floating bank,,,,,,Mid-Range,8-16 Right,11.59,Missed,,Branham,M. Branham,,,,,,,,,,,,,,,,,,
87,PT05M09.00S,2024-01-03T01:24:58.5Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,11,11,2024-01-03T01:25:02Z,860000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Right,,,,Bane,D. Bane,,,,,,,,,,,,,,86.0,1.0,1.0,0.0,
88,PT04M57.00S,2024-01-03T01:25:11.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,92.46057818659659,45.83333333333333,1610612763,13,11,2024-01-03T01:25:16Z,870000,False,-21.0,18.0,1,right,D. Bane driving finger roll Layup (6 PTS) (J. Morant 2 AST),"[1630217, 1629630]",1610612763.0,MEM,driving finger roll,,,,,,Restricted Area,0-8 Center,2.78,Made,6.0,Bane,D. Bane,J. Morant,1629630.0,2.0,,,,,,,,,,,,,,,
