actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
29,PT09M47.00S,2023-10-27T23:13:48.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630533,24.26084099868594,35.294117647058826,1610612763,4,2,2023-10-27T23:13:54Z,290000,False,74.0,176.0,1,left,Z. Williams 19' step back Jump Shot (2 PTS) (M. Smart 1 AST),"[1630533, 203935]",1610612763.0,MEM,step back,,,Williams,Z. Williams,,,,,Mid-Range,16-24 Right Center,19.04,Made,,,,,,,,2.0,M. Smart,203935.0,1.0,,,,,,,
31,PT09M19.00S,2023-10-27T23:14:14.9Z,1,REGULAR,2pt,Jump Shot,[],203999,94.03745072273325,68.13725490196079,1610612743,4,2,2023-10-27T23:14:20Z,310000,False,91.0,4.0,1,right,MISS N. Jokic 9' turnaround fadeaway Shot,[203999],1610612743.0,DEN,turnaround fadeaway,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,9.08,Missed,,,,,,,,,,,,,,,,,,
32,PT09M17.00S,2023-10-27T23:14:16.9Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612763,4,2,2023-10-27T23:14:20Z,320000,False,,,0,,Z. Williams REBOUND (Off:1 Def:1),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,Mid-Range,8-16 Right,,,31.0,2.0,1.0,1.0,,,,,,,,,,,,,,
33,PT09M13.00S,2023-10-27T23:14:22.3Z,1,REGULAR,turnover,out-of-bounds,[],1630533,,,1610612763,4,2,2023-10-27T23:14:34Z,330000,False,,,0,,Z. Williams lost ball out-of-bounds TURNOVER (1 TO),[1630533],1610612763.0,MEM,lost ball,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1629178.0,,,,,,,,,1.0,,
34,PT08M59.00S,2023-10-27T23:14:50.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203932,92.46057818659659,48.529411764705884,1610612743,4,4,2023-10-27T23:14:53Z,340000,False,-7.0,18.0,1,right,A. Gordon cutting DUNK (2 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.98,Made,,,,,,,,2.0,N. Jokic,203999.0,1.0,,,,,,,
36,PT08M46.00S,2023-10-27T23:15:02.1Z,1,REGULAR,3pt,Jump Shot,[],1630214,7.5722733245729295,3.1862745098039214,1610612763,4,4,2023-10-27T23:15:09Z,360000,False,234.0,19.0,1,left,MISS X. Tillman step back 3PT,[1630214],1610612763.0,MEM,step back,,,Tillman,X. Tillman,,,,,Right Corner 3,24+ Right,23.48,Missed,,,,,,,,,,,,,,,,,,
37,PT08M42.00S,2023-10-27T23:15:06.1Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,4,4,2023-10-27T23:15:09Z,370000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:2),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
38,PT08M34.00S,2023-10-27T23:15:14.1Z,1,REGULAR,3pt,Jump Shot,[],1627750,92.59198423127464,94.11764705882352,1610612743,4,4,2023-10-27T23:15:24Z,380000,False,221.0,17.0,1,right,MISS J. Murray 3PT,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Right Corner 3,24+ Right,22.13,Missed,,,,,,,,,,,,,,,,,,
39,PT08M33.00S,2023-10-27T23:15:19.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,4,4,2023-10-27T23:15:19Z,390000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Right Corner 3,24+ Right,,,38.0,,,,,,,,,,,,,,,,,
41,PT08M28.00S,2023-10-27T23:15:38.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629008,86.81011826544021,39.705882352941174,1610612743,4,4,2023-10-27T23:15:43Z,410000,False,-51.0,71.0,1,right,MISS M. Porter Jr. 8' driving floating Shot,[1629008],1610612743.0,DEN,driving floating,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Left,8.81,Missed,,,,,,,,,,,,,,,,,,
42,PT08M25.00S,2023-10-27T23:15:41.7Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,4,4,2023-10-27T23:15:43Z,420000,False,,,0,,N. Jokic REBOUND (Off:2 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Left,,,41.0,3.0,1.0,2.0,,,,,,,,,,,,,,
43,PT08M23.00S,2023-10-27T23:15:43.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629008,72.22404730617609,79.16666666666666,1610612743,4,4,2023-10-27T23:15:47Z,430000,False,146.0,209.0,1,right,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,25.45,Missed,,,,,,,,,,,,,,,,,,
44,PT08M19.00S,2023-10-27T23:15:47.7Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,4,4,2023-10-27T23:15:47Z,440000,False,,,0,,X. Tillman REBOUND (Off:0 Def:2),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Right Center,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,
45,PT08M12.00S,2023-10-27T23:15:53.9Z,1,REGULAR,3pt,Jump Shot,[],203935,11.777266754270697,2.941176470588235,1610612763,4,4,2023-10-27T23:15:58Z,450000,False,235.0,58.0,1,left,MISS M. Smart 24' 3PT,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,Right Corner 3,24+ Right,24.24,Missed,,,,,,,,,,,,,,,,,,
46,PT08M08.00S,2023-10-27T23:15:57.9Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,4,4,2023-10-27T23:15:58Z,460000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:3),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,45.0,3.0,3.0,0.0,,,,,,,,,,,,,,
47,PT08M04.00S,2023-10-27T23:16:01.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203932,91.5407358738502,45.588235294117645,1610612743,4,6,2023-10-27T23:16:13Z,470000,False,-22.0,27.0,1,right,A. Gordon running finger roll Layup (4 PTS) (M. Porter Jr. 1 AST),"[203932, 1629008]",1610612743.0,DEN,running finger roll,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.49,Made,,,,,,,,4.0,M. Porter Jr.,1629008.0,1.0,,,,,,,
49,PT07M54.00S,2023-10-27T23:16:11.3Z,1,REGULAR,3pt,Jump Shot,[],1630217,35.43035479632063,18.137254901960784,1610612763,4,6,2023-10-27T23:16:16Z,490000,False,159.0,281.0,1,left,MISS D. Bane 32' pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,32.26,Missed,,,,,,,,,,,,,,,,,,
50,PT07M50.00S,2023-10-27T23:16:15.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,4,6,2023-10-27T23:16:16Z,500000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:4),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,49.0,4.0,4.0,0.0,,,,,,,,,,,,,,
51,PT07M43.00S,2023-10-27T23:16:22.4Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,4,6,2023-10-27T23:16:26Z,510000,False,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 203935]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0
52,PT07M43.00S,2023-10-27T23:16:22.4Z,1,REGULAR,steal,,[],203935,,,1610612763,4,6,2023-10-27T23:16:24Z,520000,False,,,0,,M. Smart STEAL (1 STL),[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
53,PT07M39.00S,2023-10-27T23:16:26.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630217,23.866622864651774,11.27450980392157,1610612763,4,6,2023-10-27T23:16:32Z,530000,False,194.0,172.0,1,left,MISS D. Bane 25' running 3PT,[1630217],1610612763.0,MEM,running,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,25.88,Missed,,,,,,,,,,,,,,,,,,
54,PT07M35.00S,2023-10-27T23:16:30.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,4,6,2023-10-27T23:16:32Z,540000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:5),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,53.0,5.0,5.0,0.0,,,,,,,,,,,,,,
55,PT07M29.00S,2023-10-27T23:16:37.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,91.67214191852825,43.13725490196079,1610612743,4,6,2023-10-27T23:16:42Z,550000,False,-34.0,26.0,1,right,MISS N. Jokic turnaround Hook - blocked,"[203999, 1628991]",1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,4.29,Missed,,,,,Jackson Jr.,1628991.0,,,,,,,,,,,,
56,PT07M29.00S,2023-10-27T23:16:37.2Z,1,REGULAR,block,,[],1628991,,,1610612743,4,6,2023-10-27T23:16:39Z,560000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
57,PT07M25.00S,2023-10-27T23:16:41.2Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612763,4,6,2023-10-27T23:16:42Z,570000,False,,,0,,Z. Williams REBOUND (Off:1 Def:2),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,,,55.0,3.0,2.0,1.0,,,,,,,,,,,,,,
58,PT07M24.00S,2023-10-27T23:16:42.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,12.040078843626807,4.6568627450980395,1610612763,4,6,2023-10-27T23:16:49Z,580000,False,227.0,61.0,1,left,MISS D. Bane running 3PT,[1630217],1610612763.0,MEM,running,,,Bane,D. Bane,,,,,Right Corner 3,24+ Right,23.47,Missed,,,,,,,,,,,,,,,,,,
59,PT07M20.00S,2023-10-27T23:16:46.2Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,4,6,2023-10-27T23:16:49Z,590000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:6),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,,,58.0,6.0,6.0,0.0,,,,,,,,,,,,,,
60,PT07M14.00S,2023-10-27T23:16:52.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203999,89.43823915900131,50.245098039215684,1610612743,4,6,2023-10-27T23:16:57Z,600000,False,1.0,47.0,1,right,MISS N. Jokic turnaround Shot - blocked,"[203999, 1628991]",1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,4.68,Missed,,,,,Jackson Jr.,1628991.0,,,,,,,,,,,,
61,PT07M14.00S,2023-10-27T23:16:52.1Z,1,REGULAR,block,,[],1628991,,,1610612743,4,6,2023-10-27T23:16:55Z,610000,False,,,0,,J. Jackson Jr. BLOCK (2 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
62,PT07M11.00S,2023-10-27T23:16:55.1Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612763,4,6,2023-10-27T23:16:57Z,620000,False,,,0,,Z. Williams REBOUND (Off:1 Def:3),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,60.0,4.0,3.0,1.0,,,,,,,,,,,,,,
63,PT07M08.00S,2023-10-27T23:16:58.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630533,7.30946123521682,40.931372549019606,1610612763,4,6,2023-10-27T23:17:07Z,630000,False,45.0,16.0,1,left,MISS Z. Williams running Layup - blocked,"[1630533, 203484]",1610612763.0,MEM,running,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,4.81,Missed,,,,,Caldwell-Pope,203484.0,,,,,,,,,,,,
64,PT07M08.00S,2023-10-27T23:16:58.7Z,1,REGULAR,block,,[],203484,,,1610612763,4,6,2023-10-27T23:17:03Z,640000,False,,,0,,K. Caldwell-Pope BLOCK (1 BLK),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
65,PT07M02.00S,2023-10-27T23:17:04.7Z,1,REGULAR,rebound,offensive,[],1630533,,,1610612763,4,6,2023-10-27T23:17:26Z,650000,False,,,0,,Z. Williams REBOUND (Off:2 Def:3),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,63.0,5.0,3.0,2.0,,,,,,,,,,,,,,
66,PT07M02.00S,2023-10-27T23:17:05.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630533,8.229303547963205,44.6078431372549,1610612763,4,6,2023-10-27T23:18:15Z,660000,False,27.0,25.0,1,left,MISS Z. Williams putback Layup - blocked,"[1630533, 1627750]",1610612763.0,MEM,putback,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,3.67,Missed,,,,,Murray,1627750.0,,,,,,,,,,,,
67,PT07M02.00S,2023-10-27T23:17:05.3Z,1,REGULAR,block,,[],1627750,,,1610612763,4,6,2023-10-27T23:18:15Z,670000,False,,,0,,J. Murray BLOCK (1 BLK),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
68,PT07M02.00S,2023-10-27T23:17:05.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,4,6,2023-10-27T23:18:15Z,680000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:7),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,66.0,7.0,7.0,0.0,,,,,,,,,,,,,,
70,PT06M59.00S,2023-10-27T23:17:27.2Z,1,REGULAR,foul,offensive,[],1627750,,,1610612743,4,6,2023-10-27T23:17:45Z,700000,False,,,0,,J. Murray offensive FOUL (1 PF),"[1627750, 1630533]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Center,,,,,,,,,2530.0,,,,,1.0,0.0,Williams,1630533.0,,,
72,PT06M59.00S,2023-10-27T23:17:27.2Z,1,REGULAR,turnover,offensive foul,[],1627750,,,1610612743,4,6,2023-10-27T23:17:45Z,720000,False,,,0,,J. Murray offensive foul TURNOVER (1 TO),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Center,,,,,,,,,2530.0,,,,,,,,,1.0,,
73,PT06M59.00S,2023-10-27T23:18:03.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,4,6,2023-10-27T23:18:03Z,730000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M59.00S,2023-10-27T23:19:59.5Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,4,6,2023-10-27T23:20:19Z,740000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M59.00S,2023-10-27T23:19:59.5Z,1,REGULAR,substitution,in,[],1631223,,,1610612763,4,6,2023-10-27T23:20:19Z,750000,False,,,0,,SUB in: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M51.00S,2023-10-27T23:20:41.6Z,1,REGULAR,foul,offensive,[],1630217,,,1610612763,4,6,2023-10-27T23:20:50Z,760000,False,,,0,,D. Bane offensive FOUL (1 PF),"[1630217, 1627750]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,2530.0,,,,,1.0,0.0,Murray,1627750.0,,,
78,PT06M51.00S,2023-10-27T23:20:41.6Z,1,REGULAR,turnover,offensive foul,[],1630217,,,1610612763,4,6,2023-10-27T23:20:41Z,780000,False,,,0,,D. Bane offensive foul TURNOVER (1 TO),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,2530.0,,,,,,,,,1.0,,
80,PT06M44.00S,2023-10-27T23:21:06.8Z,1,REGULAR,substitution,out,[],1630533,,,1610612743,4,6,2023-10-27T23:21:09Z,800000,False,,,0,,SUB out: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M44.00S,2023-10-27T23:21:06.8Z,1,REGULAR,substitution,in,[],1629723,,,1610612743,4,6,2023-10-27T23:21:09Z,810000,False,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M36.00S,2023-10-27T23:21:24.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627750,67.23061760840999,45.34313725490196,1610612743,4,9,2023-10-27T23:21:29Z,820000,False,-23.0,256.0,1,right,J. Murray 25' 3PT step back (3 PTS),[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Above the Break 3,24+ Center,25.66,Made,,,,,,,,3.0,,,,,,,,,,
