actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
35,PT09M20.00S,2024-03-28T00:13:54.6Z,1,REGULAR,foul,personal,['2freethrow'],1629637,,,1610612763,5,6,2024-03-28T00:14:08Z,350000,False,,,0,,J. Hayes shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1629637, 1628991]",1610612747.0,LAL,shooting,,,Hayes,J. Hayes,,,,,1628951.0,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1.0,0.0,Jackson Jr.,1628991.0
37,PT09M20.00S,2024-03-28T00:14:19.5Z,1,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,5,6,2024-03-28T00:14:19Z,370000,False,,,0,,MISS J. Jackson Jr. Free Throw 1 of 2,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
38,PT09M20.00S,2024-03-28T00:14:19.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,5,6,2024-03-28T00:14:19Z,380000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,
39,PT09M20.00S,2024-03-28T00:14:34.8Z,1,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,6,6,2024-03-28T00:14:34Z,390000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (1 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,
40,PT09M07.00S,2024-03-28T00:14:49.7Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,6,6,2024-03-28T00:14:52Z,400000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1630217]",1610612747.0,LAL,,,,James,L. James,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,Bane,1630217.0,,,,
41,PT09M07.00S,2024-03-28T00:14:49.7Z,1,REGULAR,steal,,[],1630217,,,1610612763,6,6,2024-03-28T00:14:51Z,410000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,
42,PT09M00.00S,2024-03-28T00:14:56.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630583,9.411957950065702,3.6764705882352944,1610612763,6,6,2024-03-28T00:15:00Z,420000,False,232.0,36.0,1,left,MISS S. Aldama 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,Right Corner 3,24+ Right,23.44,Missed,,,,,,,,,,,,,,,,,
43,PT08M57.00S,2024-03-28T00:14:59.8Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,6,6,2024-03-28T00:15:00Z,430000,False,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,Right Corner 3,24+ Right,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,,
44,PT08M54.00S,2024-03-28T00:15:03.8Z,1,REGULAR,foul,personal,['2freethrow'],1630583,,,1610612747,6,6,2024-03-28T00:15:17Z,440000,False,,,0,,S. Aldama shooting personal FOUL (1 PF) (Hachimura 2 FT),"[1630583, 1629060]",1610612763.0,MEM,shooting,,,Aldama,S. Aldama,,,,,1628951.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,Hachimura,1629060.0
46,PT08M54.00S,2024-03-28T00:15:31.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629060,,,1610612747,6,7,2024-03-28T00:15:31Z,460000,False,,,0,,R. Hachimura Free Throw 1 of 2 (3 PTS),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,
47,PT08M54.00S,2024-03-28T00:15:48.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629060,,,1610612747,6,8,2024-03-28T00:15:48Z,470000,False,,,0,,R. Hachimura Free Throw 2 of 2 (4 PTS),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,
48,PT08M43.00S,2024-03-28T00:16:02.5Z,1,REGULAR,3pt,Jump Shot,[],1630217,28.597240473061763,75.24509803921569,1610612763,6,8,2024-03-28T00:16:05Z,480000,False,-126.0,216.0,1,left,MISS D. Bane 25' pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,,Above the Break 3,24+ Left Center,25.04,Missed,,,,,,,,,,,,,,,,,
49,PT08M40.00S,2024-03-28T00:16:05.5Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,6,8,2024-03-28T00:16:05Z,490000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:2),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,Above the Break 3,24+ Left Center,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,
50,PT08M21.00S,2024-03-28T00:16:24.4Z,1,REGULAR,3pt,Jump Shot,[],1626156,67.36202365308804,31.372549019607842,1610612747,6,8,2024-03-28T00:16:29Z,500000,False,-93.0,254.0,1,right,MISS D. Russell 27' pullup 3PT,[1626156],1610612747.0,LAL,pullup,,,Russell,D. Russell,,,,,,Above the Break 3,24+ Left Center,27.08,Missed,,,,,,,,,,,,,,,,,
51,PT08M16.00S,2024-03-28T00:16:29.4Z,1,REGULAR,rebound,offensive,[],1626156,,,1610612747,6,8,2024-03-28T00:16:29Z,510000,False,,,0,,D. Russell REBOUND (Off:1 Def:0),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,Above the Break 3,24+ Left Center,,,50.0,1.0,0.0,1.0,,,,,,,,,,,,,
52,PT08M12.00S,2024-03-28T00:16:33.4Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,6,8,2024-03-28T00:16:36Z,520000,False,,,0,,L. James bad pass TURNOVER (2 TO),"[2544, 1628991]",1610612747.0,LAL,,,,James,L. James,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,2.0,Jackson Jr.,1628991.0,,,,
53,PT08M12.00S,2024-03-28T00:16:33.4Z,1,REGULAR,steal,,[],1628991,,,1610612763,6,8,2024-03-28T00:16:35Z,530000,False,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,
54,PT08M00.00S,2024-03-28T00:16:44.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641713,5.601182654402102,96.32352941176471,1610612763,6,8,2024-03-28T00:16:48Z,540000,False,-232.0,0.0,1,left,MISS G. Jackson 3PT,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,Left Corner 3,24+ Left,23.16,Missed,,,,,,,,,,,,,,,,,
55,PT07M58.00S,2024-03-28T00:16:46.8Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,6,8,2024-03-28T00:16:48Z,550000,False,,,0,,L. James REBOUND (Off:0 Def:3),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,Left Corner 3,24+ Left,,,54.0,3.0,3.0,0.0,,,,,,,,,,,,,
56,PT07M54.00S,2024-03-28T00:16:53.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",2544,93.64323258869908,49.50980392156863,1610612747,6,10,2024-03-28T00:16:58Z,560000,False,-2.0,7.0,1,right,L. James running finger roll Layup (2 PTS),[2544],1610612747.0,LAL,running finger roll,,,James,L. James,,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,,,2.0,,,,,,,,,,
57,PT07M54.00S,2024-03-28T00:16:57.0Z,1,REGULAR,foul,personal,['1freethrow'],1641713,,,1610612747,6,10,2024-03-28T00:17:05Z,570000,False,,,0,,G. Jackson shooting personal FOUL (2 PF) (James 1 FT),"[1641713, 2544]",1610612763.0,MEM,shooting,,,Jackson,G. Jackson,,,,,1193.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2.0,0.0,James,2544.0
59,PT07M54.00S,2024-03-28T00:17:15.1Z,1,REGULAR,substitution,out,[],1641713,,,1610612747,6,10,2024-03-28T00:17:42Z,590000,False,,,0,,SUB out: G. Jackson,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M54.00S,2024-03-28T00:17:15.1Z,1,REGULAR,substitution,in,[],1631222,,,1610612747,6,10,2024-03-28T00:17:42Z,600000,False,,,0,,SUB in: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M54.00S,2024-03-28T00:17:41.7Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],2544,,,1610612747,6,10,2024-03-28T00:17:41Z,610000,False,,,0,,MISS L. James Free Throw 1 of 1,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
62,PT07M52.00S,2024-03-28T00:17:42.5Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,6,10,2024-03-28T00:17:42Z,620000,False,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,,
63,PT07M46.00S,2024-03-28T00:17:48.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,27.54599211563732,79.41176470588235,1610612763,9,10,2024-03-28T00:17:53Z,630000,False,-147.0,206.0,1,left,D. Bane 25' 3PT running pullup (3 PTS),[1630217],1610612763.0,MEM,running pullup,,,Bane,D. Bane,,,,,,Above the Break 3,24+ Left Center,25.35,Made,,,,,,,3.0,,,,,,,,,,
64,PT07M29.00S,2024-03-28T00:18:05.1Z,1,REGULAR,2pt,Jump Shot,[],1629060,91.14651773981603,21.323529411764707,1610612747,9,12,2024-03-28T00:18:08Z,640000,False,-143.0,31.0,1,right,R. Hachimura 14' step back Jump Shot (6 PTS),[1629060],1610612747.0,LAL,step back,,,Hachimura,R. Hachimura,,,,,,Mid-Range,8-16 Left,14.66,Made,,,,,,,6.0,,,,,,,,,,
65,PT07M19.00S,2024-03-28T00:18:15.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630590,7.046649145860711,53.92156862745098,1610612763,9,12,2024-03-28T00:18:18Z,650000,False,-20.0,14.0,1,left,MISS S. Pippen Jr. driving finger roll Layup,[1630590],1610612763.0,MEM,driving finger roll,,,Pippen Jr.,S. Pippen Jr.,,,,,,Restricted Area,0-8 Center,2.39,Missed,,,,,,,,,,,,,,,,,
66,PT07M16.00S,2024-03-28T00:18:18.2Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612747,9,12,2024-03-28T00:18:18Z,660000,False,,,0,,J. Hayes REBOUND (Off:0 Def:2),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,Restricted Area,0-8 Center,,,65.0,2.0,2.0,0.0,,,,,,,,,,,,,
67,PT07M11.00S,2024-03-28T00:18:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,92.19776609724047,51.71568627450981,1610612747,9,14,2024-03-28T00:18:30Z,670000,False,9.0,21.0,1,right,L. James driving Layup (4 PTS) (D. Russell 2 AST),"[2544, 1626156]",1610612747.0,LAL,driving,,,James,L. James,,,,,,Restricted Area,0-8 Center,2.25,Made,,,,,,,4.0,D. Russell,1626156.0,2.0,,,,,,,
69,PT06M59.00S,2024-03-28T00:18:35.2Z,1,REGULAR,3pt,Jump Shot,[],1630590,8.623521681997373,4.411764705882353,1610612763,9,14,2024-03-28T00:18:40Z,690000,False,228.0,29.0,1,left,MISS S. Pippen Jr. 3PT,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,Right Corner 3,24+ Right,22.97,Missed,,,,,,,,,,,,,,,,,
70,PT06M58.00S,2024-03-28T00:18:36.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,9,14,2024-03-28T00:18:40Z,700000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,Right Corner 3,24+ Right,,,69.0,,,,,,,,,,,,,,,,
71,PT06M58.00S,2024-03-28T00:18:42.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,9,14,2024-03-28T00:18:42Z,710000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M40.00S,2024-03-28T00:21:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,93.64323258869908,50.0,1610612747,9,16,2024-03-28T00:22:01Z,720000,False,0.0,7.0,1,right,D. Russell driving finger roll Layup (2 PTS) (L. James 1 AST),"[1626156, 2544]",1610612747.0,LAL,driving finger roll,,,Russell,D. Russell,,,,,,Restricted Area,0-8 Center,0.73,Made,,,,,,,2.0,L. James,2544.0,1.0,,,,,,,
74,PT06M21.00S,2024-03-28T00:22:16.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,12.959921156373195,53.67647058823529,1610612763,11,16,2024-03-28T00:22:23Z,740000,False,-18.0,69.0,1,left,J. Jackson Jr. 7' driving Layup (3 PTS) (J. LaRavia 1 AST),"[1628991, 1631222]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,,In The Paint (Non-RA),0-8 Center,7.17,Made,,,,,,,3.0,J. LaRavia,1631222.0,1.0,,,,,,,
76,PT06M09.00S,2024-03-28T00:22:27.9Z,1,REGULAR,3pt,Jump Shot,[],1629060,70.38436268068331,25.0,1610612747,11,16,2024-03-28T00:22:33Z,760000,False,-125.0,226.0,1,right,MISS R. Hachimura 25' 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,Above the Break 3,24+ Left Center,25.82,Missed,,,,,,,,,,,,,,,,,
77,PT06M07.00S,2024-03-28T00:22:29.9Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,11,16,2024-03-28T00:22:33Z,770000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,Above the Break 3,24+ Left Center,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,
78,PT05M57.00S,2024-03-28T00:22:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630590,6.389618922470433,49.754901960784316,1610612763,13,16,2024-03-28T00:22:43Z,780000,False,1.0,8.0,1,left,S. Pippen Jr. driving finger roll Layup (7 PTS) (D. Bane 2 AST),"[1630590, 1630217]",1610612763.0,MEM,driving finger roll,,,Pippen Jr.,S. Pippen Jr.,,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,,,7.0,D. Bane,1630217.0,2.0,,,,,,,
80,PT05M46.00S,2024-03-28T00:22:51.6Z,1,REGULAR,3pt,Jump Shot,[],1626156,66.96780551905388,44.85294117647059,1610612747,13,19,2024-03-28T00:22:55Z,800000,False,-26.0,258.0,1,right,D. Russell 25' 3PT pullup (5 PTS),[1626156],1610612747.0,LAL,pullup,,,Russell,D. Russell,,,,,,Above the Break 3,24+ Center,25.93,Made,,,,,,,5.0,,,,,,,,,,
81,PT05M32.00S,2024-03-28T00:23:05.5Z,1,REGULAR,3pt,Jump Shot,[],1630583,30.699737187910642,34.55882352941176,1610612763,16,19,2024-03-28T00:23:10Z,810000,False,77.0,236.0,1,left,S. Aldama 24' 3PT  (3 PTS) (D. Bane 3 AST),"[1630583, 1630217]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,Above the Break 3,24+ Center,24.84,Made,,,,,,,3.0,D. Bane,1630217.0,3.0,,,,,,,
83,PT05M22.00S,2024-03-28T00:23:19.1Z,1,REGULAR,2pt,Jump Shot,[],1630559,89.70105124835742,68.13725490196079,1610612747,16,21,2024-03-28T00:23:24Z,830000,False,91.0,44.0,1,right,A. Reaves 10' driving floating Jump Shot (2 PTS),[1630559],1610612747.0,LAL,driving floating,,,Reaves,A. Reaves,,,,,,Mid-Range,8-16 Right,10.09,Made,,,,,,,2.0,,,,,,,,,,
84,PT05M22.00S,2024-03-28T00:23:21.3Z,1,REGULAR,foul,personal,['1freethrow'],1631222,,,1610612747,16,21,2024-03-28T00:23:42Z,840000,False,,,0,,J. LaRavia shooting personal FOUL (1 PF) (Reaves 1 FT),"[1631222, 1630559]",1610612763.0,MEM,shooting,,,LaRavia,J. LaRavia,,,,,1193.0,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1.0,0.0,Reaves,1630559.0
86,PT05M22.00S,2024-03-28T00:23:27.4Z,1,REGULAR,substitution,out,[],1630583,,,1610612747,16,21,2024-03-28T00:24:17Z,860000,False,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
