actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
44,PT08M16.00S,2024-03-14T00:18:07.0Z,1,REGULAR,rebound,offensive,[],1641713,,,1610612763,6,11,2024-03-14T00:18:07Z,430000,False,,,0,,G. Jackson REBOUND (Off:1 Def:0),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,43.0,1.0,0.0,1.0,,,,,,,,,
45,PT08M13.00S,2024-03-14T00:18:09.7Z,1,REGULAR,turnover,bad pass,[],1630590,,,1610612763,6,11,2024-03-14T00:18:12Z,440000,False,,,0,,S. Pippen Jr. bad pass TURNOVER (1 TO),"[1630590, 203995]",1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Mid-Range,16-24 Left Center,,,,1.0,Micic,203995.0,,,,,,,,,,,,,,
46,PT08M13.00S,2024-03-14T00:18:09.7Z,1,REGULAR,steal,,[],203995,,,1610612766,6,11,2024-03-14T00:18:11Z,450000,False,,,0,,V. Micic STEAL (2 STL),[203995],1610612766.0,CHA,,,,Micic,V. Micic,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
47,PT08M04.00S,2024-03-14T00:18:19.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628970,8.492115637319317,3.431372549019608,1610612766,6,14,2024-03-14T00:18:22Z,460000,False,233.0,27.0,1,left,M. Bridges 3PT  (5 PTS) (V. Micic 1 AST),"[1628970, 203995]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,23.44,Made,5.0,,,,,,,,,,,V. Micic,203995.0,1.0,,,,
49,PT07M46.00S,2024-03-14T00:18:36.8Z,1,REGULAR,3pt,Jump Shot,[],1629723,77.08607095926413,11.27450980392157,1610612763,9,14,2024-03-14T00:18:40Z,480000,False,-194.0,163.0,1,right,J. Konchar 25' 3PT  (3 PTS) (L. Kennard 2 AST),"[1629723, 1628379]",1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Left Center,25.3,Made,3.0,,,,,,,,,,,L. Kennard,1628379.0,2.0,,,,
51,PT07M27.00S,2024-03-14T00:18:55.6Z,1,REGULAR,3pt,Jump Shot,[],1628970,32.40801576872536,60.78431372549019,1610612766,9,14,2024-03-14T00:19:00Z,500000,False,-54.0,252.0,1,left,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,25.78,Missed,,,,,,,,,,,,,,,,,,
52,PT07M24.00S,2024-03-14T00:18:58.6Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,9,14,2024-03-14T00:19:00Z,510000,False,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Center,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,
53,PT07M09.00S,2024-03-14T00:19:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629723,91.14651773981603,52.20588235294118,1610612763,9,14,2024-03-14T00:19:25Z,520000,False,11.0,31.0,1,right,MISS J. Konchar cutting Layup - blocked,"[1629723, 1630208]",1610612763.0,MEM,cutting,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,3.26,Missed,,,,,,,,,,Richards,1630208.0,,,,,,,
54,PT07M09.00S,2024-03-14T00:19:18.0Z,1,REGULAR,block,,[],1630208,,,1610612763,9,14,2024-03-14T00:19:19Z,530000,False,,,0,,N. Richards BLOCK (2 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M09.00S,2024-03-14T00:19:18.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,9,14,2024-03-14T00:19:25Z,540000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,53.0,,,,,,,,,,,,
57,PT06M52.00S,2024-03-14T00:19:41.4Z,1,REGULAR,2pt,Jump Shot,[],1628970,11.12023653088042,81.86274509803921,1610612766,9,14,2024-03-14T00:21:53Z,560000,False,-159.0,52.0,1,left,MISS M. Bridges 16' pullup Shot,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Left,16.76,Missed,,,,,,,,,,,,,,,,,,
58,PT06M49.00S,2024-03-14T00:19:44.4Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612763,9,14,2024-03-14T00:19:47Z,570000,False,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Mid-Range,16-24 Left,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,
60,PT06M37.00S,2024-03-14T00:20:15.0Z,1,REGULAR,2pt,Jump Shot,[],1628379,92.24704336399473,30.752144607843135,1610612763,11,14,2024-03-14T00:20:34Z,590000,False,-96.0,20.0,1,right,L. Kennard 9' driving floating Jump Shot (5 PTS) (S. Pippen Jr. 2 AST),"[1628379, 1630590]",1610612763.0,MEM,driving floating,,,Kennard,L. Kennard,,,,,Mid-Range,8-16 Left,9.83,Made,5.0,,,,,,,,,,,S. Pippen Jr.,1630590.0,2.0,,,,
62,PT06M25.00S,2024-03-14T00:20:26.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203995,7.5722733245729295,44.36274509803921,1610612766,11,16,2024-03-14T00:20:31Z,610000,False,28.0,19.0,1,left,V. Micic driving finger roll Layup (6 PTS),[203995],1610612766.0,CHA,driving finger roll,,,Micic,V. Micic,,,,,Restricted Area,0-8 Center,3.38,Made,6.0,,,,,,,,,,,,,,,,,
63,PT06M09.00S,2024-03-14T00:20:42.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641713,89.43823915900131,56.372549019607845,1610612763,11,16,2024-03-14T00:20:46Z,620000,False,32.0,47.0,1,right,MISS G. Jackson driving floating bank Shot,[1641713],1610612763.0,MEM,driving floating bank,,,Jackson,G. Jackson,,,,,In The Paint (Non-RA),0-8 Center,5.66,Missed,,,,,,,,,,,,,,,,,,
64,PT06M06.00S,2024-03-14T00:20:45.1Z,1,REGULAR,rebound,offensive,[],1641998,,,1610612763,11,16,2024-03-14T00:20:46Z,630000,False,,,0,,T. Jemison REBOUND (Off:1 Def:1),[1641998],1610612763.0,MEM,,,,Jemison,T. Jemison,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,63.0,2.0,1.0,1.0,,,,,,,,,
65,PT06M06.00S,2024-03-14T00:20:45.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641998,94.40999984741211,50.0,1610612763,13,16,2024-03-14T00:20:45Z,640000,False,0.0,0.0,1,right,T. Jemison putback Layup (2 PTS),[1641998],1610612763.0,MEM,putback,,,Jemison,T. Jemison,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
66,PT05M47.00S,2024-03-14T00:21:04.6Z,1,REGULAR,3pt,Jump Shot,[],1628970,32.14520367936925,50.73529411764706,1610612766,13,19,2024-03-14T00:21:09Z,650000,False,-4.0,250.0,1,left,M. Bridges 24' 3PT  (8 PTS) (V. Micic 2 AST),"[1628970, 203995]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,24.97,Made,8.0,,,,,,,,,,,V. Micic,203995.0,2.0,,,,
68,PT05M24.00S,2024-03-14T00:21:26.8Z,1,REGULAR,3pt,Jump Shot,[],1628379,67.09921156373193,40.44117647058824,1610612763,13,19,2024-03-14T00:21:35Z,670000,False,-48.0,257.0,1,right,MISS L. Kennard 26' 3PT,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Center,26.12,Missed,,,,,,,,,,,,,,,,,,
69,PT05M18.00S,2024-03-14T00:21:32.8Z,1,REGULAR,rebound,offensive,[],1628379,,,1610612763,13,19,2024-03-14T00:21:35Z,680000,False,,,0,,L. Kennard REBOUND (Off:1 Def:1),[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Center,,,,,,,,68.0,2.0,1.0,1.0,,,,,,,,,
70,PT05M16.00S,2024-03-14T00:21:36.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641998,81.02825229960578,49.01960784313725,1610612763,15,19,2024-03-14T00:21:41Z,690000,False,-5.0,126.0,1,right,T. Jemison 12' driving floating Jump Shot (4 PTS),[1641998],1610612763.0,MEM,driving floating,,,Jemison,T. Jemison,,,,,In The Paint (Non-RA),8-16 Center,12.59,Made,4.0,,,,,,,,,,,,,,,,,
71,PT05M01.00S,2024-03-14T00:21:56.0Z,1,REGULAR,foul,offensive,[],1630208,,,1610612766,15,19,2024-03-14T00:22:02Z,700000,False,,,0,,N. Richards offensive FOUL (1 PF),"[1630208, 1641998]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,201638.0,,,,,,,,,,1.0,0.0,Jemison,1641998.0
73,PT05M01.00S,2024-03-14T00:21:56.0Z,1,REGULAR,turnover,offensive foul,[],1630208,,,1610612766,15,19,2024-03-14T00:21:56Z,720000,False,,,0,,N. Richards offensive foul TURNOVER (1 TO),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Left,,,,1.0,,,201638.0,,,,,,,,,,,,,
74,PT05M01.00S,2024-03-14T00:22:01.0Z,1,REGULAR,substitution,out,[],1641998,,,1610612763,15,19,2024-03-14T00:22:19Z,730000,False,,,0,,SUB out: T. Jemison,[1641998],1610612763.0,MEM,,,,Jemison,T. Jemison,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M01.00S,2024-03-14T00:22:01.0Z,1,REGULAR,substitution,out,[],1628379,,,1610612763,15,19,2024-03-14T00:22:19Z,740000,False,,,0,,SUB out: L. Kennard,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M01.00S,2024-03-14T00:22:01.0Z,1,REGULAR,substitution,out,[],1630590,,,1610612763,15,19,2024-03-14T00:22:19Z,750000,False,,,0,,SUB out: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M01.00S,2024-03-14T00:22:01.0Z,1,REGULAR,substitution,out,[],1630544,,,1610612763,15,19,2024-03-14T00:22:19Z,760000,False,,,0,,SUB out: T. Mann,[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M01.00S,2024-03-14T00:22:01.0Z,1,REGULAR,substitution,out,[],1630208,,,1610612763,15,19,2024-03-14T00:22:19Z,770000,False,,,0,,SUB out: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M01.00S,2024-03-14T00:22:01.0Z,1,REGULAR,substitution,in,[],1630610,,,1610612763,15,19,2024-03-14T00:22:19Z,780000,False,,,0,,SUB in: D. Jarreau,[1630610],1610612763.0,MEM,,,,Jarreau,D. Jarreau,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M01.00S,2024-03-14T00:22:01.0Z,1,REGULAR,substitution,in,[],1629117,,,1610612763,15,19,2024-03-14T00:22:19Z,790000,False,,,0,,SUB in: W. Gabriel,[1629117],1610612763.0,MEM,,,,Gabriel,W. Gabriel,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M01.00S,2024-03-14T00:22:01.0Z,1,REGULAR,substitution,in,[],1631222,,,1610612763,15,19,2024-03-14T00:22:19Z,800000,False,,,0,,SUB in: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M01.00S,2024-03-14T00:22:01.0Z,1,REGULAR,substitution,in,[],1629684,,,1610612763,15,19,2024-03-14T00:22:19Z,810000,False,,,0,,SUB in: G. Williams,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M01.00S,2024-03-14T00:22:01.0Z,1,REGULAR,substitution,in,[],1630197,,,1610612763,15,19,2024-03-14T00:22:19Z,820000,False,,,0,,SUB in: A. Pokusevski,[1630197],1610612766.0,CHA,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M40.00S,2024-03-14T00:22:34.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629117,83.65637319316689,51.225490196078425,1610612763,15,19,2024-03-14T00:22:39Z,830000,False,6.0,101.0,1,right,MISS W. Gabriel 10' fadeaway Shot,[1629117],1610612763.0,MEM,fadeaway,,,Gabriel,W. Gabriel,,,,,In The Paint (Non-RA),8-16 Center,10.13,Missed,,,,,,,,,,,,,,,,,,
