actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
16,PT11M02.00S,2023-10-31T00:12:15.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,1,0,2023-10-31T00:12:15Z,160000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,
18,PT10M50.00S,2023-10-31T00:12:31.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,89.43823915900131,38.72549019607843,1610612742,1,0,2023-10-31T00:12:34Z,180000,False,-56.0,47.0,1,right,MISS L. Doncic 7' pullup bank Shot,[1629029],1610612742.0,DAL,pullup bank,,,Doncic,L. Doncic,,,,,,In The Paint (Non-RA),0-8 Center,7.33,Missed,,,,,,,,,,,,,,,,,
19,PT10M48.00S,2023-10-31T00:12:33.4Z,1,REGULAR,rebound,defensive,[],203935,,,1610612763,1,0,2023-10-31T00:12:34Z,190000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,In The Paint (Non-RA),0-8 Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M47.00S,2023-10-31T00:12:37.1Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612763,1,0,2023-10-31T00:12:43Z,200000,False,,,0,,M. Smart step out-of-bounds TURNOVER (1 TO),[203935],1610612763.0,MEM,step,,,Smart,M. Smart,,,,,203591.0,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,,,,,,,
21,PT10M33.00S,2023-10-31T00:13:00.4Z,1,REGULAR,turnover,out-of-bounds,[],1627884,,,1610612742,1,0,2023-10-31T00:13:05Z,210000,False,,,0,,D. Jones Jr. lost ball out-of-bounds TURNOVER (1 TO),[1627884],1610612742.0,DAL,lost ball,,,Jones Jr.,D. Jones Jr.,,,,,203591.0,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,,,,,,,
22,PT10M21.00S,2023-10-31T00:13:20.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203935,17.69053876478318,61.274509803921575,1610612763,1,0,2023-10-31T00:13:25Z,220000,False,-56.0,114.0,1,left,MISS M. Smart 12' fadeaway Shot,[203935],1610612763.0,MEM,fadeaway,,,Smart,M. Smart,,,,,,In The Paint (Non-RA),8-16 Center,12.7,Missed,,,,,,,,,,,,,,,,,
23,PT10M19.00S,2023-10-31T00:13:22.9Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,1,0,2023-10-31T00:13:25Z,230000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,In The Paint (Non-RA),8-16 Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT10M09.00S,2023-10-31T00:13:33.1Z,1,REGULAR,3pt,Jump Shot,[],1629684,68.54467805519053,34.31372549019608,1610612742,1,3,2023-10-31T00:13:36Z,240000,False,-78.0,243.0,1,right,G. Williams 25' 3PT  (3 PTS) (L. Doncic 1 AST),"[1629684, 1629029]",1610612742.0,DAL,,,,Williams,G. Williams,,,,,,Above the Break 3,24+ Center,25.55,Made,,,,,,,,,3.0,,L. Doncic,1629029.0,1.0,,,,
26,PT09M56.00S,2023-10-31T00:13:46.2Z,1,REGULAR,2pt,Jump Shot,[],1630217,20.581471747700395,53.431372549019606,1610612763,3,3,2023-10-31T00:13:49Z,260000,False,-17.0,141.0,1,left,D. Bane 14' pullup Jump Shot (2 PTS) (M. Smart 1 AST),"[1630217, 203935]",1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,,Mid-Range,8-16 Center,14.2,Made,,,,,,,,,2.0,,M. Smart,203935.0,1.0,,,,
28,PT09M48.00S,2023-10-31T00:13:55.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,94.03745072273325,47.549019607843135,1610612742,3,5,2023-10-31T00:13:57Z,280000,False,-12.0,4.0,1,right,L. Doncic driving finger roll Layup (2 PTS),[1629029],1610612742.0,DAL,driving finger roll,,,Doncic,L. Doncic,,,,,,Restricted Area,0-8 Center,1.28,Made,,,,,,,,,2.0,,,,,,,,
29,PT09M39.00S,2023-10-31T00:14:02.7Z,1,REGULAR,3pt,Jump Shot,[],1628991,28.991458607095925,19.607843137254903,1610612763,6,5,2023-10-31T00:14:06Z,290000,False,152.0,220.0,1,left,J. Jackson Jr. 26' 3PT  (4 PTS) (D. Bane 1 AST),"[1628991, 1630217]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Above the Break 3,24+ Right Center,26.74,Made,,,,,,,,,4.0,,D. Bane,1630217.0,1.0,,,,
31,PT09M21.00S,2023-10-31T00:14:20.9Z,1,REGULAR,3pt,Jump Shot,[],1629684,88.12417871222075,95.09803921568627,1610612742,6,8,2023-10-31T00:14:25Z,310000,False,225.0,59.0,1,right,G. Williams 3PT pullup (6 PTS) (J. Green 1 AST),"[1629684, 1630182]",1610612742.0,DAL,pullup,,,Williams,G. Williams,,,,,,Right Corner 3,24+ Right,23.31,Made,,,,,,,,,6.0,,J. Green,1630182.0,1.0,,,,
33,PT09M07.00S,2023-10-31T00:14:38.5Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612763,6,8,2023-10-31T00:14:44Z,330000,False,,,0,,M. Smart bad pass out-of-bounds TURNOVER (2 TO),[203935],1610612763.0,MEM,bad pass,,,Smart,M. Smart,,,,,200833.0,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,2.0,,,,,,,
34,PT08M55.00S,2023-10-31T00:15:14.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,68.41327201051249,33.82352941176471,1610612742,6,8,2023-10-31T00:15:18Z,340000,False,-81.0,244.0,1,right,MISS G. Williams 25' 3PT,[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,,Above the Break 3,24+ Center,25.74,Missed,,,,,,,,,,,,,,,,,
35,PT08M51.00S,2023-10-31T00:15:18.1Z,1,REGULAR,rebound,offensive,[],1641726,,,1610612742,6,8,2023-10-31T00:15:18Z,350000,False,,,0,,D. Lively II REBOUND (Off:1 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,Above the Break 3,24+ Center,,,34.0,2.0,1.0,1.0,,,,,,,,,,,,,
36,PT08M48.00S,2023-10-31T00:15:21.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629684,70.90998685939553,21.07843137254902,1610612742,6,11,2023-10-31T00:15:24Z,360000,False,-145.0,221.0,1,right,G. Williams 26' 3PT  (9 PTS) (L. Doncic 2 AST),"[1629684, 1629029]",1610612742.0,DAL,,,,Williams,G. Williams,,,,,,Above the Break 3,24+ Left Center,26.4,Made,,,,,,,,,9.0,,L. Doncic,1629029.0,2.0,,,,
38,PT08M47.00S,2023-10-31T00:15:26.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,6,11,2023-10-31T00:15:26Z,380000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M28.00S,2023-10-31T00:18:41.8Z,1,REGULAR,3pt,Jump Shot,[],203935,29.517082785808146,70.34313725490196,1610612763,9,11,2023-10-31T00:18:45Z,390000,False,-102.0,225.0,1,left,M. Smart 24' 3PT  (3 PTS) (J. Jackson Jr. 1 AST),"[203935, 1628991]",1610612763.0,MEM,,,,Smart,M. Smart,,,,,,Above the Break 3,24+ Left Center,24.69,Made,,,,,,,,,3.0,,J. Jackson Jr.,1628991.0,1.0,,,,
41,PT08M06.00S,2023-10-31T00:19:03.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,93.77463863337714,52.20588235294118,1610612742,9,11,2023-10-31T00:19:07Z,410000,False,11.0,6.0,1,right,MISS L. Doncic floating Shot - blocked,"[1629029, 1630214]",1610612742.0,DAL,floating,,,Doncic,L. Doncic,,,,,,Restricted Area,0-8 Center,1.25,Missed,,,,,,,,,,,,,,Tillman,1630214.0,,
42,PT08M06.00S,2023-10-31T00:19:03.3Z,1,REGULAR,block,,[],1630214,,,1610612742,9,11,2023-10-31T00:19:05Z,420000,False,,,0,,X. Tillman BLOCK (1 BLK),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
43,PT08M04.00S,2023-10-31T00:19:05.3Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612763,9,11,2023-10-31T00:19:07Z,430000,False,,,0,,Z. Williams REBOUND (Off:0 Def:1),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,Restricted Area,0-8 Center,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,
44,PT07M58.00S,2023-10-31T00:19:11.2Z,1,REGULAR,3pt,Jump Shot,[],1630214,3.892904073587385,96.32352941176471,1610612763,9,11,2023-10-31T00:19:14Z,440000,False,-232.0,-16.0,1,left,MISS X. Tillman 3PT,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,Left Corner 3,24+ Left,23.21,Missed,,,,,,,,,,,,,,,,,
45,PT07M55.00S,2023-10-31T00:19:14.2Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,9,11,2023-10-31T00:19:14Z,450000,False,,,0,,D. Lively II REBOUND (Off:1 Def:2),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,Left Corner 3,24+ Left,,,44.0,3.0,2.0,1.0,,,,,,,,,,,,,
46,PT07M43.00S,2023-10-31T00:19:26.7Z,1,REGULAR,3pt,Jump Shot,[],1630182,72.09264126149803,79.90196078431373,1610612742,9,14,2023-10-31T00:19:30Z,460000,False,150.0,210.0,1,right,J. Green 25' 3PT  (3 PTS) (G. Williams 1 AST),"[1630182, 1629684]",1610612742.0,DAL,,,,Green,J. Green,,,,,,Above the Break 3,24+ Right Center,25.76,Made,,,,,,,,,3.0,,G. Williams,1629684.0,1.0,,,,
48,PT07M27.00S,2023-10-31T00:19:41.7Z,1,REGULAR,3pt,Jump Shot,[],203935,29.6484888304862,25.0,1610612763,9,14,2023-10-31T00:19:44Z,480000,False,125.0,226.0,1,left,MISS M. Smart 25' 3PT,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,Above the Break 3,24+ Right Center,25.84,Missed,,,,,,,,,,,,,,,,,
49,PT07M25.00S,2023-10-31T00:19:43.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,9,14,2023-10-31T00:19:44Z,490000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Above the Break 3,24+ Right Center,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,
50,PT07M20.00S,2023-10-31T00:19:50.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629029,67.09921156373193,62.5,1610612742,9,17,2023-10-31T00:19:55Z,500000,False,62.0,257.0,1,right,L. Doncic 26' 3PT running pullup (5 PTS),[1629029],1610612742.0,DAL,running pullup,,,Doncic,L. Doncic,,,,,,Above the Break 3,24+ Center,26.43,Made,,,,,,,,,5.0,,,,,,,,
51,PT07M00.00S,2023-10-31T00:20:09.1Z,1,REGULAR,3pt,Jump Shot,[],203935,20.18725361366623,8.823529411764707,1610612763,9,17,2023-10-31T00:20:12Z,510000,False,206.0,137.0,1,left,MISS M. Smart 24' 3PT,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,Above the Break 3,24+ Right Center,24.75,Missed,,,,,,,,,,,,,,,,,
52,PT06M57.00S,2023-10-31T00:20:12.1Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612742,9,17,2023-10-31T00:20:12Z,520000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,Above the Break 3,24+ Right Center,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,
53,PT06M51.00S,2023-10-31T00:20:18.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627884,91.27792378449409,50.73529411764706,1610612742,9,17,2023-10-31T00:20:21Z,530000,False,4.0,29.0,1,right,MISS D. Jones Jr. driving Layup - blocked,"[1627884, 1628991]",1610612742.0,DAL,driving,,,Jones Jr.,D. Jones Jr.,,,,,,Restricted Area,0-8 Center,2.97,Missed,,,,,,,,,,,,,,Jackson Jr.,1628991.0,,
54,PT06M51.00S,2023-10-31T00:20:18.4Z,1,REGULAR,block,,[],1628991,,,1610612742,9,17,2023-10-31T00:20:20Z,540000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
55,PT06M48.00S,2023-10-31T00:20:21.4Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,9,17,2023-10-31T00:29:47Z,550000,False,,,0,,D. Bane REBOUND (Off:0 Def:2),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,Restricted Area,0-8 Center,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,
58,PT06M46.00S,2023-10-31T00:20:26.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630217,7.046649145860711,50.73529411764706,1610612763,11,17,2023-10-31T00:29:50Z,580000,False,-4.0,14.0,1,left,D. Bane running finger roll Layup (4 PTS),[1630217],1610612763.0,MEM,running finger roll,,,Bane,D. Bane,,,,,,Restricted Area,0-8 Center,1.42,Made,,,,,,,,,4.0,,,,,,,,
59,PT06M46.00S,2023-10-31T00:20:30.5Z,1,REGULAR,foul,personal,['1freethrow'],1629029,,,1610612763,11,17,2023-10-31T00:21:12Z,590000,False,,,0,,L. Doncic shooting personal FOUL (1 PF) (Bane 1 FT),"[1629029, 1630217]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,200833.0,Restricted Area,0-8 Center,,,,,,,1.0,0.0,Bane,1630217.0,,,,,,,,,
61,PT06M46.00S,2023-10-31T00:20:41.6Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,11,17,2023-10-31T00:21:29Z,610000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M46.00S,2023-10-31T00:20:41.6Z,1,REGULAR,substitution,out,[],1630533,,,1610612763,11,17,2023-10-31T00:21:29Z,620000,False,,,0,,SUB out: Z. Williams,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M46.00S,2023-10-31T00:20:41.6Z,1,REGULAR,substitution,out,[],1630182,,,1610612763,11,17,2023-10-31T00:21:29Z,630000,False,,,0,,SUB out: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M46.00S,2023-10-31T00:20:41.6Z,1,REGULAR,substitution,in,[],1631223,,,1610612763,11,17,2023-10-31T00:21:29Z,640000,False,,,0,,SUB in: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M46.00S,2023-10-31T00:20:41.6Z,1,REGULAR,substitution,in,[],1629723,,,1610612763,11,17,2023-10-31T00:21:29Z,650000,False,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M46.00S,2023-10-31T00:20:41.6Z,1,REGULAR,substitution,in,[],203501,,,1610612763,11,17,2023-10-31T00:21:29Z,660000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M46.00S,2023-10-31T00:21:13.3Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1630217,,,1610612763,12,17,2023-10-31T00:29:50Z,670000,False,,,0,,D. Bane Free Throw 1 of 1 (5 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,Made,,,,,,,,,5.0,,,,,,,,
68,PT06M31.00S,2023-10-31T00:21:26.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641726,92.32917214191852,44.85294117647059,1610612742,12,17,2023-10-31T00:21:31Z,680000,False,-26.0,20.0,1,right,MISS D. Lively II turnaround bank Shot,[1641726],1610612742.0,DAL,turnaround bank,,,Lively II,D. Lively II,,,,,,Restricted Area,0-8 Center,3.23,Missed,,,,,,,,,,,,,,,,,
69,PT06M28.00S,2023-10-31T00:21:29.6Z,1,REGULAR,rebound,defensive,[],1631223,,,1610612763,12,17,2023-10-31T00:21:31Z,690000,False,,,0,,D. Roddy REBOUND (Off:0 Def:1),[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,Restricted Area,0-8 Center,,,68.0,1.0,1.0,0.0,,,,,,,,,,,,,
70,PT06M21.00S,2023-10-31T00:21:39.6Z,1,REGULAR,foul,personal,['2freethrow'],1641726,,,1610612763,12,17,2023-10-31T00:21:50Z,700000,False,,,0,,D. Lively II shooting personal FOUL (2 PF) (Tillman 2 FT),"[1641726, 1630214]",1610612742.0,DAL,shooting,,,Lively II,D. Lively II,,,,,1627961.0,Restricted Area,0-8 Center,,,,,,,2.0,0.0,Tillman,1630214.0,,,,,,,,,
72,PT06M21.00S,2023-10-31T00:22:11.5Z,1,REGULAR,freethrow,1 of 2,[],1630214,,,1610612763,12,17,2023-10-31T00:22:11Z,720000,False,,,0,,MISS X. Tillman Free Throw 1 of 2,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
73,PT06M21.00S,2023-10-31T00:22:11.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,12,17,2023-10-31T00:22:11Z,730000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,
74,PT06M21.00S,2023-10-31T00:22:12.2Z,1,REGULAR,substitution,out,[],1641726,,,1610612763,12,17,2023-10-31T00:22:17Z,740000,False,,,0,,SUB out: D. Lively II,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M21.00S,2023-10-31T00:22:12.2Z,1,REGULAR,substitution,in,[],1628467,,,1610612763,12,17,2023-10-31T00:22:17Z,750000,False,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M21.00S,2023-10-31T00:22:31.7Z,1,REGULAR,freethrow,2 of 2,[],1630214,,,1610612763,12,17,2023-10-31T00:22:31Z,760000,False,,,0,,MISS X. Tillman Free Throw 2 of 2,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
77,PT06M21.00S,2023-10-31T00:22:34.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,12,17,2023-10-31T00:22:34Z,770000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,
79,PT06M12.00S,2023-10-31T00:22:50.5Z,1,REGULAR,3pt,Jump Shot,[],203501,66.70499342969777,54.166666666666664,1610612742,12,17,2023-10-31T00:22:54Z,790000,False,21.0,260.0,1,right,MISS T. Hardaway Jr. 26' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,Above the Break 3,24+ Center,26.13,Missed,,,,,,,,,,,,,,,,,
80,PT06M09.00S,2023-10-31T00:22:53.5Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,12,17,2023-10-31T00:22:54Z,800000,False,,,0,,X. Tillman REBOUND (Off:0 Def:1),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,Above the Break 3,24+ Center,,,79.0,1.0,1.0,0.0,,,,,,,,,,,,,
81,PT05M48.00S,2023-10-31T00:23:13.7Z,1,REGULAR,3pt,Jump Shot,[],203935,31.882391590013142,45.34313725490196,1610612763,12,17,2023-10-31T00:23:17Z,810000,False,23.0,247.0,1,left,MISS M. Smart 24' 3PT,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,,Above the Break 3,24+ Center,24.83,Missed,,,,,,,,,,,,,,,,,
82,PT05M46.00S,2023-10-31T00:23:15.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,12,17,2023-10-31T00:23:17Z,820000,False,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Above the Break 3,24+ Center,,,81.0,2.0,2.0,0.0,,,,,,,,,,,,,
83,PT05M40.00S,2023-10-31T00:23:25.2Z,1,REGULAR,foul,personal,['2freethrow'],1630217,,,1610612742,12,17,2023-10-31T00:23:41Z,830000,False,,,0,,D. Bane shooting personal FOUL (1 PF) (Doncic 2 FT),"[1630217, 1629029]",1610612763.0,MEM,shooting,,,Bane,D. Bane,,,,,203591.0,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,0.0,Doncic,1629029.0,,,,,,,,,
85,PT05M40.00S,2023-10-31T00:23:50.9Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,12,18,2023-10-31T00:23:50Z,850000,False,,,0,,L. Doncic Free Throw 1 of 2 (6 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,Made,,,,,,,,,6.0,,,,,,,,
86,PT05M40.00S,2023-10-31T00:23:52.2Z,1,REGULAR,substitution,out,[],1627884,,,1610612742,12,18,2023-10-31T00:24:00Z,860000,False,,,0,,SUB out: D. Jones Jr.,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M40.00S,2023-10-31T00:23:52.2Z,1,REGULAR,substitution,in,[],1630702,,,1610612742,12,18,2023-10-31T00:24:00Z,870000,False,,,0,,SUB in: J. Hardy,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,
