actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal
23,PT10M34.00S,2024-01-26T00:13:05.6Z,1,REGULAR,2pt,Jump Shot,[],1626167,74.06373193166885,35.049019607843135,1610612754,6,2,2024-01-26T00:13:15Z,230000,False,-75.0,191.0,1,right,MISS M. Turner 20' step back Shot,[1626167],1610612754.0,IND,step back,,,Turner,M. Turner,,,,,Mid-Range,16-24 Left Center,,,,,,,,,Missed,,20.54,,,,,,,,,
24,PT10M31.00S,2024-01-26T00:13:08.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,6,2,2024-01-26T00:13:15Z,240000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,23.0,,,,,,
26,PT10M13.00S,2024-01-26T00:13:37.7Z,1,REGULAR,3pt,Jump Shot,[],1626162,13.485545335085414,5.147058823529411,1610612755,6,2,2024-01-26T00:13:42Z,260000,False,224.0,74.0,1,left,MISS K. Oubre Jr. 3PT,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,,Missed,,23.63,,,,,,,,,
27,PT10M09.00S,2024-01-26T00:13:41.7Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,6,2,2024-01-26T00:13:42Z,270000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,
28,PT10M02.00S,2024-01-26T00:13:47.0Z,1,REGULAR,3pt,Jump Shot,[],1627783,78.79434954007884,90.68627450980392,1610612754,6,2,2024-01-26T00:13:52Z,280000,False,203.0,147.0,1,right,MISS P. Siakam 25' 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Missed,,25.08,,,,,,,,,
29,PT09M58.00S,2024-01-26T00:13:51.0Z,1,REGULAR,rebound,defensive,[],201587,,,1610612755,6,2,2024-01-26T00:13:52Z,290000,False,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612755.0,PHI,,,,Batum,N. Batum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,
30,PT09M48.00S,2024-01-26T00:14:02.2Z,1,REGULAR,turnover,bad pass,[],203954,,,1610612755,6,2,2024-01-26T00:14:06Z,300000,False,,,0,,J. Embiid bad pass TURNOVER (1 TO),"[203954, 1627741]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,1.0,Hield,1627741.0,,,,,,,,,,,,,,,,,
31,PT09M48.00S,2024-01-26T00:14:02.2Z,1,REGULAR,steal,,[],1627741,,,1610612754,6,2,2024-01-26T00:14:03Z,310000,False,,,0,,B. Hield STEAL (1 STL),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
32,PT09M41.00S,2024-01-26T00:14:08.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627783,91.93495400788436,45.83333333333333,1610612754,6,2,2024-01-26T00:14:13Z,320000,False,-21.0,23.0,1,right,MISS P. Siakam alley-oop Layup,[1627783],1610612754.0,IND,alley-oop,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,3.12,,,,,,,,,
33,PT09M39.00S,2024-01-26T00:14:10.4Z,1,REGULAR,rebound,defensive,[],201976,,,1610612755,6,2,2024-01-26T00:14:13Z,330000,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612755.0,PHI,,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,
34,PT09M35.00S,2024-01-26T00:14:14.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626162,7.835085413929041,45.09803921568628,1610612755,6,2,2024-01-26T00:14:20Z,340000,False,25.0,21.0,1,left,MISS K. Oubre Jr. running finger roll Layup,[1626162],1610612755.0,PHI,running finger roll,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,3.23,,,,,,,,,
35,PT09M32.00S,2024-01-26T00:14:17.5Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,6,2,2024-01-26T00:14:20Z,350000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,34.0,2.0,2.0,0.0,,,
36,PT09M27.00S,2024-01-26T00:14:22.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630174,90.75229960578186,55.88235294117647,1610612754,6,2,2024-01-26T00:14:28Z,360000,False,29.0,34.0,1,right,MISS A. Nesmith running Layup,[1630174],1610612754.0,IND,running,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Missed,,4.53,,,,,,,,,
37,PT09M24.00S,2024-01-26T00:14:25.9Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,6,2,2024-01-26T00:14:25Z,370000,False,,,0,,M. Turner REBOUND (Off:1 Def:0),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,36.0,1.0,0.0,1.0,,,
38,PT09M21.00S,2024-01-26T00:14:28.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630174,92.46057818659659,54.90196078431373,1610612754,6,2,2024-01-26T00:14:33Z,380000,False,25.0,18.0,1,right,MISS A. Nesmith Layup - blocked,"[1630174, 1626162]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,3.06,Oubre Jr.,1626162.0,,,,,,,
39,PT09M21.00S,2024-01-26T00:14:28.0Z,1,REGULAR,block,,[],1626162,,,1610612754,6,2,2024-01-26T00:14:30Z,390000,False,,,0,,K. Oubre Jr. BLOCK (1 BLK),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT09M21.00S,2024-01-26T00:14:28.0Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612754,6,2,2024-01-26T00:14:57Z,400000,False,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,38.0,2.0,1.0,1.0,,,
41,PT09M18.00S,2024-01-26T00:14:32.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627783,94.40999984741211,50.0,1610612754,8,2,2024-01-26T00:22:21Z,410000,False,0.0,0.0,1,right,P. Siakam tip Layup (2 PTS),[1627783],1610612754.0,IND,tip,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,2.0,0.0,,,,,,,,,
42,PT09M08.00S,2024-01-26T00:14:42.2Z,1,REGULAR,3pt,Jump Shot,[],1630178,32.802233902759525,35.53921568627451,1610612755,8,2,2024-01-26T00:14:50Z,420000,False,72.0,256.0,1,left,MISS T. Maxey 26' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,,,,,,,Missed,,26.58,,,,,,,,,
43,PT09M08.00S,2024-01-26T00:14:42.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,8,2,2024-01-26T00:14:50Z,430000,False,,,0,,P. Siakam REBOUND (Off:1 Def:2),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,42.0,3.0,2.0,1.0,,,
44,PT08M55.00S,2024-01-26T00:14:54.9Z,1,REGULAR,3pt,Jump Shot,[],1627741,67.23061760840999,59.55882352941176,1610612754,11,2,2024-01-26T00:15:03Z,440000,False,48.0,256.0,1,right,B. Hield 25' 3PT  (3 PTS) (P. Siakam 2 AST),"[1627741, 1627783]",1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,,,,,,,Made,3.0,25.99,,,,,,,P. Siakam,1627783.0,2.0
49,PT08M31.00S,2024-01-26T00:15:18.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201587,10.5946123521682,50.49019607843137,1610612755,11,4,2024-01-26T00:37:01Z,490000,False,-2.0,47.0,1,left,N. Batum Jump Shot (2 PTS),[201587],1610612755.0,PHI,,,,Batum,N. Batum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Made,2.0,4.72,,,,,,,,,
50,PT08M26.00S,2024-01-26T00:15:25.9Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612754,11,4,2024-01-26T00:15:35Z,500000,False,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Siakam 2 FT),"[1626162, 1627783]",1610612755.0,PHI,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Left,,,,1627962.0,1.0,0.0,Siakam,1627783.0,,,,,,,,,,,,
52,PT08M26.00S,2024-01-26T00:15:56.0Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612754,12,4,2024-01-26T00:15:56Z,520000,False,,,0,,P. Siakam Free Throw 1 of 2 (3 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,Made,3.0,,,,,,,,,,
53,PT08M26.00S,2024-01-26T00:16:16.0Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612754,13,4,2024-01-26T00:16:16Z,530000,False,,,0,,P. Siakam Free Throw 2 of 2 (4 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,Made,4.0,,,,,,,,,,
54,PT08M07.00S,2024-01-26T00:16:37.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.966491458607096,59.80392156862745,1610612755,13,6,2024-01-26T00:16:44Z,540000,False,-49.0,22.0,1,left,T. Maxey driving Layup (4 PTS) (J. Embiid 1 AST),"[1630178, 203954]",1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Made,4.0,5.39,,,,,,,J. Embiid,203954.0,1.0
56,PT08M00.00S,2024-01-26T00:16:44.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626167,91.40932982917214,50.98039215686274,1610612754,15,6,2024-01-26T00:16:54Z,560000,False,5.0,28.0,1,right,M. Turner driving DUNK (4 PTS) (A. Nembhard 1 AST),"[1626167, 1629614]",1610612754.0,IND,driving,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,4.0,2.87,,,,,,,A. Nembhard,1629614.0,1.0
58,PT07M59.00S,2024-01-26T00:16:55.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,15,6,2024-01-26T00:16:55Z,580000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M59.00S,2024-01-26T00:19:25.4Z,1,REGULAR,substitution,out,[],201587,,,1610612755,15,6,2024-01-26T00:19:38Z,590000,False,,,0,,SUB out: N. Batum,[201587],1610612755.0,PHI,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M59.00S,2024-01-26T00:19:25.4Z,1,REGULAR,substitution,out,[],201976,,,1610612755,15,6,2024-01-26T00:19:38Z,600000,False,,,0,,SUB out: P. Beverley,[201976],1610612755.0,PHI,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M59.00S,2024-01-26T00:19:25.4Z,1,REGULAR,substitution,in,[],1630231,,,1610612755,15,6,2024-01-26T00:19:38Z,610000,False,,,0,,SUB in: K. Martin,[1630231],1610612755.0,PHI,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M59.00S,2024-01-26T00:19:25.4Z,1,REGULAR,substitution,in,[],1627863,,,1610612755,15,6,2024-01-26T00:19:38Z,620000,False,,,0,,SUB in: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M36.00S,2024-01-26T00:20:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627863,8.229303547963205,46.568627450980394,1610612755,15,6,2024-01-26T00:20:17Z,630000,False,17.0,25.0,1,left,MISS D. House Jr. driving finger roll Layup,[1627863],1610612755.0,PHI,driving finger roll,,,House Jr.,D. House Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,3.03,,,,,,,,,
66,PT07M33.00S,2024-01-26T00:20:13.9Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,15,6,2024-01-26T00:20:17Z,650000,False,,,0,,P. Siakam REBOUND (Off:1 Def:3),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,64.0,4.0,3.0,1.0,,,
67,PT07M29.00S,2024-01-26T00:20:17.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629614,68.9388961892247,71.81372549019608,1610612754,15,6,2024-01-26T00:20:24Z,660000,False,109.0,239.0,1,right,MISS A. Nembhard 26' running 3PT,[1629614],1610612754.0,IND,running,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Missed,,26.32,,,,,,,,,
68,PT07M26.00S,2024-01-26T00:20:20.9Z,1,REGULAR,rebound,offensive,[],1630174,,,1610612754,15,6,2024-01-26T00:20:20Z,670000,False,,,0,,A. Nesmith REBOUND (Off:1 Def:2),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,67.0,3.0,2.0,1.0,,,
69,PT07M20.00S,2024-01-26T00:20:29.0Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612754,15,6,2024-01-26T00:20:34Z,680000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Nembhard 2 FT),"[1630178, 1629614]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,1627524.0,1.0,0.0,Nembhard,1629614.0,,,,,,,,,,,,
71,PT07M20.00S,2024-01-26T00:20:49.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629614,,,1610612754,16,6,2024-01-26T00:20:49Z,700000,False,,,0,,A. Nembhard Free Throw 1 of 2 (5 PTS),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,Made,5.0,,,,,,,,,,
72,PT07M20.00S,2024-01-26T00:21:03.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629614,,,1610612754,17,6,2024-01-26T00:21:03Z,710000,False,,,0,,A. Nembhard Free Throw 2 of 2 (6 PTS),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,Made,6.0,,,,,,,,,,
73,PT07M03.00S,2024-01-26T00:21:24.5Z,1,REGULAR,2pt,Jump Shot,[],203954,19.004599211563733,29.901960784313726,1610612755,17,6,2024-01-26T00:21:30Z,720000,False,100.0,126.0,1,left,MISS J. Embiid 16' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Right Center,,,,,,,,,Missed,,16.12,,,,,,,,,
74,PT06M58.00S,2024-01-26T00:21:29.5Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612755,17,6,2024-01-26T00:21:30Z,730000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:0),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,73.0,1.0,0.0,1.0,,,
75,PT06M54.00S,2024-01-26T00:21:32.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627863,6.258212877792378,56.61764705882353,1610612755,17,8,2024-01-26T00:21:38Z,740000,False,-33.0,6.0,1,left,D. House Jr. driving reverse Layup (2 PTS) (K. Oubre Jr. 1 AST),"[1627863, 1626162]",1610612755.0,PHI,driving reverse,,,House Jr.,D. House Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,2.0,3.37,,,,,,,K. Oubre Jr.,1626162.0,1.0
77,PT06M41.00S,2024-01-26T00:21:46.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,92.9862023653088,44.36274509803921,1610612754,19,8,2024-01-26T00:21:51Z,760000,False,-28.0,13.0,1,right,P. Siakam driving finger roll Layup (6 PTS),[1627783],1610612754.0,IND,driving finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,6.0,3.12,,,,,,,,,
78,PT06M26.00S,2024-01-26T00:22:02.5Z,1,REGULAR,foul,personal,[],1627783,,,1610612755,19,8,2024-01-26T00:22:15Z,770000,False,,,0,,P. Siakam personal FOUL (1 PF),"[1627783, 1627863]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,,,,1627962.0,1.0,0.0,House Jr.,1627863.0,,,,,,,,,,,,
80,PT06M14.00S,2024-01-26T00:22:32.1Z,1,REGULAR,3pt,Jump Shot,[],203954,32.53942181340342,40.931372549019606,1610612755,19,11,2024-01-26T00:22:36Z,790000,False,45.0,253.0,1,left,J. Embiid 25' 3PT  (3 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,,,,,,,Made,3.0,25.74,,,,,,,T. Maxey,1630178.0,1.0
82,PT06M06.00S,2024-01-26T00:22:42.6Z,1,REGULAR,foul,personal,[],1630231,,,1610612754,19,11,2024-01-26T00:22:51Z,810000,False,,,0,,K. Martin personal FOUL (1 PF),"[1630231, 1627783]",1610612755.0,PHI,,,,Martin,K. Martin,,,,,Mid-Range,8-16 Center,,,,1627524.0,1.0,0.0,Siakam,1627783.0,,,,,,,,,,,,
84,PT06M06.00S,2024-01-26T00:22:53.7Z,1,REGULAR,substitution,out,[],1630174,,,1610612754,19,11,2024-01-26T00:23:03Z,830000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M06.00S,2024-01-26T00:22:53.7Z,1,REGULAR,substitution,in,[],1631097,,,1610612754,19,11,2024-01-26T00:23:03Z,840000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M01.00S,2024-01-26T00:23:13.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,92.06636005256242,44.11764705882353,1610612754,19,11,2024-01-26T00:23:19Z,850000,False,-29.0,22.0,1,right,MISS A. Nembhard driving Layup,[1629614],1610612754.0,IND,driving,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,3.68,,,,,,,,,
87,PT05M58.00S,2024-01-26T00:23:16.9Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,19,11,2024-01-26T00:23:19Z,860000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,86.0,1.0,1.0,0.0,,,
88,PT05M50.00S,2024-01-26T00:23:25.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,19.267411300919843,54.41176470588235,1610612755,19,11,2024-01-26T00:23:32Z,870000,False,-22.0,129.0,1,left,MISS J. Embiid 13' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,Missed,,13.05,,,,,,,,,
