actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
19,PT09M49.00S,2023-12-31T00:13:41.2Z,1,REGULAR,3pt,Jump Shot,[],203944,30.962549277266753,22.54901960784314,1610612752,2,8,2023-12-31T00:13:47Z,190000,False,137.0,239.0,1,left,J. Randle 27' 3PT step back (5 PTS),[203944],1610612752.0,NYK,,Randle,J. Randle,step back,Above the Break 3,24+ Right Center,27.52,Made,,,,,5.0,,,,,,,,,,,,,,,,,,
20,PT09M42.00S,2023-12-31T00:13:47.9Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,2,8,2023-12-31T00:13:52Z,200000,False,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 1628392]",1610612754.0,IND,,Haliburton,T. Haliburton,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Hartenstein,1628392.0,,,,,,,,,,,,
21,PT09M42.00S,2023-12-31T00:13:47.9Z,1,REGULAR,steal,,[],1628392,,,1610612752,2,8,2023-12-31T00:13:50Z,210000,False,,,0,,I. Hartenstein STEAL (1 STL),[1628392],1610612752.0,NYK,,Hartenstein,I. Hartenstein,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT09M36.00S,2023-12-31T00:13:53.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203944,20.71287779237845,8.333333333333332,1610612752,2,8,2023-12-31T00:13:58Z,220000,False,208.0,142.0,1,left,MISS J. Randle 25' pullup 3PT,[203944],1610612752.0,NYK,,Randle,J. Randle,pullup,Above the Break 3,24+ Right Center,25.22,Missed,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M33.00S,2023-12-31T00:13:56.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,2,8,2023-12-31T00:13:58Z,230000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,Turner,M. Turner,,Above the Break 3,24+ Right Center,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
186,PT09M26.00S,2023-12-31T00:14:06.6Z,1,REGULAR,turnover,lost ball,[],1626167,,,1610612754,2,8,2023-12-31T00:41:58Z,265000,False,,,0,,M. Turner lost ball TURNOVER (1 TO),"[1626167, 1628392]",1610612754.0,IND,,Turner,M. Turner,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Hartenstein,1628392.0,,,,,,,,,,,,
187,PT09M26.00S,2023-12-31T00:14:06.6Z,1,REGULAR,steal,,[],1628392,,,1610612752,2,8,2023-12-31T00:41:58Z,267500,False,,,0,,I. Hartenstein STEAL (2 STL),[1628392],1610612752.0,NYK,,Hartenstein,I. Hartenstein,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M20.00S,2023-12-31T00:14:09.7Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612752,2,8,2023-12-31T00:14:15Z,270000,False,,,0,,J. Brunson bad pass TURNOVER (2 TO),"[1628973, 1629614]",1610612752.0,NYK,,Brunson,J. Brunson,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2.0,Nembhard,1629614.0,,,,,,,,,,,,
28,PT09M20.00S,2023-12-31T00:14:09.7Z,1,REGULAR,steal,,[],1629614,,,1610612754,2,8,2023-12-31T00:14:11Z,280000,False,,,0,,A. Nembhard STEAL (1 STL),[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M14.00S,2023-12-31T00:14:16.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630174,92.46057818659659,53.92156862745098,1610612754,2,8,2023-12-31T00:22:30Z,290000,False,20.0,18.0,1,right,MISS A. Nesmith running Layup - blocked,"[1630174, 1628978]",1610612754.0,IND,,Nesmith,A. Nesmith,running,Restricted Area,0-8 Center,2.69,Missed,,,,,,,,,,,,DiVincenzo,1628978.0,,,,,,,,,,
30,PT09M14.00S,2023-12-31T00:14:16.3Z,1,REGULAR,block,,[],1628978,,,1610612754,2,8,2023-12-31T01:34:22Z,300000,False,,,0,,D. DiVincenzo BLOCK (1 BLK),[1628978],1610612752.0,NYK,,DiVincenzo,D. DiVincenzo,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M11.00S,2023-12-31T00:14:19.3Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612752,2,8,2023-12-31T00:14:21Z,310000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612752.0,NYK,,DiVincenzo,D. DiVincenzo,,Restricted Area,0-8 Center,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
32,PT09M07.00S,2023-12-31T00:14:22.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'defensivegoaltending']",1628404,6.1268068331143235,51.470588235294116,1610612752,2,10,2023-12-31T00:23:23Z,320000,False,-7.0,5.0,1,left,J. Hart running finger roll Layup (5 PTS) (J. Randle 1 AST),"[1628404, 203944]",1610612752.0,NYK,,Hart,J. Hart,running finger roll,Restricted Area,0-8 Center,0.9,Made,,,,,5.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,,,
34,PT09M07.00S,2023-12-31T00:14:32.1Z,1,REGULAR,violation,defensive goaltending,[],1626167,,,1610612752,2,10,2023-12-31T00:14:48Z,340000,False,,,0,,M. Turner defensive goaltending VIOLATION,[1626167],1610612754.0,IND,1628172.0,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M55.00S,2023-12-31T00:14:54.8Z,1,REGULAR,3pt,Jump Shot,[],1630174,67.7562417871222,33.57843137254902,1610612754,2,10,2023-12-31T00:14:59Z,350000,False,-82.0,251.0,1,right,MISS A. Nesmith 26' 3PT,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,Above the Break 3,24+ Center,26.37,Missed,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M53.00S,2023-12-31T00:14:56.8Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,2,10,2023-12-31T00:15:20Z,360000,False,,,0,,M. Turner REBOUND (Off:1 Def:2),[1626167],1610612754.0,IND,,Turner,M. Turner,,Above the Break 3,24+ Center,,,36.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
38,PT08M52.00S,2023-12-31T00:14:58.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626167,92.06636005256242,50.0,1610612754,4,10,2023-12-31T00:15:03Z,370000,False,0.0,22.0,1,right,M. Turner putback Layup (2 PTS),[1626167],1610612754.0,IND,,Turner,M. Turner,putback,Restricted Area,0-8 Center,2.21,Made,,,,,2.0,,,,,,,,,,,,,,,,,,
39,PT08M52.00S,2023-12-31T00:15:01.3Z,1,REGULAR,foul,personal,['1freethrow'],1628392,,,1610612754,4,10,2023-12-31T00:15:08Z,380000,False,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Turner 1 FT),"[1628392, 1626167]",1610612752.0,NYK,1628172.0,Hartenstein,I. Hartenstein,shooting,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,Turner,1626167.0,,,,,,
41,PT08M52.00S,2023-12-31T00:15:27.3Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1626167,,,1610612754,4,10,2023-12-31T00:15:30Z,400000,False,,,0,,MISS M. Turner Free Throw 1 of 1,[1626167],1610612754.0,IND,,Turner,M. Turner,,,,,Missed,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M51.00S,2023-12-31T00:15:28.3Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612752,4,10,2023-12-31T00:15:30Z,410000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:2),[1628978],1610612752.0,NYK,,DiVincenzo,D. DiVincenzo,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
43,PT08M36.00S,2023-12-31T00:15:43.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,11.383048620236531,56.61764705882353,1610612752,4,10,2023-12-31T00:25:00Z,420000,False,-33.0,55.0,1,left,MISS J. Randle 6' driving floating Shot,[203944],1610612752.0,NYK,,Randle,J. Randle,driving floating,In The Paint (Non-RA),0-8 Center,6.38,Missed,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M32.00S,2023-12-31T00:15:47.5Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,4,10,2023-12-31T00:15:48Z,430000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,In The Paint (Non-RA),0-8 Center,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
45,PT08M12.00S,2023-12-31T00:16:07.3Z,1,REGULAR,3pt,Jump Shot,[],1629614,79.84559789750328,91.66666666666666,1610612754,4,10,2023-12-31T00:16:12Z,440000,False,208.0,137.0,1,right,MISS A. Nembhard 24' 3PT,[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,,Above the Break 3,24+ Right Center,24.93,Missed,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M07.00S,2023-12-31T00:16:12.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,4,10,2023-12-31T00:16:12Z,450000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,Randle,J. Randle,,Above the Break 3,24+ Right Center,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
47,PT08M03.00S,2023-12-31T00:16:15.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628973,26.49474375821288,19.852941176470587,1610612752,4,13,2023-12-31T00:16:22Z,460000,False,151.0,197.0,1,left,J. Brunson 24' 3PT running pullup (3 PTS) (J. Randle 2 AST),"[1628973, 203944]",1610612752.0,NYK,,Brunson,J. Brunson,running pullup,Above the Break 3,24+ Right Center,24.77,Made,,,,,3.0,J. Randle,203944.0,2.0,,,,,,,,,,,,,,,
49,PT08M01.00S,2023-12-31T00:16:22.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,4,13,2023-12-31T00:16:22Z,480000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M52.00S,2023-12-31T00:19:33.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630169,91.5407358738502,52.94117647058824,1610612754,6,13,2023-12-31T00:19:47Z,490000,False,15.0,27.0,1,right,T. Haliburton driving DUNK (2 PTS),[1630169],1610612754.0,IND,,Haliburton,T. Haliburton,driving,Restricted Area,0-8 Center,3.07,Made,,,,,2.0,,,,,,,,,,,,,,,,,,
51,PT07M35.00S,2023-12-31T00:19:50.2Z,1,REGULAR,3pt,Jump Shot,[],1628973,31.61957950065703,62.99019607843137,1610612752,6,13,2023-12-31T00:19:54Z,500000,False,-65.0,245.0,1,left,MISS J. Brunson 25' step back 3PT,[1628973],1610612752.0,NYK,,Brunson,J. Brunson,step back,Above the Break 3,24+ Center,25.32,Missed,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M32.00S,2023-12-31T00:19:53.2Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,6,13,2023-12-31T00:19:54Z,510000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,Smith,J. Smith,,Above the Break 3,24+ Center,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
53,PT07M20.00S,2023-12-31T00:20:05.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,94.43166885676742,55.63725490196079,1610612754,8,13,2023-12-31T00:27:41Z,520000,False,28.0,0.0,1,right,M. Turner cutting Layup (4 PTS) (T. Haliburton 1 AST),"[1626167, 1630169]",1610612754.0,IND,,Turner,M. Turner,cutting,Restricted Area,0-8 Center,2.82,Made,,,,,4.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,,
55,PT06M53.00S,2023-12-31T00:20:31.9Z,1,REGULAR,turnover,lost ball,[],203944,,,1610612752,8,13,2023-12-31T00:20:35Z,540000,False,,,0,,J. Randle lost ball TURNOVER (1 TO),"[203944, 1630169]",1610612752.0,NYK,,Randle,J. Randle,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Haliburton,1630169.0,,,,,,,,,,,,
56,PT06M53.00S,2023-12-31T00:20:31.9Z,1,REGULAR,steal,,[],1630169,,,1610612754,8,13,2023-12-31T00:34:34Z,550000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,Haliburton,T. Haliburton,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M48.00S,2023-12-31T00:20:38.6Z,1,REGULAR,turnover,bad pass,[],1630174,,,1610612754,8,13,2023-12-31T00:20:41Z,560000,False,,,0,,A. Nesmith bad pass TURNOVER (1 TO),"[1630174, 1628978]",1610612754.0,IND,,Nesmith,A. Nesmith,,Mid-Range,16-24 Right Center,,,,,,,,,,,1.0,DiVincenzo,1628978.0,,,,,,,,,,,,
58,PT06M48.00S,2023-12-31T00:20:38.6Z,1,REGULAR,steal,,[],1628978,,,1610612752,8,13,2023-12-31T00:20:40Z,570000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612752.0,NYK,,DiVincenzo,D. DiVincenzo,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M41.00S,2023-12-31T00:20:45.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628978,27.020367936925098,16.666666666666664,1610612752,8,16,2023-12-31T00:20:50Z,580000,False,167.0,201.0,1,left,D. DiVincenzo 26' 3PT  (3 PTS) (J. Randle 3 AST),"[1628978, 203944]",1610612752.0,NYK,,DiVincenzo,D. DiVincenzo,,Above the Break 3,24+ Right Center,26.15,Made,,,,,3.0,J. Randle,203944.0,3.0,,,,,,,,,,,,,,,
61,PT06M27.00S,2023-12-31T00:20:58.8Z,1,REGULAR,3pt,Jump Shot,[],1626167,65.52233902759527,49.01960784313725,1610612754,11,16,2023-12-31T00:21:04Z,600000,False,-5.0,272.0,1,right,M. Turner 27' 3PT  (7 PTS) (T. Haliburton 2 AST),"[1626167, 1630169]",1610612754.0,IND,,Turner,M. Turner,,Above the Break 3,24+ Center,27.16,Made,,,,,7.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,,,,,,
63,PT06M07.00S,2023-12-31T00:21:20.9Z,1,REGULAR,3pt,Jump Shot,[],1628978,29.911300919842315,18.137254901960784,1610612752,11,19,2023-12-31T00:21:29Z,620000,False,159.0,229.0,1,left,D. DiVincenzo 27' 3PT  (6 PTS) (I. Hartenstein 2 AST),"[1628978, 1628392]",1610612752.0,NYK,,DiVincenzo,D. DiVincenzo,,Above the Break 3,24+ Right Center,27.87,Made,,,,,6.0,I. Hartenstein,1628392.0,2.0,,,,,,,,,,,,,,,
65,PT05M39.00S,2023-12-31T00:21:45.7Z,1,REGULAR,3pt,Jump Shot,[],1630169,71.43561103810775,80.3921568627451,1610612754,14,19,2023-12-31T00:21:51Z,640000,False,152.0,216.0,1,right,T. Haliburton 26' 3PT  (5 PTS) (A. Nesmith 1 AST),"[1630169, 1630174]",1610612754.0,IND,,Haliburton,T. Haliburton,,Above the Break 3,24+ Right Center,26.41,Made,,,,,5.0,A. Nesmith,1630174.0,1.0,,,,,,,,,,,,,,,
67,PT05M24.00S,2023-12-31T00:22:01.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,6.652431011826544,42.64705882352941,1610612752,14,19,2023-12-31T00:22:08Z,660000,False,37.0,10.0,1,left,MISS J. Brunson Layup,[1628973],1610612752.0,NYK,,Brunson,J. Brunson,,Restricted Area,0-8 Center,3.81,Missed,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M24.00S,2023-12-31T00:22:01.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,14,19,2023-12-31T00:22:08Z,670000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,Restricted Area,0-8 Center,,,67.0,,,,,,,,,,,,,,,,,,,,,,
69,PT05M24.00S,2023-12-31T00:22:06.6Z,1,REGULAR,foul,personal,[],203944,,,1610612754,14,19,2023-12-31T00:22:13Z,680000,False,,,0,,J. Randle loose ball personal FOUL (1 PF),"[203944, 1630188]",1610612752.0,NYK,201639.0,Randle,J. Randle,loose ball,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,Smith,1630188.0,,,,,,
71,PT05M15.00S,2023-12-31T00:22:30.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,93.11760840998686,55.14705882352941,1610612754,14,19,2023-12-31T00:22:34Z,700000,False,26.0,12.0,1,right,MISS A. Nembhard driving Layup,[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,driving,Restricted Area,0-8 Center,2.84,Missed,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M12.00S,2023-12-31T00:22:33.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,14,19,2023-12-31T00:22:34Z,710000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,Randle,J. Randle,,Restricted Area,0-8 Center,,,71.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
73,PT05M11.00S,2023-12-31T00:22:33.7Z,1,REGULAR,turnover,lost ball,[],203944,,,1610612752,14,19,2023-12-31T00:22:37Z,720000,False,,,0,,J. Randle lost ball TURNOVER (2 TO),"[203944, 1629614]",1610612752.0,NYK,,Randle,J. Randle,,Restricted Area,0-8 Center,,,,,,,,,,,2.0,Nembhard,1629614.0,,,,,,,,,,,,
74,PT05M11.00S,2023-12-31T00:22:33.7Z,1,REGULAR,steal,,[],1629614,,,1610612754,14,19,2023-12-31T00:22:35Z,730000,False,,,0,,A. Nembhard STEAL (2 STL),[1629614],1610612754.0,IND,,Nembhard,A. Nembhard,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M08.00S,2023-12-31T00:22:37.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630174,94.1688567674113,5.147058823529411,1610612754,17,19,2023-12-31T00:22:44Z,740000,False,-224.0,2.0,1,right,A. Nesmith 3PT  (3 PTS) (A. Nembhard 2 AST),"[1630174, 1629614]",1610612754.0,IND,,Nesmith,A. Nesmith,,Left Corner 3,24+ Left,22.43,Made,,,,,3.0,A. Nembhard,1629614.0,2.0,,,,,,,,,,,,,,,
77,PT04M59.00S,2023-12-31T00:22:49.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,17,19,2023-12-31T00:22:49Z,760000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M59.00S,2023-12-31T00:25:11.7Z,1,REGULAR,substitution,out,[],1630174,,,1610612752,17,19,2023-12-31T00:25:30Z,770000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M59.00S,2023-12-31T00:25:11.7Z,1,REGULAR,substitution,out,[],1630188,,,1610612752,17,19,2023-12-31T00:25:30Z,780000,False,,,0,,SUB out: J. Smith,[1630188],1610612754.0,IND,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M59.00S,2023-12-31T00:25:11.7Z,1,REGULAR,substitution,in,[],1631097,,,1610612752,17,19,2023-12-31T00:25:30Z,790000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M59.00S,2023-12-31T00:25:11.7Z,1,REGULAR,substitution,in,[],1627741,,,1610612752,17,19,2023-12-31T00:25:30Z,800000,False,,,0,,SUB in: B. Hield,[1627741],1610612754.0,IND,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M52.00S,2023-12-31T00:26:01.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,6.1268068331143235,56.127450980392155,1610612752,17,21,2023-12-31T00:26:13Z,810000,False,-31.0,5.0,1,left,J. Brunson driving finger roll Layup (5 PTS) (I. Hartenstein 3 AST),"[1628973, 1628392]",1610612752.0,NYK,,Brunson,J. Brunson,driving finger roll,Restricted Area,0-8 Center,3.1,Made,,,,,5.0,I. Hartenstein,1628392.0,3.0,,,,,,,,,,,,,,,
