actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
32,PT09M01.00S,2023-11-19T22:16:51.2Z,1,REGULAR,3pt,Jump Shot,[],1626167,65.78515111695138,51.71568627450981,1610612754,0,9,2023-11-19T22:16:55Z,320000,False,9.0,269.0,1,right,MISS M. Turner 26' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,26.92,Missed,,,,,,,,,,,,,,,,,,
33,PT08M58.00S,2023-11-19T22:16:54.2Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,0,9,2023-11-19T22:16:55Z,330000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT08M51.00S,2023-11-19T22:17:04.6Z,1,REGULAR,foul,personal,[],1630167,,,1610612753,0,9,2023-11-19T22:17:19Z,340000,False,,,0,,O. Toppin personal FOUL (1 PF),"[1630167, 1631094]",1610612754.0,IND,,,,Toppin,O. Toppin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627519.0,,,,,,,,,,1.0,0.0,Banchero,1631094.0
36,PT08M47.00S,2023-11-19T22:17:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641710,7.178055190538765,51.470588235294116,1610612753,0,11,2023-11-19T22:17:29Z,360000,False,-7.0,15.0,1,left,A. Black running Layup (2 PTS) (G. Bitadze 2 AST),"[1641710, 1629048]",1610612753.0,ORL,running,,,Black,A. Black,,,,,Restricted Area,0-8 Center,1.67,Made,,,,,,,2.0,,,,,G. Bitadze,1629048.0,2.0,,,,
38,PT08M34.00S,2023-11-19T22:17:35.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,93.9060446780552,51.71568627450981,1610612754,0,11,2023-11-19T22:17:41Z,380000,False,9.0,5.0,1,right,MISS T. Haliburton driving Layup,[1630169],1610612754.0,IND,driving,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,0.98,Missed,,,,,,,,,,,,,,,,,,
39,PT08M31.00S,2023-11-19T22:17:38.9Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,0,11,2023-11-19T22:17:41Z,390000,False,,,0,,M. Turner REBOUND (Off:1 Def:0),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,38.0,1.0,0.0,1.0,,,,,,,,,,,,,,
40,PT08M31.00S,2023-11-19T22:17:38.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626167,94.40999984741211,50.0,1610612754,2,11,2023-11-19T22:17:38Z,400000,False,0.0,0.0,1,right,M. Turner tip Layup (2 PTS),[1626167],1610612754.0,IND,tip,,,Turner,M. Turner,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,2.0,,,,,,,,,,,
41,PT08M19.00S,2023-11-19T22:17:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,5.338370565045992,50.0,1610612753,2,13,2023-11-19T22:17:55Z,410000,False,0.0,-2.0,1,left,P. Banchero driving Layup (2 PTS),[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,0.23,Made,,,,,,,2.0,,,,,,,,,,,
42,PT08M09.00S,2023-11-19T22:18:01.0Z,1,REGULAR,3pt,Jump Shot,[],1631097,70.90998685939553,18.38235294117647,1610612754,5,13,2023-11-19T22:18:07Z,420000,False,-158.0,221.0,1,right,B. Mathurin 27' 3PT pullup (3 PTS) (O. Toppin 1 AST),"[1631097, 1630167]",1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,27.16,Made,,,,,,,3.0,,,,,O. Toppin,1630167.0,1.0,,,,
44,PT07M50.00S,2023-11-19T22:18:19.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630532,6.1268068331143235,53.18627450980392,1610612753,5,13,2023-11-19T22:18:24Z,440000,False,-16.0,5.0,1,left,MISS F. Wagner driving Hook,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.67,Missed,,,,,,,,,,,,,,,,,,
45,PT07M48.00S,2023-11-19T22:18:21.6Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,5,13,2023-11-19T22:18:24Z,450000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,
46,PT07M43.00S,2023-11-19T22:18:27.2Z,1,REGULAR,turnover,bad pass,[],1630167,,,1610612754,5,13,2023-11-19T22:18:31Z,460000,False,,,0,,O. Toppin bad pass TURNOVER (2 TO),"[1630167, 1630591]",1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Mid-Range,8-16 Left,,,,,,,,2.0,,Suggs,1630591.0,,,,,,,,,
47,PT07M43.00S,2023-11-19T22:18:27.2Z,1,REGULAR,steal,,[],1630591,,,1610612753,5,13,2023-11-19T22:51:26Z,470000,False,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
48,PT07M36.00S,2023-11-19T22:18:37.1Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612753,5,13,2023-11-19T22:18:51Z,480000,False,,,0,,B. Brown shooting personal FOUL (1 PF) (Black 2 FT),"[1628971, 1641710]",1610612754.0,IND,shooting,,,Brown,B. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1626302.0,,,,,,,,,,1.0,0.0,Black,1641710.0
50,PT07M36.00S,2023-11-19T22:19:01.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1641710,,,1610612753,5,13,2023-11-19T22:19:01Z,500000,False,,,0,,MISS A. Black Free Throw 1 of 2,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
51,PT07M36.00S,2023-11-19T22:19:01.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,5,13,2023-11-19T22:19:01Z,510000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
