actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
30,PT09M12.00S,2024-03-08T00:17:24.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,7.440867279894875,53.92156862745098,1610612754,2,5,2024-03-08T00:17:28Z,300000,False,-20.0,17.0,1,left,MISS P. Siakam driving Layup,[1627783],1610612754.0,IND,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,2.62,Missed,,,,,,,,,,,,,,,,,
31,PT09M11.00S,2024-03-08T00:17:25.2Z,1,REGULAR,rebound,defensive,[],203937,,,1610612750,2,5,2024-03-08T00:17:28Z,310000,False,,,0,,K. Anderson REBOUND (Off:0 Def:2),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,
32,PT09M03.00S,2024-03-08T00:17:34.4Z,1,REGULAR,3pt,Jump Shot,[],201144,95.22010512483574,5.147058823529411,1610612750,2,8,2024-03-08T00:17:38Z,320000,False,-224.0,-8.0,1,right,M. Conley 3PT  (3 PTS) (J. McDaniels 1 AST),"[201144, 1630183]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,Left Corner 3,24+ Left,,22.44,Made,,,,,3.0,J. McDaniels,1630183.0,1.0,,,,,,,,,
34,PT08M43.00S,2024-03-08T00:17:53.0Z,1,REGULAR,turnover,bad pass,[],1629614,,,1610612754,2,8,2024-03-08T00:17:55Z,340000,False,,,0,,A. Nembhard bad pass TURNOVER (1 TO),"[1629614, 201144]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Conley,201144.0,,
35,PT08M43.00S,2024-03-08T00:17:53.0Z,1,REGULAR,steal,,[],201144,,,1610612750,2,8,2024-03-08T00:17:54Z,350000,False,,,0,,M. Conley STEAL (1 STL),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
36,PT08M39.00S,2024-03-08T00:18:00.0Z,1,REGULAR,foul,personal,['2freethrow'],1629614,,,1610612750,2,8,2024-03-08T00:18:11Z,360000,False,,,0,,A. Nembhard shooting personal FOUL (1 PF) (McDaniels 2 FT),"[1629614, 1630183]",1610612754.0,IND,shooting,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,202901.0,,,,,,,,,,,1.0,0.0,McDaniels,1630183.0,,,,,
38,PT08M39.00S,2024-03-08T00:18:23.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630183,,,1610612750,2,9,2024-03-08T00:18:23Z,380000,False,,,0,,J. McDaniels Free Throw 1 of 2 (1 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
39,PT08M39.00S,2024-03-08T00:18:37.3Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630183,,,1610612750,2,10,2024-03-08T00:18:37Z,390000,False,,,0,,J. McDaniels Free Throw 2 of 2 (2 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,
40,PT08M38.00S,2024-03-08T00:18:46.3Z,1,REGULAR,turnover,out-of-bounds,[],1629614,,,1610612754,2,10,2024-03-08T00:18:59Z,400000,False,,,0,,A. Nembhard lost ball out-of-bounds TURNOVER (2 TO),[1629614],1610612754.0,IND,lost ball,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,101283.0,,,,,,,,,,,,,,,2.0,,,,
41,PT08M32.00S,2024-03-08T00:19:10.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201144,67.49342969776609,51.470588235294116,1610612750,2,10,2024-03-08T00:19:14Z,410000,False,7.0,253.0,1,right,MISS M. Conley 25' pullup 3PT,[201144],1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,,25.32,Missed,,,,,,,,,,,,,,,,,
42,PT08M29.00S,2024-03-08T00:19:13.1Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,2,10,2024-03-08T00:19:14Z,420000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,
43,PT08M11.00S,2024-03-08T00:19:33.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,9.411957950065702,54.41176470588235,1610612754,4,10,2024-03-08T00:19:39Z,430000,False,-22.0,36.0,1,left,T. Haliburton driving Layup (4 PTS),[1630169],1610612754.0,IND,driving,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,4.22,Made,,,,,4.0,,,,,,,,,,,,
44,PT08M11.00S,2024-03-08T00:19:36.3Z,1,REGULAR,foul,personal,['1freethrow'],201144,,,1610612754,4,10,2024-03-08T00:19:43Z,440000,False,,,0,,M. Conley shooting personal FOUL (1 PF) (Haliburton 1 FT),"[201144, 1630169]",1610612750.0,MIN,shooting,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,202901.0,,,,,,,,,,,1.0,0.0,Haliburton,1630169.0,,,,,
46,PT08M11.00S,2024-03-08T00:19:44.5Z,1,REGULAR,substitution,out,[],1629638,,,1610612754,4,10,2024-03-08T00:20:36Z,460000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M11.00S,2024-03-08T00:19:44.5Z,1,REGULAR,substitution,in,[],1630162,,,1610612754,4,10,2024-03-08T00:20:36Z,470000,False,,,0,,SUB in: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M11.00S,2024-03-08T00:20:04.2Z,1,REGULAR,freethrow,1 of 1,[],1630169,,,1610612754,5,10,2024-03-08T00:20:04Z,480000,False,,,0,,T. Haliburton Free Throw 1 of 1 (5 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,
49,PT07M56.00S,2024-03-08T00:20:23.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630183,92.9862023653088,52.69607843137255,1610612750,5,12,2024-03-08T00:20:26Z,490000,False,13.0,13.0,1,right,J. McDaniels DUNK (4 PTS) (K. Anderson 1 AST),"[1630183, 203937]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,1.9,Made,,,,,4.0,K. Anderson,203937.0,1.0,,,,,,,,,
51,PT07M45.00S,2024-03-08T00:20:35.0Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,5,12,2024-03-08T00:20:50Z,510000,False,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 201144]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,1.0,Conley,201144.0,,
52,PT07M45.00S,2024-03-08T00:20:35.0Z,1,REGULAR,steal,,[],201144,,,1610612750,5,12,2024-03-08T00:20:36Z,520000,False,,,0,,M. Conley STEAL (2 STL),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
53,PT07M45.00S,2024-03-08T00:20:37.6Z,1,REGULAR,foul,personal,[],1626167,,,1610612750,5,12,2024-03-08T00:20:46Z,530000,False,,,0,,M. Turner personal FOUL (1 PF),"[1626167, 201144]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,201639.0,,,,,,,,,,,1.0,0.0,Conley,201144.0,,,,,
55,PT07M29.00S,2024-03-08T00:21:12.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203497,93.11760840998686,46.568627450980394,1610612750,5,14,2024-03-08T00:21:15Z,550000,False,-17.0,12.0,1,right,R. Gobert DUNK (5 PTS) (J. McDaniels 2 AST),"[203497, 1630183]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,2.11,Made,,,,,5.0,J. McDaniels,1630183.0,2.0,,,,,,,,,
57,PT07M29.00S,2024-03-08T00:21:16.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,5,14,2024-03-08T00:21:16Z,570000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M13.00S,2024-03-08T00:24:29.0Z,1,REGULAR,2pt,Jump Shot,[],1627783,12.434296977660972,72.05882352941177,1610612754,5,14,2024-03-08T00:39:24Z,580000,False,-110.0,64.0,1,left,MISS P. Siakam 12' fadeaway Shot,[1627783],1610612754.0,IND,fadeaway,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,,12.77,Missed,,,,,,,,,,,,,,,,,
59,PT07M09.00S,2024-03-08T00:24:33.0Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,5,14,2024-03-08T00:24:33Z,590000,False,,,0,,M. Conley REBOUND (Off:0 Def:2),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Mid-Range,8-16 Left,,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,
60,PT06M58.00S,2024-03-08T00:24:43.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,86.81011826544021,43.872549019607845,1610612750,5,14,2024-03-08T00:24:48Z,600000,False,-31.0,71.0,1,right,MISS K. Anderson 7' turnaround fadeaway Shot,[203937],1610612750.0,MIN,turnaround fadeaway,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,7.78,Missed,,,,,,,,,,,,,,,,,
61,PT06M55.00S,2024-03-08T00:24:46.3Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,5,14,2024-03-08T00:24:48Z,610000,False,,,0,,R. Gobert REBOUND (Off:2 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,60.0,2.0,0.0,2.0,,,,,,,,,,,,,
62,PT06M46.00S,2024-03-08T00:24:55.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630162,90.48948751642575,60.049019607843135,1610612750,5,14,2024-03-08T00:25:00Z,620000,False,50.0,37.0,1,right,MISS A. Edwards 6' driving Layup - blocked,"[1630162, 1626167]",1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,6.23,Missed,,,,,,,,,,,,,,,,Turner,1626167.0
63,PT06M46.00S,2024-03-08T00:24:55.7Z,1,REGULAR,block,,[],1626167,,,1610612750,5,14,2024-03-08T00:24:58Z,630000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT06M43.00S,2024-03-08T00:24:58.7Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,5,14,2024-03-08T00:25:00Z,640000,False,,,0,,M. Turner REBOUND (Off:0 Def:3),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,62.0,3.0,3.0,0.0,,,,,,,,,,,,,
65,PT06M41.00S,2024-03-08T00:25:01.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630174,6.915243101182654,50.245098039215684,1610612754,5,14,2024-03-08T00:25:07Z,650000,False,-1.0,13.0,1,left,MISS A. Nesmith running finger roll Layup,[1630174],1610612754.0,IND,running finger roll,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,1.26,Missed,,,,,,,,,,,,,,,,,
66,PT06M37.00S,2024-03-08T00:25:05.1Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,5,14,2024-03-08T00:25:07Z,660000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,65.0,2.0,2.0,0.0,,,,,,,,,,,,,
67,PT06M22.00S,2024-03-08T00:25:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,89.04402102496715,50.245098039215684,1610612750,5,14,2024-03-08T00:25:24Z,670000,False,1.0,50.0,1,right,MISS R. Gobert Layup - blocked,"[203497, 1626167]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,5.05,Missed,,,,,,,,,,,,,,,,Turner,1626167.0
68,PT06M22.00S,2024-03-08T00:25:18.9Z,1,REGULAR,block,,[],1626167,,,1610612750,5,14,2024-03-08T00:27:30Z,680000,False,,,0,,M. Turner BLOCK (2 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
