actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
35,PT09M14.00S,2024-02-29T00:47:07.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,7,3,2024-02-29T00:47:10Z,350000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,
36,PT09M02.00S,2024-02-29T00:47:20.3Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612740,7,3,2024-02-29T00:47:23Z,360000,False,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 1630169]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,,,,,,,,Haliburton,1630169.0
37,PT09M02.00S,2024-02-29T00:47:20.3Z,1,REGULAR,steal,,[],1630169,,,1610612754,7,3,2024-02-29T00:47:21Z,370000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
38,PT08M59.00S,2024-02-29T00:47:23.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631097,6.389618922470433,47.794117647058826,1610612754,7,3,2024-02-29T00:47:30Z,380000,False,11.0,8.0,1,left,MISS B. Mathurin running finger roll Layup - blocked,"[1631097, 1630529]",1610612754.0,IND,running finger roll,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,1.34,Missed,Jones,1630529.0,,,,,,,,,,,,,,,,
99,PT08M59.00S,2024-02-29T00:47:23.9Z,1,REGULAR,block,,[],1630529,,,1610612754,7,3,2024-02-29T00:58:21Z,385000,False,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
39,PT08M56.00S,2024-02-29T00:47:26.9Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,7,3,2024-02-29T00:47:30Z,390000,False,,,0,,C. McCollum REBOUND (Off:1 Def:2),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,38.0,3.0,2.0,1.0,,,,,,,,,,,,
40,PT08M46.00S,2024-02-29T00:47:35.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,91.14651773981603,53.92156862745098,1610612740,7,3,2024-02-29T00:47:39Z,400000,False,20.0,31.0,1,right,MISS Z. Williamson pullup Shot,[1629627],1610612740.0,NOP,pullup,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,3.64,Missed,,,,,,,,,,,,,,,,,,
41,PT08M44.00S,2024-02-29T00:47:37.4Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,7,3,2024-02-29T00:47:39Z,410000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,
42,PT08M33.00S,2024-02-29T00:47:48.7Z,1,REGULAR,2pt,Jump Shot,[],1626167,13.87976346911958,32.59803921568628,1610612754,9,3,2024-02-29T00:47:53Z,420000,False,87.0,78.0,1,left,M. Turner 11' turnaround Jump Shot (4 PTS) (B. Mathurin 1 AST),"[1626167, 1631097]",1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,Mid-Range,8-16 Right,11.68,Made,,,,,,,4.0,,,,,,,B. Mathurin,1631097.0,1.0,,
44,PT08M32.00S,2024-02-29T00:47:53.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,9,3,2024-02-29T00:47:53Z,440000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M32.00S,2024-02-29T00:50:48.7Z,1,REGULAR,substitution,out,[],202685,,,1610612740,9,3,2024-02-29T00:51:04Z,450000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M32.00S,2024-02-29T00:50:48.7Z,1,REGULAR,substitution,in,[],1626204,,,1610612740,9,3,2024-02-29T00:51:04Z,460000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M16.00S,2024-02-29T00:51:57.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,90.75229960578186,43.872549019607845,1610612740,9,5,2024-02-29T00:52:03Z,480000,False,-31.0,34.0,1,right,B. Ingram driving finger roll Layup (2 PTS) (C. McCollum 1 AST),"[1627742, 203468]",1610612740.0,NOP,driving finger roll,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,4.6,Made,,,,,,,2.0,,,,,,,C. McCollum,203468.0,1.0,,
52,PT07M58.00S,2024-02-29T00:52:33.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,8.492115637319317,45.34313725490196,1610612754,11,5,2024-02-29T00:52:38Z,520000,False,23.0,27.0,1,left,M. Turner cutting Layup (6 PTS) (P. Siakam 1 AST),"[1626167, 1627783]",1610612754.0,IND,cutting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,3.59,Made,,,,,,,6.0,,,,,,,P. Siakam,1627783.0,1.0,,
54,PT07M49.00S,2024-02-29T00:52:45.9Z,1,REGULAR,foul,personal,[],1627783,,,1610612740,11,5,2024-02-29T00:53:09Z,540000,False,,,0,,P. Siakam personal FOUL (1 PF),"[1627783, 1626204]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,101284.0,,1.0,0.0,Nance Jr.,1626204.0,,,,,
56,PT07M49.00S,2024-02-29T00:53:04.1Z,1,REGULAR,substitution,out,[],1629627,,,1610612740,11,5,2024-02-29T00:53:09Z,560000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M49.00S,2024-02-29T00:53:04.1Z,1,REGULAR,substitution,out,[],203468,,,1610612740,11,5,2024-02-29T00:53:09Z,570000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M49.00S,2024-02-29T00:53:04.1Z,1,REGULAR,substitution,in,[],1630230,,,1610612740,11,5,2024-02-29T00:53:09Z,580000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M49.00S,2024-02-29T00:53:04.1Z,1,REGULAR,substitution,in,[],1630530,,,1610612740,11,5,2024-02-29T00:53:09Z,590000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M38.00S,2024-02-29T00:53:24.5Z,1,REGULAR,3pt,Jump Shot,[],1630530,64.86530880420499,27.941176470588236,1610612740,11,5,2024-02-29T00:53:30Z,600000,False,-110.0,278.0,1,right,MISS T. Murphy III 29' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,29.89,Missed,,,,,,,,,,,,,,,,,,
61,PT07M35.00S,2024-02-29T00:53:27.5Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,11,5,2024-02-29T00:53:45Z,610000,False,,,0,,M. Turner REBOUND (Off:0 Def:3),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,,,,,60.0,3.0,3.0,0.0,,,,,,,,,,,,
62,PT07M28.00S,2024-02-29T00:53:34.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,7.835085413929041,45.588235294117645,1610612754,11,5,2024-02-29T00:53:39Z,620000,False,22.0,21.0,1,left,MISS T. Haliburton driving finger roll Layup - blocked,"[1630169, 1630230]",1610612754.0,IND,driving finger roll,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,3.06,Missed,Marshall,1630230.0,,,,,,,,,,,,,,,,
63,PT07M28.00S,2024-02-29T00:53:34.7Z,1,REGULAR,block,,[],1630230,,,1610612754,11,5,2024-02-29T00:53:36Z,630000,False,,,0,,N. Marshall BLOCK (1 BLK),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT07M28.00S,2024-02-29T00:53:34.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,11,5,2024-02-29T00:53:39Z,640000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Restricted Area,0-8 Center,,,,,62.0,,,,,,,,,,,,,,,
66,PT07M26.00S,2024-02-29T00:53:52.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631097,23.603810775295663,12.990196078431374,1610612754,11,5,2024-02-29T00:53:56Z,660000,False,185.0,169.0,1,left,MISS B. Mathurin 25' 3PT,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,25.08,Missed,,,,,,,,,,,,,,,,,,
67,PT07M23.00S,2024-02-29T00:53:55.4Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612740,11,5,2024-02-29T00:53:56Z,670000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,
68,PT07M09.00S,2024-02-29T00:54:08.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626204,93.11760840998686,53.431372549019606,1610612740,11,7,2024-02-29T00:54:12Z,680000,False,17.0,12.0,1,right,L. Nance Jr. Layup (2 PTS),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,2.11,Made,,,,,,,2.0,,,,,,,,,,,
69,PT06M58.00S,2024-02-29T00:54:19.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,7.046649145860711,41.911764705882355,1610612754,13,7,2024-02-29T00:54:25Z,690000,False,40.0,14.0,1,left,P. Siakam driving Layup (4 PTS),[1627783],1610612754.0,IND,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,4.27,Made,,,,,,,4.0,,,,,,,,,,,
70,PT06M44.00S,2024-02-29T00:54:34.3Z,1,REGULAR,2pt,Jump Shot,[],1627742,77.34888304862024,46.81372549019608,1610612740,13,9,2024-02-29T00:54:38Z,700000,False,-16.0,160.0,1,right,B. Ingram 16' pullup Jump Shot (4 PTS) (L. Nance Jr. 1 AST),"[1627742, 1626204]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,16.12,Made,,,,,,,4.0,,,,,,,L. Nance Jr.,1626204.0,1.0,,
71,PT06M44.00S,2024-02-29T00:54:37.5Z,1,REGULAR,foul,personal,['1freethrow'],1626167,,,1610612740,13,9,2024-02-29T00:54:42Z,710000,False,,,0,,M. Turner shooting personal FOUL (1 PF) (Ingram 1 FT),"[1626167, 1627742]",1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,Mid-Range,16-24 Center,,,,,,,,,,202037.0,,1.0,0.0,Ingram,1627742.0,,,,,
73,PT06M44.00S,2024-02-29T00:55:06.4Z,1,REGULAR,substitution,out,[],1626167,,,1610612740,13,9,2024-02-29T00:56:36Z,730000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M44.00S,2024-02-29T00:55:06.4Z,1,REGULAR,substitution,in,[],1630188,,,1610612740,13,9,2024-02-29T00:56:36Z,740000,False,,,0,,SUB in: J. Smith,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M44.00S,2024-02-29T00:55:32.4Z,1,REGULAR,freethrow,1 of 1,[],1627742,,,1610612740,13,10,2024-02-29T00:55:32Z,750000,False,,,0,,B. Ingram Free Throw 1 of 1 (5 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
76,PT06M31.00S,2024-02-29T00:55:50.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,7.966491458607096,45.83333333333333,1610612754,15,10,2024-02-29T00:55:54Z,760000,False,21.0,22.0,1,left,J. Smith Layup (2 PTS) (P. Siakam 2 AST),"[1630188, 1627783]",1610612754.0,IND,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,3.06,Made,,,,,,,2.0,,,,,,,P. Siakam,1627783.0,2.0,,
78,PT06M20.00S,2024-02-29T00:56:00.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,87.20433639947439,50.98039215686274,1610612740,15,12,2024-02-29T00:56:05Z,780000,False,5.0,68.0,1,right,B. Ingram 6' pullup Jump Shot (7 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,6.8,Made,,,,,,,7.0,,,,,,,,,,,
79,PT06M10.00S,2024-02-29T00:56:10.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,8.09789750328515,47.05882352941176,1610612754,17,12,2024-02-29T00:56:14Z,790000,False,15.0,24.0,1,left,P. Siakam cutting Layup (6 PTS) (J. Smith 1 AST),"[1627783, 1630188]",1610612754.0,IND,cutting,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,2.78,Made,,,,,,,6.0,,,,,,,J. Smith,1630188.0,1.0,,
81,PT05M48.00S,2024-02-29T00:56:31.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,89.17542706964521,55.63725490196079,1610612740,17,12,2024-02-29T00:56:37Z,810000,False,28.0,49.0,1,right,MISS B. Ingram driving floating Shot,[1627742],1610612740.0,NOP,driving floating,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,5.68,Missed,,,,,,,,,,,,,,,,,,
82,PT05M48.00S,2024-02-29T00:56:31.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,17,12,2024-02-29T00:56:37Z,820000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,81.0,,,,,,,,,,,,,,,
83,PT05M48.00S,2024-02-29T00:56:36.9Z,1,REGULAR,turnover,offensive goaltending,[],1626204,,,1610612740,17,12,2024-02-29T00:56:44Z,830000,False,,,0,,L. Nance Jr. offensive goaltending TURNOVER (1 TO),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,202037.0,1.0,,,,,,,,,
