actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
52,PT06M43.00S,2024-01-04T00:19:38.9Z,1,REGULAR,substitution,out,[],1627736,,,1610612749,16,13,2024-01-04T00:19:57Z,520000,False,,,0,,SUB out: M. Beasley,[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M43.00S,2024-01-04T00:19:38.9Z,1,REGULAR,substitution,in,[],1626192,,,1610612749,16,13,2024-01-04T00:19:57Z,530000,False,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M36.00S,2024-01-04T00:20:32.7Z,1,REGULAR,3pt,Jump Shot,[],203114,64.86530880420499,58.82352941176471,1610612749,16,16,2024-01-04T00:20:37Z,540000,False,44.0,278.0,1,right,K. Middleton 28' 3PT step back (5 PTS),[203114],1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,,,28.13,Made,5.0,,,,,,,,,,,,,,,
56,PT06M29.00S,2024-01-04T00:20:44.8Z,1,REGULAR,substitution,out,[],203507,,,1610612754,16,16,2024-01-04T00:20:49Z,560000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M29.00S,2024-01-04T00:20:44.8Z,1,REGULAR,substitution,in,[],1626171,,,1610612754,16,16,2024-01-04T00:20:49Z,570000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M27.00S,2024-01-04T00:20:59.2Z,1,REGULAR,turnover,out-of-bounds,[],1626167,,,1610612754,16,16,2024-01-04T00:21:04Z,580000,False,,,0,,M. Turner bad pass out-of-bounds TURNOVER (1 TO),[1626167],1610612754.0,IND,bad pass,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,1628168.0,1.0,,,,,,,,,,,,,,,,,,
59,PT06M15.00S,2024-01-04T00:21:21.6Z,1,REGULAR,foul,personal,[],1630174,,,1610612749,16,16,2024-01-04T00:21:30Z,590000,False,,,0,,A. Nesmith personal FOUL (1 PF),"[1630174, 203114]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,1628168.0,,,,,,,,,,,,1.0,0.0,Middleton,203114.0,,,,
61,PT06M15.00S,2024-01-04T00:21:38.4Z,1,REGULAR,substitution,out,[],1630174,,,1610612749,16,16,2024-01-04T00:21:40Z,610000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M15.00S,2024-01-04T00:21:38.4Z,1,REGULAR,substitution,in,[],1631097,,,1610612749,16,16,2024-01-04T00:21:40Z,620000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M04.00S,2024-01-04T00:22:01.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203114,87.72996057818659,46.07843137254902,1610612749,16,16,2024-01-04T00:22:10Z,630000,False,-20.0,63.0,1,right,MISS K. Middleton 6' turnaround fadeaway Shot,[203114],1610612749.0,MIL,turnaround fadeaway,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),0-8 Center,,,6.58,Missed,,,,,,,,,,,,,,,,
64,PT05M59.00S,2024-01-04T00:22:06.9Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,16,16,2024-01-04T00:22:10Z,640000,False,,,0,,B. Portis REBOUND (Off:1 Def:0),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,63.0,1.0,0.0,1.0,,,,,,,,,,,
65,PT05M59.00S,2024-01-04T00:22:05.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626171,94.40999984741211,50.0,1610612749,16,18,2024-01-04T00:22:05Z,650000,False,0.0,0.0,1,right,B. Portis tip Layup (2 PTS),[1626171],1610612749.0,MIL,tip,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,,,0.0,Made,2.0,,,,,,,,,,,,,,,
66,PT05M50.00S,2024-01-04T00:22:14.7Z,1,REGULAR,3pt,Jump Shot,[],1631097,22.026938239159,89.2156862745098,1610612754,19,18,2024-01-04T00:22:19Z,660000,False,-196.0,155.0,1,left,B. Mathurin 24' 3PT pullup (3 PTS) (J. Smith 3 AST),"[1631097, 1630188]",1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,,,24.97,Made,3.0,,,,,J. Smith,1630188.0,3.0,,,,,,,,
68,PT05M36.00S,2024-01-04T00:22:28.8Z,1,REGULAR,3pt,Jump Shot,[],201572,93.38042049934296,95.83333333333334,1610612749,19,18,2024-01-04T00:22:34Z,680000,False,229.0,10.0,1,right,MISS B. Lopez 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Right Corner 3,24+ Right,,,22.94,Missed,,,,,,,,,,,,,,,,
69,PT05M32.00S,2024-01-04T00:22:32.8Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,19,18,2024-01-04T00:29:23Z,690000,False,,,0,,M. Turner REBOUND (Off:0 Def:3),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Right Corner 3,24+ Right,,,,,,68.0,3.0,3.0,0.0,,,,,,,,,,,
72,PT05M19.00S,2024-01-04T00:22:46.0Z,1,REGULAR,turnover,bad pass,[],1630188,,,1610612754,19,18,2024-01-04T00:22:49Z,720000,False,,,0,,J. Smith bad pass TURNOVER (1 TO),"[1630188, 203081]",1610612754.0,IND,,,,Smith,J. Smith,,,,,Mid-Range,8-16 Left,,1.0,,,,,,,,,,,,,,,Lillard,203081.0,,
73,PT05M19.00S,2024-01-04T00:22:46.0Z,1,REGULAR,steal,,[],203081,,,1610612749,19,18,2024-01-04T00:22:47Z,730000,False,,,0,,D. Lillard STEAL (2 STL),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
74,PT05M08.00S,2024-01-04T00:22:56.9Z,1,REGULAR,2pt,Hook,['fromturnover'],1626171,92.59198423127464,68.13725490196079,1610612749,19,18,2024-01-04T00:29:26Z,740000,False,91.0,17.0,1,right,MISS B. Portis 9' turnaround Hook,[1626171],1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,Mid-Range,8-16 Right,,,9.23,Missed,,,,,,,,,,,,,,,,
75,PT05M05.00S,2024-01-04T00:22:59.9Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,19,18,2024-01-04T00:23:04Z,750000,False,,,0,,M. Turner REBOUND (Off:0 Def:4),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Right,,,,,,74.0,4.0,4.0,0.0,,,,,,,,,,,
76,PT05M00.00S,2024-01-04T00:23:04.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630188,6.783837056504599,3.9215686274509802,1610612754,19,18,2024-01-04T00:23:11Z,760000,False,230.0,11.0,1,left,MISS J. Smith running 3PT,[1630188],1610612754.0,IND,running,,,Smith,J. Smith,,,,,Right Corner 3,24+ Right,,,23.07,Missed,,,,,,,,,,,,,,,,
77,PT04M58.00S,2024-01-04T00:23:06.6Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,19,18,2024-01-04T00:23:11Z,770000,False,,,0,,B. Portis REBOUND (Off:1 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Right Corner 3,24+ Right,,,,,,76.0,2.0,1.0,1.0,,,,,,,,,,,
79,PT04M50.00S,2024-01-04T00:23:20.8Z,1,REGULAR,foul,personal,[],1628971,,,1610612749,19,18,2024-01-04T00:23:26Z,790000,False,,,0,,B. Brown personal FOUL (1 PF),"[1628971, 203081]",1610612754.0,IND,,,,Brown,B. Brown,,,,,In The Paint (Non-RA),8-16 Center,201246.0,,,,,,,,,,,,1.0,0.0,Lillard,203081.0,,,,
81,PT04M50.00S,2024-01-04T00:23:26.1Z,1,REGULAR,substitution,out,[],1628971,,,1610612749,19,18,2024-01-04T00:23:41Z,810000,False,,,0,,SUB out: B. Brown,[1628971],1610612754.0,IND,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M50.00S,2024-01-04T00:23:26.1Z,1,REGULAR,substitution,out,[],203114,,,1610612749,19,18,2024-01-04T00:23:41Z,820000,False,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M50.00S,2024-01-04T00:23:26.1Z,1,REGULAR,substitution,in,[],204456,,,1610612749,19,18,2024-01-04T00:23:41Z,830000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M50.00S,2024-01-04T00:23:26.1Z,1,REGULAR,substitution,in,[],1630699,,,1610612749,19,18,2024-01-04T00:23:41Z,840000,False,,,0,,SUB in: M. Beauchamp,[1630699],1610612749.0,MIL,,,,Beauchamp,M. Beauchamp,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M39.00S,2024-01-04T00:24:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,91.80354796320631,51.470588235294116,1610612749,19,20,2024-01-04T00:24:06Z,850000,False,7.0,25.0,1,right,B. Portis cutting finger roll Layup (4 PTS) (P. Connaughton 1 AST),"[1626171, 1626192]",1610612749.0,MIL,cutting finger roll,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,2.56,Made,4.0,,,,,P. Connaughton,1626192.0,1.0,,,,,,,,
87,PT04M19.00S,2024-01-04T00:24:23.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,7.178055190538765,46.81372549019608,1610612754,21,20,2024-01-04T00:24:26Z,870000,False,16.0,15.0,1,left,B. Mathurin driving reverse Layup (5 PTS) (T. McConnell 1 AST),"[1631097, 204456]",1610612754.0,IND,driving reverse,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,2.19,Made,5.0,,,,,T. McConnell,204456.0,1.0,,,,,,,,
89,PT04M01.00S,2024-01-04T00:24:41.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630699,92.19776609724047,54.90196078431373,1610612749,21,22,2024-01-04T00:24:44Z,890000,False,25.0,21.0,1,right,M. Beauchamp driving finger roll Layup (2 PTS) (D. Lillard 2 AST),"[1630699, 203081]",1610612749.0,MIL,driving finger roll,,,Beauchamp,M. Beauchamp,,,,,Restricted Area,0-8 Center,,,3.21,Made,2.0,,,,,D. Lillard,203081.0,2.0,,,,,,,,
91,PT03M49.00S,2024-01-04T00:24:52.4Z,1,REGULAR,2pt,Jump Shot,[],1631097,8.360709592641262,29.166666666666668,1610612754,21,22,2024-01-04T00:24:57Z,910000,False,104.0,26.0,1,left,MISS B. Mathurin 10' floating Shot,[1631097],1610612754.0,IND,floating,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Right,,,10.74,Missed,,,,,,,,,,,,,,,,
