actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
22,PT10M21.00S,2023-11-23T00:43:09.9Z,1,REGULAR,turnover,out-of-bounds,[],1627751,,,1610612761,5,2,2023-11-23T00:43:18Z,220000,False,,,0,,J. Poeltl lost ball out-of-bounds TURNOVER (1 TO),[1627751],1610612761.0,TOR,lost ball,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627534.0,1.0,,,,,,,,
23,PT10M15.00S,2023-11-23T00:43:20.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627741,12.565703022339028,51.470588235294116,1610612754,7,2,2023-11-23T00:43:29Z,230000,False,-7.0,66.0,1,left,B. Hield 6' fadeaway Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1627741, 1630169]",1610612754.0,IND,fadeaway,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,6.6,Made,,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,
25,PT10M01.00S,2023-11-23T00:43:33.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,94.43166885676742,50.98039215686274,1610612761,7,2,2023-11-23T00:45:01Z,250000,False,5.0,0.0,1,right,MISS J. Poeltl turnaround Hook - blocked,"[1627751, 1626167]",1610612761.0,TOR,turnaround,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,0.49,Missed,,,,,,,,,,,Turner,1626167.0,,,,,,
26,PT10M01.00S,2023-11-23T00:43:33.1Z,1,REGULAR,block,,[],1626167,,,1610612761,7,2,2023-11-23T00:43:35Z,260000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M57.00S,2023-11-23T00:43:37.1Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,7,2,2023-11-23T00:43:37Z,270000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,25.0,,,,,1.0,1.0,0.0,,,,,,,,,,
28,PT09M51.00S,2023-11-23T00:43:43.4Z,1,REGULAR,3pt,Jump Shot,[],1630169,32.670827858081466,53.18627450980392,1610612754,10,2,2023-11-23T00:43:46Z,280000,False,-16.0,255.0,1,left,T. Haliburton 25' 3PT pullup (3 PTS),[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,25.51,Made,,3.0,,,,,,,,,,,,,,,,
29,PT09M51.00S,2023-11-23T00:43:46.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,10,2,2023-11-23T00:43:46Z,290000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M45.00S,2023-11-23T00:46:50.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628384,94.03745072273325,48.529411764705884,1610612761,10,4,2023-11-23T00:46:57Z,300000,False,-7.0,4.0,1,right,O. Anunoby reverse DUNK (2 PTS) (J. Poeltl 2 AST),"[1628384, 1627751]",1610612761.0,TOR,reverse,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.82,Made,,2.0,J. Poeltl,1627751.0,2.0,,,,,,,,,,,,,
32,PT09M33.00S,2023-11-23T00:47:01.3Z,1,REGULAR,3pt,Jump Shot,[],1630169,29.77989487516426,77.45098039215686,1610612754,10,4,2023-11-23T00:47:06Z,320000,False,-137.0,227.0,1,left,MISS T. Haliburton 26' step back 3PT,[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,26.56,Missed,,,,,,,,,,,,,,,,,,
33,PT09M30.00S,2023-11-23T00:47:04.3Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,10,4,2023-11-23T00:47:06Z,330000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,32.0,,,,,1.0,1.0,0.0,,,,,,,,,,
34,PT09M23.00S,2023-11-23T00:47:12.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,95.3515111695138,50.98039215686274,1610612761,10,6,2023-11-23T00:47:15Z,340000,False,5.0,-9.0,1,right,D. Schroder driving finger roll Layup (2 PTS),[203471],1610612761.0,TOR,driving finger roll,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,1.01,Made,,2.0,,,,,,,,,,,,,,,,
35,PT09M12.00S,2023-11-23T00:47:24.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626167,6.258212877792378,50.245098039215684,1610612754,12,6,2023-11-23T00:47:29Z,350000,False,-1.0,6.0,1,left,M. Turner driving DUNK (4 PTS) (T. Haliburton 2 AST),"[1626167, 1630169]",1610612754.0,IND,driving,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,0.64,Made,,4.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,,,,
37,PT08M53.00S,2023-11-23T00:47:41.5Z,1,REGULAR,2pt,Jump Shot,[],1627783,80.1084099868594,29.166666666666668,1610612761,12,8,2023-11-23T00:47:45Z,370000,False,-104.0,134.0,1,right,P. Siakam 17' step back Jump Shot (2 PTS),[1627783],1610612761.0,TOR,step back,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,17.01,Made,,2.0,,,,,,,,,,,,,,,,
38,PT08M42.00S,2023-11-23T00:47:52.7Z,1,REGULAR,3pt,Jump Shot,[],1628971,33.98488830486202,44.36274509803921,1610612754,15,8,2023-11-23T00:47:59Z,380000,False,28.0,267.0,1,left,B. Brown 26' 3PT pullup (3 PTS),[1628971],1610612754.0,IND,pullup,,,Brown,B. Brown,,,,,Above the Break 3,24+ Center,26.85,Made,,3.0,,,,,,,,,,,,,,,,
40,PT08M32.00S,2023-11-23T00:48:03.8Z,1,REGULAR,turnover,lost ball,[],203471,,,1610612761,15,8,2023-11-23T00:48:08Z,400000,False,,,0,,D. Schroder lost ball TURNOVER (1 TO),"[203471, 1628971]",1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,1.0,,,Brown,1628971.0,,,,
41,PT08M32.00S,2023-11-23T00:48:03.8Z,1,REGULAR,steal,,[],1628971,,,1610612754,15,8,2023-11-23T00:48:05Z,410000,False,,,0,,B. Brown STEAL (1 STL),[1628971],1610612754.0,IND,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
42,PT08M27.00S,2023-11-23T00:48:07.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628971,6.521024967148489,50.98039215686274,1610612754,17,8,2023-11-23T00:48:12Z,420000,False,-5.0,9.0,1,left,B. Brown running Layup (5 PTS),[1628971],1610612754.0,IND,running,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,1.01,Made,,5.0,,,,,,,,,,,,,,,,
43,PT08M20.00S,2023-11-23T00:48:14.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,92.9862023653088,45.588235294117645,1610612761,17,8,2023-11-23T00:48:18Z,430000,False,-22.0,13.0,1,right,MISS P. Siakam driving finger roll Layup,[1627783],1610612761.0,TOR,driving finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,2.58,Missed,,,,,,,,,,,,,,,,,,
44,PT08M18.00S,2023-11-23T00:48:17.9Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,17,8,2023-11-23T00:48:17Z,440000,False,,,0,,P. Siakam REBOUND (Off:1 Def:0),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,43.0,,,,,1.0,0.0,1.0,,,,,,,,,,
45,PT08M18.00S,2023-11-23T00:48:17.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627783,94.40999984741211,50.0,1610612761,17,8,2023-11-23T00:48:20Z,450000,False,0.0,0.0,1,right,MISS P. Siakam tip Layup,[1627783],1610612761.0,TOR,tip,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
46,PT08M18.00S,2023-11-23T00:48:17.9Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,17,8,2023-11-23T00:48:20Z,460000,False,,,0,,P. Siakam REBOUND (Off:2 Def:0),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,45.0,,,,,2.0,0.0,2.0,,,,,,,,,,
47,PT08M17.00S,2023-11-23T00:48:19.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627783,94.40999984741211,50.0,1610612761,17,10,2023-11-23T00:48:19Z,470000,False,0.0,0.0,1,right,P. Siakam putback Layup (4 PTS),[1627783],1610612761.0,TOR,putback,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,0.0,Made,,4.0,,,,,,,,,,,,,,,,
48,PT08M10.00S,2023-11-23T00:48:27.1Z,1,REGULAR,turnover,bad pass,[],1630167,,,1610612754,17,10,2023-11-23T00:50:36Z,480000,False,,,0,,O. Toppin bad pass TURNOVER (1 TO),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202901.0,1.0,,,,,,,,
49,PT07M47.00S,2023-11-23T00:48:57.1Z,1,REGULAR,turnover,lost ball,[],1627751,,,1610612761,17,10,2023-11-23T00:51:50Z,490000,False,,,0,,J. Poeltl lost ball TURNOVER (2 TO),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,,,,,,,,,202901.0,2.0,,,,,,,,
50,PT07M31.00S,2023-11-23T00:49:15.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627741,33.065045992115635,50.73529411764706,1610612754,20,10,2023-11-23T00:49:23Z,500000,False,-4.0,258.0,1,left,B. Hield 25' 3PT  (5 PTS) (T. Haliburton 3 AST),"[1627741, 1630169]",1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,25.83,Made,,5.0,T. Haliburton,1630169.0,3.0,,,,,,,,,,,,,
53,PT07M19.00S,2023-11-23T00:49:40.1Z,1,REGULAR,turnover,out-of-bounds,[],203471,,,1610612761,20,10,2023-11-23T00:49:44Z,530000,False,,,0,,D. Schroder bad pass out-of-bounds TURNOVER (2 TO),[203471],1610612761.0,TOR,bad pass,,,Schroder,D. Schroder,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,202901.0,2.0,,,,,,,,
54,PT07M07.00S,2023-11-23T00:49:55.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626167,6.783837056504599,48.28431372549019,1610612754,20,10,2023-11-23T00:49:59Z,540000,False,9.0,11.0,1,left,MISS M. Turner running finger roll Layup,[1626167],1610612754.0,IND,running finger roll,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,1.42,Missed,,,,,,,,,,,,,,,,,,
55,PT07M04.00S,2023-11-23T00:49:58.0Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,20,10,2023-11-23T00:49:59Z,550000,False,,,0,,M. Turner REBOUND (Off:1 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,54.0,,,,,2.0,1.0,1.0,,,,,,,,,,
56,PT07M03.00S,2023-11-23T00:49:58.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626167,7.440867279894875,48.28431372549019,1610612754,22,10,2023-11-23T00:50:01Z,560000,False,9.0,17.0,1,left,M. Turner putback Layup (6 PTS),[1626167],1610612754.0,IND,putback,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,1.94,Made,,6.0,,,,,,,,,,,,,,,,
57,PT06M50.00S,2023-11-23T00:50:10.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,95.0886990801577,52.69607843137255,1610612761,22,10,2023-11-23T00:50:13Z,570000,False,13.0,-6.0,1,right,MISS P. Siakam driving finger roll Layup,[1627783],1610612761.0,TOR,driving finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.49,Missed,,,,,,,,,,,,,,,,,,
58,PT06M48.00S,2023-11-23T00:50:12.7Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,22,10,2023-11-23T00:50:13Z,580000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,57.0,,,,,1.0,1.0,0.0,,,,,,,,,,
59,PT06M39.00S,2023-11-23T00:50:23.8Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612754,22,10,2023-11-23T00:50:33Z,590000,False,,,0,,P. Siakam shooting personal FOUL (1 PF) (Turner 2 FT),"[1627783, 1626167]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202007.0,,,,,,1.0,0.0,Turner,1626167.0
61,PT06M39.00S,2023-11-23T00:51:02.7Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,22,10,2023-11-23T00:51:02Z,610000,False,,,0,,MISS M. Turner Free Throw 1 of 2,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
62,PT06M39.00S,2023-11-23T00:51:02.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,22,10,2023-11-23T00:51:02Z,620000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,
63,PT06M39.00S,2023-11-23T00:51:03.2Z,1,REGULAR,substitution,out,[],1630169,,,1610612754,22,10,2023-11-23T00:51:15Z,630000,False,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M39.00S,2023-11-23T00:51:03.2Z,1,REGULAR,substitution,out,[],1630167,,,1610612754,22,10,2023-11-23T00:51:15Z,640000,False,,,0,,SUB out: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M39.00S,2023-11-23T00:51:03.2Z,1,REGULAR,substitution,out,[],1627741,,,1610612754,22,10,2023-11-23T00:51:15Z,650000,False,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M39.00S,2023-11-23T00:51:03.2Z,1,REGULAR,substitution,out,[],1630567,,,1610612754,22,10,2023-11-23T00:51:15Z,660000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M39.00S,2023-11-23T00:51:03.2Z,1,REGULAR,substitution,in,[],1631097,,,1610612754,22,10,2023-11-23T00:51:15Z,670000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M39.00S,2023-11-23T00:51:03.2Z,1,REGULAR,substitution,in,[],1629670,,,1610612754,22,10,2023-11-23T00:51:15Z,680000,False,,,0,,SUB in: J. Nwora,[1629670],1610612754.0,IND,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M39.00S,2023-11-23T00:51:03.2Z,1,REGULAR,substitution,in,[],204456,,,1610612754,22,10,2023-11-23T00:51:15Z,690000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M39.00S,2023-11-23T00:51:03.2Z,1,REGULAR,substitution,in,[],1629018,,,1610612754,22,10,2023-11-23T00:51:15Z,700000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M39.00S,2023-11-23T00:51:26.1Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,23,10,2023-11-23T00:51:26Z,710000,False,,,0,,M. Turner Free Throw 2 of 2 (7 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Made,,7.0,,,,,,,,,,,,,,,,
72,PT06M28.00S,2023-11-23T00:51:39.8Z,1,REGULAR,foul,personal,['2freethrow'],1629670,,,1610612761,23,10,2023-11-23T00:51:46Z,720000,False,,,0,,J. Nwora shooting personal FOUL (1 PF) (Siakam 2 FT),"[1629670, 1627783]",1610612754.0,IND,shooting,,,Nwora,J. Nwora,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1627534.0,,,,,,1.0,0.0,Siakam,1627783.0
74,PT06M28.00S,2023-11-23T00:52:10.8Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612761,23,10,2023-11-23T00:52:10Z,740000,False,,,0,,MISS P. Siakam Free Throw 1 of 2,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
75,PT06M28.00S,2023-11-23T00:52:10.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,23,10,2023-11-23T00:52:10Z,750000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,
76,PT06M28.00S,2023-11-23T00:52:11.3Z,1,REGULAR,substitution,out,[],1628384,,,1610612761,23,10,2023-11-23T00:52:15Z,760000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M28.00S,2023-11-23T00:52:11.3Z,1,REGULAR,substitution,in,[],203490,,,1610612761,23,10,2023-11-23T00:52:15Z,770000,False,,,0,,SUB in: O. Porter Jr.,[203490],1610612761.0,TOR,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M28.00S,2023-11-23T00:52:33.5Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612761,23,11,2023-11-23T00:52:33Z,780000,False,,,0,,P. Siakam Free Throw 2 of 2 (5 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Made,,5.0,,,,,,,,,,,,,,,,
79,PT06M11.00S,2023-11-23T00:52:55.5Z,1,REGULAR,foul,personal,[],203490,,,1610612754,23,11,2023-11-23T00:53:05Z,790000,False,,,0,,O. Porter Jr. personal FOUL (1 PF),"[203490, 1626167]",1610612761.0,TOR,,,,Porter Jr.,O. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1627534.0,,,,,,1.0,0.0,Turner,1626167.0
81,PT06M05.00S,2023-11-23T00:53:16.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,12.565703022339028,36.029411764705884,1610612754,23,11,2023-11-23T00:58:08Z,810000,False,70.0,66.0,1,left,MISS T. McConnell 9' driving floating Shot,[204456],1610612754.0,IND,driving floating,,,McConnell,T. McConnell,,,,,In The Paint (Non-RA),8-16 Right,9.59,Missed,,,,,,,,,,,,,,,,,,
82,PT06M02.00S,2023-11-23T00:53:19.7Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,23,11,2023-11-23T00:53:20Z,820000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Right,,,81.0,,,,,1.0,1.0,0.0,,,,,,,,,,
83,PT05M57.00S,2023-11-23T00:53:23.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627783,94.03745072273325,50.0,1610612761,23,13,2023-11-23T00:53:29Z,830000,False,0.0,4.0,1,right,P. Siakam running finger roll Layup (7 PTS) (D. Schroder 1 AST),"[1627783, 203471]",1610612761.0,TOR,running finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,0.35,Made,,7.0,D. Schroder,203471.0,1.0,,,,,,,,,,,,,
84,PT05M43.00S,2023-11-23T00:53:38.0Z,1,REGULAR,3pt,Jump Shot,[],1628971,24.917871222076215,9.068627450980392,1610612754,23,13,2023-11-23T00:53:43Z,840000,False,205.0,182.0,1,left,MISS B. Brown 27' 3PT,[1628971],1610612754.0,IND,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Right Center,27.37,Missed,,,,,,,,,,,,,,,,,,
85,PT05M40.00S,2023-11-23T00:53:41.0Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,23,13,2023-11-23T00:53:43Z,850000,False,,,0,,P. Siakam REBOUND (Off:2 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,84.0,,,,,3.0,1.0,2.0,,,,,,,,,,
86,PT05M33.00S,2023-11-23T00:53:48.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,87.72996057818659,57.84313725490197,1610612761,23,13,2023-11-23T00:53:52Z,860000,False,39.0,63.0,1,right,MISS P. Siakam 7' turnaround fadeaway Shot,[1627783],1610612761.0,TOR,turnaround fadeaway,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,7.4,Missed,,,,,,,,,,,,,,,,,,
87,PT05M32.00S,2023-11-23T00:53:49.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,23,13,2023-11-23T00:54:10Z,870000,False,,,0,,M. Turner REBOUND (Off:1 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,86.0,,,,,3.0,2.0,1.0,,,,,,,,,,
