actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
25,PT09M54.00S,2024-02-27T00:13:00.1Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,4,3,2024-02-27T00:13:01Z,250000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,
26,PT09M47.00S,2024-02-27T00:13:07.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,82.47371879106439,50.49019607843137,1610612761,4,3,2024-02-27T01:09:45Z,260000,False,2.0,112.0,1,right,MISS J. Poeltl 11' floating Shot,[1627751],1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,11.22,Missed,,,,,,,,,,,,,,,,,,
27,PT09M44.00S,2024-02-27T00:13:10.1Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,4,3,2024-02-27T00:13:11Z,270000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,
28,PT09M38.00S,2024-02-27T00:13:15.8Z,1,REGULAR,2pt,Jump Shot,[],1627783,13.222733245729303,29.65686274509804,1610612754,4,3,2024-02-27T00:13:21Z,280000,False,102.0,72.0,1,left,MISS P. Siakam 12' fadeaway Shot,[1627783],1610612754.0,IND,fadeaway,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,12.45,Missed,,,,,,,,,,,,,,,,,,
29,PT09M33.00S,2024-02-27T00:13:20.8Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,4,3,2024-02-27T00:19:09Z,290000,False,,,0,,M. Turner REBOUND (Off:1 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Right,,,,28.0,2.0,1.0,1.0,,,,,,,,,,,,,
30,PT09M25.00S,2024-02-27T00:13:28.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630169,16.770696452036795,11.76470588235294,1610612754,6,3,2024-02-27T00:13:33Z,300000,False,191.0,105.0,1,left,T. Haliburton 21' step back Jump Shot (2 PTS),[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Right,21.82,Made,2.0,,,,,,,,,,,,,,,,,
31,PT09M12.00S,2024-02-27T00:13:41.2Z,1,REGULAR,3pt,Jump Shot,[],1630567,65.78515111695138,45.34313725490196,1610612761,6,3,2024-02-27T00:13:46Z,310000,False,-23.0,269.0,1,right,MISS S. Barnes 27' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,27.01,Missed,,,,,,,,,,,,,,,,,,
32,PT09M08.00S,2024-02-27T00:13:45.2Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,6,3,2024-02-27T00:13:46Z,320000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Center,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
35,PT08M55.00S,2024-02-27T00:14:13.6Z,1,REGULAR,turnover,out-of-bounds,[],1630169,,,1610612754,6,3,2024-02-27T00:14:17Z,340000,False,,,0,,T. Haliburton bad pass out-of-bounds TURNOVER (1 TO),[1630169],1610612754.0,IND,bad pass,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1628171.0,1.0,,,,,,
36,PT08M46.00S,2024-02-27T00:14:26.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630567,92.32917214191852,47.30392156862745,1610612761,6,5,2024-02-27T00:14:29Z,350000,False,-13.0,20.0,1,right,S. Barnes cutting DUNK (2 PTS) (J. Poeltl 1 AST),"[1630567, 1627751]",1610612761.0,TOR,cutting,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,2.38,Made,2.0,,,,,,,J. Poeltl,1627751.0,1.0,,,,,,,,
38,PT08M35.00S,2024-02-27T00:14:37.7Z,1,REGULAR,3pt,Jump Shot,[],1626167,32.276609724047304,50.73529411764706,1610612754,9,5,2024-02-27T00:14:41Z,370000,False,-4.0,251.0,1,left,M. Turner 25' 3PT  (3 PTS) (P. Siakam 1 AST),"[1626167, 1627783]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,25.09,Made,3.0,,,,,,,P. Siakam,1627783.0,1.0,,,,,,,,
40,PT08M21.00S,2024-02-27T00:14:51.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630193,89.96386333771353,51.470588235294116,1610612761,9,5,2024-02-27T00:14:55Z,390000,False,7.0,42.0,1,right,MISS I. Quickley driving Layup,[1630193],1610612761.0,TOR,driving,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,4.24,Missed,,,,,,,,,,,,,,,,,,
41,PT08M18.00S,2024-02-27T00:14:54.5Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,9,5,2024-02-27T00:14:54Z,400000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:2),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,40.0,3.0,2.0,1.0,,,,,,,,,,,,,
42,PT08M17.00S,2024-02-27T00:14:59.3Z,1,REGULAR,foul,personal,[],1626167,,,1610612761,9,5,2024-02-27T00:15:05Z,410000,False,,,0,,M. Turner personal FOUL (1 PF),"[1626167, 1627751]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1662.0,,1.0,0.0,Poeltl,1627751.0,,
44,PT08M11.00S,2024-02-27T00:15:22.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629018,82.7365308804205,50.98039215686274,1610612761,9,5,2024-02-27T00:19:57Z,430000,False,5.0,110.0,1,right,MISS G. Trent Jr. 10' floating Shot,[1629018],1610612761.0,TOR,floating,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Center,10.99,Missed,,,,,,,,,,,,,,,,,,
45,PT08M09.00S,2024-02-27T00:15:24.5Z,1,REGULAR,rebound,offensive,[],1629018,,,1610612761,9,5,2024-02-27T00:15:26Z,440000,False,,,0,,G. Trent Jr. REBOUND (Off:1 Def:0),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,44.0,1.0,0.0,1.0,,,,,,,,,,,,,
46,PT08M08.00S,2024-02-27T00:15:25.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629018,92.32917214191852,52.20588235294118,1610612761,9,7,2024-02-27T00:15:29Z,450000,False,11.0,20.0,1,right,G. Trent Jr. tip Layup (5 PTS),[1629018],1610612761.0,TOR,tip,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,2.25,Made,5.0,,,,,,,,,,,,,,,,,
48,PT07M54.00S,2024-02-27T00:15:43.7Z,1,REGULAR,foul,personal,['2freethrow'],1629628,,,1610612754,9,7,2024-02-27T00:15:59Z,470000,False,,,0,,R. Barrett shooting personal FOUL (1 PF) (Turner 2 FT),"[1629628, 1626167]",1610612761.0,TOR,shooting,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1628171.0,,1.0,0.0,Turner,1626167.0,,
50,PT07M54.00S,2024-02-27T00:16:08.0Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,10,7,2024-02-27T00:16:08Z,490000,False,,,0,,M. Turner Free Throw 1 of 2 (4 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
51,PT07M54.00S,2024-02-27T00:16:21.5Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,11,7,2024-02-27T00:16:21Z,500000,False,,,0,,M. Turner Free Throw 2 of 2 (5 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
52,PT07M44.00S,2024-02-27T00:16:36.2Z,1,REGULAR,foul,personal,[],1629614,,,1610612761,11,7,2024-02-27T00:16:41Z,510000,False,,,0,,A. Nembhard personal FOUL (1 PF),"[1629614, 1630567]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1662.0,,1.0,0.0,Barnes,1630567.0,,
54,PT07M34.00S,2024-02-27T00:17:01.3Z,1,REGULAR,turnover,bad pass,[],1630193,,,1610612761,11,7,2024-02-27T00:17:04Z,530000,False,,,0,,I. Quickley bad pass TURNOVER (1 TO),"[1630193, 1630169]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,,,,,Haliburton,1630169.0
55,PT07M34.00S,2024-02-27T00:17:01.3Z,1,REGULAR,steal,,[],1630169,,,1610612754,11,7,2024-02-27T00:17:03Z,540000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
56,PT07M31.00S,2024-02-27T00:17:08.3Z,1,REGULAR,foul,personal,['2freethrow'],1629018,,,1610612754,11,7,2024-02-27T00:17:23Z,550000,False,,,0,,G. Trent Jr. shooting personal FOUL (1 PF) (Mathurin 2 FT),"[1629018, 1631097]",1610612761.0,TOR,shooting,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1628171.0,,1.0,0.0,Mathurin,1631097.0,,
58,PT07M31.00S,2024-02-27T00:17:38.9Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1631097,,,1610612754,11,7,2024-02-27T00:17:38Z,570000,False,,,0,,MISS B. Mathurin Free Throw 1 of 2,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
59,PT07M31.00S,2024-02-27T00:17:38.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,11,7,2024-02-27T00:17:38Z,580000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,
60,PT07M31.00S,2024-02-27T00:17:55.4Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1631097,,,1610612754,12,7,2024-02-27T00:17:55Z,590000,False,,,0,,B. Mathurin Free Throw 2 of 2 (1 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
61,PT07M19.00S,2024-02-27T00:18:09.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627751,92.59198423127464,50.98039215686274,1610612761,12,9,2024-02-27T00:18:13Z,600000,False,5.0,17.0,1,right,J. Poeltl alley-oop DUNK (2 PTS) (S. Barnes 1 AST),"[1627751, 1630567]",1610612761.0,TOR,alley-oop,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.78,Made,2.0,,,,,,,S. Barnes,1630567.0,1.0,,,,,,,,
63,PT07M19.00S,2024-02-27T00:18:12.0Z,1,REGULAR,foul,personal,['1freethrow'],1631097,,,1610612761,12,9,2024-02-27T00:18:18Z,620000,False,,,0,,B. Mathurin shooting personal FOUL (1 PF) (Poeltl 1 FT),"[1631097, 1627751]",1610612754.0,IND,shooting,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628171.0,,1.0,0.0,Poeltl,1627751.0,,
65,PT07M19.00S,2024-02-27T00:18:35.4Z,1,REGULAR,freethrow,1 of 1,[],1627751,,,1610612761,12,10,2024-02-27T00:18:35Z,640000,False,,,0,,J. Poeltl Free Throw 1 of 1 (3 PTS),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
66,PT07M07.00S,2024-02-27T00:18:50.2Z,1,REGULAR,3pt,Jump Shot,[],1631097,30.042706964520367,24.754901960784316,1610612754,12,10,2024-02-27T00:19:00Z,650000,False,126.0,230.0,1,left,MISS B. Mathurin 26' step back 3PT,[1631097],1610612754.0,IND,step back,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,26.23,Missed,,,,,,,,,,,,,,,,,,
67,PT07M03.00S,2024-02-27T00:18:54.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,12,10,2024-02-27T00:19:00Z,660000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Above the Break 3,24+ Right Center,,,,66.0,,,,,,,,,,,,,,,,
69,PT06M46.00S,2024-02-27T00:19:17.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,89.70105124835742,52.20588235294118,1610612761,12,12,2024-02-27T00:22:21Z,680000,False,11.0,44.0,1,right,J. Poeltl Hook (5 PTS) (G. Trent Jr. 1 AST),"[1627751, 1629018]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,4.56,Made,5.0,,,,,,,G. Trent Jr.,1629018.0,1.0,,,,,,,,
70,PT06M34.00S,2024-02-27T00:19:28.8Z,1,REGULAR,3pt,Jump Shot,[],1626167,33.327858081471746,56.127450980392155,1610612754,15,12,2024-02-27T00:19:34Z,690000,False,-31.0,261.0,1,left,M. Turner 26' 3PT  (8 PTS) (T. Haliburton 2 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,26.26,Made,8.0,,,,,,,T. Haliburton,1630169.0,2.0,,,,,,,,
72,PT06M21.00S,2024-02-27T00:19:41.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630193,92.9862023653088,45.34313725490196,1610612761,15,14,2024-02-27T00:19:45Z,710000,False,-23.0,13.0,1,right,I. Quickley driving reverse Layup (2 PTS),[1630193],1610612761.0,TOR,driving reverse,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,2.69,Made,2.0,,,,,,,,,,,,,,,,,
73,PT06M21.00S,2024-02-27T00:19:46.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,15,14,2024-02-27T00:19:46Z,720000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M21.00S,2024-02-27T00:21:48.6Z,1,REGULAR,substitution,out,[],1630567,,,1610612754,15,14,2024-02-27T00:22:37Z,730000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M21.00S,2024-02-27T00:21:48.6Z,1,REGULAR,substitution,in,[],1628971,,,1610612754,15,14,2024-02-27T00:22:37Z,740000,False,,,0,,SUB in: B. Brown,[1628971],1610612761.0,TOR,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M08.00S,2024-02-27T00:22:59.2Z,1,REGULAR,3pt,Jump Shot,[],1627783,33.196452036793694,52.450980392156865,1610612754,18,14,2024-02-27T00:23:03Z,750000,False,-12.0,260.0,1,left,P. Siakam 25' 3PT  (3 PTS) (T. Haliburton 3 AST),"[1627783, 1630169]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,25.98,Made,3.0,,,,,,,T. Haliburton,1630169.0,3.0,,,,,,,,
79,PT05M47.00S,2024-02-27T00:23:19.7Z,1,REGULAR,3pt,Jump Shot,[],1628971,65.1281208935611,41.66666666666667,1610612761,18,14,2024-02-27T00:23:25Z,770000,False,-42.0,275.0,1,right,MISS B. Brown 27' 3PT,[1628971],1610612761.0,TOR,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Center,27.84,Missed,,,,,,,,,,,,,,,,,,
80,PT05M43.00S,2024-02-27T00:23:23.7Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,18,14,2024-02-27T00:23:25Z,780000,False,,,0,,M. Turner REBOUND (Off:1 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,,,,79.0,3.0,2.0,1.0,,,,,,,,,,,,,
81,PT05M36.00S,2024-02-27T00:23:30.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,6.915243101182654,52.94117647058824,1610612754,18,14,2024-02-27T00:23:34Z,790000,False,-15.0,13.0,1,left,MISS P. Siakam driving Layup,[1627783],1610612754.0,IND,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.93,Missed,,,,,,,,,,,,,,,,,,
82,PT05M34.00S,2024-02-27T00:23:32.8Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612761,18,14,2024-02-27T00:23:34Z,800000,False,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612761.0,TOR,,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,
83,PT05M26.00S,2024-02-27T00:23:41.0Z,1,REGULAR,2pt,Jump Shot,[],1629628,78.53153745072274,40.68627450980392,1610612761,18,14,2024-02-27T00:23:44Z,810000,False,-47.0,149.0,1,right,MISS R. Barrett 15' pullup Shot,[1629628],1610612761.0,TOR,pullup,,,Barrett,R. Barrett,,,,,Mid-Range,8-16 Center,15.64,Missed,,,,,,,,,,,,,,,,,,
84,PT05M23.00S,2024-02-27T00:23:44.0Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,18,14,2024-02-27T00:23:44Z,820000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:2),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Center,,,,83.0,2.0,2.0,0.0,,,,,,,,,,,,,
85,PT05M17.00S,2024-02-27T00:23:52.2Z,1,REGULAR,foul,personal,[],1629628,,,1610612754,18,14,2024-02-27T00:23:59Z,830000,False,,,0,,R. Barrett personal FOUL (2 PF),"[1629628, 1626167]",1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1662.0,,2.0,0.0,Turner,1626167.0,,
87,PT05M17.00S,2024-02-27T00:24:12.8Z,1,REGULAR,substitution,out,[],1629628,,,1610612754,18,14,2024-02-27T00:24:16Z,850000,False,,,0,,SUB out: R. Barrett,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M17.00S,2024-02-27T00:24:12.8Z,1,REGULAR,substitution,in,[],1630534,,,1610612754,18,14,2024-02-27T00:24:16Z,860000,False,,,0,,SUB in: O. Agbaji,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M17.00S,2024-02-27T00:24:25.1Z,1,REGULAR,substitution,out,[],1629614,,,1610612754,18,14,2024-02-27T00:24:34Z,870000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
