actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
31,PT09M33.00S,2025-11-25T01:13:47.1Z,1,REGULAR,3pt,Jump Shot,[],203924,67.62483574244416,73.77450980392157,1610612757,0,7,2025-11-25T01:13:54Z,310000,False,119.0,252.0,1,right,J. Grant 27' 3PT  (4 PTS) (D. Clingan 1 AST),"[203924, 1642270]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,27.85,Made,,,,,,,,,,,,,,,4.0,D. Clingan,1642270.0,1.0
33,PT09M14.00S,2025-11-25T01:14:06.6Z,1,REGULAR,3pt,Jump Shot,[],1631157,24.517493429697765,83.3563112745098,1610612749,0,7,2025-11-25T01:20:30Z,330000,False,-167.0,178.0,1,left,MISS R. Rollins 24' step back 3PT,[1631157],1610612749.0,MIL,step back,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Left Center,24.39,Missed,,,,,,,,,,,,,,,,,,
34,PT09M10.00S,2025-11-25T01:14:10.6Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,0,7,2025-11-25T01:14:14Z,340000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT09M00.00S,2025-11-25T01:14:19.9Z,1,REGULAR,turnover,bad pass,[],1641739,,,1610612757,0,7,2025-11-25T01:14:26Z,350000,False,,,0,,T. Camara bad pass TURNOVER (1 TO),"[1641739, 1631260]",1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Green,1631260.0,,,,,,,,,,,
36,PT09M00.00S,2025-11-25T01:14:19.9Z,1,REGULAR,steal,,[],1631260,,,1610612749,0,7,2025-11-25T01:14:23Z,360000,False,,,0,,A. Green STEAL (1 STL),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
37,PT08M54.00S,2025-11-25T01:14:26.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628398,6.258212877792378,52.20588235294118,1610612749,2,7,2025-11-25T01:14:33Z,370000,False,-11.0,6.0,1,left,K. Kuzma running Layup (2 PTS) (R. Rollins 1 AST),"[1628398, 1631157]",1610612749.0,MIL,running,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,1.27,Made,,,,,,,,,,,,,,,2.0,R. Rollins,1631157.0,1.0
39,PT08M34.00S,2025-11-25T01:14:46.5Z,1,REGULAR,3pt,Jump Shot,[],1630166,65.78515111695138,46.81372549019608,1610612757,2,10,2025-11-25T01:14:53Z,390000,False,-16.0,269.0,1,right,D. Avdija 26' 3PT  (3 PTS) (T. Camara 2 AST),"[1630166, 1641739]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,26.96,Made,,,,,,,,,,,,,,,3.0,T. Camara,1641739.0,2.0
41,PT08M19.00S,2025-11-25T01:15:05.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630579,7.178055190538765,52.94117647058824,1610612749,2,10,2025-11-25T01:45:25Z,410000,False,-15.0,15.0,1,left,MISS J. Sims alley-oop DUNK,[1630579],1610612749.0,MIL,alley-oop,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,2.1,Missed,,,,,,,,,,,,,,,,,,
42,PT08M18.00S,2025-11-25T01:15:06.9Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,2,10,2025-11-25T01:45:25Z,420000,False,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,
220,PT08M15.00S,2025-11-25T01:15:09.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203924,91.80354796320631,48.28431372549019,1610612757,2,10,2025-11-25T01:47:54Z,425000,False,-9.0,25.0,1,right,MISS J. Grant running Layup - blocked,"[203924, 1626167]",1610612757.0,POR,running,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,2.6,Missed,,,,,,,,Turner,1626167.0,,,,,,,,,
