actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
49,PT07M41.00S,2025-10-23T00:22:07.8Z,1,REGULAR,3pt,Jump Shot,[],1642273,69.72733245729303,16.42156862745098,1610612764,16,7,2025-10-23T00:23:00Z,490000,False,-168.0,232.0,1,right,MISS K. George 28' pullup 3PT,[1642273],1610612764.0,WAS,pullup,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,,,,28.65,Missed,,,,,,,,,,,,,
50,PT07M37.00S,2025-10-23T00:22:11.8Z,1,REGULAR,rebound,defensive,[],1631260,,,1610612749,16,7,2025-10-23T00:22:13Z,500000,False,,,0,,A. Green REBOUND (Off:0 Def:1),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,
51,PT07M29.00S,2025-10-23T00:22:18.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,7.966491458607096,49.01960784313725,1610612749,18,7,2025-10-23T00:22:31Z,510000,False,5.0,22.0,1,left,G. Antetokounmpo driving Layup (4 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,2.29,Made,,,,,,,4.0,,,,,,
52,PT07M25.00S,2025-10-23T00:22:22.7Z,1,REGULAR,turnover,bad pass,[],1642259,,,1610612764,18,7,2025-10-23T00:22:38Z,520000,False,,,0,,A. Sarr bad pass TURNOVER (1 TO),"[1642259, 1629645]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,1.0,Porter Jr.,1629645.0
53,PT07M25.00S,2025-10-23T00:22:22.7Z,1,REGULAR,steal,,[],1629645,,,1610612749,18,7,2025-10-23T00:22:25Z,530000,False,,,0,,K. Porter Jr. STEAL (1 STL),[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
54,PT07M19.00S,2025-10-23T00:22:29.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629018,31.488173455978973,27.941176470588236,1610612749,21,7,2025-10-23T00:22:42Z,540000,False,110.0,243.0,1,left,G. Trent Jr. 26' 3PT  (3 PTS) (M. Turner 3 AST),"[1629018, 1626167]",1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,26.73,Made,,,,,,,3.0,M. Turner,1626167.0,3.0,,,
56,PT07M01.00S,2025-10-23T00:22:47.0Z,1,REGULAR,3pt,Jump Shot,[],203114,74.85216819973719,12.254901960784313,1610612764,21,10,2025-10-23T00:22:51Z,560000,False,-189.0,184.0,1,right,K. Middleton 26' 3PT  (6 PTS),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,,,,,,26.35,Made,,,,,,,6.0,,,,,,
57,PT06M44.00S,2025-10-23T00:23:07.0Z,1,REGULAR,foul,personal,[],1642273,,,1610612749,21,10,2025-10-23T00:23:20Z,570000,False,,,0,,K. George personal FOUL (1 PF),"[1642273, 203507]",1610612764.0,WAS,,,,George,K. George,,,,,Restricted Area,0-8 Center,1627961.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,
59,PT06M44.00S,2025-10-23T00:23:21.3Z,1,REGULAR,substitution,out,[],1642273,,,1610612749,21,10,2025-10-23T00:23:28Z,590000,False,,,0,,SUB out: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M44.00S,2025-10-23T00:23:21.3Z,1,REGULAR,substitution,out,[],1642259,,,1610612749,21,10,2025-10-23T00:23:28Z,600000,False,,,0,,SUB out: A. Sarr,[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M44.00S,2025-10-23T00:23:21.3Z,1,REGULAR,substitution,in,[],1628963,,,1610612749,21,10,2025-10-23T00:23:28Z,610000,False,,,0,,SUB in: M. Bagley III,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M44.00S,2025-10-23T00:23:21.3Z,1,REGULAR,substitution,in,[],1642848,,,1610612749,21,10,2025-10-23T00:23:28Z,620000,False,,,0,,SUB in: T. Johnson,[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M36.00S,2025-10-23T00:23:48.7Z,1,REGULAR,foul,personal,['2freethrow'],1642267,,,1610612749,21,10,2025-10-23T00:24:01Z,630000,False,,,0,,B. Carrington shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1642267, 1629645]",1610612764.0,WAS,shooting,,,Carrington,B. Carrington,,,,,Restricted Area,0-8 Center,200832.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,,,,,,,,
65,PT06M36.00S,2025-10-23T00:24:18.6Z,1,REGULAR,freethrow,1 of 2,[],1629645,,,1610612749,22,10,2025-10-23T00:24:18Z,650000,False,,,0,,K. Porter Jr. Free Throw 1 of 2 (4 PTS),[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,Made,,,,,,,4.0,,,,,,
66,PT06M36.00S,2025-10-23T00:24:33.6Z,1,REGULAR,freethrow,2 of 2,[],1629645,,,1610612749,23,10,2025-10-23T00:24:33Z,660000,False,,,0,,K. Porter Jr. Free Throw 2 of 2 (5 PTS),[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,Made,,,,,,,5.0,,,,,,
67,PT06M27.00S,2025-10-23T00:24:42.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,92.85479632063075,45.83333333333333,1610612764,23,12,2025-10-23T00:24:46Z,670000,False,-21.0,15.0,1,right,C. McCollum driving Layup (2 PTS),[203468],1610612764.0,WAS,driving,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,,,2.55,Made,,,,,,,2.0,,,,,,
68,PT06M13.00S,2025-10-23T00:24:55.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,6.258212877792378,51.225490196078425,1610612749,25,12,2025-10-23T00:25:00Z,680000,False,-6.0,6.0,1,left,G. Antetokounmpo cutting DUNK (6 PTS) (K. Porter Jr. 2 AST),"[203507, 1629645]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,0.88,Made,,,,,,,6.0,K. Porter Jr.,1629645.0,2.0,,,
70,PT06M00.00S,2025-10-23T00:25:09.4Z,1,REGULAR,foul,personal,['3freethrow'],203507,,,1610612764,25,12,2025-10-23T00:25:22Z,700000,False,,,0,,G. Antetokounmpo shooting personal FOUL (2 PF) (Middleton 3 FT),"[203507, 203114]",1610612749.0,MIL,shooting,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,200832.0,2.0,0.0,Middleton,203114.0,,,,,,,,,,,,,,,
72,PT06M00.00S,2025-10-23T00:25:46.2Z,1,REGULAR,freethrow,1 of 3,[],203114,,,1610612764,25,13,2025-10-23T00:25:46Z,720000,False,,,0,,K. Middleton Free Throw 1 of 3 (7 PTS),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,,,,,,,,,Made,,,,,,,7.0,,,,,,
73,PT06M00.00S,2025-10-23T00:26:00.7Z,1,REGULAR,freethrow,2 of 3,[],203114,,,1610612764,25,13,2025-10-23T00:26:00Z,730000,False,,,0,,MISS K. Middleton Free Throw 2 of 3,[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
74,PT06M00.00S,2025-10-23T00:26:00.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,25,13,2025-10-23T00:26:00Z,740000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,
75,PT06M00.00S,2025-10-23T00:26:13.0Z,1,REGULAR,freethrow,3 of 3,[],203114,,,1610612764,25,14,2025-10-23T00:26:13Z,750000,False,,,0,,K. Middleton Free Throw 3 of 3 (8 PTS),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,,,,,,,,,Made,,,,,,,8.0,,,,,,
76,PT05M43.00S,2025-10-23T00:26:30.7Z,1,REGULAR,3pt,Jump Shot,[],203507,30.17411300919842,76.47058823529412,1610612749,25,14,2025-10-23T00:27:06Z,760000,False,-132.0,231.0,1,left,MISS G. Antetokounmpo 26' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,26.63,Missed,,,,,,,,,,,,,
77,PT05M40.00S,2025-10-23T00:26:33.7Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612749,25,14,2025-10-23T00:26:48Z,770000,False,,,0,,M. Turner REBOUND (Off:1 Def:0),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,,,,,,,,76.0,1.0,0.0,1.0,,,,,,,,,
79,PT05M38.00S,2025-10-23T00:26:47.1Z,1,REGULAR,foul,offensive,[],1626167,,,1610612749,25,14,2025-10-23T00:27:01Z,790000,False,,,0,,M. Turner offensive FOUL (1 PF),"[1626167, 203114]",1610612749.0,MIL,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Left,101283.0,1.0,0.0,Middleton,203114.0,,,,,,,,,,,,,,,
81,PT05M38.00S,2025-10-23T00:26:47.1Z,1,REGULAR,turnover,offensive foul,[],1626167,,,1610612749,25,14,2025-10-23T00:26:47Z,810000,False,,,0,,M. Turner offensive foul TURNOVER (1 TO),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Left,101283.0,,,,,,,,,,,,,,,,,1.0,,
82,PT05M38.00S,2025-10-23T00:27:02.7Z,1,REGULAR,substitution,out,[],203507,,,1610612764,25,14,2025-10-23T00:27:07Z,820000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M38.00S,2025-10-23T00:27:02.7Z,1,REGULAR,substitution,in,[],1628398,,,1610612764,25,14,2025-10-23T00:27:07Z,830000,False,,,0,,SUB in: K. Kuzma,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M26.00S,2025-10-23T00:27:13.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,72.7496714848883,12.745098039215685,1610612764,25,14,2025-10-23T00:27:22Z,840000,False,-186.0,204.0,1,right,MISS C. McCollum 27' pullup 3PT,[203468],1610612764.0,WAS,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,,,,27.6,Missed,,,,,,,,,,,,,
85,PT05M23.00S,2025-10-23T00:27:16.3Z,1,REGULAR,rebound,defensive,[],1631260,,,1610612749,25,14,2025-10-23T00:27:22Z,850000,False,,,0,,A. Green REBOUND (Off:0 Def:2),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,84.0,2.0,2.0,0.0,,,,,,,,,
86,PT05M19.00S,2025-10-23T00:27:20.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629645,22.421156373193167,37.254901960784316,1610612749,25,14,2025-10-23T00:28:59Z,860000,False,64.0,158.0,1,left,MISS K. Porter Jr. 17' running pullup Shot,[1629645],1610612749.0,MIL,running pullup,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,17.06,Missed,,,,,,,,,,,,,
87,PT05M16.00S,2025-10-23T00:27:23.6Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,25,14,2025-10-23T00:27:28Z,870000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Right Center,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,
