actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
34,PT09M12.00S,2025-12-06T01:14:19.1Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612749,2,7,2025-12-06T01:19:21Z,340000,False,,,0,,J. Sims REBOUND (Off:1 Def:1),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,33.0,2.0,1.0,1.0,,,,,
35,PT09M05.00S,2025-12-06T01:14:22.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631260,28.33442838370565,18.627450980392158,1610612749,2,7,2025-12-06T01:20:09Z,350000,False,157.0,214.0,1,left,MISS A. Green 26' running pullup 3PT,[1631260],1610612749.0,MIL,running pullup,,,Green,A. Green,,,,,Above the Break 3,24+ Right Center,26.52,Missed,,,,,,,,,,,,,,,,,,
36,PT09M03.00S,2025-12-06T01:14:24.2Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,2,7,2025-12-06T01:19:43Z,360000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,
37,PT08M45.00S,2025-12-06T01:14:38.5Z,1,REGULAR,3pt,Jump Shot,[],1642845,77.34888304862024,5.147058823529411,1610612755,2,7,2025-12-06T01:14:46Z,370000,False,-224.0,160.0,1,right,MISS V. Edgecombe 27' 3PT,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Left Center,27.58,Missed,,,,,,,,,,,,,,,,,,
38,PT08M39.00S,2025-12-06T01:14:44.5Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612749,2,7,2025-12-06T01:14:46Z,380000,False,,,0,,J. Sims REBOUND (Off:1 Def:2),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,37.0,3.0,2.0,1.0,,,,,
39,PT08M35.00S,2025-12-06T01:14:48.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,14.536793692509855,40.931372549019606,1610612749,2,7,2025-12-06T01:14:57Z,390000,False,45.0,84.0,1,left,MISS K. Porter Jr. 9' pullup Shot,[1629645],1610612749.0,MIL,pullup,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,9.55,Missed,,,,,,,,,,,,,,,,,,
40,PT08M31.00S,2025-12-06T01:14:52.5Z,1,REGULAR,rebound,offensive,[],1630579,,,1610612749,2,7,2025-12-06T01:14:57Z,400000,False,,,0,,J. Sims REBOUND (Off:2 Def:2),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,39.0,4.0,2.0,2.0,,,,,
41,PT08M30.00S,2025-12-06T01:14:53.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626167,33.196452036793694,43.872549019607845,1610612749,5,7,2025-12-06T01:15:02Z,410000,False,31.0,260.0,1,left,M. Turner 26' 3PT  (3 PTS) (K. Porter Jr. 2 AST),"[1626167, 1629645]",1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,26.13,Made,3.0,,,,,,,,,,,,,K. Porter Jr.,1629645.0,2.0,,
43,PT08M11.00S,2025-12-06T01:15:18.0Z,1,REGULAR,foul,personal,[],1626167,,,1610612755,5,7,2025-12-06T01:15:46Z,430000,False,,,0,,M. Turner personal FOUL (1 PF),"[1626167, 1631230]",1610612749.0,MIL,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,101283.0,1.0,0.0,Barlow,1631230.0,,,,,,,,,
45,PT08M03.00S,2025-12-06T01:15:49.1Z,1,REGULAR,2pt,Jump Shot,[],202331,89.70105124835742,23.284313725490197,1610612755,5,9,2025-12-06T01:15:55Z,450000,False,-134.0,44.0,1,right,P. George 14' step back Jump Shot (2 PTS),[202331],1610612755.0,PHI,step back,,,George,P. George,,,,,Mid-Range,8-16 Left,14.08,Made,2.0,,,,,,,,,,,,,,,,,
46,PT07M42.00S,2025-12-06T01:16:10.6Z,1,REGULAR,3pt,Jump Shot,[],1631157,25.969119579500656,83.82352941176471,1610612749,8,9,2025-12-06T01:16:19Z,460000,False,-169.0,192.0,1,left,R. Rollins 25' 3PT  (5 PTS) (K. Porter Jr. 3 AST),"[1631157, 1629645]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Left Center,25.55,Made,5.0,,,,,,,,,,,,,K. Porter Jr.,1629645.0,3.0,,
48,PT07M19.00S,2025-12-06T01:16:32.6Z,1,REGULAR,3pt,Jump Shot,[],203083,92.32917214191852,95.58823529411765,1610612755,8,9,2025-12-06T01:16:38Z,480000,False,228.0,20.0,1,right,MISS A. Drummond 3PT,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Right Corner 3,24+ Right,22.87,Missed,,,,,,,,,,,,,,,,,,
49,PT07M16.00S,2025-12-06T01:16:35.9Z,1,REGULAR,rebound,offensive,[],1631230,,,1610612755,8,9,2025-12-06T01:16:35Z,490000,False,,,0,,D. Barlow REBOUND (Off:1 Def:0),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,48.0,1.0,0.0,1.0,,,,,
50,PT07M13.00S,2025-12-06T01:16:38.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202331,64.86530880420499,58.82352941176471,1610612755,8,9,2025-12-06T01:16:44Z,500000,False,44.0,278.0,1,right,MISS P. George 28' 3PT,[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Center,28.13,Missed,,,,,,,,,,,,,,,,,,
51,PT07M09.00S,2025-12-06T01:16:42.7Z,1,REGULAR,rebound,defensive,[],1631157,,,1610612749,8,9,2025-12-06T01:16:42Z,510000,False,,,0,,R. Rollins REBOUND (Off:0 Def:1),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,
52,PT07M02.00S,2025-12-06T01:16:49.8Z,1,REGULAR,3pt,Jump Shot,[],1626167,30.699737187910642,27.941176470588236,1610612749,11,9,2025-12-06T01:16:56Z,520000,False,110.0,236.0,1,left,M. Turner 26' 3PT  (6 PTS) (R. Rollins 1 AST),"[1626167, 1631157]",1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,26.06,Made,6.0,,,,,,,,,,,,,R. Rollins,1631157.0,1.0,,
54,PT06M52.00S,2025-12-06T01:17:06.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,11,9,2025-12-06T01:17:06Z,540000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M52.00S,2025-12-06T01:19:05.5Z,1,REGULAR,substitution,out,[],1642845,,,1610612755,11,9,2025-12-06T01:19:55Z,550000,False,,,0,,SUB out: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M52.00S,2025-12-06T01:19:05.5Z,1,REGULAR,substitution,in,[],1629656,,,1610612755,11,9,2025-12-06T01:19:55Z,560000,False,,,0,,SUB in: Q. Grimes,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M39.00S,2025-12-06T01:20:18.1Z,1,REGULAR,turnover,out-of-bounds,[],1629656,,,1610612755,11,9,2025-12-06T01:20:25Z,570000,False,,,0,,Q. Grimes bad pass out-of-bounds TURNOVER (1 TO),[1629656],1610612755.0,PHI,bad pass,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,,,,1.0,,,101283.0,,,,,,,,,,,,,
58,PT06M24.00S,2025-12-06T01:20:40.2Z,1,REGULAR,turnover,bad pass,[],1631260,,,1610612749,11,9,2025-12-06T01:20:46Z,580000,False,,,0,,A. Green bad pass TURNOVER (1 TO),"[1631260, 203083]",1610612749.0,MIL,,,,Green,A. Green,,,,,Mid-Range,16-24 Right,,,,1.0,Drummond,203083.0,,,,,,,,,,,,,,
59,PT06M24.00S,2025-12-06T01:20:40.2Z,1,REGULAR,steal,,[],203083,,,1610612755,11,9,2025-12-06T01:20:43Z,590000,False,,,0,,A. Drummond STEAL (1 STL),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
61,PT06M15.00S,2025-12-06T01:20:50.1Z,1,REGULAR,foul,personal,['2freethrow'],1630579,,,1610612755,11,9,2025-12-06T01:21:06Z,610000,False,,,0,,J. Sims shooting personal FOUL (1 PF) (Barlow 2 FT),"[1630579, 1631230]",1610612749.0,MIL,shooting,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,,,,,,,1628954.0,1.0,0.0,Barlow,1631230.0,,,,,,,,,
63,PT06M15.00S,2025-12-06T01:21:25.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1631230,,,1610612755,11,10,2025-12-06T01:21:25Z,630000,False,,,0,,D. Barlow Free Throw 1 of 2 (3 PTS),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
64,PT06M15.00S,2025-12-06T01:21:26.7Z,1,REGULAR,substitution,out,[],1629645,,,1610612755,11,10,2025-12-06T01:21:42Z,640000,False,,,0,,SUB out: K. Porter Jr.,[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M15.00S,2025-12-06T01:21:26.7Z,1,REGULAR,substitution,out,[],203083,,,1610612755,11,10,2025-12-06T01:21:42Z,650000,False,,,0,,SUB out: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M15.00S,2025-12-06T01:21:26.7Z,1,REGULAR,substitution,out,[],202331,,,1610612755,11,10,2025-12-06T01:21:42Z,660000,False,,,0,,SUB out: P. George,[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M15.00S,2025-12-06T01:21:26.7Z,1,REGULAR,substitution,in,[],203914,,,1610612755,11,10,2025-12-06T01:21:42Z,670000,False,,,0,,SUB in: G. Harris,[203914],1610612749.0,MIL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M15.00S,2025-12-06T01:21:26.7Z,1,REGULAR,substitution,in,[],1641737,,,1610612755,11,10,2025-12-06T01:21:42Z,680000,False,,,0,,SUB in: A. Bona,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M15.00S,2025-12-06T01:21:26.7Z,1,REGULAR,substitution,in,[],1642272,,,1610612755,11,10,2025-12-06T01:21:42Z,690000,False,,,0,,SUB in: J. McCain,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M15.00S,2025-12-06T01:21:47.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1631230,,,1610612755,11,11,2025-12-06T01:21:47Z,700000,False,,,0,,D. Barlow Free Throw 2 of 2 (4 PTS),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
71,PT05M52.00S,2025-12-06T01:22:09.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626167,15.850854139290407,39.705882352941174,1610612749,11,11,2025-12-06T01:22:15Z,710000,False,51.0,96.0,1,left,MISS M. Turner 10' turnaround Hook,[1626167],1610612749.0,MIL,turnaround,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,10.94,Missed,,,,,,,,,,,,,,,,,,
72,PT05M49.00S,2025-12-06T01:22:12.9Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,11,11,2025-12-06T01:22:15Z,720000,False,,,0,,D. Barlow REBOUND (Off:1 Def:1),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,71.0,2.0,1.0,1.0,,,,,
73,PT05M31.00S,2025-12-06T01:22:30.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641737,93.11760840998686,49.26470588235294,1610612755,11,13,2025-12-06T01:22:35Z,730000,False,-4.0,12.0,1,right,A. Bona driving Layup (2 PTS) (Q. Grimes 1 AST),"[1641737, 1629656]",1610612755.0,PHI,driving,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,1.27,Made,2.0,,,,,,,,,,,,,Q. Grimes,1629656.0,1.0,,
75,PT05M19.00S,2025-12-06T01:22:43.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631157,8.09789750328515,35.294117647058826,1610612749,13,13,2025-12-06T01:22:48Z,750000,False,74.0,24.0,1,left,R. Rollins 7' driving Layup (7 PTS) (M. Turner 1 AST),"[1631157, 1626167]",1610612749.0,MIL,driving,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),0-8 Center,7.72,Made,7.0,,,,,,,,,,,,,M. Turner,1626167.0,1.0,,
77,PT05M09.00S,2025-12-06T01:22:56.5Z,1,REGULAR,foul,personal,['2freethrow'],203914,,,1610612755,13,13,2025-12-06T01:23:14Z,770000,False,,,0,,G. Harris shooting personal FOUL (1 PF) (Maxey 2 FT),"[203914, 1630178]",1610612749.0,MIL,shooting,,,Harris,G. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,101283.0,1.0,0.0,Maxey,1630178.0,,,,,,,,,
79,PT05M09.00S,2025-12-06T01:23:16.7Z,1,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,13,14,2025-12-06T01:23:16Z,790000,False,,,0,,T. Maxey Free Throw 1 of 2 (3 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
80,PT05M09.00S,2025-12-06T01:23:18.1Z,1,REGULAR,substitution,out,[],1626167,,,1610612755,13,14,2025-12-06T01:23:24Z,800000,False,,,0,,SUB out: M. Turner,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M09.00S,2025-12-06T01:23:18.1Z,1,REGULAR,substitution,in,[],1628398,,,1610612755,13,14,2025-12-06T01:23:24Z,810000,False,,,0,,SUB in: K. Kuzma,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M09.00S,2025-12-06T01:23:30.1Z,1,REGULAR,substitution,out,[],1631230,,,1610612755,13,14,2025-12-06T01:23:42Z,820000,False,,,0,,SUB out: D. Barlow,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M09.00S,2025-12-06T01:23:30.1Z,1,REGULAR,substitution,in,[],1631133,,,1610612755,13,14,2025-12-06T01:23:42Z,830000,False,,,0,,SUB in: J. Walker,[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M09.00S,2025-12-06T01:23:51.1Z,1,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,13,15,2025-12-06T01:23:51Z,840000,False,,,0,,T. Maxey Free Throw 2 of 2 (4 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
85,PT04M54.00S,2025-12-06T01:24:09.0Z,1,REGULAR,3pt,Jump Shot,[],1631260,10.11826544021025,93.89552696078431,1610612749,13,15,2025-12-06T01:25:20Z,850000,False,-219.0,43.0,1,left,MISS A. Green 3PT,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Left Corner 3,24+ Left,22.36,Missed,,,,,,,,,,,,,,,,,,
86,PT04M52.00S,2025-12-06T01:24:11.0Z,1,REGULAR,rebound,defensive,[],1642272,,,1610612755,13,15,2025-12-06T01:25:20Z,860000,False,,,0,,J. McCain REBOUND (Off:0 Def:1),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,85.0,1.0,1.0,0.0,,,,,
87,PT04M43.00S,2025-12-06T01:24:21.4Z,1,REGULAR,3pt,Jump Shot,[],1642272,76.87253613666229,8.111213235294118,1610612755,13,18,2025-12-06T01:30:24Z,870000,False,-209.0,165.0,1,right,J. McCain 26' 3PT  (3 PTS) (T. Maxey 1 AST),"[1642272, 1630178]",1610612755.0,PHI,,,,McCain,J. McCain,,,,,Above the Break 3,24+ Left Center,26.65,Made,3.0,,,,,,,,,,,,,T. Maxey,1630178.0,1.0,,
89,PT04M21.00S,2025-12-06T01:24:44.1Z,1,REGULAR,turnover,out-of-bounds,[],203914,,,1610612749,13,18,2025-12-06T01:24:51Z,890000,False,,,0,,G. Harris lost ball out-of-bounds TURNOVER (1 TO),[203914],1610612749.0,MIL,lost ball,,,Harris,G. Harris,,,,,Mid-Range,8-16 Right,,,,1.0,,,101283.0,,,,,,,,,,,,,
