actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
27,PT09M04.00S,2022-03-13T19:14:30.7Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,0,2,2022-03-13T19:14:31Z,270000,,,0,,C. Joseph REBOUND (Off:0 Def:1),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT08M58.00S,2022-03-13T19:14:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,94.13600525624179,52.94117647058824,1610612765,2,2,2022-03-13T19:14:39Z,280000,15.0,3.0,1,right,C. Cunningham driving Layup (2 PTS) (C. Joseph 1 AST),"[1630595, 202709]",1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,1.49,Made,,,,,2.0,,,C. Joseph,202709.0,1.0,,,,,,,,
30,PT08M51.00S,2022-03-13T19:14:42.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202694,30.009855453350852,83.82352941176471,1610612746,2,2,2022-03-13T19:14:46Z,300000,-169.0,230.0,1,left,MISS M. Morris Sr. 28' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,28.52,Missed,,,,,,,,,,,,,,,,,,
31,PT08M49.00S,2022-03-13T19:14:44.2Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,2,2,2022-03-13T19:14:46Z,310000,,,0,,S. Bey REBOUND (Off:0 Def:2),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,,
32,PT08M37.00S,2022-03-13T19:14:56.3Z,1,REGULAR,3pt,Jump Shot,[],1630180,66.5407358738502,55.63725490196079,1610612765,5,2,2022-03-13T19:15:01Z,320000,28.0,262.0,1,right,S. Bey 26' 3PT  (3 PTS) (M. Bagley III 1 AST),"[1630180, 1628963]",1610612765.0,DET,,,,Bey,S. Bey,,,,,26.35,Made,,,,,3.0,,,M. Bagley III,1628963.0,1.0,,,,,,,,
34,PT08M14.00S,2022-03-13T19:15:20.0Z,1,REGULAR,3pt,Jump Shot,[],1629599,10.430354796320628,3.4313725490196134,1610612746,5,2,2022-03-13T19:15:24Z,340000,233.0,46.0,1,left,MISS A. Coffey 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,23.72,Missed,,,,,,,,,,,,,,,,,,
35,PT08M11.00S,2022-03-13T19:15:22.3Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612765,5,2,2022-03-13T19:15:22Z,350000,,,0,,M. Bagley III REBOUND (Off:1 Def:1),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,34.0,2.0,1.0,1.0,,,,,,,,,,,,,,
36,PT07M57.00S,2022-03-13T19:15:37.4Z,1,REGULAR,3pt,Jump Shot,[],202709,72.58541392904074,84.31372549019608,1610612765,8,2,2022-03-13T19:15:40Z,360000,172.0,205.0,1,right,C. Joseph 26' 3PT  (3 PTS) (C. Cunningham 1 AST),"[202709, 1630595]",1610612765.0,DET,,,,Joseph,C. Joseph,,,,,26.75,Made,,,,,3.0,,,C. Cunningham,1630595.0,1.0,,,,,,,,
38,PT07M39.00S,2022-03-13T19:15:54.7Z,1,REGULAR,3pt,Jump Shot,[],202704,31.980946123521676,28.186274509803923,1610612746,8,2,2022-03-13T19:15:59Z,380000,109.0,248.0,1,left,MISS R. Jackson 27' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,27.1,Missed,,,,,,,,,,,,,,,,,,
39,PT07M36.00S,2022-03-13T19:15:57.7Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612765,8,2,2022-03-13T19:15:59Z,390000,,,0,,M. Bagley III REBOUND (Off:1 Def:2),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,38.0,3.0,2.0,1.0,,,,,,,,,,,,,,
40,PT07M28.00S,2022-03-13T19:16:07.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628963,88.87976346911958,50.73529411764706,1610612765,10,2,2022-03-13T19:16:21Z,400000,4.0,52.0,1,right,M. Bagley III floating Jump Shot (2 PTS) (C. Cunningham 2 AST),"[1628963, 1630595]",1610612765.0,DET,floating,,,Bagley III,M. Bagley III,,,,,5.21,Made,,,,,2.0,,,C. Cunningham,1630595.0,2.0,,,,,,,,
42,PT07M27.00S,2022-03-13T19:16:14.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,10,2,2022-03-13T19:16:14Z,420000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M07.00S,2022-03-13T19:19:22.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,10.82457293035479,50.245098039215684,1610612746,10,2,2022-03-13T19:19:26Z,430000,-1.0,49.0,1,left,MISS I. Zubac Hook,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,4.93,Missed,,,,,,,,,,,,,,,,,,
44,PT07M05.00S,2022-03-13T19:19:24.7Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612765,10,2,2022-03-13T19:19:24Z,440000,,,0,,M. Bagley III REBOUND (Off:1 Def:3),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,43.0,4.0,3.0,1.0,,,,,,,,,,,,,,
45,PT06M56.00S,2022-03-13T19:19:34.1Z,1,REGULAR,3pt,Jump Shot,[],202709,66.5407358738502,43.13725490196079,1610612765,13,2,2022-03-13T19:20:13Z,450000,-34.0,262.0,1,right,C. Joseph 26' 3PT pullup (6 PTS) (M. Bagley III 2 AST),"[202709, 1628963]",1610612765.0,DET,pullup,,,Joseph,C. Joseph,,,,,26.42,Made,,,,,6.0,,,M. Bagley III,1628963.0,2.0,,,,,,,,
47,PT06M43.00S,2022-03-13T19:19:51.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,13,2,2022-03-13T19:19:51Z,470000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M33.00S,2022-03-13T19:20:13.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,13.452693823915894,50.98039215686275,1610612746,13,4,2022-03-13T19:20:18Z,480000,-5.0,74.0,1,left,M. Morris Sr. 7' fadeaway Jump Shot (2 PTS),[202694],1610612746.0,LAC,fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,7.42,Made,,,,,2.0,,,,,,,,,,,,,
49,PT06M14.00S,2022-03-13T19:20:33.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,93.47897503285151,55.88235294117647,1610612765,13,4,2022-03-13T19:20:38Z,490000,29.0,9.0,1,right,MISS S. Bey driving floating bank Shot,[1630180],1610612765.0,DET,driving floating bank,,,Bey,S. Bey,,,,,3.07,Missed,,,,,,,,,,,,,,,,,,
50,PT06M11.00S,2022-03-13T19:20:36.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,13,4,2022-03-13T19:20:38Z,500000,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,49.0,3.0,3.0,0.0,,,,,,,,,,,,,,
51,PT06M04.00S,2022-03-13T19:20:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202694,7.013797634691201,44.36274509803921,1610612746,13,4,2022-03-13T19:20:48Z,510000,28.0,13.0,1,left,MISS M. Morris Sr. Layup,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,3.12,Missed,,,,,,,,,,,,,,,,,,
52,PT06M04.00S,2022-03-13T19:20:44.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,13,4,2022-03-13T19:20:48Z,520000,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,
53,PT06M04.00S,2022-03-13T19:20:48.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,13,4,2022-03-13T19:20:48Z,530000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT05M51.00S,2022-03-13T19:21:07.3Z,1,REGULAR,foul,personal,[],1627826,,,1610612765,13,4,2022-03-13T19:21:17Z,540000,,,0,,I. Zubac personal FOUL (1 PF),"[1627826, 1628963]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,2004.0,,,,,1.0,0.0,Bagley III,1628963.0,,,,
56,PT05M51.00S,2022-03-13T19:21:18.2Z,1,REGULAR,substitution,out,[],201587,,,1610612765,13,4,2022-03-13T19:21:27Z,560000,,,0,,SUB out: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,
57,PT05M51.00S,2022-03-13T19:21:18.2Z,1,REGULAR,substitution,in,[],1629611,,,1610612765,13,4,2022-03-13T19:21:27Z,570000,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,
58,PT05M41.00S,2022-03-13T19:21:41.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,94.79303547963207,45.833333333333336,1610612765,15,4,2022-03-13T19:21:46Z,580000,-21.0,-4.0,1,right,C. Cunningham driving Layup (4 PTS) (M. Bagley III 3 AST),"[1630595, 1628963]",1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,2.11,Made,,,,,4.0,,,M. Bagley III,1628963.0,3.0,,,,,,,,
60,PT05M26.00S,2022-03-13T19:21:56.5Z,1,REGULAR,3pt,Jump Shot,[],1629599,24.359395532194483,11.519607843137265,1610612746,15,4,2022-03-13T19:22:01Z,600000,192.0,176.0,1,left,MISS A. Coffey 26' 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,26.11,Missed,,,,,,,,,,,,,,,,,,
61,PT05M24.00S,2022-03-13T19:21:58.5Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,15,4,2022-03-13T19:22:01Z,610000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,,
62,PT05M15.00S,2022-03-13T19:22:08.0Z,1,REGULAR,2pt,Jump Shot,[],203924,76.39618922470433,74.50980392156863,1610612765,15,4,2022-03-13T19:22:11Z,620000,123.0,169.0,1,right,MISS J. Grant 20' pullup Shot,[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,20.91,Missed,,,,,,,,,,,,,,,,,,
63,PT05M13.00S,2022-03-13T19:22:10.0Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,15,4,2022-03-13T19:22:11Z,630000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,,,
64,PT05M00.00S,2022-03-13T19:22:23.0Z,1,REGULAR,2pt,Jump Shot,[],202694,20.41721419185282,78.43137254901961,1610612746,15,4,2022-03-13T19:22:27Z,640000,-142.0,139.0,1,left,MISS M. Morris Sr. 19' step back Shot,[202694],1610612746.0,LAC,step back,,,Morris Sr.,M. Morris Sr.,,,,,19.91,Missed,,,,,,,,,,,,,,,,,,
65,PT04M58.00S,2022-03-13T19:22:25.0Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,15,4,2022-03-13T19:22:27Z,650000,,,0,,C. Joseph REBOUND (Off:0 Def:2),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,
66,PT04M50.00S,2022-03-13T19:22:32.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,94.00459921156373,45.34313725490197,1610612765,17,4,2022-03-13T19:22:40Z,660000,-23.0,4.0,1,right,J. Grant driving Layup (2 PTS) (C. Cunningham 3 AST),"[203924, 1630595]",1610612765.0,DET,driving,,,Grant,J. Grant,,,,,2.36,Made,,,,,2.0,,,C. Cunningham,1630595.0,3.0,,,,,,,,
68,PT04M35.00S,2022-03-13T19:22:47.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,8.459264126149804,44.85294117647059,1610612746,17,4,2022-03-13T19:22:52Z,680000,26.0,27.0,1,left,MISS R. Jackson driving floating Shot,[202704],1610612746.0,LAC,driving floating,,,Jackson,R. Jackson,,,,,3.73,Missed,,,,,,,,,,,,,,,,,,
69,PT04M33.00S,2022-03-13T19:22:49.0Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,17,4,2022-03-13T19:22:49Z,690000,,,0,,S. Bey REBOUND (Off:0 Def:3),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,68.0,3.0,3.0,0.0,,,,,,,,,,,,,,
70,PT04M29.00S,2022-03-13T19:22:53.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630180,73.76806833114324,90.44117647058823,1610612765,17,4,2022-03-13T19:22:57Z,700000,202.0,194.0,1,right,MISS S. Bey 28' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,28.03,Missed,,,,,,,,,,,,,,,,,,
71,PT04M27.00S,2022-03-13T19:22:55.6Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,17,4,2022-03-13T19:22:55Z,710000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,,
72,PT04M23.00S,2022-03-13T19:23:13.1Z,1,REGULAR,2pt,Jump Shot,[],202694,13.272010512483575,69.88740808823529,1610612746,17,6,2022-03-13T19:23:24Z,720000,-99.0,72.0,1,left,M. Morris Sr. 12' driving bank Jump Shot (4 PTS) (A. Coffey 1 AST),"[202694, 1629599]",1610612746.0,LAC,driving bank,,,Morris Sr.,M. Morris Sr.,,,,,12.29,Made,,,,,4.0,,,A. Coffey,1629599.0,1.0,,,,,,,,
74,PT04M23.00S,2022-03-13T19:23:17.2Z,1,REGULAR,foul,personal,['1freethrow'],202709,,,1610612746,17,6,2022-03-13T19:23:31Z,740000,,,0,,C. Joseph shooting personal FOUL (1 PF) (Morris Sr. 1 FT),"[202709, 202694]",1610612765.0,DET,shooting,,,Joseph,C. Joseph,,,,,,,,,,,,204058.0,,,,,1.0,0.0,Morris Sr.,202694.0,,,,
76,PT04M23.00S,2022-03-13T19:23:32.0Z,1,REGULAR,substitution,out,[],1627826,,,1610612746,17,6,2022-03-13T19:23:59Z,760000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M23.00S,2022-03-13T19:23:32.0Z,1,REGULAR,substitution,in,[],1628392,,,1610612746,17,6,2022-03-13T19:23:59Z,770000,,,0,,SUB in: I. Hartenstein,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M23.00S,2022-03-13T19:23:32.0Z,1,REGULAR,substitution,out,[],1629599,,,1610612746,17,6,2022-03-13T19:24:46Z,775000,,,0,,SUB out: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M23.00S,2022-03-13T19:23:32.0Z,1,REGULAR,substitution,in,[],1628379,,,1610612746,17,6,2022-03-13T19:24:46Z,777500,,,0,,SUB in: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M23.00S,2022-03-13T19:23:46.3Z,1,REGULAR,freethrow,1 of 1,[],202694,,,1610612746,17,7,2022-03-13T19:23:46Z,780000,,,0,,M. Morris Sr. Free Throw 1 of 1 (5 PTS),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
79,PT04M04.00S,2022-03-13T19:23:57.1Z,1,REGULAR,3pt,Jump Shot,[],202709,93.08475689881735,97.30392156862744,1610612765,17,7,2022-03-13T19:24:01Z,790000,237.0,13.0,1,right,MISS C. Joseph 3PT,[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,23.68,Missed,,,,,,,,,,,,,,,,,,
80,PT04M02.00S,2022-03-13T19:23:59.1Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,17,7,2022-03-13T19:24:01Z,800000,,,0,,R. Jackson REBOUND (Off:0 Def:3),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,79.0,3.0,3.0,0.0,,,,,,,,,,,,,,
81,PT03M55.00S,2022-03-13T19:24:06.5Z,1,REGULAR,3pt,Jump Shot,[],1628379,27.33245729303549,15.173100490196077,1610612746,17,7,2022-03-13T19:24:14Z,810000,174.0,204.0,1,left,MISS L. Kennard 26' 3PT,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,26.85,Missed,,,,,,,,,,,,,,,,,,
82,PT03M50.00S,2022-03-13T19:24:11.5Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,17,7,2022-03-13T19:24:11Z,820000,,,0,,S. Bey REBOUND (Off:0 Def:4),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,81.0,4.0,4.0,0.0,,,,,,,,,,,,,,
85,PT03M33.00S,2022-03-13T19:24:27.7Z,1,REGULAR,2pt,Jump Shot,[],1630180,92.0335085413929,90.93137254901961,1610612765,17,7,2022-03-13T19:24:32Z,850000,205.0,22.0,1,right,MISS S. Bey 20' Jump Shot,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,20.59,Missed,,,,,,,,,,,,,,,,,,
86,PT03M30.00S,2022-03-13T19:24:30.7Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,17,7,2022-03-13T19:24:32Z,860000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:2),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,85.0,2.0,2.0,0.0,,,,,,,,,,,,,,
87,PT03M19.00S,2022-03-13T19:24:41.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629611,7.802233902759525,47.30392156862745,1610612746,17,7,2022-03-13T19:24:50Z,870000,13.0,21.0,1,left,MISS T. Mann driving Layup,[1629611],1610612746.0,LAC,driving,,,Mann,T. Mann,,,,,2.48,Missed,,,,,,,,,,,,,,,,,,
