actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
13,PT10M28.00S,2022-01-16T18:13:17.3Z,1,REGULAR,3pt,Jump Shot,[],1626164,67.88764783180025,58.82352941176471,1610612756,4,5,2022-01-16T18:13:21Z,130000,44.0,249.0,1,right,D. Booker 25' 3PT  (5 PTS) (D. Ayton 1 AST),"[1626164, 1629028]",1610612756.0,PHX,,,,,,,,Booker,D. Booker,25.33,Made,,,,,5.0,D. Ayton,1629028.0,1.0,,,,,,,,,,,
15,PT10M08.00S,2022-01-16T18:13:37.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630165,9.017739816031538,56.372549019607845,1610612765,6,5,2022-01-16T18:13:43Z,150000,-32.0,32.0,1,left,K. Hayes driving Layup (2 PTS),[1630165],1610612765.0,DET,driving,,,,,,,Hayes,K. Hayes,4.54,Made,,,,,2.0,,,,,,,,,,,,,,
16,PT09M54.00S,2022-01-16T18:13:53.4Z,1,REGULAR,foul,personal,['2freethrow'],1630595,,,1610612756,6,5,2022-01-16T18:14:08Z,160000,,,0,,C. Cunningham shooting personal FOUL (1 PF) (Booker 2 FT),"[1630595, 1626164]",1610612765.0,DET,shooting,,,,,,1628172.0,Cunningham,C. Cunningham,,,,,,,,,,,1.0,0.0,Booker,1626164.0,,,,,,,
18,PT09M54.00S,2022-01-16T18:14:21.5Z,1,REGULAR,freethrow,1 of 2,[],1626164,,,1610612756,6,5,2022-01-16T18:14:21Z,180000,,,0,,MISS D. Booker Free Throw 1 of 2,[1626164],1610612756.0,PHX,,,,,,,,Booker,D. Booker,,Missed,,,,,,,,,,,,,,,,,,,
19,PT09M54.00S,2022-01-16T18:14:21.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,6,5,2022-01-16T18:14:21Z,190000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,
20,PT09M54.00S,2022-01-16T18:14:37.2Z,1,REGULAR,freethrow,2 of 2,[],1626164,,,1610612756,6,6,2022-01-16T18:14:37Z,200000,,,0,,D. Booker Free Throw 2 of 2 (6 PTS),[1626164],1610612756.0,PHX,,,,,,,,Booker,D. Booker,,Made,,,,,6.0,,,,,,,,,,,,,,
21,PT09M41.00S,2022-01-16T18:14:53.8Z,1,REGULAR,turnover,out-of-bounds,[],1630180,,,1610612765,6,6,2022-01-16T18:15:01Z,210000,,,0,,S. Bey bad pass out-of-bounds TURNOVER (1 TO),[1630180],1610612765.0,DET,bad pass,,,,,,201246.0,Bey,S. Bey,,,,,,,,,,,,,,,1.0,,,,,,
22,PT09M33.00S,2022-01-16T18:15:05.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],101108,87.46714848883047,68.87254901960785,1610612756,6,6,2022-01-16T18:15:10Z,220000,94.0,65.0,1,right,MISS C. Paul 11' pullup Shot,[101108],1610612756.0,PHX,pullup,,,,,,,Paul,C. Paul,11.48,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M30.00S,2022-01-16T18:15:08.6Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,6,6,2022-01-16T18:15:10Z,230000,,,0,,H. Diallo REBOUND (Off:0 Def:1),[1628977],1610612765.0,DET,,,,,,,,Diallo,H. Diallo,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
24,PT09M23.00S,2022-01-16T18:15:15.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,7.178055190538765,44.85294117647059,1610612765,8,6,2022-01-16T18:15:20Z,240000,26.0,15.0,1,left,I. Stewart Layup (2 PTS) (K. Hayes 1 AST),"[1630191, 1630165]",1610612765.0,DET,,,,,,,,Stewart,I. Stewart,2.98,Made,,,,,2.0,K. Hayes,1630165.0,1.0,,,,,,,,,,,
26,PT09M14.00S,2022-01-16T18:15:26.6Z,1,REGULAR,turnover,out-of-bounds,[],1629028,,,1610612756,8,6,2022-01-16T18:21:27Z,260000,,,0,,D. Ayton lost ball out-of-bounds TURNOVER (1 TO),[1629028],1610612756.0,PHX,lost ball,,,,,,201246.0,Ayton,D. Ayton,,,,,,,,,,,,,,,1.0,,,,,,
27,PT09M06.00S,2022-01-16T18:15:44.1Z,1,REGULAR,foul,personal,[],1628969,,,1610612765,8,6,2022-01-16T18:15:53Z,270000,,,0,,M. Bridges personal FOUL (1 PF),"[1628969, 1630165]",1610612756.0,PHX,,,,,,,201246.0,Bridges,M. Bridges,,,,,,,,,,,1.0,0.0,Hayes,1630165.0,,,,,,,
29,PT08M53.00S,2022-01-16T18:16:18.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628977,8.09789750328515,22.794117647058822,1610612765,10,6,2022-01-16T18:16:23Z,290000,136.0,24.0,1,left,H. Diallo 13' pullup Jump Shot (2 PTS) (I. Stewart 1 AST),"[1628977, 1630191]",1610612765.0,DET,pullup,,,,,,,Diallo,H. Diallo,13.8,Made,,,,,2.0,I. Stewart,1630191.0,1.0,,,,,,,,,,,
31,PT08M31.00S,2022-01-16T18:16:41.3Z,1,REGULAR,2pt,Jump Shot,[],1629028,94.56307490144546,69.11764705882352,1610612756,10,8,2022-01-16T18:16:46Z,310000,96.0,-1.0,1,right,D. Ayton 9' Jump Shot (2 PTS) (M. Bridges 1 AST),"[1629028, 1628969]",1610612756.0,PHX,,,,,,,,Ayton,D. Ayton,9.56,Made,,,,,2.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,
33,PT08M14.00S,2022-01-16T18:16:57.9Z,1,REGULAR,turnover,bad pass,[],1630165,,,1610612765,10,8,2022-01-16T18:17:02Z,330000,,,0,,K. Hayes bad pass TURNOVER (1 TO),"[1630165, 203109]",1610612765.0,DET,,,,,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,1.0,Crowder,203109.0,,,,
34,PT08M14.00S,2022-01-16T18:16:57.9Z,1,REGULAR,steal,,[],203109,,,1610612756,10,8,2022-01-16T18:17:00Z,340000,,,0,,J. Crowder STEAL (1 STL),[203109],1610612756.0,PHX,,,,,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,
38,PT08M09.00S,2022-01-16T18:17:19.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,10,8,2022-01-16T18:17:19Z,380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M05.00S,2022-01-16T18:17:22.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626164,86.28449408672799,39.950980392156865,1610612756,10,10,2022-01-16T18:22:21Z,390000,-50.0,76.0,1,right,D. Booker 9' fadeaway Jump Shot (8 PTS) (C. Paul 2 AST),"[1626164, 101108]",1610612756.0,PHX,fadeaway,,,,,,,Booker,D. Booker,9.14,Made,,,,,8.0,C. Paul,101108.0,2.0,,,,,,,,,,,
41,PT07M48.00S,2022-01-16T18:17:42.2Z,1,REGULAR,turnover,traveling,[],1628977,,,1610612765,10,10,2022-01-16T18:17:48Z,410000,,,0,,H. Diallo traveling TURNOVER (1 TO),[1628977],1610612765.0,DET,,,,,,,204058.0,Diallo,H. Diallo,,,,,,,,,,,,,,,1.0,,,,,,
42,PT07M40.00S,2022-01-16T18:17:57.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629028,89.96386333771353,46.07843137254902,1610612756,10,12,2022-01-16T18:18:04Z,420000,-20.0,42.0,1,right,D. Ayton cutting DUNK (4 PTS) (C. Paul 3 AST),"[1629028, 101108]",1610612756.0,PHX,cutting,,,,,,,Ayton,D. Ayton,4.62,Made,,,,,4.0,C. Paul,101108.0,3.0,,,,,,,,,,,
44,PT07M23.00S,2022-01-16T18:18:16.8Z,1,REGULAR,foul,personal,[],1626164,,,1610612765,10,12,2022-01-16T18:18:43Z,440000,,,0,,D. Booker personal FOUL (1 PF),"[1626164, 1630595]",1610612756.0,PHX,,,,,,,1628172.0,Booker,D. Booker,,,,,,,,,,,1.0,0.0,Cunningham,1630595.0,,,,,,,
46,PT07M19.00S,2022-01-16T18:18:40.5Z,1,REGULAR,turnover,bad pass,[],1630191,,,1610612765,10,12,2022-01-16T18:18:46Z,460000,,,0,,I. Stewart bad pass TURNOVER (1 TO),"[1630191, 1629028]",1610612765.0,DET,,,,,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,1.0,Ayton,1629028.0,,,,
47,PT07M19.00S,2022-01-16T18:18:40.5Z,1,REGULAR,steal,,[],1629028,,,1610612756,10,12,2022-01-16T18:18:43Z,470000,,,0,,D. Ayton STEAL (1 STL),[1629028],1610612756.0,PHX,,,,,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,
48,PT07M06.00S,2022-01-16T18:18:53.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,71.82982917214193,20.833333333333336,1610612756,10,12,2022-01-16T18:19:00Z,480000,-146.0,212.0,1,right,MISS D. Booker 25' 3PT,[1626164],1610612756.0,PHX,,,,,,,,Booker,D. Booker,25.75,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M03.00S,2022-01-16T18:18:56.9Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,10,12,2022-01-16T18:19:00Z,490000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,,,,,Cunningham,C. Cunningham,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
50,PT06M59.00S,2022-01-16T18:19:00.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630165,7.966491458607096,46.32352941176471,1610612765,12,12,2022-01-16T18:19:06Z,500000,18.0,22.0,1,left,K. Hayes running DUNK (4 PTS) (C. Cunningham 1 AST),"[1630165, 1630595]",1610612765.0,DET,running,,,,,,,Hayes,K. Hayes,2.9,Made,,,,,4.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,
52,PT06M45.00S,2022-01-16T18:19:15.0Z,1,REGULAR,3pt,Jump Shot,[],203109,67.62483574244416,66.42156862745098,1610612756,12,15,2022-01-16T18:19:19Z,520000,82.0,252.0,1,right,J. Crowder 26' 3PT  (3 PTS) (D. Ayton 2 AST),"[203109, 1629028]",1610612756.0,PHX,,,,,,,,Crowder,J. Crowder,26.48,Made,,,,,3.0,D. Ayton,1629028.0,2.0,,,,,,,,,,,
54,PT06M38.00S,2022-01-16T18:19:25.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,12,15,2022-01-16T18:19:25Z,540000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M22.00S,2022-01-16T18:22:46.3Z,1,REGULAR,2pt,Jump Shot,[],1630165,19.136005256241788,70.34313725490196,1610612765,12,15,2022-01-16T18:23:57Z,550000,-102.0,127.0,1,left,MISS K. Hayes 16' pullup Shot,[1630165],1610612765.0,DET,pullup,,,,,,,Hayes,K. Hayes,16.3,Missed,,,,,,,,,,,,,,,,,,,
56,PT06M18.00S,2022-01-16T18:22:50.3Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,12,15,2022-01-16T18:22:52Z,560000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,,,,,Paul,C. Paul,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
57,PT06M07.00S,2022-01-16T18:23:01.4Z,1,REGULAR,3pt,Jump Shot,[],1628969,76.2976346911958,86.27450980392157,1610612756,12,18,2022-01-16T18:23:07Z,570000,181.0,170.0,1,right,M. Bridges 24' 3PT  (3 PTS) (J. Crowder 1 AST),"[1628969, 203109]",1610612756.0,PHX,,,,,,,,Bridges,M. Bridges,24.88,Made,,,,,3.0,J. Crowder,203109.0,1.0,,,,,,,,,,,
59,PT05M56.00S,2022-01-16T18:23:20.6Z,1,REGULAR,foul,technical,['1freethrow'],1629028,,,1610612765,12,18,2022-01-16T18:23:40Z,590000,,,0,,D. Ayton defensive-3-second technical FOUL (1 Tech),[1629028],1610612756.0,PHX,defensive-3-second,,,,,,201246.0,Ayton,D. Ayton,,,,,,,,,,,0.0,1.0,,,,,,,,,
60,PT05M56.00S,2022-01-16T18:23:46.8Z,1,REGULAR,freethrow,1 of 1,[],1630595,,,1610612765,13,18,2022-01-16T18:23:46Z,600000,,,0,,C. Cunningham technical Free Throw 1 of 1 (5 PTS),[1630595],1610612765.0,DET,technical,,,,,,,Cunningham,C. Cunningham,,Made,,,,,5.0,,,,,,,,,,,,,,
61,PT05M51.00S,2022-01-16T18:24:07.2Z,1,REGULAR,2pt,Jump Shot,[],1630595,21.895532194480946,33.57843137254902,1610612765,13,18,2022-01-16T18:24:11Z,610000,82.0,153.0,1,left,MISS C. Cunningham 17' Jump Shot,[1630595],1610612765.0,DET,,,,,,,,Cunningham,C. Cunningham,17.39,Missed,,,,,,,,,,,,,,,,,,,
62,PT05M48.00S,2022-01-16T18:24:10.2Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,13,18,2022-01-16T18:24:11Z,620000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,,,,,Bridges,M. Bridges,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
63,PT05M37.00S,2022-01-16T18:24:20.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,87.99277266754271,35.78431372549019,1610612756,13,20,2022-01-16T18:24:25Z,630000,-71.0,60.0,1,right,D. Ayton 9' turnaround Hook (6 PTS) (M. Bridges 2 AST),"[1629028, 1628969]",1610612756.0,PHX,turnaround,,,,,,,Ayton,D. Ayton,9.33,Made,,,,,6.0,M. Bridges,1628969.0,2.0,,,,,,,,,,,
65,PT05M30.00S,2022-01-16T18:24:27.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630180,8.09789750328515,94.6078431372549,1610612765,13,20,2022-01-16T18:24:32Z,650000,-223.0,24.0,1,left,MISS S. Bey 3PT,[1630180],1610612765.0,DET,,,,,,,,Bey,S. Bey,22.42,Missed,,,,,,,,,,,,,,,,,,,
66,PT05M28.00S,2022-01-16T18:24:29.3Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,13,20,2022-01-16T18:24:32Z,660000,,,0,,C. Paul REBOUND (Off:0 Def:2),[101108],1610612756.0,PHX,,,,,,,,Paul,C. Paul,,,65.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
67,PT05M20.00S,2022-01-16T18:24:37.7Z,1,REGULAR,2pt,Jump Shot,[],101108,90.48948751642575,74.01960784313727,1610612756,13,22,2022-01-16T18:24:43Z,670000,120.0,37.0,1,right,C. Paul 12' fadeaway Jump Shot (2 PTS),[101108],1610612756.0,PHX,fadeaway,,,,,,,Paul,C. Paul,12.56,Made,,,,,2.0,,,,,,,,,,,,,,
68,PT05M04.00S,2022-01-16T18:24:53.2Z,1,REGULAR,3pt,Jump Shot,[],1630595,27.201051248357423,19.875919117647058,1610612765,16,22,2022-01-16T18:25:26Z,680000,151.0,203.0,1,left,C. Cunningham 25' 3PT pullup (8 PTS),[1630595],1610612765.0,DET,pullup,,,,,,,Cunningham,C. Cunningham,25.29,Made,,,,,8.0,,,,,,,,,,,,,,
69,PT04M48.00S,2022-01-16T18:25:09.5Z,1,REGULAR,3pt,Jump Shot,[],1628969,95.48291721419186,96.32352941176471,1610612756,16,25,2022-01-16T18:25:14Z,690000,232.0,-10.0,1,right,M. Bridges 3PT  (6 PTS) (C. Paul 4 AST),"[1628969, 101108]",1610612756.0,PHX,,,,,,,,Bridges,M. Bridges,23.18,Made,,,,,6.0,C. Paul,101108.0,4.0,,,,,,,,,,,
71,PT04M31.00S,2022-01-16T18:25:26.6Z,1,REGULAR,2pt,Jump Shot,[],1630595,21.895532194480946,56.127450980392155,1610612765,18,25,2022-01-16T18:25:30Z,710000,-31.0,153.0,1,left,C. Cunningham 15' Jump Shot (10 PTS),[1630595],1610612765.0,DET,,,,,,,,Cunningham,C. Cunningham,15.63,Made,,,,,10.0,,,,,,,,,,,,,,
72,PT04M23.00S,2022-01-16T18:25:39.3Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,18,25,2022-01-16T18:25:45Z,720000,,,0,,D. Booker lost ball out-of-bounds TURNOVER (1 TO),[1626164],1610612756.0,PHX,lost ball,,,,,,204058.0,Booker,D. Booker,,,,,,,,,,,,,,,1.0,,,,,,
74,PT04M23.00S,2022-01-16T18:26:04.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,18,25,2022-01-16T18:28:19Z,725000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M23.00S,2022-01-16T18:26:30.6Z,1,REGULAR,timeout,full,['team'],0,,,1610612765,18,25,2022-01-16T18:26:30Z,730000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M23.00S,2022-01-16T18:28:22.6Z,1,REGULAR,substitution,out,[],1629028,,,1610612765,18,25,2022-01-16T18:29:02Z,740000,,,0,,SUB out: D. Ayton,[1629028],1610612756.0,PHX,,,,,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,
76,PT04M23.00S,2022-01-16T18:28:22.6Z,1,REGULAR,substitution,out,[],101108,,,1610612765,18,25,2022-01-16T18:29:02Z,750000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,
77,PT04M23.00S,2022-01-16T18:28:22.6Z,1,REGULAR,substitution,in,[],201580,,,1610612765,18,25,2022-01-16T18:29:02Z,760000,,,0,,SUB in: J. McGee,[201580],1610612756.0,PHX,,,,,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,
78,PT04M23.00S,2022-01-16T18:28:22.6Z,1,REGULAR,substitution,in,[],1626166,,,1610612765,18,25,2022-01-16T18:29:02Z,770000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,
79,PT04M10.00S,2022-01-16T18:29:30.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628977,6.915243101182654,54.90196078431373,1610612765,20,25,2022-01-16T18:29:35Z,780000,-25.0,13.0,1,left,H. Diallo cutting DUNK (4 PTS) (K. Hayes 2 AST),"[1628977, 1630165]",1610612765.0,DET,cutting,,,,,,,Diallo,H. Diallo,2.75,Made,,,,,4.0,K. Hayes,1630165.0,2.0,,,,,,,,,,,
81,PT03M55.00S,2022-01-16T18:29:44.3Z,1,REGULAR,turnover,lost ball,[],201580,,,1610612756,20,25,2022-01-16T18:29:51Z,800000,,,0,,J. McGee lost ball TURNOVER (1 TO),"[201580, 1630191]",1610612756.0,PHX,,,,,,,,McGee,J. McGee,,,,,,,,,,,,,,,1.0,Stewart,1630191.0,,,,
82,PT03M55.00S,2022-01-16T18:29:44.3Z,1,REGULAR,steal,,[],1630191,,,1610612765,20,25,2022-01-16T18:29:46Z,810000,,,0,,I. Stewart STEAL (1 STL),[1630191],1610612765.0,DET,,,,,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,
83,PT03M52.00S,2022-01-16T18:29:49.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628977,6.258212877792378,37.5,1610612765,22,25,2022-01-16T18:29:56Z,820000,62.0,6.0,1,left,H. Diallo 6' running Layup (6 PTS),[1628977],1610612765.0,DET,running,,,,,,,Diallo,H. Diallo,6.28,Made,,,,,6.0,,,,,,,,,,,,,,
84,PT03M52.00S,2022-01-16T18:29:53.3Z,1,REGULAR,foul,personal,['1freethrow'],1626166,,,1610612765,22,25,2022-01-16T18:30:03Z,830000,,,0,,C. Payne shooting personal FOUL (1 PF) (Diallo 1 FT),"[1626166, 1628977]",1610612756.0,PHX,shooting,,,,,,204058.0,Payne,C. Payne,,,,,,,,,,,1.0,0.0,Diallo,1628977.0,,,,,,,
86,PT03M52.00S,2022-01-16T18:30:14.7Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1628977,,,1610612765,23,25,2022-01-16T18:30:14Z,850000,,,0,,H. Diallo Free Throw 1 of 1 (7 PTS),[1628977],1610612765.0,DET,,,,,,,,Diallo,H. Diallo,,Made,,,,,7.0,,,,,,,,,,,,,,
87,PT03M33.00S,2022-01-16T18:30:35.3Z,1,REGULAR,2pt,Jump Shot,[],1626164,92.72339027595268,82.59803921568627,1610612756,23,27,2022-01-16T18:30:44Z,860000,163.0,16.0,1,right,D. Booker 16' fadeaway Jump Shot (10 PTS),[1626164],1610612756.0,PHX,fadeaway,,,,,,,Booker,D. Booker,16.38,Made,,,,,10.0,,,,,,,,,,,,,,
88,PT03M33.00S,2022-01-16T18:30:42.3Z,1,REGULAR,foul,personal,['1freethrow'],1628977,,,1610612756,23,27,2022-01-16T18:37:18Z,870000,,,0,,H. Diallo flagrant-type-1 personal FOUL (1 PF) (Booker 1 FT),"[1628977, 1626164]",1610612765.0,DET,flagrant-type-1,,,,,,204058.0,Diallo,H. Diallo,,,,,,,,,,,1.0,0.0,Booker,1626164.0,,,,,,,
90,PT03M33.00S,2022-01-16T18:31:17.9Z,1,REGULAR,instantreplay,request,[],0,,,1610612756,23,27,2022-01-16T18:33:25Z,890000,,,0,,,[],,,overturned,,,,,,1628172.0,,,,,,,,,,,,,,,,,,,,Common Foul to Flagrant 1,,,
91,PT03M33.00S,2022-01-16T18:32:49.1Z,1,REGULAR,substitution,out,[],1630165,,,1610612756,23,27,2022-01-16T18:33:25Z,900000,,,0,,SUB out: K. Hayes,[1630165],1610612765.0,DET,,,,,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,
92,PT03M33.00S,2022-01-16T18:32:49.1Z,1,REGULAR,substitution,out,[],1630191,,,1610612756,23,27,2022-01-16T18:33:25Z,910000,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,
93,PT03M33.00S,2022-01-16T18:32:49.1Z,1,REGULAR,substitution,out,[],1628969,,,1610612756,23,27,2022-01-16T18:33:25Z,920000,,,0,,SUB out: M. Bridges,[1628969],1610612756.0,PHX,,,,,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,
94,PT03M33.00S,2022-01-16T18:32:49.1Z,1,REGULAR,substitution,out,[],203109,,,1610612756,23,27,2022-01-16T18:33:25Z,930000,,,0,,SUB out: J. Crowder,[203109],1610612756.0,PHX,,,,,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,
