actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,value
17,PT10M21.00S,2022-03-27T19:44:00.3Z,1,REGULAR,block,,[],1630595,,,1610612752,4,4,2022-03-27T19:44:09Z,170000,,,0,,C. Cunningham BLOCK (1 BLK),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M19.00S,2022-03-27T19:44:02.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,4,4,2022-03-27T19:44:20Z,180000,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,
18,PT10M19.00S,2022-03-27T19:44:18.5Z,1,REGULAR,jumpball,recovered,[],1630191,,,1610612765,4,4,2022-03-27T19:45:43Z,190000,,,0,,Jump Ball C. Cunningham vs. E. Fournier: Tip to I. Stewart,"[1630191, 1630595, 203095]",1610612765.0,DET,heldball,I. Stewart,1630191.0,Stewart,I. Stewart,Cunningham,1630595.0,Fournier,203095.0,,,,,,,,,,,,,,,,,,,,,
22,PT10M09.00S,2022-03-27T19:44:29.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,7.013797634691201,48.0392156862745,1610612765,4,4,2022-03-27T19:48:45Z,220000,10.0,13.0,1,left,MISS C. Cunningham driving Layup - blocked,"[1630595, 1629011]",1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,,,,,,Missed,,1.66,,,,Robinson,1629011.0,,,,,,,,
23,PT10M09.00S,2022-03-27T19:44:29.2Z,1,REGULAR,block,,[],1629011,,,1610612765,4,4,2022-03-27T19:44:33Z,230000,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M06.00S,2022-03-27T19:44:32.2Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,4,4,2022-03-27T19:44:34Z,240000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,
25,PT10M06.00S,2022-03-27T19:44:39.9Z,1,REGULAR,foul,personal,['2freethrow'],1630595,,,1610612752,4,4,2022-03-27T19:44:54Z,250000,,,0,,C. Cunningham shooting personal FOUL (1 PF) (Burks 2 FT),"[1630595, 202692]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,1627961.0,1.0,0.0,Burks,202692.0,,,,,,,,,,,,,,,,
27,PT10M06.00S,2022-03-27T19:45:03.3Z,1,REGULAR,freethrow,1 of 2,[],202692,,,1610612752,4,5,2022-03-27T19:45:03Z,270000,,,0,,A. Burks Free Throw 1 of 2 (1 PTS),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
28,PT10M06.00S,2022-03-27T19:45:20.9Z,1,REGULAR,freethrow,2 of 2,[],202692,,,1610612752,4,6,2022-03-27T19:45:20Z,280000,,,0,,A. Burks Free Throw 2 of 2 (2 PTS),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
29,PT09M55.00S,2022-03-27T19:45:34.5Z,1,REGULAR,3pt,Jump Shot,[],1630180,30.404073587385014,26.470588235294116,1610612765,4,6,2022-03-27T19:45:47Z,290000,118.0,233.0,1,left,MISS S. Bey 26' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,Missed,,26.13,,,,,,,,,,,,,
30,PT09M51.00S,2022-03-27T19:45:38.0Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,4,6,2022-03-27T19:45:38Z,300000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,
31,PT09M42.00S,2022-03-27T19:45:46.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,93.2161629434954,51.22549019607843,1610612752,4,6,2022-03-27T19:45:51Z,310000,6.0,11.0,1,right,MISS R. Barrett driving Layup - blocked,"[1629628, 1630191]",1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,,,,,,Missed,,1.28,,,,Stewart,1630191.0,,,,,,,,
32,PT09M42.00S,2022-03-27T19:45:46.7Z,1,REGULAR,block,,[],1630191,,,1610612752,4,6,2022-03-27T19:45:49Z,320000,,,0,,I. Stewart BLOCK (1 BLK),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M39.00S,2022-03-27T19:45:49.7Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,4,6,2022-03-27T19:45:51Z,330000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,
34,PT09M37.00S,2022-03-27T19:45:52.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628963,7.408015768725363,51.22549019607843,1610612765,6,6,2022-03-27T19:45:58Z,340000,-6.0,17.0,1,left,M. Bagley III running DUNK (6 PTS) (S. Bey 1 AST),"[1628963, 1630180]",1610612765.0,DET,running,,,Bagley III,M. Bagley III,,,,,,,,,,Made,6.0,1.82,S. Bey,1630180.0,1.0,,,,,,,,,,
36,PT09M18.00S,2022-03-27T19:46:13.5Z,1,REGULAR,3pt,Jump Shot,[],203095,65.62089356110381,51.71568627450981,1610612752,6,9,2022-03-27T19:46:25Z,360000,9.0,271.0,1,right,E. Fournier 27' 3PT  (5 PTS) (J. Randle 1 AST),"[203095, 203944]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,Made,5.0,27.08,J. Randle,203944.0,1.0,,,,,,,,,,
38,PT09M00.00S,2022-03-27T19:46:32.0Z,1,REGULAR,3pt,Jump Shot,[],202709,30.798291721419176,73.2843137254902,1610612765,9,9,2022-03-27T19:46:36Z,380000,-116.0,237.0,1,left,C. Joseph 26' 3PT  (3 PTS) (C. Cunningham 2 AST),"[202709, 1630595]",1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,Made,3.0,26.4,C. Cunningham,1630595.0,2.0,,,,,,,,,,
40,PT08M46.00S,2022-03-27T19:46:45.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202692,91.37647831800263,59.068627450980394,1610612752,9,11,2022-03-27T19:46:51Z,400000,45.0,29.0,1,right,A. Burks driving Layup (4 PTS),[202692],1610612752.0,NYK,driving,,,Burks,A. Burks,,,,,,,,,,Made,4.0,5.36,,,,,,,,,,,,,
41,PT08M32.00S,2022-03-27T19:46:59.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,18.577529566360056,41.17647058823529,1610612765,9,11,2022-03-27T19:47:05Z,410000,44.0,122.0,1,left,MISS C. Cunningham 12' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,,,,,,Missed,,12.98,,,,,,,,,,,,,
42,PT08M27.00S,2022-03-27T19:47:04.5Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,9,11,2022-03-27T19:47:04Z,420000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,
43,PT08M22.00S,2022-03-27T19:47:09.8Z,1,REGULAR,3pt,Jump Shot,[],1629628,76.00197109067017,87.5,1610612752,9,11,2022-03-27T19:47:16Z,430000,188.0,173.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,Missed,,25.52,,,,,,,,,,,,,
44,PT08M20.00S,2022-03-27T19:47:12.4Z,1,REGULAR,rebound,offensive,[],202692,,,1610612752,9,11,2022-03-27T19:47:12Z,440000,,,0,,A. Burks REBOUND (Off:1 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,43.0,2.0,1.0,1.0,,,,
45,PT08M17.00S,2022-03-27T19:47:14.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629628,67.85479632063075,56.61764705882353,1610612752,9,11,2022-03-27T19:47:18Z,450000,33.0,250.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,Missed,,25.19,,,,,,,,,,,,,
46,PT08M17.00S,2022-03-27T19:47:14.1Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612752,9,11,2022-03-27T19:47:18Z,460000,,,0,,R. Barrett REBOUND (Off:1 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,45.0,2.0,1.0,1.0,,,,
47,PT08M08.00S,2022-03-27T19:47:24.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,67.06636005256242,50.0,1610612752,9,11,2022-03-27T19:47:39Z,470000,0.0,257.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,Missed,,25.71,,,,,,,,,,,,,
48,PT08M04.00S,2022-03-27T19:47:28.1Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,9,11,2022-03-27T19:47:39Z,480000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,
49,PT07M52.00S,2022-03-27T19:47:41.2Z,1,REGULAR,foul,personal,[],203095,,,1610612765,9,11,2022-03-27T19:48:02Z,490000,,,0,,E. Fournier personal FOUL (1 PF),"[203095, 1630180]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,1627529.0,1.0,0.0,Bey,1630180.0,,,,,,,,,,,,,,,,
51,PT07M44.00S,2022-03-27T19:48:11.2Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612765,9,11,2022-03-27T19:48:24Z,510000,,,0,,M. Robinson shooting personal FOUL (1 PF) (Cunningham 2 FT),"[1629011, 1630595]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,200832.0,1.0,0.0,Cunningham,1630595.0,,,,,,,,,,,,,,,,
53,PT07M44.00S,2022-03-27T19:48:41.0Z,1,REGULAR,freethrow,1 of 2,[],1630595,,,1610612765,10,11,2022-03-27T19:48:59Z,530000,,,0,,C. Cunningham Free Throw 1 of 2 (1 PTS),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
54,PT07M44.00S,2022-03-27T19:48:41.0Z,1,REGULAR,freethrow,2 of 2,[],1630595,,,1610612765,10,11,2022-03-27T19:48:59Z,540000,,,0,,MISS C. Cunningham Free Throw 2 of 2,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,Missed,,,,,,,,,,,,,,,
55,PT07M40.00S,2022-03-27T19:48:45.0Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,10,11,2022-03-27T19:48:59Z,550000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,54.0,1.0,1.0,0.0,,,,
56,PT07M18.00S,2022-03-27T19:49:40.5Z,1,REGULAR,jumpball,recovered,[],1630180,,,1610612752,10,11,2022-03-27T19:49:40Z,560000,,,0,,Jump Ball I. Stewart vs. E. Fournier: Tip to S. Bey,"[1630180, 1630191, 203095]",1610612765.0,DET,heldball,S. Bey,1630180.0,Bey,S. Bey,Stewart,1630191.0,Fournier,203095.0,,,,,,,,,,,,,,,,,,,,,
59,PT07M18.00S,2022-03-27T19:49:40.5Z,1,REGULAR,turnover,lost ball,[],203095,,,1610612752,10,11,2022-03-27T19:49:40Z,590000,,,0,,E. Fournier lost ball TURNOVER (1 TO),"[203095, 1630191]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,1.0,Stewart,1630191.0,
60,PT07M18.00S,2022-03-27T19:49:40.5Z,1,REGULAR,steal,,[],1630191,,,1610612765,10,11,2022-03-27T19:49:40Z,600000,,,0,,I. Stewart STEAL (1 STL),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M11.00S,2022-03-27T19:49:47.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628963,7.539421813403408,44.85294117647059,1610612765,12,11,2022-03-27T19:52:32Z,610000,26.0,18.0,1,left,M. Bagley III driving Layup (8 PTS) (C. Cunningham 3 AST),"[1628963, 1630595]",1610612765.0,DET,driving,,,Bagley III,M. Bagley III,,,,,,,,,,Made,8.0,3.16,C. Cunningham,1630595.0,3.0,,,,,,,,,,
63,PT06M55.00S,2022-03-27T19:50:05.7Z,1,REGULAR,foul,personal,['2freethrow'],202709,,,1610612752,12,11,2022-03-27T19:51:40Z,630000,,,0,,C. Joseph shooting personal FOUL (1 PF) (Randle 2 FT),"[202709, 203944]",1610612765.0,DET,shooting,,,Joseph,C. Joseph,,,,,200832.0,1.0,0.0,Randle,203944.0,,,,,,,,,,,,,,,,
65,PT06M55.00S,2022-03-27T19:50:25.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,12,11,2022-03-27T19:50:25Z,650000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M55.00S,2022-03-27T19:53:20.1Z,1,REGULAR,freethrow,1 of 2,[],203944,,,1610612752,12,12,2022-03-27T19:53:45Z,660000,,,0,,J. Randle Free Throw 1 of 2 (1 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
67,PT06M55.00S,2022-03-27T19:53:20.1Z,1,REGULAR,freethrow,2 of 2,[],203944,,,1610612752,12,12,2022-03-27T19:53:45Z,670000,,,0,,MISS J. Randle Free Throw 2 of 2,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,Missed,,,,,,,,,,,,,,,
68,PT06M50.00S,2022-03-27T19:53:25.1Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,12,12,2022-03-27T19:53:45Z,680000,,,0,,C. Joseph REBOUND (Off:0 Def:1),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,67.0,1.0,1.0,0.0,,,,
69,PT06M36.00S,2022-03-27T19:53:59.9Z,1,REGULAR,turnover,out-of-bounds,[],1630595,,,1610612765,12,12,2022-03-27T19:54:07Z,690000,,,0,,C. Cunningham bad pass out-of-bounds TURNOVER (1 TO),[1630595],1610612765.0,DET,bad pass,,,Cunningham,C. Cunningham,,,,,1627961.0,,,,,,,,,,,,,,,,,1.0,,,
70,PT06M22.00S,2022-03-27T19:54:23.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203095,69.4316688567674,23.284313725490193,1610612752,12,12,2022-03-27T19:54:55Z,700000,-134.0,235.0,1,right,MISS E. Fournier 27' pullup 3PT,[203095],1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,,,,,,Missed,,27.01,,,,,,,,,,,,,
71,PT06M18.00S,2022-03-27T19:54:27.6Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612765,12,12,2022-03-27T19:54:29Z,710000,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,70.0,1.0,1.0,0.0,,,,
72,PT06M06.00S,2022-03-27T19:54:40.5Z,1,REGULAR,turnover,bad pass,[],1630180,,,1610612765,12,12,2022-03-27T19:54:44Z,720000,,,0,,S. Bey bad pass TURNOVER (1 TO),"[1630180, 1629011]",1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,1.0,Robinson,1629011.0,
73,PT06M06.00S,2022-03-27T19:54:40.5Z,1,REGULAR,steal,,[],1629011,,,1610612752,12,12,2022-03-27T19:54:42Z,730000,,,0,,M. Robinson STEAL (1 STL),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M55.00S,2022-03-27T19:54:50.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203944,87.0400788436268,33.33333333333334,1610612752,12,12,2022-03-27T19:56:06Z,740000,-83.0,69.0,1,right,MISS J. Randle 10' turnaround fadeaway Shot,[203944],1610612752.0,NYK,turnaround fadeaway,,,Randle,J. Randle,,,,,,,,,,Missed,,10.84,,,,,,,,,,,,,
75,PT05M54.00S,2022-03-27T19:54:51.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,12,12,2022-03-27T19:55:00Z,750000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,
76,PT05M54.00S,2022-03-27T19:55:00.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,12,12,2022-03-27T19:55:00Z,760000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M44.00S,2022-03-27T19:55:28.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203944,73.242444152431,77.45098039215686,1610612752,12,12,2022-03-27T19:55:33Z,770000,137.0,199.0,1,right,MISS J. Randle 24' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,Missed,,24.18,,,,,,,,,,,,,
78,PT05M42.00S,2022-03-27T19:55:30.8Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,12,12,2022-03-27T19:55:33Z,780000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,77.0,1.0,0.0,1.0,,,,
79,PT05M39.00S,2022-03-27T19:55:34.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629628,82.83508541392904,6.127450980392155,1610612752,12,15,2022-03-27T19:55:38Z,790000,-219.0,109.0,1,right,R. Barrett 24' 3PT  (5 PTS) (M. Robinson 1 AST),"[1629628, 1629011]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,Made,5.0,24.49,M. Robinson,1629011.0,1.0,,,,,,,,,,
81,PT05M26.00S,2022-03-27T19:55:47.1Z,1,REGULAR,2pt,Jump Shot,[],1630180,27.38173455978975,52.69607843137255,1610612765,14,15,2022-03-27T19:57:23Z,810000,-13.0,205.0,1,left,S. Bey 20' pullup Jump Shot (2 PTS),[1630180],1610612765.0,DET,pullup,,,Bey,S. Bey,,,,,,,,,,Made,2.0,20.53,,,,,,,,,,,,,
82,PT05M05.00S,2022-03-27T19:56:07.5Z,1,REGULAR,2pt,Jump Shot,[],203944,88.09132720105124,16.911764705882348,1610612752,14,17,2022-03-27T19:56:12Z,820000,-165.0,59.0,1,right,J. Randle 17' Jump Shot (3 PTS) (R. Barrett 1 AST),"[203944, 1629628]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,Made,3.0,17.57,R. Barrett,1629628.0,1.0,,,,,,,,,,
84,PT04M48.00S,2022-03-27T19:56:24.4Z,1,REGULAR,2pt,Jump Shot,[],1630595,22.651116951379763,74.01960784313725,1610612765,14,17,2022-03-27T19:58:34Z,840000,-120.0,160.0,1,left,MISS C. Cunningham 20' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,,,,,,Missed,,20.04,,,,,,,,,,,,,
85,PT04M45.00S,2022-03-27T19:56:27.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,14,17,2022-03-27T19:56:32Z,850000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,84.0,2.0,2.0,0.0,,,,
86,PT04M41.00S,2022-03-27T19:56:35.1Z,1,REGULAR,foul,personal,[],202709,,,1610612752,14,17,2022-03-27T19:57:14Z,860000,,,0,,C. Joseph personal FOUL (2 PF),"[202709, 1629011]",1610612765.0,DET,,,,Joseph,C. Joseph,,,,,1627961.0,2.0,0.0,Robinson,1629011.0,,,,,,,,,,,,,,,,
88,PT04M41.00S,2022-03-27T19:56:50.3Z,1,REGULAR,substitution,out,[],1628963,,,1610612752,14,17,2022-03-27T19:57:07Z,880000,,,0,,SUB out: M. Bagley III,[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M41.00S,2022-03-27T19:56:50.3Z,1,REGULAR,substitution,out,[],202709,,,1610612752,14,17,2022-03-27T19:57:07Z,890000,,,0,,SUB out: C. Joseph,[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M41.00S,2022-03-27T19:56:50.3Z,1,REGULAR,substitution,out,[],1629628,,,1610612752,14,17,2022-03-27T19:57:07Z,900000,,,0,,SUB out: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M41.00S,2022-03-27T19:56:50.3Z,1,REGULAR,substitution,out,[],1629011,,,1610612752,14,17,2022-03-27T19:57:07Z,910000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M41.00S,2022-03-27T19:56:50.3Z,1,REGULAR,substitution,in,[],1630165,,,1610612752,14,17,2022-03-27T19:57:07Z,920000,,,0,,SUB in: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M41.00S,2022-03-27T19:56:50.3Z,1,REGULAR,substitution,in,[],203482,,,1610612752,14,17,2022-03-27T19:57:07Z,930000,,,0,,SUB in: K. Olynyk,[203482],1610612765.0,DET,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M41.00S,2022-03-27T19:56:50.3Z,1,REGULAR,substitution,in,[],1630193,,,1610612752,14,17,2022-03-27T19:57:07Z,940000,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,
