actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
62,PT07M09.00S,2022-03-21T23:25:39.0Z,1,REGULAR,rebound,defensive,[],1629604,,,1610612757,9,17,2022-03-21T23:25:39Z,620000,,,0,,C. Elleby REBOUND (Off:1 Def:3),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,61.0,4.0,3.0,1.0,,,,,,,,,,,
65,PT06M57.00S,2022-03-21T23:25:50.1Z,1,REGULAR,2pt,Jump Shot,[],1629234,84.54336399474376,66.17647058823529,1610612757,9,19,2022-03-21T23:25:55Z,630000,81.0,93.0,1,right,D. Eubanks 12' floating Jump Shot (4 PTS) (C. Elleby 1 AST),"[1629234, 1629604]",1610612757.0,POR,floating,,,Eubanks,D. Eubanks,,,,,,,,12.31,Made,4.0,,,,,,,,,,,,C. Elleby,1629604.0,1.0,
67,PT06M49.00S,2022-03-21T23:26:00.9Z,1,REGULAR,foul,personal,['2freethrow'],1626159,,,1610612765,9,19,2022-03-21T23:26:24Z,650000,,,0,,J. Winslow shooting personal FOUL (1 PF) (Cunningham 2 FT),"[1626159, 1630595]",1610612757.0,POR,shooting,,,Winslow,J. Winslow,,,,,,,,,,,,,,,201638.0,1.0,0.0,Cunningham,1630595.0,,,,,,
69,PT06M49.00S,2022-03-21T23:26:30.1Z,1,REGULAR,freethrow,1 of 2,[],1630595,,,1610612765,9,19,2022-03-21T23:26:30Z,670000,,,0,,MISS C. Cunningham Free Throw 1 of 2,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,Missed,,,,,,,,,,,,,,,,
70,PT06M49.00S,2022-03-21T23:26:30.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,9,19,2022-03-21T23:26:30Z,680000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,
71,PT06M49.00S,2022-03-21T23:26:47.9Z,1,REGULAR,freethrow,2 of 2,[],1630595,,,1610612765,10,19,2022-03-21T23:26:48Z,690000,,,0,,C. Cunningham Free Throw 2 of 2 (3 PTS),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
72,PT06M37.00S,2022-03-21T23:27:06.3Z,1,REGULAR,foul,personal,[],1630595,,,1610612757,10,19,2022-03-21T23:27:21Z,700000,,,0,,C. Cunningham personal FOUL (1 PF),"[1630595, 1629234]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,201638.0,1.0,0.0,Eubanks,1629234.0,,,,,,
74,PT06M29.00S,2022-03-21T23:27:35.0Z,1,REGULAR,turnover,lost ball,[],1630314,,,1610612757,10,19,2022-03-21T23:27:39Z,720000,,,0,,B. Williams lost ball TURNOVER (1 TO),"[1630314, 1630240]",1610612757.0,POR,,,,Williams,B. Williams,,,,,1.0,Lee,1630240.0,,,,,,,,,,,,,,,,,,
75,PT06M29.00S,2022-03-21T23:27:35.0Z,1,REGULAR,steal,,[],1630240,,,1610612765,10,19,2022-03-21T23:27:37Z,730000,,,0,,S. Lee STEAL (1 STL),[1630240],1610612765.0,DET,,,,Lee,S. Lee,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M08.00S,2022-03-21T23:27:58.5Z,1,REGULAR,foul,personal,['2freethrow'],1629604,,,1610612765,10,19,2022-03-21T23:28:22Z,740000,,,0,,C. Elleby shooting personal FOUL (1 PF) (Bey 2 FT),"[1629604, 1630180]",1610612757.0,POR,shooting,,,Elleby,C. Elleby,,,,,,,,,,,,,,,201638.0,1.0,0.0,Bey,1630180.0,,,,,,
