actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
16,PT10M57.00S,2022-02-26T17:11:52.3Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,0,0,2022-02-26T17:11:53Z,160000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M47.00S,2022-02-26T17:12:03.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202709,11.645860709592641,49.26470588235294,1610612765,2,0,2022-02-26T17:12:08Z,170000,4.0,57.0,1,left,C. Joseph fadeaway Jump Shot (2 PTS),[202709],1610612765.0,DET,fadeaway,,,Joseph,C. Joseph,,,,,,,,,,5.71,Made,,,,,2.0,,,,,,,,,
18,PT10M34.00S,2022-02-26T17:12:15.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,94.1688567674113,52.20588235294118,1610612738,2,2,2022-02-26T17:14:05Z,180000,11.0,2.0,1,right,J. Brown driving Layup (2 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,,,1.12,Made,,,,,2.0,M. Smart,203935.0,1.0,,,,,,
20,PT10M23.00S,2022-02-26T17:12:26.7Z,1,REGULAR,3pt,Jump Shot,[],1630595,30.17411300919842,22.794117647058822,1610612765,5,2,2022-02-26T17:14:39Z,200000,136.0,231.0,1,left,C. Cunningham 26' 3PT pullup (3 PTS),[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,,,,,,26.81,Made,,,,,3.0,,,,,,,,,
21,PT09M58.00S,2022-02-26T17:12:50.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,92.19776609724047,96.56862745098039,1610612738,5,2,2022-02-26T17:12:56Z,210000,233.0,21.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,23.37,Missed,,,,,,,,,,,,,,
22,PT09M54.00S,2022-02-26T17:12:54.7Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,5,2,2022-02-26T17:12:56Z,220000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT09M49.00S,2022-02-26T17:13:00.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630595,5.206964520367937,53.67647058823529,1610612765,5,2,2022-02-26T17:13:10Z,230000,-18.0,-4.0,1,left,MISS C. Cunningham driving reverse Layup,[1630595],1610612765.0,DET,driving reverse,,,Cunningham,C. Cunningham,,,,,,,,,,1.87,Missed,,,,,,,,,,,,,,
24,PT09M47.00S,2022-02-26T17:13:02.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,2,2022-02-26T17:13:10Z,240000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,
25,PT09M41.00S,2022-02-26T17:13:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,94.56307490144546,45.09803921568628,1610612738,5,2,2022-02-26T17:13:13Z,250000,-25.0,-1.0,1,right,MISS M. Smart running Layup,[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,,,,,,2.45,Missed,,,,,,,,,,,,,,
26,PT09M41.00S,2022-02-26T17:13:08.5Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,5,2,2022-02-26T17:13:13Z,260000,,,0,,I. Stewart REBOUND (Off:0 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,
27,PT09M27.00S,2022-02-26T17:13:22.7Z,1,REGULAR,2pt,Jump Shot,[],1630595,20.581471747700395,38.970588235294116,1610612765,7,2,2022-02-26T17:13:26Z,270000,55.0,141.0,1,left,C. Cunningham 15' Jump Shot (5 PTS) (C. Joseph 1 AST),"[1630595, 202709]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,15.14,Made,,,,,5.0,C. Joseph,202709.0,1.0,,,,,,
29,PT09M10.00S,2022-02-26T17:13:39.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.9862023653088,46.32352941176471,1610612738,7,4,2022-02-26T17:17:24Z,290000,-18.0,13.0,1,right,R. Williams III cutting DUNK (2 PTS) (J. Tatum 1 AST),"[1629057, 1628369]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,,,,,,2.28,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,
31,PT08M58.00S,2022-02-26T17:13:53.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,5.863994743758213,53.431372549019606,1610612765,9,4,2022-02-26T17:13:57Z,310000,-17.0,3.0,1,left,I. Stewart Layup (2 PTS) (C. Cunningham 1 AST),"[1630191, 1630595]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,1.74,Made,,,,,2.0,C. Cunningham,1630595.0,1.0,,,,,,
33,PT08M58.00S,2022-02-26T17:13:55.6Z,1,REGULAR,foul,personal,['1freethrow'],203935,,,1610612765,9,4,2022-02-26T17:14:05Z,330000,,,0,,M. Smart shooting personal FOUL (1 PF) (Stewart 1 FT),"[203935, 1630191]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,1193.0,1.0,0.0,Stewart,1630191.0,,,,,,,,,,,,,,,,
35,PT08M58.00S,2022-02-26T17:14:21.8Z,1,REGULAR,freethrow,1 of 1,[],1630191,,,1610612765,10,4,2022-02-26T17:14:21Z,350000,,,0,,I. Stewart Free Throw 1 of 1 (3 PTS),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,Made,,,,,3.0,,,,,,,,,
36,PT08M41.00S,2022-02-26T17:14:42.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,67.7562417871222,22.794117647058822,1610612738,10,4,2022-02-26T17:18:37Z,360000,-136.0,251.0,1,right,MISS J. Brown 28' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,28.51,Missed,,,,,,,,,,,,,,
37,PT08M38.00S,2022-02-26T17:14:45.5Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,10,4,2022-02-26T17:14:47Z,370000,,,0,,C. Joseph REBOUND (Off:0 Def:1),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,
38,PT08M31.00S,2022-02-26T17:14:51.9Z,1,REGULAR,turnover,bad pass,[],202709,,,1610612765,10,4,2022-02-26T17:15:00Z,380000,,,0,,C. Joseph bad pass TURNOVER (1 TO),"[202709, 203935]",1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0,,,
39,PT08M31.00S,2022-02-26T17:14:51.9Z,1,REGULAR,steal,,[],203935,,,1610612738,10,4,2022-02-26T17:14:54Z,390000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M27.00S,2022-02-26T17:14:59.2Z,1,REGULAR,foul,personal,['2freethrow'],1630595,,,1610612738,10,4,2022-02-26T17:15:15Z,400000,,,0,,C. Cunningham shooting personal FOUL (2 PF) (Brown 2 FT),"[1630595, 1627759]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,1193.0,2.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,,
42,PT08M27.00S,2022-02-26T17:15:28.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627759,,,1610612738,10,5,2022-02-26T17:15:28Z,420000,,,0,,J. Brown Free Throw 1 of 2 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Made,,,,,3.0,,,,,,,,,
43,PT08M27.00S,2022-02-26T17:15:41.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627759,,,1610612738,10,6,2022-02-26T17:15:41Z,430000,,,0,,J. Brown Free Throw 2 of 2 (4 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Made,,,,,4.0,,,,,,,,,
44,PT08M14.00S,2022-02-26T17:15:54.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,6.652431011826544,46.568627450980394,1610612765,12,6,2022-02-26T17:16:02Z,440000,17.0,10.0,1,left,C. Cunningham driving Layup (7 PTS),[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,,,,,,1.99,Made,,,,,7.0,,,,,,,,,
45,PT08M11.00S,2022-02-26T17:16:02.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,12,6,2022-02-26T17:16:02Z,450000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M03.00S,2022-02-26T17:19:03.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,94.03745072273325,53.431372549019606,1610612738,12,8,2022-02-26T17:19:09Z,460000,17.0,4.0,1,right,J. Tatum cutting Layup (2 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,,,,,,1.76,Made,,,,,2.0,M. Smart,203935.0,2.0,,,,,,
48,PT07M44.00S,2022-02-26T17:19:21.1Z,1,REGULAR,3pt,Jump Shot,[],203924,30.305519053876477,11.519607843137255,1610612765,12,8,2022-02-26T17:19:24Z,480000,192.0,232.0,1,left,MISS J. Grant 30' 3PT,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,30.17,Missed,,,,,,,,,,,,,,
49,PT07M42.00S,2022-02-26T17:19:23.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,12,8,2022-02-26T17:19:24Z,490000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,,,
50,PT07M36.00S,2022-02-26T17:19:29.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.80749014454665,21.568627450980394,1610612738,12,11,2022-02-26T17:20:50Z,500000,-142.0,241.0,1,right,J. Tatum 27' 3PT pullup (5 PTS) (M. Smart 3 AST),"[1628369, 203935]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,27.96,Made,,,,,5.0,M. Smart,203935.0,3.0,,,,,,
52,PT07M22.00S,2022-02-26T17:19:44.4Z,1,REGULAR,2pt,Jump Shot,[],203924,20.45006570302234,21.568627450980394,1610612765,14,11,2022-02-26T17:19:47Z,520000,142.0,140.0,1,left,J. Grant 19' pullup Jump Shot (2 PTS),[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,,,,,,19.93,Made,,,,,2.0,,,,,,,,,
53,PT07M03.00S,2022-02-26T17:20:02.5Z,1,REGULAR,2pt,Jump Shot,[],1628369,89.83245729303549,18.137254901960784,1610612738,14,11,2022-02-26T17:20:06Z,530000,-159.0,43.0,1,right,MISS J. Tatum 16' Jump Shot,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,16.5,Missed,,,,,,,,,,,,,,
54,PT07M01.00S,2022-02-26T17:20:04.5Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,14,11,2022-02-26T17:20:06Z,540000,,,0,,I. Stewart REBOUND (Off:0 Def:3),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,53.0,3.0,3.0,0.0,,,,,,,,,,
55,PT06M53.00S,2022-02-26T17:20:11.9Z,1,REGULAR,3pt,Jump Shot,[],203924,6.1268068331143235,96.32352941176471,1610612765,14,11,2022-02-26T17:20:16Z,550000,-232.0,5.0,1,left,MISS J. Grant 3PT,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,23.17,Missed,,,,,,,,,,,,,,
56,PT06M51.00S,2022-02-26T17:20:14.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,14,11,2022-02-26T17:20:14Z,560000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,
57,PT06M48.00S,2022-02-26T17:20:22.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.59198423127464,51.225490196078425,1610612738,14,13,2022-02-26T17:20:43Z,570000,6.0,17.0,1,right,J. Tatum driving Layup (7 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,,,,,,1.82,Made,,,,,7.0,,,,,,,,,
58,PT06M48.00S,2022-02-26T17:20:30.8Z,1,REGULAR,foul,personal,['1freethrow'],202709,,,1610612738,14,13,2022-02-26T17:20:38Z,580000,,,0,,C. Joseph shooting personal FOUL (1 PF) (Tatum 1 FT),"[202709, 1628369]",1610612765.0,DET,shooting,,,Joseph,C. Joseph,,,,,1179.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
60,PT06M48.00S,2022-02-26T17:20:44.2Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,14,14,2022-02-26T17:20:44Z,600000,,,0,,J. Tatum Free Throw 1 of 1 (8 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,Made,,,,,8.0,,,,,,,,,
61,PT06M28.00S,2022-02-26T17:21:06.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,9.806176084099869,54.65686274509803,1610612765,16,14,2022-02-26T17:21:11Z,610000,-23.0,40.0,1,left,S. Bey fadeaway Jump Shot (2 PTS),[1630180],1610612765.0,DET,fadeaway,,,Bey,S. Bey,,,,,,,,,,4.6,Made,,,,,2.0,,,,,,,,,
62,PT06M08.00S,2022-02-26T17:21:30.9Z,1,REGULAR,2pt,Jump Shot,[],203935,80.89684625492772,28.676470588235293,1610612738,16,14,2022-02-26T17:23:53Z,620000,-107.0,127.0,1,right,MISS M. Smart 16' pullup Shot,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,,,,,,16.59,Missed,,,,,,,,,,,,,,
63,PT06M06.00S,2022-02-26T17:21:32.9Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,16,14,2022-02-26T17:23:53Z,630000,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,62.0,2.0,1.0,1.0,,,,,,,,,,
64,PT06M05.00S,2022-02-26T17:21:34.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629057,94.40999984741211,50.0,1610612738,16,16,2022-02-26T17:23:59Z,640000,0.0,0.0,1,right,R. Williams III tip Layup (4 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,,,,,,0.0,Made,,,,,4.0,,,,,,,,,
65,PT05M52.00S,2022-02-26T17:21:42.5Z,1,REGULAR,2pt,Jump Shot,[],202709,25.706307490144546,65.68627450980392,1610612765,18,16,2022-02-26T17:21:46Z,650000,-78.0,189.0,1,left,C. Joseph 20' pullup Jump Shot (4 PTS),[202709],1610612765.0,DET,pullup,,,Joseph,C. Joseph,,,,,,,,,,20.47,Made,,,,,4.0,,,,,,,,,
66,PT05M34.00S,2022-02-26T17:22:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,93.24901445466492,54.166666666666664,1610612738,18,18,2022-02-26T17:22:04Z,660000,21.0,11.0,1,right,R. Williams III alley-oop Layup (6 PTS) (J. Tatum 2 AST),"[1629057, 1628369]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,,,,,,2.35,Made,,,,,6.0,J. Tatum,1628369.0,2.0,,,,,,
68,PT05M18.00S,2022-02-26T17:22:16.8Z,1,REGULAR,2pt,Jump Shot,[],203924,23.73521681997372,29.166666666666668,1610612765,18,18,2022-02-26T17:22:21Z,680000,104.0,171.0,1,left,MISS J. Grant 19' pullup Shot,[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,,,,,,19.99,Missed,,,,,,,,,,,,,,
69,PT05M16.00S,2022-02-26T17:22:18.8Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,18,18,2022-02-26T17:22:21Z,690000,,,0,,M. Smart REBOUND (Off:1 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,68.0,3.0,2.0,1.0,,,,,,,,,,
70,PT05M10.00S,2022-02-26T17:22:28.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,92.72339027595268,43.872549019607845,1610612738,18,18,2022-02-26T17:22:37Z,700000,-31.0,16.0,1,right,MISS J. Brown driving floating Shot,[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,,,,,,3.45,Missed,,,,,,,,,,,,,,
71,PT05M10.00S,2022-02-26T17:22:28.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,18,18,2022-02-26T17:22:37Z,710000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,
72,PT05M10.00S,2022-02-26T17:22:32.8Z,1,REGULAR,turnover,traveling,[],1627759,,,1610612738,18,18,2022-02-26T17:23:23Z,720000,,,0,,J. Brown traveling TURNOVER (1 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,1193.0,,,,,,,,,,,,,,,1.0,,,,,
73,PT05M10.00S,2022-02-26T17:22:36.8Z,1,REGULAR,substitution,out,[],1630595,,,1610612765,18,18,2022-02-26T17:22:57Z,730000,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M10.00S,2022-02-26T17:22:36.8Z,1,REGULAR,substitution,out,[],201143,,,1610612765,18,18,2022-02-26T17:22:57Z,740000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M10.00S,2022-02-26T17:22:36.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612765,18,18,2022-02-26T17:22:57Z,750000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M10.00S,2022-02-26T17:22:36.8Z,1,REGULAR,substitution,in,[],1628977,,,1610612765,18,18,2022-02-26T17:22:57Z,760000,,,0,,SUB in: H. Diallo,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M10.00S,2022-02-26T17:22:36.8Z,1,REGULAR,substitution,in,[],1628401,,,1610612765,18,18,2022-02-26T17:22:57Z,770000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M10.00S,2022-02-26T17:22:36.8Z,1,REGULAR,substitution,in,[],1629684,,,1610612765,18,18,2022-02-26T17:22:57Z,780000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M56.00S,2022-02-26T17:23:19.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,18,18,2022-02-26T17:23:19Z,800000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M51.00S,2022-02-26T17:23:22.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628977,21.107095926412615,29.901960784313726,1610612765,20,18,2022-02-26T17:27:49Z,810000,100.0,146.0,1,left,H. Diallo 17' Jump Shot (2 PTS) (J. Grant 1 AST),"[1628977, 203924]",1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,17.72,Made,,,,,2.0,J. Grant,203924.0,1.0,,,,,,
83,PT04M34.00S,2022-02-26T17:23:41.0Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,20,18,2022-02-26T17:23:47Z,830000,,,0,,J. Brown bad pass out-of-bounds TURNOVER (2 TO),[1627759],1610612738.0,BOS,bad pass,,,Brown,J. Brown,,,,,1193.0,,,,,,,,,,,,,,,2.0,,,,,
84,PT04M20.00S,2022-02-26T17:24:08.0Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612765,20,18,2022-02-26T17:24:21Z,840000,,,0,,R. Williams III shooting personal FOUL (1 PF) (Grant 2 FT),"[1629057, 203924]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,1193.0,1.0,0.0,Grant,203924.0,,,,,,,,,,,,,,,,
86,PT04M20.00S,2022-02-26T17:24:36.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203924,,,1610612765,21,18,2022-02-26T17:24:36Z,860000,,,0,,J. Grant Free Throw 1 of 2 (3 PTS),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,Made,,,,,3.0,,,,,,,,,
87,PT04M20.00S,2022-02-26T17:24:51.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203924,,,1610612765,22,18,2022-02-26T17:24:51Z,870000,,,0,,J. Grant Free Throw 2 of 2 (4 PTS),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,Made,,,,,4.0,,,,,,,,,
88,PT03M57.00S,2022-02-26T17:25:22.3Z,1,REGULAR,3pt,Jump Shot,[],203935,72.35545335085413,83.33333333333334,1610612738,22,18,2022-02-26T17:25:55Z,880000,167.0,207.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,26.61,Missed,,,,,,,,,,,,,,
89,PT03M54.00S,2022-02-26T17:25:24.7Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,22,18,2022-02-26T17:25:24Z,890000,,,0,,I. Stewart REBOUND (Off:0 Def:4),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,88.0,4.0,4.0,0.0,,,,,,,,,,
