actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
26,PT08M36.00S,2022-03-10T00:14:08.5Z,1,REGULAR,foul,offensive,[],1628963,,,1610612765,6,10,2022-03-10T00:14:20Z,260000,,,0,,M. Bagley III offensive FOUL (1 PF),"[1628963, 1629750]",1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,2003.0,1.0,0.0,Green,1629750.0,,
28,PT08M36.00S,2022-03-10T00:14:08.5Z,1,REGULAR,turnover,offensive foul,[],1628963,,,1610612765,6,10,2022-03-10T00:14:08Z,280000,,,0,,M. Bagley III offensive foul TURNOVER (1 TO),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,1.0,,,,,,,,,,,,,2003.0,,,,,,
29,PT08M26.00S,2022-03-10T00:14:45.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201942,24.490801576872528,40.44117647058824,1610612741,6,10,2022-03-10T00:14:50Z,290000,48.0,178.0,1,left,MISS D. DeRozan 18' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,,,,18.4,Missed,,,,,,,,,,,,,,,
30,PT08M22.00S,2022-03-10T00:14:49.0Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,6,10,2022-03-10T00:14:50Z,300000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,
31,PT08M11.00S,2022-03-10T00:15:02.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,6,10,2022-03-10T00:15:02Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT08M05.00S,2022-03-10T00:15:22.3Z,1,REGULAR,2pt,Jump Shot,[],203924,95.45006570302233,31.127450980392155,1610612765,8,10,2022-03-10T00:15:27Z,320000,-94.0,-10.0,1,right,J. Grant 9' pullup Jump Shot (4 PTS) (C. Cunningham 2 AST),"[203924, 1630595]",1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,,,,9.49,Made,4.0,,,,,C. Cunningham,1630595.0,2.0,,,,,,,
34,PT08M05.00S,2022-03-10T00:15:25.0Z,1,REGULAR,foul,personal,['1freethrow'],1629750,,,1610612765,8,10,2022-03-10T00:15:34Z,340000,,,0,,J. Green shooting personal FOUL (1 PF) (Grant 1 FT),"[1629750, 203924]",1610612741.0,CHI,shooting,,,Green,J. Green,,,,,,,,,,,,,,,,,,202901.0,1.0,0.0,Grant,203924.0,,
36,PT08M05.00S,2022-03-10T00:15:45.9Z,1,REGULAR,freethrow,1 of 1,[],203924,,,1610612765,9,10,2022-03-10T00:15:45Z,360000,,,0,,J. Grant Free Throw 1 of 1 (5 PTS),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
37,PT07M50.00S,2022-03-10T00:16:02.8Z,1,REGULAR,3pt,Jump Shot,[],1629750,28.827201051248352,81.12745098039215,1610612741,9,10,2022-03-10T00:16:08Z,370000,-156.0,218.0,1,left,MISS J. Green 26' 3PT,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,26.82,Missed,,,,,,,,,,,,,,,
38,PT07M47.00S,2022-03-10T00:16:05.8Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,9,10,2022-03-10T00:16:08Z,380000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,
39,PT07M46.00S,2022-03-10T00:16:07.0Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,9,10,2022-03-10T00:16:11Z,390000,,,0,,C. Cunningham bad pass TURNOVER (2 TO),"[1630595, 201942]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,2.0,DeRozan,201942.0,,,,,,,,,,,,,,,,,
40,PT07M46.00S,2022-03-10T00:16:07.0Z,1,REGULAR,steal,,[],201942,,,1610612741,9,10,2022-03-10T00:21:48Z,400000,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,
41,PT07M33.00S,2022-03-10T00:16:19.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202696,7.670827858081481,48.774509803921575,1610612741,9,12,2022-03-10T00:16:23Z,410000,6.0,20.0,1,left,N. Vucevic Layup (6 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,2.05,Made,6.0,,,,,D. DeRozan,201942.0,1.0,,,,,,,
43,PT07M08.00S,2022-03-10T00:16:43.9Z,1,REGULAR,2pt,Jump Shot,[],1628963,95.31865965834429,72.05882352941177,1610612765,9,12,2022-03-10T00:16:47Z,430000,110.0,-8.0,1,right,MISS M. Bagley III 11' turnaround fadeaway Shot,[1628963],1610612765.0,DET,turnaround fadeaway,,,Bagley III,M. Bagley III,,,,,,,,11.06,Missed,,,,,,,,,,,,,,,
44,PT07M06.00S,2022-03-10T00:16:45.9Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,9,12,2022-03-10T00:16:47Z,440000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,
45,PT06M56.00S,2022-03-10T00:16:56.4Z,1,REGULAR,turnover,bad pass,[],203897,,,1610612741,9,12,2022-03-10T00:17:00Z,450000,,,0,,Z. LaVine bad pass TURNOVER (1 TO),"[203897, 203924]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,1.0,Grant,203924.0,,,,,,,,,,,,,,,,,
46,PT06M56.00S,2022-03-10T00:16:56.4Z,1,REGULAR,steal,,[],203924,,,1610612765,9,12,2022-03-10T00:16:58Z,460000,,,0,,J. Grant STEAL (1 STL),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,
47,PT06M52.00S,2022-03-10T00:17:02.9Z,1,REGULAR,foul,personal,['2freethrow'],203897,,,1610612765,9,12,2022-03-10T00:17:13Z,470000,,,0,,Z. LaVine shooting personal FOUL (1 PF) (Grant 2 FT),"[203897, 203924]",1610612741.0,CHI,shooting,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,2003.0,1.0,0.0,Grant,203924.0,,
49,PT06M52.00S,2022-03-10T00:17:20.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,9,12,2022-03-10T00:17:20Z,490000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M52.00S,2022-03-10T00:20:14.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203924,,,1610612765,9,12,2022-03-10T00:20:14Z,500000,,,0,,MISS J. Grant Free Throw 1 of 2,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,Missed,,,,,,,,,,,,,,,
52,PT06M52.00S,2022-03-10T00:20:14.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,9,12,2022-03-10T00:20:14Z,510000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,
53,PT06M52.00S,2022-03-10T00:20:25.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203924,,,1610612765,10,12,2022-03-10T00:20:25Z,520000,,,0,,J. Grant Free Throw 2 of 2 (6 PTS),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
54,PT06M39.00S,2022-03-10T00:20:40.4Z,1,REGULAR,2pt,Jump Shot,[],201942,14.50394218134035,78.92156862745098,1610612741,10,14,2022-03-10T00:21:36Z,530000,-145.0,84.0,1,left,D. DeRozan 16' Jump Shot (4 PTS) (A. Dosunmu 2 AST),"[201942, 1630245]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,16.71,Made,4.0,,,,,A. Dosunmu,1630245.0,2.0,,,,,,,
56,PT06M21.00S,2022-03-10T00:21:01.4Z,1,REGULAR,foul,personal,[],1630245,,,1610612765,10,14,2022-03-10T00:21:51Z,550000,,,0,,A. Dosunmu personal FOUL (1 PF),"[1630245, 1630595]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,1198.0,1.0,0.0,Cunningham,1630595.0,,
58,PT06M14.00S,2022-03-10T00:21:24.2Z,1,REGULAR,turnover,bad pass,[],1630180,,,1610612765,10,14,2022-03-10T00:21:54Z,570000,,,0,,S. Bey bad pass TURNOVER (1 TO),"[1630180, 1630245]",1610612765.0,DET,,,,Bey,S. Bey,,,,,1.0,Dosunmu,1630245.0,,,,,,,,,,,,,,,,,
59,PT06M14.00S,2022-03-10T00:21:24.2Z,1,REGULAR,steal,,[],1630245,,,1610612741,10,14,2022-03-10T00:21:26Z,580000,,,0,,A. Dosunmu STEAL (1 STL),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M00.00S,2022-03-10T00:21:37.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201942,22.38830486202366,30.882352941176478,1610612741,10,16,2022-03-10T00:21:56Z,590000,96.0,158.0,1,left,D. DeRozan 18' pullup Jump Shot (6 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,,,,18.47,Made,6.0,,,,,,,,,,,,,,
61,PT05M41.00S,2022-03-10T00:21:57.5Z,1,REGULAR,3pt,Jump Shot,[],202709,92.69053876478318,97.79411764705883,1610612765,10,16,2022-03-10T00:22:02Z,600000,239.0,16.0,1,right,MISS C. Joseph 3PT,[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,23.95,Missed,,,,,,,,,,,,,,,
62,PT05M38.00S,2022-03-10T00:22:00.5Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,10,16,2022-03-10T00:22:02Z,610000,,,0,,A. Dosunmu REBOUND (Off:0 Def:2),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,61.0,2.0,2.0,0.0,,,,,,,,,,
63,PT05M30.00S,2022-03-10T00:22:07.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,6.619579500657039,46.568627450980394,1610612741,10,18,2022-03-10T00:22:13Z,620000,17.0,10.0,1,left,A. Dosunmu cutting Layup (2 PTS) (N. Vucevic 2 AST),"[1630245, 202696]",1610612741.0,CHI,cutting,,,Dosunmu,A. Dosunmu,,,,,,,,1.97,Made,2.0,,,,,N. Vucevic,202696.0,2.0,,,,,,,
65,PT05M13.00S,2022-03-10T00:22:26.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,10,18,2022-03-10T00:22:26Z,640000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M13.00S,2022-03-10T00:22:27.3Z,1,REGULAR,substitution,out,[],202696,,,1610612765,10,18,2022-03-10T00:22:32Z,650000,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M13.00S,2022-03-10T00:22:27.3Z,1,REGULAR,substitution,in,[],202684,,,1610612765,10,18,2022-03-10T00:22:32Z,660000,,,0,,SUB in: T. Thompson,[202684],1610612741.0,CHI,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M04.00S,2022-03-10T00:22:54.8Z,1,REGULAR,3pt,Jump Shot,[],203924,65.75229960578187,64.70588235294117,1610612765,10,18,2022-03-10T00:22:59Z,670000,74.0,269.0,1,right,MISS J. Grant 27' 3PT,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,27.92,Missed,,,,,,,,,,,,,,,
69,PT05M04.00S,2022-03-10T00:22:54.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,10,18,2022-03-10T00:22:59Z,680000,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,
70,PT05M04.00S,2022-03-10T00:22:58.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,10,18,2022-03-10T00:22:58Z,690000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M04.00S,2022-03-10T00:22:59.4Z,1,REGULAR,substitution,out,[],201942,,,1610612741,10,18,2022-03-10T00:23:02Z,700000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M04.00S,2022-03-10T00:22:59.4Z,1,REGULAR,substitution,in,[],1629632,,,1610612741,10,18,2022-03-10T00:23:02Z,710000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M49.00S,2022-03-10T00:23:24.8Z,1,REGULAR,3pt,Jump Shot,[],203897,33.820630749014455,55.3921568627451,1610612741,10,18,2022-03-10T00:23:29Z,720000,-27.0,265.0,1,left,MISS Z. LaVine 26' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,26.68,Missed,,,,,,,,,,,,,,,
74,PT04M45.00S,2022-03-10T00:23:28.8Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,10,18,2022-03-10T00:23:29Z,730000,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,
75,PT04M44.00S,2022-03-10T00:23:29.7Z,1,REGULAR,turnover,bad pass,[],203924,,,1610612765,10,18,2022-03-10T00:23:33Z,740000,,,0,,J. Grant bad pass TURNOVER (1 TO),"[203924, 1629750]",1610612765.0,DET,,,,Grant,J. Grant,,,,,1.0,Green,1629750.0,,,,,,,,,,,,,,,,,
76,PT04M44.00S,2022-03-10T00:23:29.7Z,1,REGULAR,steal,,[],1629750,,,1610612741,10,18,2022-03-10T00:23:31Z,750000,,,0,,J. Green STEAL (1 STL),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M39.00S,2022-03-10T00:23:34.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630245,11.875821287779246,96.81372549019608,1610612741,10,18,2022-03-10T00:23:41Z,760000,-234.0,59.0,1,left,MISS A. Dosunmu 24' 3PT,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,24.14,Missed,,,,,,,,,,,,,,,
78,PT04M36.00S,2022-03-10T00:23:37.0Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,10,18,2022-03-10T00:23:41Z,770000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,
79,PT04M32.00S,2022-03-10T00:23:45.2Z,1,REGULAR,foul,personal,[],1629750,,,1610612765,10,18,2022-03-10T00:24:20Z,780000,,,0,,J. Green personal FOUL (2 PF),"[1629750, 1630595]",1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,1198.0,2.0,0.0,Cunningham,1630595.0,,
81,PT04M32.00S,2022-03-10T00:23:54.7Z,1,REGULAR,substitution,out,[],1629750,,,1610612765,10,18,2022-03-10T00:24:04Z,800000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M32.00S,2022-03-10T00:23:54.7Z,1,REGULAR,substitution,in,[],1627884,,,1610612765,10,18,2022-03-10T00:24:04Z,810000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M24.00S,2022-03-10T00:24:18.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,94.13600525624179,52.94117647058824,1610612765,12,18,2022-03-10T00:24:25Z,820000,15.0,3.0,1,right,C. Cunningham driving finger roll Layup (4 PTS),[1630595],1610612765.0,DET,driving finger roll,,,Cunningham,C. Cunningham,,,,,,,,1.49,Made,4.0,,,,,,,,,,,,,,
84,PT04M05.00S,2022-03-10T00:24:36.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203897,8.853482260183966,53.431372549019606,1610612741,12,20,2022-03-10T00:24:42Z,830000,-17.0,31.0,1,left,Z. LaVine turnaround Hook (6 PTS),[203897],1610612741.0,CHI,turnaround,,,LaVine,Z. LaVine,,,,,,,,3.52,Made,6.0,,,,,,,,,,,,,,
85,PT03M53.00S,2022-03-10T00:24:49.5Z,1,REGULAR,3pt,Jump Shot,[],203924,94.26741130091985,3.1862745098039227,1610612765,15,20,2022-03-10T00:24:53Z,840000,-234.0,1.0,1,right,J. Grant 3PT  (9 PTS) (C. Cunningham 3 AST),"[203924, 1630595]",1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,23.41,Made,9.0,,,,,C. Cunningham,1630595.0,3.0,,,,,,,
87,PT03M40.00S,2022-03-10T00:25:01.6Z,1,REGULAR,3pt,Jump Shot,[],203897,33.55781865965835,68.62745098039215,1610612741,15,20,2022-03-10T00:25:21Z,860000,-93.0,263.0,1,left,MISS Z. LaVine 27' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,,,,27.89,Missed,,,,,,,,,,,,,,,
88,PT03M35.00S,2022-03-10T00:25:06.6Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,15,20,2022-03-10T00:25:07Z,870000,,,0,,C. Joseph REBOUND (Off:0 Def:1),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,87.0,1.0,1.0,0.0,,,,,,,,,,
89,PT03M33.00S,2022-03-10T00:25:10.3Z,1,REGULAR,3pt,Jump Shot,[],1630180,68.77463863337714,30.637254901960787,1610612765,18,20,2022-03-10T00:25:15Z,880000,-97.0,241.0,1,right,S. Bey 25' 3PT  (3 PTS) (C. Joseph 1 AST),"[1630180, 202709]",1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,25.97,Made,3.0,,,,,C. Joseph,202709.0,1.0,,,,,,,
91,PT03M32.00S,2022-03-10T00:25:17.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,18,20,2022-03-10T00:25:17Z,900000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M32.00S,2022-03-10T00:25:18.2Z,1,REGULAR,substitution,out,[],202709,,,1610612741,18,20,2022-03-10T00:27:54Z,910000,,,0,,SUB out: C. Joseph,[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,
