actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
35,PT09M00.00S,2022-02-05T00:15:13.5Z,1,REGULAR,2pt,Jump Shot,[],1627759,91.27792378449409,33.088235294117645,1610612738,6,9,2022-02-05T00:15:19Z,350000,-85.0,29.0,1,right,J. Brown 8' turnaround Jump Shot (4 PTS) (R. Williams III 1 AST),"[1627759, 1629057]",1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,8.96,Made,4.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,,,,
37,PT08M47.00S,2022-02-05T00:15:26.3Z,1,REGULAR,3pt,Jump Shot,[],1628977,9.674770039421814,3.6764705882352944,1610612765,6,9,2022-02-05T00:15:30Z,370000,232.0,38.0,1,left,MISS H. Diallo 3PT,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,23.48,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M45.00S,2022-02-05T00:15:28.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,6,9,2022-02-05T00:15:30Z,380000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,
39,PT08M34.00S,2022-02-05T00:15:39.9Z,1,REGULAR,3pt,Jump Shot,[],203935,92.46057818659659,3.431372549019608,1610612738,6,9,2022-02-05T00:15:50Z,390000,-233.0,18.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,23.35,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M34.00S,2022-02-05T00:15:39.9Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,6,9,2022-02-05T00:15:50Z,400000,,,0,,C. Joseph REBOUND (Off:0 Def:2),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,39.0,2.0,2.0,0.0,,,,,,
41,PT08M14.00S,2022-02-05T00:16:00.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202709,8.623521681997373,52.20588235294118,1610612765,6,9,2022-02-05T00:16:05Z,410000,-11.0,29.0,1,left,MISS C. Joseph driving Layup - blocked,"[202709, 1627759]",1610612765.0,DET,driving,,,Joseph,C. Joseph,,,,,3.06,Missed,,,,,,,,,,,,,,,Brown,1627759.0,,,
42,PT08M14.00S,2022-02-05T00:16:00.7Z,1,REGULAR,block,,[],1627759,,,1610612765,6,9,2022-02-05T00:16:03Z,420000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M14.00S,2022-02-05T00:16:00.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,6,9,2022-02-05T00:16:05Z,430000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,
44,PT08M14.00S,2022-02-05T00:16:09.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,6,9,2022-02-05T00:16:09Z,440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M09.00S,2022-02-05T00:16:23.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203924,21.50131406044678,35.294117647058826,1610612765,6,9,2022-02-05T00:16:28Z,450000,74.0,150.0,1,left,MISS J. Grant 16' pullup Shot,[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,16.67,Missed,,,,,,,,,,,,,,,,,,,
46,PT08M07.00S,2022-02-05T00:16:25.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,6,9,2022-02-05T00:16:28Z,460000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,45.0,2.0,2.0,0.0,,,,,,
47,PT07M59.00S,2022-02-05T00:16:37.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,90.48948751642575,54.90196078431373,1610612738,6,9,2022-02-05T00:33:29Z,470000,25.0,37.0,1,right,MISS J. Tatum Layup - blocked,"[1628369, 202709]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,4.43,Missed,,,,,,,,,,,,,,,Joseph,202709.0,,,
48,PT07M59.00S,2022-02-05T00:16:37.6Z,1,REGULAR,block,,[],202709,,,1610612738,6,9,2022-02-05T00:16:40Z,480000,,,0,,C. Joseph BLOCK (1 BLK),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M58.00S,2022-02-05T00:16:38.6Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,6,9,2022-02-05T00:33:29Z,490000,,,0,,J. Tatum REBOUND (Off:1 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,47.0,3.0,2.0,1.0,,,,,,
51,PT07M56.00S,2022-02-05T00:16:55.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628369,87.86136662286465,48.28431372549019,1610612738,6,9,2022-02-05T00:34:08Z,510000,-9.0,62.0,1,right,MISS J. Tatum 6' Hook,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,6.22,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M54.00S,2022-02-05T00:16:57.9Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,6,9,2022-02-05T00:34:08Z,520000,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,51.0,1.0,0.0,1.0,,,,,,
53,PT07M44.00S,2022-02-05T00:17:01.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203935,91.01511169513797,44.85294117647059,1610612738,6,11,2022-02-05T00:34:22Z,530000,-26.0,32.0,1,right,M. Smart driving Hook (2 PTS),[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,4.1,Made,2.0,,,,,,,,,,,,,,,,,,
55,PT07M22.00S,2022-02-05T00:17:15.1Z,1,REGULAR,foul,personal,[],1627759,,,1610612765,6,11,2022-02-05T00:17:32Z,550000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 203924]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,1148.0,1.0,0.0,Grant,203924.0,,,,,,,,,,
57,PT07M22.00S,2022-02-05T00:17:35.8Z,1,REGULAR,foul,technical,['1freethrow'],1627759,,,1610612765,6,11,2022-02-05T00:17:48Z,570000,,,0,,J. Brown technical FOUL (1 Tech),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,1148.0,1.0,1.0,,,,,,,,,,,,
58,PT07M22.00S,2022-02-05T00:17:54.1Z,1,REGULAR,freethrow,1 of 1,[],203924,,,1610612765,7,11,2022-02-05T00:17:54Z,580000,,,0,,J. Grant technical Free Throw 1 of 1 (3 PTS),[203924],1610612765.0,DET,technical,,,Grant,J. Grant,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
59,PT07M08.00S,2022-02-05T00:18:17.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628977,8.492115637319317,53.92156862745098,1610612765,9,11,2022-02-05T00:18:24Z,590000,-20.0,27.0,1,left,H. Diallo driving reverse Layup (2 PTS),[1628977],1610612765.0,DET,driving reverse,,,Diallo,H. Diallo,,,,,3.36,Made,2.0,,,,,,,,,,,,,,,,,,
61,PT06M52.00S,2022-02-05T00:18:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,93.11760840998686,38.23529411764706,1610612738,9,13,2022-02-05T00:24:01Z,610000,-59.0,12.0,1,right,A. Horford 6' driving Layup (2 PTS),[201143],1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,6.01,Made,2.0,,,,,,,,,,,,,,,,,,
62,PT06M37.00S,2022-02-05T00:18:48.9Z,1,REGULAR,2pt,Jump Shot,[],1630180,17.427726675427067,23.52941176470588,1610612765,9,13,2022-02-05T00:18:54Z,620000,132.0,111.0,1,left,MISS S. Bey 17' pullup Shot,[1630180],1610612765.0,DET,pullup,,,Bey,S. Bey,,,,,17.3,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M35.00S,2022-02-05T00:18:50.9Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,9,13,2022-02-05T00:18:54Z,630000,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,
64,PT06M31.00S,2022-02-05T00:18:56.5Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,9,13,2022-02-05T00:19:04Z,640000,,,0,,M. Smart bad pass out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,bad pass,,,Smart,M. Smart,,,,,,,,,,,201638.0,,,,,,,,,1.0,,,,,
65,PT06M31.00S,2022-02-05T00:19:05.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,9,13,2022-02-05T00:19:05Z,650000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M12.00S,2022-02-05T00:22:13.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202709,19.267411300919843,31.127450980392158,1610612765,11,13,2022-02-05T00:22:18Z,660000,94.0,129.0,1,left,C. Joseph 15' pullup Jump Shot (2 PTS),[202709],1610612765.0,DET,pullup,,,Joseph,C. Joseph,,,,,15.95,Made,2.0,,,,,,,,,,,,,,,,,,
67,PT05M45.00S,2022-02-05T00:22:44.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612738,11,13,2022-02-05T00:22:52Z,670000,,,0,,BOS shot clock Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,,,,,,,1198.0,,,,,,,,,,,,,,
68,PT05M32.00S,2022-02-05T00:23:05.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203924,21.895532194480946,26.47058823529412,1610612765,11,13,2022-02-05T00:23:10Z,680000,118.0,153.0,1,left,MISS J. Grant 19' Jump Shot,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,19.32,Missed,,,,,,,,,,,,,,,,,,,
69,PT05M27.00S,2022-02-05T00:23:10.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,11,13,2022-02-05T00:23:10Z,690000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,,
70,PT05M21.00S,2022-02-05T00:23:16.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,64.99671484888306,29.65686274509804,1610612738,11,16,2022-02-05T00:23:21Z,700000,-102.0,277.0,1,right,J. Brown 29' 3PT  (7 PTS) (M. Smart 2 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,29.46,Made,7.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,,
72,PT05M05.00S,2022-02-05T00:23:34.4Z,1,REGULAR,turnover,backcourt,[],202709,,,1610612765,11,16,2022-02-05T00:24:06Z,720000,,,0,,C. Joseph backcourt TURNOVER (1 TO),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,1.0,,,,,
73,PT05M05.00S,2022-02-05T00:23:40.7Z,1,REGULAR,substitution,out,[],201143,,,1610612738,11,16,2022-02-05T00:24:05Z,730000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M05.00S,2022-02-05T00:23:40.7Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,11,16,2022-02-05T00:24:05Z,740000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M05.00S,2022-02-05T00:23:40.7Z,1,REGULAR,substitution,in,[],1626196,,,1610612738,11,16,2022-02-05T00:24:05Z,750000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M05.00S,2022-02-05T00:23:40.7Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,11,16,2022-02-05T00:24:05Z,760000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M50.00S,2022-02-05T00:24:17.5Z,1,REGULAR,foul,personal,['2freethrow'],202709,,,1610612738,11,16,2022-02-05T00:24:29Z,770000,,,0,,C. Joseph shooting personal FOUL (1 PF) (Brown 2 FT),"[202709, 1627759]",1610612765.0,DET,shooting,,,Joseph,C. Joseph,,,,,,,,,,,201638.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,
79,PT04M50.00S,2022-02-05T00:24:43.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627759,,,1610612738,11,16,2022-02-05T00:24:43Z,790000,,,0,,MISS J. Brown Free Throw 1 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
80,PT04M50.00S,2022-02-05T00:24:43.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,11,16,2022-02-05T00:24:43Z,800000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,
81,PT04M50.00S,2022-02-05T00:24:46.2Z,1,REGULAR,substitution,out,[],1628977,,,1610612738,11,16,2022-02-05T00:24:56Z,810000,,,0,,SUB out: H. Diallo,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M50.00S,2022-02-05T00:24:46.2Z,1,REGULAR,substitution,out,[],1630191,,,1610612738,11,16,2022-02-05T00:24:56Z,820000,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M50.00S,2022-02-05T00:24:46.2Z,1,REGULAR,substitution,in,[],203482,,,1610612738,11,16,2022-02-05T00:24:56Z,830000,,,0,,SUB in: K. Olynyk,[203482],1610612765.0,DET,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M50.00S,2022-02-05T00:24:46.2Z,1,REGULAR,substitution,in,[],1628402,,,1610612738,11,16,2022-02-05T00:24:56Z,840000,,,0,,SUB in: F. Jackson,[1628402],1610612765.0,DET,,,,Jackson,F. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M50.00S,2022-02-05T00:25:03.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627759,,,1610612738,11,17,2022-02-05T00:25:03Z,850000,,,0,,J. Brown Free Throw 2 of 2 (8 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
86,PT04M33.00S,2022-02-05T00:25:20.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628402,11.777266754270697,47.794117647058826,1610612765,11,17,2022-02-05T00:27:42Z,860000,11.0,58.0,1,left,MISS F. Jackson driving Hook,[1628402],1610612765.0,DET,driving,,,Jackson,F. Jackson,,,,,5.92,Missed,,,,,,,,,,,,,,,,,,,
87,PT04M27.00S,2022-02-05T00:25:26.6Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,11,17,2022-02-05T00:25:29Z,870000,,,0,,M. Smart REBOUND (Off:1 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,86.0,2.0,1.0,1.0,,,,,,
88,PT04M21.00S,2022-02-05T00:25:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,92.72339027595268,42.8921568627451,1610612738,11,19,2022-02-05T00:25:36Z,880000,-36.0,16.0,1,right,R. Williams III alley-oop Layup (2 PTS) (G. Williams 1 AST),"[1629057, 1629684]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,3.89,Made,2.0,G. Williams,1629684.0,1.0,,,,,,,,,,,,,,,
90,PT04M01.00S,2022-02-05T00:25:52.8Z,1,REGULAR,2pt,Jump Shot,[],203924,8.09789750328515,28.186274509803923,1610612765,13,19,2022-02-05T00:26:01Z,900000,109.0,24.0,1,left,J. Grant 11' turnaround Jump Shot (5 PTS),[203924],1610612765.0,DET,turnaround,,,Grant,J. Grant,,,,,11.16,Made,5.0,,,,,,,,,,,,,,,,,,
