actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
24,PT10M17.00S,2021-11-24T00:13:21.5Z,1,REGULAR,3pt,Jump Shot,[],202709,23.570959264126145,13.480392156862735,1610612765,3,4,2021-11-24T00:13:27Z,240000,183.0,169.0,1,left,MISS C. Joseph 24' 3PT,[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,24.89,Missed,,,,,,,,,,,,,,
25,PT10M13.00S,2021-11-24T00:13:25.5Z,1,REGULAR,rebound,offensive,[],203924,,,1610612765,3,4,2021-11-24T00:13:27Z,250000,,,0,,J. Grant REBOUND (Off:1 Def:1),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,24.0,2.0,1.0,1.0,,,,,,
26,PT10M10.00S,2021-11-24T00:13:28.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203924,6.750985545335084,60.049019607843135,1610612765,3,4,2021-11-24T00:13:32Z,260000,-50.0,11.0,1,left,MISS J. Grant Layup,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,5.14,Missed,,,,,,,,,,,,,,
27,PT10M07.00S,2021-11-24T00:13:31.3Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,3,4,2021-11-24T00:13:32Z,270000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,
28,PT09M56.00S,2021-11-24T00:13:41.9Z,1,REGULAR,turnover,bad pass,[],202710,,,1610612748,3,4,2021-11-24T00:13:55Z,280000,,,0,,J. Butler bad pass TURNOVER (1 TO),"[202710, 203924]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,1.0,Grant,203924.0,,,
29,PT09M56.00S,2021-11-24T00:13:41.9Z,1,REGULAR,steal,,[],203924,,,1610612765,3,4,2021-11-24T00:13:44Z,290000,,,0,,J. Grant STEAL (1 STL),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M48.00S,2021-11-24T00:13:50.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630180,32.90078843626807,65.93137254901961,1610612765,6,4,2021-11-24T00:13:59Z,300000,-80.0,257.0,1,left,S. Bey 26' 3PT step back (3 PTS),[1630180],1610612765.0,DET,step back,,,Bey,S. Bey,,,,,,,,,,26.89,Made,3.0,,,,,,,,,,,,,
31,PT09M28.00S,2021-11-24T00:14:10.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,85.85742444152432,59.31372549019608,1610612748,6,6,2021-11-24T00:14:17Z,310000,47.0,80.0,1,right,J. Butler 9' turnaround Jump Shot (2 PTS),[202710],1610612748.0,MIA,turnaround,,,Butler,J. Butler,,,,,,,,,,9.29,Made,2.0,,,,,,,,,,,,,
32,PT09M03.00S,2021-11-24T00:14:35.8Z,1,REGULAR,3pt,Jump Shot,[],1630180,22.519710906701704,11.274509803921575,1610612765,6,6,2021-11-24T00:14:40Z,320000,194.0,159.0,1,left,MISS S. Bey 25' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,25.07,Missed,,,,,,,,,,,,,,
33,PT08M59.00S,2021-11-24T00:14:39.8Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,6,6,2021-11-24T00:14:40Z,330000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,
34,PT08M55.00S,2021-11-24T00:14:42.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628389,92.42772667542707,49.01960784313726,1610612748,6,8,2021-11-24T00:14:57Z,340000,-5.0,19.0,1,right,B. Adebayo driving reverse Layup (4 PTS) (K. Lowry 1 AST),"[1628389, 200768]",1610612748.0,MIA,driving reverse,,,Adebayo,B. Adebayo,,,,,,,,,,1.93,Made,4.0,K. Lowry,200768.0,1.0,,,,,,,,,,
35,PT08M45.00S,2021-11-24T00:14:53.9Z,1,REGULAR,3pt,Jump Shot,[],1630595,25.54204993429697,16.911764705882348,1610612765,6,8,2021-11-24T00:15:00Z,350000,165.0,188.0,1,left,MISS C. Cunningham 25' pullup 3PT,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,,,,,,25.01,Missed,,,,,,,,,,,,,,
36,PT08M45.00S,2021-11-24T00:14:53.9Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,6,8,2021-11-24T00:15:00Z,360000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,
38,PT08M33.00S,2021-11-24T00:15:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,93.08475689881735,41.17647058823529,1610612748,6,8,2021-11-24T00:15:09Z,370000,-44.0,13.0,1,right,MISS J. Butler driving Layup,[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,,,,,,4.58,Missed,,,,,,,,,,,,,,
39,PT08M31.00S,2021-11-24T00:15:08.2Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,6,8,2021-11-24T00:15:09Z,380000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,
40,PT08M27.00S,2021-11-24T00:15:11.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630180,25.410643889618925,84.55882352941177,1610612765,9,8,2021-11-24T00:15:16Z,390000,-173.0,186.0,1,left,S. Bey 25' 3PT  (6 PTS) (C. Cunningham 2 AST),"[1630180, 1630595]",1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,25.42,Made,6.0,C. Cunningham,1630595.0,2.0,,,,,,,,,,
42,PT08M12.00S,2021-11-24T00:15:28.2Z,1,REGULAR,foul,personal,['2freethrow'],202709,,,1610612748,9,8,2021-11-24T00:15:42Z,410000,,,0,,C. Joseph shooting personal FOUL (1 PF) (Butler 2 FT),"[202709, 202710]",1610612765.0,DET,shooting,,,Joseph,C. Joseph,,,,,1627526.0,1.0,0.0,Butler,202710.0,,,,,,,,,,,,,,,,
44,PT08M12.00S,2021-11-24T00:16:03.4Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,9,9,2021-11-24T00:16:03Z,430000,,,0,,J. Butler Free Throw 1 of 2 (3 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
45,PT08M12.00S,2021-11-24T00:16:21.2Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,9,10,2021-11-24T00:16:21Z,440000,,,0,,J. Butler Free Throw 2 of 2 (4 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
46,PT07M53.00S,2021-11-24T00:16:44.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,9.641918528252305,47.05882352941176,1610612765,11,10,2021-11-24T00:16:48Z,450000,15.0,38.0,1,left,S. Bey driving Layup (8 PTS),[1630180],1610612765.0,DET,driving,,,Bey,S. Bey,,,,,,,,,,4.08,Made,8.0,,,,,,,,,,,,,
47,PT07M41.00S,2021-11-24T00:16:55.2Z,1,REGULAR,2pt,Jump Shot,[],1628389,90.5880420499343,21.813725490196077,1610612748,11,10,2021-11-24T00:17:00Z,460000,-141.0,36.0,1,right,MISS B. Adebayo 14' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,,,,,,14.54,Missed,,,,,,,,,,,,,,
48,PT07M37.00S,2021-11-24T00:16:58.9Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,11,10,2021-11-24T00:16:58Z,470000,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,47.0,2.0,2.0,0.0,,,,,,
49,PT07M31.00S,2021-11-24T00:17:07.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202709,6.093955321944804,48.28431372549019,1610612765,13,10,2021-11-24T00:17:14Z,480000,9.0,5.0,1,left,C. Joseph driving Layup (2 PTS) (L. Garza 1 AST),"[202709, 1630568]",1610612765.0,DET,driving,,,Joseph,C. Joseph,,,,,,,,,,0.98,Made,2.0,L. Garza,1630568.0,1.0,,,,,,,,,,
51,PT07M31.00S,2021-11-24T00:17:12.0Z,1,REGULAR,foul,personal,['1freethrow'],200782,,,1610612765,13,10,2021-11-24T00:17:29Z,500000,,,0,,P. Tucker shooting personal FOUL (1 PF) (Joseph 1 FT),"[200782, 202709]",1610612748.0,MIA,shooting,,,Tucker,P. Tucker,,,,,1627526.0,1.0,0.0,Joseph,202709.0,,,,,,,,,,,,,,,,
53,PT07M31.00S,2021-11-24T00:17:40.1Z,1,REGULAR,freethrow,1 of 1,[],202709,,,1610612765,14,10,2021-11-24T00:17:40Z,520000,,,0,,C. Joseph Free Throw 1 of 1 (3 PTS),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
54,PT07M08.00S,2021-11-24T00:18:06.5Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,14,10,2021-11-24T00:18:18Z,530000,,,0,,B. Adebayo step out-of-bounds TURNOVER (1 TO),[1628389],1610612748.0,MIA,step,,,Adebayo,B. Adebayo,,,,,1627526.0,,,,,,,,,,,,,,,1.0,,,,,
55,PT06M56.00S,2021-11-24T00:18:28.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203924,19.23455978975032,27.450980392156865,1610612765,14,10,2021-11-24T00:18:32Z,540000,113.0,128.0,1,left,MISS J. Grant 17' pullup Shot,[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,,,,,,17.08,Missed,,,,,,,,,,,,,,
56,PT06M53.00S,2021-11-24T00:18:31.5Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,14,10,2021-11-24T00:18:32Z,550000,,,0,,P. Tucker REBOUND (Off:0 Def:2),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,
57,PT06M36.00S,2021-11-24T00:18:48.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629130,93.87319316688567,37.745098039215684,1610612748,14,10,2021-11-24T00:18:55Z,560000,-61.0,5.0,1,right,MISS D. Robinson 6' driving Layup,[1629130],1610612748.0,MIA,driving,,,Robinson,D. Robinson,,,,,,,,,,6.15,Missed,,,,,,,,,,,,,,
58,PT06M36.00S,2021-11-24T00:18:48.9Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,14,10,2021-11-24T00:18:55Z,570000,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,57.0,2.0,1.0,1.0,,,,,,
59,PT06M36.00S,2021-11-24T00:18:54.3Z,1,REGULAR,foul,personal,['2freethrow'],1630568,,,1610612748,14,10,2021-11-24T00:19:06Z,580000,,,0,,L. Garza shooting personal FOUL (2 PF) (Butler 2 FT),"[1630568, 202710]",1610612765.0,DET,shooting,,,Garza,L. Garza,,,,,1627526.0,2.0,0.0,Butler,202710.0,,,,,,,,,,,,,,,,
61,PT06M36.00S,2021-11-24T00:19:12.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,14,10,2021-11-24T00:19:12Z,600000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M36.00S,2021-11-24T00:21:32.3Z,1,REGULAR,substitution,out,[],1630568,,,1610612748,14,10,2021-11-24T00:21:58Z,610000,,,0,,SUB out: L. Garza,[1630568],1610612765.0,DET,,,,Garza,L. Garza,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M36.00S,2021-11-24T00:21:32.3Z,1,REGULAR,substitution,in,[],1626168,,,1610612748,14,10,2021-11-24T00:21:58Z,620000,,,0,,SUB in: T. Lyles,[1626168],1610612765.0,DET,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M36.00S,2021-11-24T00:22:10.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202710,,,1610612748,14,10,2021-11-24T00:22:10Z,630000,,,0,,MISS J. Butler Free Throw 1 of 2,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,Missed,,,,,,,,,,,,,,
65,PT06M36.00S,2021-11-24T00:22:10.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,14,10,2021-11-24T00:22:10Z,640000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,
66,PT06M36.00S,2021-11-24T00:22:26.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202710,,,1610612748,14,11,2021-11-24T00:22:26Z,650000,,,0,,J. Butler Free Throw 2 of 2 (5 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
67,PT06M16.00S,2021-11-24T00:22:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,6.225361366622863,43.38235294117647,1610612765,14,11,2021-11-24T00:22:51Z,660000,33.0,6.0,1,left,MISS C. Cunningham driving Layup,[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,,,,,,3.36,Missed,,,,,,,,,,,,,,
68,PT06M14.00S,2021-11-24T00:22:49.3Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,14,11,2021-11-24T00:22:51Z,670000,,,0,,P. Tucker REBOUND (Off:0 Def:3),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,67.0,3.0,3.0,0.0,,,,,,
69,PT06M11.00S,2021-11-24T00:22:52.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],200768,67.7233902759527,64.4607843137255,1610612748,14,11,2021-11-24T00:22:59Z,680000,72.0,251.0,1,right,MISS K. Lowry 26' pullup 3PT,[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,,,,,,26.11,Missed,,,,,,,,,,,,,,
70,PT06M07.00S,2021-11-24T00:22:56.6Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612765,14,11,2021-11-24T00:22:59Z,690000,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612765.0,DET,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,
71,PT06M02.00S,2021-11-24T00:23:06.0Z,1,REGULAR,foul,personal,[],1629130,,,1610612765,14,11,2021-11-24T00:23:17Z,700000,,,0,,D. Robinson personal FOUL (1 PF),"[1629130, 1626168]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,202026.0,1.0,0.0,Lyles,1626168.0,,,,,,,,,,,,,,,,
73,PT05M45.00S,2021-11-24T00:23:45.8Z,1,REGULAR,3pt,Jump Shot,[],1630180,34.74047306176085,39.21568627450981,1610612765,17,11,2021-11-24T00:23:51Z,720000,54.0,274.0,1,left,S. Bey 27' 3PT  (11 PTS) (C. Joseph 1 AST),"[1630180, 202709]",1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,27.93,Made,11.0,C. Joseph,202709.0,1.0,,,,,,,,,,
75,PT05M25.00S,2021-11-24T00:24:06.4Z,1,REGULAR,3pt,Jump Shot,[],1629130,82.44086727989487,6.127450980392155,1610612748,17,11,2021-11-24T00:24:11Z,740000,-219.0,113.0,1,right,MISS D. Robinson 24' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,24.66,Missed,,,,,,,,,,,,,,
76,PT05M20.00S,2021-11-24T00:24:11.4Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,17,11,2021-11-24T00:24:11Z,750000,,,0,,J. Grant REBOUND (Off:1 Def:2),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,75.0,3.0,2.0,1.0,,,,,,
77,PT05M06.00S,2021-11-24T00:24:25.5Z,1,REGULAR,2pt,Jump Shot,[],1626168,6.225361366622863,14.705882352941174,1610612765,17,11,2021-11-24T00:24:30Z,760000,176.0,6.0,1,left,MISS T. Lyles 17' Jump Shot,[1626168],1610612765.0,DET,,,,Lyles,T. Lyles,,,,,,,,,,17.66,Missed,,,,,,,,,,,,,,
78,PT05M02.00S,2021-11-24T00:24:29.5Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,17,11,2021-11-24T00:24:30Z,770000,,,0,,J. Butler REBOUND (Off:1 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,77.0,3.0,2.0,1.0,,,,,,
79,PT04M59.00S,2021-11-24T00:24:33.0Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,17,11,2021-11-24T00:24:37Z,780000,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 202709]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,1.0,Joseph,202709.0,,,
80,PT04M59.00S,2021-11-24T00:24:33.0Z,1,REGULAR,steal,,[],202709,,,1610612765,17,11,2021-11-24T00:26:31Z,790000,,,0,,C. Joseph STEAL (1 STL),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M53.00S,2021-11-24T00:24:38.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630180,23.04533508541394,91.66666666666667,1610612765,17,11,2021-11-24T00:24:42Z,800000,-208.0,164.0,1,left,MISS S. Bey 26' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,26.52,Missed,,,,,,,,,,,,,,
82,PT04M51.00S,2021-11-24T00:24:40.9Z,1,REGULAR,rebound,offensive,[],1626168,,,1610612765,17,11,2021-11-24T00:24:40Z,810000,,,0,,T. Lyles REBOUND (Off:1 Def:1),[1626168],1610612765.0,DET,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,81.0,2.0,1.0,1.0,,,,,,
83,PT04M43.00S,2021-11-24T00:24:48.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",202709,7.670827858081481,46.32352941176471,1610612765,19,11,2021-11-24T00:24:53Z,820000,18.0,20.0,1,left,C. Joseph cutting Layup (5 PTS) (C. Cunningham 3 AST),"[202709, 1630595]",1610612765.0,DET,cutting,,,Joseph,C. Joseph,,,,,,,,,,2.69,Made,5.0,C. Cunningham,1630595.0,3.0,,,,,,,,,,
85,PT04M42.00S,2021-11-24T00:24:56.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,19,11,2021-11-24T00:24:56Z,840000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M42.00S,2021-11-24T00:27:10.7Z,1,REGULAR,substitution,out,[],202709,,,1610612748,19,11,2021-11-24T00:27:34Z,850000,,,0,,SUB out: C. Joseph,[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M42.00S,2021-11-24T00:27:10.7Z,1,REGULAR,substitution,out,[],200768,,,1610612748,19,11,2021-11-24T00:27:34Z,860000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M42.00S,2021-11-24T00:27:10.7Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,19,11,2021-11-24T00:27:34Z,870000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M42.00S,2021-11-24T00:27:10.7Z,1,REGULAR,substitution,out,[],1629130,,,1610612748,19,11,2021-11-24T00:27:34Z,880000,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M42.00S,2021-11-24T00:27:10.7Z,1,REGULAR,substitution,in,[],1628402,,,1610612748,19,11,2021-11-24T00:27:34Z,890000,,,0,,SUB in: F. Jackson,[1628402],1610612765.0,DET,,,,Jackson,F. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M42.00S,2021-11-24T00:27:10.7Z,1,REGULAR,substitution,in,[],1629216,,,1610612748,19,11,2021-11-24T00:27:34Z,900000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
