actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
17,PT10M47.00S,2021-12-18T17:12:10.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626174,94.26741130091985,52.69607843137255,1610612745,2,2,2021-12-18T17:14:26Z,170000,13.0,1.0,1,right,MISS C. Wood putback Layup,[1626174],1610612745.0,HOU,putback,,,,,,,,,Wood,C. Wood,,,1.36,Missed,,,,,,,,,,,,,,
18,PT10M45.00S,2021-12-18T17:12:12.9Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,2,2,2021-12-18T17:12:23Z,180000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,,,,,,,Cunningham,C. Cunningham,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M43.00S,2021-12-18T17:12:18.9Z,1,REGULAR,turnover,out-of-bounds,[],1630165,,,1610612765,2,2,2021-12-18T17:17:20Z,190000,,,0,,K. Hayes lost ball out-of-bounds TURNOVER (1 TO),[1630165],1610612765.0,DET,lost ball,,,,,,1199.0,,,Hayes,K. Hayes,,,,,,,,,,1.0,,,,,,,,
20,PT10M30.00S,2021-12-18T17:12:38.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626174,70.08869908015768,76.9607843137255,1610612745,2,2,2021-12-18T17:12:41Z,200000,135.0,229.0,1,right,MISS C. Wood 26' 3PT,[1626174],1610612745.0,HOU,,,,,,,,,,Wood,C. Wood,,,26.55,Missed,,,,,,,,,,,,,,
21,PT10M27.00S,2021-12-18T17:12:41.0Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,2,2,2021-12-18T17:12:41Z,210000,,,0,,H. Diallo REBOUND (Off:0 Def:1),[1628977],1610612765.0,DET,,,,,,,,,,Diallo,H. Diallo,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,
22,PT10M16.00S,2021-12-18T17:12:51.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630191,8.590670170827863,46.81372549019608,1610612765,4,2,2021-12-18T17:12:55Z,220000,16.0,28.0,1,left,I. Stewart Hook (2 PTS),[1630191],1610612765.0,DET,,,,,,,,,,Stewart,I. Stewart,,,3.25,Made,,,,,2.0,,,,,,,,,
23,PT10M04.00S,2021-12-18T17:13:03.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,93.87319316688567,43.872549019607845,1610612745,4,4,2021-12-18T17:13:07Z,230000,-31.0,5.0,1,right,E. Gordon driving Layup (4 PTS),[201569],1610612745.0,HOU,driving,,,,,,,,,Gordon,E. Gordon,,,3.1,Made,,,,,4.0,,,,,,,,,
24,PT09M54.00S,2021-12-18T17:13:13.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,12.00722733245729,50.49019607843137,1610612765,6,4,2021-12-18T17:13:18Z,240000,-2.0,60.0,1,left,S. Bey 6' pullup Jump Shot (4 PTS),[1630180],1610612765.0,DET,pullup,,,,,,,,,Bey,S. Bey,,,6.05,Made,,,,,4.0,,,,,,,,,
25,PT09M45.00S,2021-12-18T17:13:22.7Z,1,REGULAR,3pt,Jump Shot,[],201569,65.75229960578187,83.33333333333334,1610612745,6,7,2021-12-18T17:19:04Z,250000,167.0,269.0,1,right,E. Gordon 31' 3PT pullup (7 PTS),[201569],1610612745.0,HOU,pullup,,,,,,,,,Gordon,E. Gordon,,,31.68,Made,,,,,7.0,,,,,,,,,
26,PT09M35.00S,2021-12-18T17:13:32.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630165,5.568331143232584,54.65686274509804,1610612765,8,7,2021-12-18T17:13:35Z,260000,-23.0,0.0,1,left,K. Hayes Layup (2 PTS) (C. Cunningham 1 AST),"[1630165, 1630595]",1610612765.0,DET,,,,,,,,,,Hayes,K. Hayes,,,2.33,Made,,,,,2.0,,C. Cunningham,1630595.0,1.0,,,,,
28,PT09M15.00S,2021-12-18T17:13:51.9Z,1,REGULAR,3pt,Jump Shot,[],1629726,76.52759526938239,8.088235294117652,1610612745,8,10,2021-12-18T17:13:58Z,280000,-210.0,168.0,1,right,G. Mathews 26' 3PT pullup (3 PTS) (J. Christopher 1 AST),"[1629726, 1630528]",1610612745.0,HOU,pullup,,,,,,,,,Mathews,G. Mathews,,,26.87,Made,,,,,3.0,,J. Christopher,1630528.0,1.0,,,,,
30,PT08M58.00S,2021-12-18T17:14:10.1Z,1,REGULAR,turnover,bad pass,[],1630191,,,1610612765,8,10,2021-12-18T17:14:14Z,300000,,,0,,I. Stewart bad pass TURNOVER (1 TO),"[1630191, 1630256]",1610612765.0,DET,,,,,,,,,,Stewart,I. Stewart,,,,,,,,,,1.0,,,,Tate,1630256.0,,,
31,PT08M58.00S,2021-12-18T17:14:10.1Z,1,REGULAR,steal,,[],1630256,,,1610612745,8,10,2021-12-18T17:14:12Z,310000,,,0,,J. Tate STEAL (1 STL),[1630256],1610612745.0,HOU,,,,,,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,
32,PT08M52.00S,2021-12-18T17:14:15.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630528,76.00197109067017,10.049019607843135,1610612745,8,13,2021-12-18T17:14:22Z,320000,-200.0,173.0,1,right,J. Christopher 26' 3PT  (3 PTS) (J. Tate 1 AST),"[1630528, 1630256]",1610612745.0,HOU,,,,,,,,,,Christopher,J. Christopher,,,26.44,Made,,,,,3.0,,J. Tate,1630256.0,1.0,,,,,
34,PT08M38.00S,2021-12-18T17:14:29.5Z,1,REGULAR,3pt,Jump Shot,[],1630180,25.279237844940866,89.4607843137255,1610612765,8,13,2021-12-18T17:14:33Z,340000,-197.0,185.0,1,left,MISS S. Bey 27' 3PT,[1630180],1610612765.0,DET,,,,,,,,,,Bey,S. Bey,,,27.05,Missed,,,,,,,,,,,,,,
35,PT08M36.00S,2021-12-18T17:14:31.5Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,8,13,2021-12-18T17:14:33Z,350000,,,0,,J. Tate REBOUND (Off:0 Def:2),[1630256],1610612745.0,HOU,,,,,,,,,,Tate,J. Tate,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,
36,PT08M28.00S,2021-12-18T17:14:43.9Z,1,REGULAR,foul,personal,['2freethrow'],1630191,,,1610612745,8,13,2021-12-18T17:14:57Z,360000,,,0,,I. Stewart shooting personal FOUL (1 PF) (Gordon 2 FT),"[1630191, 201569]",1610612765.0,DET,shooting,,,,,,1627534.0,1.0,0.0,Stewart,I. Stewart,Gordon,201569.0,,,,,,,,,,,,,,,,
38,PT08M28.00S,2021-12-18T17:15:11.3Z,1,REGULAR,freethrow,1 of 2,[],201569,,,1610612745,8,13,2021-12-18T17:15:11Z,380000,,,0,,MISS E. Gordon Free Throw 1 of 2,[201569],1610612745.0,HOU,,,,,,,,,,Gordon,E. Gordon,,,,Missed,,,,,,,,,,,,,,
39,PT08M28.00S,2021-12-18T17:15:11.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,8,13,2021-12-18T17:15:11Z,390000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,
40,PT08M28.00S,2021-12-18T17:15:29.6Z,1,REGULAR,freethrow,2 of 2,[],201569,,,1610612745,8,14,2021-12-18T17:15:29Z,400000,,,0,,E. Gordon Free Throw 2 of 2 (8 PTS),[201569],1610612745.0,HOU,,,,,,,,,,Gordon,E. Gordon,,,,Made,,,,,8.0,,,,,,,,,
41,PT08M22.00S,2021-12-18T17:15:40.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,8,14,2021-12-18T17:15:40Z,410000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M10.00S,2021-12-18T17:18:55.0Z,1,REGULAR,3pt,Jump Shot,[],1630180,6.356767411300922,97.05882352941177,1610612765,11,14,2021-12-18T17:19:00Z,420000,-235.0,7.0,1,left,S. Bey 3PT  (7 PTS) (K. Hayes 1 AST),"[1630180, 1630165]",1610612765.0,DET,,,,,,,,,,Bey,S. Bey,,,23.54,Made,,,,,7.0,,K. Hayes,1630165.0,1.0,,,,,
44,PT07M56.00S,2021-12-18T17:19:08.2Z,1,REGULAR,3pt,Jump Shot,[],1629726,69.1688567674113,87.00980392156862,1610612745,11,17,2021-12-18T17:19:11Z,440000,185.0,237.0,1,right,G. Mathews 30' 3PT  (6 PTS) (E. Gordon 1 AST),"[1629726, 201569]",1610612745.0,HOU,,,,,,,,,,Mathews,G. Mathews,,,30.09,Made,,,,,6.0,,E. Gordon,201569.0,1.0,,,,,
46,PT07M47.00S,2021-12-18T17:19:20.1Z,1,REGULAR,foul,personal,[],1630256,,,1610612765,11,17,2021-12-18T17:19:44Z,460000,,,0,,J. Tate personal FOUL (1 PF),"[1630256, 1630165]",1610612745.0,HOU,,,,,,,201246.0,1.0,0.0,Tate,J. Tate,Hayes,1630165.0,,,,,,,,,,,,,,,,
48,PT07M37.00S,2021-12-18T17:19:44.2Z,1,REGULAR,turnover,bad pass,[],1630191,,,1610612765,11,17,2021-12-18T17:19:47Z,480000,,,0,,I. Stewart bad pass TURNOVER (2 TO),"[1630191, 201569]",1610612765.0,DET,,,,,,,,,,Stewart,I. Stewart,,,,,,,,,,2.0,,,,Gordon,201569.0,,,
49,PT07M37.00S,2021-12-18T17:19:44.2Z,1,REGULAR,steal,,[],201569,,,1610612745,11,17,2021-12-18T17:19:46Z,490000,,,0,,E. Gordon STEAL (1 STL),[201569],1610612745.0,HOU,,,,,,,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,
50,PT07M28.00S,2021-12-18T17:19:53.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630256,72.7168199737188,83.82352941176471,1610612745,11,17,2021-12-18T17:19:56Z,500000,169.0,204.0,1,right,MISS J. Tate 26' 3PT,[1630256],1610612745.0,HOU,,,,,,,,,,Tate,J. Tate,,,26.5,Missed,,,,,,,,,,,,,,
51,PT07M28.00S,2021-12-18T17:19:53.0Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,11,17,2021-12-18T17:19:56Z,510000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,,,,,,,Stewart,I. Stewart,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,
52,PT07M28.00S,2021-12-18T17:19:56.6Z,1,REGULAR,foul,personal,[],1630528,,,1610612765,11,17,2021-12-18T17:20:07Z,520000,,,0,,J. Christopher loose ball personal FOUL (1 PF),"[1630528, 1630191]",1610612745.0,HOU,loose ball,,,,,,201246.0,1.0,0.0,Christopher,J. Christopher,Stewart,1630191.0,,,,,,,,,,,,,,,,
54,PT07M19.00S,2021-12-18T17:20:17.8Z,1,REGULAR,3pt,Jump Shot,[],1630595,31.192509855453352,68.62745098039215,1610612765,14,17,2021-12-18T17:23:08Z,540000,-93.0,241.0,1,left,C. Cunningham 25' 3PT pullup (3 PTS),[1630595],1610612765.0,DET,pullup,,,,,,,,,Cunningham,C. Cunningham,,,25.81,Made,,,,,3.0,,,,,,,,,
55,PT07M07.00S,2021-12-18T17:20:28.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,94.79303547963207,45.833333333333336,1610612745,14,17,2021-12-18T17:20:32Z,550000,-21.0,-4.0,1,right,MISS C. Wood Layup,[1626174],1610612745.0,HOU,,,,,,,,,,Wood,C. Wood,,,2.11,Missed,,,,,,,,,,,,,,
56,PT07M05.00S,2021-12-18T17:20:30.7Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,14,17,2021-12-18T17:20:32Z,560000,,,0,,I. Stewart REBOUND (Off:0 Def:2),[1630191],1610612765.0,DET,,,,,,,,,,Stewart,I. Stewart,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,
57,PT07M00.00S,2021-12-18T17:20:36.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628977,6.356767411300922,97.05882352941177,1610612765,17,17,2021-12-18T17:20:53Z,570000,-235.0,7.0,1,left,H. Diallo 3PT  (3 PTS) (C. Cunningham 2 AST),"[1628977, 1630595]",1610612765.0,DET,,,,,,,,,,Diallo,H. Diallo,,,23.54,Made,,,,,3.0,,C. Cunningham,1630595.0,2.0,,,,,
59,PT06M38.00S,2021-12-18T17:20:58.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,94.26741130091985,53.92156862745098,1610612745,17,19,2021-12-18T17:25:13Z,590000,20.0,1.0,1,right,C. Wood driving Layup (2 PTS),[1626174],1610612745.0,HOU,driving,,,,,,,,,Wood,C. Wood,,,1.96,Made,,,,,2.0,,,,,,,,,
60,PT06M23.00S,2021-12-18T17:21:13.9Z,1,REGULAR,3pt,Jump Shot,[],1628977,5.962549277266746,96.56862745098039,1610612765,17,19,2021-12-18T17:21:18Z,600000,-233.0,4.0,1,left,MISS H. Diallo 3PT,[1628977],1610612765.0,DET,,,,,,,,,,Diallo,H. Diallo,,,23.28,Missed,,,,,,,,,,,,,,
61,PT06M20.00S,2021-12-18T17:21:16.9Z,1,REGULAR,rebound,defensive,[],1630528,,,1610612745,17,19,2021-12-18T17:21:18Z,610000,,,0,,J. Christopher REBOUND (Off:0 Def:1),[1630528],1610612745.0,HOU,,,,,,,,,,Christopher,J. Christopher,,,,,60.0,1.0,1.0,0.0,,,,,,,,,,
62,PT06M15.00S,2021-12-18T17:21:25.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630528,92.55913272010513,50.245098039215684,1610612745,17,19,2021-12-18T17:26:22Z,620000,1.0,17.0,1,right,MISS J. Christopher driving Layup - blocked,"[1630528, 1630165]",1610612745.0,HOU,driving,,,,,,,,,Christopher,J. Christopher,,,1.74,Missed,,,,,,,,,,,,Hayes,1630165.0,
63,PT06M15.00S,2021-12-18T17:21:25.0Z,1,REGULAR,block,,[],1630165,,,1610612745,17,19,2021-12-18T17:21:27Z,630000,,,0,,K. Hayes BLOCK (1 BLK),[1630165],1610612765.0,DET,,,,,,,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,
64,PT06M15.00S,2021-12-18T17:21:25.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,17,19,2021-12-18T17:21:29Z,640000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,
65,PT06M15.00S,2021-12-18T17:21:30.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,17,19,2021-12-18T17:21:30Z,650000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M12.00S,2021-12-18T17:21:43.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629726,94.13600525624179,52.450980392156865,1610612745,17,21,2021-12-18T17:21:47Z,660000,12.0,3.0,1,right,G. Mathews Layup (8 PTS) (J. Christopher 2 AST),"[1629726, 1630528]",1610612745.0,HOU,,,,,,,,,,Mathews,G. Mathews,,,1.26,Made,,,,,8.0,,J. Christopher,1630528.0,2.0,,,,,
68,PT06M01.00S,2021-12-18T17:21:54.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628977,5.962549277266746,53.431372549019606,1610612765,19,21,2021-12-18T17:22:04Z,680000,-17.0,4.0,1,left,H. Diallo reverse Layup (5 PTS) (I. Stewart 1 AST),"[1628977, 1630191]",1610612765.0,DET,reverse,,,,,,,,,Diallo,H. Diallo,,,1.76,Made,,,,,5.0,,I. Stewart,1630191.0,1.0,,,,,
70,PT05M44.00S,2021-12-18T17:22:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,94.66162943495401,53.18627450980392,1610612745,19,23,2021-12-18T17:27:49Z,700000,16.0,-2.0,1,right,J. Tate driving Layup (2 PTS) (E. Gordon 2 AST),"[1630256, 201569]",1610612745.0,HOU,driving,,,,,,,,,Tate,J. Tate,,,1.61,Made,,,,,2.0,,E. Gordon,201569.0,2.0,,,,,
72,PT05M37.00S,2021-12-18T17:22:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,6.093955321944804,54.65686274509804,1610612765,19,23,2021-12-18T17:22:24Z,720000,-23.0,5.0,1,left,MISS S. Bey driving Layup,[1630180],1610612765.0,DET,driving,,,,,,,,,Bey,S. Bey,,,2.38,Missed,,,,,,,,,,,,,,
73,PT05M33.00S,2021-12-18T17:22:22.9Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,19,23,2021-12-18T17:39:21Z,730000,,,0,,C. Wood REBOUND (Off:1 Def:1),[1626174],1610612745.0,HOU,,,,,,,,,,Wood,C. Wood,,,,,72.0,2.0,1.0,1.0,,,,,,,,,,
76,PT05M28.00S,2021-12-18T17:22:31.7Z,1,REGULAR,foul,personal,[],1630180,,,1610612745,19,23,2021-12-18T17:22:49Z,760000,,,0,,S. Bey personal FOUL (1 PF),"[1630180, 1626174]",1610612765.0,DET,,,,,,,1627534.0,1.0,0.0,Bey,S. Bey,Wood,1626174.0,,,,,,,,,,,,,,,,
78,PT05M28.00S,2021-12-18T17:22:44.8Z,1,REGULAR,substitution,out,[],1630595,,,1610612745,19,23,2021-12-18T17:22:50Z,780000,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,,,,,,,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,
79,PT05M28.00S,2021-12-18T17:22:44.8Z,1,REGULAR,substitution,in,[],1628402,,,1610612745,19,23,2021-12-18T17:22:50Z,790000,,,0,,SUB in: F. Jackson,[1628402],1610612765.0,DET,,,,,,,,,,Jackson,F. Jackson,,,,,,,,,,,,,,,,,,
80,PT05M16.00S,2021-12-18T17:23:10.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,92.95335085413929,45.34313725490197,1610612745,19,23,2021-12-18T17:30:52Z,800000,-23.0,14.0,1,right,MISS J. Tate driving Layup - blocked,"[1630256, 1630191]",1610612745.0,HOU,driving,,,,,,,,,Tate,J. Tate,,,2.7,Missed,,,,,,,,,,,,Stewart,1630191.0,
81,PT05M16.00S,2021-12-18T17:23:10.8Z,1,REGULAR,block,,[],1630191,,,1610612745,19,23,2021-12-18T17:23:13Z,810000,,,0,,I. Stewart BLOCK (1 BLK),[1630191],1610612765.0,DET,,,,,,,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,
82,PT05M13.00S,2021-12-18T17:23:13.8Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,19,23,2021-12-18T17:23:14Z,820000,,,0,,I. Stewart REBOUND (Off:0 Def:3),[1630191],1610612765.0,DET,,,,,,,,,,Stewart,I. Stewart,,,,,80.0,3.0,3.0,0.0,,,,,,,,,,
83,PT05M11.00S,2021-12-18T17:23:16.4Z,1,REGULAR,turnover,bad pass,[],1630165,,,1610612765,19,23,2021-12-18T17:23:20Z,830000,,,0,,K. Hayes bad pass TURNOVER (2 TO),"[1630165, 1630256]",1610612765.0,DET,,,,,,,,,,Hayes,K. Hayes,,,,,,,,,,2.0,,,,Tate,1630256.0,,,
84,PT05M11.00S,2021-12-18T17:23:16.4Z,1,REGULAR,steal,,[],1630256,,,1610612745,19,23,2021-12-18T17:23:18Z,840000,,,0,,J. Tate STEAL (2 STL),[1630256],1610612745.0,HOU,,,,,,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,
85,PT05M08.00S,2021-12-18T17:23:20.3Z,1,REGULAR,turnover,out-of-bounds,[],1630256,,,1610612745,19,23,2021-12-18T17:23:28Z,850000,,,0,,J. Tate bad pass out-of-bounds TURNOVER (1 TO),[1630256],1610612745.0,HOU,bad pass,,,,,,1199.0,,,Tate,J. Tate,,,,,,,,,,1.0,,,,,,,,
86,PT04M51.00S,2021-12-18T17:23:45.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630191,5.831143232588701,47.549019607843135,1610612765,21,23,2021-12-18T17:23:50Z,860000,12.0,2.0,1,left,I. Stewart Layup (4 PTS),[1630191],1610612765.0,DET,,,,,,,,,,Stewart,I. Stewart,,,1.25,Made,,,,,4.0,,,,,,,,,
87,PT04M50.00S,2021-12-18T17:23:51.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,21,23,2021-12-18T17:23:51Z,870000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M50.00S,2021-12-18T17:23:52.3Z,1,REGULAR,substitution,out,[],1630256,,,1610612745,21,23,2021-12-18T17:26:32Z,880000,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,,,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,
89,PT04M50.00S,2021-12-18T17:23:52.3Z,1,REGULAR,substitution,out,[],1629726,,,1610612745,21,23,2021-12-18T17:26:32Z,890000,,,0,,SUB out: G. Mathews,[1629726],1610612745.0,HOU,,,,,,,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,
90,PT04M50.00S,2021-12-18T17:23:52.3Z,1,REGULAR,substitution,in,[],1630578,,,1610612745,21,23,2021-12-18T17:26:32Z,900000,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,,,,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,
91,PT04M50.00S,2021-12-18T17:23:52.3Z,1,REGULAR,substitution,in,[],1630231,,,1610612745,21,23,2021-12-18T17:26:32Z,910000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,,,,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,
92,PT04M25.00S,2021-12-18T17:27:08.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201569,94.13600525624179,60.049019607843135,1610612745,21,23,2021-12-18T17:41:22Z,920000,50.0,3.0,1,right,MISS E. Gordon driving floating Shot,[201569],1610612745.0,HOU,driving floating,,,,,,,,,Gordon,E. Gordon,,,5.03,Missed,,,,,,,,,,,,,,
93,PT04M25.00S,2021-12-18T17:27:08.4Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,21,23,2021-12-18T17:27:15Z,930000,,,0,,H. Diallo REBOUND (Off:0 Def:2),[1628977],1610612765.0,DET,,,,,,,,,,Diallo,H. Diallo,,,,,92.0,2.0,2.0,0.0,,,,,,,,,,
190,PT04M25.00S,2021-12-18T17:27:14.3Z,1,REGULAR,turnover,lost ball,[],1628977,,,1610612765,21,23,2021-12-18T17:41:22Z,935000,,,0,,H. Diallo lost ball TURNOVER (1 TO),[1628977],1610612765.0,DET,,,,,,,,,,Diallo,H. Diallo,,,,,,,,,,1.0,,,,,,,,
