actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,playerName,playerNameI,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
15,PT11M13.00S,2021-11-02T23:12:15.7Z,1,REGULAR,foul,personal,[],1630191,,,1610612749,0,2,2021-11-02T23:12:56Z,150000,,,0,,I. Stewart personal FOUL (1 PF),"[1630191, 203648]",1610612765.0,DET,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Antetokounmpo,203648.0,
17,PT11M02.00S,2021-11-02T23:12:46.2Z,1,REGULAR,turnover,out-of-bounds,[],203507,,,1610612749,0,2,2021-11-02T23:13:02Z,170000,,,0,,G. Antetokounmpo bad pass out-of-bounds TURNOVER (1 TO),[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,bad pass,,,,,,1.0,,,,,,,,,,,,,,,1628951.0,,,,,
18,PT10M48.00S,2021-11-02T23:13:08.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203924,73.37385019710908,15.196078431372555,1610612765,3,2,2021-11-02T23:14:02Z,180000,-174.0,198.0,1,right,J. Grant 26' 3PT  (3 PTS) (S. Bey 1 AST),"[203924, 1630180]",1610612765.0,DET,Grant,J. Grant,,,,,,,,,,26.34,Made,3.0,S. Bey,1630180.0,1.0,,,,,,,,,,,,
20,PT10M31.00S,2021-11-02T23:13:25.3Z,1,REGULAR,2pt,Jump Shot,[],203507,6.750985545335084,76.22549019607843,1610612749,3,4,2021-11-02T23:13:52Z,200000,-131.0,11.0,1,left,G. Antetokounmpo 13' turnaround fadeaway Jump Shot (2 PTS),[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,turnaround fadeaway,,,,,,,,,13.16,Made,2.0,,,,,,,,,,,,,,,
21,PT10M15.00S,2021-11-02T23:13:40.9Z,1,REGULAR,3pt,Jump Shot,[],203924,72.45400788436268,81.12745098039215,1610612765,6,4,2021-11-02T23:14:05Z,210000,156.0,206.0,1,right,J. Grant 25' 3PT  (6 PTS) (C. Cunningham 1 AST),"[203924, 1630595]",1610612765.0,DET,Grant,J. Grant,,,,,,,,,,25.85,Made,6.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,
23,PT09M58.00S,2021-11-02T23:13:58.3Z,1,REGULAR,2pt,Jump Shot,[],201588,23.570959264126145,73.0392156862745,1610612749,6,4,2021-11-02T23:15:35Z,230000,-115.0,169.0,1,left,MISS G. Hill 20' pullup Shot,[201588],1610612749.0,MIL,Hill,G. Hill,pullup,,,,,,,,,20.46,Missed,,,,,,,,,,,,,,,,
24,PT09M58.00S,2021-11-02T23:13:58.3Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,6,4,2021-11-02T23:14:10Z,240000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,
25,PT09M50.00S,2021-11-02T23:14:07.6Z,1,REGULAR,turnover,out-of-bounds,[],1630595,,,1610612765,6,4,2021-11-02T23:14:14Z,250000,,,0,,C. Cunningham bad pass out-of-bounds TURNOVER (1 TO),[1630595],1610612765.0,DET,Cunningham,C. Cunningham,bad pass,,,,,,1.0,,,,,,,,,,,,,,,101283.0,,,,,
26,PT09M37.00S,2021-11-02T23:14:24.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203507,25.147831800262807,86.76470588235294,1610612749,6,7,2021-11-02T23:14:29Z,260000,-184.0,184.0,1,left,G. Antetokounmpo 26' 3PT  (5 PTS) (G. Hill 1 AST),"[203507, 201588]",1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,26.0,Made,5.0,G. Hill,201588.0,1.0,,,,,,,,,,,,
28,PT09M22.00S,2021-11-02T23:14:38.9Z,1,REGULAR,3pt,Jump Shot,[],203924,71.92838370565046,78.18627450980392,1610612765,6,7,2021-11-02T23:14:42Z,280000,141.0,211.0,1,right,MISS J. Grant 25' 3PT,[203924],1610612765.0,DET,Grant,J. Grant,,,,,,,,,,25.41,Missed,,,,,,,,,,,,,,,,
29,PT09M20.00S,2021-11-02T23:14:40.9Z,1,REGULAR,rebound,defensive,[],201588,,,1610612749,6,7,2021-11-02T23:14:42Z,290000,,,0,,G. Hill REBOUND (Off:0 Def:2),[201588],1610612749.0,MIL,Hill,G. Hill,,,,,,,,,,,,,,,,,,28.0,2.0,2.0,0.0,,,,,,
30,PT09M14.00S,2021-11-02T23:14:46.7Z,1,REGULAR,3pt,Jump Shot,[],1628960,29.352825229960573,83.82352941176471,1610612749,6,7,2021-11-02T23:16:45Z,300000,-169.0,223.0,1,left,MISS G. Allen 28' running 3PT,[1628960],1610612749.0,MIL,Allen,G. Allen,running,,,,,,,,,28.02,Missed,,,,,,,,,,,,,,,,
31,PT09M12.00S,2021-11-02T23:14:48.7Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,6,7,2021-11-02T23:14:50Z,310000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,Bey,S. Bey,,,,,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,
32,PT09M03.00S,2021-11-02T23:14:58.4Z,1,REGULAR,3pt,Jump Shot,[],1630180,69.69448094612352,26.470588235294116,1610612765,6,7,2021-11-02T23:15:04Z,320000,-118.0,232.0,1,right,MISS S. Bey 26' 3PT,[1630180],1610612765.0,DET,Bey,S. Bey,,,,,,,,,,26.05,Missed,,,,,,,,,,,,,,,,
33,PT09M02.00S,2021-11-02T23:14:59.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,6,7,2021-11-02T23:15:04Z,330000,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,
34,PT09M02.00S,2021-11-02T23:15:04.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,6,7,2021-11-02T23:15:04Z,340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M46.00S,2021-11-02T23:15:28.8Z,1,REGULAR,3pt,Jump Shot,[],1628960,25.147831800262807,86.27450980392157,1610612749,6,10,2021-11-02T23:15:34Z,350000,-181.0,184.0,1,left,G. Allen 25' 3PT step back (3 PTS),[1628960],1610612749.0,MIL,Allen,G. Allen,step back,,,,,,,,,25.83,Made,3.0,,,,,,,,,,,,,,,
36,PT08M26.00S,2021-11-02T23:15:47.8Z,1,REGULAR,3pt,Jump Shot,[],1630595,80.33837056504599,94.8529411764706,1610612765,6,10,2021-11-02T23:15:52Z,360000,224.0,132.0,1,right,MISS C. Cunningham 26' 3PT,[1630595],1610612765.0,DET,Cunningham,C. Cunningham,,,,,,,,,,26.04,Missed,,,,,,,,,,,,,,,,
37,PT08M24.00S,2021-11-02T23:15:49.8Z,1,REGULAR,rebound,defensive,[],203648,,,1610612749,6,10,2021-11-02T23:15:52Z,370000,,,0,,T. Antetokounmpo REBOUND (Off:0 Def:1),[203648],1610612749.0,MIL,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,
38,PT08M16.00S,2021-11-02T23:16:01.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,5.831143232588701,46.07843137254902,1610612749,6,12,2021-11-02T23:16:06Z,380000,20.0,2.0,1,left,G. Antetokounmpo driving Layup (7 PTS),[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,driving,,,,,,,,,1.97,Made,7.0,,,,,,,,,,,,,,,
39,PT08M16.00S,2021-11-02T23:16:03.7Z,1,REGULAR,foul,personal,['1freethrow'],1630595,,,1610612749,6,12,2021-11-02T23:16:11Z,390000,,,0,,C. Cunningham shooting personal FOUL (1 PF) (Antetokounmpo 1 FT),"[1630595, 203507]",1610612765.0,DET,Cunningham,C. Cunningham,shooting,,,,,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Antetokounmpo,203507.0,
41,PT08M16.00S,2021-11-02T23:16:40.6Z,1,REGULAR,freethrow,1 of 1,[],203507,,,1610612749,6,13,2021-11-02T23:16:40Z,410000,,,0,,G. Antetokounmpo Free Throw 1 of 1 (8 PTS),[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,,
42,PT08M04.00S,2021-11-02T23:16:53.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,94.00459921156373,46.32352941176471,1610612765,8,13,2021-11-02T23:16:58Z,420000,-18.0,4.0,1,right,I. Stewart cutting Layup (2 PTS) (K. Hayes 1 AST),"[1630191, 1630165]",1610612765.0,DET,Stewart,I. Stewart,cutting,,,,,,,,,1.88,Made,2.0,K. Hayes,1630165.0,1.0,,,,,,,,,,,,
44,PT07M43.00S,2021-11-02T23:17:15.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201588,7.013797634691201,48.28431372549019,1610612749,8,15,2021-11-02T23:18:59Z,440000,9.0,13.0,1,left,G. Hill driving finger roll Layup (2 PTS),[201588],1610612749.0,MIL,Hill,G. Hill,driving finger roll,,,,,,,,,1.59,Made,2.0,,,,,,,,,,,,,,,
45,PT07M24.00S,2021-11-02T23:17:33.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,93.74178712220763,46.568627450980394,1610612765,8,15,2021-11-02T23:17:45Z,450000,-17.0,6.0,1,right,MISS C. Cunningham Layup,[1630595],1610612765.0,DET,Cunningham,C. Cunningham,,,,,,,,,,1.83,Missed,,,,,,,,,,,,,,,,
46,PT07M22.00S,2021-11-02T23:17:35.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,8,15,2021-11-02T23:17:45Z,460000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,
47,PT07M18.00S,2021-11-02T23:17:42.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203507,6.8823915900131425,54.65686274509804,1610612749,8,15,2021-11-02T23:24:42Z,470000,-23.0,12.0,1,left,MISS G. Antetokounmpo running Layup - blocked,"[203507, 203924]",1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,running,,,,,,,,,2.63,Missed,,,,,Grant,203924.0,,,,,,,,,,
48,PT07M18.00S,2021-11-02T23:17:42.0Z,1,REGULAR,block,,[],203924,,,1610612749,8,15,2021-11-02T23:17:49Z,480000,,,0,,J. Grant BLOCK (1 BLK),[203924],1610612765.0,DET,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M18.00S,2021-11-02T23:17:42.0Z,1,REGULAR,rebound,offensive,[],201588,,,1610612749,8,15,2021-11-02T23:17:53Z,490000,,,0,,G. Hill REBOUND (Off:1 Def:2),[201588],1610612749.0,MIL,Hill,G. Hill,,,,,,,,,,,,,,,,,,47.0,3.0,2.0,1.0,,,,,,
50,PT07M18.00S,2021-11-02T23:17:52.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,8,15,2021-11-02T23:17:52Z,500000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M18.00S,2021-11-02T23:17:53.9Z,1,REGULAR,substitution,out,[],203648,,,1610612749,8,15,2021-11-02T23:17:59Z,510000,,,0,,SUB out: T. Antetokounmpo,[203648],1610612749.0,MIL,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M18.00S,2021-11-02T23:17:53.9Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,8,15,2021-11-02T23:17:59Z,520000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M05.00S,2021-11-02T23:18:21.4Z,1,REGULAR,turnover,bad pass,[],1626192,,,1610612749,8,15,2021-11-02T23:18:27Z,530000,,,0,,P. Connaughton bad pass TURNOVER (1 TO),"[1626192, 203924]",1610612749.0,MIL,Connaughton,P. Connaughton,,,,,,,1.0,Grant,203924.0,,,,,,,,,,,,,,,,,,
54,PT07M05.00S,2021-11-02T23:18:21.4Z,1,REGULAR,steal,,[],203924,,,1610612765,8,15,2021-11-02T23:18:23Z,540000,,,0,,J. Grant STEAL (1 STL),[203924],1610612765.0,DET,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M55.00S,2021-11-02T23:18:30.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630165,68.38042049934297,55.14705882352941,1610612765,8,15,2021-11-02T23:18:36Z,550000,26.0,245.0,1,right,MISS K. Hayes 24' 3PT,[1630165],1610612765.0,DET,Hayes,K. Hayes,,,,,,,,,,24.6,Missed,,,,,,,,,,,,,,,,
56,PT06M53.00S,2021-11-02T23:18:32.8Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,8,15,2021-11-02T23:18:36Z,560000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,Allen,G. Allen,,,,,,,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,
57,PT06M42.00S,2021-11-02T23:18:47.2Z,1,REGULAR,2pt,Jump Shot,[],1628960,22.651116951379763,36.274509803921575,1610612749,8,15,2021-11-02T23:22:43Z,570000,69.0,160.0,1,left,MISS G. Allen 17' step back Shot,[1628960],1610612749.0,MIL,Allen,G. Allen,step back,,,,,,,,,17.45,Missed,,,,,,,,,,,,,,,,
58,PT06M42.00S,2021-11-02T23:18:48.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,8,15,2021-11-02T23:18:48Z,580000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,
59,PT06M42.00S,2021-11-02T23:18:50.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,8,15,2021-11-02T23:18:50Z,590000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M42.00S,2021-11-02T23:18:52.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,8,15,2021-11-02T23:18:52Z,600000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M35.00S,2021-11-02T23:21:54.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628960,34.21484888304862,43.872549019607845,1610612749,8,15,2021-11-02T23:22:00Z,610000,31.0,269.0,1,left,MISS G. Allen 27' 3PT,[1628960],1610612749.0,MIL,Allen,G. Allen,,,,,,,,,,27.08,Missed,,,,,,,,,,,,,,,,
63,PT06M33.00S,2021-11-02T23:21:56.9Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,8,15,2021-11-02T23:21:56Z,620000,,,0,,I. Stewart REBOUND (Off:0 Def:2),[1630191],1610612765.0,DET,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,62.0,2.0,2.0,0.0,,,,,,
64,PT06M13.00S,2021-11-02T23:22:17.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,94.00459921156373,43.627450980392155,1610612765,8,15,2021-11-02T23:22:23Z,630000,-32.0,4.0,1,right,MISS I. Stewart Layup - blocked,"[1630191, 1628960]",1610612765.0,DET,Stewart,I. Stewart,,,,,,,,,,3.21,Missed,,,,,Allen,1628960.0,,,,,,,,,,
65,PT06M13.00S,2021-11-02T23:22:17.1Z,1,REGULAR,block,,[],1628960,,,1610612765,8,15,2021-11-02T23:22:19Z,640000,,,0,,G. Allen BLOCK (2 BLK),[1628960],1610612749.0,MIL,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M10.00S,2021-11-02T23:22:20.1Z,1,REGULAR,rebound,defensive,[],201588,,,1610612749,8,15,2021-11-02T23:22:23Z,650000,,,0,,G. Hill REBOUND (Off:1 Def:3),[201588],1610612749.0,MIL,Hill,G. Hill,,,,,,,,,,,,,,,,,,64.0,4.0,3.0,1.0,,,,,,
67,PT06M05.00S,2021-11-02T23:22:29.8Z,1,REGULAR,turnover,palming,[],203507,,,1610612749,8,15,2021-11-02T23:23:38Z,660000,,,0,,G. Antetokounmpo palming TURNOVER (2 TO),[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,,,,,,,2.0,,,,,,,,,,,,,,,1628951.0,,,,,
68,PT06M05.00S,2021-11-02T23:22:34.3Z,1,REGULAR,substitution,out,[],1626192,,,1610612765,8,15,2021-11-02T23:22:47Z,670000,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M05.00S,2021-11-02T23:22:34.3Z,1,REGULAR,substitution,out,[],203507,,,1610612765,8,15,2021-11-02T23:22:47Z,680000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M05.00S,2021-11-02T23:22:34.3Z,1,REGULAR,substitution,in,[],1629670,,,1610612765,8,15,2021-11-02T23:22:47Z,690000,,,0,,SUB in: J. Nwora,[1629670],1610612749.0,MIL,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M05.00S,2021-11-02T23:22:34.3Z,1,REGULAR,substitution,in,[],1628400,,,1610612765,8,15,2021-11-02T23:22:47Z,700000,,,0,,SUB in: S. Ojeleye,[1628400],1610612749.0,MIL,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M51.00S,2021-11-02T23:23:01.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630595,79.54993429697765,50.73529411764706,1610612765,10,15,2021-11-02T23:26:18Z,710000,4.0,140.0,1,right,C. Cunningham 13' Jump Shot (2 PTS) (J. Grant 1 AST),"[1630595, 203924]",1610612765.0,DET,Cunningham,C. Cunningham,,,,,,,,,,13.97,Made,2.0,J. Grant,203924.0,1.0,,,,,,,,,,,,
74,PT05M38.00S,2021-11-02T23:23:15.8Z,1,REGULAR,2pt,Jump Shot,[],1626171,15.423784494086718,86.76470588235294,1610612749,10,15,2021-11-02T23:23:46Z,730000,-184.0,92.0,1,left,MISS B. Portis 20' Jump Shot,[1626171],1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,20.58,Missed,,,,,,,,,,,,,,,,
75,PT05M38.00S,2021-11-02T23:23:15.8Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,10,15,2021-11-02T23:23:46Z,740000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,74.0,1.0,1.0,0.0,,,,,,
76,PT05M26.00S,2021-11-02T23:23:27.5Z,1,REGULAR,turnover,lost ball,[],1630191,,,1610612765,10,15,2021-11-02T23:23:52Z,750000,,,0,,I. Stewart lost ball TURNOVER (2 TO),"[1630191, 1626171]",1610612765.0,DET,Stewart,I. Stewart,,,,,,,2.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,
77,PT05M26.00S,2021-11-02T23:23:27.5Z,1,REGULAR,steal,,[],1626171,,,1610612749,10,15,2021-11-02T23:23:29Z,760000,,,0,,B. Portis STEAL (1 STL),[1626171],1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M16.00S,2021-11-02T23:23:37.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1626171,8.327858081471746,43.13725490196079,1610612749,10,15,2021-11-02T23:29:19Z,770000,34.0,26.0,1,left,MISS B. Portis Hook,[1626171],1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,4.29,Missed,,,,,,,,,,,,,,,,
79,PT05M14.00S,2021-11-02T23:23:39.8Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,10,15,2021-11-02T23:29:19Z,780000,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,78.0,1.0,1.0,0.0,,,,,,
80,PT05M10.00S,2021-11-02T23:23:42.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630165,88.48554533508542,59.80392156862745,1610612765,10,15,2021-11-02T23:29:47Z,790000,49.0,56.0,1,right,MISS K. Hayes 7' running Layup - blocked,"[1630165, 1626171]",1610612765.0,DET,Hayes,K. Hayes,running,,,,,,,,,7.42,Missed,,,,,Portis,1626171.0,,,,,,,,,,
81,PT05M10.00S,2021-11-02T23:23:42.8Z,1,REGULAR,block,,[],1626171,,,1610612765,10,15,2021-11-02T23:23:45Z,800000,,,0,,B. Portis BLOCK (1 BLK),[1626171],1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M08.00S,2021-11-02T23:23:44.8Z,1,REGULAR,rebound,defensive,[],201588,,,1610612749,10,15,2021-11-02T23:24:09Z,810000,,,0,,G. Hill REBOUND (Off:1 Def:4),[201588],1610612749.0,MIL,Hill,G. Hill,,,,,,,,,,,,,,,,,,80.0,5.0,4.0,1.0,,,,,,
83,PT05M08.00S,2021-11-02T23:23:47.9Z,1,REGULAR,foul,personal,[],1630165,,,1610612749,10,15,2021-11-02T23:28:59Z,820000,,,0,,K. Hayes take personal FOUL (1 PF),"[1630165, 201588]",1610612765.0,DET,Hayes,K. Hayes,take,,,,,,,,,,,,,,,,,,,,,201245.0,1.0,0.0,Hill,201588.0,
85,PT05M08.00S,2021-11-02T23:23:54.2Z,1,REGULAR,substitution,out,[],1630165,,,1610612749,10,15,2021-11-02T23:24:08Z,840000,,,0,,SUB out: K. Hayes,[1630165],1610612765.0,DET,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M08.00S,2021-11-02T23:23:54.2Z,1,REGULAR,substitution,out,[],1630191,,,1610612749,10,15,2021-11-02T23:24:08Z,850000,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M08.00S,2021-11-02T23:23:54.2Z,1,REGULAR,substitution,out,[],201588,,,1610612749,10,15,2021-11-02T23:24:08Z,860000,,,0,,SUB out: G. Hill,[201588],1610612749.0,MIL,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M08.00S,2021-11-02T23:23:54.2Z,1,REGULAR,substitution,in,[],203482,,,1610612749,10,15,2021-11-02T23:24:08Z,870000,,,0,,SUB in: K. Olynyk,[203482],1610612765.0,DET,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,,
