actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
37,PT08M58.00S,2022-12-03T02:16:00.2Z,1,REGULAR,freethrow,1 of 2,[],1630188,,,1610612754,6,6,2022-12-03T02:16:00Z,370000,False,,,0,,J. Smith Free Throw 1 of 2 (1 PTS),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
38,PT08M58.00S,2022-12-03T02:16:14.3Z,1,REGULAR,freethrow,2 of 2,[],1630188,,,1610612754,6,7,2022-12-03T02:16:14Z,380000,False,,,0,,J. Smith Free Throw 2 of 2 (2 PTS),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
39,PT08M41.00S,2022-12-03T02:16:33.4Z,1,REGULAR,3pt,Jump Shot,[],1628374,68.01905387647832,22.54901960784314,1610612762,9,7,2022-12-03T02:16:38Z,390000,False,-137.0,248.0,1,right,L. Markkanen 28' 3PT  (7 PTS) (C. Sexton 1 AST),"[1628374, 1629012]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,,,28.36,Made,7.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,
41,PT08M19.00S,2022-12-03T02:17:03.4Z,1,REGULAR,3pt,Jump Shot,[],1627741,6.389618922470433,95.09803921568627,1610612754,9,7,2022-12-03T02:17:08Z,410000,False,-225.0,8.0,1,left,MISS B. Hield 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Left Corner 3,24+ Left,,,22.56,Missed,,,,,,,,,,,,,,,,
42,PT08M15.00S,2022-12-03T02:17:07.4Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,9,7,2022-12-03T02:17:08Z,420000,False,,,0,,J. Vanderbilt REBOUND (Off:0 Def:2),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,41.0,2.0,2.0,0.0,,
43,PT08M06.00S,2022-12-03T02:17:15.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,83.919185282523,44.6078431372549,1610612762,11,7,2022-12-03T03:25:42Z,430000,False,-27.0,99.0,1,right,C. Sexton 10' fadeaway Jump Shot (2 PTS),[1629012],1610612762.0,UTA,fadeaway,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Center,,,10.23,Made,2.0,,,,,,,,,,,,,,,
44,PT07M53.00S,2022-12-03T02:17:34.0Z,1,REGULAR,foul,offensive,[],1626167,,,1610612754,11,7,2022-12-03T02:17:42Z,440000,False,,,0,,M. Turner offensive FOUL (1 PF),"[1626167, 1629020]",1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,1193.0,,,,,,,,,,1.0,0.0,Vanderbilt,1629020.0,,,,,,
46,PT07M53.00S,2022-12-03T02:17:34.0Z,1,REGULAR,turnover,offensive foul,[],1626167,,,1610612754,11,7,2022-12-03T02:17:34Z,460000,False,,,0,,M. Turner offensive foul TURNOVER (1 TO),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,1193.0,1.0,,,,,,,,,,,,,,,,,,
48,PT07M33.00S,2022-12-03T02:18:04.0Z,1,REGULAR,turnover,lost ball,[],203903,,,1610612762,11,7,2022-12-03T02:18:11Z,470000,False,,,0,,J. Clarkson lost ball TURNOVER (1 TO),"[203903, 1629614]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),8-16 Center,,1.0,,,,,,,Nembhard,1629614.0,,,,,,,,,,
49,PT07M33.00S,2022-12-03T02:18:04.0Z,1,REGULAR,steal,,[],1629614,,,1610612754,11,7,2022-12-03T02:18:05Z,480000,False,,,0,,A. Nembhard STEAL (1 STL),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
50,PT07M30.00S,2022-12-03T02:18:47.0Z,1,REGULAR,jumpball,recovered,[],203903,,,1610612754,11,7,2022-12-03T02:18:47Z,490000,False,,,0,,Jump Ball K. Olynyk vs. J. Smith: Tip to J. Clarkson,"[203903, 203482, 1630188]",1610612762.0,UTA,heldball,J. Clarkson,203903.0,Clarkson,J. Clarkson,Olynyk,203482.0,Smith,1630188.0,,,,,,,,,,,,,,,,,,,,,,
53,PT07M30.00S,2022-12-03T02:18:47.0Z,1,REGULAR,turnover,lost ball,[],1630188,,,1610612754,11,7,2022-12-03T02:18:47Z,520000,False,,,0,,J. Smith lost ball TURNOVER (1 TO),"[1630188, 203482]",1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,1.0,,,,,,,Olynyk,203482.0,,,,,,,,,,
54,PT07M30.00S,2022-12-03T02:18:47.0Z,1,REGULAR,steal,,[],203482,,,1610612762,11,7,2022-12-03T02:18:47Z,530000,False,,,0,,K. Olynyk STEAL (1 STL),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M17.00S,2022-12-03T02:19:22.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628374,77.08607095926413,8.57843137254902,1610612762,11,7,2022-12-03T02:19:27Z,550000,False,-207.0,163.0,1,right,MISS L. Markkanen 26' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,,,26.35,Missed,,,,,,,,,,,,,,,,
57,PT07M14.00S,2022-12-03T02:19:25.4Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,11,7,2022-12-03T02:19:27Z,560000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,56.0,2.0,2.0,0.0,,
58,PT07M09.00S,2022-12-03T02:19:30.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630169,27.54599211563732,76.22549019607843,1610612754,11,7,2022-12-03T02:19:37Z,570000,False,-131.0,206.0,1,left,MISS T. Haliburton 24' 3PT,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,24.45,Missed,,,,,,,,,,,,,,,,
59,PT07M05.00S,2022-12-03T02:19:34.5Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,11,7,2022-12-03T02:19:37Z,580000,False,,,0,,J. Vanderbilt REBOUND (Off:0 Def:3),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,58.0,3.0,3.0,0.0,,
60,PT06M57.00S,2022-12-03T02:19:40.7Z,1,REGULAR,3pt,Jump Shot,[],203903,73.14388961892247,87.5,1610612762,11,7,2022-12-03T02:19:47Z,590000,False,188.0,200.0,1,right,MISS J. Clarkson 27' pullup 3PT,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,,,27.41,Missed,,,,,,,,,,,,,,,,
61,PT06M55.00S,2022-12-03T02:19:42.7Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,11,7,2022-12-03T02:19:47Z,600000,False,,,0,,M. Turner REBOUND (Off:0 Def:3),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,60.0,3.0,3.0,0.0,,
62,PT06M47.00S,2022-12-03T02:19:51.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,19.66162943495401,48.77450980392157,1610612754,11,9,2022-12-03T02:19:56Z,610000,False,6.0,132.0,1,left,M. Turner 13' Jump Shot (6 PTS) (A. Nembhard 3 AST),"[1626167, 1629614]",1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,,,13.24,Made,6.0,A. Nembhard,1629614.0,3.0,,,,,,,,,,,,
64,PT06M33.00S,2022-12-03T02:20:05.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,82.07950065703022,41.66666666666667,1610612762,13,9,2022-12-03T02:20:11Z,630000,False,-42.0,116.0,1,right,L. Markkanen 12' step back Jump Shot (9 PTS) (C. Sexton 2 AST),"[1628374, 1629012]",1610612762.0,UTA,step back,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Center,,,12.33,Made,9.0,C. Sexton,1629012.0,2.0,,,,,,,,,,,,
66,PT06M22.00S,2022-12-03T02:20:17.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,9.674770039421814,57.35294117647059,1610612754,13,11,2022-12-03T02:20:22Z,650000,False,-37.0,38.0,1,left,B. Hield driving Layup (2 PTS),[1627741],1610612754.0,IND,driving,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,,,5.32,Made,2.0,,,,,,,,,,,,,,,
67,PT06M15.00S,2022-12-03T02:20:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,91.5407358738502,44.11764705882353,1610612762,15,11,2022-12-03T02:20:32Z,660000,False,-29.0,27.0,1,right,C. Sexton running Layup (4 PTS),[1629012],1610612762.0,UTA,running,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,3.99,Made,4.0,,,,,,,,,,,,,,,
68,PT06M11.00S,2022-12-03T02:20:31.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,15,11,2022-12-03T02:20:31Z,670000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M11.00S,2022-12-03T02:22:46.5Z,1,REGULAR,substitution,out,[],1628374,,,1610612754,15,11,2022-12-03T02:23:12Z,680000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M11.00S,2022-12-03T02:22:46.5Z,1,REGULAR,substitution,out,[],1629012,,,1610612754,15,11,2022-12-03T02:23:12Z,690000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M11.00S,2022-12-03T02:22:46.5Z,1,REGULAR,substitution,out,[],1627741,,,1610612754,15,11,2022-12-03T02:23:12Z,700000,False,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M11.00S,2022-12-03T02:22:46.5Z,1,REGULAR,substitution,out,[],1626167,,,1610612754,15,11,2022-12-03T02:23:12Z,710000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M11.00S,2022-12-03T02:22:46.5Z,1,REGULAR,substitution,in,[],1627736,,,1610612754,15,11,2022-12-03T02:23:12Z,720000,False,,,0,,SUB in: M. Beasley,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M11.00S,2022-12-03T02:22:46.5Z,1,REGULAR,substitution,in,[],1629659,,,1610612754,15,11,2022-12-03T02:23:12Z,730000,False,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M11.00S,2022-12-03T02:22:46.5Z,1,REGULAR,substitution,in,[],1630543,,,1610612754,15,11,2022-12-03T02:23:12Z,740000,False,,,0,,SUB in: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M11.00S,2022-12-03T02:22:46.5Z,1,REGULAR,substitution,in,[],1631097,,,1610612754,15,11,2022-12-03T02:23:12Z,750000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M59.00S,2022-12-03T02:23:37.2Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,15,11,2022-12-03T02:23:41Z,760000,False,,,0,,T. Haliburton bad pass TURNOVER (2 TO),"[1630169, 203482]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),8-16 Center,,2.0,,,,,,,Olynyk,203482.0,,,,,,,,,,
78,PT05M59.00S,2022-12-03T02:23:37.2Z,1,REGULAR,steal,,[],203482,,,1610612762,15,11,2022-12-03T02:23:55Z,770000,False,,,0,,K. Olynyk STEAL (2 STL),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
79,PT05M50.00S,2022-12-03T02:23:46.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627736,66.5735873850197,44.36274509803921,1610612762,18,11,2022-12-03T02:23:51Z,780000,False,-28.0,262.0,1,right,M. Beasley 26' 3PT  (3 PTS) (T. Horton-Tucker 1 AST),"[1627736, 1629659]",1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Center,,,26.32,Made,3.0,T. Horton-Tucker,1629659.0,1.0,,,,,,,,,,,,
81,PT05M37.00S,2022-12-03T02:23:59.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,10.5946123521682,43.38235294117647,1610612754,18,11,2022-12-03T02:24:05Z,800000,False,33.0,47.0,1,left,MISS T. Haliburton driving Layup,[1630169],1610612754.0,IND,driving,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,,,5.76,Missed,,,,,,,,,,,,,,,,
82,PT05M34.00S,2022-12-03T02:24:01.5Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,18,11,2022-12-03T02:24:01Z,810000,False,,,0,,J. Vanderbilt REBOUND (Off:0 Def:4),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,81.0,4.0,4.0,0.0,,
84,PT05M33.00S,2022-12-03T02:24:15.7Z,1,REGULAR,substitution,out,[],1629020,,,1610612762,18,11,2022-12-03T02:24:27Z,830000,False,,,0,,SUB out: J. Vanderbilt,[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M33.00S,2022-12-03T02:24:15.7Z,1,REGULAR,substitution,in,[],1631117,,,1610612762,18,11,2022-12-03T02:24:27Z,840000,False,,,0,,SUB in: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M19.00S,2022-12-03T02:24:39.1Z,1,REGULAR,3pt,Jump Shot,[],203482,91.93495400788436,95.58823529411765,1610612762,21,11,2022-12-03T02:24:43Z,850000,False,228.0,23.0,1,right,K. Olynyk 3PT  (3 PTS) (T. Horton-Tucker 2 AST),"[203482, 1629659]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Right Corner 3,24+ Right,,,22.91,Made,3.0,T. Horton-Tucker,1629659.0,2.0,,,,,,,,,,,,
88,PT05M15.00S,2022-12-03T02:24:51.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,21,11,2022-12-03T02:24:51Z,870000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M15.00S,2022-12-03T02:26:53.1Z,1,REGULAR,substitution,out,[],1630169,,,1610612754,21,11,2022-12-03T02:27:45Z,880000,False,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,,
