actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT11M04.00S,2023-01-14T02:11:11.9Z,1,REGULAR,turnover,out-of-bounds,[],1631094,,,1610612753,0,0,2023-01-14T02:11:20Z,150000,False,,,0,,P. Banchero step out-of-bounds TURNOVER (1 TO),[1631094],1610612753.0,ORL,step,,,Banchero,P. Banchero,,,,,Right Corner 3,24+ Right,,,,,,,1.0,,,1628484.0,,,,,,,,,,
16,PT10M53.00S,2023-01-14T02:11:38.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627736,91.80354796320631,95.09803921568627,1610612762,3,0,2023-01-14T02:11:43Z,160000,False,225.0,25.0,1,right,M. Beasley 3PT  (3 PTS) (L. Markkanen 1 AST),"[1627736, 1628374]",1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Right Corner 3,24+ Right,22.68,Made,,,,,,,,,3.0,L. Markkanen,1628374.0,1.0,,,,,,
18,PT10M37.00S,2023-01-14T02:11:53.7Z,1,REGULAR,3pt,Jump Shot,[],1630532,29.25427069645204,30.637254901960787,1610612753,3,3,2023-01-14T02:13:01Z,180000,False,97.0,222.0,1,left,F. Wagner 24' 3PT pullup (3 PTS) (W. Carter Jr. 1 AST),"[1630532, 1628976]",1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,24.26,Made,,,,,,,,,3.0,W. Carter Jr.,1628976.0,1.0,,,,,,
20,PT10M18.00S,2023-01-14T02:12:15.1Z,1,REGULAR,turnover,3-second-violation,[],1631117,,,1610612762,3,3,2023-01-14T02:12:25Z,200000,False,,,0,,W. Kessler 3-second-violation TURNOVER (1 TO),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,1.0,,,1830.0,,,,,,,,,,
21,PT10M04.00S,2023-01-14T02:12:50.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203914,7.5722733245729295,55.63725490196079,1610612753,3,3,2023-01-14T02:12:55Z,210000,False,-28.0,19.0,1,left,MISS G. Harris driving Layup - blocked,"[203914, 1631117]",1610612753.0,ORL,driving,,,Harris,G. Harris,,,,,Restricted Area,0-8 Center,3.38,Missed,,,,,,,,,,,,,Kessler,1631117.0,,,,
22,PT10M04.00S,2023-01-14T02:12:50.6Z,1,REGULAR,block,,[],1631117,,,1610612753,3,3,2023-01-14T02:12:52Z,220000,False,,,0,,W. Kessler BLOCK (1 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M02.00S,2023-01-14T02:12:52.6Z,1,REGULAR,rebound,offensive,[],203914,,,1610612753,3,3,2023-01-14T02:12:55Z,230000,False,,,0,,G. Harris REBOUND (Off:1 Def:0),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Restricted Area,0-8 Center,,,21.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT10M01.00S,2023-01-14T02:12:53.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203914,7.835085413929041,53.67647058823529,1610612753,3,3,2023-01-14T02:14:28Z,240000,False,-18.0,21.0,1,left,MISS G. Harris putback Layup,[203914],1610612753.0,ORL,putback,,,Harris,G. Harris,,,,,Restricted Area,0-8 Center,2.8,Missed,,,,,,,,,,,,,,,,,,
25,PT10M01.00S,2023-01-14T02:12:53.6Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,3,3,2023-01-14T02:12:59Z,250000,False,,,0,,J. Clarkson REBOUND (Off:0 Def:2),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Restricted Area,0-8 Center,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,,
26,PT09M51.00S,2023-01-14T02:13:03.7Z,1,REGULAR,turnover,bad pass,[],203903,,,1610612762,3,3,2023-01-14T02:13:08Z,260000,False,,,0,,J. Clarkson bad pass TURNOVER (1 TO),"[203903, 1630532]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Mid-Range,8-16 Right,,,,,,,1.0,Wagner,1630532.0,,,,,,,,,,,
27,PT09M51.00S,2023-01-14T02:13:03.7Z,1,REGULAR,steal,,[],1630532,,,1610612753,3,3,2023-01-14T02:13:05Z,270000,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
28,PT09M41.00S,2023-01-14T02:13:13.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203914,32.53942181340342,61.274509803921575,1610612753,3,6,2023-01-14T02:13:18Z,280000,False,-56.0,253.0,1,left,G. Harris 25' 3PT  (3 PTS) (M. Fultz 1 AST),"[203914, 1628365]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,Above the Break 3,24+ Center,25.96,Made,,,,,,,,,3.0,M. Fultz,1628365.0,1.0,,,,,,
30,PT09M23.00S,2023-01-14T02:13:33.2Z,1,REGULAR,turnover,out-of-bounds,[],1628374,,,1610612762,3,6,2023-01-14T02:13:40Z,300000,False,,,0,,L. Markkanen bad pass out-of-bounds TURNOVER (1 TO),[1628374],1610612762.0,UTA,bad pass,,,Markkanen,L. Markkanen,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,,,1830.0,,,,,,,,,,
31,PT09M13.00S,2023-01-14T02:13:52.4Z,1,REGULAR,foul,personal,[],1629638,,,1610612753,3,6,2023-01-14T02:14:04Z,310000,False,,,0,,N. Alexander-Walker personal FOUL (1 PF),"[1629638, 1630532]",1610612762.0,UTA,,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1628484.0,,,,,,,1.0,0.0,Wagner,1630532.0
33,PT09M10.00S,2023-01-14T02:14:12.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628976,29.122864651773984,27.450980392156865,1610612753,3,6,2023-01-14T02:14:16Z,330000,False,113.0,221.0,1,left,MISS W. Carter Jr. 24' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,24.83,Missed,,,,,,,,,,,,,,,,,,
34,PT09M06.00S,2023-01-14T02:14:16.1Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,3,6,2023-01-14T02:14:16Z,340000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT08M57.00S,2023-01-14T02:14:23.9Z,1,REGULAR,2pt,Jump Shot,[],203903,87.33574244415243,33.33333333333333,1610612762,5,6,2023-01-14T02:15:54Z,350000,False,-83.0,67.0,1,right,J. Clarkson 10' driving floating Jump Shot (2 PTS),[203903],1610612762.0,UTA,driving floating,,,Clarkson,J. Clarkson,,,,,Mid-Range,8-16 Left,10.66,Made,,,,,,,,,2.0,,,,,,,,,
36,PT08M49.00S,2023-01-14T02:14:32.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,9.149145860709593,43.627450980392155,1610612753,5,8,2023-01-14T02:16:22Z,360000,False,32.0,34.0,1,left,F. Wagner driving finger roll Layup (5 PTS) (M. Fultz 2 AST),"[1630532, 1628365]",1610612753.0,ORL,driving finger roll,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,4.63,Made,,,,,,,,,5.0,M. Fultz,1628365.0,2.0,,,,,,
38,PT08M34.00S,2023-01-14T02:14:46.8Z,1,REGULAR,3pt,Jump Shot,[],1627736,92.32917214191852,94.85294117647058,1610612762,8,8,2023-01-14T02:14:51Z,380000,False,224.0,20.0,1,right,M. Beasley 3PT  (6 PTS) (J. Clarkson 1 AST),"[1627736, 203903]",1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Right Corner 3,24+ Right,22.52,Made,,,,,,,,,6.0,J. Clarkson,203903.0,1.0,,,,,,
40,PT08M21.00S,2023-01-14T02:15:00.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,7.178055190538765,43.13725490196079,1610612753,8,8,2023-01-14T02:15:05Z,400000,False,34.0,15.0,1,left,MISS W. Carter Jr. driving Layup - blocked,"[1628976, 1631117]",1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,3.74,Missed,,,,,,,,,,,,,Kessler,1631117.0,,,,
41,PT08M21.00S,2023-01-14T02:15:00.5Z,1,REGULAR,block,,[],1631117,,,1610612753,8,8,2023-01-14T02:15:02Z,410000,False,,,0,,W. Kessler BLOCK (2 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M18.00S,2023-01-14T02:15:03.5Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612762,8,8,2023-01-14T02:15:05Z,420000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612762.0,UTA,,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT08M10.00S,2023-01-14T02:15:10.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203903,85.89027595269383,49.754901960784316,1610612762,8,8,2023-01-14T02:17:50Z,430000,False,-1.0,80.0,1,right,MISS J. Clarkson 8' driving finger roll Layup,[203903],1610612762.0,UTA,driving finger roll,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),8-16 Center,8.01,Missed,,,,,,,,,,,,,,,,,,
44,PT08M08.00S,2023-01-14T02:15:12.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,8,8,2023-01-14T02:15:14Z,440000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,
45,PT08M04.00S,2023-01-14T02:15:16.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203914,25.969119579500656,80.88235294117648,1610612753,8,8,2023-01-14T02:18:16Z,450000,False,-154.0,192.0,1,left,MISS G. Harris 24' running 3PT,[203914],1610612753.0,ORL,running,,,Harris,G. Harris,,,,,Above the Break 3,24+ Left Center,24.61,Missed,,,,,,,,,,,,,,,,,,
46,PT08M01.00S,2023-01-14T02:15:19.4Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,8,8,2023-01-14T02:15:28Z,460000,False,,,0,,P. Banchero REBOUND (Off:1 Def:0),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,45.0,1.0,0.0,1.0,,,,,,,,,,,,,,
47,PT07M57.00S,2023-01-14T02:15:24.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,5.995400788436268,52.69607843137255,1610612753,8,10,2023-01-14T02:15:28Z,470000,False,-13.0,4.0,1,left,W. Carter Jr. alley-oop Layup (2 PTS) (M. Fultz 3 AST),"[1628976, 1628365]",1610612753.0,ORL,alley-oop,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,1.41,Made,,,,,,,,,2.0,M. Fultz,1628365.0,3.0,,,,,,
49,PT07M37.00S,2023-01-14T02:15:43.6Z,1,REGULAR,turnover,bad pass,[],203903,,,1610612762,8,10,2023-01-14T02:15:48Z,490000,False,,,0,,J. Clarkson bad pass TURNOVER (2 TO),"[203903, 1630532]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Right Corner 3,24+ Right,,,,,,,2.0,Wagner,1630532.0,,,,,,,,,,,
50,PT07M37.00S,2023-01-14T02:15:43.6Z,1,REGULAR,steal,,[],1630532,,,1610612753,8,10,2023-01-14T02:15:45Z,500000,False,,,0,,F. Wagner STEAL (2 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
51,PT07M33.00S,2023-01-14T02:15:52.3Z,1,REGULAR,foul,personal,['2freethrow'],1629638,,,1610612753,8,10,2023-01-14T02:16:15Z,510000,False,,,0,,N. Alexander-Walker shooting personal FOUL (2 PF) (Wagner 2 FT),"[1629638, 1630532]",1610612762.0,UTA,shooting,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,,,,,,,,,,1830.0,,,,,,,2.0,0.0,Wagner,1630532.0
53,PT07M33.00S,2023-01-14T02:16:42.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,8,10,2023-01-14T02:16:42Z,530000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M33.00S,2023-01-14T02:19:06.4Z,1,REGULAR,substitution,out,[],1629638,,,1610612753,8,10,2023-01-14T02:19:08Z,540000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612762.0,UTA,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M33.00S,2023-01-14T02:19:06.4Z,1,REGULAR,substitution,in,[],1629012,,,1610612753,8,10,2023-01-14T02:19:08Z,550000,False,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M33.00S,2023-01-14T02:19:41.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630532,,,1610612753,8,10,2023-01-14T02:19:57Z,560000,False,,,0,,MISS F. Wagner Free Throw 1 of 2,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
57,PT07M33.00S,2023-01-14T02:19:41.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612753,8,10,2023-01-14T02:19:57Z,570000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,
58,PT07M33.00S,2023-01-14T02:19:41.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630532,,,1610612753,8,10,2023-01-14T02:19:57Z,580000,False,,,0,,MISS F. Wagner Free Throw 2 of 2,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
59,PT07M31.00S,2023-01-14T02:19:43.1Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,8,10,2023-01-14T02:19:57Z,590000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,,
60,PT07M18.00S,2023-01-14T02:20:09.3Z,1,REGULAR,3pt,Jump Shot,[],1627736,90.09526938239159,2.696078431372549,1610612762,8,10,2023-01-14T02:20:14Z,600000,False,-237.0,41.0,1,right,MISS M. Beasley 24' 3PT,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Left Corner 3,24+ Left,24.0,Missed,,,,,,,,,,,,,,,,,,
61,PT07M16.00S,2023-01-14T02:20:11.3Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,8,10,2023-01-14T02:20:14Z,610000,False,,,0,,G. Harris REBOUND (Off:1 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Left Corner 3,24+ Left,,,60.0,2.0,1.0,1.0,,,,,,,,,,,,,,
62,PT07M06.00S,2023-01-14T02:20:21.9Z,1,REGULAR,2pt,Jump Shot,[],1631094,20.18725361366623,30.392156862745097,1610612753,8,10,2023-01-14T02:21:34Z,620000,False,98.0,137.0,1,left,MISS P. Banchero 16' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,16.87,Missed,,,,,,,,,,,,,,,,,,
63,PT07M03.00S,2023-01-14T02:20:24.9Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,8,10,2023-01-14T02:20:26Z,630000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Right Center,,,62.0,2.0,1.0,1.0,,,,,,,,,,,,,,
64,PT07M02.00S,2023-01-14T02:20:27.8Z,1,REGULAR,turnover,out-of-bounds,[],1628976,,,1610612753,8,10,2023-01-14T02:20:35Z,640000,False,,,0,,W. Carter Jr. lost ball out-of-bounds TURNOVER (1 TO),[1628976],1610612753.0,ORL,lost ball,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,1.0,,,1193.0,,,,,,,,,,
65,PT06M53.00S,2023-01-14T02:20:46.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628374,83.78777923784494,58.57843137254902,1610612762,8,10,2023-01-14T02:20:52Z,650000,False,43.0,100.0,1,right,MISS L. Markkanen 10' pullup Shot,[1628374],1610612762.0,UTA,pullup,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Center,10.87,Missed,,,,,,,,,,,,,,,,,,
66,PT06M50.00S,2023-01-14T02:20:49.9Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,8,10,2023-01-14T02:37:19Z,660000,False,,,0,,W. Kessler REBOUND (Off:1 Def:0),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Center,,,65.0,1.0,0.0,1.0,,,,,,,,,,,,,,
167,PT06M50.00S,2023-01-14T02:20:49.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631117,91.80354796320631,50.98039215686274,1610612762,8,10,2023-01-14T02:37:14Z,665000,False,5.0,25.0,1,right,MISS W. Kessler tip Layup,[1631117],1610612762.0,UTA,tip,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,2.5,Missed,,,,,,,,,,,,,,,,,,
168,PT06M50.00S,2023-01-14T02:20:49.2Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,8,10,2023-01-14T02:37:14Z,667500,False,,,0,,W. Kessler REBOUND (Off:2 Def:0),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,167.0,2.0,0.0,2.0,,,,,,,,,,,,,,
67,PT06M48.00S,2023-01-14T02:20:51.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631117,94.40999984741211,50.0,1610612762,10,10,2023-01-14T02:37:02Z,670000,False,0.0,0.0,1,right,W. Kessler putback Layup (2 PTS),[1631117],1610612762.0,UTA,putback,,,Kessler,W. Kessler,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,2.0,,,,,,,,,
68,PT06M41.00S,2023-01-14T02:21:00.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630532,5.338370565045992,44.11764705882353,1610612753,10,10,2023-01-14T02:26:20Z,680000,False,29.0,-2.0,1,left,MISS F. Wagner driving DUNK - blocked,"[1630532, 1631117]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,2.95,Missed,,,,,,,,,,,,,Kessler,1631117.0,,,,
69,PT06M41.00S,2023-01-14T02:21:00.1Z,1,REGULAR,block,,[],1631117,,,1610612753,10,10,2023-01-14T02:21:02Z,690000,False,,,0,,W. Kessler BLOCK (3 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
70,PT06M41.00S,2023-01-14T02:21:00.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,10,10,2023-01-14T02:40:12Z,700000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Restricted Area,0-8 Center,,,68.0,,,,,,,,,,,,,,,,,
71,PT06M41.00S,2023-01-14T02:21:12.6Z,1,REGULAR,substitution,out,[],1627736,,,1610612762,10,10,2023-01-14T02:21:15Z,710000,False,,,0,,SUB out: M. Beasley,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M41.00S,2023-01-14T02:21:12.6Z,1,REGULAR,substitution,in,[],1630534,,,1610612762,10,10,2023-01-14T02:21:15Z,720000,False,,,0,,SUB in: O. Agbaji,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M41.00S,2023-01-14T02:21:12.6Z,1,REGULAR,substitution,out,[],1630532,,,1610612762,10,10,2023-01-14T02:21:32Z,730000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M41.00S,2023-01-14T02:21:12.6Z,1,REGULAR,substitution,in,[],1629626,,,1610612762,10,10,2023-01-14T02:21:32Z,740000,False,,,0,,SUB in: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M26.00S,2023-01-14T02:21:39.7Z,1,REGULAR,3pt,Jump Shot,[],1630534,71.17279894875165,75.98039215686273,1610612762,13,10,2023-01-14T02:21:44Z,750000,False,130.0,218.0,1,right,O. Agbaji 25' 3PT  (3 PTS) (C. Sexton 1 AST),"[1630534, 1629012]",1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Above the Break 3,24+ Right Center,25.42,Made,,,,,,,,,3.0,C. Sexton,1629012.0,1.0,,,,,,
77,PT06M04.00S,2023-01-14T02:22:01.3Z,1,REGULAR,turnover,bad pass,[],1631094,,,1610612753,13,10,2023-01-14T02:22:07Z,770000,False,,,0,,P. Banchero bad pass TURNOVER (2 TO),"[1631094, 1631117]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,2.0,Kessler,1631117.0,,,,,,,,,,,
