actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
30,PT09M37.00S,2022-10-30T01:13:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,88.51839684625493,52.450980392156865,1610612763,7,4,2022-10-30T01:13:47Z,300000,12.0,55.0,1,right,MISS D. Bane cutting Layup - blocked,"[1630217, 203482]",1610612763.0,MEM,cutting,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,5.67,Missed,,,,,,,,,,,,,,,,,Olynyk,203482.0
31,PT09M37.00S,2022-10-30T01:13:43.2Z,1,REGULAR,block,,[],203482,,,1610612763,7,4,2022-10-30T01:13:45Z,310000,,,0,,K. Olynyk BLOCK (1 BLK),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M33.00S,2022-10-30T01:13:47.2Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,7,4,2022-10-30T01:13:47Z,320000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,
33,PT09M27.00S,2022-10-30T01:13:52.3Z,1,REGULAR,3pt,Jump Shot,[],1629012,8.623521681997373,95.58823529411765,1610612762,10,4,2022-10-30T01:13:57Z,330000,-228.0,29.0,1,left,C. Sexton 3PT step back (5 PTS) (K. Olynyk 1 AST),"[1629012, 203482]",1610612762.0,UTA,step back,,,Sexton,C. Sexton,,,,,Left Corner 3,24+ Left,22.97,Made,5.0,,,,,,,,,,,,,K. Olynyk,203482.0,1.0,,
36,PT09M08.00S,2022-10-30T01:15:15.6Z,1,REGULAR,3pt,Jump Shot,[],1626145,67.23061760840999,33.088235294117645,1610612763,10,4,2022-10-30T01:15:21Z,360000,-85.0,256.0,1,right,MISS T. Jones 26' 3PT,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,26.91,Missed,,,,,,,,,,,,,,,,,,
37,PT09M06.00S,2022-10-30T01:15:17.6Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,10,4,2022-10-30T01:15:21Z,370000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:4),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Center,,,,,,,36.0,4.0,4.0,0.0,,,,,,,,,,
38,PT08M58.00S,2022-10-30T01:15:25.6Z,1,REGULAR,turnover,bad pass,[],203482,,,1610612762,10,4,2022-10-30T01:15:29Z,380000,,,0,,K. Olynyk bad pass TURNOVER (1 TO),"[203482, 1628415]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Center,,,,1.0,Brooks,1628415.0,,,,,,,,,,,,,,
39,PT08M58.00S,2022-10-30T01:15:25.6Z,1,REGULAR,steal,,[],1628415,,,1610612763,10,4,2022-10-30T01:15:36Z,390000,,,0,,D. Brooks STEAL (2 STL),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
40,PT08M54.00S,2022-10-30T01:15:30.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630217,87.33574244415243,45.83333333333333,1610612763,10,6,2022-10-30T01:15:41Z,400000,-21.0,67.0,1,right,D. Bane 6' Layup (4 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,6.97,Made,4.0,,,,,,,,,,,,,,,,,
42,PT08M32.00S,2022-10-30T01:15:51.7Z,1,REGULAR,3pt,Jump Shot,[],1629012,29.38567674113009,29.901960784313726,1610612762,10,6,2022-10-30T01:16:05Z,420000,100.0,224.0,1,left,MISS C. Sexton 24' 3PT,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,24.52,Missed,,,,,,,,,,,,,,,,,,
43,PT08M28.00S,2022-10-30T01:15:55.7Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,10,6,2022-10-30T01:16:05Z,430000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Right Center,,,,,,,42.0,2.0,1.0,1.0,,,,,,,,,,
44,PT08M18.00S,2022-10-30T01:16:05.8Z,1,REGULAR,3pt,Jump Shot,[],1626145,93.11760840998686,3.431372549019608,1610612763,10,9,2022-10-30T01:16:30Z,440000,-233.0,12.0,1,right,T. Jones 3PT  (3 PTS) (D. Bane 1 AST),"[1626145, 1630217]",1610612763.0,MEM,,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,23.31,Made,3.0,,,,,,,,,,,,,D. Bane,1630217.0,1.0,,
46,PT08M00.00S,2022-10-30T01:16:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,15.456636005256241,37.745098039215684,1610612762,12,9,2022-10-30T01:16:30Z,460000,61.0,93.0,1,left,L. Markkanen 11' turnaround fadeaway Jump Shot (2 PTS),[1628374],1610612762.0,UTA,turnaround fadeaway,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Right,11.12,Made,2.0,,,,,,,,,,,,,,,,,
47,PT07M50.00S,2022-10-30T01:16:35.2Z,1,REGULAR,foul,offensive,[],203500,,,1610612763,12,9,2022-10-30T01:16:42Z,470000,,,0,,S. Adams offensive FOUL (1 PF),"[203500, 1629020]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,2004.0,1.0,0.0,Vanderbilt,1629020.0,,,,,
49,PT07M50.00S,2022-10-30T01:16:35.2Z,1,REGULAR,turnover,offensive foul,[],203500,,,1610612763,12,9,2022-10-30T01:16:35Z,490000,,,0,,S. Adams offensive foul TURNOVER (1 TO),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Left Center,,,,1.0,,,,,,,2004.0,,,,,,,,,
50,PT07M34.00S,2022-10-30T01:17:04.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629020,16.113666228646515,49.26470588235294,1610612762,12,9,2022-10-30T01:17:08Z,500000,4.0,99.0,1,left,MISS J. Vanderbilt 9' floating Shot,[1629020],1610612762.0,UTA,floating,,,Vanderbilt,J. Vanderbilt,,,,,In The Paint (Non-RA),8-16 Center,9.91,Missed,,,,,,,,,,,,,,,,,,
51,PT07M32.00S,2022-10-30T01:17:06.8Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612763,12,9,2022-10-30T01:17:08Z,510000,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,
52,PT07M27.00S,2022-10-30T01:17:11.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628415,89.43823915900131,95.34313725490196,1610612763,12,9,2022-10-30T01:17:21Z,520000,227.0,47.0,1,right,MISS D. Brooks 3PT,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Right Corner 3,24+ Right,23.15,Missed,,,,,,,,,,,,,,,,,,
53,PT07M19.00S,2022-10-30T01:17:19.8Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,12,9,2022-10-30T01:17:21Z,530000,,,0,,S. Adams REBOUND (Off:2 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Right Corner 3,24+ Right,,,,,,,52.0,3.0,1.0,2.0,,,,,,,,,,
54,PT07M19.00S,2022-10-30T01:17:19.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,94.40999984741211,50.0,1610612763,12,9,2022-10-30T01:17:19Z,540000,0.0,0.0,1,right,MISS S. Adams tip Layup,[203500],1610612763.0,MEM,tip,,,Adams,S. Adams,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
55,PT07M19.00S,2022-10-30T01:17:19.4Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,12,9,2022-10-30T01:17:19Z,550000,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,8-16 Left,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,
56,PT07M14.00S,2022-10-30T01:17:24.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203903,13.091327201051248,55.392156862745104,1610612762,14,9,2022-10-30T01:17:32Z,560000,-27.0,71.0,1,left,J. Clarkson 7' floating Jump Shot (7 PTS),[203903],1610612762.0,UTA,floating,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),0-8 Center,7.56,Made,7.0,,,,,,,,,,,,,,,,,
57,PT07M13.00S,2022-10-30T01:17:30.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,14,9,2022-10-30T01:17:30Z,570000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M13.00S,2022-10-30T01:19:09.0Z,1,REGULAR,substitution,out,[],1630583,,,1610612763,14,9,2022-10-30T01:20:16Z,580000,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M13.00S,2022-10-30T01:19:09.0Z,1,REGULAR,substitution,out,[],1630217,,,1610612763,14,9,2022-10-30T01:20:16Z,590000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M13.00S,2022-10-30T01:19:09.0Z,1,REGULAR,substitution,in,[],1629723,,,1610612763,14,9,2022-10-30T01:20:16Z,600000,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M13.00S,2022-10-30T01:19:09.0Z,1,REGULAR,substitution,in,[],1631223,,,1610612763,14,9,2022-10-30T01:20:16Z,610000,,,0,,SUB in: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M01.00S,2022-10-30T01:20:42.3Z,1,REGULAR,foul,offensive,[],203500,,,1610612763,14,9,2022-10-30T01:21:38Z,630000,,,0,,S. Adams offensive FOUL (2 PF),"[203500, 1629020]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Center,,,,,,,,,,,2004.0,2.0,0.0,Vanderbilt,1629020.0,,,,,
65,PT07M01.00S,2022-10-30T01:20:42.3Z,1,REGULAR,turnover,offensive foul,[],203500,,,1610612763,14,9,2022-10-30T01:20:42Z,650000,,,0,,S. Adams offensive foul TURNOVER (2 TO),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Center,,,,2.0,,,,,,,2004.0,,,,,,,,,
66,PT07M01.00S,2022-10-30T01:20:54.7Z,1,REGULAR,substitution,out,[],203500,,,1610612762,14,9,2022-10-30T01:20:57Z,660000,,,0,,SUB out: S. Adams,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M01.00S,2022-10-30T01:20:54.7Z,1,REGULAR,substitution,in,[],1629634,,,1610612762,14,9,2022-10-30T01:20:57Z,670000,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M53.00S,2022-10-30T01:21:05.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203903,19.793035479632064,7.8431372549019605,1610612762,14,9,2022-10-30T01:21:13Z,680000,211.0,134.0,1,left,MISS J. Clarkson 24' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,24.96,Missed,,,,,,,,,,,,,,,,,,
69,PT06M50.00S,2022-10-30T01:21:09.2Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612762,14,9,2022-10-30T01:21:09Z,690000,,,0,,L. Markkanen REBOUND (Off:1 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,,,,,,,68.0,2.0,1.0,1.0,,,,,,,,,,
70,PT06M50.00S,2022-10-30T01:21:10.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628374,5.863994743758213,47.549019607843135,1610612762,16,9,2022-10-30T01:21:20Z,700000,12.0,3.0,1,left,L. Markkanen Jump Shot (4 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,1.26,Made,4.0,,,,,,,,,,,,,,,,,
71,PT06M50.00S,2022-10-30T01:21:14.5Z,1,REGULAR,foul,personal,['1freethrow'],1629723,,,1610612762,16,9,2022-10-30T01:21:26Z,710000,,,0,,J. Konchar shooting personal FOUL (1 PF) (Markkanen 1 FT),"[1629723, 1628374]",1610612763.0,MEM,shooting,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2004.0,1.0,0.0,Markkanen,1628374.0,,,,,
73,PT06M50.00S,2022-10-30T01:21:34.2Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance']",1628374,,,1610612762,17,9,2022-10-30T01:21:34Z,730000,,,0,,L. Markkanen Free Throw 1 of 1 (5 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
74,PT06M37.00S,2022-10-30T01:21:49.8Z,1,REGULAR,3pt,Jump Shot,[],1631223,72.61826544021025,82.35294117647058,1610612763,17,9,2022-10-30T01:21:55Z,740000,162.0,205.0,1,right,MISS D. Roddy 26' 3PT,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,Above the Break 3,24+ Right Center,26.11,Missed,,,,,,,,,,,,,,,,,,
75,PT06M31.00S,2022-10-30T01:21:55.8Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,17,9,2022-10-30T01:21:55Z,750000,,,0,,K. Olynyk REBOUND (Off:0 Def:2),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Right Center,,,,,,,74.0,2.0,2.0,0.0,,,,,,,,,,
76,PT06M26.00S,2022-10-30T01:21:59.8Z,1,REGULAR,turnover,lost ball,[],203903,,,1610612762,17,9,2022-10-30T01:22:04Z,760000,,,0,,J. Clarkson lost ball TURNOVER (2 TO),"[203903, 1629723]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,,,,2.0,Konchar,1629723.0,,,,,,,,,,,,,,
77,PT06M26.00S,2022-10-30T01:21:59.8Z,1,REGULAR,steal,,[],1629723,,,1610612763,17,9,2022-10-30T01:22:01Z,770000,,,0,,J. Konchar STEAL (1 STL),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
78,PT06M21.00S,2022-10-30T01:22:04.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628415,93.64323258869908,4.411764705882353,1610612763,17,12,2022-10-30T01:22:11Z,780000,-228.0,7.0,1,right,D. Brooks 3PT  (5 PTS) (B. Clarke 1 AST),"[1628415, 1629634]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Left Corner 3,24+ Left,22.8,Made,5.0,,,,,,,,,,,,,B. Clarke,1629634.0,1.0,,
80,PT06M05.00S,2022-10-30T01:22:20.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,11.514454664914586,43.872549019607845,1610612762,17,12,2022-10-30T01:22:26Z,800000,31.0,56.0,1,left,MISS C. Sexton 6' driving floating bank Shot,[1629012],1610612762.0,UTA,driving floating bank,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,6.36,Missed,,,,,,,,,,,,,,,,,,
81,PT06M05.00S,2022-10-30T01:22:20.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,17,12,2022-10-30T01:22:26Z,810000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,80.0,,,,,,,,,,,,,
83,PT06M05.00S,2022-10-30T01:22:27.3Z,1,REGULAR,substitution,out,[],1629020,,,1610612762,17,12,2022-10-30T01:22:34Z,830000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M05.00S,2022-10-30T01:22:27.3Z,1,REGULAR,substitution,in,[],1627736,,,1610612762,17,12,2022-10-30T01:22:34Z,840000,,,0,,SUB in: M. Beasley,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
