actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
41,PT08M43.00S,2022-10-20T01:18:16.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627750,5.863994743758213,45.09803921568628,1610612743,7,11,2022-10-20T01:23:39Z,410000,25.0,3.0,1,left,J. Murray running Layup (4 PTS),[1627750],1610612743.0,DEN,running,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,2.46,Made,4.0,,,,,,,,,,,,,,
43,PT08M43.00S,2022-10-20T01:18:22.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,7,11,2022-10-20T01:18:22Z,430000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M32.00S,2022-10-20T01:21:23.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,86.5473061760841,37.5,1610612762,7,11,2022-10-20T01:21:33Z,440000,-62.0,74.0,1,right,MISS L. Markkanen 9' fadeaway Shot,[1628374],1610612762.0,UTA,fadeaway,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Left,,,,9.69,Missed,,,,,,,,,,,,,,,
45,PT08M30.00S,2022-10-20T01:21:25.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,7,11,2022-10-20T01:21:33Z,450000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,44.0,,,,,,,,,,,,,
47,PT08M28.00S,2022-10-20T01:21:40.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203482,74.72076215505913,83.57843137254902,1610612762,10,11,2022-10-20T01:21:45Z,470000,168.0,185.0,1,right,K. Olynyk 24' 3PT  (3 PTS) (M. Conley 2 AST),"[203482, 201144]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Right Center,,,,24.99,Made,3.0,,,,,,,,,,M. Conley,201144.0,2.0,,
49,PT08M16.00S,2022-10-20T01:21:52.1Z,1,REGULAR,3pt,Jump Shot,[],203932,22.026938239159,10.049019607843137,1610612743,10,11,2022-10-20T01:21:57Z,490000,200.0,155.0,1,left,MISS A. Gordon 25' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,,,,25.26,Missed,,,,,,,,,,,,,,,
50,PT08M13.00S,2022-10-20T01:21:55.1Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,10,11,2022-10-20T01:21:57Z,500000,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,,,,,,,49.0,,,,,,1.0,1.0,0.0,,,,,
51,PT08M05.00S,2022-10-20T01:22:03.0Z,1,REGULAR,3pt,Jump Shot,[],201144,69.85873850197109,71.81372549019608,1610612762,13,11,2022-10-20T01:22:08Z,510000,109.0,231.0,1,right,M. Conley 25' 3PT  (3 PTS) (K. Olynyk 1 AST),"[201144, 203482]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,,,,25.53,Made,3.0,,,,,,,,,,K. Olynyk,203482.0,1.0,,
53,PT07M48.00S,2022-10-20T01:22:19.7Z,1,REGULAR,3pt,Jump Shot,[],1629008,28.72248685939553,73.06219362745098,1610612743,13,11,2022-10-20T01:22:28Z,530000,-115.0,217.0,1,left,MISS M. Porter Jr. 24' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,24.62,Missed,,,,,,,,,,,,,,,
54,PT07M46.00S,2022-10-20T01:22:21.7Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,13,11,2022-10-20T01:22:24Z,540000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:4),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Mid-Range,24+ Left Center,,,,,,,53.0,,,,,,4.0,4.0,0.0,,,,,
55,PT07M37.00S,2022-10-20T01:22:31.2Z,1,REGULAR,3pt,Jump Shot,[],1628374,84.83902759526939,94.11764705882352,1610612762,13,11,2022-10-20T01:22:36Z,550000,221.0,90.0,1,right,MISS L. Markkanen 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right,,,,23.83,Missed,,,,,,,,,,,,,,,
56,PT07M32.00S,2022-10-20T01:22:36.2Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,13,11,2022-10-20T01:22:36Z,560000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right,,,,,,,55.0,,,,,,1.0,1.0,0.0,,,,,
57,PT07M30.00S,2022-10-20T01:22:38.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203999,6.915243101182654,51.470588235294116,1610612743,13,13,2022-10-20T01:25:49Z,570000,-7.0,13.0,1,left,N. Jokic running DUNK (2 PTS) (K. Caldwell-Pope 2 AST),"[203999, 203484]",1610612743.0,DEN,running,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,1.45,Made,2.0,,,,,,,,,,K. Caldwell-Pope,203484.0,2.0,,
59,PT07M13.00S,2022-10-20T01:22:55.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,87.46714848883047,65.19607843137256,1610612762,15,13,2022-10-20T01:23:07Z,590000,76.0,65.0,1,right,J. Clarkson 10' driving floating bank Jump Shot (5 PTS),[203903],1610612762.0,UTA,driving floating bank,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),8-16 Right,,,,10.02,Made,5.0,,,,,,,,,,,,,,
60,PT07M06.00S,2022-10-20T01:23:05.6Z,1,REGULAR,foul,personal,[],1629020,,,1610612743,15,13,2022-10-20T01:23:15Z,600000,,,0,,J. Vanderbilt personal FOUL (2 PF),"[1629020, 203999]",1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Mid-Range,16-24 Left Center,,,,,,,,203177.0,2.0,0.0,Jokic,203999.0,,,,,,,,
62,PT06M57.00S,2022-10-20T01:23:35.7Z,1,REGULAR,3pt,Jump Shot,[],1627750,15.193823915900131,94.85294117647058,1610612743,15,13,2022-10-20T01:23:41Z,620000,-224.0,90.0,1,left,MISS J. Murray 24' 3PT,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left,,,,24.18,Missed,,,,,,,,,,,,,,,
63,PT06M52.00S,2022-10-20T01:23:40.7Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,15,13,2022-10-20T01:23:41Z,630000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left,,,,,,,62.0,,,,,,1.0,1.0,0.0,,,,,
64,PT06M43.00S,2022-10-20T01:23:49.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203903,92.72339027595268,44.11764705882353,1610612762,15,13,2022-10-20T01:23:54Z,640000,-29.0,16.0,1,right,MISS J. Clarkson driving Layup,[203903],1610612762.0,UTA,driving,,,Clarkson,J. Clarkson,,,,,Restricted Area,0-8 Center,,,,3.34,Missed,,,,,,,,,,,,,,,
65,PT06M40.00S,2022-10-20T01:23:52.5Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612762,15,13,2022-10-20T01:23:54Z,650000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:4),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,,,,,64.0,,,,,,5.0,4.0,1.0,,,,,
66,PT06M40.00S,2022-10-20T01:23:52.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629020,94.40999984741211,50.0,1610612762,17,13,2022-10-20T01:23:52Z,660000,0.0,0.0,1,right,J. Vanderbilt tip Layup (2 PTS),[1629020],1610612762.0,UTA,tip,,,Vanderbilt,J. Vanderbilt,,,,,Mid-Range,8-16 Left,,,,0.0,Made,2.0,,,,,,,,,,,,,,
67,PT06M31.00S,2022-10-20T01:24:00.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,12.434296977660972,44.36274509803921,1610612743,17,15,2022-10-20T01:24:04Z,670000,28.0,64.0,1,left,N. Jokic 7' floating Jump Shot (4 PTS) (A. Gordon 1 AST),"[203999, 203932]",1610612743.0,DEN,floating,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,7.03,Made,4.0,,,,,,,,,,A. Gordon,203932.0,1.0,,
69,PT06M12.00S,2022-10-20T01:24:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203482,93.24901445466492,53.67647058823529,1610612762,19,15,2022-10-20T01:24:26Z,690000,18.0,11.0,1,right,K. Olynyk driving reverse Layup (5 PTS) (L. Markkanen 2 AST),"[203482, 1628374]",1610612762.0,UTA,driving reverse,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,2.14,Made,5.0,,,,,,,,,,L. Markkanen,1628374.0,2.0,,
71,PT06M11.00S,2022-10-20T01:24:27.9Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612743,19,15,2022-10-20T01:24:38Z,710000,,,0,,TEAM delay-of-game VIOLATION,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,1146.0,,,,,,,,,,,,
72,PT06M02.00S,2022-10-20T01:24:47.6Z,1,REGULAR,foul,offensive,[],203999,,,1610612743,19,15,2022-10-20T01:24:56Z,720000,,,0,,N. Jokic offensive FOUL (1 PF),"[203999, 203482]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,,,,,,,,201246.0,1.0,0.0,Olynyk,203482.0,,,,,,,,
74,PT06M02.00S,2022-10-20T01:24:47.6Z,1,REGULAR,turnover,offensive foul,[],203999,,,1610612743,19,15,2022-10-20T01:24:47Z,740000,,,0,,N. Jokic offensive foul TURNOVER (1 TO),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,8-16 Right,1.0,,,,,,,201246.0,,,,,,,,,,,,
75,PT06M02.00S,2022-10-20T01:24:53.1Z,1,REGULAR,substitution,out,[],201144,,,1610612762,19,15,2022-10-20T01:25:03Z,750000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M02.00S,2022-10-20T01:24:53.1Z,1,REGULAR,substitution,out,[],1629020,,,1610612762,19,15,2022-10-20T01:25:03Z,760000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M02.00S,2022-10-20T01:24:53.1Z,1,REGULAR,substitution,out,[],1627750,,,1610612762,19,15,2022-10-20T01:25:03Z,770000,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M02.00S,2022-10-20T01:24:53.1Z,1,REGULAR,substitution,in,[],1629012,,,1610612762,19,15,2022-10-20T01:25:03Z,780000,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M02.00S,2022-10-20T01:24:53.1Z,1,REGULAR,substitution,in,[],1631117,,,1610612762,19,15,2022-10-20T01:25:03Z,790000,,,0,,SUB in: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M02.00S,2022-10-20T01:24:53.1Z,1,REGULAR,substitution,in,[],1628971,,,1610612762,19,15,2022-10-20T01:25:03Z,800000,,,0,,SUB in: B. Brown,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M47.00S,2022-10-20T01:25:30.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203903,92.19776609724047,40.931372549019606,1610612762,19,15,2022-10-20T01:25:35Z,810000,-45.0,21.0,1,right,MISS J. Clarkson driving Layup,[203903],1610612762.0,UTA,driving,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),0-8 Center,,,,4.98,Missed,,,,,,,,,,,,,,,
82,PT05M46.00S,2022-10-20T01:25:31.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,19,15,2022-10-20T01:25:35Z,820000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,81.0,,,,,,,,,,,,,
84,PT05M37.00S,2022-10-20T01:26:01.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203482,68.01905387647832,60.5392156862745,1610612762,22,15,2022-10-20T01:26:06Z,840000,53.0,248.0,1,right,K. Olynyk 25' 3PT  (8 PTS) (L. Markkanen 3 AST),"[203482, 1628374]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Center,,,,25.36,Made,8.0,,,,,,,,,,L. Markkanen,1628374.0,3.0,,
86,PT05M15.00S,2022-10-20T01:26:23.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,5.469776609724048,45.09803921568628,1610612743,22,17,2022-10-20T01:26:27Z,860000,25.0,-1.0,1,left,M. Porter Jr. Layup (3 PTS) (N. Jokic 1 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,2.45,Made,3.0,,,,,,,,,,N. Jokic,203999.0,1.0,,
88,PT04M59.00S,2022-10-20T01:26:39.5Z,1,REGULAR,turnover,bad pass,[],203482,,,1610612762,22,17,2022-10-20T01:26:44Z,880000,,,0,,K. Olynyk bad pass TURNOVER (2 TO),"[203482, 203999]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Right Center,2.0,Jokic,203999.0,,,,,,,,,,,,,,,,,
89,PT04M59.00S,2022-10-20T01:26:39.5Z,1,REGULAR,steal,,[],203999,,,1610612743,22,17,2022-10-20T01:26:40Z,890000,,,0,,N. Jokic STEAL (2 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
90,PT04M54.00S,2022-10-20T01:26:45.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628971,7.966491458607096,38.970588235294116,1610612743,22,17,2022-10-20T01:29:32Z,900000,55.0,22.0,1,left,MISS B. Brown running Layup,[1628971],1610612743.0,DEN,running,,,Brown,B. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,5.95,Missed,,,,,,,,,,,,,,,
