actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
19,PT10M58.00S,2022-11-08T03:17:59.2Z,1,REGULAR,freethrow,1 of 2,[],203482,,,1610612762,1,4,2022-11-08T03:17:59Z,190000,,,0,,K. Olynyk Free Throw 1 of 2 (1 PTS),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
20,PT10M58.00S,2022-11-08T03:18:12.5Z,1,REGULAR,freethrow,2 of 2,[],203482,,,1610612762,2,4,2022-11-08T03:18:12Z,200000,,,0,,K. Olynyk Free Throw 2 of 2 (2 PTS),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
21,PT10M39.00S,2022-11-08T03:18:33.4Z,1,REGULAR,3pt,Jump Shot,[],1628972,74.45795006570303,15.441176470588236,1610612747,2,7,2022-11-08T03:18:39Z,210000,-173.0,188.0,1,right,T. Brown Jr. 25' 3PT pullup (3 PTS) (W. Gabriel 1 AST),"[1628972, 1629117]",1610612747.0,LAL,pullup,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,25.51,Made,3.0,W. Gabriel,1629117.0,1.0,,,,,,,,,
23,PT10M25.00S,2022-11-08T03:18:46.4Z,1,REGULAR,3pt,Jump Shot,[],1627736,7.30946123521682,2.941176470588235,1610612762,5,7,2022-11-08T03:18:51Z,230000,235.0,16.0,1,left,M. Beasley 3PT  (3 PTS) (J. Clarkson 1 AST),"[1627736, 203903]",1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Right Corner 3,24+ Right,,,,,,23.59,Made,3.0,J. Clarkson,203903.0,1.0,,,,,,,,,
25,PT10M15.00S,2022-11-08T03:18:57.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629117,92.59198423127464,55.14705882352941,1610612747,5,9,2022-11-08T03:19:01Z,250000,26.0,17.0,1,right,W. Gabriel Layup (2 PTS),[1629117],1610612747.0,LAL,,,,Gabriel,W. Gabriel,,,,,Restricted Area,0-8 Center,,,,,,3.09,Made,2.0,,,,,,,,,,,,
26,PT09M55.00S,2022-11-08T03:19:16.5Z,1,REGULAR,3pt,Jump Shot,[],1628374,25.443495400788436,86.51960784313727,1610612762,5,9,2022-11-08T03:19:22Z,260000,-183.0,187.0,1,left,MISS L. Markkanen 26' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,,,,,,26.12,Missed,,,,,,,,,,,,,
27,PT09M52.00S,2022-11-08T03:19:19.5Z,1,REGULAR,rebound,defensive,[],1629117,,,1610612747,5,9,2022-11-08T03:19:22Z,270000,,,0,,W. Gabriel REBOUND (Off:0 Def:1),[1629117],1610612747.0,LAL,,,,Gabriel,W. Gabriel,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,
28,PT09M48.00S,2022-11-08T03:19:26.2Z,1,REGULAR,turnover,out-of-bounds,[],1629134,,,1610612747,5,9,2022-11-08T03:19:33Z,280000,,,0,,K. Nunn step out-of-bounds TURNOVER (1 TO),[1629134],1610612747.0,LAL,step,,,Nunn,K. Nunn,,,,,Left Corner 3,24+ Left,202049.0,,,,,,,,,,,,,,,1.0,,,,
29,PT09M40.00S,2022-11-08T03:19:47.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201144,29.911300919842315,28.921568627450984,1610612762,8,9,2022-11-08T03:22:06Z,290000,105.0,229.0,1,left,M. Conley 25' 3PT pullup (3 PTS),[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,,,,,,25.18,Made,3.0,,,,,,,,,,,,
30,PT09M26.00S,2022-11-08T03:20:01.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,91.80354796320631,56.61764705882353,1610612747,8,9,2022-11-08T03:20:07Z,300000,33.0,25.0,1,right,MISS A. Davis driving Layup,[203076],1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,4.12,Missed,,,,,,,,,,,,,
31,PT09M25.00S,2022-11-08T03:20:02.0Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,8,9,2022-11-08T03:20:07Z,310000,,,0,,A. Davis REBOUND (Off:1 Def:0),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,30.0,1.0,0.0,1.0,,,,,
32,PT09M23.00S,2022-11-08T03:20:29.9Z,1,REGULAR,jumpball,recovered,[],1630559,,,1610612747,8,9,2022-11-08T03:20:29Z,320000,,,0,,Jump Ball A. Davis vs. L. Markkanen: Tip to A. Reaves,"[1630559, 203076, 1628374]",1610612747.0,LAL,heldball,A. Reaves,1630559.0,Reaves,A. Reaves,Davis,203076.0,Markkanen,1628374.0,,,,,,,,,,,,,,,,,,,,,,
35,PT09M08.00S,2022-11-08T03:20:43.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628972,90.75229960578186,55.392156862745104,1610612747,8,11,2022-11-08T03:23:50Z,350000,27.0,34.0,1,right,T. Brown Jr. driving bank Hook (5 PTS),[1628972],1610612747.0,LAL,driving bank,,,Brown Jr.,T. Brown Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.37,Made,5.0,,,,,,,,,,,,
36,PT08M55.00S,2022-11-08T03:20:57.1Z,1,REGULAR,2pt,Jump Shot,[],203903,21.369908015768726,41.66666666666667,1610612762,10,11,2022-11-08T03:21:02Z,360000,42.0,148.0,1,left,J. Clarkson 15' pullup Jump Shot (2 PTS) (K. Olynyk 1 AST),"[203903, 203482]",1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,Mid-Range,8-16 Center,,,,,,15.41,Made,2.0,K. Olynyk,203482.0,1.0,,,,,,,,,
38,PT08M38.00S,2022-11-08T03:21:14.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629134,91.93495400788436,46.32352941176471,1610612747,10,13,2022-11-08T03:21:18Z,380000,-18.0,23.0,1,right,K. Nunn driving Layup (2 PTS),[1629134],1610612747.0,LAL,driving,,,Nunn,K. Nunn,,,,,Restricted Area,0-8 Center,,,,,,2.97,Made,2.0,,,,,,,,,,,,
40,PT08M26.00S,2022-11-08T03:21:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203482,7.30946123521682,53.92156862745098,1610612762,10,13,2022-11-08T03:24:56Z,400000,-20.0,16.0,1,left,MISS K. Olynyk driving Layup - blocked,"[203482, 203076]",1610612762.0,UTA,driving,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,2.54,Missed,,,,,,,,,,Davis,203076.0,,
41,PT08M26.00S,2022-11-08T03:21:28.5Z,1,REGULAR,block,,[],203076,,,1610612762,10,13,2022-11-08T03:21:32Z,410000,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M26.00S,2022-11-08T03:21:28.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,10,13,2022-11-08T03:21:34Z,420000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,40.0,,,,,,,,
44,PT08M26.00S,2022-11-08T03:21:34.6Z,1,REGULAR,substitution,out,[],1629117,,,1610612762,10,13,2022-11-08T03:21:37Z,440000,,,0,,SUB out: W. Gabriel,[1629117],1610612747.0,LAL,,,,Gabriel,W. Gabriel,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M26.00S,2022-11-08T03:21:34.6Z,1,REGULAR,substitution,in,[],201566,,,1610612762,10,13,2022-11-08T03:21:37Z,450000,,,0,,SUB in: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M24.00S,2022-11-08T03:21:50.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627736,28.465834428383708,25.0,1610612762,13,13,2022-11-08T03:21:55Z,460000,125.0,215.0,1,left,M. Beasley 24' 3PT  (6 PTS) (M. Conley 1 AST),"[1627736, 201144]",1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,,,,,,24.88,Made,6.0,M. Conley,201144.0,1.0,,,,,,,,,
48,PT08M00.00S,2022-11-08T03:22:14.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,92.32917214191852,47.794117647058826,1610612747,13,15,2022-11-08T03:22:23Z,480000,-11.0,20.0,1,right,A. Davis DUNK (4 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,2.25,Made,4.0,,,,,,,,,,,,
49,PT07M46.00S,2022-11-08T03:22:28.0Z,1,REGULAR,3pt,Jump Shot,[],1627736,19.398817345597898,91.66666666666666,1610612762,13,15,2022-11-08T03:22:32Z,490000,-208.0,130.0,1,left,MISS M. Beasley 24' 3PT,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,,,,,,24.54,Missed,,,,,,,,,,,,,
50,PT07M44.00S,2022-11-08T03:22:30.0Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,13,15,2022-11-08T03:22:32Z,500000,,,0,,A. Reaves REBOUND (Off:0 Def:2),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,49.0,2.0,2.0,0.0,,,,,
51,PT07M32.00S,2022-11-08T03:22:42.3Z,1,REGULAR,3pt,Jump Shot,[],1630559,67.23061760840999,58.333333333333336,1610612747,13,15,2022-11-08T03:22:47Z,510000,42.0,256.0,1,right,MISS A. Reaves 25' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,,,,,,25.89,Missed,,,,,,,,,,,,,
52,PT07M29.00S,2022-11-08T03:22:45.3Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,13,15,2022-11-08T03:22:47Z,520000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,
53,PT07M24.00S,2022-11-08T03:22:49.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203903,32.013797634691194,77.69607843137256,1610612762,16,15,2022-11-08T03:26:01Z,530000,-138.0,248.0,1,left,J. Clarkson 28' 3PT running (5 PTS) (L. Markkanen 1 AST),"[203903, 1628374]",1610612762.0,UTA,running,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Left Center,,,,,,28.44,Made,5.0,L. Markkanen,1628374.0,1.0,,,,,,,,,
55,PT06M59.00S,2022-11-08T03:23:15.1Z,1,REGULAR,2pt,Jump Shot,[],203076,92.72339027595268,19.607843137254903,1610612747,16,17,2022-11-08T03:23:20Z,550000,-152.0,16.0,1,right,A. Davis 15' step back Jump Shot (6 PTS),[203076],1610612747.0,LAL,step back,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,,,,15.28,Made,6.0,,,,,,,,,,,,
56,PT06M45.00S,2022-11-08T03:23:29.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203482,6.389618922470433,55.14705882352941,1610612762,18,17,2022-11-08T03:23:34Z,560000,-26.0,8.0,1,left,K. Olynyk alley-oop Layup (4 PTS) (M. Conley 2 AST),"[203482, 201144]",1610612762.0,UTA,alley-oop,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,2.68,Made,4.0,M. Conley,201144.0,2.0,,,,,,,,,
58,PT06M24.00S,2022-11-08T03:23:51.6Z,1,REGULAR,turnover,backcourt,[],201566,,,1610612747,18,17,2022-11-08T03:24:05Z,580000,,,0,,R. Westbrook backcourt TURNOVER (1 TO),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,1151.0,,,,,,,,,,,,,,,1.0,,,,
59,PT06M24.00S,2022-11-08T03:23:57.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,18,17,2022-11-08T03:23:57Z,590000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M24.00S,2022-11-08T03:26:31.6Z,1,REGULAR,substitution,out,[],203903,,,1610612762,18,17,2022-11-08T03:26:38Z,600000,,,0,,SUB out: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M24.00S,2022-11-08T03:26:31.6Z,1,REGULAR,substitution,in,[],1629012,,,1610612762,18,17,2022-11-08T03:26:38Z,610000,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M13.00S,2022-11-08T03:27:12.1Z,1,REGULAR,foul,personal,['2freethrow'],1628972,,,1610612762,18,17,2022-11-08T03:27:16Z,620000,,,0,,T. Brown Jr. shooting personal FOUL (1 PF) (Sexton 2 FT),"[1628972, 1629012]",1610612747.0,LAL,shooting,,,Brown Jr.,T. Brown Jr.,,,,,In The Paint (Non-RA),0-8 Center,202049.0,1.0,0.0,Sexton,1629012.0,,,,,,,,,,,,,,,
64,PT06M13.00S,2022-11-08T03:27:34.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629012,,,1610612762,19,17,2022-11-08T03:27:34Z,640000,,,0,,C. Sexton Free Throw 1 of 2 (1 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
65,PT06M13.00S,2022-11-08T03:27:47.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629012,,,1610612762,20,17,2022-11-08T03:27:47Z,650000,,,0,,C. Sexton Free Throw 2 of 2 (2 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
66,PT05M51.00S,2022-11-08T03:28:10.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,88.25558475689881,49.50980392156863,1610612747,20,19,2022-11-08T03:28:19Z,660000,-2.0,58.0,1,right,A. Davis driving Hook (8 PTS),[203076],1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.8,Made,8.0,,,,,,,,,,,,
67,PT05M36.00S,2022-11-08T03:28:27.0Z,1,REGULAR,turnover,out-of-bounds,[],1627736,,,1610612762,20,19,2022-11-08T03:28:36Z,670000,,,0,,M. Beasley step out-of-bounds TURNOVER (1 TO),[1627736],1610612762.0,UTA,step,,,Beasley,M. Beasley,,,,,Left Corner 3,24+ Left,1628480.0,,,,,,,,,,,,,,,1.0,,,,
68,PT05M36.00S,2022-11-08T03:28:30.0Z,1,REGULAR,substitution,out,[],1629134,,,1610612747,20,19,2022-11-08T03:28:37Z,680000,,,0,,SUB out: K. Nunn,[1629134],1610612747.0,LAL,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M36.00S,2022-11-08T03:28:30.0Z,1,REGULAR,substitution,in,[],1630346,,,1610612747,20,19,2022-11-08T03:28:37Z,690000,,,0,,SUB in: M. Ryan,[1630346],1610612747.0,LAL,,,,Ryan,M. Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M17.00S,2022-11-08T03:29:06.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203076,88.64980289093299,45.588235294117645,1610612747,20,21,2022-11-08T03:29:11Z,700000,-22.0,54.0,1,right,A. Davis turnaround Hook (10 PTS),[203076],1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.85,Made,10.0,,,,,,,,,,,,
71,PT05M08.00S,2022-11-08T03:29:19.3Z,1,REGULAR,foul,offensive,[],203482,,,1610612762,20,21,2022-11-08T03:29:25Z,710000,,,0,,K. Olynyk offensive FOUL (1 PF),"[203482, 1628972]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Left Center,1151.0,1.0,0.0,Brown Jr.,1628972.0,,,,,,,,,,,,,,,
73,PT05M08.00S,2022-11-08T03:29:19.3Z,1,REGULAR,turnover,offensive foul,[],203482,,,1610612762,20,21,2022-11-08T03:29:19Z,730000,,,0,,K. Olynyk offensive foul TURNOVER (1 TO),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Left Center,1151.0,,,,,,,,,,,,,,,1.0,,,,
74,PT05M08.00S,2022-11-08T03:29:25.2Z,1,REGULAR,substitution,out,[],1627736,,,1610612747,20,21,2022-11-08T03:29:35Z,740000,,,0,,SUB out: M. Beasley,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M08.00S,2022-11-08T03:29:25.2Z,1,REGULAR,substitution,out,[],203482,,,1610612747,20,21,2022-11-08T03:29:35Z,750000,,,0,,SUB out: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M08.00S,2022-11-08T03:29:25.2Z,1,REGULAR,substitution,in,[],1629659,,,1610612747,20,21,2022-11-08T03:29:35Z,760000,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M08.00S,2022-11-08T03:29:25.2Z,1,REGULAR,substitution,in,[],1631117,,,1610612747,20,21,2022-11-08T03:29:35Z,770000,,,0,,SUB in: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M58.00S,2022-11-08T03:29:55.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",201566,92.9862023653088,52.450980392156865,1610612747,20,23,2022-11-08T03:30:01Z,780000,12.0,13.0,1,right,R. Westbrook driving DUNK (2 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,,,,,,1.82,Made,2.0,,,,,,,,,,,,
79,PT04M43.00S,2022-11-08T03:30:09.7Z,1,REGULAR,2pt,Jump Shot,[],1629012,21.369908015768726,67.40196078431373,1610612762,22,23,2022-11-08T03:35:51Z,790000,-87.0,148.0,1,left,C. Sexton 17' pullup Jump Shot (4 PTS) (M. Conley 3 AST),"[1629012, 201144]",1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Left Center,,,,,,17.2,Made,4.0,M. Conley,201144.0,3.0,,,,,,,,,
80,PT04M27.00S,2022-11-08T03:30:29.2Z,1,REGULAR,foul,offensive,[],203076,,,1610612747,22,23,2022-11-08T03:30:35Z,800000,,,0,,A. Davis offensive FOUL (1 PF),"[203076, 1629659]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Left Center,1151.0,1.0,0.0,Horton-Tucker,1629659.0,,,,,,,,,,,,,,,
82,PT04M27.00S,2022-11-08T03:30:29.2Z,1,REGULAR,turnover,offensive foul,[],203076,,,1610612747,22,23,2022-11-08T03:30:29Z,820000,,,0,,A. Davis offensive foul TURNOVER (1 TO),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Left Center,1151.0,,,,,,,,,,,,,,,1.0,,,,
83,PT04M27.00S,2022-11-08T03:30:37.2Z,1,REGULAR,substitution,out,[],1628972,,,1610612762,22,23,2022-11-08T03:30:43Z,830000,,,0,,SUB out: T. Brown Jr.,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M27.00S,2022-11-08T03:30:37.2Z,1,REGULAR,substitution,out,[],1630559,,,1610612762,22,23,2022-11-08T03:30:43Z,840000,,,0,,SUB out: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M27.00S,2022-11-08T03:30:37.2Z,1,REGULAR,substitution,in,[],1629308,,,1610612762,22,23,2022-11-08T03:30:43Z,850000,,,0,,SUB in: J. Toscano-Anderson,[1629308],1610612747.0,LAL,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M27.00S,2022-11-08T03:30:37.2Z,1,REGULAR,substitution,in,[],1631108,,,1610612762,22,23,2022-11-08T03:30:43Z,860000,,,0,,SUB in: M. Christie,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M12.00S,2022-11-08T03:31:07.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629659,12.565703022339028,48.28431372549019,1610612762,24,23,2022-11-08T03:31:13Z,870000,9.0,66.0,1,left,T. Horton-Tucker 6' fadeaway Jump Shot (2 PTS),[1629659],1610612762.0,UTA,fadeaway,,,Horton-Tucker,T. Horton-Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.62,Made,2.0,,,,,,,,,,,,
88,PT04M00.00S,2022-11-08T03:31:18.6Z,1,REGULAR,3pt,Jump Shot,[],201566,76.69185282522996,12.009803921568627,1610612747,24,26,2022-11-08T03:31:24Z,880000,-190.0,167.0,1,right,R. Westbrook 25' 3PT pullup (5 PTS),[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,,,,,,25.27,Made,5.0,,,,,,,,,,,,
90,PT03M39.00S,2022-11-08T03:31:47.9Z,1,REGULAR,substitution,out,[],201144,,,1610612762,24,26,2022-11-08T03:31:56Z,900000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
