actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
18,PT10M23.00S,2022-12-23T02:13:20.8Z,1,REGULAR,block,,[],1631117,,,1610612764,3,2,2022-12-23T02:13:23Z,180000,False,,,0,,W. Kessler BLOCK (1 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M20.00S,2022-12-23T02:13:23.8Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,3,2,2022-12-23T02:13:25Z,190000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,,,,,,,1.0,1.0,0.0,,,,,,,,
20,PT10M05.00S,2022-12-23T02:13:38.9Z,1,REGULAR,3pt,Jump Shot,[],203903,24.52365308804205,11.76470588235294,1610612762,3,2,2022-12-23T02:13:42Z,200000,False,191.0,178.0,1,left,MISS J. Clarkson 26' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,26.12,Missed,,,,,,,,,,,,,,,,,,
21,PT10M03.00S,2022-12-23T02:13:40.9Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,3,2,2022-12-23T02:13:42Z,210000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Right Center,,,20.0,,,,,,,1.0,1.0,0.0,,,,,,,,
22,PT09M50.00S,2022-12-23T02:13:56.3Z,1,REGULAR,foul,personal,['2freethrow'],1631117,,,1610612764,3,2,2022-12-23T02:14:06Z,220000,False,,,0,,W. Kessler shooting personal FOUL (1 PF) (Kuzma 2 FT),"[1631117, 1628398]",1610612762.0,UTA,shooting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,2882.0,,,,,,,1.0,0.0,Kuzma,1628398.0,,
24,PT09M50.00S,2022-12-23T02:14:28.1Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,3,3,2022-12-23T02:14:28Z,240000,False,,,0,,K. Kuzma Free Throw 1 of 2 (1 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,,1.0,,,,,,,,,,,,,,,,
25,PT09M50.00S,2022-12-23T02:14:45.0Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,3,4,2022-12-23T02:14:45Z,250000,False,,,0,,K. Kuzma Free Throw 2 of 2 (2 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,,2.0,,,,,,,,,,,,,,,,
26,PT09M33.00S,2022-12-23T02:15:04.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,13.091327201051248,48.77450980392157,1610612762,5,4,2022-12-23T02:15:12Z,260000,False,6.0,71.0,1,left,M. Conley 7' driving floating Jump Shot (2 PTS),[201144],1610612762.0,UTA,driving floating,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,7.09,Made,,2.0,,,,,,,,,,,,,,,,
27,PT09M20.00S,2022-12-23T02:15:17.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,89.04402102496715,43.13725490196079,1610612764,5,4,2022-12-23T02:15:25Z,270000,False,-34.0,50.0,1,right,MISS B. Beal 6' driving Layup,[203078],1610612764.0,WAS,driving,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,6.1,Missed,,,,,,,,,,,,,,,,,,
28,PT09M15.00S,2022-12-23T02:15:22.3Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,5,4,2022-12-23T02:15:25Z,280000,False,,,0,,D. Gafford REBOUND (Off:1 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,,,27.0,,,,,,,2.0,1.0,1.0,,,,,,,,
29,PT09M15.00S,2022-12-23T02:15:21.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629655,94.40999984741211,50.0,1610612764,5,6,2022-12-23T02:15:21Z,290000,False,0.0,0.0,1,right,D. Gafford tip DUNK (4 PTS),[1629655],1610612764.0,WAS,tip,,,Gafford,D. Gafford,,,,,Mid-Range,8-16 Left,0.0,Made,,4.0,,,,,,,,,,,,,,,,
30,PT09M03.00S,2022-12-23T02:15:34.4Z,1,REGULAR,3pt,Jump Shot,[],203903,19.66162943495401,4.6568627450980395,1610612762,5,6,2022-12-23T02:16:52Z,300000,False,227.0,132.0,1,left,MISS J. Clarkson 26' pullup 3PT,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,26.25,Missed,,,,,,,,,,,,,,,,,,
31,PT09M00.00S,2022-12-23T02:15:37.4Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,5,6,2022-12-23T02:15:38Z,310000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,,,30.0,,,,,,,1.0,1.0,0.0,,,,,,,,
32,PT08M56.00S,2022-12-23T02:15:41.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628398,91.67214191852825,61.274509803921575,1610612764,5,8,2022-12-23T02:18:20Z,320000,False,56.0,26.0,1,right,K. Kuzma 6' running Layup (4 PTS),[1628398],1610612764.0,WAS,running,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,6.2,Made,,4.0,,,,,,,,,,,,,,,,
33,PT08M56.00S,2022-12-23T02:15:50.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,5,8,2022-12-23T02:15:50Z,330000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M56.00S,2022-12-23T02:18:16.7Z,1,REGULAR,substitution,out,[],1629020,,,1610612762,5,8,2022-12-23T02:18:27Z,340000,False,,,0,,SUB out: J. Vanderbilt,[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M56.00S,2022-12-23T02:18:16.7Z,1,REGULAR,substitution,in,[],1629012,,,1610612762,5,8,2022-12-23T02:18:27Z,350000,False,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M40.00S,2022-12-23T02:18:54.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,14.273981603153747,36.029411764705884,1610612762,5,8,2022-12-23T02:19:01Z,360000,False,70.0,82.0,1,left,MISS L. Markkanen 10' pullup Shot,[1628374],1610612762.0,UTA,pullup,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Right,10.75,Missed,,,,,,,,,,,,,,,,,,
38,PT08M37.00S,2022-12-23T02:18:57.5Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,5,8,2022-12-23T02:19:01Z,370000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Right,,,37.0,,,,,,,1.0,1.0,0.0,,,,,,,,
39,PT08M28.00S,2022-12-23T02:19:10.1Z,1,REGULAR,foul,personal,[],1628374,,,1610612764,5,8,2022-12-23T02:19:19Z,380000,False,,,0,,L. Markkanen loose ball personal FOUL (1 PF),"[1628374, 1629655]",1610612762.0,UTA,loose ball,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,,,,,,2882.0,,,,,,,1.0,0.0,Gafford,1629655.0,,
41,PT08M28.00S,2022-12-23T02:19:34.0Z,1,REGULAR,turnover,out-of-bounds,[],203078,,,1610612764,5,8,2022-12-23T02:19:39Z,400000,False,,,0,,B. Beal bad pass out-of-bounds TURNOVER (1 TO),[203078],1610612764.0,WAS,bad pass,,,Beal,B. Beal,,,,,Above the Break 3,24+ Right Center,,,,,,,,1628480.0,1.0,,,,,,,,,,,
42,PT08M15.00S,2022-12-23T02:19:52.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203903,13.354139290407357,57.35294117647059,1610612762,5,8,2022-12-23T02:19:57Z,410000,False,-37.0,73.0,1,left,MISS J. Clarkson 8' pullup Shot,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),8-16 Center,8.18,Missed,,,,,,,,,,,,,,,,,,
43,PT08M11.00S,2022-12-23T02:19:56.5Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,5,8,2022-12-23T02:19:57Z,420000,False,,,0,,W. Kessler REBOUND (Off:1 Def:0),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Center,,,42.0,,,,,,,1.0,0.0,1.0,,,,,,,,
44,PT08M04.00S,2022-12-23T02:20:03.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance', 'defensivegoaltending']",1629012,8.360709592641262,57.84313725490197,1610612762,7,8,2022-12-23T02:22:03Z,430000,False,-39.0,26.0,1,left,C. Sexton driving finger roll Layup (2 PTS),[1629012],1610612762.0,UTA,driving finger roll,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,4.71,Made,,2.0,,,,,,,,,,,,,,,,
45,PT08M04.00S,2022-12-23T02:20:07.4Z,1,REGULAR,violation,defensive goaltending,[],1629655,,,1610612762,7,8,2022-12-23T02:20:15Z,440000,False,,,0,,D. Gafford defensive goaltending VIOLATION,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,1628480.0,,,,,,,,,,,,
46,PT07M58.00S,2022-12-23T02:20:23.9Z,1,REGULAR,foul,personal,[],201144,,,1610612764,7,8,2022-12-23T02:20:28Z,450000,False,,,0,,M. Conley personal FOUL (1 PF),"[201144, 1628420]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,,,,,,,,1628480.0,,,,,,,1.0,0.0,Morris,1628420.0,,
48,PT07M51.00S,2022-12-23T02:20:46.5Z,1,REGULAR,2pt,Jump Shot,[],1628420,79.31997371879106,36.27450980392157,1610612764,7,8,2022-12-23T02:20:52Z,470000,False,-69.0,142.0,1,right,MISS M. Morris 15' floating Shot,[1628420],1610612764.0,WAS,floating,,,Morris,M. Morris,,,,,Mid-Range,8-16 Center,15.76,Missed,,,,,,,,,,,,,,,,,,
49,PT07M49.00S,2022-12-23T02:20:48.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,7,8,2022-12-23T02:20:52Z,480000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Mid-Range,8-16 Center,,,48.0,,,,,,,,,,,,,,,,,
51,PT07M40.00S,2022-12-23T02:21:03.9Z,1,REGULAR,3pt,Jump Shot,[],1628374,15.456636005256241,2.450980392156863,1610612762,10,8,2022-12-23T02:21:07Z,500000,False,238.0,93.0,1,left,L. Markkanen 25' 3PT  (6 PTS) (M. Conley 2 AST),"[1628374, 201144]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right,25.52,Made,,6.0,M. Conley,201144.0,2.0,,,,,,,,,,,,,
53,PT07M24.00S,2022-12-23T02:21:23.2Z,1,REGULAR,foul,personal,[],1629012,,,1610612764,10,8,2022-12-23T02:21:49Z,520000,False,,,0,,C. Sexton personal FOUL (1 PF),"[1629012, 203078]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,16-24 Right Center,,,,,,,,1628480.0,,,,,,,1.0,0.0,Beal,203078.0,,
55,PT07M16.00S,2022-12-23T02:21:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,89.83245729303549,40.68627450980392,1610612764,10,8,2022-12-23T02:21:51Z,540000,False,-47.0,43.0,1,right,MISS B. Beal 6' Layup,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,6.35,Missed,,,,,,,,,,,,,,,,,,
56,PT07M13.00S,2022-12-23T02:21:50.7Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,10,8,2022-12-23T02:21:51Z,550000,False,,,0,,W. Kessler REBOUND (Off:1 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,55.0,,,,,,,2.0,1.0,1.0,,,,,,,,
57,PT07M06.00S,2022-12-23T02:21:59.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'defensivegoaltending']",1629012,10.726018396846255,44.11764705882353,1610612762,12,8,2022-12-23T02:22:07Z,560000,False,29.0,48.0,1,left,C. Sexton floating Jump Shot (4 PTS),[1629012],1610612762.0,UTA,floating,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,5.65,Made,,4.0,,,,,,,,,,,,,,,,
59,PT07M06.00S,2022-12-23T02:22:03.2Z,1,REGULAR,violation,defensive goaltending,[],1629655,,,1610612762,12,8,2022-12-23T02:22:07Z,580000,False,,,0,,D. Gafford defensive goaltending VIOLATION,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,2882.0,,,,,,,,,,,,
60,PT06M58.00S,2022-12-23T02:22:23.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628374,,,1610612764,12,8,2022-12-23T02:22:38Z,590000,False,,,0,,L. Markkanen personal FOUL (2 PF) (Kuzma 2 FT),"[1628374, 1628398]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,1628480.0,,,,,,,2.0,0.0,Kuzma,1628398.0,,
62,PT06M58.00S,2022-12-23T02:22:59.4Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,12,9,2022-12-23T02:23:36Z,610000,False,,,0,,K. Kuzma Free Throw 1 of 2 (5 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,,5.0,,,,,,,,,,,,,,,,
63,PT06M58.00S,2022-12-23T02:22:59.9Z,1,REGULAR,substitution,out,[],1628374,,,1610612764,12,9,2022-12-23T02:23:10Z,620000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M58.00S,2022-12-23T02:22:59.9Z,1,REGULAR,substitution,out,[],1629655,,,1610612764,12,9,2022-12-23T02:23:10Z,630000,False,,,0,,SUB out: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M58.00S,2022-12-23T02:22:59.9Z,1,REGULAR,substitution,in,[],200752,,,1610612764,12,9,2022-12-23T02:23:10Z,640000,False,,,0,,SUB in: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M58.00S,2022-12-23T02:22:59.9Z,1,REGULAR,substitution,in,[],201959,,,1610612764,12,9,2022-12-23T02:23:10Z,650000,False,,,0,,SUB in: T. Gibson,[201959],1610612764.0,WAS,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M58.00S,2022-12-23T02:22:59.4Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,12,9,2022-12-23T02:23:36Z,660000,False,,,0,,MISS K. Kuzma Free Throw 2 of 2,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
68,PT06M56.00S,2022-12-23T02:23:01.4Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,12,9,2022-12-23T02:23:36Z,670000,False,,,0,,J. Clarkson REBOUND (Off:0 Def:2),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,67.0,,,,,,,2.0,2.0,0.0,,,,,,,,
69,PT06M42.00S,2022-12-23T02:23:48.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201144,13.091327201051248,48.77450980392157,1610612762,12,9,2022-12-23T02:23:52Z,680000,False,6.0,71.0,1,left,MISS M. Conley 7' driving Layup,[201144],1610612762.0,UTA,driving,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,7.09,Missed,,,,,,,,,,,,,,,,,,
70,PT06M40.00S,2022-12-23T02:23:50.1Z,1,REGULAR,rebound,defensive,[],203078,,,1610612764,12,9,2022-12-23T02:23:52Z,690000,False,,,0,,B. Beal REBOUND (Off:0 Def:1),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,69.0,,,,,,,1.0,1.0,0.0,,,,,,,,
71,PT06M35.00S,2022-12-23T02:23:54.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630557,94.1688567674113,2.696078431372549,1610612764,12,12,2022-12-23T02:27:58Z,700000,False,-237.0,2.0,1,right,C. Kispert 3PT running (3 PTS) (B. Beal 2 AST),"[1630557, 203078]",1610612764.0,WAS,running,,,Kispert,C. Kispert,,,,,Left Corner 3,24+ Left,23.65,Made,,3.0,B. Beal,203078.0,2.0,,,,,,,,,,,,,
73,PT06M14.00S,2022-12-23T02:24:16.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,18.084756898817346,38.72549019607843,1610612762,12,12,2022-12-23T02:28:53Z,720000,False,56.0,117.0,1,left,MISS C. Sexton 13' fadeaway Shot,[1629012],1610612762.0,UTA,fadeaway,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Center,13.03,Missed,,,,,,,,,,,,,,,,,,
74,PT06M11.00S,2022-12-23T02:24:19.3Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,12,12,2022-12-23T02:24:21Z,730000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,,,73.0,,,,,,,2.0,2.0,0.0,,,,,,,,
75,PT06M05.00S,2022-12-23T02:24:25.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628398,67.49342969776609,37.254901960784316,1610612764,12,15,2022-12-23T02:29:46Z,740000,False,-64.0,253.0,1,right,K. Kuzma 26' 3PT running pullup (8 PTS),[1628398],1610612764.0,WAS,running pullup,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,26.1,Made,,8.0,,,,,,,,,,,,,,,,
76,PT05M46.00S,2022-12-23T02:24:45.5Z,1,REGULAR,2pt,Jump Shot,[],203903,12.302890932982917,69.85294117647058,1610612762,12,15,2022-12-23T02:24:51Z,750000,False,-99.0,63.0,1,left,MISS J. Clarkson 11' turnaround fadeaway Shot,[203903],1610612762.0,UTA,turnaround fadeaway,,,Clarkson,J. Clarkson,,,,,Mid-Range,8-16 Left,11.77,Missed,,,,,,,,,,,,,,,,,,
77,PT05M42.00S,2022-12-23T02:24:49.5Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612764,12,15,2022-12-23T02:24:51Z,760000,False,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Mid-Range,8-16 Left,,,76.0,,,,,,,1.0,1.0,0.0,,,,,,,,
78,PT05M27.00S,2022-12-23T02:25:04.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201959,92.19776609724047,47.05882352941176,1610612764,12,17,2022-12-23T02:25:07Z,770000,False,-15.0,21.0,1,right,T. Gibson DUNK (2 PTS) (K. Kuzma 1 AST),"[201959, 1628398]",1610612764.0,WAS,,,,Gibson,T. Gibson,,,,,Restricted Area,0-8 Center,2.55,Made,,2.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,
80,PT05M06.00S,2022-12-23T02:25:27.2Z,1,REGULAR,turnover,out-of-bounds,[],203903,,,1610612762,12,17,2022-12-23T02:25:33Z,790000,False,,,0,,J. Clarkson bad pass out-of-bounds TURNOVER (1 TO),[203903],1610612762.0,UTA,bad pass,,,Clarkson,J. Clarkson,,,,,Mid-Range,16-24 Center,,,,,,,,1628480.0,1.0,,,,,,,,,,,
81,PT05M06.00S,2022-12-23T02:25:29.7Z,1,REGULAR,substitution,out,[],203903,,,1610612764,12,17,2022-12-23T02:25:44Z,800000,False,,,0,,SUB out: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M06.00S,2022-12-23T02:25:29.7Z,1,REGULAR,substitution,out,[],1631117,,,1610612764,12,17,2022-12-23T02:25:44Z,810000,False,,,0,,SUB out: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M06.00S,2022-12-23T02:25:29.7Z,1,REGULAR,substitution,out,[],1628398,,,1610612764,12,17,2022-12-23T02:25:44Z,820000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M06.00S,2022-12-23T02:25:29.7Z,1,REGULAR,substitution,in,[],1627736,,,1610612764,12,17,2022-12-23T02:25:44Z,830000,False,,,0,,SUB in: M. Beasley,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M06.00S,2022-12-23T02:25:29.7Z,1,REGULAR,substitution,in,[],1629020,,,1610612764,12,17,2022-12-23T02:25:44Z,840000,False,,,0,,SUB in: J. Vanderbilt,[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,
