actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
715,PT00M14.20S,2023-01-01T04:30:44.0Z,4,REGULAR,freethrow,3 of 3,[],203903,,,1610612762,120,122,2023-01-01T04:30:44Z,7100000,False,,,0,,J. Clarkson Free Throw 3 of 3 (22 PTS),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,Made,22.0,,,,,,,,,,,,,,,,,
716,PT00M14.20S,2023-01-01T04:30:46.9Z,4,REGULAR,timeout,full,['team'],0,,,1610612748,120,122,2023-01-01T04:30:46Z,7110000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,PT00M14.20S,2023-01-01T04:31:57.1Z,4,REGULAR,substitution,out,[],1629312,,,1610612748,120,122,2023-01-01T04:31:59Z,7120000,False,,,0,,SUB out: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
718,PT00M14.20S,2023-01-01T04:31:57.1Z,4,REGULAR,substitution,in,[],1629216,,,1610612748,120,122,2023-01-01T04:31:59Z,7130000,False,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
719,PT00M13.20S,2023-01-01T04:32:41.8Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201144,,,1610612748,120,122,2023-01-01T04:32:58Z,7140000,False,,,0,,M. Conley shooting personal FOUL (3 PF) (Oladipo 2 FT),"[201144, 203506]",1610612762.0,UTA,shooting,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627519.0,3.0,0.0,Oladipo,203506.0,,,,,,
721,PT00M13.20S,2023-01-01T04:33:14.3Z,4,REGULAR,freethrow,1 of 2,[],203506,,,1610612748,120,123,2023-01-01T04:33:14Z,7160000,False,,,0,,V. Oladipo Free Throw 1 of 2 (23 PTS),[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,Made,23.0,,,,,,,,,,,,,,,,,
722,PT00M13.20S,2023-01-01T04:33:14.3Z,4,REGULAR,freethrow,2 of 2,[],203506,,,1610612748,120,123,2023-01-01T04:33:43Z,7170000,False,,,0,,MISS V. Oladipo Free Throw 2 of 2,[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
723,PT00M12.10S,2023-01-01T04:33:15.4Z,4,REGULAR,rebound,defensive,[],1628374,,,1610612762,120,123,2023-01-01T04:33:43Z,7180000,False,,,0,,L. Markkanen REBOUND (Off:5 Def:9),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,722.0,14.0,9.0,5.0,,
724,PT00M12.10S,2023-01-01T04:33:41.4Z,4,REGULAR,timeout,full,['team'],0,,,1610612762,120,123,2023-01-01T04:33:41Z,7190000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,PT00M12.10S,2023-01-01T04:34:20.9Z,4,REGULAR,substitution,out,[],1629622,,,1610612762,120,123,2023-01-01T04:35:47Z,7195000,False,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
