actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
54,PT06M43.00S,2023-04-05T01:17:44.8Z,1,REGULAR,substitution,in,[],1631323,,,1610612747,14,12,2023-04-05T01:19:51Z,540000,False,,,0,,SUB in: S. Fontecchio,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M43.00S,2023-04-05T01:17:44.8Z,1,REGULAR,substitution,in,[],1628972,,,1610612747,14,12,2023-04-05T01:19:51Z,550000,False,,,0,,SUB in: T. Brown Jr.,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M43.00S,2023-04-05T01:20:16.4Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,14,13,2023-04-05T01:20:16Z,560000,False,,,0,,A. Davis Free Throw 1 of 2 (3 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
57,PT06M43.00S,2023-04-05T01:20:32.8Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,14,14,2023-04-05T01:20:32Z,570000,False,,,0,,A. Davis Free Throw 2 of 2 (4 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
58,PT06M26.00S,2023-04-05T01:20:54.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,91.5407358738502,44.36274509803921,1610612762,14,14,2023-04-05T01:20:58Z,580000,False,-28.0,27.0,1,right,MISS T. Horton-Tucker driving Layup,[1629659],1610612762.0,UTA,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,Restricted Area,0-8 Center,3.9,Missed,,,,,,,,,,,,,,,,,,
59,PT06M24.00S,2023-04-05T01:20:56.3Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,14,14,2023-04-05T01:20:58Z,590000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,
60,PT06M20.00S,2023-04-05T01:21:03.2Z,1,REGULAR,foul,personal,['2freethrow'],1627745,,,1610612747,14,14,2023-04-05T01:21:07Z,600000,False,,,0,,D. Jones shooting personal FOUL (1 PF) (Davis 2 FT),"[1627745, 203076]",1610612762.0,UTA,shooting,,,Jones,D. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203054.0,,,,,,1.0,0.0,Davis,203076.0
62,PT06M20.00S,2023-04-05T01:21:29.9Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,14,15,2023-04-05T01:21:29Z,620000,False,,,0,,A. Davis Free Throw 1 of 2 (5 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
63,PT06M20.00S,2023-04-05T01:21:52.3Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,14,16,2023-04-05T01:21:52Z,630000,False,,,0,,A. Davis Free Throw 2 of 2 (6 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
64,PT06M06.00S,2023-04-05T01:22:08.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,91.93495400788436,45.83333333333333,1610612762,14,16,2023-04-05T01:22:14Z,640000,False,-21.0,23.0,1,right,MISS T. Horton-Tucker driving Layup,[1629659],1610612762.0,UTA,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,Restricted Area,0-8 Center,3.12,Missed,,,,,,,,,,,,,,,,,,
65,PT06M04.00S,2023-04-05T01:22:10.6Z,1,REGULAR,rebound,offensive,[],203482,,,1610612762,14,16,2023-04-05T01:22:14Z,650000,False,,,0,,K. Olynyk REBOUND (Off:1 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,64.0,2.0,1.0,1.0,,,,,,,,,,,,,
66,PT06M02.00S,2023-04-05T01:22:13.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629659,74.72076215505913,11.029411764705882,1610612762,14,16,2023-04-05T01:22:19Z,660000,False,-195.0,185.0,1,right,MISS T. Horton-Tucker 26' 3PT,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Above the Break 3,24+ Left Center,26.88,Missed,,,,,,,,,,,,,,,,,,
67,PT06M00.00S,2023-04-05T01:22:15.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,14,16,2023-04-05T01:22:19Z,670000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,66.0,,,,,,,,,,,,,,,,
69,PT05M44.00S,2023-04-05T01:22:38.0Z,1,REGULAR,3pt,Jump Shot,[],203471,8.754927726675426,95.58823529411765,1610612747,14,16,2023-04-05T01:22:43Z,690000,False,-228.0,30.0,1,left,MISS D. Schroder 3PT,[203471],1610612747.0,LAL,,,,Schroder,D. Schroder,,,,,Left Corner 3,24+ Left,22.98,Missed,,,,,,,,,,,,,,,,,,
70,PT05M42.00S,2023-04-05T01:22:40.0Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,14,16,2023-04-05T01:22:43Z,700000,False,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Left Corner 3,24+ Left,,,,69.0,2.0,1.0,1.0,,,,,,,,,,,,,
71,PT05M40.00S,2023-04-05T01:22:42.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203076,11.645860709592641,49.754901960784316,1610612747,14,18,2023-04-05T01:22:47Z,710000,False,1.0,57.0,1,left,A. Davis Hook (8 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,5.7,Made,8.0,,,,,,,,,,,,,,,,,
72,PT05M30.00S,2023-04-05T01:22:52.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630534,91.01511169513797,44.11764705882353,1610612762,16,18,2023-04-05T01:22:57Z,720000,False,-29.0,32.0,1,right,O. Agbaji driving Layup (7 PTS),[1630534],1610612762.0,UTA,driving,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,4.35,Made,7.0,,,,,,,,,,,,,,,,,
73,PT05M08.00S,2023-04-05T01:23:13.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,6.521024967148489,55.63725490196079,1610612747,16,20,2023-04-05T01:23:18Z,730000,False,-28.0,9.0,1,left,A. Davis alley-oop Layup (10 PTS) (A. Reaves 1 AST),"[203076, 1630559]",1610612747.0,LAL,alley-oop,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,2.95,Made,10.0,,,,,A. Reaves,1630559.0,1.0,,,,,,,,,,
76,PT04M49.00S,2023-04-05T01:23:38.1Z,1,REGULAR,substitution,out,[],203482,,,1610612762,16,20,2023-04-05T01:23:49Z,760000,False,,,0,,SUB out: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M49.00S,2023-04-05T01:23:38.1Z,1,REGULAR,substitution,out,[],1629020,,,1610612762,16,20,2023-04-05T01:23:49Z,770000,False,,,0,,SUB out: J. Vanderbilt,[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M49.00S,2023-04-05T01:23:38.1Z,1,REGULAR,substitution,out,[],1630559,,,1610612762,16,20,2023-04-05T01:23:49Z,780000,False,,,0,,SUB out: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M49.00S,2023-04-05T01:23:38.1Z,1,REGULAR,substitution,in,[],1627739,,,1610612762,16,20,2023-04-05T01:23:49Z,790000,False,,,0,,SUB in: K. Dunn,[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M49.00S,2023-04-05T01:23:38.1Z,1,REGULAR,substitution,in,[],1627736,,,1610612762,16,20,2023-04-05T01:23:49Z,800000,False,,,0,,SUB in: M. Beasley,[1627736],1610612747.0,LAL,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M49.00S,2023-04-05T01:23:38.1Z,1,REGULAR,substitution,in,[],1629060,,,1610612762,16,20,2023-04-05T01:23:49Z,810000,False,,,0,,SUB in: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M47.00S,2023-04-05T01:23:57.8Z,1,REGULAR,3pt,Jump Shot,[],1630534,89.43823915900131,2.941176470588235,1610612762,19,20,2023-04-05T01:24:03Z,820000,False,-235.0,47.0,1,right,O. Agbaji 3PT  (10 PTS) (T. Horton-Tucker 3 AST),"[1630534, 1629659]",1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Left Corner 3,24+ Left,23.99,Made,10.0,,,,,T. Horton-Tucker,1629659.0,3.0,,,,,,,,,,
84,PT04M26.00S,2023-04-05T01:24:18.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,6.915243101182654,54.65686274509803,1610612747,19,22,2023-04-05T01:24:23Z,840000,False,-23.0,13.0,1,left,D. Schroder reverse Layup (2 PTS),[203471],1610612747.0,LAL,reverse,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,2.64,Made,2.0,,,,,,,,,,,,,,,,,
85,PT04M18.00S,2023-04-05T01:24:27.2Z,1,REGULAR,3pt,Jump Shot,[],1631323,67.23061760840999,54.90196078431373,1610612762,19,22,2023-04-05T01:24:31Z,850000,False,25.0,256.0,1,right,MISS S. Fontecchio 25' 3PT,[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Center,25.67,Missed,,,,,,,,,,,,,,,,,,
