actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
15,PT10M54.00S,2023-04-08T19:43:39.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2023-04-08T19:43:41Z,150000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,Above the Break 3,24+ Left Center,,,,Jokic,N. Jokic,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT10M47.00S,2023-04-08T19:43:46.4Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,0,0,2023-04-08T19:43:50Z,160000,False,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1629677]",1610612743.0,DEN,,Mid-Range,16-24 Left Center,,,,Jokic,N. Jokic,,,1.0,,,,,,,Samanic,1629677.0,,,,,,,,,,,,
17,PT10M47.00S,2023-04-08T19:43:46.4Z,1,REGULAR,steal,,[],1629677,,,1610612762,0,0,2023-04-08T19:43:48Z,170000,False,,,0,,L. Samanic STEAL (1 STL),[1629677],1610612762.0,UTA,,Mid-Range,16-24 Left Center,,,,Samanic,L. Samanic,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M43.00S,2023-04-08T19:43:50.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629677,93.11760840998686,55.392156862745104,1610612762,2,0,2023-04-08T19:43:55Z,180000,False,27.0,12.0,1,right,L. Samanic alley-oop DUNK (2 PTS) (K. Dunn 1 AST),"[1629677, 1627739]",1610612762.0,UTA,alley-oop,Restricted Area,0-8 Center,,,,Samanic,L. Samanic,,,,2.96,Made,,,,,,,2.0,K. Dunn,1627739.0,1.0,,,,,,,,
20,PT10M21.00S,2023-04-08T19:44:11.7Z,1,REGULAR,turnover,lost ball,[],203999,,,1610612743,2,0,2023-04-08T19:44:15Z,200000,False,,,0,,N. Jokic lost ball TURNOVER (2 TO),"[203999, 1627739]",1610612743.0,DEN,,Mid-Range,8-16 Right,,,,Jokic,N. Jokic,,,2.0,,,,,,,Dunn,1627739.0,,,,,,,,,,,,
21,PT10M21.00S,2023-04-08T19:44:11.7Z,1,REGULAR,steal,,[],1627739,,,1610612762,2,0,2023-04-08T19:44:13Z,210000,False,,,0,,K. Dunn STEAL (1 STL),[1627739],1610612762.0,UTA,,Mid-Range,8-16 Right,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M16.00S,2023-04-08T19:44:17.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630534,92.32917214191852,40.68627450980392,1610612762,4,0,2023-04-08T19:44:23Z,220000,False,-47.0,20.0,1,right,O. Agbaji driving Layup (2 PTS) (K. Dunn 2 AST),"[1630534, 1627739]",1610612762.0,UTA,driving,In The Paint (Non-RA),0-8 Center,,,,Agbaji,O. Agbaji,,,,5.06,Made,,,,,,,2.0,K. Dunn,1627739.0,2.0,,,,,,,,
24,PT10M03.00S,2023-04-08T19:44:30.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,6.652431011826544,41.911764705882355,1610612743,4,2,2023-04-08T19:44:34Z,240000,False,40.0,10.0,1,left,A. Gordon alley-oop DUNK (2 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,alley-oop,Restricted Area,0-8 Center,,,,Gordon,A. Gordon,,,,4.16,Made,,,,,,,2.0,N. Jokic,203999.0,1.0,,,,,,,,
26,PT09M47.00S,2023-04-08T19:44:45.4Z,1,REGULAR,3pt,Jump Shot,[],1630534,70.38436268068331,78.67647058823529,1610612762,7,2,2023-04-08T19:44:51Z,260000,False,143.0,226.0,1,right,O. Agbaji 26' 3PT  (5 PTS) (J. Toscano-Anderson 1 AST),"[1630534, 1629308]",1610612762.0,UTA,,Above the Break 3,24+ Right Center,,,,Agbaji,O. Agbaji,,,,26.76,Made,,,,,,,5.0,J. Toscano-Anderson,1629308.0,1.0,,,,,,,,
28,PT09M35.00S,2023-04-08T19:44:58.0Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,7,2,2023-04-08T19:45:03Z,280000,False,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1629308]",1610612743.0,DEN,,Above the Break 3,24+ Left Center,,,,Murray,J. Murray,,,1.0,,,,,,,Toscano-Anderson,1629308.0,,,,,,,,,,,,
29,PT09M35.00S,2023-04-08T19:44:58.0Z,1,REGULAR,steal,,[],1629308,,,1610612762,7,2,2023-04-08T19:45:00Z,290000,False,,,0,,J. Toscano-Anderson STEAL (1 STL),[1629308],1610612762.0,UTA,,Above the Break 3,24+ Left Center,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M30.00S,2023-04-08T19:45:02.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629677,92.46057818659659,45.09803921568628,1610612762,9,2,2023-04-08T19:45:07Z,300000,False,-25.0,18.0,1,right,L. Samanic Layup (4 PTS) (J. Toscano-Anderson 2 AST),"[1629677, 1629308]",1610612762.0,UTA,,Restricted Area,0-8 Center,,,,Samanic,L. Samanic,,,,3.06,Made,,,,,,,4.0,J. Toscano-Anderson,1629308.0,2.0,,,,,,,,
32,PT09M13.00S,2023-04-08T19:45:20.1Z,1,REGULAR,2pt,Jump Shot,[],203932,4.155716162943495,71.32352941176471,1610612743,9,2,2023-04-08T19:45:24Z,320000,False,-107.0,-13.0,1,left,MISS A. Gordon 10' Jump Shot,[203932],1610612743.0,DEN,,Mid-Range,8-16 Left,,,,Gordon,A. Gordon,,,,10.74,Missed,,,,,,,,,,,,,,,,,,
33,PT09M11.00S,2023-04-08T19:45:22.1Z,1,REGULAR,rebound,defensive,[],1629677,,,1610612762,9,2,2023-04-08T19:45:24Z,330000,False,,,0,,L. Samanic REBOUND (Off:0 Def:1),[1629677],1610612762.0,UTA,,Mid-Range,8-16 Left,,,,Samanic,L. Samanic,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT09M03.00S,2023-04-08T19:45:30.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627739,85.49605781865965,58.82352941176471,1610612762,9,2,2023-04-08T19:45:33Z,340000,False,44.0,84.0,1,right,MISS K. Dunn 9' pullup Shot,[1627739],1610612762.0,UTA,pullup,In The Paint (Non-RA),8-16 Center,,,,Dunn,K. Dunn,,,,9.47,Missed,,,,,,,,,,,,,,,,,,
35,PT09M01.00S,2023-04-08T19:45:32.0Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,9,2,2023-04-08T19:45:33Z,350000,False,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,In The Paint (Non-RA),8-16 Center,,,,Jokic,N. Jokic,,,,,,34.0,3.0,3.0,0.0,,,,,,,,,,,,,,
36,PT08M55.00S,2023-04-08T19:45:38.2Z,1,REGULAR,3pt,Jump Shot,[],1629008,31.09395532194481,64.4607843137255,1610612743,9,2,2023-04-08T19:45:42Z,360000,False,-72.0,240.0,1,left,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,Above the Break 3,24+ Center,,,,Porter Jr.,M. Porter Jr.,,,,25.05,Missed,,,,,,,,,,,,,,,,,,
37,PT08M53.00S,2023-04-08T19:45:40.2Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612762,9,2,2023-04-08T19:45:42Z,370000,False,,,0,,K. Dunn REBOUND (Off:0 Def:2),[1627739],1610612762.0,UTA,,Above the Break 3,24+ Center,,,,Dunn,K. Dunn,,,,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
38,PT08M47.00S,2023-04-08T19:45:46.9Z,1,REGULAR,3pt,Jump Shot,[],1629308,75.77201051248358,87.25490196078431,1610612762,9,2,2023-04-08T19:45:53Z,380000,False,186.0,175.0,1,right,MISS J. Toscano-Anderson 25' 3PT,[1629308],1610612762.0,UTA,,Above the Break 3,24+ Right Center,,,,Toscano-Anderson,J. Toscano-Anderson,,,,25.57,Missed,,,,,,,,,,,,,,,,,,
39,PT08M43.00S,2023-04-08T19:45:50.0Z,1,REGULAR,rebound,offensive,[],1628962,,,1610612762,9,2,2023-04-08T19:45:50Z,390000,False,,,0,,U. Azubuike REBOUND (Off:1 Def:1),[1628962],1610612762.0,UTA,,Above the Break 3,24+ Right Center,,,,Azubuike,U. Azubuike,,,,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,,
40,PT08M43.00S,2023-04-08T19:45:52.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628962,88.12417871222075,47.794117647058826,1610612762,11,2,2023-04-08T19:45:57Z,400000,False,-11.0,59.0,1,right,U. Azubuike 6' Hook (2 PTS),[1628962],1610612762.0,UTA,,In The Paint (Non-RA),0-8 Center,,,,Azubuike,U. Azubuike,,,,6.01,Made,,,,,,,2.0,,,,,,,,,,,
41,PT08M43.00S,2023-04-08T19:45:54.9Z,1,REGULAR,foul,personal,['1freethrow'],203932,,,1610612762,11,2,2023-04-08T19:46:05Z,410000,False,,,0,,A. Gordon shooting personal FOUL (1 PF) (Azubuike 1 FT),"[203932, 1628962]",1610612743.0,DEN,shooting,In The Paint (Non-RA),0-8 Center,1151.0,1.0,0.0,Gordon,A. Gordon,Azubuike,1628962.0,,,,,,,,,,,,,,,,,,,,,
43,PT08M43.00S,2023-04-08T19:46:21.4Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1628962,,,1610612762,11,2,2023-04-08T19:46:21Z,430000,False,,,0,,MISS U. Azubuike Free Throw 1 of 1,[1628962],1610612762.0,UTA,,,,,,,Azubuike,U. Azubuike,,,,,Missed,,,,,,,,,,,,,,,,,,
44,PT08M42.00S,2023-04-08T19:46:22.4Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,11,2,2023-04-08T19:46:23Z,440000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,,,,Porter Jr.,M. Porter Jr.,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,,
45,PT08M35.00S,2023-04-08T19:46:29.3Z,1,REGULAR,3pt,Jump Shot,[],203484,3.7614980289093296,2.941176470588235,1610612743,11,2,2023-04-08T19:46:34Z,450000,False,235.0,-17.0,1,left,MISS K. Caldwell-Pope 3PT,[203484],1610612743.0,DEN,,Right Corner 3,24+ Right,,,,Caldwell-Pope,K. Caldwell-Pope,,,,23.59,Missed,,,,,,,,,,,,,,,,,,
46,PT08M31.00S,2023-04-08T19:46:33.3Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612762,11,2,2023-04-08T19:46:34Z,460000,False,,,0,,K. Dunn REBOUND (Off:0 Def:3),[1627739],1610612762.0,UTA,,Right Corner 3,24+ Right,,,,Dunn,K. Dunn,,,,,,45.0,3.0,3.0,0.0,,,,,,,,,,,,,,
47,PT08M23.00S,2023-04-08T19:46:40.3Z,1,REGULAR,3pt,Jump Shot,[],1630534,66.5735873850197,42.15686274509804,1610612762,11,2,2023-04-08T19:46:45Z,470000,False,-39.0,262.0,1,right,MISS O. Agbaji 26' 3PT,[1630534],1610612762.0,UTA,,Above the Break 3,24+ Center,,,,Agbaji,O. Agbaji,,,,26.46,Missed,,,,,,,,,,,,,,,,,,
48,PT08M21.00S,2023-04-08T19:46:43.0Z,1,REGULAR,rebound,offensive,[],1630534,,,1610612762,11,2,2023-04-08T19:46:43Z,480000,False,,,0,,O. Agbaji REBOUND (Off:1 Def:0),[1630534],1610612762.0,UTA,,Above the Break 3,24+ Center,,,,Agbaji,O. Agbaji,,,,,,47.0,1.0,0.0,1.0,,,,,,,,,,,,,,
49,PT08M20.00S,2023-04-08T19:46:45.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630534,92.32917214191852,54.65686274509803,1610612762,13,2,2023-04-08T19:46:50Z,490000,False,23.0,20.0,1,right,O. Agbaji driving Layup (7 PTS),[1630534],1610612762.0,UTA,driving,Restricted Area,0-8 Center,,,,Agbaji,O. Agbaji,,,,3.04,Made,,,,,,,7.0,,,,,,,,,,,
50,PT08M20.00S,2023-04-08T19:46:47.4Z,1,REGULAR,foul,personal,['1freethrow'],1629008,,,1610612762,13,2,2023-04-08T19:46:53Z,500000,False,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (Agbaji 1 FT),"[1629008, 1630534]",1610612743.0,DEN,shooting,Restricted Area,0-8 Center,202037.0,1.0,0.0,Porter Jr.,M. Porter Jr.,Agbaji,1630534.0,,,,,,,,,,,,,,,,,,,,,
52,PT08M20.00S,2023-04-08T19:47:13.2Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1630534,,,1610612762,14,2,2023-04-08T19:47:13Z,520000,False,,,0,,O. Agbaji Free Throw 1 of 1 (8 PTS),[1630534],1610612762.0,UTA,,,,,,,Agbaji,O. Agbaji,,,,,Made,,,,,,,8.0,,,,,,,,,,,
53,PT08M05.00S,2023-04-08T19:47:31.5Z,1,REGULAR,3pt,Jump Shot,[],1629008,28.597240473061763,25.98039215686275,1610612743,14,2,2023-04-08T19:47:35Z,530000,False,120.0,216.0,1,left,MISS M. Porter Jr. 24' 3PT,[1629008],1610612743.0,DEN,,Above the Break 3,24+ Right Center,,,,Porter Jr.,M. Porter Jr.,,,,24.74,Missed,,,,,,,,,,,,,,,,,,
54,PT08M02.00S,2023-04-08T19:47:34.5Z,1,REGULAR,rebound,defensive,[],1630534,,,1610612762,14,2,2023-04-08T19:47:35Z,540000,False,,,0,,O. Agbaji REBOUND (Off:1 Def:1),[1630534],1610612762.0,UTA,,Above the Break 3,24+ Right Center,,,,Agbaji,O. Agbaji,,,,,,53.0,2.0,1.0,1.0,,,,,,,,,,,,,,
55,PT07M56.00S,2023-04-08T19:47:42.3Z,1,REGULAR,foul,offensive,[],1628962,,,1610612762,14,2,2023-04-08T19:47:55Z,550000,False,,,0,,U. Azubuike offensive FOUL (1 PF),"[1628962, 203484]",1610612762.0,UTA,,Mid-Range,16-24 Left Center,202037.0,1.0,0.0,Azubuike,U. Azubuike,Caldwell-Pope,203484.0,,,,,,,,,,,,,,,,,,,,,
57,PT07M56.00S,2023-04-08T19:47:42.3Z,1,REGULAR,turnover,offensive foul,[],1628962,,,1610612762,14,2,2023-04-08T19:47:42Z,570000,False,,,0,,U. Azubuike offensive foul TURNOVER (1 TO),[1628962],1610612762.0,UTA,,Mid-Range,16-24 Left Center,202037.0,,,Azubuike,U. Azubuike,,,1.0,,,,,,,,,,,,,,,,,,,,
58,PT07M38.00S,2023-04-08T19:48:12.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629008,31.35676741130092,38.970588235294116,1610612743,14,2,2023-04-08T19:48:16Z,580000,False,55.0,242.0,1,left,MISS M. Porter Jr. 24' 3PT,[1629008],1610612743.0,DEN,,Above the Break 3,24+ Center,,,,Porter Jr.,M. Porter Jr.,,,,24.85,Missed,,,,,,,,,,,,,,,,,,
59,PT07M35.00S,2023-04-08T19:48:15.4Z,1,REGULAR,rebound,defensive,[],1629677,,,1610612762,14,2,2023-04-08T19:48:16Z,590000,False,,,0,,L. Samanic REBOUND (Off:0 Def:2),[1629677],1610612762.0,UTA,,Above the Break 3,24+ Center,,,,Samanic,L. Samanic,,,,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,,
60,PT07M16.00S,2023-04-08T19:48:36.5Z,1,REGULAR,foul,personal,['2freethrow'],1627750,,,1610612762,14,2,2023-04-08T19:48:45Z,600000,False,,,0,,J. Murray shooting personal FOUL (1 PF) (Samanic 2 FT),"[1627750, 1629677]",1610612743.0,DEN,shooting,In The Paint (Non-RA),0-8 Center,202037.0,1.0,0.0,Murray,J. Murray,Samanic,1629677.0,,,,,,,,,,,,,,,,,,,,,
62,PT07M16.00S,2023-04-08T19:49:05.8Z,1,REGULAR,freethrow,1 of 2,[],1629677,,,1610612762,14,2,2023-04-08T19:49:05Z,620000,False,,,0,,MISS L. Samanic Free Throw 1 of 2,[1629677],1610612762.0,UTA,,,,,,,Samanic,L. Samanic,,,,,Missed,,,,,,,,,,,,,,,,,,
63,PT07M16.00S,2023-04-08T19:49:05.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,14,2,2023-04-08T19:49:05Z,630000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,
64,PT07M16.00S,2023-04-08T19:49:20.2Z,1,REGULAR,freethrow,2 of 2,[],1629677,,,1610612762,15,2,2023-04-08T19:49:20Z,640000,False,,,0,,L. Samanic Free Throw 2 of 2 (5 PTS),[1629677],1610612762.0,UTA,,,,,,,Samanic,L. Samanic,,,,,Made,,,,,,,5.0,,,,,,,,,,,
65,PT07M03.00S,2023-04-08T19:49:35.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,7.440867279894875,46.07843137254902,1610612743,15,4,2023-04-08T19:49:42Z,650000,False,20.0,17.0,1,left,A. Gordon alley-oop DUNK (4 PTS) (N. Jokic 2 AST),"[203932, 203999]",1610612743.0,DEN,alley-oop,Restricted Area,0-8 Center,,,,Gordon,A. Gordon,,,,2.62,Made,,,,,,,4.0,N. Jokic,203999.0,2.0,,,,,,,,
67,PT06M50.00S,2023-04-08T19:49:47.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627739,89.56964520367937,51.71568627450981,1610612762,17,4,2023-04-08T19:49:50Z,670000,False,9.0,46.0,1,right,K. Dunn floating Jump Shot (2 PTS),[1627739],1610612762.0,UTA,floating,In The Paint (Non-RA),0-8 Center,,,,Dunn,K. Dunn,,,,4.63,Made,,,,,,,2.0,,,,,,,,,,,
68,PT06M38.00S,2023-04-08T19:49:59.5Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,17,4,2023-04-08T19:50:05Z,680000,False,,,0,,N. Jokic bad pass TURNOVER (3 TO),"[203999, 1629677]",1610612743.0,DEN,,Mid-Range,16-24 Center,,,,Jokic,N. Jokic,,,3.0,,,,,,,Samanic,1629677.0,,,,,,,,,,,,
69,PT06M38.00S,2023-04-08T19:49:59.5Z,1,REGULAR,steal,,[],1629677,,,1610612762,17,4,2023-04-08T19:50:01Z,690000,False,,,0,,L. Samanic STEAL (2 STL),[1629677],1610612762.0,UTA,,Mid-Range,16-24 Center,,,,Samanic,L. Samanic,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M34.00S,2023-04-08T19:50:03.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630534,92.72339027595268,53.92156862745098,1610612762,19,4,2023-04-08T19:50:35Z,700000,False,20.0,16.0,1,right,O. Agbaji running DUNK (10 PTS) (K. Dunn 3 AST),"[1630534, 1627739]",1610612762.0,UTA,running,Restricted Area,0-8 Center,,,,Agbaji,O. Agbaji,,,,2.52,Made,,,,,,,10.0,K. Dunn,1627739.0,3.0,,,,,,,,
72,PT06M12.00S,2023-04-08T19:50:25.4Z,1,REGULAR,3pt,Jump Shot,[],203484,5.338370565045992,2.450980392156863,1610612743,19,7,2023-04-08T19:50:30Z,720000,False,238.0,-2.0,1,left,K. Caldwell-Pope 3PT  (3 PTS) (J. Murray 1 AST),"[203484, 1627750]",1610612743.0,DEN,,Right Corner 3,24+ Right,,,,Caldwell-Pope,K. Caldwell-Pope,,,,23.77,Made,,,,,,,3.0,J. Murray,1627750.0,1.0,,,,,,,,
74,PT05M58.00S,2023-04-08T19:50:39.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630534,93.64323258869908,54.65686274509803,1610612762,21,7,2023-04-08T19:50:45Z,740000,False,23.0,7.0,1,right,O. Agbaji cutting Layup (12 PTS) (J. Toscano-Anderson 3 AST),"[1630534, 1629308]",1610612762.0,UTA,cutting,Restricted Area,0-8 Center,,,,Agbaji,O. Agbaji,,,,2.44,Made,,,,,,,12.0,J. Toscano-Anderson,1629308.0,3.0,,,,,,,,
76,PT05M40.00S,2023-04-08T19:50:56.7Z,1,REGULAR,3pt,Jump Shot,[],1629008,31.882391590013142,37.745098039215684,1610612743,21,7,2023-04-08T19:51:00Z,760000,False,61.0,247.0,1,left,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,Above the Break 3,24+ Center,,,,Porter Jr.,M. Porter Jr.,,,,25.47,Missed,,,,,,,,,,,,,,,,,,
77,PT05M39.00S,2023-04-08T19:50:57.7Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,21,7,2023-04-08T19:51:00Z,770000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,Above the Break 3,24+ Center,,,,Gordon,A. Gordon,,,,,,76.0,1.0,0.0,1.0,,,,,,,,,,,,,,
78,PT05M37.00S,2023-04-08T19:51:00.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627750,19.66162943495401,90.68627450980392,1610612743,21,7,2023-04-08T19:51:06Z,780000,False,-203.0,132.0,1,left,MISS J. Murray 24' 3PT,[1627750],1610612743.0,DEN,,Above the Break 3,24+ Left Center,,,,Murray,J. Murray,,,,24.26,Missed,,,,,,,,,,,,,,,,,,
79,PT05M34.00S,2023-04-08T19:51:03.8Z,1,REGULAR,rebound,defensive,[],1628962,,,1610612762,21,7,2023-04-08T19:51:06Z,790000,False,,,0,,U. Azubuike REBOUND (Off:1 Def:2),[1628962],1610612762.0,UTA,,Above the Break 3,24+ Left Center,,,,Azubuike,U. Azubuike,,,,,,78.0,3.0,2.0,1.0,,,,,,,,,,,,,,
80,PT05M25.00S,2023-04-08T19:51:12.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628962,84.57621550591328,49.50980392156863,1610612762,21,7,2023-04-08T19:51:18Z,800000,False,-2.0,92.0,1,right,MISS U. Azubuike 9' floating Shot,[1628962],1610612762.0,UTA,floating,In The Paint (Non-RA),8-16 Center,,,,Azubuike,U. Azubuike,,,,9.25,Missed,,,,,,,,,,,,,,,,,,
