actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
21,PT10M28.00S,2022-10-27T01:11:50.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629020,92.06636005256242,46.81372549019608,1610612762,5,0,2022-10-27T01:12:16Z,210000,-16.0,22.0,1,right,J. Vanderbilt cutting DUNK (2 PTS) (K. Olynyk 2 AST),"[1629020, 203482]",1610612762.0,UTA,cutting,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,,,,,2.72,Made,,,,2.0,K. Olynyk,203482.0,2.0,,,,,
23,PT10M07.00S,2022-10-27T01:12:10.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,17.0335085413929,59.068627450980394,1610612745,5,2,2022-10-27T01:12:15Z,230000,-45.0,108.0,1,left,K. Porter Jr. 11' driving floating Jump Shot (2 PTS) (J. Green 1 AST),"[1629645, 1630224]",1610612745.0,HOU,driving floating,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,11.67,Made,,,,2.0,J. Green,1630224.0,1.0,,,,,
25,PT09M53.00S,2022-10-27T01:12:25.9Z,1,REGULAR,turnover,lost ball,[],1628374,,,1610612762,5,2,2022-10-27T01:12:29Z,250000,,,0,,L. Markkanen lost ball TURNOVER (1 TO),"[1628374, 201569]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Left,1.0,,,,,,,,,,,,,,,Gordon,201569.0,,,
26,PT09M53.00S,2022-10-27T01:12:25.9Z,1,REGULAR,steal,,[],201569,,,1610612745,5,2,2022-10-27T01:12:27Z,260000,,,0,,E. Gordon STEAL (2 STL),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
29,PT09M51.00S,2022-10-27T01:12:47.8Z,1,REGULAR,foul,personal,['1freethrow'],203903,,,1610612745,5,2,2022-10-27T01:12:55Z,290000,,,0,,J. Clarkson transition take personal FOUL (1 PF) (Porter Jr. 1 FT),"[203903, 1629645]",1610612762.0,UTA,transition take,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,,202026.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,,,,,,,
31,PT09M51.00S,2022-10-27T01:13:03.3Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1629645,,,1610612745,5,3,2022-10-27T01:13:03Z,310000,,,0,,K. Porter Jr. transition take Free Throw 1 of 1 (3 PTS),[1629645],1610612745.0,HOU,transition take,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,Made,,,,3.0,,,,,,,,
32,PT09M51.00S,2022-10-27T01:13:24.8Z,1,REGULAR,foul,personal,[],1629020,,,1610612762,5,3,2022-10-27T01:13:30Z,320000,,,0,,J. Vanderbilt personal FOUL (1 PF),"[1629020, 1631095]",1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Right Center,,202026.0,1.0,0.0,Smith Jr.,1631095.0,,,,,,,,,,,,,,
34,PT09M44.00S,2022-10-27T01:13:45.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629645,7.30946123521682,57.84313725490197,1610612745,5,3,2022-10-27T01:13:49Z,340000,-39.0,16.0,1,left,MISS K. Porter Jr. driving Layup,[1629645],1610612745.0,HOU,driving,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,4.24,Missed,,,,,,,,,,,,
35,PT09M43.00S,2022-10-27T01:13:46.5Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,5,3,2022-10-27T01:13:49Z,350000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,,,,,,,,,34.0,,,,,,,1.0,1.0,0.0
37,PT09M35.00S,2022-10-27T01:13:54.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,88.12417871222075,41.17647058823529,1610612762,7,3,2022-10-27T01:14:00Z,370000,-44.0,59.0,1,right,M. Conley 7' driving bank Jump Shot (5 PTS) (K. Olynyk 3 AST),"[201144, 203482]",1610612762.0,UTA,driving bank,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,7.37,Made,,,,5.0,K. Olynyk,203482.0,3.0,,,,,
38,PT09M23.00S,2022-10-27T01:14:07.1Z,1,REGULAR,3pt,Jump Shot,[],1630224,25.706307490144546,13.23529411764706,1610612745,7,6,2022-10-27T01:16:48Z,380000,184.0,189.0,1,left,J. Green 26' 3PT pullup (3 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,26.37,Made,,,,3.0,,,,,,,,
39,PT09M10.00S,2022-10-27T01:14:19.3Z,1,REGULAR,3pt,Jump Shot,[],201144,82.7365308804205,3.9215686274509802,1610612762,7,6,2022-10-27T01:14:24Z,390000,-230.0,110.0,1,right,MISS M. Conley 25' 3PT,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,,,,,,,25.52,Missed,,,,,,,,,,,,
40,PT09M06.00S,2022-10-27T01:14:23.3Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612762,7,6,2022-10-27T01:14:24Z,400000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,39.0,,,,,,,2.0,1.0,1.0
41,PT09M06.00S,2022-10-27T01:14:23.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629020,94.40999984741211,50.0,1610612762,9,6,2022-10-27T01:14:23Z,410000,0.0,0.0,1,right,J. Vanderbilt tip Layup (4 PTS),[1629020],1610612762.0,UTA,tip,,,Vanderbilt,J. Vanderbilt,,,,,Mid-Range,8-16 Left,,,,,,,0.0,Made,,,,4.0,,,,,,,,
42,PT09M00.00S,2022-10-27T01:14:33.1Z,1,REGULAR,foul,personal,[],203903,,,1610612745,9,6,2022-10-27T01:14:38Z,420000,,,0,,J. Clarkson personal FOUL (2 PF),"[203903, 1629645]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Mid-Range,16-24 Left Center,,1627963.0,2.0,0.0,Porter Jr.,1629645.0,,,,,,,,,,,,,,
44,PT08M49.00S,2022-10-27T01:14:58.4Z,1,REGULAR,3pt,Jump Shot,[],1631095,4.155716162943495,95.09803921568627,1610612745,9,6,2022-10-27T01:15:03Z,440000,-225.0,-13.0,1,left,MISS J. Smith Jr. 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Left Corner 3,24+ Left,,,,,,,22.59,Missed,,,,,,,,,,,,
45,PT08M46.00S,2022-10-27T01:15:01.4Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,9,6,2022-10-27T01:15:03Z,450000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:2),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Left Corner 3,24+ Left,,,,,,,,,,,44.0,,,,,,,3.0,2.0,1.0
46,PT08M33.00S,2022-10-27T01:15:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,93.11760840998686,54.41176470588235,1610612762,9,6,2022-10-27T01:16:09Z,460000,22.0,12.0,1,right,MISS J. Vanderbilt driving reverse Layup,[1629020],1610612762.0,UTA,driving reverse,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,,,,,2.52,Missed,,,,,,,,,,,,
47,PT08M30.00S,2022-10-27T01:15:16.6Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,9,6,2022-10-27T01:15:17Z,470000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,Restricted Area,0-8 Center,,,,,,,,,,,46.0,,,,,,,1.0,1.0,0.0
48,PT08M13.00S,2022-10-27T01:15:34.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,7.440867279894875,44.85294117647059,1610612745,9,6,2022-10-27T01:15:39Z,480000,26.0,17.0,1,left,MISS J. Green driving Layup,[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,3.1,Missed,,,,,,,,,,,,
49,PT08M08.00S,2022-10-27T01:15:38.4Z,1,REGULAR,rebound,offensive,[],1630256,,,1610612745,9,6,2022-10-27T01:15:38Z,490000,,,0,,J. Tate REBOUND (Off:1 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,Restricted Area,0-8 Center,,,,,,,,,,,48.0,,,,,,,2.0,1.0,1.0
50,PT08M08.00S,2022-10-27T01:15:38.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630256,5.590000152587891,50.0,1610612745,9,8,2022-10-27T01:15:38Z,500000,0.0,0.0,1,left,J. Tate putback Layup (2 PTS),[1630256],1610612745.0,HOU,putback,,,Tate,J. Tate,,,,,Mid-Range,8-16 Left,,,,,,,0.0,Made,,,,2.0,,,,,,,,
51,PT08M00.00S,2022-10-27T01:15:46.8Z,1,REGULAR,3pt,Jump Shot,[],1629020,86.41590013140605,3.431372549019608,1610612762,9,8,2022-10-27T01:15:52Z,510000,-233.0,75.0,1,right,MISS J. Vanderbilt 24' 3PT,[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Left Corner 3,24+ Left,,,,,,,24.46,Missed,,,,,,,,,,,,
52,PT07M57.00S,2022-10-27T01:15:49.8Z,1,REGULAR,rebound,offensive,[],203482,,,1610612762,9,8,2022-10-27T01:15:52Z,520000,,,0,,K. Olynyk REBOUND (Off:1 Def:0),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Left Corner 3,24+ Left,,,,,,,,,,,51.0,,,,,,,1.0,0.0,1.0
53,PT07M56.00S,2022-10-27T01:15:51.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203903,70.38436268068331,16.42156862745098,1610612762,9,8,2022-10-27T01:15:56Z,530000,-168.0,226.0,1,right,MISS J. Clarkson 28' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Left Center,,,,,,,28.15,Missed,,,,,,,,,,,,
54,PT07M54.00S,2022-10-27T01:15:53.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,9,8,2022-10-27T01:15:56Z,540000,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,53.0,,,,,,,,,
57,PT07M41.00S,2022-10-27T01:16:15.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,8.754927726675426,44.11764705882353,1610612745,9,10,2022-10-27T01:16:19Z,560000,29.0,30.0,1,left,J. Green driving Layup (5 PTS),[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,4.19,Made,,,,5.0,,,,,,,,
58,PT07M26.00S,2022-10-27T01:16:30.6Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612762,9,10,2022-10-27T01:16:35Z,570000,,,0,,J. Smith Jr. shooting personal FOUL (2 PF) (Clarkson 2 FT),"[1631095, 203903]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,101284.0,2.0,0.0,Clarkson,203903.0,,,,,,,,,,,,,,
60,PT07M26.00S,2022-10-27T01:16:57.5Z,1,REGULAR,freethrow,1 of 2,[],203903,,,1610612762,9,10,2022-10-27T01:16:57Z,590000,,,0,,MISS J. Clarkson Free Throw 1 of 2,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,Missed,,,,,,,,,,,,
61,PT07M26.00S,2022-10-27T01:16:57.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,9,10,2022-10-27T01:16:57Z,600000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,
62,PT07M26.00S,2022-10-27T01:17:13.8Z,1,REGULAR,freethrow,2 of 2,[],203903,,,1610612762,10,10,2022-10-27T01:17:13Z,610000,,,0,,J. Clarkson Free Throw 2 of 2 (1 PTS),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,Made,,,,1.0,,,,,,,,
63,PT07M16.00S,2022-10-27T01:17:26.2Z,1,REGULAR,3pt,Jump Shot,[],1630224,26.62614980289093,19.852941176470587,1610612745,10,10,2022-10-27T01:17:31Z,620000,151.0,198.0,1,left,MISS J. Green 24' step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,24.87,Missed,,,,,,,,,,,,
64,PT07M13.00S,2022-10-27T01:17:29.2Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,10,10,2022-10-27T01:17:31Z,630000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:3),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,63.0,,,,,,,4.0,3.0,1.0
65,PT07M00.00S,2022-10-27T01:17:42.0Z,1,REGULAR,3pt,Jump Shot,[],203903,83.78777923784494,95.09803921568627,1610612762,10,10,2022-10-27T01:17:46Z,640000,225.0,100.0,1,right,MISS J. Clarkson 24' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,,,,,,,24.66,Missed,,,,,,,,,,,,
66,PT06M57.00S,2022-10-27T01:17:45.0Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,10,10,2022-10-27T01:17:46Z,650000,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,65.0,,,,,,,1.0,1.0,0.0
67,PT06M51.00S,2022-10-27T01:17:50.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1631095,18.873193166885677,41.66666666666667,1610612745,10,10,2022-10-27T01:17:56Z,660000,42.0,125.0,1,left,MISS J. Smith Jr. 13' driving floating bank Shot,[1631095],1610612745.0,HOU,driving floating bank,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,13.17,Missed,,,,,,,,,,,,
68,PT06M48.00S,2022-10-27T01:17:53.5Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,10,10,2022-10-27T01:17:56Z,670000,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,67.0,,,,,,,2.0,2.0,0.0
69,PT06M43.00S,2022-10-27T01:17:58.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628374,92.85479632063075,53.18627450980392,1610612762,12,10,2022-10-27T01:18:07Z,680000,16.0,15.0,1,right,L. Markkanen driving Layup (2 PTS),[1628374],1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,,,,,2.17,Made,,,,2.0,,,,,,,,
70,PT06M26.00S,2022-10-27T01:18:15.1Z,1,REGULAR,3pt,Jump Shot,[],201569,31.09395532194481,30.637254901960787,1610612745,12,10,2022-10-27T01:20:38Z,690000,97.0,240.0,1,left,MISS E. Gordon 25' pullup 3PT,[201569],1610612745.0,HOU,pullup,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,,,,,,,25.86,Missed,,,,,,,,,,,,
71,PT06M24.00S,2022-10-27T01:18:17.1Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,12,10,2022-10-27T01:18:20Z,700000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:4),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,70.0,,,,,,,5.0,4.0,1.0
72,PT06M16.00S,2022-10-27T01:18:27.4Z,1,REGULAR,turnover,out-of-bounds,[],201144,,,1610612762,12,10,2022-10-27T01:18:34Z,710000,,,0,,M. Conley bad pass out-of-bounds TURNOVER (1 TO),[201144],1610612762.0,UTA,bad pass,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,1.0,1627963.0,,,,,,,,,,,,,,,,,,
73,PT06M16.00S,2022-10-27T01:18:32.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,12,10,2022-10-27T01:18:32Z,720000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M16.00S,2022-10-27T01:21:15.5Z,1,REGULAR,substitution,out,[],203903,,,1610612745,12,10,2022-10-27T01:21:35Z,730000,,,0,,SUB out: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M16.00S,2022-10-27T01:21:15.5Z,1,REGULAR,substitution,out,[],201144,,,1610612745,12,10,2022-10-27T01:21:35Z,740000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M16.00S,2022-10-27T01:21:15.5Z,1,REGULAR,substitution,out,[],1629020,,,1610612745,12,10,2022-10-27T01:21:35Z,750000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M16.00S,2022-10-27T01:21:15.5Z,1,REGULAR,substitution,out,[],201569,,,1610612745,12,10,2022-10-27T01:21:35Z,760000,,,0,,SUB out: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M16.00S,2022-10-27T01:21:15.5Z,1,REGULAR,substitution,out,[],1630256,,,1610612745,12,10,2022-10-27T01:21:35Z,770000,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M16.00S,2022-10-27T01:21:15.5Z,1,REGULAR,substitution,in,[],1629012,,,1610612745,12,10,2022-10-27T01:21:35Z,780000,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M16.00S,2022-10-27T01:21:15.5Z,1,REGULAR,substitution,in,[],1631117,,,1610612745,12,10,2022-10-27T01:21:35Z,790000,,,0,,SUB in: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M16.00S,2022-10-27T01:21:15.5Z,1,REGULAR,substitution,in,[],1627736,,,1610612745,12,10,2022-10-27T01:21:35Z,800000,,,0,,SUB in: M. Beasley,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M16.00S,2022-10-27T01:21:15.5Z,1,REGULAR,substitution,in,[],1631106,,,1610612745,12,10,2022-10-27T01:21:35Z,810000,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M16.00S,2022-10-27T01:21:15.5Z,1,REGULAR,substitution,in,[],1630231,,,1610612745,12,10,2022-10-27T01:21:35Z,820000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M02.00S,2022-10-27T01:21:48.2Z,1,REGULAR,turnover,lost ball,[],1630224,,,1610612745,12,10,2022-10-27T01:21:53Z,830000,,,0,,J. Green lost ball TURNOVER (1 TO),"[1630224, 1627736]",1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,,,,,,,,,,Beasley,1627736.0,,,
85,PT06M02.00S,2022-10-27T01:21:48.2Z,1,REGULAR,steal,,[],1627736,,,1610612762,12,10,2022-10-27T01:21:49Z,840000,,,0,,M. Beasley STEAL (1 STL),[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
86,PT05M59.00S,2022-10-27T01:21:51.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627736,72.88107752956637,79.41176470588235,1610612762,12,10,2022-10-27T01:22:27Z,850000,147.0,202.0,1,right,MISS M. Beasley 25' pullup 3PT,[1627736],1610612762.0,UTA,pullup,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,,,,,,,25.02,Missed,,,,,,,,,,,,
