actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value,jumpBallRecoverdPersonId
37,PT08M01.00S,2022-04-01T00:15:57.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627826,5.590000152587891,50.0,1610612746,8,15,2022-04-01T00:15:57Z,370000,0.0,0.0,1,left,I. Zubac tip Layup (2 PTS),[1627826],1610612746.0,LAC,tip,,,,,,0.0,Made,2.0,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,
38,PT07M52.00S,2022-04-01T00:16:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,93.77463863337714,54.41176470588235,1610612741,8,15,2022-04-01T00:16:12Z,380000,22.0,6.0,1,right,MISS N. Vucevic cutting Layup,[202696],1610612741.0,CHI,cutting,,,,,,2.29,Missed,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,
39,PT07M50.00S,2022-04-01T00:16:10.1Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,8,15,2022-04-01T00:16:12Z,390000,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,,,,,,,George,P. George,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,
40,PT07M43.00S,2022-04-01T00:16:16.0Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612746,8,15,2022-04-01T00:16:19Z,400000,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 203897]",1610612746.0,LAC,,,,,,,,,,George,P. George,,,,,,,,,,,,,1.0,LaVine,203897.0,,,,
41,PT07M43.00S,2022-04-01T00:16:16.0Z,1,REGULAR,steal,,[],203897,,,1610612741,8,15,2022-04-01T00:19:01Z,410000,,,0,,Z. LaVine STEAL (1 STL),[203897],1610612741.0,CHI,,,,,,,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,
42,PT07M28.00S,2022-04-01T00:16:30.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203897,78.66294349540078,23.774509803921568,1610612741,10,15,2022-04-01T00:16:37Z,420000,-131.0,148.0,1,right,Z. LaVine 19' fadeaway Jump Shot (2 PTS),[203897],1610612741.0,CHI,fadeaway,,,,,,19.78,Made,2.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,
43,PT07M05.00S,2022-04-01T00:16:53.7Z,1,REGULAR,3pt,Jump Shot,[],201587,6.521024967148489,4.901960784313726,1610612746,10,15,2022-04-01T00:16:59Z,430000,225.0,9.0,1,left,MISS N. Batum 3PT,[201587],1610612746.0,LAC,,,,,,,22.57,Missed,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,
44,PT07M02.00S,2022-04-01T00:16:56.7Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,10,15,2022-04-01T00:16:59Z,440000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,,,,,,,DeRozan,D. DeRozan,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,
45,PT06M49.00S,2022-04-01T00:17:10.2Z,1,REGULAR,3pt,Jump Shot,[],1630245,94.69448094612353,2.696078431372549,1610612741,10,15,2022-04-01T00:17:18Z,450000,-237.0,-3.0,1,right,MISS A. Dosunmu 3PT,[1630245],1610612741.0,CHI,,,,,,,23.65,Missed,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,
46,PT06M46.00S,2022-04-01T00:17:13.2Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,10,15,2022-04-01T00:17:18Z,460000,,,0,,N. Vucevic REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,,,,,,,Vucevic,N. Vucevic,,,,,,,,,45.0,1.0,0.0,1.0,,,,,,,
47,PT06M46.00S,2022-04-01T00:17:20.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,10,15,2022-04-01T00:17:20Z,470000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M32.00S,2022-04-01T00:20:47.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203897,82.9993429697766,16.176470588235293,1610612741,10,15,2022-04-01T00:20:52Z,480000,-169.0,107.0,1,right,MISS Z. LaVine 20' pullup Shot,[203897],1610612741.0,CHI,pullup,,,,,,20.03,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,
49,PT06M30.00S,2022-04-01T00:20:50.2Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,10,15,2022-04-01T00:20:50Z,490000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,,,,,,,Jackson,R. Jackson,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,
50,PT06M13.00S,2022-04-01T00:21:06.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,13.222733245729303,47.794117647058826,1610612746,10,15,2022-04-01T00:21:10Z,500000,11.0,72.0,1,left,MISS P. George 7' driving floating Shot,[202331],1610612746.0,LAC,driving floating,,,,,,7.26,Missed,,George,P. George,,,,,,,,,,,,,,,,,,,
51,PT06M12.00S,2022-04-01T00:21:07.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,10,15,2022-04-01T00:21:10Z,510000,,,0,,N. Vucevic REBOUND (Off:1 Def:1),[202696],1610612741.0,CHI,,,,,,,,,,Vucevic,N. Vucevic,,,,,,,,,50.0,2.0,1.0,1.0,,,,,,,
52,PT06M03.00S,2022-04-01T00:21:16.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,93.64323258869908,51.9607843137255,1610612741,12,15,2022-04-01T00:21:24Z,520000,10.0,7.0,1,right,A. Dosunmu reverse Layup (2 PTS) (N. Vucevic 1 AST),"[1630245, 202696]",1610612741.0,CHI,reverse,,,,,,1.22,Made,2.0,Dosunmu,A. Dosunmu,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,,,
54,PT05M48.00S,2022-04-01T00:21:31.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,5.995400788436268,50.73529411764706,1610612746,12,17,2022-04-01T00:22:54Z,540000,-4.0,4.0,1,left,I. Zubac cutting DUNK (4 PTS) (M. Morris Sr. 2 AST),"[1627826, 202694]",1610612746.0,LAC,cutting,,,,,,0.54,Made,4.0,Zubac,I. Zubac,M. Morris Sr.,202694.0,2.0,,,,,,,,,,,,,,,,
56,PT05M32.00S,2022-04-01T00:21:57.6Z,1,REGULAR,foul,technical,['1freethrow'],202704,,,1610612741,12,17,2022-04-01T00:22:04Z,560000,,,0,,R. Jackson defensive-3-second technical FOUL (1 Tech),[202704],1610612746.0,LAC,defensive-3-second,,,,,,,,,Jackson,R. Jackson,,,,203592.0,0.0,1.0,,,,,,,,,,,,,
57,PT05M32.00S,2022-04-01T00:22:14.4Z,1,REGULAR,freethrow,1 of 1,[],203897,,,1610612741,12,17,2022-04-01T00:22:14Z,570000,,,0,,MISS Z. LaVine technical Free Throw 1 of 1,[203897],1610612741.0,CHI,technical,,,,,,,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,
58,PT05M32.00S,2022-04-01T00:22:14.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,12,17,2022-04-01T00:22:14Z,580000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,
59,PT05M32.00S,2022-04-01T00:22:17.3Z,1,REGULAR,substitution,out,[],1627936,,,1610612741,12,17,2022-04-01T00:22:22Z,590000,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,,,,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,
60,PT05M32.00S,2022-04-01T00:22:17.3Z,1,REGULAR,substitution,out,[],201942,,,1610612741,12,17,2022-04-01T00:22:22Z,600000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,,,,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,
61,PT05M32.00S,2022-04-01T00:22:17.3Z,1,REGULAR,substitution,in,[],1629632,,,1610612741,12,17,2022-04-01T00:22:22Z,610000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,,,,,,,White,C. White,,,,,,,,,,,,,,,,,,,
62,PT05M32.00S,2022-04-01T00:22:17.3Z,1,REGULAR,substitution,in,[],1630172,,,1610612741,12,17,2022-04-01T00:22:22Z,620000,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,,,,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,
63,PT05M24.00S,2022-04-01T00:22:35.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,93.77463863337714,48.77450980392157,1610612741,14,17,2022-04-01T00:22:41Z,630000,-6.0,6.0,1,right,Z. LaVine driving Layup (4 PTS),[203897],1610612741.0,CHI,driving,,,,,,0.86,Made,4.0,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,
64,PT05M08.00S,2022-04-01T00:22:51.9Z,1,REGULAR,2pt,Jump Shot,[],202331,22.946780551905388,36.029411764705884,1610612746,14,17,2022-04-01T00:22:58Z,640000,70.0,163.0,1,left,MISS P. George 17' pullup Shot,[202331],1610612746.0,LAC,pullup,,,,,,17.75,Missed,,George,P. George,,,,,,,,,,,,,,,,,,,
65,PT05M04.00S,2022-04-01T00:22:55.9Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,14,17,2022-04-01T00:26:41Z,650000,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,,,,,,,Williams,P. Williams,,,,,,,,,64.0,1.0,1.0,0.0,,,,,,,
66,PT04M57.00S,2022-04-01T00:23:03.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,86.81011826544021,50.98039215686274,1610612741,14,17,2022-04-01T00:26:00Z,660000,5.0,71.0,1,right,MISS N. Vucevic 7' floating Shot,[202696],1610612741.0,CHI,floating,,,,,,7.17,Missed,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,
67,PT04M56.00S,2022-04-01T00:23:04.1Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,14,17,2022-04-01T00:23:07Z,670000,,,0,,N. Batum REBOUND (Off:0 Def:2),[201587],1610612746.0,LAC,,,,,,,,,,Batum,N. Batum,,,,,,,,,66.0,2.0,2.0,0.0,,,,,,,
68,PT04M46.00S,2022-04-01T00:24:01.5Z,1,REGULAR,jumpball,recovered,[],0,,,1610612746,14,17,2022-04-01T00:24:01Z,680000,,,0,,Jump Ball M. Morris Sr. vs. Z. LaVine: Tip to Team (LAC),"[202694, 203897]",1610612746.0,LAC,heldball,Team (LAC),Morris Sr.,202694.0,LaVine,203897.0,,,,,,,,,,,,,,,,,,,,,,,,
71,PT04M42.00S,2022-04-01T00:24:15.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,6.783837056504599,52.69607843137255,1610612746,14,17,2022-04-01T00:24:24Z,710000,-13.0,11.0,1,left,MISS R. Jackson driving reverse Layup - blocked,"[202704, 1630245]",1610612746.0,LAC,driving reverse,,,,,,1.76,Missed,,Jackson,R. Jackson,,,,,,,,,,,,,,,,Dosunmu,1630245.0,,
72,PT04M42.00S,2022-04-01T00:24:15.7Z,1,REGULAR,block,,[],1630245,,,1610612746,14,17,2022-04-01T00:24:18Z,720000,,,0,,A. Dosunmu BLOCK (1 BLK),[1630245],1610612741.0,CHI,,,,,,,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,
73,PT04M42.00S,2022-04-01T00:24:15.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,14,17,2022-04-01T00:24:24Z,730000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,
74,PT04M42.00S,2022-04-01T00:24:26.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,14,17,2022-04-01T00:24:26Z,740000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M40.00S,2022-04-01T00:24:35.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202331,12.565703022339028,78.18627450980392,1610612746,14,19,2022-04-01T00:24:47Z,750000,-141.0,66.0,1,left,P. George 15' Jump Shot (4 PTS) (N. Batum 1 AST),"[202331, 201587]",1610612746.0,LAC,,,,,,,15.54,Made,4.0,George,P. George,N. Batum,201587.0,1.0,,,,,,,,,,,,,,,,
77,PT04M27.00S,2022-04-01T00:24:48.7Z,1,REGULAR,turnover,lost ball,[],1630245,,,1610612741,14,19,2022-04-01T00:24:54Z,770000,,,0,,A. Dosunmu lost ball TURNOVER (1 TO),"[1630245, 202331]",1610612741.0,CHI,,,,,,,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,1.0,George,202331.0,,,,
78,PT04M27.00S,2022-04-01T00:24:48.7Z,1,REGULAR,steal,,[],202331,,,1610612746,14,19,2022-04-01T00:24:50Z,780000,,,0,,P. George STEAL (1 STL),[202331],1610612746.0,LAC,,,,,,,,,,George,P. George,,,,,,,,,,,,,,,,,,,
79,PT04M24.00S,2022-04-01T00:24:51.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202331,28.07161629434954,19.362745098039216,1610612746,14,22,2022-04-01T00:28:40Z,790000,153.0,211.0,1,left,P. George 26' 3PT running pullup (7 PTS),[202331],1610612746.0,LAC,running pullup,,,,,,26.11,Made,7.0,George,P. George,,,,,,,,,,,,,,,,,,,
80,PT04M06.00S,2022-04-01T00:25:09.8Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,14,22,2022-04-01T00:25:14Z,800000,,,0,,N. Vucevic bad pass TURNOVER (2 TO),"[202696, 202694]",1610612741.0,CHI,,,,,,,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,2.0,Morris Sr.,202694.0,,,,
84,PT04M06.00S,2022-04-01T00:25:09.8Z,1,REGULAR,steal,,[],202694,,,1610612746,14,22,2022-04-01T00:33:45Z,810000,,,0,,M. Morris Sr. STEAL (1 STL),[202694],1610612746.0,LAC,,,,,,,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,
82,PT03M59.00S,2022-04-01T00:25:17.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202694,20.581471747700395,30.88235294117647,1610612746,14,22,2022-04-01T00:30:28Z,820000,96.0,141.0,1,left,MISS M. Morris Sr. 17' fadeaway Shot,[202694],1610612746.0,LAC,fadeaway,,,,,,17.04,Missed,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,
83,PT03M54.00S,2022-04-01T00:25:20.9Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,14,22,2022-04-01T00:25:20Z,830000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,,,,,,,LaVine,Z. LaVine,,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,
85,PT03M47.00S,2022-04-01T00:25:28.7Z,1,REGULAR,3pt,Jump Shot,[],203897,68.9388961892247,61.76470588235294,1610612741,14,22,2022-04-01T00:25:34Z,840000,59.0,239.0,1,right,MISS Z. LaVine 24' 3PT,[203897],1610612741.0,CHI,,,,,,,24.66,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,
86,PT03M47.00S,2022-04-01T00:25:28.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,14,22,2022-04-01T00:25:34Z,850000,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,
87,PT03M47.00S,2022-04-01T00:25:34.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,14,22,2022-04-01T00:25:34Z,860000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT03M47.00S,2022-04-01T00:25:37.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,14,22,2022-04-01T00:25:37Z,870000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M47.00S,2022-04-01T00:28:20.3Z,1,REGULAR,substitution,out,[],202331,,,1610612746,14,22,2022-04-01T00:28:28Z,880000,,,0,,SUB out: P. George,[202331],1610612746.0,LAC,,,,,,,,,,George,P. George,,,,,,,,,,,,,,,,,,,
