actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
20,PT09M42.00S,2022-01-30T20:42:36.0Z,1,REGULAR,3pt,Jump Shot,[],203468,66.83639947437582,44.11764705882353,1610612757,8,7,2022-01-30T20:42:40Z,200000,-29.0,259.0,1,right,C. McCollum 26' 3PT  (3 PTS) (A. Simons 1 AST),"[203468, 1629014]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,26.09,Made,3.0,,,,A. Simons,1629014.0,1.0,,,,,,,,,,,
22,PT09M20.00S,2022-01-30T20:42:58.9Z,1,REGULAR,3pt,Jump Shot,[],203897,25.312089356110377,83.57843137254902,1610612741,8,7,2022-01-30T20:43:10Z,220000,-168.0,185.0,1,left,MISS Z. LaVine 25' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,25.01,Missed,,,,,,,,,,,,,,,,,,
23,PT09M17.00S,2022-01-30T20:43:01.9Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,8,7,2022-01-30T20:43:10Z,230000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,
24,PT09M05.00S,2022-01-30T20:43:13.5Z,1,REGULAR,3pt,Jump Shot,[],1626181,94.69448094612353,4.901960784313726,1610612757,8,10,2022-01-30T20:43:21Z,240000,-225.0,-3.0,1,right,N. Powell 3PT  (3 PTS) (C. McCollum 1 AST),"[1626181, 203468]",1610612757.0,POR,,,,Powell,N. Powell,,,,,22.55,Made,3.0,,,,C. McCollum,203468.0,1.0,,,,,,,,,,,
26,PT08M43.00S,2022-01-30T20:43:35.8Z,1,REGULAR,2pt,Jump Shot,[],201942,4.812746386333772,73.52941176470588,1610612741,10,10,2022-01-30T20:43:43Z,260000,-118.0,-7.0,1,left,D. DeRozan 11' turnaround fadeaway Jump Shot (2 PTS),[201942],1610612741.0,CHI,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,11.78,Made,2.0,,,,,,,,,,,,,,,,,
27,PT08M25.00S,2022-01-30T20:43:53.6Z,1,REGULAR,3pt,Jump Shot,[],203994,66.44218134034165,51.225490196078425,1610612757,10,13,2022-01-30T20:43:57Z,270000,6.0,263.0,1,right,J. Nurkic 26' 3PT  (5 PTS) (R. Covington 1 AST),"[203994, 203496]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,26.3,Made,5.0,,,,R. Covington,203496.0,1.0,,,,,,,,,,,
29,PT08M09.00S,2022-01-30T20:44:09.3Z,1,REGULAR,3pt,Jump Shot,[],1629750,4.02431011826544,96.07843137254902,1610612741,13,13,2022-01-30T20:44:13Z,290000,-230.0,-15.0,1,left,J. Green 3PT  (7 PTS) (N. Vucevic 1 AST),"[1629750, 202696]",1610612741.0,CHI,,,,Green,J. Green,,,,,23.09,Made,7.0,,,,N. Vucevic,202696.0,1.0,,,,,,,,,,,
31,PT07M57.00S,2022-01-30T20:44:21.7Z,1,REGULAR,3pt,Jump Shot,[],1629014,79.71419185282524,92.15686274509804,1610612757,13,13,2022-01-30T20:44:26Z,310000,211.0,138.0,1,right,MISS A. Simons 25' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,
32,PT07M54.00S,2022-01-30T20:44:24.7Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,13,13,2022-01-30T20:44:26Z,320000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,
33,PT07M46.00S,2022-01-30T20:44:33.7Z,1,REGULAR,3pt,Jump Shot,[],1629750,25.312089356110377,84.80392156862744,1610612741,13,13,2022-01-30T20:44:39Z,330000,-174.0,185.0,1,left,MISS J. Green 25' 3PT,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,25.43,Missed,,,,,,,,,,,,,,,,,,
34,PT07M41.00S,2022-01-30T20:44:38.7Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,13,13,2022-01-30T20:44:42Z,340000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,
35,PT07M30.00S,2022-01-30T20:44:49.3Z,1,REGULAR,3pt,Jump Shot,[],1629014,73.9323258869908,86.02941176470588,1610612757,13,16,2022-01-30T20:44:54Z,350000,180.0,193.0,1,right,A. Simons 26' 3PT  (5 PTS) (C. McCollum 2 AST),"[1629014, 203468]",1610612757.0,POR,,,,Simons,A. Simons,,,,,26.36,Made,5.0,,,,C. McCollum,203468.0,2.0,,,,,,,,,,,
37,PT07M29.00S,2022-01-30T20:44:54.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,13,16,2022-01-30T20:44:54Z,370000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT07M11.00S,2022-01-30T20:48:07.7Z,1,REGULAR,3pt,Jump Shot,[],202696,31.35676741130092,39.21568627450981,1610612741,16,16,2022-01-30T20:48:17Z,380000,54.0,242.0,1,left,N. Vucevic 24' 3PT  (5 PTS) (D. DeRozan 2 AST),"[202696, 201942]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,24.82,Made,5.0,,,,D. DeRozan,201942.0,2.0,,,,,,,,,,,
40,PT06M50.00S,2022-01-30T20:48:28.4Z,1,REGULAR,3pt,Jump Shot,[],1626181,77.87450722733246,9.558823529411764,1610612757,16,19,2022-01-30T20:48:33Z,400000,-202.0,155.0,1,right,N. Powell 25' 3PT  (6 PTS) (A. Simons 2 AST),"[1626181, 1629014]",1610612757.0,POR,,,,Powell,N. Powell,,,,,25.51,Made,6.0,,,,A. Simons,1629014.0,2.0,,,,,,,,,,,
42,PT06M28.00S,2022-01-30T20:48:50.8Z,1,REGULAR,turnover,bad pass,[],201942,,,1610612741,16,19,2022-01-30T20:48:54Z,420000,,,0,,D. DeRozan bad pass TURNOVER (1 TO),"[201942, 203496]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,1.0,Covington,203496.0,,,,,,,,,,,,,,
43,PT06M28.00S,2022-01-30T20:48:50.8Z,1,REGULAR,steal,,[],203496,,,1610612757,16,19,2022-01-30T20:48:52Z,430000,,,0,,R. Covington STEAL (1 STL),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,
44,PT06M21.00S,2022-01-30T20:48:58.1Z,1,REGULAR,turnover,bad pass,[],1626181,,,1610612757,16,19,2022-01-30T20:49:07Z,440000,,,0,,N. Powell bad pass TURNOVER (1 TO),"[1626181, 202696]",1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,1.0,Vucevic,202696.0,,,,,,,,,,,,,,
45,PT06M21.00S,2022-01-30T20:48:58.1Z,1,REGULAR,steal,,[],202696,,,1610612741,16,19,2022-01-30T20:49:07Z,450000,,,0,,N. Vucevic STEAL (1 STL),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,
47,PT06M14.00S,2022-01-30T20:49:13.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203897,5.206964520367937,94.36274509803921,1610612741,19,19,2022-01-30T20:51:16Z,470000,-222.0,-4.0,1,left,Z. LaVine 3PT  (3 PTS) (N. Vucevic 2 AST),"[203897, 202696]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,22.18,Made,3.0,,,,N. Vucevic,202696.0,2.0,,,,,,,,,,,
49,PT05M47.00S,2022-01-30T20:49:31.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,92.59198423127464,51.470588235294116,1610612757,19,21,2022-01-30T20:49:44Z,490000,7.0,17.0,1,right,C. McCollum driving Layup (5 PTS),[203468],1610612757.0,POR,driving,,,McCollum,C. McCollum,,,,,1.86,Made,5.0,,,,,,,,,,,,,,,,,
50,PT05M35.00S,2022-01-30T20:49:43.6Z,1,REGULAR,2pt,Jump Shot,[],203897,22.815374507227332,55.14705882352941,1610612741,19,21,2022-01-30T20:49:49Z,500000,-26.0,162.0,1,left,MISS Z. LaVine 16' pullup Shot,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,16.4,Missed,,,,,,,,,,,,,,,,,,
51,PT05M31.00S,2022-01-30T20:49:47.6Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,19,21,2022-01-30T20:49:49Z,510000,,,0,,R. Covington REBOUND (Off:0 Def:2),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,50.0,2.0,2.0,0.0,,,,,,,
52,PT05M23.00S,2022-01-30T20:49:55.2Z,1,REGULAR,2pt,Jump Shot,[],203468,74.58935611038108,48.77450980392157,1610612757,19,23,2022-01-30T20:51:19Z,520000,-6.0,186.0,1,right,C. McCollum 18' driving floating Jump Shot (7 PTS) (J. Nurkic 1 AST),"[203468, 203994]",1610612757.0,POR,driving floating,,,McCollum,C. McCollum,,,,,18.65,Made,7.0,,,,J. Nurkic,203994.0,1.0,,,,,,,,,,,
54,PT05M10.00S,2022-01-30T20:50:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,5.338370565045992,48.77450980392157,1610612741,21,23,2022-01-30T20:50:12Z,540000,6.0,-2.0,1,left,D. DeRozan driving finger roll Layup (4 PTS),[201942],1610612741.0,CHI,driving finger roll,,,DeRozan,D. DeRozan,,,,,0.65,Made,4.0,,,,,,,,,,,,,,,,,
55,PT04M55.00S,2022-01-30T20:50:23.9Z,1,REGULAR,3pt,Jump Shot,[],1629014,97.7168199737188,2.450980392156863,1610612757,21,26,2022-01-30T20:50:29Z,550000,-238.0,-31.0,1,right,A. Simons 3PT  (8 PTS) (C. McCollum 3 AST),"[1629014, 203468]",1610612757.0,POR,,,,Simons,A. Simons,,,,,23.97,Made,8.0,,,,C. McCollum,203468.0,3.0,,,,,,,,,,,
57,PT04M54.00S,2022-01-30T20:50:32.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,21,26,2022-01-30T20:50:32Z,570000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT04M54.00S,2022-01-30T20:52:18.8Z,1,REGULAR,substitution,out,[],201942,,,1610612741,21,26,2022-01-30T20:53:06Z,580000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,
59,PT04M54.00S,2022-01-30T20:52:18.8Z,1,REGULAR,substitution,out,[],1630245,,,1610612741,21,26,2022-01-30T20:53:06Z,590000,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,
60,PT04M54.00S,2022-01-30T20:52:18.8Z,1,REGULAR,substitution,out,[],1629750,,,1610612741,21,26,2022-01-30T20:53:06Z,600000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
62,PT04M54.00S,2022-01-30T20:52:18.8Z,1,REGULAR,substitution,in,[],1629632,,,1610612741,21,26,2022-01-30T20:53:06Z,620000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,
63,PT04M54.00S,2022-01-30T20:52:18.8Z,1,REGULAR,substitution,in,[],1629744,,,1610612741,21,26,2022-01-30T20:53:06Z,630000,,,0,,SUB in: M. Thomas,[1629744],1610612741.0,CHI,,,,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
64,PT04M54.00S,2022-01-30T20:52:18.8Z,1,REGULAR,substitution,in,[],1628972,,,1610612741,21,26,2022-01-30T20:53:06Z,640000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,
65,PT04M54.00S,2022-01-30T20:52:18.8Z,1,REGULAR,substitution,in,[],203463,,,1610612741,21,26,2022-01-30T20:53:06Z,650000,,,0,,SUB in: B. McLemore,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,
66,PT04M54.00S,2022-01-30T20:52:18.8Z,1,REGULAR,substitution,out,[],203468,,,1610612741,21,26,2022-01-30T20:53:20Z,660000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,
67,PT04M42.00S,2022-01-30T20:53:36.9Z,1,REGULAR,foul,personal,[],203496,,,1610612741,21,26,2022-01-30T20:53:50Z,670000,,,0,,R. Covington personal FOUL (1 PF),"[203496, 1629744]",1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,203592.0,1.0,0.0,Thomas,1629744.0,,
69,PT04M37.00S,2022-01-30T20:53:57.0Z,1,REGULAR,3pt,Jump Shot,[],1629632,22.470433639947437,8.60140931372549,1610612741,21,26,2022-01-30T20:54:08Z,690000,207.0,159.0,1,left,MISS C. White 26' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,26.08,Missed,,,,,,,,,,,,,,,,,,
70,PT04M33.00S,2022-01-30T20:54:01.0Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,21,26,2022-01-30T20:54:08Z,700000,,,0,,A. Simons REBOUND (Off:0 Def:2),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,69.0,2.0,2.0,0.0,,,,,,,
71,PT04M28.00S,2022-01-30T20:54:06.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629014,72.7496714848883,50.49019607843137,1610612757,21,26,2022-01-30T20:54:57Z,710000,2.0,204.0,1,right,MISS A. Simons 20' pullup Shot,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,20.37,Missed,,,,,,,,,,,,,,,,,,
72,PT04M23.00S,2022-01-30T20:54:11.1Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,21,26,2022-01-30T20:54:16Z,720000,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,71.0,1.0,1.0,0.0,,,,,,,
73,PT04M06.00S,2022-01-30T20:54:27.7Z,1,REGULAR,2pt,Jump Shot,[],1629632,5.601182654402102,19.362745098039216,1610612741,21,26,2022-01-30T20:54:31Z,730000,153.0,0.0,1,left,MISS C. White 15' pullup Shot,[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,15.32,Missed,,,,,,,,,,,,,,,,,,
74,PT04M03.00S,2022-01-30T20:54:30.7Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,21,26,2022-01-30T20:54:31Z,740000,,,0,,A. Simons REBOUND (Off:0 Def:3),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,73.0,3.0,3.0,0.0,,,,,,,
75,PT03M51.00S,2022-01-30T20:54:42.0Z,1,REGULAR,3pt,Jump Shot,[],203496,69.99014454664915,69.36274509803921,1610612757,21,29,2022-01-30T20:54:47Z,750000,97.0,230.0,1,right,R. Covington 24' 3PT  (3 PTS) (N. Powell 1 AST),"[203496, 1626181]",1610612757.0,POR,,,,Covington,R. Covington,,,,,24.92,Made,3.0,,,,N. Powell,1626181.0,1.0,,,,,,,,,,,
77,PT03M24.00S,2022-01-30T20:55:09.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629632,9.937582128777924,36.76470588235294,1610612741,23,29,2022-01-30T20:55:14Z,770000,66.0,41.0,1,left,C. White 7' driving floating Jump Shot (2 PTS),[1629632],1610612741.0,CHI,driving floating,,,White,C. White,,,,,7.78,Made,2.0,,,,,,,,,,,,,,,,,
78,PT03M11.00S,2022-01-30T20:55:34.5Z,1,REGULAR,foul,personal,[],1628972,,,1610612757,23,29,2022-01-30T20:55:40Z,780000,,,0,,T. Brown Jr. personal FOUL (1 PF),"[1628972, 1626181]",1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,1628480.0,1.0,0.0,Powell,1626181.0,,
80,PT03M11.00S,2022-01-30T20:55:39.9Z,1,REGULAR,substitution,out,[],203994,,,1610612757,23,29,2022-01-30T20:55:45Z,800000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,
81,PT03M11.00S,2022-01-30T20:55:39.9Z,1,REGULAR,substitution,in,[],1630570,,,1610612757,23,29,2022-01-30T20:55:45Z,810000,,,0,,SUB in: T. Watford,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,
82,PT03M03.00S,2022-01-30T20:55:54.4Z,1,REGULAR,2pt,Jump Shot,[],203463,82.86793692509855,14.460784313725492,1610612757,23,31,2022-01-30T20:56:38Z,820000,-178.0,109.0,1,right,B. McLemore 20' step back Jump Shot (2 PTS) (R. Covington 2 AST),"[203463, 203496]",1610612757.0,POR,step back,,,McLemore,B. McLemore,,,,,20.82,Made,2.0,,,,R. Covington,203496.0,2.0,,,,,,,,,,,
83,PT02M44.00S,2022-01-30T20:56:13.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202696,5.732588699080158,50.0,1610612741,25,31,2022-01-30T20:56:18Z,830000,0.0,1.0,1,left,N. Vucevic driving DUNK (7 PTS) (C. White 1 AST),"[202696, 1629632]",1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,0.14,Made,7.0,,,,C. White,1629632.0,1.0,,,,,,,,,,,
86,PT02M27.00S,2022-01-30T20:56:29.4Z,1,REGULAR,3pt,Jump Shot,[],203463,68.54467805519053,66.42156862745098,1610612757,25,31,2022-01-30T20:56:34Z,850000,82.0,243.0,1,right,MISS B. McLemore 25' 3PT,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,25.67,Missed,,,,,,,,,,,,,,,,,,
87,PT02M25.00S,2022-01-30T20:56:31.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,25,31,2022-01-30T20:56:34Z,860000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,86.0,2.0,2.0,0.0,,,,,,,
88,PT02M14.00S,2022-01-30T20:56:50.5Z,1,REGULAR,foul,personal,['2freethrow'],1626181,,,1610612741,25,31,2022-01-30T20:57:04Z,870000,,,0,,N. Powell shooting personal FOUL (1 PF) (LaVine 2 FT),"[1626181, 203897]",1610612757.0,POR,shooting,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,1628480.0,1.0,0.0,LaVine,203897.0,,
90,PT02M14.00S,2022-01-30T20:57:13.3Z,1,REGULAR,freethrow,1 of 2,[],203897,,,1610612741,26,31,2022-01-30T20:57:13Z,890000,,,0,,Z. LaVine Free Throw 1 of 2 (4 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
91,PT02M14.00S,2022-01-30T20:57:14.0Z,1,REGULAR,substitution,out,[],202696,,,1610612741,26,31,2022-01-30T20:57:25Z,900000,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,
92,PT02M14.00S,2022-01-30T20:57:14.0Z,1,REGULAR,substitution,out,[],1629014,,,1610612741,26,31,2022-01-30T20:57:25Z,910000,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,
93,PT02M14.00S,2022-01-30T20:57:14.0Z,1,REGULAR,substitution,out,[],1626181,,,1610612741,26,31,2022-01-30T20:57:25Z,920000,,,0,,SUB out: N. Powell,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,
94,PT02M14.00S,2022-01-30T20:57:14.0Z,1,REGULAR,substitution,in,[],1628396,,,1610612741,26,31,2022-01-30T20:57:25Z,930000,,,0,,SUB in: T. Bradley,[1628396],1610612741.0,CHI,,,,Bradley,T. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
95,PT02M14.00S,2022-01-30T20:57:14.0Z,1,REGULAR,substitution,in,[],203468,,,1610612741,26,31,2022-01-30T20:57:25Z,940000,,,0,,SUB in: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,
96,PT02M14.00S,2022-01-30T20:57:14.0Z,1,REGULAR,substitution,in,[],1628372,,,1610612741,26,31,2022-01-30T20:57:25Z,950000,,,0,,SUB in: D. Smith Jr.,[1628372],1610612757.0,POR,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,
97,PT02M14.00S,2022-01-30T20:57:33.5Z,1,REGULAR,freethrow,2 of 2,[],203897,,,1610612741,27,31,2022-01-30T20:57:33Z,960000,,,0,,Z. LaVine Free Throw 2 of 2 (5 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
