actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
17,PT11M11.00S,2021-12-07T01:11:40.3Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,0,3,2021-12-07T01:15:00Z,160000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M59.00S,2021-12-07T01:11:43.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203115,93.9060446780552,50.98039215686274,1610612743,0,3,2021-12-07T01:11:55Z,170000,5.0,5.0,1,right,MISS W. Barton Layup - blocked,"[203115, 1628366]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,0.69,Missed,Ball,1628366.0,,,,,,,,,,,,,,,,,
19,PT10M59.00S,2021-12-07T01:11:43.8Z,1,REGULAR,block,,[],1628366,,,1610612743,0,3,2021-12-07T01:19:05Z,180000,,,0,,L. Ball BLOCK (2 BLK),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M59.00S,2021-12-07T01:11:43.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,0,3,2021-12-07T01:11:55Z,190000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,
21,PT10M50.00S,2021-12-07T01:12:06.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,94.82588699080158,61.76470588235294,1610612743,0,3,2021-12-07T01:19:51Z,200000,59.0,-4.0,1,right,MISS N. Jokic driving Layup,[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,5.89,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M47.00S,2021-12-07T01:12:09.2Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,0,3,2021-12-07T01:12:12Z,210000,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT10M43.00S,2021-12-07T01:12:13.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202696,33.459264126149804,47.794117647058826,1610612741,3,3,2021-12-07T01:12:20Z,220000,11.0,262.0,1,left,N. Vucevic 26' 3PT  (3 PTS) (L. Ball 1 AST),"[202696, 1628366]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,26.22,Made,,,,,,,3.0,L. Ball,1628366.0,1.0,,,,,,,,,
26,PT10M20.00S,2021-12-07T01:12:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,93.38042049934296,53.431372549019606,1610612743,3,3,2021-12-07T01:12:44Z,240000,17.0,10.0,1,right,MISS J. Green Layup,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,1.97,Missed,,,,,,,,,,,,,,,,,,,
27,PT10M18.00S,2021-12-07T01:12:37.1Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612741,3,3,2021-12-07T01:12:44Z,250000,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,
28,PT10M17.00S,2021-12-07T01:12:42.6Z,1,REGULAR,turnover,out-of-bounds,[],1630245,,,1610612741,3,3,2021-12-07T01:12:50Z,260000,,,0,,A. Dosunmu step out-of-bounds TURNOVER (1 TO),[1630245],1610612741.0,CHI,step,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,2882.0,1.0,,,,,,,
29,PT10M04.00S,2021-12-07T01:13:03.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201145,93.64323258869908,48.529411764705884,1610612743,3,5,2021-12-07T01:13:08Z,270000,-7.0,7.0,1,right,J. Green cutting Layup (2 PTS) (M. Morris 2 AST),"[201145, 1628420]",1610612743.0,DEN,cutting,,,Green,J. Green,,,,,1.04,Made,,,,,,,2.0,M. Morris,1628420.0,2.0,,,,,,,,,
31,PT09M56.00S,2021-12-07T01:13:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628366,7.966491458607096,50.98039215686274,1610612741,3,5,2021-12-07T01:13:16Z,290000,-5.0,22.0,1,left,MISS L. Ball driving Layup - blocked,"[1628366, 203115]",1610612741.0,CHI,driving,,,Ball,L. Ball,,,,,2.29,Missed,Barton,203115.0,,,,,,,,,,,,,,,,,
32,PT09M56.00S,2021-12-07T01:13:11.5Z,1,REGULAR,block,,[],203115,,,1610612741,3,5,2021-12-07T01:13:13Z,300000,,,0,,W. Barton BLOCK (1 BLK),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M53.00S,2021-12-07T01:13:14.5Z,1,REGULAR,rebound,offensive,[],1628366,,,1610612741,3,5,2021-12-07T01:13:16Z,310000,,,0,,L. Ball REBOUND (Off:1 Def:0),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,31.0,1.0,0.0,1.0,,,,,,,,,,,,,
34,PT09M42.00S,2021-12-07T01:13:25.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628366,28.597240473061763,83.33333333333334,1610612741,3,5,2021-12-07T01:13:32Z,320000,-167.0,216.0,1,left,MISS L. Ball 27' 3PT,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,27.31,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M39.00S,2021-12-07T01:13:28.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,5,2021-12-07T01:13:32Z,330000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,
36,PT09M38.00S,2021-12-07T01:13:32.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203115,91.80354796320631,51.9607843137255,1610612743,3,5,2021-12-07T01:13:38Z,340000,10.0,25.0,1,right,MISS W. Barton driving Layup - blocked,"[203115, 1628366]",1610612743.0,DEN,driving,,,Barton,W. Barton,,,,,2.64,Missed,Ball,1628366.0,,,,,,,,,,,,,,,,,
37,PT09M38.00S,2021-12-07T01:13:32.5Z,1,REGULAR,block,,[],1628366,,,1610612743,3,5,2021-12-07T01:24:04Z,350000,,,0,,L. Ball BLOCK (3 BLK),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M38.00S,2021-12-07T01:13:32.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,3,5,2021-12-07T01:13:38Z,360000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,
39,PT09M38.00S,2021-12-07T01:14:09.7Z,1,REGULAR,stoppage,court clean up,[],0,,,1610612743,3,5,2021-12-07T01:14:09Z,370000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M33.00S,2021-12-07T01:14:16.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203115,76.82325886990802,61.029411764705884,1610612743,3,7,2021-12-07T01:14:25Z,380000,55.0,165.0,1,right,W. Barton 17' pullup Jump Shot (5 PTS) (N. Jokic 1 AST),"[203115, 203999]",1610612743.0,DEN,pullup,,,Barton,W. Barton,,,,,17.43,Made,,,,,,,5.0,N. Jokic,203999.0,1.0,,,,,,,,,
42,PT09M14.00S,2021-12-07T01:14:34.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,6.783837056504599,65.19607843137256,1610612741,5,7,2021-12-07T01:14:39Z,400000,-76.0,11.0,1,left,N. Vucevic 7' turnaround Hook (5 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,7.68,Made,,,,,,,5.0,Z. LaVine,203897.0,1.0,,,,,,,,,
44,PT08M58.00S,2021-12-07T01:14:50.8Z,1,REGULAR,turnover,bad pass,[],203115,,,1610612743,5,7,2021-12-07T01:15:06Z,420000,,,0,,W. Barton bad pass TURNOVER (1 TO),"[203115, 203897]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,1.0,LaVine,203897.0,,,,,
45,PT08M58.00S,2021-12-07T01:14:50.8Z,1,REGULAR,steal,,[],203897,,,1610612741,5,7,2021-12-07T01:14:53Z,430000,,,0,,Z. LaVine STEAL (1 STL),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M43.00S,2021-12-07T01:15:06.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628366,4.681340341655716,73.2843137254902,1610612741,7,7,2021-12-07T01:15:09Z,440000,-116.0,-8.0,1,left,L. Ball 11' pullup Jump Shot (2 PTS) (N. Vucevic 1 AST),"[1628366, 202696]",1610612741.0,CHI,pullup,,,Ball,L. Ball,,,,,11.67,Made,,,,,,,2.0,N. Vucevic,202696.0,1.0,,,,,,,,,
48,PT08M30.00S,2021-12-07T01:15:18.1Z,1,REGULAR,3pt,Jump Shot,[],1628420,68.15045992115637,63.48039215686274,1610612743,7,7,2021-12-07T01:15:25Z,460000,67.0,247.0,1,right,MISS M. Morris 25' 3PT,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,25.59,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M24.00S,2021-12-07T01:15:24.1Z,1,REGULAR,rebound,offensive,[],201145,,,1610612743,7,7,2021-12-07T01:15:25Z,470000,,,0,,J. Green REBOUND (Off:1 Def:0),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,48.0,1.0,0.0,1.0,,,,,,,,,,,,,
50,PT08M24.00S,2021-12-07T01:15:24.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201145,94.40999984741211,50.0,1610612743,7,7,2021-12-07T01:16:03Z,480000,0.0,0.0,1,right,MISS J. Green tip Layup,[201145],1610612743.0,DEN,tip,,,Green,J. Green,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
51,PT08M23.00S,2021-12-07T01:15:25.9Z,1,REGULAR,rebound,offensive,[],201145,,,1610612743,7,7,2021-12-07T01:16:03Z,490000,,,0,,J. Green REBOUND (Off:2 Def:0),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,50.0,2.0,0.0,2.0,,,,,,,,,,,,,
52,PT08M17.00S,2021-12-07T01:15:35.6Z,1,REGULAR,foul,personal,['2freethrow'],1627884,,,1610612743,7,7,2021-12-07T01:15:46Z,500000,,,0,,D. Jones Jr. shooting personal FOUL (1 PF) (Green 2 FT),"[1627884, 201145]",1610612741.0,CHI,shooting,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,201246.0,,,,1.0,0.0,Green,201145.0,
54,PT08M17.00S,2021-12-07T01:16:05.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],201145,,,1610612743,7,8,2021-12-07T01:16:05Z,520000,,,0,,J. Green Free Throw 1 of 2 (3 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
55,PT08M17.00S,2021-12-07T01:16:25.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],201145,,,1610612743,7,9,2021-12-07T01:16:25Z,530000,,,0,,J. Green Free Throw 2 of 2 (4 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,Made,,,,,,,4.0,,,,,,,,,,,,
56,PT07M56.00S,2021-12-07T01:16:47.0Z,1,REGULAR,3pt,Jump Shot,[],1627884,6.915243101182654,95.58823529411765,1610612741,7,9,2021-12-07T01:16:51Z,540000,-228.0,13.0,1,left,MISS D. Jones Jr. 3PT,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,22.82,Missed,,,,,,,,,,,,,,,,,,,
57,PT07M54.00S,2021-12-07T01:16:49.0Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,7,9,2021-12-07T01:16:51Z,550000,,,0,,M. Morris REBOUND (Off:0 Def:2),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,
58,PT07M45.00S,2021-12-07T01:16:58.9Z,1,REGULAR,3pt,Jump Shot,[],1628420,66.70499342969777,52.20588235294118,1610612743,7,12,2021-12-07T01:25:25Z,560000,11.0,260.0,1,right,M. Morris 26' 3PT pullup (3 PTS) (N. Jokic 2 AST),"[1628420, 203999]",1610612743.0,DEN,pullup,,,Morris,M. Morris,,,,,26.07,Made,,,,,,,3.0,N. Jokic,203999.0,2.0,,,,,,,,,
60,PT07M30.00S,2021-12-07T01:17:13.2Z,1,REGULAR,3pt,Jump Shot,[],202696,31.225361366622867,65.19607843137256,1610612741,7,12,2021-12-07T01:17:19Z,580000,-76.0,241.0,1,left,MISS N. Vucevic 25' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,,
61,PT07M27.00S,2021-12-07T01:17:16.2Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,7,12,2021-12-07T01:17:19Z,590000,,,0,,A. Gordon REBOUND (Off:1 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,60.0,2.0,1.0,1.0,,,,,,,,,,,,,
62,PT07M14.00S,2021-12-07T01:17:29.7Z,1,REGULAR,3pt,Jump Shot,[],203115,67.09921156373193,50.49019607843137,1610612743,7,15,2021-12-07T01:17:34Z,600000,2.0,257.0,1,right,W. Barton 25' 3PT  (8 PTS) (N. Jokic 3 AST),"[203115, 203999]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,25.68,Made,,,,,,,8.0,N. Jokic,203999.0,3.0,,,,,,,,,
64,PT07M13.00S,2021-12-07T01:17:34.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,7,15,2021-12-07T01:17:34Z,620000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M54.00S,2021-12-07T01:20:56.8Z,1,REGULAR,foul,personal,[],203999,,,1610612741,7,15,2021-12-07T01:21:04Z,630000,,,0,,N. Jokic personal FOUL (1 PF),"[203999, 203897]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,2882.0,,,,1.0,0.0,LaVine,203897.0,
67,PT06M44.00S,2021-12-07T01:21:27.4Z,1,REGULAR,2pt,Jump Shot,[],203897,5.995400788436268,70.34313725490196,1610612741,9,15,2021-12-07T01:21:31Z,650000,-102.0,4.0,1,left,Z. LaVine 10' fadeaway Jump Shot (2 PTS),[203897],1610612741.0,CHI,fadeaway,,,LaVine,Z. LaVine,,,,,10.18,Made,,,,,,,2.0,,,,,,,,,,,,
69,PT06M27.00S,2021-12-07T01:21:47.0Z,1,REGULAR,turnover,out-of-bounds,[],203115,,,1610612743,9,15,2021-12-07T01:21:51Z,670000,,,0,,W. Barton bad pass out-of-bounds TURNOVER (2 TO),[203115],1610612743.0,DEN,bad pass,,,Barton,W. Barton,,,,,,,,,,,,,,,,,2882.0,2.0,,,,,,,
70,PT06M12.00S,2021-12-07T01:22:07.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202696,8.804204993429698,82.86611519607843,1610612741,9,15,2021-12-07T01:22:31Z,680000,-164.0,30.0,1,left,MISS N. Vucevic 16' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,16.71,Missed,,,,,,,,,,,,,,,,,,,
71,PT06M09.00S,2021-12-07T01:22:10.2Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,9,15,2021-12-07T01:22:31Z,690000,,,0,,M. Morris REBOUND (Off:0 Def:3),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,70.0,3.0,3.0,0.0,,,,,,,,,,,,,
72,PT05M51.00S,2021-12-07T01:22:31.8Z,1,REGULAR,2pt,Jump Shot,[],203932,93.64323258869908,32.59803921568628,1610612743,9,15,2021-12-07T01:27:29Z,705000,-87.0,7.0,1,right,MISS A. Gordon 8' turnaround Shot,[203932],1610612743.0,DEN,turnaround,,,Gordon,A. Gordon,,,,,8.73,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M50.00S,2021-12-07T01:22:32.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,9,15,2021-12-07T01:22:59Z,712500,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,
74,PT05M49.00S,2021-12-07T01:22:35.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612743,9,15,2021-12-07T01:22:53Z,720000,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,202007.0,,,,,,,,
75,PT05M48.00S,2021-12-07T01:22:38.4Z,1,REGULAR,substitution,out,[],1628366,,,1610612741,9,15,2021-12-07T01:22:44Z,730000,,,0,,SUB out: L. Ball,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M48.00S,2021-12-07T01:22:38.4Z,1,REGULAR,substitution,in,[],1628972,,,1610612741,9,15,2021-12-07T01:22:44Z,740000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M39.00S,2021-12-07T01:23:08.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,9,15,2021-12-07T01:23:08Z,770000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M39.00S,2021-12-07T01:23:09.1Z,1,REGULAR,substitution,out,[],203115,,,1610612741,9,15,2021-12-07T01:23:13Z,780000,,,0,,SUB out: W. Barton,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M39.00S,2021-12-07T01:23:09.1Z,1,REGULAR,substitution,in,[],1630267,,,1610612741,9,15,2021-12-07T01:23:13Z,790000,,,0,,SUB in: F. Campazzo,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M29.00S,2021-12-07T01:23:29.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630245,6.521024967148489,48.28431372549019,1610612741,9,15,2021-12-07T01:23:37Z,800000,9.0,9.0,1,left,MISS A. Dosunmu driving reverse Layup,[1630245],1610612741.0,CHI,driving reverse,,,Dosunmu,A. Dosunmu,,,,,1.23,Missed,,,,,,,,,,,,,,,,,,,
81,PT05M27.00S,2021-12-07T01:23:31.6Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,9,15,2021-12-07T01:23:37Z,810000,,,0,,J. Green REBOUND (Off:2 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,80.0,3.0,1.0,2.0,,,,,,,,,,,,,
82,PT05M20.00S,2021-12-07T01:23:38.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,94.03745072273325,50.245098039215684,1610612743,9,17,2021-12-07T01:23:44Z,820000,1.0,4.0,1,right,A. Gordon DUNK (2 PTS) (N. Jokic 4 AST),"[203932, 203999]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,0.37,Made,,,,,,,2.0,N. Jokic,203999.0,4.0,,,,,,,,,
84,PT05M09.00S,2021-12-07T01:23:49.1Z,1,REGULAR,3pt,Jump Shot,[],1627884,8.492115637319317,5.147058823529411,1610612741,9,17,2021-12-07T01:23:53Z,840000,224.0,27.0,1,left,MISS D. Jones Jr. 3PT,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,22.6,Missed,,,,,,,,,,,,,,,,,,,
85,PT05M07.00S,2021-12-07T01:23:51.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,9,17,2021-12-07T01:23:53Z,850000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,84.0,2.0,2.0,0.0,,,,,,,,,,,,,
86,PT05M03.00S,2021-12-07T01:23:57.8Z,1,REGULAR,foul,personal,['2freethrow'],1627884,,,1610612743,9,17,2021-12-07T01:24:08Z,860000,,,0,,D. Jones Jr. shooting personal FOUL (2 PF) (Gordon 2 FT),"[1627884, 203932]",1610612741.0,CHI,shooting,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,201246.0,,,,2.0,0.0,Gordon,203932.0,
88,PT05M03.00S,2021-12-07T01:24:22.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203932,,,1610612743,9,17,2021-12-07T01:24:22Z,880000,,,0,,MISS A. Gordon Free Throw 1 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Missed,,,,,,,,,,,,,,,,,,,
89,PT05M03.00S,2021-12-07T01:24:22.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,9,17,2021-12-07T01:24:22Z,890000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,
90,PT05M03.00S,2021-12-07T01:24:26.0Z,1,REGULAR,substitution,out,[],1627884,,,1610612743,9,17,2021-12-07T01:24:30Z,900000,,,0,,SUB out: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M03.00S,2021-12-07T01:24:26.0Z,1,REGULAR,substitution,in,[],1629744,,,1610612743,9,17,2021-12-07T01:24:30Z,910000,,,0,,SUB in: M. Thomas,[1629744],1610612741.0,CHI,,,,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M03.00S,2021-12-07T01:24:40.4Z,1,REGULAR,substitution,out,[],201145,,,1610612743,9,17,2021-12-07T01:24:43Z,920000,,,0,,SUB out: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
