actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
34,PT09M56.00S,2022-01-20T01:12:49.0Z,1,REGULAR,block,,[],1628386,,,1610612741,5,6,2022-01-20T01:15:08Z,185000,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,,,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,
19,PT09M53.00S,2022-01-20T01:12:52.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,5,6,2022-01-20T01:12:54Z,190000,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612739.0,CLE,,,,,,,,,Markkanen,L. Markkanen,18.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
20,PT09M47.00S,2022-01-20T01:12:57.7Z,1,REGULAR,turnover,bad pass,[],1628386,,,1610612739,5,6,2022-01-20T01:13:02Z,200000,,,0,,J. Allen bad pass TURNOVER (1 TO),"[1628386, 1629632]",1610612739.0,CLE,,,,,,,,,Allen,J. Allen,,,,,,,,,,,1.0,White,1629632.0,,,,,,
21,PT09M47.00S,2022-01-20T01:12:57.7Z,1,REGULAR,steal,,[],1629632,,,1610612741,5,6,2022-01-20T01:12:59Z,210000,,,0,,C. White STEAL (1 STL),[1629632],1610612741.0,CHI,,,,,,,,,White,C. White,,,,,,,,,,,,,,,,,,,
22,PT09M43.00S,2022-01-20T01:13:01.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628035,5.469776609724048,50.49019607843137,1610612741,7,6,2022-01-20T01:15:11Z,220000,-2.0,-1.0,1,left,A. McKinnie running DUNK (2 PTS) (C. White 1 AST),"[1628035, 1629632]",1610612741.0,CHI,running,,,,,,0.27,Made,McKinnie,A. McKinnie,,,,,2.0,C. White,1629632.0,1.0,,,,,,,,,,,
24,PT09M21.00S,2022-01-20T01:13:24.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,88.91261498028909,50.98039215686274,1610612739,7,6,2022-01-20T01:13:30Z,240000,5.0,52.0,1,right,MISS E. Mobley driving Hook,[1630596],1610612739.0,CLE,driving,,,,,,5.19,Missed,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,
25,PT09M18.00S,2022-01-20T01:13:27.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,7,6,2022-01-20T01:13:30Z,250000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,,,,,,Vucevic,N. Vucevic,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT09M10.00S,2022-01-20T01:13:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,6.258212877792378,47.794117647058826,1610612741,9,6,2022-01-20T01:13:40Z,260000,11.0,6.0,1,left,A. Dosunmu driving Layup (2 PTS) (N. Vucevic 1 AST),"[1630245, 202696]",1610612741.0,CHI,driving,,,,,,1.27,Made,Dosunmu,A. Dosunmu,,,,,2.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,
28,PT08M55.00S,2022-01-20T01:13:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,94.82588699080158,47.30392156862745,1610612739,9,8,2022-01-20T01:13:53Z,280000,-13.0,-4.0,1,right,I. Okoro driving Layup (2 PTS) (J. Allen 2 AST),"[1630171, 1628386]",1610612739.0,CLE,driving,,,,,,1.41,Made,Okoro,I. Okoro,,,,,2.0,J. Allen,1628386.0,2.0,,,,,,,,,,,
29,PT08M37.00S,2022-01-20T01:14:07.1Z,1,REGULAR,2pt,Jump Shot,[],201942,19.66162943495401,67.64705882352942,1610612741,11,8,2022-01-20T01:14:11Z,290000,-88.0,132.0,1,left,D. DeRozan 15' pullup Jump Shot (2 PTS),[201942],1610612741.0,CHI,pullup,,,,,,15.9,Made,DeRozan,D. DeRozan,,,,,2.0,,,,,,,,,,,,,,
30,PT08M19.00S,2022-01-20T01:14:26.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,89.96386333771353,49.754901960784316,1610612739,11,10,2022-01-20T01:14:30Z,300000,-1.0,42.0,1,right,E. Mobley driving Hook (4 PTS),[1630596],1610612739.0,CLE,driving,,,,,,4.18,Made,Mobley,E. Mobley,,,,,4.0,,,,,,,,,,,,,,
31,PT08M03.00S,2022-01-20T01:14:42.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,9.017739816031538,54.65686274509803,1610612741,11,10,2022-01-20T01:14:46Z,310000,-23.0,32.0,1,left,MISS N. Vucevic turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,,,,3.98,Missed,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,
32,PT08M00.00S,2022-01-20T01:14:45.2Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,11,10,2022-01-20T01:14:46Z,320000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,,,,,,Mobley,E. Mobley,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT07M55.00S,2022-01-20T01:14:54.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,11,10,2022-01-20T01:14:54Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT07M43.00S,2022-01-20T01:15:17.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,90.48948751642575,53.18627450980392,1610612739,11,10,2022-01-20T01:15:37Z,340000,16.0,37.0,1,right,MISS E. Mobley Layup - blocked,"[1630596, 201942]",1610612739.0,CLE,,,,,,,4.02,Missed,Mobley,E. Mobley,,,,,,,,,DeRozan,201942.0,,,,,,,,,
36,PT07M43.00S,2022-01-20T01:15:17.2Z,1,REGULAR,block,,[],201942,,,1610612739,11,10,2022-01-20T01:15:21Z,350000,,,0,,D. DeRozan BLOCK (1 BLK),[201942],1610612741.0,CHI,,,,,,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,
37,PT07M40.00S,2022-01-20T01:15:20.2Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,11,10,2022-01-20T01:22:49Z,360000,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,,,,,,Allen,J. Allen,35.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
38,PT07M40.00S,2022-01-20T01:15:27.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630596,94.95729303547962,49.754901960784316,1610612739,11,12,2022-01-20T01:15:41Z,370000,-1.0,-5.0,1,right,E. Mobley DUNK (6 PTS) (I. Okoro 1 AST),"[1630596, 1630171]",1610612739.0,CLE,,,,,,,0.52,Made,Mobley,E. Mobley,,,,,6.0,I. Okoro,1630171.0,1.0,,,,,,,,,,,
40,PT07M40.00S,2022-01-20T01:15:34.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,11,12,2022-01-20T01:15:34Z,390000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M20.00S,2022-01-20T01:18:40.8Z,1,REGULAR,foul,personal,['3freethrow'],1630171,,,1610612741,11,12,2022-01-20T01:18:48Z,400000,,,0,,I. Okoro shooting personal FOUL (1 PF) (White 3 FT),"[1630171, 1629632]",1610612739.0,CLE,shooting,,,,,,,,Okoro,I. Okoro,,,,,,,,,,,,,,2534.0,1.0,0.0,White,1629632.0,
44,PT07M20.00S,2022-01-20T01:19:02.3Z,1,REGULAR,freethrow,1 of 3,[],1629632,,,1610612741,12,12,2022-01-20T01:19:02Z,420000,,,0,,C. White Free Throw 1 of 3 (4 PTS),[1629632],1610612741.0,CHI,,,,,,,,Made,White,C. White,,,,,4.0,,,,,,,,,,,,,,
45,PT07M20.00S,2022-01-20T01:19:13.5Z,1,REGULAR,freethrow,2 of 3,[],1629632,,,1610612741,13,12,2022-01-20T01:19:13Z,430000,,,0,,C. White Free Throw 2 of 3 (5 PTS),[1629632],1610612741.0,CHI,,,,,,,,Made,White,C. White,,,,,5.0,,,,,,,,,,,,,,
46,PT07M20.00S,2022-01-20T01:19:26.4Z,1,REGULAR,freethrow,3 of 3,[],1629632,,,1610612741,14,12,2022-01-20T01:19:26Z,440000,,,0,,C. White Free Throw 3 of 3 (6 PTS),[1629632],1610612741.0,CHI,,,,,,,,Made,White,C. White,,,,,6.0,,,,,,,,,,,,,,
47,PT07M02.00S,2022-01-20T01:19:45.3Z,1,REGULAR,3pt,Jump Shot,[],1628374,70.25295663600527,68.13725490196079,1610612739,14,15,2022-01-20T01:19:50Z,450000,91.0,227.0,1,right,L. Markkanen 24' 3PT  (5 PTS) (I. Okoro 2 AST),"[1628374, 1630171]",1610612739.0,CLE,,,,,,,24.45,Made,Markkanen,L. Markkanen,,,,,5.0,I. Okoro,1630171.0,2.0,,,,,,,,,,,
49,PT06M49.00S,2022-01-20T01:20:03.1Z,1,REGULAR,foul,offensive,[],202696,,,1610612741,14,15,2022-01-20T01:20:12Z,470000,,,0,,N. Vucevic off-the-ball offensive FOUL (1 PF),"[202696, 1628374]",1610612741.0,CHI,off-the-ball,,,,,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,1627962.0,1.0,0.0,Markkanen,1628374.0,
51,PT06M49.00S,2022-01-20T01:20:03.1Z,1,REGULAR,turnover,offensive foul,[],202696,,,1610612741,14,15,2022-01-20T01:20:03Z,490000,,,0,,N. Vucevic offensive foul TURNOVER (1 TO),[202696],1610612741.0,CHI,,,,,,,,,Vucevic,N. Vucevic,,,,,,,,,,,1.0,,,1627962.0,,,,,
52,PT06M49.00S,2022-01-20T01:20:13.3Z,1,REGULAR,substitution,out,[],1628035,,,1610612739,14,15,2022-01-20T01:20:20Z,500000,,,0,,SUB out: A. McKinnie,[1628035],1610612741.0,CHI,,,,,,,,,McKinnie,A. McKinnie,,,,,,,,,,,,,,,,,,,
53,PT06M49.00S,2022-01-20T01:20:13.3Z,1,REGULAR,substitution,in,[],1628972,,,1610612739,14,15,2022-01-20T01:20:20Z,510000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,,,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,
54,PT06M34.00S,2022-01-20T01:20:33.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630596,90.09526938239159,50.0,1610612739,14,17,2022-01-20T01:20:37Z,520000,0.0,41.0,1,right,E. Mobley driving Hook (8 PTS),[1630596],1610612739.0,CLE,driving,,,,,,4.06,Made,Mobley,E. Mobley,,,,,8.0,,,,,,,,,,,,,,
55,PT06M21.00S,2022-01-20T01:20:46.8Z,1,REGULAR,3pt,Jump Shot,[],202696,30.962549277266753,70.58823529411765,1610612741,14,17,2022-01-20T01:20:52Z,530000,-103.0,239.0,1,left,MISS N. Vucevic 25' 3PT,[202696],1610612741.0,CHI,,,,,,,25.98,Missed,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,
56,PT06M18.00S,2022-01-20T01:20:49.8Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,14,17,2022-01-20T01:20:52Z,540000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,,,,,,Garland,D. Garland,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
57,PT06M05.00S,2022-01-20T01:21:02.6Z,1,REGULAR,2pt,Jump Shot,[],1629636,71.82982917214193,50.0,1610612739,14,17,2022-01-20T01:21:08Z,550000,0.0,212.0,1,right,MISS D. Garland 21' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,,,,21.23,Missed,Garland,D. Garland,,,,,,,,,,,,,,,,,,,
58,PT06M01.00S,2022-01-20T01:21:06.6Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,14,17,2022-01-20T01:21:08Z,560000,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,,,,,,Dosunmu,A. Dosunmu,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
59,PT05M54.00S,2022-01-20T01:21:13.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,8.229303547963205,54.90196078431373,1610612741,16,17,2022-01-20T01:21:21Z,570000,-25.0,25.0,1,left,N. Vucevic floating Jump Shot (4 PTS) (A. Dosunmu 2 AST),"[202696, 1630245]",1610612741.0,CHI,floating,,,,,,3.49,Made,Vucevic,N. Vucevic,,,,,4.0,A. Dosunmu,1630245.0,2.0,,,,,,,,,,,
61,PT05M32.00S,2022-01-20T01:21:35.2Z,1,REGULAR,3pt,Jump Shot,[],1628374,69.33311432325887,71.81372549019608,1610612739,16,20,2022-01-20T01:21:40Z,590000,109.0,236.0,1,right,L. Markkanen 25' 3PT  (8 PTS) (E. Mobley 1 AST),"[1628374, 1630596]",1610612739.0,CLE,,,,,,,25.98,Made,Markkanen,L. Markkanen,,,,,8.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,
63,PT05M18.00S,2022-01-20T01:21:49.7Z,1,REGULAR,3pt,Jump Shot,[],1628972,4.681340341655716,95.58823529411765,1610612741,16,20,2022-01-20T01:21:55Z,610000,-228.0,-8.0,1,left,MISS T. Brown Jr. 3PT,[1628972],1610612741.0,CHI,,,,,,,22.81,Missed,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,
64,PT05M14.00S,2022-01-20T01:21:53.7Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,16,20,2022-01-20T01:21:55Z,620000,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,,,,,,Allen,J. Allen,63.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
65,PT04M58.00S,2022-01-20T01:22:10.4Z,1,REGULAR,2pt,Jump Shot,[],1628374,89.17542706964521,75.49019607843137,1610612739,16,20,2022-01-20T01:22:15Z,630000,127.0,49.0,1,right,MISS L. Markkanen 13' Jump Shot,[1628374],1610612739.0,CLE,,,,,,,13.67,Missed,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,
66,PT04M56.00S,2022-01-20T01:22:12.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,16,20,2022-01-20T01:22:15Z,640000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,,,,,,Vucevic,N. Vucevic,65.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
67,PT04M47.00S,2022-01-20T01:22:21.3Z,1,REGULAR,turnover,bad pass,[],201942,,,1610612741,16,20,2022-01-20T01:22:24Z,650000,,,0,,D. DeRozan bad pass TURNOVER (1 TO),"[201942, 1628374]",1610612741.0,CHI,,,,,,,,,DeRozan,D. DeRozan,,,,,,,,,,,1.0,Markkanen,1628374.0,,,,,,
68,PT04M47.00S,2022-01-20T01:22:21.3Z,1,REGULAR,steal,,[],1628374,,,1610612739,16,20,2022-01-20T01:25:19Z,660000,,,0,,L. Markkanen STEAL (1 STL),[1628374],1610612739.0,CLE,,,,,,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,
69,PT04M45.00S,2022-01-20T01:22:26.9Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,16,20,2022-01-20T01:26:05Z,670000,,,0,,D. Garland bad pass out-of-bounds TURNOVER (1 TO),[1629636],1610612739.0,CLE,bad pass,,,,,,,,Garland,D. Garland,,,,,,,,,,,1.0,,,2534.0,,,,,
70,PT04M45.00S,2022-01-20T01:22:30.1Z,1,REGULAR,substitution,out,[],201942,,,1610612741,16,20,2022-01-20T01:22:38Z,680000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,,,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,
71,PT04M45.00S,2022-01-20T01:22:30.1Z,1,REGULAR,substitution,out,[],1630596,,,1610612741,16,20,2022-01-20T01:22:38Z,690000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,,,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,
72,PT04M45.00S,2022-01-20T01:22:30.1Z,1,REGULAR,substitution,in,[],1629744,,,1610612741,16,20,2022-01-20T01:22:38Z,700000,,,0,,SUB in: M. Thomas,[1629744],1610612741.0,CHI,,,,,,,,,Thomas,M. Thomas,,,,,,,,,,,,,,,,,,,
73,PT04M45.00S,2022-01-20T01:22:30.1Z,1,REGULAR,substitution,in,[],201567,,,1610612741,16,20,2022-01-20T01:22:38Z,710000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,,,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,
74,PT04M27.00S,2022-01-20T01:23:00.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629632,5.075558475689881,47.794117647058826,1610612741,18,20,2022-01-20T01:23:04Z,720000,11.0,-5.0,1,left,C. White driving Layup (8 PTS),[1629632],1610612741.0,CHI,driving,,,,,,1.2,Made,White,C. White,,,,,8.0,,,,,,,,,,,,,,
75,PT04M08.00S,2022-01-20T01:23:19.5Z,1,REGULAR,3pt,Jump Shot,[],201567,67.36202365308804,26.96078431372549,1610612739,18,20,2022-01-20T01:23:25Z,730000,-115.0,254.0,1,right,MISS K. Love 27' 3PT,[201567],1610612739.0,CLE,,,,,,,27.92,Missed,Love,K. Love,,,,,,,,,,,,,,,,,,,
76,PT04M06.00S,2022-01-20T01:23:21.5Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,18,20,2022-01-20T01:23:25Z,740000,,,0,,A. Dosunmu REBOUND (Off:0 Def:2),[1630245],1610612741.0,CHI,,,,,,,,,Dosunmu,A. Dosunmu,75.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
77,PT04M02.00S,2022-01-20T01:23:26.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628972,5.338370565045992,3.1862745098039214,1610612741,18,20,2022-01-20T01:26:36Z,750000,234.0,-2.0,1,left,MISS T. Brown Jr. running 3PT,[1628972],1610612741.0,CHI,running,,,,,,23.41,Missed,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,
78,PT03M58.00S,2022-01-20T01:23:30.7Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,18,20,2022-01-20T01:23:32Z,760000,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612739.0,CLE,,,,,,,,,Love,K. Love,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
79,PT03M56.00S,2022-01-20T01:23:36.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,18,20,2022-01-20T01:23:36Z,770000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT03M56.00S,2022-01-20T01:26:07.8Z,1,REGULAR,substitution,out,[],1630245,,,1610612739,18,20,2022-01-20T01:26:35Z,780000,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,,,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,
81,PT03M56.00S,2022-01-20T01:26:07.8Z,1,REGULAR,substitution,out,[],1628374,,,1610612739,18,20,2022-01-20T01:26:35Z,790000,,,0,,SUB out: L. Markkanen,[1628374],1610612739.0,CLE,,,,,,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,
82,PT03M56.00S,2022-01-20T01:26:07.8Z,1,REGULAR,substitution,out,[],1630171,,,1610612739,18,20,2022-01-20T01:26:35Z,800000,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,,,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,
83,PT03M56.00S,2022-01-20T01:26:07.8Z,1,REGULAR,substitution,in,[],1627936,,,1610612739,18,20,2022-01-20T01:26:35Z,810000,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,,,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,
84,PT03M56.00S,2022-01-20T01:26:07.8Z,1,REGULAR,substitution,in,[],1629685,,,1610612739,18,20,2022-01-20T01:26:35Z,820000,,,0,,SUB in: D. Windler,[1629685],1610612739.0,CLE,,,,,,,,,Windler,D. Windler,,,,,,,,,,,,,,,,,,,
85,PT03M56.00S,2022-01-20T01:26:07.8Z,1,REGULAR,substitution,in,[],1626224,,,1610612739,18,20,2022-01-20T01:26:35Z,830000,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,,,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,
86,PT03M38.00S,2022-01-20T01:27:02.7Z,1,REGULAR,3pt,Jump Shot,[],1629685,97.19119579500656,96.56862745098039,1610612739,18,23,2022-01-20T01:27:07Z,840000,233.0,-26.0,1,right,D. Windler 3PT  (3 PTS) (K. Love 1 AST),"[1629685, 201567]",1610612739.0,CLE,,,,,,,23.43,Made,Windler,D. Windler,,,,,3.0,K. Love,201567.0,1.0,,,,,,,,,,,
88,PT03M16.00S,2022-01-20T01:27:23.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,5.206964520367937,46.568627450980394,1610612741,20,23,2022-01-20T01:27:29Z,860000,17.0,-4.0,1,left,N. Vucevic Hook (6 PTS),[202696],1610612741.0,CHI,,,,,,,1.76,Made,Vucevic,N. Vucevic,,,,,6.0,,,,,,,,,,,,,,
89,PT03M04.00S,2022-01-20T01:27:35.9Z,1,REGULAR,2pt,Jump Shot,[],1629636,73.53810775295663,46.81372549019608,1610612739,20,25,2022-01-20T01:27:40Z,870000,-16.0,196.0,1,right,D. Garland 19' pullup Jump Shot (4 PTS),[1629636],1610612739.0,CLE,pullup,,,,,,19.68,Made,Garland,D. Garland,,,,,4.0,,,,,,,,,,,,,,
90,PT02M35.00S,2022-01-20T01:28:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,5.206964520367937,54.65686274509803,1610612741,22,25,2022-01-20T01:28:08Z,880000,-23.0,-4.0,1,left,C. White driving Layup (10 PTS),[1629632],1610612741.0,CHI,driving,,,,,,2.36,Made,White,C. White,,,,,10.0,,,,,,,,,,,,,,
