actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
15,PT11M15.00S,2022-01-13T03:15:18.2Z,1,REGULAR,foul,personal,[],1628035,,,1610612751,0,0,2022-01-13T03:15:25Z,150000,,,0,,A. McKinnie personal FOUL (1 PF),"[1628035, 201142]",1610612741.0,CHI,,,,McKinnie,A. McKinnie,,,,,,,,,,,,,,202026.0,1.0,0.0,Durant,201142.0,,,,,,
17,PT11M01.00S,2022-01-13T03:15:44.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630549,93.9060446780552,54.166666666666664,1610612751,0,0,2022-01-13T03:15:52Z,170000,21.0,5.0,1,right,MISS D. Sharpe Layup - blocked,"[1630549, 202696]",1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,2.13,Missed,,,,,,,,,,,,,Vucevic,202696.0,,,,
18,PT11M01.00S,2022-01-13T03:15:44.8Z,1,REGULAR,block,,[],202696,,,1610612751,0,0,2022-01-13T03:15:47Z,180000,,,0,,N. Vucevic BLOCK (1 BLK),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M59.00S,2022-01-13T03:15:46.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2022-01-13T03:15:52Z,190000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M47.00S,2022-01-13T03:15:58.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,5.075558475689881,54.166666666666664,1610612741,2,0,2022-01-13T03:16:06Z,200000,-21.0,-5.0,1,left,D. DeRozan Layup (2 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,2.13,Made,,,,,,,,,,,,,,,2.0,,,
21,PT10M33.00S,2022-01-13T03:16:13.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,87.99277266754271,50.98039215686274,1610612751,2,0,2022-01-13T03:17:09Z,210000,5.0,60.0,1,right,MISS K. Irving 6' fadeaway Shot,[202681],1610612751.0,BKN,fadeaway,,,Irving,K. Irving,,,,,6.06,Missed,,,,,,,,,,,,,,,,,,
22,PT10M33.00S,2022-01-13T03:16:13.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,0,2022-01-13T03:16:25Z,220000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT10M19.00S,2022-01-13T03:16:27.5Z,1,REGULAR,3pt,Jump Shot,[],1628366,30.56833114323259,29.166666666666668,1610612741,5,0,2022-01-13T03:16:55Z,230000,104.0,235.0,1,left,L. Ball 25' 3PT  (3 PTS) (Z. LaVine 1 AST),"[1628366, 203897]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,25.69,Made,,,,,,,,,,,,,,,3.0,Z. LaVine,203897.0,1.0
25,PT10M03.00S,2022-01-13T03:16:42.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201142,93.24901445466492,50.49019607843137,1610612751,5,2,2022-01-13T03:16:50Z,250000,2.0,11.0,1,right,K. Durant driving DUNK (2 PTS) (K. Irving 1 AST),"[201142, 202681]",1610612751.0,BKN,driving,,,Durant,K. Durant,,,,,1.13,Made,,,,,,,,,,,,,,,2.0,K. Irving,202681.0,1.0
28,PT09M48.00S,2022-01-13T03:16:57.1Z,1,REGULAR,2pt,Jump Shot,[],201942,24.392247043363994,30.637254901960787,1610612741,7,2,2022-01-13T03:17:02Z,270000,97.0,177.0,1,left,D. DeRozan 20' Jump Shot (4 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,20.16,Made,,,,,,,,,,,,,,,4.0,,,
29,PT09M35.00S,2022-01-13T03:17:10.8Z,1,REGULAR,3pt,Jump Shot,[],1630556,67.62483574244416,44.11764705882353,1610612751,7,5,2022-01-13T03:17:15Z,280000,-29.0,252.0,1,right,K. Edwards 25' 3PT  (3 PTS) (J. Harden 1 AST),"[1630556, 201935]",1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,25.35,Made,,,,,,,,,,,,,,,3.0,J. Harden,201935.0,1.0
31,PT09M17.00S,2022-01-13T03:17:28.4Z,1,REGULAR,3pt,Jump Shot,[],1628035,3.4986859395532193,96.07843137254902,1610612741,7,5,2022-01-13T03:17:34Z,300000,-230.0,-20.0,1,left,MISS A. McKinnie 3PT,[1628035],1610612741.0,CHI,,,,McKinnie,A. McKinnie,,,,,23.12,Missed,,,,,,,,,,,,,,,,,,
32,PT09M14.00S,2022-01-13T03:17:31.9Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,7,5,2022-01-13T03:17:31Z,310000,,,0,,D. Sharpe REBOUND (Off:0 Def:2),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,,,
33,PT09M06.00S,2022-01-13T03:17:39.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630549,94.1688567674113,50.0,1610612751,7,7,2022-01-13T03:17:43Z,320000,0.0,2.0,1,right,D. Sharpe alley-oop Layup (2 PTS) (K. Durant 1 AST),"[1630549, 201142]",1610612751.0,BKN,alley-oop,,,Sharpe,D. Sharpe,,,,,0.23,Made,,,,,,,,,,,,,,,2.0,K. Durant,201142.0,1.0
35,PT08M51.00S,2022-01-13T03:17:55.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,10.200394218134035,34.068627450980394,1610612741,9,7,2022-01-13T03:18:00Z,340000,80.0,43.0,1,left,N. Vucevic 9' turnaround Hook (2 PTS),[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,9.08,Made,,,,,,,,,,,,,,,2.0,,,
36,PT08M37.00S,2022-01-13T03:18:08.8Z,1,REGULAR,3pt,Jump Shot,[],1630556,68.54467805519053,64.70588235294117,1610612751,9,7,2022-01-13T03:18:27Z,350000,74.0,243.0,1,right,MISS K. Edwards 25' 3PT,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,25.41,Missed,,,,,,,,,,,,,,,,,,
37,PT08M37.00S,2022-01-13T03:18:08.8Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,9,7,2022-01-13T03:18:27Z,360000,,,0,,D. Sharpe REBOUND (Off:1 Def:2),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,36.0,3.0,2.0,1.0,,,,,,,,,,,,,,
47,PT08M37.00S,2022-01-13T03:18:21.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630549,94.56307490144546,50.73529411764706,1610612751,9,9,2022-01-13T03:18:57Z,362500,4.0,-1.0,1,right,D. Sharpe tip Layup (4 PTS),[1630549],1610612751.0,BKN,tip,,,Sharpe,D. Sharpe,,,,,0.4,Made,,,,,,,,,,,,,,,4.0,,,
38,PT08M13.00S,2022-01-13T03:18:33.7Z,1,REGULAR,turnover,bad pass,[],1628035,,,1610612741,9,9,2022-01-13T03:19:12Z,370000,,,0,,A. McKinnie bad pass TURNOVER (1 TO),"[1628035, 201142]",1610612741.0,CHI,,,,McKinnie,A. McKinnie,,,,,,,,,,,1.0,Durant,201142.0,,,,,,,,,,,
39,PT08M13.00S,2022-01-13T03:18:33.7Z,1,REGULAR,steal,,[],201142,,,1610612751,9,9,2022-01-13T03:18:35Z,380000,,,0,,K. Durant STEAL (1 STL),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M05.00S,2022-01-13T03:18:40.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201935,93.51182654402102,50.73529411764706,1610612751,9,9,2022-01-13T03:20:48Z,390000,4.0,8.0,1,right,MISS J. Harden driving Layup,[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,0.93,Missed,,,,,,,,,,,,,,,,,,
41,PT08M02.00S,2022-01-13T03:18:43.9Z,1,REGULAR,rebound,defensive,[],1628366,,,1610612741,9,9,2022-01-13T03:20:48Z,400000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,
42,PT07M59.00S,2022-01-13T03:18:47.0Z,1,REGULAR,turnover,lost ball,[],203897,,,1610612741,9,9,2022-01-13T03:21:20Z,410000,,,0,,Z. LaVine lost ball TURNOVER (1 TO),"[203897, 1630556]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,1.0,Edwards,1630556.0,,,,,,,,,,,
43,PT07M59.00S,2022-01-13T03:18:47.0Z,1,REGULAR,steal,,[],1630556,,,1610612751,9,9,2022-01-13T03:18:48Z,420000,,,0,,K. Edwards STEAL (1 STL),[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M54.00S,2022-01-13T03:18:51.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630556,94.03745072273325,50.0,1610612751,9,11,2022-01-13T03:22:27Z,430000,0.0,4.0,1,right,K. Edwards alley-oop DUNK (5 PTS) (J. Harden 2 AST),"[1630556, 201935]",1610612751.0,BKN,alley-oop,,,Edwards,K. Edwards,,,,,0.35,Made,,,,,,,,,,,,,,,5.0,J. Harden,201935.0,2.0
48,PT07M36.00S,2022-01-13T03:19:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,6.389618922470433,50.49019607843137,1610612741,11,11,2022-01-13T03:23:14Z,450000,-2.0,8.0,1,left,Z. LaVine alley-oop Layup (2 PTS) (D. DeRozan 1 AST),"[203897, 201942]",1610612741.0,CHI,alley-oop,,,LaVine,Z. LaVine,,,,,0.8,Made,,,,,,,,,,,,,,,2.0,D. DeRozan,201942.0,1.0
50,PT07M19.00S,2022-01-13T03:19:26.7Z,1,REGULAR,turnover,bad pass,[],1630549,,,1610612751,11,11,2022-01-13T03:19:38Z,470000,,,0,,D. Sharpe bad pass TURNOVER (1 TO),"[1630549, 1628366]",1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,1.0,Ball,1628366.0,,,,,,,,,,,
51,PT07M19.00S,2022-01-13T03:19:26.7Z,1,REGULAR,steal,,[],1628366,,,1610612741,11,11,2022-01-13T03:19:32Z,480000,,,0,,L. Ball STEAL (1 STL),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M15.00S,2022-01-13T03:19:33.1Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203897,6.652431011826544,51.9607843137255,1610612741,13,11,2022-01-13T03:19:49Z,490000,-10.0,10.0,1,left,Z. LaVine alley-oop DUNK (4 PTS) (L. Ball 1 AST),"[203897, 1628366]",1610612741.0,CHI,alley-oop,,,LaVine,Z. LaVine,,,,,1.4,Made,,,,,,,,,,,,,,,4.0,L. Ball,1628366.0,1.0
54,PT06M55.00S,2022-01-13T03:19:50.9Z,1,REGULAR,3pt,Jump Shot,[],201935,93.9060446780552,99.26470588235294,1610612751,13,14,2022-01-13T03:19:55Z,510000,246.0,5.0,1,right,J. Harden 24' 3PT  (3 PTS) (K. Irving 2 AST),"[201935, 202681]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,24.63,Made,,,,,,,,,,,,,,,3.0,K. Irving,202681.0,2.0
56,PT06M45.00S,2022-01-13T03:20:00.9Z,1,REGULAR,2pt,Jump Shot,[],201942,25.57490144546649,46.81372549019608,1610612741,15,14,2022-01-13T03:24:11Z,530000,16.0,188.0,1,left,D. DeRozan 18' pullup Jump Shot (6 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,18.86,Made,,,,,,,,,,,,,,,6.0,,,
57,PT06M45.00S,2022-01-13T03:20:07.6Z,1,REGULAR,foul,personal,['1freethrow'],1630549,,,1610612741,15,14,2022-01-13T03:20:12Z,540000,,,0,,D. Sharpe shooting personal FOUL (1 PF) (DeRozan 1 FT),"[1630549, 201942]",1610612751.0,BKN,shooting,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,1626301.0,1.0,0.0,DeRozan,201942.0,,,,,,
59,PT06M45.00S,2022-01-13T03:20:30.2Z,1,REGULAR,freethrow,1 of 1,[],201942,,,1610612741,16,14,2022-01-13T03:20:30Z,560000,,,0,,D. DeRozan Free Throw 1 of 1 (7 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Made,,,,,,,,,,,,,,,7.0,,,
60,PT06M33.00S,2022-01-13T03:20:45.0Z,1,REGULAR,turnover,out-of-bounds,[],202681,,,1610612751,16,14,2022-01-13T03:20:50Z,570000,,,0,,K. Irving bad pass out-of-bounds TURNOVER (1 TO),[202681],1610612751.0,BKN,bad pass,,,Irving,K. Irving,,,,,,,,,,,1.0,,,1626301.0,,,,,,,,,,
61,PT06M19.00S,2022-01-13T03:21:07.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202696,11.777266754270697,49.01960784313725,1610612741,18,14,2022-01-13T03:21:11Z,580000,5.0,58.0,1,left,N. Vucevic floating Jump Shot (4 PTS) (L. Ball 2 AST),"[202696, 1628366]",1610612741.0,CHI,floating,,,Vucevic,N. Vucevic,,,,,5.84,Made,,,,,,,,,,,,,,,4.0,L. Ball,1628366.0,2.0
63,PT06M07.00S,2022-01-13T03:21:19.2Z,1,REGULAR,3pt,Jump Shot,[],1630556,94.43166885676742,2.696078431372549,1610612751,18,14,2022-01-13T03:21:31Z,600000,-237.0,0.0,1,right,MISS K. Edwards 3PT,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,23.65,Missed,,,,,,,,,,,,,,,,,,
64,PT06M03.00S,2022-01-13T03:21:23.2Z,1,REGULAR,rebound,defensive,[],1628035,,,1610612741,18,14,2022-01-13T03:21:31Z,610000,,,0,,A. McKinnie REBOUND (Off:0 Def:1),[1628035],1610612741.0,CHI,,,,McKinnie,A. McKinnie,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,,,
65,PT05M56.00S,2022-01-13T03:21:30.4Z,1,REGULAR,3pt,Jump Shot,[],1628035,6.521024967148489,3.9215686274509802,1610612741,18,14,2022-01-13T03:21:35Z,620000,230.0,9.0,1,left,MISS A. McKinnie 3PT,[1628035],1610612741.0,CHI,,,,McKinnie,A. McKinnie,,,,,23.06,Missed,,,,,,,,,,,,,,,,,,
66,PT05M53.00S,2022-01-13T03:21:33.4Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,18,14,2022-01-13T03:21:35Z,630000,,,0,,D. Sharpe REBOUND (Off:1 Def:3),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,65.0,4.0,3.0,1.0,,,,,,,,,,,,,,
67,PT05M40.00S,2022-01-13T03:21:48.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,92.85479632063075,46.81372549019608,1610612751,18,14,2022-01-13T03:21:53Z,640000,-16.0,15.0,1,right,MISS J. Harden driving Layup - blocked,"[201935, 203897]",1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,2.17,Missed,,,,,,,,,,,,,LaVine,203897.0,,,,
68,PT05M40.00S,2022-01-13T03:21:48.4Z,1,REGULAR,block,,[],203897,,,1610612751,18,14,2022-01-13T03:21:51Z,650000,,,0,,Z. LaVine BLOCK (1 BLK),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M40.00S,2022-01-13T03:21:48.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,18,14,2022-01-13T03:21:53Z,660000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,
70,PT05M40.00S,2022-01-13T03:21:53.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,18,14,2022-01-13T03:21:53Z,670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M40.00S,2022-01-13T03:21:54.5Z,1,REGULAR,substitution,out,[],1628366,,,1610612751,18,14,2022-01-13T03:22:16Z,680000,,,0,,SUB out: L. Ball,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M40.00S,2022-01-13T03:21:54.5Z,1,REGULAR,substitution,out,[],201942,,,1610612751,18,14,2022-01-13T03:22:16Z,690000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M40.00S,2022-01-13T03:21:54.5Z,1,REGULAR,substitution,out,[],202681,,,1610612751,18,14,2022-01-13T03:22:16Z,700000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M40.00S,2022-01-13T03:21:54.5Z,1,REGULAR,substitution,out,[],1630556,,,1610612751,18,14,2022-01-13T03:22:16Z,710000,,,0,,SUB out: K. Edwards,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M40.00S,2022-01-13T03:21:54.5Z,1,REGULAR,substitution,in,[],1629632,,,1610612751,18,14,2022-01-13T03:22:16Z,720000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M40.00S,2022-01-13T03:21:54.5Z,1,REGULAR,substitution,in,[],1630245,,,1610612751,18,14,2022-01-13T03:22:16Z,730000,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M40.00S,2022-01-13T03:21:54.5Z,1,REGULAR,substitution,in,[],201988,,,1610612751,18,14,2022-01-13T03:22:16Z,740000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M40.00S,2022-01-13T03:21:54.5Z,1,REGULAR,substitution,in,[],1627761,,,1610612751,18,14,2022-01-13T03:22:16Z,750000,,,0,,SUB in: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M32.00S,2022-01-13T03:22:37.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630549,94.43166885676742,50.0,1610612751,18,16,2022-01-13T03:22:42Z,760000,0.0,0.0,1,right,D. Sharpe cutting DUNK (6 PTS) (K. Durant 2 AST),"[1630549, 201142]",1610612751.0,BKN,cutting,,,Sharpe,D. Sharpe,,,,,0.02,Made,,,,,,,,,,,,,,,6.0,K. Durant,201142.0,2.0
81,PT05M22.00S,2022-01-13T03:22:49.7Z,1,REGULAR,foul,personal,['2freethrow'],1630549,,,1610612741,18,16,2022-01-13T03:22:56Z,780000,,,0,,D. Sharpe shooting personal FOUL (2 PF) (LaVine 2 FT),"[1630549, 203897]",1610612751.0,BKN,shooting,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,1626301.0,2.0,0.0,LaVine,203897.0,,,,,,
83,PT05M22.00S,2022-01-13T03:23:21.0Z,1,REGULAR,freethrow,1 of 2,[],203897,,,1610612741,19,16,2022-01-13T03:23:21Z,800000,,,0,,Z. LaVine Free Throw 1 of 2 (5 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,Made,,,,,,,,,,,,,,,5.0,,,
84,PT05M22.00S,2022-01-13T03:23:36.4Z,1,REGULAR,freethrow,2 of 2,[],203897,,,1610612741,20,16,2022-01-13T03:23:36Z,810000,,,0,,Z. LaVine Free Throw 2 of 2 (6 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,Made,,,,,,,,,,,,,,,6.0,,,
85,PT05M06.00S,2022-01-13T03:23:59.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627761,93.77463863337714,55.63725490196079,1610612751,20,18,2022-01-13T03:24:06Z,820000,28.0,6.0,1,right,D. Bembry driving Layup (2 PTS) (P. Mills 1 AST),"[1627761, 201988]",1610612751.0,BKN,driving,,,Bembry,D. Bembry,,,,,2.88,Made,,,,,,,,,,,,,,,2.0,P. Mills,201988.0,1.0
87,PT05M06.00S,2022-01-13T03:24:02.6Z,1,REGULAR,foul,personal,['1freethrow'],1629632,,,1610612751,20,18,2022-01-13T03:24:30Z,840000,,,0,,C. White shooting personal FOUL (1 PF) (Bembry 1 FT),"[1629632, 1627761]",1610612741.0,CHI,shooting,,,White,C. White,,,,,,,,,,,,,,1626301.0,1.0,0.0,Bembry,1627761.0,,,,,,
89,PT05M06.00S,2022-01-13T03:24:09.4Z,1,REGULAR,substitution,out,[],1630549,,,1610612751,20,18,2022-01-13T03:24:16Z,860000,,,0,,SUB out: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M06.00S,2022-01-13T03:24:09.4Z,1,REGULAR,substitution,in,[],201933,,,1610612751,20,18,2022-01-13T03:24:16Z,870000,,,0,,SUB in: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M06.00S,2022-01-13T03:24:39.7Z,1,REGULAR,freethrow,1 of 1,[],1627761,,,1610612751,20,19,2022-01-13T03:24:39Z,880000,,,0,,D. Bembry Free Throw 1 of 1 (3 PTS),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,Made,,,,,,,,,,,,,,,3.0,,,
92,PT04M52.00S,2022-01-13T03:24:55.4Z,1,REGULAR,3pt,Jump Shot,[],1628035,3.892904073587385,96.56862745098039,1610612741,23,19,2022-01-13T03:25:00Z,890000,-233.0,-16.0,1,left,A. McKinnie 3PT  (3 PTS) (N. Vucevic 1 AST),"[1628035, 202696]",1610612741.0,CHI,,,,McKinnie,A. McKinnie,,,,,23.33,Made,,,,,,,,,,,,,,,3.0,N. Vucevic,202696.0,1.0
94,PT04M40.00S,2022-01-13T03:25:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,94.30026281208936,49.754901960784316,1610612751,23,21,2022-01-13T03:25:12Z,910000,-1.0,1.0,1,right,J. Harden driving Layup (5 PTS),[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,0.16,Made,,,,,,,,,,,,,,,5.0,,,
