actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
88,PT04M50.00S,2022-03-13T01:23:44.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630245,6.1268068331143235,50.49019607843137,1610612741,13,14,2022-03-13T01:24:10Z,880000,-2.0,5.0,1,left,A. Dosunmu running Layup (4 PTS) (C. White 2 AST),"[1630245, 1629632]",1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,,,0.57,Made,4.0,C. White,1629632.0,2.0,,,,,,,,,,,,,
90,PT04M35.00S,2022-03-13T01:24:00.0Z,1,REGULAR,3pt,Jump Shot,[],1630596,70.12155059132719,68.38235294117648,1610612739,13,17,2022-03-13T01:24:07Z,900000,92.0,228.0,1,right,E. Mobley 24' 3PT  (11 PTS) (I. Okoro 2 AST),"[1630596, 1630171]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,24.62,Made,11.0,I. Okoro,1630171.0,2.0,,,,,,,,,,,,,
92,PT04M28.00S,2022-03-13T01:24:11.3Z,1,REGULAR,foul,personal,[],1630205,,,1610612741,13,17,2022-03-13T01:24:18Z,920000,,,0,,L. Stevens personal FOUL (1 PF),"[1630205, 1627936]",1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,202053.0,,,,,,,,,,,,,,1.0,0.0,Caruso,1627936.0,,,
94,PT04M28.00S,2022-03-13T01:24:19.0Z,1,REGULAR,substitution,out,[],1629632,,,1610612741,13,17,2022-03-13T01:24:30Z,940000,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M28.00S,2022-03-13T01:24:19.0Z,1,REGULAR,substitution,out,[],1629750,,,1610612741,13,17,2022-03-13T01:24:30Z,950000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M28.00S,2022-03-13T01:24:19.0Z,1,REGULAR,substitution,in,[],1628972,,,1610612741,13,17,2022-03-13T01:24:30Z,960000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M28.00S,2022-03-13T01:24:19.0Z,1,REGULAR,substitution,in,[],1627884,,,1610612741,13,17,2022-03-13T01:24:30Z,970000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M20.00S,2022-03-13T01:24:41.5Z,1,REGULAR,turnover,bad pass,[],1630245,,,1610612741,13,17,2022-03-13T01:24:45Z,980000,,,0,,A. Dosunmu bad pass TURNOVER (2 TO),"[1630245, 1630171]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,2.0,,,,,,,,,,,,,,,,,Okoro,1630171.0,
99,PT04M20.00S,2022-03-13T01:24:41.5Z,1,REGULAR,steal,,[],1630171,,,1610612739,13,17,2022-03-13T01:25:45Z,990000,,,0,,I. Okoro STEAL (1 STL),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M09.00S,2022-03-13T01:24:51.9Z,1,REGULAR,turnover,lost ball,[],1630171,,,1610612739,13,17,2022-03-13T01:24:59Z,1000000,,,0,,I. Okoro lost ball TURNOVER (1 TO),"[1630171, 1627936]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,1.0,,,,,,,,,,,,,,,,,Caruso,1627936.0,
101,PT04M09.00S,2022-03-13T01:24:51.9Z,1,REGULAR,steal,,[],1627936,,,1610612741,13,17,2022-03-13T01:29:11Z,1010000,,,0,,A. Caruso STEAL (1 STL),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M56.00S,2022-03-13T01:25:05.2Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,13,17,2022-03-13T01:25:12Z,1020000,,,0,,N. Vucevic bad pass TURNOVER (2 TO),"[202696, 1626224]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,2.0,,,,,,,,,,,,,,,,,Osman,1626224.0,
103,PT03M56.00S,2022-03-13T01:25:05.2Z,1,REGULAR,steal,,[],1626224,,,1610612739,13,17,2022-03-13T01:25:08Z,1030000,,,0,,C. Osman STEAL (1 STL),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M53.00S,2022-03-13T01:25:10.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630205,94.1688567674113,53.18627450980392,1610612739,13,17,2022-03-13T01:25:21Z,1040000,16.0,2.0,1,right,MISS L. Stevens running Layup - blocked,"[1630205, 1627936]",1610612739.0,CLE,running,,,Stevens,L. Stevens,,,,,,,1.61,Missed,,,,,Caruso,1627936.0,,,,,,,,,,,
105,PT03M53.00S,2022-03-13T01:25:10.5Z,1,REGULAR,block,,[],1627936,,,1610612739,13,17,2022-03-13T01:25:13Z,1050000,,,0,,A. Caruso BLOCK (1 BLK),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M53.00S,2022-03-13T01:25:10.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,13,17,2022-03-13T01:25:21Z,1060000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,104.0,,,,,,,,,,
107,PT03M53.00S,2022-03-13T01:25:15.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,13,17,2022-03-13T01:25:15Z,1070000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M53.00S,2022-03-13T01:25:18.2Z,1,REGULAR,substitution,out,[],202696,,,1610612739,13,17,2022-03-13T01:25:28Z,1080000,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M53.00S,2022-03-13T01:25:18.2Z,1,REGULAR,substitution,out,[],1630245,,,1610612739,13,17,2022-03-13T01:25:28Z,1090000,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M53.00S,2022-03-13T01:25:18.2Z,1,REGULAR,substitution,out,[],1630171,,,1610612739,13,17,2022-03-13T01:25:28Z,1100000,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M53.00S,2022-03-13T01:25:18.2Z,1,REGULAR,substitution,in,[],201942,,,1610612739,13,17,2022-03-13T01:25:28Z,1110000,,,0,,SUB in: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M53.00S,2022-03-13T01:25:18.2Z,1,REGULAR,substitution,in,[],202684,,,1610612739,13,17,2022-03-13T01:25:28Z,1120000,,,0,,SUB in: T. Thompson,[202684],1610612741.0,CHI,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M53.00S,2022-03-13T01:25:18.2Z,1,REGULAR,substitution,in,[],200765,,,1610612739,13,17,2022-03-13T01:25:28Z,1130000,,,0,,SUB in: R. Rondo,[200765],1610612739.0,CLE,,,,Rondo,R. Rondo,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M44.00S,2022-03-13T01:25:48.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630596,87.59855453350855,45.83333333333333,1610612739,13,17,2022-03-13T01:25:52Z,1140000,-21.0,64.0,1,right,MISS E. Mobley 6' Hook,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,6.74,Missed,,,,,,,,,,,,,,,,,
115,PT03M42.00S,2022-03-13T01:25:50.0Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,13,17,2022-03-13T01:25:52Z,1150000,,,0,,D. DeRozan REBOUND (Off:0 Def:2),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,114.0,2.0,2.0,0.0,,,,,,,
116,PT03M38.00S,2022-03-13T01:25:53.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627936,11.777266754270697,94.11764705882352,1610612741,16,17,2022-03-13T01:25:58Z,1160000,-221.0,58.0,1,left,A. Caruso 3PT  (3 PTS) (D. DeRozan 2 AST),"[1627936, 201942]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,22.81,Made,3.0,D. DeRozan,201942.0,2.0,,,,,,,,,,,,,
118,PT03M21.00S,2022-03-13T01:26:11.1Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,16,17,2022-03-13T01:26:17Z,1180000,,,0,,D. Garland bad pass TURNOVER (3 TO),"[1629636, 201942]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,,3.0,,,,,,,,,,,,,,,,,DeRozan,201942.0,
119,PT03M21.00S,2022-03-13T01:26:11.1Z,1,REGULAR,steal,,[],201942,,,1610612741,16,17,2022-03-13T01:26:12Z,1190000,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M15.00S,2022-03-13T01:26:16.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627884,5.206964520367937,46.568627450980394,1610612741,16,17,2022-03-13T01:26:24Z,1200000,17.0,-4.0,1,left,MISS D. Jones Jr. Layup,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,1.76,Missed,,,,,,,,,,,,,,,,,
121,PT03M11.00S,2022-03-13T01:26:20.1Z,1,REGULAR,rebound,offensive,[],201942,,,1610612741,16,17,2022-03-13T01:26:20Z,1210000,,,0,,D. DeRozan REBOUND (Off:1 Def:2),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,120.0,3.0,2.0,1.0,,,,,,,
122,PT03M11.00S,2022-03-13T01:26:20.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",201942,5.590000152587891,50.0,1610612741,18,17,2022-03-13T01:26:20Z,1220000,0.0,0.0,1,left,D. DeRozan tip Layup (2 PTS),[201942],1610612741.0,CHI,tip,,,DeRozan,D. DeRozan,,,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,
123,PT02M59.00S,2022-03-13T01:26:31.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200765,94.43166885676742,49.01960784313725,1610612739,18,19,2022-03-13T01:26:35Z,1230000,-5.0,0.0,1,right,R. Rondo driving Layup (2 PTS),[200765],1610612739.0,CLE,driving,,,Rondo,R. Rondo,,,,,,,0.49,Made,2.0,,,,,,,,,,,,,,,,
124,PT02M44.00S,2022-03-13T01:26:47.6Z,1,REGULAR,turnover,bad pass,[],201942,,,1610612741,18,19,2022-03-13T01:26:51Z,1240000,,,0,,D. DeRozan bad pass TURNOVER (3 TO),"[201942, 1629636]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,3.0,,,,,,,,,,,,,,,,,Garland,1629636.0,
125,PT02M44.00S,2022-03-13T01:26:47.6Z,1,REGULAR,steal,,[],1629636,,,1610612739,18,19,2022-03-13T01:26:49Z,1250000,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M38.00S,2022-03-13T01:26:53.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626224,95.48291721419186,94.11764705882352,1610612739,18,22,2022-03-13T01:27:00Z,1260000,221.0,-10.0,1,right,C. Osman 3PT  (3 PTS) (L. Stevens 1 AST),"[1626224, 1630205]",1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,22.08,Made,3.0,L. Stevens,1630205.0,1.0,,,,,,,,,,,,,
128,PT02M17.00S,2022-03-13T01:27:17.3Z,1,REGULAR,foul,personal,['2freethrow'],1630205,,,1610612741,18,22,2022-03-13T01:27:27Z,1280000,,,0,,L. Stevens shooting personal FOUL (2 PF) (DeRozan 2 FT),"[1630205, 201942]",1610612739.0,CLE,shooting,,,Stevens,L. Stevens,,,,,1627961.0,,,,,,,,,,,,,,2.0,0.0,DeRozan,201942.0,,,
130,PT02M17.00S,2022-03-13T01:27:30.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,18,22,2022-03-13T01:27:30Z,1300000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M17.00S,2022-03-13T01:29:47.4Z,1,REGULAR,substitution,out,[],1630596,,,1610612741,18,22,2022-03-13T01:30:06Z,1310000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M17.00S,2022-03-13T01:29:47.4Z,1,REGULAR,substitution,out,[],1630205,,,1610612741,18,22,2022-03-13T01:30:06Z,1320000,,,0,,SUB out: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M17.00S,2022-03-13T01:29:47.4Z,1,REGULAR,substitution,out,[],1629636,,,1610612741,18,22,2022-03-13T01:30:06Z,1330000,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M17.00S,2022-03-13T01:29:47.4Z,1,REGULAR,substitution,in,[],202334,,,1610612741,18,22,2022-03-13T01:30:06Z,1340000,,,0,,SUB in: E. Davis,[202334],1610612739.0,CLE,,,,Davis,E. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M17.00S,2022-03-13T01:29:47.4Z,1,REGULAR,substitution,in,[],201567,,,1610612741,18,22,2022-03-13T01:30:06Z,1350000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M17.00S,2022-03-13T01:29:47.4Z,1,REGULAR,substitution,in,[],1629731,,,1610612741,18,22,2022-03-13T01:30:06Z,1360000,,,0,,SUB in: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M17.00S,2022-03-13T01:30:36.0Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,19,22,2022-03-13T01:30:36Z,1370000,,,0,,D. DeRozan Free Throw 1 of 2 (3 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,
138,PT02M17.00S,2022-03-13T01:30:49.6Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,20,22,2022-03-13T01:30:49Z,1380000,,,0,,D. DeRozan Free Throw 2 of 2 (4 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,
139,PT01M54.00S,2022-03-13T01:31:14.3Z,1,REGULAR,3pt,Jump Shot,[],1626224,66.17936925098554,23.03921568627451,1610612739,20,22,2022-03-13T01:31:25Z,1390000,-135.0,265.0,1,right,MISS C. Osman 29' 3PT,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,29.77,Missed,,,,,,,,,,,,,,,,,
140,PT01M44.00S,2022-03-13T01:31:24.3Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612741,20,22,2022-03-13T01:31:25Z,1400000,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,139.0,1.0,1.0,0.0,,,,,,,
141,PT01M35.00S,2022-03-13T01:31:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,6.389618922470433,51.225490196078425,1610612741,22,22,2022-03-13T01:31:37Z,1410000,-6.0,8.0,1,left,D. DeRozan driving Layup (6 PTS),[201942],1610612741.0,CHI,driving,,,DeRozan,D. DeRozan,,,,,,,0.97,Made,6.0,,,,,,,,,,,,,,,,
142,PT01M10.00S,2022-03-13T01:31:57.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629731,79.71419185282524,49.50980392156863,1610612739,22,22,2022-03-13T01:32:04Z,1420000,-2.0,138.0,1,right,MISS D. Wade 13' turnaround Shot,[1629731],1610612739.0,CLE,turnaround,,,Wade,D. Wade,,,,,,,13.82,Missed,,,,,,,,,,,,,,,,,
143,PT01M04.00S,2022-03-13T01:32:03.1Z,1,REGULAR,rebound,defensive,[],202684,,,1610612741,22,22,2022-03-13T01:32:04Z,1430000,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612741.0,CHI,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,142.0,1.0,1.0,0.0,,,,,,,
144,PT00M57.00S,2022-03-13T01:32:11.6Z,1,REGULAR,foul,personal,['2freethrow'],1629731,,,1610612741,22,22,2022-03-13T01:32:40Z,1440000,,,0,,D. Wade shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1629731, 201942]",1610612739.0,CLE,shooting,,,Wade,D. Wade,,,,,202053.0,,,,,,,,,,,,,,1.0,0.0,DeRozan,201942.0,,,
146,PT00M57.00S,2022-03-13T01:32:40.8Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,23,22,2022-03-13T01:32:40Z,1460000,,,0,,D. DeRozan Free Throw 1 of 2 (7 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,
147,PT00M57.00S,2022-03-13T01:33:00.4Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,24,22,2022-03-13T01:33:00Z,1470000,,,0,,D. DeRozan Free Throw 2 of 2 (8 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,
148,PT00M48.80S,2022-03-13T01:33:09.9Z,1,REGULAR,3pt,Jump Shot,[],201567,74.45795006570303,18.137254901960784,1610612739,24,22,2022-03-13T01:33:15Z,1480000,-159.0,188.0,1,right,MISS K. Love 24' 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,24.61,Missed,,,,,,,,,,,,,,,,,
149,PT00M45.30S,2022-03-13T01:33:13.4Z,1,REGULAR,rebound,defensive,[],202684,,,1610612741,24,22,2022-03-13T01:33:15Z,1490000,,,0,,T. Thompson REBOUND (Off:0 Def:2),[202684],1610612741.0,CHI,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,148.0,2.0,2.0,0.0,,,,,,,
150,PT00M29.60S,2022-03-13T01:33:29.1Z,1,REGULAR,2pt,Jump Shot,[],201942,16.113666228646515,72.79411764705883,1610612741,24,22,2022-03-13T01:33:33Z,1500000,-114.0,99.0,1,left,MISS D. DeRozan 15' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,,,15.1,Missed,,,,,,,,,,,,,,,,,
151,PT00M26.50S,2022-03-13T01:33:32.2Z,1,REGULAR,rebound,defensive,[],202334,,,1610612739,24,22,2022-03-13T01:33:33Z,1510000,,,0,,E. Davis REBOUND (Off:0 Def:1),[202334],1610612739.0,CLE,,,,Davis,E. Davis,,,,,,,,,,,,,,,150.0,1.0,1.0,0.0,,,,,,,
152,PT00M04.30S,2022-03-13T01:33:54.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],200765,91.93495400788436,51.225490196078425,1610612739,24,22,2022-03-13T01:34:47Z,1520000,6.0,23.0,1,right,MISS R. Rondo driving Hook,[200765],1610612739.0,CLE,driving,,,Rondo,R. Rondo,,,,,,,2.41,Missed,,,,,,,,,,,,,,,,,
153,PT00M00.20S,2022-03-13T01:33:58.5Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612741,24,22,2022-03-13T01:33:58Z,1530000,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,152.0,1.0,1.0,0.0,,,,,,,
154,PT00M00.00S,2022-03-13T01:34:00.7Z,1,REGULAR,3pt,Jump Shot,[],201942,58.6892247043364,12.990196078431374,1610612741,24,22,2022-03-13T01:34:06Z,1540000,185.0,499.0,1,left,MISS D. DeRozan 53' pullup 3PT,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,,,53.24,Missed,,,,,,,,,,,,,,,,,
155,PT00M00.00S,2022-03-13T01:34:00.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,24,22,2022-03-13T01:34:06Z,1550000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,154.0,,,,,,,,,,
156,PT00M00.00S,2022-03-13T01:34:05.1Z,1,REGULAR,period,end,[],0,,,1610612741,24,22,2022-03-13T01:34:05Z,1560000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2022-03-13T01:37:01.5Z,2,REGULAR,period,start,[],0,,,1610612739,24,22,2022-03-13T01:37:01Z,1570000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT11M46.00S,2022-03-13T01:37:26.8Z,2,REGULAR,foul,personal,[],1627884,,,1610612739,24,22,2022-03-13T01:37:32Z,1580000,,,0,,D. Jones Jr. personal FOUL (1 PF),"[1627884, 1626224]",1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,202053.0,,,,,,,,,,,,,,1.0,0.0,Osman,1626224.0,,,
160,PT11M32.00S,2022-03-13T01:37:47.2Z,2,REGULAR,3pt,Jump Shot,[],200765,96.66557161629436,4.411764705882353,1610612739,24,22,2022-03-13T01:37:56Z,1600000,-228.0,-21.0,1,right,MISS R. Rondo 3PT,[200765],1610612739.0,CLE,,,,Rondo,R. Rondo,,,,,,,22.89,Missed,,,,,,,,,,,,,,,,,
161,PT11M30.00S,2022-03-13T01:37:49.2Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612741,24,22,2022-03-13T01:37:56Z,1610000,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,160.0,,,,,,,,,,
162,PT11M30.00S,2022-03-13T01:37:55.1Z,2,REGULAR,foul,personal,[],201567,,,1610612741,24,22,2022-03-13T01:38:14Z,1620000,,,0,,K. Love loose ball personal FOUL (1 PF),"[201567, 1627884]",1610612739.0,CLE,loose ball,,,Love,K. Love,,,,,2882.0,,,,,,,,,,,,,,1.0,0.0,Jones Jr.,1627884.0,,,
164,PT11M18.00S,2022-03-13T01:38:16.8Z,2,REGULAR,2pt,Jump Shot,[],201942,20.318659658344284,31.862745098039213,1610612741,26,22,2022-03-13T01:38:21Z,1640000,91.0,138.0,1,left,D. DeRozan 16' pullup Jump Shot (10 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,,,16.56,Made,10.0,,,,,,,,,,,,,,,,
165,PT11M05.00S,2022-03-13T01:38:30.1Z,2,REGULAR,turnover,lost ball,[],1626224,,,1610612739,26,22,2022-03-13T01:38:34Z,1650000,,,0,,C. Osman lost ball TURNOVER (1 TO),"[1626224, 1627936]",1610612739.0,CLE,,,,Osman,C. Osman,,,,,,1.0,,,,,,,,,,,,,,,,,Caruso,1627936.0,
166,PT11M05.00S,2022-03-13T01:38:30.1Z,2,REGULAR,steal,,[],1627936,,,1610612741,26,22,2022-03-13T01:39:22Z,1660000,,,0,,A. Caruso STEAL (2 STL),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT11M00.00S,2022-03-13T01:38:34.6Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627884,5.601182654402102,49.01960784313725,1610612741,28,22,2022-03-13T01:38:45Z,1670000,5.0,0.0,1,left,D. Jones Jr. cutting DUNK (2 PTS) (A. Caruso 1 AST),"[1627884, 1627936]",1610612741.0,CHI,cutting,,,Jones Jr.,D. Jones Jr.,,,,,,,0.49,Made,2.0,A. Caruso,1627936.0,1.0,,,,,,,,,,,,,
169,PT10M44.00S,2022-03-13T01:38:50.8Z,2,REGULAR,2pt,Jump Shot,[],201567,80.50262812089356,22.30392156862745,1610612739,28,24,2022-03-13T01:38:56Z,1690000,-138.0,131.0,1,right,K. Love 19' Jump Shot (2 PTS),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,19.05,Made,2.0,,,,,,,,,,,,,,,,
170,PT10M27.00S,2022-03-13T01:39:09.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202684,13.091327201051248,50.49019607843137,1610612741,28,24,2022-03-13T01:39:56Z,1700000,-2.0,71.0,1,left,MISS T. Thompson 7' Hook,[202684],1610612741.0,CHI,,,,Thompson,T. Thompson,,,,,,,7.06,Missed,,,,,,,,,,,,,,,,,
171,PT10M24.00S,2022-03-13T01:39:12.2Z,2,REGULAR,rebound,defensive,[],1629731,,,1610612739,28,24,2022-03-13T01:39:15Z,1710000,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,170.0,1.0,1.0,0.0,,,,,,,
172,PT10M12.00S,2022-03-13T01:39:24.3Z,2,REGULAR,3pt,Jump Shot,[],201567,94.69448094612353,4.6568627450980395,1610612739,28,24,2022-03-13T01:39:30Z,1720000,-227.0,-3.0,1,right,MISS K. Love 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,22.67,Missed,,,,,,,,,,,,,,,,,
173,PT10M10.00S,2022-03-13T01:39:26.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612741,28,24,2022-03-13T01:39:30Z,1730000,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,172.0,,,,,,,,,,
174,PT10M10.00S,2022-03-13T01:39:31.6Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,28,24,2022-03-13T01:39:31Z,1740000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT10M10.00S,2022-03-13T01:39:33.0Z,2,REGULAR,substitution,out,[],1628972,,,1610612741,28,24,2022-03-13T01:39:43Z,1750000,,,0,,SUB out: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
