actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
17,PT10M44.00S,2021-11-11T01:12:29.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,94.82588699080158,51.470588235294116,1610612742,6,4,2021-11-11T01:12:33Z,170000,7.0,-4.0,1,right,L. Doncic driving Layup (2 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,,,,,,Made,2.0,0.84,,,,,,,,,,,,,
18,PT10M23.00S,2021-11-11T01:12:50.1Z,1,REGULAR,3pt,Jump Shot,[],201942,14.668199737187912,3.6764705882352944,1610612741,6,4,2021-11-11T01:13:02Z,180000,232.0,85.0,1,left,MISS D. DeRozan 24' 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,Missed,,24.68,,,,,,,,,,,,,
19,PT10M20.00S,2021-11-11T01:12:54.1Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,6,4,2021-11-11T01:12:54Z,190000,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
20,PT10M17.00S,2021-11-11T01:12:56.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203501,81.68528252299606,93.62745098039215,1610612742,6,4,2021-11-11T01:13:06Z,200000,218.0,120.0,1,right,MISS T. Hardaway Jr. 24' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,Missed,,24.88,,,,,,,,,,,,,
21,PT10M12.00S,2021-11-11T01:13:01.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,6,4,2021-11-11T01:13:06Z,210000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,
22,PT09M58.00S,2021-11-11T01:13:15.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,7.966491458607096,55.88235294117647,1610612741,6,4,2021-11-11T01:13:19Z,220000,-29.0,22.0,1,left,MISS N. Vucevic Hook,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,Missed,,3.7,,,,,,,,,,,,,
23,PT09M54.00S,2021-11-11T01:13:19.6Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,6,4,2021-11-11T01:13:19Z,230000,,,0,,N. Vucevic REBOUND (Off:1 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,22.0,2.0,1.0,1.0,,,,,,,,,
24,PT09M54.00S,2021-11-11T01:13:18.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202696,5.590000152587891,50.0,1610612741,8,4,2021-11-11T01:14:47Z,240000,0.0,0.0,1,left,N. Vucevic putback Layup (2 PTS),[202696],1610612741.0,CHI,putback,,,Vucevic,N. Vucevic,,,,,,,,,,Made,2.0,0.0,,,,,,,,,,,,,
25,PT09M43.00S,2021-11-11T01:13:30.0Z,1,REGULAR,3pt,Jump Shot,[],1627827,96.66557161629436,3.431372549019608,1610612742,8,7,2021-11-11T01:13:35Z,250000,-233.0,-21.0,1,right,D. Finney-Smith 3PT  (3 PTS) (L. Doncic 1 AST),"[1627827, 1629029]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,Made,3.0,23.38,,,,,L. Doncic,1629029.0,1.0,,,,,,
27,PT09M37.00S,2021-11-11T01:13:46.2Z,1,REGULAR,stoppage,court clean up,[],0,,,1610612741,8,7,2021-11-11T01:13:46Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M21.00S,2021-11-11T01:14:58.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,13.222733245729303,58.82352941176471,1610612741,8,7,2021-11-11T01:15:01Z,280000,-44.0,72.0,1,left,MISS N. Vucevic 8' turnaround fadeaway Shot,[202696],1610612741.0,CHI,turnaround fadeaway,,,Vucevic,N. Vucevic,,,,,,,,,,Missed,,8.43,,,,,,,,,,,,,
29,PT09M19.00S,2021-11-11T01:15:00.1Z,1,REGULAR,rebound,defensive,[],204001,,,1610612742,8,7,2021-11-11T01:15:01Z,290000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,
30,PT09M11.00S,2021-11-11T01:15:08.1Z,1,REGULAR,3pt,Jump Shot,[],1627827,95.6143232588699,5.88235294117647,1610612742,8,7,2021-11-11T01:15:14Z,300000,-221.0,-11.0,1,right,MISS D. Finney-Smith 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,Missed,,22.09,,,,,,,,,,,,,
31,PT09M08.00S,2021-11-11T01:15:11.1Z,1,REGULAR,rebound,defensive,[],1628366,,,1610612741,8,7,2021-11-11T01:15:14Z,310000,,,0,,L. Ball REBOUND (Off:0 Def:2),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,
32,PT09M03.00S,2021-11-11T01:15:17.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628366,27.54599211563732,78.67647058823529,1610612741,11,7,2021-11-11T01:15:23Z,320000,-143.0,206.0,1,left,L. Ball 25' 3PT  (6 PTS),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,Made,6.0,25.13,,,,,,,,,,,,,
33,PT08M45.00S,2021-11-11T01:15:35.4Z,1,REGULAR,2pt,Jump Shot,[],203501,76.03482260183968,64.95098039215686,1610612742,11,7,2021-11-11T01:15:40Z,330000,75.0,173.0,1,right,MISS T. Hardaway Jr. 18' pullup Shot,[203501],1610612742.0,DAL,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,Missed,,18.83,,,,,,,,,,,,,
34,PT08M42.00S,2021-11-11T01:15:38.4Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,11,7,2021-11-11T01:15:40Z,340000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,
35,PT08M37.00S,2021-11-11T01:15:43.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629750,3.892904073587385,97.79411764705883,1610612741,11,7,2021-11-11T01:15:58Z,350000,-239.0,-16.0,1,left,MISS J. Green 3PT,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,Missed,,23.95,,,,,,,,,,,,,
36,PT08M32.00S,2021-11-11T01:15:48.0Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,11,7,2021-11-11T01:15:58Z,360000,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,
37,PT08M25.00S,2021-11-11T01:15:54.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,67.88764783180025,25.735294117647058,1610612742,11,7,2021-11-11T01:16:01Z,370000,-121.0,249.0,1,right,MISS L. Doncic 27' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,Missed,,27.73,,,,,,,,,,,,,
38,PT08M21.00S,2021-11-11T01:15:58.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,11,7,2021-11-11T01:16:01Z,380000,,,0,,N. Vucevic REBOUND (Off:1 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,37.0,3.0,2.0,1.0,,,,,,,,,
39,PT08M15.00S,2021-11-11T01:16:04.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,5.338370565045992,54.65686274509803,1610612741,13,7,2021-11-11T01:17:36Z,390000,-23.0,-2.0,1,left,N. Vucevic driving Layup (4 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,,,,,,Made,4.0,2.34,,,,,D. DeRozan,201942.0,1.0,,,,,,
41,PT07M58.00S,2021-11-11T01:16:21.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,82.86793692509855,62.254901960784316,1610612742,13,7,2021-11-11T01:19:11Z,410000,61.0,109.0,1,right,MISS L. Doncic 12' fadeaway Shot,[1629029],1610612742.0,DAL,fadeaway,,,Doncic,L. Doncic,,,,,,,,,,Missed,,12.46,,,,,,,,,,,,,
42,PT07M53.00S,2021-11-11T01:16:26.0Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,13,7,2021-11-11T01:16:29Z,420000,,,0,,D. Powell REBOUND (Off:1 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,41.0,2.0,1.0,1.0,,,,,,,,,
43,PT07M52.00S,2021-11-11T01:16:28.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629029,91.93495400788436,77.69607843137256,1610612742,13,7,2021-11-11T01:19:31Z,430000,138.0,23.0,1,right,MISS L. Doncic 14' floating Shot,[1629029],1610612742.0,DAL,floating,,,Doncic,L. Doncic,,,,,,,,,,Missed,,14.04,,,,,,,,,,,,,
44,PT07M52.00S,2021-11-11T01:16:28.3Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,13,7,2021-11-11T01:16:34Z,440000,,,0,,D. Powell REBOUND (Off:2 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,43.0,3.0,1.0,2.0,,,,,,,,,
45,PT07M48.00S,2021-11-11T01:16:31.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],204001,71.69842312746385,22.54901960784314,1610612742,13,7,2021-11-11T01:16:36Z,450000,-137.0,214.0,1,right,MISS K. Porzingis 25' 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,Missed,,25.38,,,,,,,,,,,,,
46,PT07M46.00S,2021-11-11T01:16:33.5Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,13,7,2021-11-11T01:16:36Z,460000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,
47,PT07M42.00S,2021-11-11T01:16:38.3Z,1,REGULAR,turnover,bad pass,[],203897,,,1610612741,13,7,2021-11-11T01:16:48Z,470000,,,0,,Z. LaVine bad pass TURNOVER (1 TO),"[203897, 1627827]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,1.0,Finney-Smith,1627827.0,,,
48,PT07M42.00S,2021-11-11T01:16:38.3Z,1,REGULAR,steal,,[],1627827,,,1610612742,13,7,2021-11-11T01:16:41Z,480000,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M39.00S,2021-11-11T01:16:48.7Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612742,13,7,2021-11-11T01:16:57Z,490000,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Finney-Smith 2 FT),"[201942, 1627827]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,2534.0,1.0,0.0,Finney-Smith,1627827.0,,,,,,,,,,,,,,,,
51,PT07M39.00S,2021-11-11T01:17:06.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1627827,,,1610612742,13,8,2021-11-11T01:17:06Z,510000,,,0,,D. Finney-Smith Free Throw 1 of 2 (4 PTS),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
52,PT07M39.00S,2021-11-11T01:17:12.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,13,8,2021-11-11T01:17:12Z,520000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M39.00S,2021-11-11T01:20:12.9Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1627827,,,1610612742,13,9,2021-11-11T01:20:13Z,530000,,,0,,D. Finney-Smith Free Throw 2 of 2 (5 PTS),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
54,PT07M27.00S,2021-11-11T01:20:28.7Z,1,REGULAR,3pt,Jump Shot,[],202696,31.750985545335087,61.274509803921575,1610612741,16,9,2021-11-11T01:20:36Z,540000,-56.0,246.0,1,left,N. Vucevic 25' 3PT  (7 PTS) (D. DeRozan 2 AST),"[202696, 201942]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,Made,7.0,25.24,,,,,D. DeRozan,201942.0,2.0,,,,,,
56,PT07M14.00S,2021-11-11T01:21:05.0Z,1,REGULAR,foul,personal,['2freethrow'],203897,,,1610612742,16,9,2021-11-11T01:21:29Z,560000,,,0,,Z. LaVine shooting personal FOUL (2 PF) (Hardaway Jr. 2 FT),"[203897, 203501]",1610612741.0,CHI,shooting,,,LaVine,Z. LaVine,,,,,203054.0,2.0,0.0,Hardaway Jr.,203501.0,,,,,,,,,,,,,,,,
58,PT07M14.00S,2021-11-11T01:21:12.1Z,1,REGULAR,freethrow,1 of 2,[],203501,,,1610612742,16,10,2021-11-11T01:21:12Z,580000,,,0,,T. Hardaway Jr. Free Throw 1 of 2 (1 PTS),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
59,PT07M14.00S,2021-11-11T01:21:13.4Z,1,REGULAR,substitution,out,[],204001,,,1610612742,16,10,2021-11-11T01:21:29Z,590000,,,0,,SUB out: K. Porzingis,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M14.00S,2021-11-11T01:21:13.4Z,1,REGULAR,substitution,in,[],203493,,,1610612742,16,10,2021-11-11T01:21:29Z,600000,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M14.00S,2021-11-11T01:21:31.0Z,1,REGULAR,freethrow,2 of 2,[],203501,,,1610612742,16,11,2021-11-11T01:21:31Z,610000,,,0,,T. Hardaway Jr. Free Throw 2 of 2 (2 PTS),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
62,PT07M02.00S,2021-11-11T01:21:44.4Z,1,REGULAR,foul,personal,['2freethrow'],203939,,,1610612741,16,11,2021-11-11T01:21:53Z,620000,,,0,,D. Powell shooting personal FOUL (1 PF) (DeRozan 2 FT),"[203939, 201942]",1610612742.0,DAL,shooting,,,Powell,D. Powell,,,,,203054.0,1.0,0.0,DeRozan,201942.0,,,,,,,,,,,,,,,,
64,PT07M02.00S,2021-11-11T01:22:11.7Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,17,11,2021-11-11T01:22:32Z,640000,,,0,,D. DeRozan Free Throw 1 of 2 (1 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
65,PT07M02.00S,2021-11-11T01:22:13.7Z,1,REGULAR,substitution,out,[],203501,,,1610612741,17,11,2021-11-11T01:22:16Z,650000,,,0,,SUB out: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M02.00S,2021-11-11T01:22:13.7Z,1,REGULAR,substitution,in,[],1628973,,,1610612741,17,11,2021-11-11T01:22:16Z,660000,,,0,,SUB in: J. Brunson,[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M02.00S,2021-11-11T01:22:11.7Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,17,11,2021-11-11T01:22:32Z,670000,,,0,,MISS D. DeRozan Free Throw 2 of 2,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,Missed,,,,,,,,,,,,,,,
68,PT06M59.00S,2021-11-11T01:22:14.7Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612742,17,11,2021-11-11T01:22:32Z,680000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,
70,PT06M45.00S,2021-11-11T01:22:56.8Z,1,REGULAR,foul,personal,['2freethrow'],1628366,,,1610612742,17,11,2021-11-11T01:23:16Z,700000,,,0,,L. Ball shooting personal FOUL (1 PF) (Doncic 2 FT),"[1628366, 1629029]",1610612741.0,CHI,shooting,,,Ball,L. Ball,,,,,203054.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,,,,,,,
72,PT06M45.00S,2021-11-11T01:23:17.2Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,17,12,2021-11-11T01:23:17Z,720000,,,0,,L. Doncic Free Throw 1 of 2 (3 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
73,PT06M45.00S,2021-11-11T01:23:32.8Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,17,13,2021-11-11T01:23:32Z,730000,,,0,,L. Doncic Free Throw 2 of 2 (4 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
74,PT06M22.00S,2021-11-11T01:23:57.7Z,1,REGULAR,turnover,lost ball,[],1629750,,,1610612741,17,13,2021-11-11T01:24:01Z,740000,,,0,,J. Green lost ball TURNOVER (1 TO),"[1629750, 1627827]",1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,1.0,Finney-Smith,1627827.0,,,
75,PT06M22.00S,2021-11-11T01:23:57.7Z,1,REGULAR,steal,,[],1627827,,,1610612742,17,13,2021-11-11T01:23:59Z,750000,,,0,,D. Finney-Smith STEAL (2 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M13.00S,2021-11-11T01:24:06.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203493,86.28449408672799,97.30392156862744,1610612742,17,13,2021-11-11T01:24:19Z,760000,237.0,76.0,1,right,MISS R. Bullock 24' step back 3PT,[203493],1610612742.0,DAL,step back,,,Bullock,R. Bullock,,,,,,,,,,Missed,,24.85,,,,,,,,,,,,,
77,PT06M12.00S,2021-11-11T01:24:07.6Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,17,13,2021-11-11T01:25:03Z,770000,,,0,,Z. LaVine REBOUND (Off:0 Def:2),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,76.0,2.0,2.0,0.0,,,,,,,,,
78,PT06M00.00S,2021-11-11T01:24:19.9Z,1,REGULAR,3pt,Jump Shot,[],201942,30.831143232588698,71.32352941176471,1610612741,17,13,2021-11-11T01:24:25Z,780000,-107.0,237.0,1,left,MISS D. DeRozan 26' 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,Missed,,26.01,,,,,,,,,,,,,
79,PT05M58.00S,2021-11-11T01:24:21.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,17,13,2021-11-11T01:25:28Z,790000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,78.0,2.0,2.0,0.0,,,,,,,,,
80,PT05M51.00S,2021-11-11T01:24:28.7Z,1,REGULAR,3pt,Jump Shot,[],1629029,69.33311432325887,28.921568627450984,1610612742,17,13,2021-11-11T01:24:35Z,800000,-105.0,236.0,1,right,MISS L. Doncic 25' 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,Missed,,25.83,,,,,,,,,,,,,
81,PT05M47.00S,2021-11-11T01:24:32.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,17,13,2021-11-11T01:24:35Z,810000,,,0,,N. Vucevic REBOUND (Off:1 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,80.0,4.0,3.0,1.0,,,,,,,,,
82,PT05M40.00S,2021-11-11T01:24:40.0Z,1,REGULAR,3pt,Jump Shot,[],203897,26.231931668856767,17.15686274509804,1610612741,20,13,2021-11-11T01:24:45Z,820000,164.0,194.0,1,left,Z. LaVine 25' 3PT  (3 PTS),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,Made,3.0,25.42,,,,,,,,,,,,,
83,PT05M38.00S,2021-11-11T01:24:47.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,20,13,2021-11-11T01:24:47Z,830000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M38.00S,2021-11-11T01:27:07.9Z,1,REGULAR,substitution,out,[],1628366,,,1610612742,20,13,2021-11-11T01:27:22Z,840000,,,0,,SUB out: L. Ball,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M38.00S,2021-11-11T01:27:07.9Z,1,REGULAR,substitution,out,[],201942,,,1610612742,20,13,2021-11-11T01:27:22Z,850000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M38.00S,2021-11-11T01:27:07.9Z,1,REGULAR,substitution,out,[],203939,,,1610612742,20,13,2021-11-11T01:27:22Z,860000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M38.00S,2021-11-11T01:27:07.9Z,1,REGULAR,substitution,in,[],1627936,,,1610612742,20,13,2021-11-11T01:27:22Z,870000,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
