actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
18,PT10M24.00S,2022-02-12T01:14:18.1Z,1,REGULAR,3pt,Jump Shot,[],1626157,64.73390275952694,50.73529411764706,1610612750,2,3,2022-02-12T01:14:26Z,180000,4.0,279.0,1,right,MISS K. Towns 27' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,27.9,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M22.00S,2022-02-12T01:14:20.1Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,2,3,2022-02-12T01:14:32Z,190000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:0),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,18.0,1.0,0.0,1.0,,,,,
20,PT10M13.00S,2022-02-12T01:14:30.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630162,77.87450722733246,89.4607843137255,1610612750,2,3,2022-02-12T01:15:23Z,200000,197.0,155.0,1,right,MISS A. Edwards 25' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,25.12,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M08.00S,2022-02-12T01:14:35.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,3,2022-02-12T01:14:35Z,210000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,
22,PT10M01.00S,2022-02-12T01:14:44.9Z,1,REGULAR,turnover,out-of-bounds,[],1629750,,,1610612741,2,3,2022-02-12T01:14:55Z,220000,,,0,,J. Green step out-of-bounds TURNOVER (2 TO),[1629750],1610612741.0,CHI,step,,,Green,J. Green,,,,,,,,,,,1155.0,,,,,2.0,,,,,,,,,
24,PT09M49.00S,2022-02-12T01:15:09.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630162,93.9060446780552,53.67647058823529,1610612750,2,5,2022-02-12T01:15:14Z,240000,18.0,5.0,1,right,A. Edwards driving Layup (2 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,1.9,Made,2.0,,,,,,,,,,,,,,,,,,
25,PT09M32.00S,2022-02-12T01:15:26.7Z,1,REGULAR,3pt,Jump Shot,[],1630245,7.835085413929041,3.1862745098039214,1610612741,5,5,2022-02-12T01:15:33Z,250000,234.0,21.0,1,left,A. Dosunmu 3PT  (3 PTS) (J. Green 1 AST),"[1630245, 1629750]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,23.5,Made,3.0,J. Green,1629750.0,1.0,,,,,,,,,,,,,,,
27,PT09M17.00S,2022-02-12T01:15:41.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,87.33574244415243,56.86274509803921,1610612750,5,5,2022-02-12T01:15:51Z,270000,34.0,67.0,1,right,MISS D. Russell 7' turnaround fadeaway Shot,[1626156],1610612750.0,MIN,turnaround fadeaway,,,Russell,D. Russell,,,,,7.48,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M15.00S,2022-02-12T01:15:43.6Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,5,5,2022-02-12T01:15:51Z,280000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,
29,PT09M09.00S,2022-02-12T01:15:49.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629750,5.075558475689881,40.19607843137255,1610612741,7,5,2022-02-12T01:16:00Z,290000,49.0,-5.0,1,left,J. Green cutting Layup (2 PTS) (N. Vucevic 1 AST),"[1629750, 202696]",1610612741.0,CHI,cutting,,,Green,J. Green,,,,,4.92,Made,2.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,,
31,PT08M47.00S,2022-02-12T01:16:11.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626157,94.1688567674113,50.49019607843137,1610612750,7,7,2022-02-12T01:16:26Z,310000,2.0,2.0,1,right,K. Towns driving DUNK (2 PTS) (P. Beverley 1 AST),"[1626157, 201976]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,0.34,Made,2.0,P. Beverley,201976.0,1.0,,,,,,,,,,,,,,,
33,PT08M30.00S,2022-02-12T01:16:33.3Z,1,REGULAR,foul,personal,[],201976,,,1610612741,7,7,2022-02-12T01:16:41Z,330000,,,0,,P. Beverley personal FOUL (1 PF),"[201976, 203897]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,201640.0,1.0,0.0,LaVine,203897.0,,,,,,,,,,
35,PT08M21.00S,2022-02-12T01:16:59.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,5.732588699080158,51.71568627450981,1610612741,9,7,2022-02-12T01:17:03Z,350000,-9.0,1.0,1,left,D. DeRozan driving Layup (2 PTS),[201942],1610612741.0,CHI,driving,,,DeRozan,D. DeRozan,,,,,0.87,Made,2.0,,,,,,,,,,,,,,,,,,
36,PT08M21.00S,2022-02-12T01:17:05.5Z,1,REGULAR,foul,personal,['1freethrow'],1629020,,,1610612741,9,7,2022-02-12T01:17:19Z,360000,,,0,,J. Vanderbilt shooting personal FOUL (1 PF) (DeRozan 1 FT),"[1629020, 201942]",1610612750.0,MIN,shooting,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,1155.0,1.0,0.0,DeRozan,201942.0,,,,,,,,,,
38,PT08M21.00S,2022-02-12T01:17:27.7Z,1,REGULAR,freethrow,1 of 1,[],201942,,,1610612741,10,7,2022-02-12T01:17:27Z,380000,,,0,,D. DeRozan Free Throw 1 of 1 (3 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
39,PT08M07.00S,2022-02-12T01:17:43.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,87.86136662286465,50.245098039215684,1610612750,10,9,2022-02-12T01:17:48Z,390000,1.0,62.0,1,right,K. Towns 6' driving floating Jump Shot (4 PTS) (P. Beverley 2 AST),"[1626157, 201976]",1610612750.0,MIN,driving floating,,,Towns,K. Towns,,,,,6.16,Made,4.0,P. Beverley,201976.0,2.0,,,,,,,,,,,,,,,
41,PT07M55.00S,2022-02-12T01:17:55.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,5.732588699080158,48.28431372549019,1610612741,12,9,2022-02-12T01:18:21Z,410000,9.0,1.0,1,left,N. Vucevic cutting Layup (4 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,cutting,,,Vucevic,N. Vucevic,,,,,0.87,Made,4.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,,,
43,PT07M38.00S,2022-02-12T01:18:12.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630162,94.43166885676742,49.754901960784316,1610612750,12,9,2022-02-12T01:18:16Z,430000,-1.0,0.0,1,right,MISS A. Edwards driving DUNK,[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,0.12,Missed,,,,,,,,,,,,,,,,,,,
44,PT07M36.00S,2022-02-12T01:18:14.5Z,1,REGULAR,rebound,offensive,[],201976,,,1610612750,12,9,2022-02-12T01:18:14Z,440000,,,0,,P. Beverley REBOUND (Off:1 Def:0),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,43.0,1.0,0.0,1.0,,,,,
45,PT07M32.00S,2022-02-12T01:18:19.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201976,94.82588699080158,50.98039215686274,1610612750,12,11,2022-02-12T01:18:22Z,450000,5.0,-4.0,1,right,P. Beverley driving Layup (5 PTS),[201976],1610612750.0,MIN,driving,,,Beverley,P. Beverley,,,,,0.63,Made,5.0,,,,,,,,,,,,,,,,,,
46,PT07M32.00S,2022-02-12T01:18:24.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,12,11,2022-02-12T01:18:24Z,460000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M23.00S,2022-02-12T01:21:29.8Z,1,REGULAR,3pt,Jump Shot,[],1629750,7.5722733245729295,2.696078431372549,1610612741,15,11,2022-02-12T01:21:34Z,470000,237.0,19.0,1,left,J. Green 3PT  (5 PTS) (A. Dosunmu 2 AST),"[1629750, 1630245]",1610612741.0,CHI,,,,Green,J. Green,,,,,23.72,Made,5.0,A. Dosunmu,1630245.0,2.0,,,,,,,,,,,,,,,
49,PT07M05.00S,2022-02-12T01:21:46.7Z,1,REGULAR,3pt,Jump Shot,[],201976,75.64060446780552,83.08823529411765,1610612750,15,11,2022-02-12T01:21:54Z,490000,165.0,176.0,1,right,MISS P. Beverley 24' 3PT,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,24.19,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M01.00S,2022-02-12T01:21:50.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,15,11,2022-02-12T01:21:54Z,500000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,49.0,2.0,2.0,0.0,,,,,
51,PT06M51.00S,2022-02-12T01:22:00.4Z,1,REGULAR,3pt,Jump Shot,[],1630245,23.209592641261498,87.5,1610612741,15,11,2022-02-12T01:22:05Z,510000,-188.0,166.0,1,left,MISS A. Dosunmu 25' 3PT,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,25.02,Missed,,,,,,,,,,,,,,,,,,,
52,PT06M49.00S,2022-02-12T01:22:02.4Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,15,11,2022-02-12T01:22:05Z,520000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,51.0,2.0,1.0,1.0,,,,,
53,PT06M42.00S,2022-02-12T01:22:10.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629020,94.30026281208936,49.754901960784316,1610612750,15,13,2022-02-12T01:22:16Z,530000,-1.0,1.0,1,right,J. Vanderbilt cutting DUNK (2 PTS) (D. Russell 1 AST),"[1629020, 1626156]",1610612750.0,MIN,cutting,,,Vanderbilt,J. Vanderbilt,,,,,0.16,Made,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,,
55,PT06M29.00S,2022-02-12T01:22:25.2Z,1,REGULAR,turnover,out-of-bounds,[],203897,,,1610612741,15,13,2022-02-12T01:22:32Z,550000,,,0,,Z. LaVine bad pass out-of-bounds TURNOVER (1 TO),[203897],1610612741.0,CHI,bad pass,,,LaVine,Z. LaVine,,,,,,,,,,,201640.0,,,,,1.0,,,,,,,,,
56,PT06M21.00S,2022-02-12T01:22:43.5Z,1,REGULAR,violation,kicked ball,[],1630245,,,1610612750,15,13,2022-02-12T01:22:48Z,560000,,,0,,A. Dosunmu kicked ball VIOLATION,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,200833.0,,,,,,,,,,,,,,
57,PT06M09.00S,2022-02-12T01:23:15.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630162,92.46057818659659,46.07843137254902,1610612750,15,13,2022-02-12T01:23:20Z,570000,-20.0,18.0,1,right,MISS A. Edwards driving Layup,[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,2.69,Missed,,,,,,,,,,,,,,,,,,,
58,PT06M06.00S,2022-02-12T01:23:18.0Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,15,13,2022-02-12T01:23:20Z,580000,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,
59,PT06M02.00S,2022-02-12T01:23:22.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629750,4.944152431011826,48.77450980392157,1610612741,17,13,2022-02-12T01:23:29Z,590000,6.0,-6.0,1,left,J. Green cutting DUNK (7 PTS) (A. Dosunmu 3 AST),"[1629750, 1630245]",1610612741.0,CHI,cutting,,,Green,J. Green,,,,,0.86,Made,7.0,A. Dosunmu,1630245.0,3.0,,,,,,,,,,,,,,,
61,PT05M45.00S,2022-02-12T01:23:39.3Z,1,REGULAR,2pt,Jump Shot,[],1626157,71.69842312746385,50.98039215686274,1610612750,17,13,2022-02-12T01:23:44Z,610000,5.0,214.0,1,right,MISS K. Towns 21' Jump Shot,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,21.36,Missed,,,,,,,,,,,,,,,,,,,
62,PT05M42.00S,2022-02-12T01:23:41.4Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,17,13,2022-02-12T01:23:41Z,620000,,,0,,D. DeRozan REBOUND (Off:0 Def:2),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,61.0,2.0,2.0,0.0,,,,,
63,PT05M38.00S,2022-02-12T01:23:46.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629750,5.075558475689881,50.98039215686274,1610612741,19,13,2022-02-12T01:23:55Z,630000,-5.0,-5.0,1,left,J. Green cutting DUNK (9 PTS) (Z. LaVine 2 AST),"[1629750, 203897]",1610612741.0,CHI,cutting,,,Green,J. Green,,,,,0.69,Made,9.0,Z. LaVine,203897.0,2.0,,,,,,,,,,,,,,,
65,PT05M23.00S,2022-02-12T01:24:00.9Z,1,REGULAR,2pt,Jump Shot,[],1630162,72.22404730617609,41.66666666666667,1610612750,19,13,2022-02-12T01:24:54Z,650000,-42.0,209.0,1,right,MISS A. Edwards 21' step back Shot,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,21.27,Missed,,,,,,,,,,,,,,,,,,,
66,PT05M21.00S,2022-02-12T01:24:02.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,19,13,2022-02-12T01:24:07Z,660000,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,
67,PT05M21.00S,2022-02-12T01:24:09.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,19,13,2022-02-12T01:24:09Z,670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M21.00S,2022-02-12T01:24:09.7Z,1,REGULAR,substitution,out,[],201942,,,1610612741,19,13,2022-02-12T01:24:22Z,680000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M21.00S,2022-02-12T01:24:09.7Z,1,REGULAR,substitution,out,[],1630245,,,1610612741,19,13,2022-02-12T01:24:22Z,690000,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M21.00S,2022-02-12T01:24:09.7Z,1,REGULAR,substitution,out,[],1626156,,,1610612741,19,13,2022-02-12T01:24:22Z,700000,,,0,,SUB out: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M21.00S,2022-02-12T01:24:09.7Z,1,REGULAR,substitution,in,[],1628972,,,1610612741,19,13,2022-02-12T01:24:22Z,710000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M21.00S,2022-02-12T01:24:09.7Z,1,REGULAR,substitution,in,[],1629632,,,1610612741,19,13,2022-02-12T01:24:22Z,720000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M21.00S,2022-02-12T01:24:09.7Z,1,REGULAR,substitution,in,[],1627736,,,1610612741,19,13,2022-02-12T01:24:22Z,730000,,,0,,SUB in: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M11.00S,2022-02-12T01:24:32.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,10.775295663600525,49.90042892156863,1610612741,21,13,2022-02-12T01:24:40Z,740000,0.0,49.0,1,left,N. Vucevic floating Jump Shot (6 PTS) (Z. LaVine 3 AST),"[202696, 203897]",1610612741.0,CHI,floating,,,Vucevic,N. Vucevic,,,,,4.88,Made,6.0,Z. LaVine,203897.0,3.0,,,,,,,,,,,,,,,
76,PT04M45.00S,2022-02-12T01:24:57.8Z,1,REGULAR,3pt,Jump Shot,[],1627736,91.5407358738502,97.05882352941177,1610612750,21,13,2022-02-12T01:25:04Z,760000,235.0,27.0,1,right,MISS M. Beasley 3PT,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,23.68,Missed,,,,,,,,,,,,,,,,,,,
77,PT04M40.00S,2022-02-12T01:25:02.8Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612741,21,13,2022-02-12T01:25:04Z,770000,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,76.0,1.0,1.0,0.0,,,,,
78,PT04M28.00S,2022-02-12T01:25:14.9Z,1,REGULAR,3pt,Jump Shot,[],1629750,25.837713534822605,14.705882352941178,1610612741,21,13,2022-02-12T01:25:19Z,780000,176.0,190.0,1,left,MISS J. Green 25' 3PT,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,25.96,Missed,,,,,,,,,,,,,,,,,,,
79,PT04M26.00S,2022-02-12T01:25:16.9Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,21,13,2022-02-12T01:25:19Z,790000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:2),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,78.0,3.0,2.0,1.0,,,,,
80,PT04M17.00S,2022-02-12T01:25:29.0Z,1,REGULAR,foul,personal,['2freethrow'],203897,,,1610612750,21,13,2022-02-12T01:25:48Z,800000,,,0,,Z. LaVine shooting personal FOUL (1 PF) (Beverley 2 FT),"[203897, 201976]",1610612741.0,CHI,shooting,,,LaVine,Z. LaVine,,,,,,,,,,,1155.0,1.0,0.0,Beverley,201976.0,,,,,,,,,,
82,PT04M17.00S,2022-02-12T01:25:54.3Z,1,REGULAR,freethrow,1 of 2,[],201976,,,1610612750,21,14,2022-02-12T01:25:54Z,820000,,,0,,P. Beverley Free Throw 1 of 2 (6 PTS),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
83,PT04M17.00S,2022-02-12T01:25:55.3Z,1,REGULAR,substitution,out,[],1629750,,,1610612750,21,14,2022-02-12T01:26:11Z,830000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M17.00S,2022-02-12T01:25:55.3Z,1,REGULAR,substitution,out,[],1629020,,,1610612750,21,14,2022-02-12T01:26:11Z,840000,,,0,,SUB out: J. Vanderbilt,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M17.00S,2022-02-12T01:25:55.3Z,1,REGULAR,substitution,in,[],1630792,,,1610612750,21,14,2022-02-12T01:26:11Z,850000,,,0,,SUB in: M. Hill,[1630792],1610612741.0,CHI,,,,Hill,M. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M17.00S,2022-02-12T01:25:55.3Z,1,REGULAR,substitution,in,[],1630183,,,1610612750,21,14,2022-02-12T01:26:11Z,860000,,,0,,SUB in: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M17.00S,2022-02-12T01:26:12.4Z,1,REGULAR,freethrow,2 of 2,[],201976,,,1610612750,21,15,2022-02-12T01:26:12Z,870000,,,0,,P. Beverley Free Throw 2 of 2 (7 PTS),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
88,PT04M05.00S,2022-02-12T01:26:28.0Z,1,REGULAR,2pt,Jump Shot,[],202696,15.850854139290407,76.7156862745098,1610612741,23,15,2022-02-12T01:26:31Z,880000,-134.0,96.0,1,left,N. Vucevic 16' Jump Shot (8 PTS),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,16.48,Made,8.0,,,,,,,,,,,,,,,,,,
89,PT03M49.00S,2022-02-12T01:26:43.3Z,1,REGULAR,3pt,Jump Shot,[],201976,69.85873850197109,23.03921568627451,1610612750,23,15,2022-02-12T01:26:48Z,890000,-135.0,231.0,1,right,MISS P. Beverley 26' 3PT,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,26.73,Missed,,,,,,,,,,,,,,,,,,,
90,PT03M45.00S,2022-02-12T01:26:47.3Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612741,23,15,2022-02-12T01:26:48Z,900000,,,0,,T. Brown Jr. REBOUND (Off:0 Def:2),[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,89.0,2.0,2.0,0.0,,,,,
91,PT03M31.00S,2022-02-12T01:27:01.7Z,1,REGULAR,turnover,bad pass,[],1629632,,,1610612741,23,15,2022-02-12T01:27:07Z,910000,,,0,,C. White bad pass TURNOVER (1 TO),"[1629632, 1626157]",1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,1.0,,,,,Towns,1626157.0,,,
92,PT03M31.00S,2022-02-12T01:27:01.7Z,1,REGULAR,steal,,[],1626157,,,1610612750,23,15,2022-02-12T01:27:03Z,920000,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,
