actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
47,PT07M23.00S,2022-02-25T01:21:05.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629027,89.70105124835742,45.09803921568628,1610612737,11,6,2022-02-25T01:25:16Z,470000,-25.0,44.0,1,right,T. Young driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,5.06,Made,,,,,2.0,,,,,,,,,,,,,,
48,PT07M07.00S,2022-02-25T01:21:20.7Z,1,REGULAR,3pt,Jump Shot,[],201942,7.966491458607096,4.6568627450980395,1610612741,14,6,2022-02-25T01:21:35Z,480000,227.0,22.0,1,left,D. DeRozan 3PT  (10 PTS) (A. Dosunmu 1 AST),"[201942, 1630245]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,22.78,Made,,,,,10.0,,,,A. Dosunmu,1630245.0,1.0,,,,,,,,
50,PT06M56.00S,2022-02-25T01:21:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,93.64323258869908,50.49019607843137,1610612737,14,6,2022-02-25T01:22:00Z,500000,2.0,7.0,1,right,MISS C. Capela alley-oop Layup,[203991],1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,0.77,Missed,,,,,,,,,,,,,,,,,,,
51,PT06M56.00S,2022-02-25T01:21:32.7Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,14,6,2022-02-25T01:22:00Z,510000,,,0,,C. Capela REBOUND (Off:1 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,50.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
52,PT06M53.00S,2022-02-25T01:21:35.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,94.40999984741211,50.0,1610612737,14,6,2022-02-25T01:21:35Z,520000,0.0,0.0,1,right,MISS C. Capela tip Layup,[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
53,PT06M52.00S,2022-02-25T01:21:36.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,14,6,2022-02-25T01:21:36Z,530000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
54,PT06M49.00S,2022-02-25T01:21:39.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",201942,5.601182654402102,51.225490196078425,1610612741,16,6,2022-02-25T01:26:35Z,540000,-6.0,0.0,1,left,D. DeRozan running DUNK (12 PTS),[201942],1610612741.0,CHI,running,,,DeRozan,D. DeRozan,,,,,0.61,Made,,,,,12.0,,,,,,,,,,,,,,
55,PT06M34.00S,2022-02-25T01:22:04.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,92.72339027595268,50.245098039215684,1610612737,16,6,2022-02-25T01:27:30Z,550000,1.0,16.0,1,right,MISS K. Huerter driving reverse Layup - blocked,"[1628989, 202696]",1610612737.0,ATL,driving reverse,,,Huerter,K. Huerter,,,,,1.59,Missed,,,,,,,,,,,,,,,,,Vucevic,202696.0,
56,PT06M34.00S,2022-02-25T01:22:04.0Z,1,REGULAR,block,,[],202696,,,1610612737,16,6,2022-02-25T01:22:10Z,560000,,,0,,N. Vucevic BLOCK (1 BLK),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M27.00S,2022-02-25T01:22:11.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,16,6,2022-02-25T01:22:13Z,570000,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,55.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
58,PT06M25.00S,2022-02-25T01:22:12.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629750,5.863994743758213,93.87254901960785,1610612741,16,6,2022-02-25T01:22:23Z,580000,-219.0,3.0,1,left,MISS J. Green 3PT,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,21.94,Missed,,,,,,,,,,,,,,,,,,,
59,PT06M23.00S,2022-02-25T01:22:14.5Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,16,6,2022-02-25T01:22:23Z,590000,,,0,,C. Capela REBOUND (Off:1 Def:4),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,58.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
60,PT06M14.00S,2022-02-25T01:22:23.5Z,1,REGULAR,2pt,Jump Shot,[],201568,90.62089356110381,71.07843137254902,1610612737,16,6,2022-02-25T01:28:12Z,600000,105.0,36.0,1,right,MISS D. Gallinari 11' fadeaway Shot,[201568],1610612737.0,ATL,fadeaway,,,Gallinari,D. Gallinari,,,,,11.13,Missed,,,,,,,,,,,,,,,,,,,
61,PT06M13.00S,2022-02-25T01:22:24.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,16,6,2022-02-25T01:22:30Z,610000,,,0,,N. Vucevic REBOUND (Off:0 Def:4),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,60.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
62,PT06M06.00S,2022-02-25T01:22:32.3Z,1,REGULAR,3pt,Jump Shot,[],201942,3.4986859395532193,95.83333333333334,1610612741,16,6,2022-02-25T01:22:42Z,620000,-229.0,-20.0,1,left,MISS D. DeRozan 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,23.0,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M00.00S,2022-02-25T01:22:38.3Z,1,REGULAR,rebound,defensive,[],201568,,,1610612737,16,6,2022-02-25T01:22:43Z,630000,,,0,,D. Gallinari REBOUND (Off:0 Def:1),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
64,PT05M57.00S,2022-02-25T01:22:52.2Z,1,REGULAR,foul,personal,[],1630245,,,1610612737,16,6,2022-02-25T01:24:16Z,640000,,,0,,A. Dosunmu personal FOUL (1 PF),"[1630245, 1629027]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,1830.0,1.0,0.0,Young,1629027.0,,,
67,PT05M57.00S,2022-02-25T01:23:01.8Z,1,REGULAR,substitution,out,[],1629631,,,1610612737,16,6,2022-02-25T01:24:16Z,670000,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M57.00S,2022-02-25T01:23:01.8Z,1,REGULAR,substitution,in,[],203992,,,1610612737,16,6,2022-02-25T01:24:16Z,680000,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M57.00S,2022-02-25T01:23:08.6Z,1,REGULAR,substitution,out,[],201942,,,1610612737,16,6,2022-02-25T01:24:16Z,690000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M57.00S,2022-02-25T01:23:08.6Z,1,REGULAR,substitution,out,[],1629750,,,1610612737,16,6,2022-02-25T01:24:16Z,700000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M57.00S,2022-02-25T01:23:08.6Z,1,REGULAR,substitution,in,[],1627884,,,1610612737,16,6,2022-02-25T01:24:16Z,710000,,,0,,SUB in: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M57.00S,2022-02-25T01:23:08.6Z,1,REGULAR,substitution,in,[],1629632,,,1610612737,16,6,2022-02-25T01:24:16Z,720000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M53.00S,2022-02-25T01:23:53.1Z,1,REGULAR,foul,personal,[],1630245,,,1610612737,16,6,2022-02-25T01:25:56Z,740000,,,0,,A. Dosunmu personal FOUL (2 PF),"[1630245, 1629027]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,1627534.0,2.0,0.0,Young,1629027.0,,,
79,PT05M41.00S,2022-02-25T01:24:22.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,93.24901445466492,49.754901960784316,1610612737,16,6,2022-02-25T01:29:35Z,770000,-1.0,11.0,1,right,MISS T. Young driving floating bank Shot,[1629027],1610612737.0,ATL,driving floating bank,,,Young,T. Young,,,,,1.11,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M41.00S,2022-02-25T01:24:25.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,16,6,2022-02-25T01:24:25Z,780000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,
81,PT05M41.00S,2022-02-25T01:24:27.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,16,6,2022-02-25T01:24:27Z,790000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M30.00S,2022-02-25T01:24:43.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629027,93.11760840998686,46.81372549019608,1610612737,16,6,2022-02-25T01:30:25Z,800000,-16.0,12.0,1,right,MISS T. Young driving Layup,[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,2.0,Missed,,,,,,,,,,,,,,,,,,,
83,PT05M28.00S,2022-02-25T01:24:45.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,16,6,2022-02-25T01:25:39Z,810000,,,0,,N. Vucevic REBOUND (Off:0 Def:5),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,82.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
84,PT05M26.00S,2022-02-25T01:24:51.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,16,6,2022-02-25T01:24:51Z,820000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M26.00S,2022-02-25T01:24:51.7Z,1,REGULAR,substitution,out,[],1630245,,,1610612741,16,6,2022-02-25T01:25:06Z,830000,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M26.00S,2022-02-25T01:24:51.7Z,1,REGULAR,substitution,out,[],203991,,,1610612741,16,6,2022-02-25T01:25:06Z,840000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M26.00S,2022-02-25T01:24:51.7Z,1,REGULAR,substitution,in,[],1628972,,,1610612741,16,6,2022-02-25T01:25:06Z,850000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M26.00S,2022-02-25T01:24:51.7Z,1,REGULAR,substitution,in,[],1630168,,,1610612741,16,6,2022-02-25T01:25:06Z,860000,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M24.00S,2022-02-25T01:25:11.7Z,1,REGULAR,3pt,Jump Shot,[],203897,10.85742444152431,4.411764705882353,1610612741,16,6,2022-02-25T01:25:45Z,870000,228.0,50.0,1,left,MISS Z. LaVine 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,23.32,Missed,,,,,,,,,,,,,,,,,,,
