actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
27,PT09M34.00S,2022-01-12T01:13:14.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628977,93.51182654402102,49.50980392156863,1610612765,5,9,2022-01-12T01:13:23Z,270000,-2.0,8.0,1,right,H. Diallo Layup (2 PTS) (K. Hayes 2 AST),"[1628977, 1630165]",1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,0.89,Made,2.0,K. Hayes,1630165.0,2.0,,,,,,,,,,,,,,
29,PT09M33.00S,2022-01-12T01:13:19.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,5,9,2022-01-12T01:13:19Z,290000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M14.00S,2022-01-12T01:16:35.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,5,9,2022-01-12T01:16:35Z,300000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M12.00S,2022-01-12T01:16:46.3Z,1,REGULAR,3pt,Jump Shot,[],203897,27.808804204993432,79.90196078431373,1610612741,5,9,2022-01-12T01:16:52Z,310000,-150.0,209.0,1,left,MISS Z. LaVine 25' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,25.69,Missed,,,,,,,,,,,,,,,,,,
32,PT09M09.00S,2022-01-12T01:16:49.3Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,5,9,2022-01-12T01:16:52Z,320000,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,
33,PT08M53.00S,2022-01-12T01:17:05.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,80.89684625492772,50.73529411764706,1610612765,5,9,2022-01-12T01:17:22Z,330000,4.0,127.0,1,right,MISS K. Hayes 12' pullup Shot,[1630165],1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,,12.72,Missed,,,,,,,,,,,,,,,,,,
34,PT08M51.00S,2022-01-12T01:17:07.0Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,5,9,2022-01-12T01:17:22Z,340000,,,0,,I. Stewart REBOUND (Off:3 Def:0),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,33.0,3.0,0.0,3.0,,,,,,,,,,
35,PT08M51.00S,2022-01-12T01:17:11.6Z,1,REGULAR,foul,personal,['2freethrow'],1627884,,,1610612765,5,9,2022-01-12T01:17:17Z,350000,,,0,,D. Jones Jr. shooting personal FOUL (1 PF) (Stewart 2 FT),"[1627884, 1630191]",1610612741.0,CHI,shooting,,,Jones Jr.,D. Jones Jr.,,,,,1628172.0,,,,,,,,,,,1.0,0.0,Stewart,1630191.0,,,,,,
37,PT08M51.00S,2022-01-12T01:17:35.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630191,,,1610612765,5,10,2022-01-12T01:17:35Z,370000,,,0,,I. Stewart Free Throw 1 of 2 (5 PTS),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
38,PT08M51.00S,2022-01-12T01:17:36.2Z,1,REGULAR,substitution,out,[],1627884,,,1610612765,5,10,2022-01-12T01:17:40Z,380000,,,0,,SUB out: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M51.00S,2022-01-12T01:17:36.2Z,1,REGULAR,substitution,in,[],1630245,,,1610612765,5,10,2022-01-12T01:17:40Z,390000,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M51.00S,2022-01-12T01:17:54.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630191,,,1610612765,5,11,2022-01-12T01:17:54Z,400000,,,0,,I. Stewart Free Throw 2 of 2 (6 PTS),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
41,PT08M39.00S,2022-01-12T01:18:08.0Z,1,REGULAR,2pt,Jump Shot,[],203897,11.645860709592641,70.34313725490196,1610612741,5,11,2022-01-12T01:18:13Z,410000,-102.0,57.0,1,left,MISS Z. LaVine 11' step back Shot,[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,,11.66,Missed,,,,,,,,,,,,,,,,,,
42,PT08M36.00S,2022-01-12T01:18:11.0Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,5,11,2022-01-12T01:18:13Z,420000,,,0,,H. Diallo REBOUND (Off:0 Def:1),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,
43,PT08M19.00S,2022-01-12T01:18:27.2Z,1,REGULAR,3pt,Jump Shot,[],1630165,71.43561103810775,75.98039215686273,1610612765,5,11,2022-01-12T01:18:35Z,430000,130.0,216.0,1,right,MISS K. Hayes 25' 3PT,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,25.21,Missed,,,,,,,,,,,,,,,,,,
44,PT08M16.00S,2022-01-12T01:18:30.2Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,5,11,2022-01-12T01:18:35Z,440000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,
45,PT08M12.00S,2022-01-12T01:18:34.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630245,5.732588699080158,48.28431372549019,1610612741,7,11,2022-01-12T01:18:47Z,450000,9.0,1.0,1,left,A. Dosunmu cutting Layup (2 PTS) (Z. LaVine 3 AST),"[1630245, 203897]",1610612741.0,CHI,cutting,,,Dosunmu,A. Dosunmu,,,,,,0.87,Made,2.0,Z. LaVine,203897.0,3.0,,,,,,,,,,,,,,
47,PT07M57.00S,2022-01-12T01:18:49.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,82.21090670170827,51.9607843137255,1610612765,7,11,2022-01-12T01:18:56Z,470000,10.0,115.0,1,right,MISS C. Cunningham 11' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,,11.51,Missed,,,,,,,,,,,,,,,,,,
48,PT07M55.00S,2022-01-12T01:18:51.6Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,7,11,2022-01-12T01:18:51Z,480000,,,0,,I. Stewart REBOUND (Off:4 Def:0),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,47.0,4.0,0.0,4.0,,,,,,,,,,
49,PT07M48.00S,2022-01-12T01:18:59.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630165,93.64323258869908,45.588235294117645,1610612765,7,13,2022-01-12T01:19:05Z,490000,-22.0,7.0,1,right,K. Hayes driving Layup (2 PTS),[1630165],1610612765.0,DET,driving,,,Hayes,K. Hayes,,,,,,2.33,Made,2.0,,,,,,,,,,,,,,,,,
50,PT07M35.00S,2022-01-12T01:19:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,6.258212877792378,48.28431372549019,1610612741,9,13,2022-01-12T01:19:16Z,500000,9.0,6.0,1,left,D. DeRozan driving Layup (2 PTS),[201942],1610612741.0,CHI,driving,,,DeRozan,D. DeRozan,,,,,,1.07,Made,2.0,,,,,,,,,,,,,,,,,
51,PT07M21.00S,2022-01-12T01:19:25.1Z,1,REGULAR,3pt,Jump Shot,[],1628977,70.25295663600527,72.79411764705883,1610612765,9,13,2022-01-12T01:19:33Z,510000,114.0,227.0,1,right,MISS H. Diallo 25' 3PT,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,25.41,Missed,,,,,,,,,,,,,,,,,,
52,PT07M18.00S,2022-01-12T01:19:28.1Z,1,REGULAR,rebound,defensive,[],1628366,,,1610612741,9,13,2022-01-12T01:19:33Z,520000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,
53,PT07M03.00S,2022-01-12T01:19:43.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,5.995400788436268,41.911764705882355,1610612741,9,13,2022-01-12T01:19:48Z,530000,40.0,4.0,1,left,MISS N. Vucevic turnaround Shot,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,,4.06,Missed,,,,,,,,,,,,,,,,,,
54,PT07M01.00S,2022-01-12T01:19:45.0Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,9,13,2022-01-12T01:19:48Z,540000,,,0,,H. Diallo REBOUND (Off:0 Def:2),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,,
55,PT06M57.00S,2022-01-12T01:19:48.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630180,74.45795006570303,14.950980392156863,1610612765,9,13,2022-01-12T01:20:03Z,550000,-175.0,188.0,1,right,MISS S. Bey 25' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,25.67,Missed,,,,,,,,,,,,,,,,,,
56,PT06M53.00S,2022-01-12T01:19:52.9Z,1,REGULAR,rebound,defensive,[],1628366,,,1610612741,9,13,2022-01-12T01:20:03Z,560000,,,0,,L. Ball REBOUND (Off:0 Def:2),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,
57,PT06M50.00S,2022-01-12T01:19:59.4Z,1,REGULAR,foul,personal,[],1628977,,,1610612741,9,13,2022-01-12T01:20:05Z,570000,,,0,,H. Diallo personal FOUL (1 PF),"[1628977, 203897]",1610612765.0,DET,,,,Diallo,H. Diallo,,,,,1628172.0,,,,,,,,,,,1.0,0.0,LaVine,203897.0,,,,,,
59,PT06M41.00S,2022-01-12T01:20:28.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,6.521024967148489,52.20588235294118,1610612741,9,13,2022-01-12T01:20:33Z,590000,-11.0,9.0,1,left,MISS N. Vucevic Layup,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,1.41,Missed,,,,,,,,,,,,,,,,,,
60,PT06M39.00S,2022-01-12T01:20:30.2Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,9,13,2022-01-12T01:20:33Z,600000,,,0,,C. Cunningham REBOUND (Off:0 Def:3),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,59.0,3.0,3.0,0.0,,,,,,,,,,
61,PT06M36.00S,2022-01-12T01:20:34.8Z,1,REGULAR,turnover,out-of-bounds,[],1630595,,,1610612765,9,13,2022-01-12T01:20:47Z,610000,,,0,,C. Cunningham bad pass out-of-bounds TURNOVER (1 TO),[1630595],1610612765.0,DET,bad pass,,,Cunningham,C. Cunningham,,,,,1628172.0,,,,,,,,,,,,,,,1.0,,,,,
62,PT06M24.00S,2022-01-12T01:20:51.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201942,25.443495400788436,47.05882352941176,1610612741,11,13,2022-01-12T01:20:58Z,620000,15.0,187.0,1,left,D. DeRozan 18' pullup Jump Shot (4 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,,18.73,Made,4.0,,,,,,,,,,,,,,,,,
63,PT06M12.00S,2022-01-12T01:21:02.9Z,1,REGULAR,2pt,Jump Shot,[],1630165,94.82588699080158,87.74509803921569,1610612765,11,13,2022-01-12T01:21:09Z,630000,189.0,-4.0,1,right,MISS K. Hayes 18' step back Shot,[1630165],1610612765.0,DET,step back,,,Hayes,K. Hayes,,,,,,18.87,Missed,,,,,,,,,,,,,,,,,,
64,PT06M10.00S,2022-01-12T01:21:04.9Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,11,13,2022-01-12T01:21:09Z,640000,,,0,,Z. LaVine REBOUND (Off:0 Def:2),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,63.0,2.0,2.0,0.0,,,,,,,,,,
65,PT06M07.00S,2022-01-12T01:21:08.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630245,8.492115637319317,2.941176470588235,1610612741,14,13,2022-01-12T01:21:15Z,650000,235.0,27.0,1,left,A. Dosunmu 3PT  (5 PTS) (L. Ball 1 AST),"[1630245, 1628366]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,23.69,Made,5.0,L. Ball,1628366.0,1.0,,,,,,,,,,,,,,
67,PT05M57.00S,2022-01-12T01:21:26.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,14,13,2022-01-12T01:21:26Z,670000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M57.00S,2022-01-12T01:23:57.3Z,1,REGULAR,substitution,out,[],1628366,,,1610612765,14,13,2022-01-12T01:24:12Z,680000,,,0,,SUB out: L. Ball,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M57.00S,2022-01-12T01:23:57.3Z,1,REGULAR,substitution,out,[],201942,,,1610612765,14,13,2022-01-12T01:24:12Z,690000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M57.00S,2022-01-12T01:23:57.3Z,1,REGULAR,substitution,in,[],1629632,,,1610612765,14,13,2022-01-12T01:24:12Z,700000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M57.00S,2022-01-12T01:23:57.3Z,1,REGULAR,substitution,in,[],1628972,,,1610612765,14,13,2022-01-12T01:24:12Z,710000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M41.00S,2022-01-12T01:24:41.3Z,1,REGULAR,3pt,Jump Shot,[],1630180,67.62483574244416,20.588235294117645,1610612765,14,16,2022-01-12T01:24:48Z,720000,-147.0,252.0,1,right,S. Bey 29' 3PT pullup (3 PTS) (I. Stewart 1 AST),"[1630180, 1630191]",1610612765.0,DET,pullup,,,Bey,S. Bey,,,,,,29.16,Made,3.0,I. Stewart,1630191.0,1.0,,,,,,,,,,,,,,
74,PT05M15.00S,2022-01-12T01:25:06.7Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,14,16,2022-01-12T01:25:12Z,740000,,,0,,N. Vucevic bad pass TURNOVER (1 TO),"[202696, 1628977]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,1.0,Diallo,1628977.0,,,
75,PT05M15.00S,2022-01-12T01:25:06.7Z,1,REGULAR,steal,,[],1628977,,,1610612765,14,16,2022-01-12T01:25:08Z,750000,,,0,,H. Diallo STEAL (1 STL),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M11.00S,2022-01-12T01:25:10.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628977,93.77463863337714,50.98039215686274,1610612765,14,18,2022-01-12T01:25:17Z,760000,5.0,6.0,1,right,H. Diallo running DUNK (4 PTS),[1628977],1610612765.0,DET,running,,,Diallo,H. Diallo,,,,,,0.77,Made,4.0,,,,,,,,,,,,,,,,,
77,PT04M54.00S,2022-01-12T01:25:27.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,7.178055190538765,53.431372549019606,1610612741,14,18,2022-01-12T01:25:33Z,770000,-17.0,15.0,1,left,MISS C. White driving Layup,[1629632],1610612741.0,CHI,driving,,,White,C. White,,,,,,2.28,Missed,,,,,,,,,,,,,,,,,,
78,PT04M52.00S,2022-01-12T01:25:29.4Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,14,18,2022-01-12T01:25:29Z,780000,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,
79,PT04M50.00S,2022-01-12T01:25:31.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630191,94.03745072273325,50.98039215686274,1610612765,14,20,2022-01-12T01:26:14Z,790000,5.0,4.0,1,right,I. Stewart cutting DUNK (8 PTS) (H. Diallo 1 AST),"[1630191, 1628977]",1610612765.0,DET,cutting,,,Stewart,I. Stewart,,,,,,0.6,Made,8.0,H. Diallo,1628977.0,1.0,,,,,,,,,,,,,,
81,PT04M38.00S,2022-01-12T01:25:45.9Z,1,REGULAR,foul,personal,[],1630191,,,1610612741,14,20,2022-01-12T01:25:59Z,810000,,,0,,I. Stewart personal FOUL (1 PF),"[1630191, 203897]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,1193.0,,,,,,,,,,,1.0,0.0,LaVine,203897.0,,,,,,
83,PT04M33.00S,2022-01-12T01:26:07.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,18.74178712220762,49.01960784313725,1610612741,14,20,2022-01-12T01:26:15Z,830000,5.0,124.0,1,left,MISS N. Vucevic 12' pullup Shot,[202696],1610612741.0,CHI,pullup,,,Vucevic,N. Vucevic,,,,,,12.38,Missed,,,,,,,,,,,,,,,,,,
84,PT04M30.00S,2022-01-12T01:26:10.9Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,14,20,2022-01-12T01:26:15Z,840000,,,0,,I. Stewart REBOUND (Off:4 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,83.0,5.0,1.0,4.0,,,,,,,,,,
85,PT04M23.00S,2022-01-12T01:26:17.5Z,1,REGULAR,3pt,Jump Shot,[],1630191,67.09921156373193,48.529411764705884,1610612765,14,20,2022-01-12T01:26:26Z,850000,-7.0,257.0,1,right,MISS I. Stewart 25' 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,25.69,Missed,,,,,,,,,,,,,,,,,,
86,PT04M18.00S,2022-01-12T01:26:22.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,14,20,2022-01-12T01:26:26Z,860000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,85.0,1.0,1.0,0.0,,,,,,,,,,
87,PT04M07.00S,2022-01-12T01:26:32.5Z,1,REGULAR,3pt,Jump Shot,[],202696,30.17411300919842,35.049019607843135,1610612741,14,20,2022-01-12T01:26:39Z,870000,75.0,231.0,1,left,MISS N. Vucevic 24' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,24.29,Missed,,,,,,,,,,,,,,,,,,
88,PT04M03.00S,2022-01-12T01:26:36.5Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,14,20,2022-01-12T01:26:39Z,880000,,,0,,H. Diallo REBOUND (Off:0 Def:3),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,,87.0,3.0,3.0,0.0,,,,,,,,,,
