actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
29,PT09M30.00S,2025-12-16T00:16:18.2Z,1,REGULAR,rebound,defensive,[],1641775,,,1610612738,5,7,2025-12-16T00:16:23Z,290000,False,,,0,,J. Walsh REBOUND (Off:0 Def:1),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Right,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,
30,PT09M12.00S,2025-12-16T00:16:35.1Z,1,REGULAR,3pt,Jump Shot,[],1630202,70.12155059132719,76.22549019607843,1610612738,8,7,2025-12-16T00:16:39Z,300000,False,131.0,228.0,1,right,P. Pritchard 26' 3PT  (5 PTS) (N. Queta 1 AST),"[1630202, 1629674]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,26.34,Made,5.0,,,,,,,,,,N. Queta,1629674.0,1.0,,,,,
32,PT08M55.00S,2025-12-16T00:16:52.3Z,1,REGULAR,3pt,Jump Shot,[],1630595,26.757555847568987,79.90196078431373,1610612765,8,10,2025-12-16T00:16:56Z,320000,False,-150.0,199.0,1,left,C. Cunningham 24' 3PT pullup (3 PTS),[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,24.89,Made,3.0,,,,,,,,,,,,,,,,,
33,PT08M37.00S,2025-12-16T00:17:10.0Z,1,REGULAR,3pt,Jump Shot,[],1630202,74.32654402102497,82.59803921568627,1610612738,11,10,2025-12-16T00:17:13Z,330000,False,163.0,189.0,1,right,P. Pritchard 24' 3PT  (8 PTS) (J. Brown 1 AST),"[1630202, 1627759]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,24.94,Made,8.0,,,,,,,,,,J. Brown,1627759.0,1.0,,,,,
35,PT08M26.00S,2025-12-16T00:17:22.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631105,5.995400788436268,50.245098039215684,1610612765,11,12,2025-12-16T00:17:25Z,350000,False,-1.0,4.0,1,left,J. Duren alley-oop DUNK (4 PTS) (C. Cunningham 2 AST),"[1631105, 1630595]",1610612765.0,DET,alley-oop,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,0.41,Made,4.0,,,,,,,,,,C. Cunningham,1630595.0,2.0,,,,,
37,PT08M01.00S,2025-12-16T00:17:45.9Z,1,REGULAR,3pt,Jump Shot,[],1641775,67.23061760840999,67.15686274509804,1610612738,14,12,2025-12-16T00:17:49Z,370000,False,86.0,256.0,1,right,J. Walsh 26' 3PT  (3 PTS) (J. Brown 2 AST),"[1641775, 1627759]",1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Right Center,26.95,Made,3.0,,,,,,,,,,J. Brown,1627759.0,2.0,,,,,
39,PT08M00.00S,2025-12-16T00:17:52.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,14,12,2025-12-16T00:17:52Z,390000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT07M52.00S,2025-12-16T00:18:46.6Z,1,REGULAR,turnover,lost ball,[],1630595,,,1610612765,14,12,2025-12-16T00:32:38Z,392500,False,,,0,,C. Cunningham lost ball TURNOVER (1 TO),"[1630595, 1641775]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,,,Walsh,1641775.0
101,PT07M52.00S,2025-12-16T00:18:46.6Z,1,REGULAR,steal,,[],1641775,,,1610612738,14,12,2025-12-16T00:32:38Z,393750,False,,,0,,J. Walsh STEAL (1 STL),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT07M47.00S,2025-12-16T00:21:35.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627759,90.88370565045992,45.588235294117645,1610612738,14,12,2025-12-16T00:32:41Z,420000,False,-22.0,33.0,1,right,MISS J. Brown running Layup - blocked,"[1627759, 1631105]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,3.99,Missed,,,,,,,,,,,,,,,Duren,1631105.0,,
146,PT07M47.00S,2025-12-16T00:21:35.0Z,1,REGULAR,block,,[],1631105,,,1610612738,14,12,2025-12-16T00:38:50Z,425000,False,,,0,,J. Duren BLOCK (1 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT07M46.00S,2025-12-16T00:21:36.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,14,12,2025-12-16T00:21:44Z,430000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,42.0,,,,,,,,,,,
45,PT07M33.00S,2025-12-16T00:22:02.8Z,1,REGULAR,3pt,Jump Shot,[],1629130,11.777266754270697,97.05882352941177,1610612765,14,12,2025-12-16T00:22:27Z,450000,False,-235.0,58.0,1,left,MISS D. Robinson 24' 3PT,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Left Corner 3,24+ Left,24.24,Missed,,,,,,,,,,,,,,,,,,
49,PT07M29.00S,2025-12-16T00:22:13.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,14,12,2025-12-16T00:22:13Z,460000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,,45.0,,,,,,,,,,,
51,PT07M24.00S,2025-12-16T00:22:30.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202699,27.677398160315374,80.14705882352942,1610612765,14,12,2025-12-16T00:22:36Z,480000,False,-151.0,208.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
52,PT07M22.00S,2025-12-16T00:22:32.2Z,1,REGULAR,rebound,offensive,[],202699,,,1610612765,14,12,2025-12-16T00:22:36Z,490000,False,,,0,,T. Harris REBOUND (Off:1 Def:0),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,,,,,,,,51.0,1.0,0.0,1.0,,,,,,,,
53,PT07M20.00S,2025-12-16T00:22:37.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202699,9.724047306176084,54.189644607843135,1610612765,14,12,2025-12-16T00:23:00Z,500000,False,-21.0,39.0,1,left,MISS T. Harris driving Layup - blocked,"[202699, 1627759]",1610612765.0,DET,driving,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,4.42,Missed,,,,,,,,,,,,,,,Brown,1627759.0,,
61,PT07M20.00S,2025-12-16T00:22:37.8Z,1,REGULAR,block,,[],1627759,,,1610612765,14,12,2025-12-16T00:23:23Z,510000,False,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M19.00S,2025-12-16T00:22:38.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,14,12,2025-12-16T00:23:00Z,520000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,53.0,,,,,,,,,,,
57,PT07M12.00S,2025-12-16T00:22:56.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641709,11.514454664914586,44.6078431372549,1610612765,14,14,2025-12-16T00:23:13Z,540000,False,27.0,56.0,1,left,A. Thompson 6' turnaround Jump Shot (2 PTS) (C. Cunningham 3 AST),"[1641709, 1630595]",1610612765.0,DET,turnaround,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,6.19,Made,2.0,,,,,,,,,,C. Cunningham,1630595.0,3.0,,,,,
59,PT07M12.00S,2025-12-16T00:23:00.5Z,1,REGULAR,foul,personal,['1freethrow'],1641775,,,1610612765,14,14,2025-12-16T00:23:06Z,560000,False,,,0,,J. Walsh shooting personal FOUL (1 PF) (Thompson 1 FT),"[1641775, 1641709]",1610612738.0,BOS,shooting,,,Walsh,J. Walsh,,,,,In The Paint (Non-RA),0-8 Center,,,,202007.0,1.0,0.0,Thompson,1641709.0,,,,,,,,,,,,
62,PT07M12.00S,2025-12-16T00:23:30.9Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1641709,,,1610612765,14,14,2025-12-16T00:23:37Z,580000,False,,,0,,MISS A. Thompson Free Throw 1 of 1,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
63,PT07M11.00S,2025-12-16T00:23:31.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,14,14,2025-12-16T00:23:37Z,590000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,
64,PT07M11.00S,2025-12-16T00:23:36.2Z,1,REGULAR,foul,personal,[],1641775,,,1610612765,14,14,2025-12-16T00:23:45Z,600000,False,,,0,,J. Walsh loose ball personal FOUL (2 PF),"[1641775, 1631105]",1610612738.0,BOS,loose ball,,,Walsh,J. Walsh,,,,,In The Paint (Non-RA),0-8 Center,,,,200833.0,2.0,0.0,Duren,1631105.0,,,,,,,,,,,,
66,PT07M11.00S,2025-12-16T00:23:53.5Z,1,REGULAR,substitution,out,[],1641775,,,1610612765,14,14,2025-12-16T00:23:55Z,620000,False,,,0,,SUB out: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M11.00S,2025-12-16T00:23:53.5Z,1,REGULAR,substitution,in,[],1642864,,,1610612765,14,14,2025-12-16T00:23:55Z,630000,False,,,0,,SUB in: H. González,[1642864],1610612738.0,BOS,,,,González,H. González,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M59.00S,2025-12-16T00:24:20.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630595,31.61957950065703,28.186274509803923,1610612765,14,17,2025-12-16T00:29:09Z,640000,False,109.0,245.0,1,left,C. Cunningham 26' 3PT step back (6 PTS),[1630595],1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,26.79,Made,6.0,,,,,,,,,,,,,,,,,
70,PT06M42.00S,2025-12-16T00:25:28.5Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,14,17,2025-12-16T00:25:31Z,660000,False,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 1631105]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,1.0,,,Duren,1631105.0
71,PT06M42.00S,2025-12-16T00:25:28.5Z,1,REGULAR,steal,,[],1631105,,,1610612765,14,17,2025-12-16T00:25:30Z,670000,False,,,0,,J. Duren STEAL (1 STL),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
72,PT06M40.00S,2025-12-16T00:25:31.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202699,6.1268068331143235,50.98039215686274,1610612765,14,19,2025-12-16T00:25:39Z,680000,False,-5.0,5.0,1,left,T. Harris running DUNK (4 PTS) (C. Cunningham 4 AST),"[202699, 1630595]",1610612765.0,DET,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,0.71,Made,4.0,,,,,,,,,,C. Cunningham,1630595.0,4.0,,,,,
74,PT06M40.00S,2025-12-16T00:25:38.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,14,19,2025-12-16T00:25:38Z,700000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M40.00S,2025-12-16T00:28:10.6Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,14,19,2025-12-16T00:28:44Z,710000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M40.00S,2025-12-16T00:28:10.6Z,1,REGULAR,substitution,out,[],1629130,,,1610612738,14,19,2025-12-16T00:28:44Z,720000,False,,,0,,SUB out: D. Robinson,[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M40.00S,2025-12-16T00:28:10.6Z,1,REGULAR,substitution,in,[],1629014,,,1610612738,14,19,2025-12-16T00:28:44Z,730000,False,,,0,,SUB in: A. Simons,[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M40.00S,2025-12-16T00:28:10.6Z,1,REGULAR,substitution,in,[],1631093,,,1610612738,14,19,2025-12-16T00:28:44Z,740000,False,,,0,,SUB in: J. Ivey,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M17.00S,2025-12-16T00:29:22.2Z,1,REGULAR,2pt,Jump Shot,[],1630202,75.1149802890933,53.67647058823529,1610612738,16,19,2025-12-16T00:29:27Z,750000,False,18.0,181.0,1,right,P. Pritchard 18' fadeaway Jump Shot (10 PTS),[1630202],1610612738.0,BOS,fadeaway,,,Pritchard,P. Pritchard,,,,,Mid-Range,16-24 Center,18.23,Made,10.0,,,,,,,,,,,,,,,,,
80,PT05M51.00S,2025-12-16T00:29:48.4Z,1,REGULAR,3pt,Jump Shot,[],1630595,27.808804204993432,79.65686274509804,1610612765,16,19,2025-12-16T01:29:44Z,760000,False,-148.0,209.0,1,left,MISS C. Cunningham 25' step back 3PT,[1630595],1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,25.62,Missed,,,,,,,,,,,,,,,,,,
81,PT05M50.00S,2025-12-16T00:29:49.4Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,16,19,2025-12-16T00:29:56Z,770000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Left Center,,,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,
82,PT05M26.00S,2025-12-16T00:30:13.3Z,1,REGULAR,2pt,Jump Shot,[],1629014,88.83048620236531,30.66023284313725,1610612738,18,19,2025-12-16T00:30:21Z,780000,False,-97.0,52.0,1,right,A. Simons 11' driving floating Jump Shot (2 PTS),[1629014],1610612738.0,BOS,driving floating,,,Simons,A. Simons,,,,,Mid-Range,8-16 Left,11.0,Made,2.0,,,,,,,,,,,,,,,,,
84,PT05M14.00S,2025-12-16T00:30:36.7Z,1,REGULAR,substitution,out,[],202699,,,1610612765,18,19,2025-12-16T00:30:40Z,800000,False,,,0,,SUB out: T. Harris,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M14.00S,2025-12-16T00:30:36.7Z,1,REGULAR,substitution,in,[],1630191,,,1610612765,18,19,2025-12-16T00:30:40Z,810000,False,,,0,,SUB in: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M12.00S,2025-12-16T00:30:49.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630191,10.068988173455978,49.50980392156863,1610612765,18,19,2025-12-16T00:30:55Z,820000,False,2.0,42.0,1,left,MISS I. Stewart Hook,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,4.22,Missed,,,,,,,,,,,,,,,,,,
87,PT05M11.00S,2025-12-16T00:30:50.2Z,1,REGULAR,rebound,defensive,[],1642864,,,1610612738,18,19,2025-12-16T00:31:27Z,830000,False,,,0,,H. González REBOUND (Off:0 Def:1),[1642864],1610612738.0,BOS,,,,González,H. González,,,,,Restricted Area,0-8 Center,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,
88,PT05M00.00S,2025-12-16T00:31:01.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.06636005256242,61.274509803921575,1610612738,20,19,2025-12-16T00:31:06Z,840000,False,56.0,22.0,1,right,J. Brown 6' driving Layup (5 PTS) (P. Pritchard 1 AST),"[1627759, 1630202]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,6.06,Made,5.0,,,,,,,,,,P. Pritchard,1630202.0,1.0,,,,,
90,PT05M00.00S,2025-12-16T00:31:04.9Z,1,REGULAR,foul,personal,['1freethrow'],1630595,,,1610612738,20,19,2025-12-16T00:31:21Z,860000,False,,,0,,C. Cunningham shooting personal FOUL (1 PF) (Brown 1 FT),"[1630595, 1627759]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,202007.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,
92,PT05M00.00S,2025-12-16T00:31:17.1Z,1,REGULAR,substitution,out,[],1641709,,,1610612738,20,19,2025-12-16T00:31:27Z,880000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
