actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
31,PT09M38.00S,2026-04-10T23:44:46.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642847,91.19579500657031,41.47518382352941,1610612740,9,4,2026-04-10T23:44:54Z,310000,False,-43.0,30.0,1,right,MISS J. Fears driving reverse Layup - blocked,"[1642847, 1629674]",1610612740.0,NOP,driving reverse,,,Fears,J. Fears,,,,,In The Paint (Non-RA),0-8 Center,,5.23,Missed,,,,,,,,,,,,,,Queta,1629674.0,,
32,PT09M38.00S,2026-04-10T23:44:46.5Z,1,REGULAR,block,,[],1629674,,,1610612740,9,4,2026-04-10T23:44:48Z,320000,False,,,0,,N. Queta BLOCK (1 BLK),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M37.00S,2026-04-10T23:44:47.5Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,9,4,2026-04-10T23:44:54Z,330000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),0-8 Center,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
34,PT09M32.00S,2026-04-10T23:44:54.8Z,1,REGULAR,turnover,lost ball,[],1628401,,,1610612738,9,4,2026-04-10T23:45:06Z,340000,False,,,0,,D. White lost ball TURNOVER (1 TO),"[1628401, 1642847]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,,,,,,,,,,Fears,1642847.0
35,PT09M32.00S,2026-04-10T23:44:54.8Z,1,REGULAR,steal,,[],1642847,,,1610612740,9,4,2026-04-10T23:45:14Z,350000,False,,,0,,J. Fears STEAL (1 STL),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
36,PT09M27.00S,2026-04-10T23:44:58.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629673,63.15703022339028,56.86274509803921,1610612740,9,7,2026-04-10T23:45:12Z,360000,False,34.0,294.0,1,right,J. Poole 29' 3PT running pullup (5 PTS),[1629673],1610612740.0,NOP,running pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,,29.58,Made,,,,,5.0,,,,,,,,,,,,
38,PT09M04.00S,2026-04-10T23:45:21.1Z,1,REGULAR,3pt,Jump Shot,[],1628401,29.6484888304862,80.3921568627451,1610612738,9,7,2026-04-10T23:45:27Z,380000,False,-152.0,226.0,1,left,MISS D. White 27' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,27.25,Missed,,,,,,,,,,,,,,,,,
39,PT09M02.00S,2026-04-10T23:45:23.1Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612740,9,7,2026-04-10T23:45:27Z,390000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612740.0,NOP,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Left Center,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,
40,PT08M57.00S,2026-04-10T23:45:30.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak', 'defensivegoaltending']",1642847,91.40932982917214,52.94117647058824,1610612740,9,9,2026-04-10T23:45:40Z,400000,False,15.0,28.0,1,right,J. Fears running finger roll Layup (2 PTS) (M. Peavy 1 AST),"[1642847, 1642877]",1610612740.0,NOP,running finger roll,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,,3.19,Made,,,,,2.0,M. Peavy,1642877.0,1.0,,,,,,,,,
42,PT08M57.00S,2026-04-10T23:45:33.6Z,1,REGULAR,violation,defensive goaltending,[],1629674,,,1610612740,9,9,2026-04-10T23:45:40Z,420000,False,,,0,,N. Queta defensive goaltending VIOLATION,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,203592.0,,,,,,,,
43,PT08M40.00S,2026-04-10T23:46:01.2Z,1,REGULAR,2pt,Jump Shot,[],1627759,21.632720105124836,47.30392156862745,1610612738,9,9,2026-04-10T23:46:06Z,430000,False,13.0,151.0,1,left,MISS J. Brown 15' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,8-16 Center,,15.14,Missed,,,,,,,,,,,,,,,,,
44,PT08M38.00S,2026-04-10T23:46:03.2Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,9,9,2026-04-10T23:46:06Z,440000,False,,,0,,D. Queen REBOUND (Off:0 Def:1),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Mid-Range,8-16 Center,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,
45,PT08M24.00S,2026-04-10T23:46:16.9Z,1,REGULAR,2pt,Jump Shot,[],1642877,76.5604467805519,54.65686274509803,1610612740,9,9,2026-04-10T23:46:24Z,450000,False,23.0,168.0,1,right,MISS M. Peavy 16' step back Shot,[1642877],1610612740.0,NOP,step back,,,Peavy,M. Peavy,,,,,Mid-Range,16-24 Center,,16.94,Missed,,,,,,,,,,,,,,,,,
46,PT08M22.00S,2026-04-10T23:46:18.9Z,1,REGULAR,rebound,defensive,[],1641775,,,1610612738,9,9,2026-04-10T23:46:24Z,460000,False,,,0,,J. Walsh REBOUND (Off:0 Def:1),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Mid-Range,16-24 Center,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,
47,PT08M14.00S,2026-04-10T23:46:27.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.389618922470433,44.85294117647059,1610612738,11,9,2026-04-10T23:55:55Z,470000,False,26.0,8.0,1,left,J. Brown driving reverse Layup (2 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,driving reverse,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,2.68,Made,,,,,2.0,D. White,1628401.0,1.0,,,,,,,,,
49,PT07M52.00S,2026-04-10T23:46:49.3Z,1,REGULAR,3pt,Jump Shot,[],1629673,89.17542706964521,94.6078431372549,1610612740,11,9,2026-04-10T23:46:54Z,490000,False,223.0,49.0,1,right,MISS J. Poole 3PT,[1629673],1610612740.0,NOP,,,,Poole,J. Poole,,,,,Right Corner 3,24+ Right,,22.84,Missed,,,,,,,,,,,,,,,,,
50,PT07M51.00S,2026-04-10T23:46:50.3Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,11,9,2026-04-10T23:46:54Z,500000,False,,,0,,N. Queta REBOUND (Off:0 Def:2),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Right Corner 3,24+ Right,,,,49.0,2.0,2.0,0.0,,,,,,,,,,,,,
51,PT07M42.00S,2026-04-10T23:46:59.0Z,1,REGULAR,3pt,Jump Shot,[],1641775,21.632720105124836,91.17647058823529,1610612738,11,9,2026-04-10T23:47:05Z,510000,False,-206.0,151.0,1,left,MISS J. Walsh 25' 3PT,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Left Center,,25.52,Missed,,,,,,,,,,,,,,,,,
52,PT07M41.00S,2026-04-10T23:47:00.0Z,1,REGULAR,rebound,offensive,[],1629674,,,1610612738,11,9,2026-04-10T23:47:05Z,520000,False,,,0,,N. Queta REBOUND (Off:1 Def:2),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Left Center,,,,51.0,3.0,2.0,1.0,,,,,,,,,,,,,
53,PT07M37.00S,2026-04-10T23:47:03.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1629674,9.674770039421814,37.745098039215684,1610612738,13,9,2026-04-10T23:56:21Z,530000,False,61.0,38.0,1,left,N. Queta 7' driving Hook (2 PTS),[1629674],1610612738.0,BOS,driving,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,,7.23,Made,,,,,2.0,,,,,,,,,,,,
54,PT07M23.00S,2026-04-10T23:47:18.0Z,1,REGULAR,3pt,Jump Shot,[],1626172,67.23061760840999,39.46078431372549,1610612740,13,9,2026-04-10T23:47:23Z,540000,False,-53.0,256.0,1,right,MISS K. Looney 26' 3PT,[1626172],1610612740.0,NOP,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Center,,26.09,Missed,,,,,,,,,,,,,,,,,
55,PT07M22.00S,2026-04-10T23:47:19.0Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,13,9,2026-04-10T23:47:23Z,550000,False,,,0,,N. Queta REBOUND (Off:1 Def:3),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Center,,,,54.0,4.0,3.0,1.0,,,,,,,,,,,,,
56,PT07M00.00S,2026-04-10T23:47:40.1Z,1,REGULAR,3pt,Jump Shot,[],1630573,28.86005256241787,19.607843137254903,1610612738,16,9,2026-04-10T23:47:44Z,560000,False,152.0,219.0,1,left,S. Hauser 26' 3PT  (6 PTS) (N. Queta 2 AST),"[1630573, 1629674]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,,26.64,Made,,,,,6.0,N. Queta,1629674.0,2.0,,,,,,,,,
58,PT06M50.00S,2026-04-10T23:47:50.1Z,1,REGULAR,3pt,Jump Shot,[],1629673,71.04139290407359,22.54901960784314,1610612740,16,9,2026-04-10T23:47:55Z,580000,False,-137.0,220.0,1,right,MISS J. Poole 25' pullup 3PT,[1629673],1610612740.0,NOP,pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,25.91,Missed,,,,,,,,,,,,,,,,,
59,PT06M48.00S,2026-04-10T23:47:54.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,16,9,2026-04-10T23:47:54Z,590000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,58.0,,,,,,,,,,,,,,,,
61,PT06M48.00S,2026-04-10T23:47:56.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,16,9,2026-04-10T23:47:56Z,610000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M48.00S,2026-04-10T23:50:26.9Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,16,9,2026-04-10T23:50:50Z,620000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M48.00S,2026-04-10T23:50:26.9Z,1,REGULAR,substitution,out,[],1642877,,,1610612738,16,9,2026-04-10T23:50:50Z,630000,False,,,0,,SUB out: M. Peavy,[1642877],1610612740.0,NOP,,,,Peavy,M. Peavy,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M48.00S,2026-04-10T23:50:26.9Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,16,9,2026-04-10T23:50:50Z,640000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M48.00S,2026-04-10T23:50:26.9Z,1,REGULAR,substitution,in,[],1642490,,,1610612738,16,9,2026-04-10T23:50:50Z,650000,False,,,0,,SUB in: J. Oduro,[1642490],1610612740.0,NOP,,,,Oduro,J. Oduro,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M34.00S,2026-04-10T23:51:10.7Z,1,REGULAR,3pt,Jump Shot,[],1630202,31.750985545335087,15.441176470588236,1610612738,16,9,2026-04-10T23:51:27Z,660000,False,173.0,246.0,1,left,MISS P. Pritchard 30' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,,30.06,Missed,,,,,,,,,,,,,,,,,
67,PT06M32.00S,2026-04-10T23:51:12.7Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612740,16,9,2026-04-10T23:51:27Z,670000,False,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612740.0,NOP,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Right Center,,,,66.0,2.0,2.0,0.0,,,,,,,,,,,,,
70,PT06M04.00S,2026-04-10T23:51:40.8Z,1,REGULAR,2pt,Jump Shot,[],1642847,75.64060446780552,28.676470588235293,1610612740,16,11,2026-04-10T23:51:55Z,700000,False,-107.0,176.0,1,right,J. Fears 20' fadeaway Jump Shot (4 PTS),[1642847],1610612740.0,NOP,fadeaway,,,Fears,J. Fears,,,,,Mid-Range,16-24 Left Center,,20.62,Made,,,,,4.0,,,,,,,,,,,,
71,PT05M55.00S,2026-04-10T23:51:49.5Z,1,REGULAR,3pt,Jump Shot,[],1630573,32.53942181340342,72.30392156862744,1610612738,19,11,2026-04-10T23:51:59Z,710000,False,-112.0,253.0,1,left,S. Hauser 27' 3PT  (9 PTS) (P. Pritchard 1 AST),"[1630573, 1630202]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,27.68,Made,,,,,9.0,P. Pritchard,1630202.0,1.0,,,,,,,,,
73,PT05M36.00S,2026-04-10T23:52:08.1Z,1,REGULAR,3pt,Jump Shot,[],1642852,71.17279894875165,23.03921568627451,1610612740,19,11,2026-04-10T23:52:16Z,730000,False,-135.0,218.0,1,right,MISS D. Queen 25' 3PT,[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Above the Break 3,24+ Left Center,,25.67,Missed,,,,,,,,,,,,,,,,,
74,PT05M34.00S,2026-04-10T23:52:10.1Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,19,11,2026-04-10T23:52:16Z,740000,False,,,0,,N. Queta REBOUND (Off:1 Def:4),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Left Center,,,,73.0,5.0,4.0,1.0,,,,,,,,,,,,,
75,PT05M20.00S,2026-04-10T23:52:24.8Z,1,REGULAR,3pt,Jump Shot,[],1630573,31.882391590013142,61.274509803921575,1610612738,19,11,2026-04-10T23:52:33Z,750000,False,-56.0,247.0,1,left,MISS S. Hauser 25' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,25.36,Missed,,,,,,,,,,,,,,,,,
76,PT05M16.00S,2026-04-10T23:52:28.8Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,19,11,2026-04-10T23:52:33Z,760000,False,,,0,,D. Queen REBOUND (Off:0 Def:2),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Above the Break 3,24+ Center,,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,
77,PT05M11.00S,2026-04-10T23:52:33.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642847,92.72339027595268,42.15686274509804,1610612740,19,11,2026-04-10T23:52:45Z,770000,False,-39.0,16.0,1,right,MISS J. Fears running Layup,[1642847],1610612740.0,NOP,running,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,,4.23,Missed,,,,,,,,,,,,,,,,,
79,PT05M09.00S,2026-04-10T23:52:35.9Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,19,11,2026-04-10T23:52:45Z,790000,False,,,0,,N. Queta REBOUND (Off:1 Def:5),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,77.0,6.0,5.0,1.0,,,,,,,,,,,,,
80,PT05M05.00S,2026-04-10T23:52:48.6Z,1,REGULAR,foul,personal,[],1642490,,,1610612738,19,11,2026-04-10T23:53:23Z,800000,False,,,0,,J. Oduro personal FOUL (1 PF),"[1642490, 1629674]",1610612740.0,NOP,,,,Oduro,J. Oduro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1627963.0,1.0,0.0,Queta,1629674.0,,,,
82,PT05M05.00S,2026-04-10T23:53:10.1Z,1,REGULAR,substitution,out,[],1641775,,,1610612738,19,11,2026-04-10T23:53:21Z,820000,False,,,0,,SUB out: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M05.00S,2026-04-10T23:53:10.1Z,1,REGULAR,substitution,out,[],1630573,,,1610612738,19,11,2026-04-10T23:53:21Z,830000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M05.00S,2026-04-10T23:53:10.1Z,1,REGULAR,substitution,out,[],1629674,,,1610612738,19,11,2026-04-10T23:53:21Z,840000,False,,,0,,SUB out: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M05.00S,2026-04-10T23:53:10.1Z,1,REGULAR,substitution,out,[],1626172,,,1610612738,19,11,2026-04-10T23:53:21Z,850000,False,,,0,,SUB out: K. Looney,[1626172],1610612740.0,NOP,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M05.00S,2026-04-10T23:53:10.1Z,1,REGULAR,substitution,in,[],202696,,,1610612738,19,11,2026-04-10T23:53:21Z,860000,False,,,0,,SUB in: N. Vučević,[202696],1610612738.0,BOS,,,,Vučević,N. Vučević,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M05.00S,2026-04-10T23:53:10.1Z,1,REGULAR,substitution,in,[],1642864,,,1610612738,19,11,2026-04-10T23:53:21Z,870000,False,,,0,,SUB in: H. González,[1642864],1610612738.0,BOS,,,,González,H. González,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M05.00S,2026-04-10T23:53:10.1Z,1,REGULAR,substitution,in,[],1631248,,,1610612738,19,11,2026-04-10T23:53:21Z,880000,False,,,0,,SUB in: B. Scheierman,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M05.00S,2026-04-10T23:53:10.1Z,1,REGULAR,substitution,in,[],1630621,,,1610612738,19,11,2026-04-10T23:53:21Z,890000,False,,,0,,SUB in: H. Dickinson,[1630621],1610612740.0,NOP,,,,Dickinson,H. Dickinson,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M52.00S,2026-04-10T23:53:32.9Z,1,REGULAR,3pt,Jump Shot,[],1642864,31.488173455978973,75.73529411764706,1610612738,19,11,2026-04-10T23:53:43Z,900000,False,-129.0,243.0,1,left,MISS H. González 27' 3PT,[1642864],1610612738.0,BOS,,,,González,H. González,,,,,Above the Break 3,24+ Left Center,,27.54,Missed,,,,,,,,,,,,,,,,,
