actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
16,PT11M07.00S,2026-04-05T19:43:21.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629674,6.1268068331143235,49.754901960784316,1610612738,4,0,2026-04-05T19:44:10Z,160000,False,1.0,5.0,1,left,N. Queta cutting DUNK (2 PTS) (D. White 1 AST),"[1629674, 1628401]",1610612738.0,BOS,cutting,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,0.52,Made,2.0,,,,,,,,,D. White,1628401.0,1.0,,,,,,
18,PT10M52.00S,2026-04-05T19:43:36.1Z,1,REGULAR,3pt,Jump Shot,[],1642266,77.7431011826544,90.44117647058823,1610612761,4,0,2026-04-05T19:43:40Z,180000,False,202.0,157.0,1,right,MISS J. Walter 25' 3PT,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Above the Break 3,24+ Right Center,25.58,Missed,,,,,,,,,,,,,,,,,,
19,PT10M50.00S,2026-04-05T19:43:38.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,0,2026-04-05T19:43:40Z,190000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,18.0,,,,,2.0,2.0,0.0,,,,,,,,,
20,PT10M44.00S,2026-04-05T19:43:44.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630573,5.995400788436268,94.36274509803921,1610612738,4,0,2026-04-05T19:44:36Z,200000,False,-222.0,4.0,1,left,MISS S. Hauser running 3PT,[1630573],1610612738.0,BOS,running,,,Hauser,S. Hauser,,,,,Left Corner 3,24+ Left,22.18,Missed,,,,,,,,,,,,,,,,,,
21,PT10M41.00S,2026-04-05T19:43:47.2Z,1,REGULAR,rebound,defensive,[],1642266,,,1610612761,4,0,2026-04-05T19:43:49Z,210000,False,,,0,,J. Walter REBOUND (Off:0 Def:1),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Left Corner 3,24+ Left,,,,20.0,,,,,1.0,1.0,0.0,,,,,,,,,
22,PT10M32.00S,2026-04-05T19:43:56.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,89.70105124835742,50.98039215686274,1610612761,4,2,2026-04-05T19:44:01Z,220000,False,5.0,44.0,1,right,J. Poeltl Hook (2 PTS) (R. Barrett 1 AST),"[1627751, 1629628]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,4.46,Made,2.0,,,,,,,,,R. Barrett,1629628.0,1.0,,,,,,
24,PT10M09.00S,2026-04-05T19:44:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629674,6.258212877792378,49.754901960784316,1610612738,6,2,2026-04-05T19:44:24Z,240000,False,1.0,6.0,1,left,N. Queta cutting Layup (4 PTS) (J. Brown 1 AST),"[1629674, 1627759]",1610612738.0,BOS,cutting,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,0.64,Made,4.0,,,,,,,,,J. Brown,1627759.0,1.0,,,,,,
26,PT09M58.00S,2026-04-05T19:44:30.3Z,1,REGULAR,3pt,Jump Shot,[],1630567,67.7562417871222,27.450980392156865,1610612761,6,2,2026-04-05T19:44:36Z,260000,False,-113.0,251.0,1,right,MISS S. Barnes 27' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,27.48,Missed,,,,,,,,,,,,,,,,,,
27,PT09M55.00S,2026-04-05T19:44:33.3Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612761,6,2,2026-04-05T19:47:38Z,270000,False,,,0,,R. Barrett REBOUND (Off:1 Def:0),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,26.0,,,,,1.0,0.0,1.0,,,,,,,,,
28,PT09M54.00S,2026-04-05T19:44:34.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629628,73.40670170827858,17.15686274509804,1610612761,6,2,2026-04-05T19:44:39Z,280000,False,-164.0,197.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,25.68,Missed,,,,,,,,,,,,,,,,,,
29,PT09M51.00S,2026-04-05T19:44:37.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,2,2026-04-05T19:44:39Z,290000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,28.0,,,,,3.0,3.0,0.0,,,,,,,,,
30,PT09M39.00S,2026-04-05T19:44:50.0Z,1,REGULAR,2pt,Jump Shot,[],1630573,21.632720105124836,26.47058823529412,1610612738,6,2,2026-04-05T19:46:58Z,300000,False,118.0,151.0,1,left,MISS S. Hauser 19' pullup Shot,[1630573],1610612738.0,BOS,pullup,,,Hauser,S. Hauser,,,,,Mid-Range,16-24 Right Center,19.12,Missed,,,,,,,,,,,,,,,,,,
31,PT09M37.00S,2026-04-05T19:44:52.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,6,2,2026-04-05T19:44:57Z,310000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Mid-Range,16-24 Right Center,,,,30.0,,,,,,,,,,,,,,,,
32,PT09M37.00S,2026-04-05T19:44:59.0Z,1,REGULAR,foul,personal,[],1627751,,,1610612738,6,2,2026-04-05T19:45:05Z,320000,False,,,0,,J. Poeltl loose ball personal FOUL (1 PF),"[1627751, 1629674]",1610612761.0,TOR,loose ball,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202058.0,,,,,,,1.0,0.0,Queta,1629674.0,,
34,PT09M29.00S,2026-04-05T19:45:19.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629674,6.915243101182654,48.77450980392157,1610612738,8,2,2026-04-05T19:45:24Z,340000,False,6.0,13.0,1,left,N. Queta cutting Layup (6 PTS) (D. White 2 AST),"[1629674, 1628401]",1610612738.0,BOS,cutting,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,1.39,Made,6.0,,,,,,,,,D. White,1628401.0,2.0,,,,,,
36,PT09M11.00S,2026-04-05T19:45:37.8Z,1,REGULAR,turnover,lost ball,[],1629628,,,1610612761,8,2,2026-04-05T19:45:41Z,360000,False,,,0,,R. Barrett lost ball TURNOVER (1 TO),"[1629628, 1628369]",1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Left,,,,,1.0,Tatum,1628369.0,,,,,,,,,,,,,
37,PT09M11.00S,2026-04-05T19:45:37.8Z,1,REGULAR,steal,,[],1628369,,,1610612738,8,2,2026-04-05T19:45:39Z,370000,False,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
38,PT09M08.00S,2026-04-05T19:45:41.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628401,4.681340341655716,51.470588235294116,1610612738,10,2,2026-04-05T19:46:10Z,380000,False,-7.0,-8.0,1,left,D. White running Layup (2 PTS) (J. Tatum 1 AST),"[1628401, 1628369]",1610612738.0,BOS,running,,,White,D. White,,,,,Restricted Area,0-8 Center,1.13,Made,2.0,,,,,,,,,J. Tatum,1628369.0,1.0,,,,,,
40,PT09M08.00S,2026-04-05T19:45:46.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,10,2,2026-04-05T19:45:46Z,400000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M47.00S,2026-04-05T19:48:58.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.11760840998686,50.0,1610612761,10,4,2026-04-05T19:49:06Z,410000,False,0.0,12.0,1,right,J. Poeltl cutting Layup (4 PTS) (S. Barnes 1 AST),"[1627751, 1630567]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.22,Made,4.0,,,,,,,,,S. Barnes,1630567.0,1.0,,,,,,
43,PT08M32.00S,2026-04-05T19:49:12.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,5.601182654402102,56.127450980392155,1610612738,12,4,2026-04-05T19:49:18Z,430000,False,-31.0,0.0,1,left,J. Tatum driving Layup (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,3.06,Made,2.0,,,,,,,,,,,,,,,,,
44,PT08M14.00S,2026-04-05T19:49:30.7Z,1,REGULAR,3pt,Jump Shot,[],1642266,72.22404730617609,79.90196078431373,1610612761,12,7,2026-04-05T19:49:35Z,440000,False,150.0,209.0,1,right,J. Walter 25' 3PT  (3 PTS) (S. Barnes 2 AST),"[1642266, 1630567]",1610612761.0,TOR,,,,Walter,J. Walter,,,,,Above the Break 3,24+ Right Center,25.66,Made,3.0,,,,,,,,,S. Barnes,1630567.0,2.0,,,,,,
48,PT08M02.00S,2026-04-05T19:50:41.4Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612738,12,7,2026-04-05T19:55:05Z,455000,False,,,0,,Jump Ball J. Walter vs. J. Tatum: Tip to S. Barnes,"[1630567, 1642266, 1628369]",1610612761.0,TOR,heldball,S. Barnes,1630567.0,Barnes,S. Barnes,Walter,1642266.0,Tatum,1628369.0,,,,,,,,,,,,,,,,,,,,,,
46,PT08M02.00S,2026-04-05T19:50:46.0Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,12,7,2026-04-05T20:03:01Z,460000,False,,,0,,J. Tatum lost ball TURNOVER (1 TO),"[1628369, 1642266]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,1.0,Walter,1642266.0,,,,,,,,,,,,,
47,PT08M02.00S,2026-04-05T19:50:46.0Z,1,REGULAR,steal,,[],1642266,,,1610612761,12,7,2026-04-05T19:49:52Z,470000,False,,,0,,J. Walter STEAL (1 STL),[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
51,PT07M50.00S,2026-04-05T19:50:51.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627742,92.59198423127464,54.41176470588235,1610612761,12,9,2026-04-05T19:50:58Z,510000,False,22.0,17.0,1,right,B. Ingram driving Layup (2 PTS),[1627742],1610612761.0,TOR,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,2.79,Made,2.0,,,,,,,,,,,,,,,,,
52,PT07M50.00S,2026-04-05T19:50:53.2Z,1,REGULAR,foul,personal,['1freethrow'],1629674,,,1610612761,12,9,2026-04-05T19:51:01Z,520000,False,,,0,,N. Queta shooting personal FOUL (1 PF) (Ingram 1 FT),"[1629674, 1627742]",1610612738.0,BOS,shooting,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,202007.0,,,,,,,1.0,0.0,Ingram,1627742.0,,
54,PT07M50.00S,2026-04-05T19:51:27.2Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1627742,,,1610612761,12,10,2026-04-05T19:51:27Z,540000,False,,,0,,B. Ingram Free Throw 1 of 1 (3 PTS),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
56,PT07M32.00S,2026-04-05T19:52:12.7Z,1,REGULAR,turnover,5-second-violation,['team'],0,,,1610612738,12,10,2026-04-05T19:52:37Z,560000,False,,,0,,BOS 5-second-violation Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,202007.0,,,,,,,,,,,,
57,PT07M21.00S,2026-04-05T19:52:27.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627742,87.72996057818659,48.529411764705884,1610612761,12,10,2026-04-05T19:53:04Z,570000,False,-7.0,63.0,1,right,MISS B. Ingram 6' fadeaway Shot,[1627742],1610612761.0,TOR,fadeaway,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,6.32,Missed,,,,,,,,,,,,,,,,,,
58,PT07M19.00S,2026-04-05T19:52:29.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,12,10,2026-04-05T19:52:29Z,580000,False,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,57.0,,,,,4.0,4.0,0.0,,,,,,,,,
59,PT07M12.00S,2026-04-05T19:52:36.4Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,12,10,2026-04-05T19:52:42Z,590000,False,,,0,,J. Tatum bad pass TURNOVER (2 TO),"[1628369, 1630567]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,2.0,Barnes,1630567.0,,,,,,,,,,,,,
60,PT07M12.00S,2026-04-05T19:52:36.4Z,1,REGULAR,steal,,[],1630567,,,1610612761,12,10,2026-04-05T19:52:38Z,600000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
61,PT07M09.00S,2026-04-05T19:52:40.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629628,93.11760840998686,48.03921568627451,1610612761,12,12,2026-04-05T19:54:55Z,610000,False,-10.0,12.0,1,right,R. Barrett running Layup (2 PTS) (B. Ingram 1 AST),"[1629628, 1627742]",1610612761.0,TOR,running,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,1.56,Made,2.0,,,,,,,,,B. Ingram,1627742.0,1.0,,,,,,
63,PT06M46.00S,2026-04-05T19:53:02.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,26.363337713534822,86.51960784313727,1610612738,15,12,2026-04-05T19:55:36Z,630000,False,-183.0,195.0,1,left,J. Tatum 26' 3PT pullup (5 PTS) (N. Queta 1 AST),"[1628369, 1629674]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,26.74,Made,5.0,,,,,,,,,N. Queta,1629674.0,1.0,,,,,,
65,PT06M29.00S,2026-04-05T19:53:19.1Z,1,REGULAR,3pt,Jump Shot,[],1630567,94.03745072273325,94.36274509803921,1610612761,15,12,2026-04-05T19:53:41Z,650000,False,222.0,4.0,1,right,MISS S. Barnes 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Right Corner 3,24+ Right,22.18,Missed,,,,,,,,,,,,,,,,,,
66,PT06M27.00S,2026-04-05T19:53:21.9Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,15,12,2026-04-05T19:53:21Z,660000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Right Corner 3,24+ Right,,,,65.0,,,,,1.0,1.0,0.0,,,,,,,,,
67,PT06M13.00S,2026-04-05T19:53:36.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,15.193823915900131,40.68627450980392,1610612738,15,12,2026-04-05T19:53:59Z,670000,False,47.0,90.0,1,left,MISS D. White 10' pullup Shot,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,10.16,Missed,,,,,,,,,,,,,,,,,,
68,PT06M10.00S,2026-04-05T19:53:39.7Z,1,REGULAR,rebound,offensive,[],1629674,,,1610612738,15,12,2026-04-05T19:53:50Z,680000,False,,,0,,N. Queta REBOUND (Off:1 Def:0),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),8-16 Center,,,,67.0,,,,,1.0,0.0,1.0,,,,,,,,,
69,PT06M09.00S,2026-04-05T19:53:39.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629674,5.995400788436268,47.549019607843135,1610612738,17,12,2026-04-05T19:53:53Z,690000,False,12.0,4.0,1,left,N. Queta putback Layup (8 PTS),[1629674],1610612738.0,BOS,putback,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,1.29,Made,8.0,,,,,,,,,,,,,,,,,
70,PT05M55.00S,2026-04-05T19:53:54.1Z,1,REGULAR,3pt,Jump Shot,[],1629628,72.88107752956637,84.55882352941177,1610612761,17,12,2026-04-05T19:54:02Z,700000,False,173.0,202.0,1,right,MISS R. Barrett 26' 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,26.61,Missed,,,,,,,,,,,,,,,,,,
71,PT05M50.00S,2026-04-05T19:53:59.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,17,12,2026-04-05T20:05:15Z,710000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,70.0,,,,,1.0,1.0,0.0,,,,,,,,,
72,PT05M44.00S,2026-04-05T19:54:04.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,4.418528252299605,54.41176470588235,1610612738,19,12,2026-04-05T19:54:13Z,720000,False,-22.0,-11.0,1,left,J. Brown running Layup (4 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.47,Made,4.0,,,,,,,,,,,,,,,,,
73,PT05M28.00S,2026-04-05T19:54:20.2Z,1,REGULAR,3pt,Jump Shot,[],1642266,74.45795006570303,11.27450980392157,1610612761,19,15,2026-04-05T19:54:30Z,730000,False,-194.0,188.0,1,right,J. Walter 26' 3PT  (6 PTS) (B. Ingram 2 AST),"[1642266, 1627742]",1610612761.0,TOR,,,,Walter,J. Walter,,,,,Above the Break 3,24+ Left Center,26.96,Made,6.0,,,,,,,,,B. Ingram,1627742.0,2.0,,,,,,
75,PT05M18.00S,2026-04-05T19:54:32.7Z,1,REGULAR,foul,personal,[],1630567,,,1610612738,19,15,2026-04-05T19:54:43Z,750000,False,,,0,,S. Barnes take personal FOUL (1 PF),"[1630567, 1627759]",1610612761.0,TOR,take,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,,,203054.0,,,,,,,1.0,0.0,Brown,1627759.0,,
77,PT05M18.00S,2026-04-05T19:54:45.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,19,15,2026-04-05T19:55:03Z,770000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M18.00S,2026-04-05T19:54:45.2Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,19,15,2026-04-05T19:55:03Z,780000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M18.00S,2026-04-05T19:54:45.2Z,1,REGULAR,substitution,out,[],1630573,,,1610612738,19,15,2026-04-05T19:55:03Z,790000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M18.00S,2026-04-05T19:54:45.2Z,1,REGULAR,substitution,out,[],1630567,,,1610612738,19,15,2026-04-05T19:55:03Z,800000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M18.00S,2026-04-05T19:54:45.2Z,1,REGULAR,substitution,out,[],1642266,,,1610612738,19,15,2026-04-05T19:55:03Z,810000,False,,,0,,SUB out: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M18.00S,2026-04-05T19:54:45.2Z,1,REGULAR,substitution,in,[],1631248,,,1610612738,19,15,2026-04-05T19:55:03Z,820000,False,,,0,,SUB in: B. Scheierman,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M18.00S,2026-04-05T19:54:45.2Z,1,REGULAR,substitution,in,[],1641775,,,1610612738,19,15,2026-04-05T19:55:03Z,830000,False,,,0,,SUB in: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M18.00S,2026-04-05T19:54:45.2Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,19,15,2026-04-05T19:55:03Z,840000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M18.00S,2026-04-05T19:54:45.2Z,1,REGULAR,substitution,in,[],1642347,,,1610612738,19,15,2026-04-05T19:55:03Z,850000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M18.00S,2026-04-05T19:54:45.2Z,1,REGULAR,substitution,in,[],1642867,,,1610612738,19,15,2026-04-05T19:55:03Z,860000,False,,,0,,SUB in: C. Murray-Boyles,[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M08.00S,2026-04-05T19:55:09.5Z,1,REGULAR,3pt,Jump Shot,[],1631248,8.754927726675426,95.58823529411765,1610612738,22,15,2026-04-05T19:55:13Z,870000,False,-228.0,30.0,1,left,B. Scheierman 3PT  (3 PTS) (J. Brown 2 AST),"[1631248, 1627759]",1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Left Corner 3,24+ Left,22.98,Made,3.0,,,,,,,,,J. Brown,1627759.0,2.0,,,,,,
