actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
20,PT10M46.00S,2022-04-02T00:12:50.0Z,1,REGULAR,foul,personal,['2freethrow'],1627745,,,1610612745,3,7,2022-04-02T00:12:57Z,200000,,,0,,D. Jones shooting personal FOUL (2 PF) (Tate 2 FT),"[1627745, 1630256]",1610612758.0,SAC,shooting,,,Jones,D. Jones,,,,,,,,,,,,,,,201245.0,2.0,0.0,Tate,1630256.0,,,,,
22,PT10M46.00S,2022-04-02T00:13:10.8Z,1,REGULAR,foul,technical,['1freethrow'],1243,,,1610612745,3,7,2022-04-02T00:16:16Z,220000,,,0,,TEAM foul technical,[1243],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,201245.0,,,,,,,,,
23,PT10M46.00S,2022-04-02T00:13:24.7Z,1,REGULAR,freethrow,1 of 1,[],1630224,,,1610612745,4,7,2022-04-02T00:13:24Z,230000,,,0,,J. Green technical Free Throw 1 of 1 (1 PTS),[1630224],1610612745.0,HOU,technical,,,Green,J. Green,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
24,PT10M46.00S,2022-04-02T00:13:49.5Z,1,REGULAR,freethrow,1 of 2,[],1630256,,,1610612745,5,7,2022-04-02T00:13:49Z,240000,,,0,,J. Tate Free Throw 1 of 2 (4 PTS),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
25,PT10M46.00S,2022-04-02T00:14:03.8Z,1,REGULAR,freethrow,2 of 2,[],1630256,,,1610612745,6,7,2022-04-02T00:14:03Z,250000,,,0,,J. Tate Free Throw 2 of 2 (5 PTS),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
26,PT10M32.00S,2022-04-02T00:14:22.4Z,1,REGULAR,foul,personal,[],1630224,,,1610612758,6,7,2022-04-02T00:14:25Z,260000,,,0,,J. Green personal FOUL (1 PF),"[1630224, 1627745]",1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,1193.0,1.0,0.0,Jones,1627745.0,,,,,
29,PT10M25.00S,2022-04-02T00:14:48.5Z,1,REGULAR,3pt,Jump Shot,[],1630558,33.85348226018397,45.83333333333333,1610612758,6,7,2022-04-02T00:14:55Z,280000,21.0,266.0,1,left,MISS D. Mitchell 26' step back 3PT,[1630558],1610612758.0,SAC,step back,,,Mitchell,D. Mitchell,,,,,26.65,Missed,,,,,,,,,,,,,,,,,,
30,PT10M22.00S,2022-04-02T00:14:51.5Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,6,7,2022-04-02T00:14:55Z,290000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
31,PT10M12.00S,2022-04-02T00:15:01.5Z,1,REGULAR,3pt,Jump Shot,[],1629645,66.5735873850197,50.0,1610612745,6,7,2022-04-02T00:15:11Z,300000,0.0,262.0,1,right,MISS K. Porter Jr. 26' pullup 3PT,[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,26.17,Missed,,,,,,,,,,,,,,,,,,
32,PT10M09.00S,2022-04-02T00:15:04.5Z,1,REGULAR,rebound,offensive,[],1630586,,,1610612745,6,7,2022-04-02T00:20:43Z,310000,,,0,,U. Garuba REBOUND (Off:2 Def:0),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,31.0,2.0,0.0,2.0,,,,,,,,,,,,,
33,PT10M04.00S,2022-04-02T00:15:09.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630224,94.56307490144546,96.81372549019608,1610612745,6,7,2022-04-02T00:15:16Z,320000,234.0,-1.0,1,right,MISS J. Green 3PT,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,
34,PT10M01.00S,2022-04-02T00:15:12.5Z,1,REGULAR,rebound,defensive,[],1627745,,,1610612758,6,7,2022-04-02T00:15:16Z,330000,,,0,,D. Jones REBOUND (Off:0 Def:1),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,
35,PT09M50.00S,2022-04-02T00:15:26.5Z,1,REGULAR,foul,personal,[],1629726,,,1610612758,6,7,2022-04-02T00:15:35Z,340000,,,0,,G. Mathews personal FOUL (1 PF),"[1629726, 1626168]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,204059.0,1.0,0.0,Lyles,1626168.0,,,,,
37,PT09M50.00S,2022-04-02T00:15:37.2Z,1,REGULAR,substitution,out,[],1627745,,,1610612758,6,7,2022-04-02T00:15:44Z,360000,,,0,,SUB out: D. Jones,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M50.00S,2022-04-02T00:15:37.2Z,1,REGULAR,substitution,in,[],1629002,,,1610612758,6,7,2022-04-02T00:15:44Z,370000,,,0,,SUB in: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,
39,PT09M46.00S,2022-04-02T00:15:56.1Z,1,REGULAR,foul,personal,['2freethrow'],1630224,,,1610612758,6,7,2022-04-02T00:16:07Z,380000,,,0,,J. Green shooting personal FOUL (2 PF) (Lyles 2 FT),"[1630224, 1626168]",1610612745.0,HOU,shooting,,,Green,J. Green,,,,,,,,,,,,,,,1193.0,2.0,0.0,Lyles,1626168.0,,,,,
41,PT09M46.00S,2022-04-02T00:16:20.7Z,1,REGULAR,freethrow,1 of 2,[],1626168,,,1610612758,6,7,2022-04-02T00:16:24Z,400000,,,0,,MISS T. Lyles Free Throw 1 of 2,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,Missed,,,,,,,,,,,,,,,,,,
42,PT09M46.00S,2022-04-02T00:16:20.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,6,7,2022-04-02T00:16:24Z,410000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,
43,PT09M46.00S,2022-04-02T00:16:40.5Z,1,REGULAR,freethrow,2 of 2,[],1626168,,,1610612758,6,8,2022-04-02T00:16:40Z,420000,,,0,,T. Lyles Free Throw 2 of 2 (1 PTS),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
44,PT09M39.00S,2022-04-02T00:16:50.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,89.17542706964521,58.82352941176471,1610612745,6,8,2022-04-02T00:16:56Z,430000,44.0,49.0,1,right,MISS K. Porter Jr. 6' driving Layup - blocked,"[1629645, 1630558]",1610612745.0,HOU,driving,,,Porter Jr.,K. Porter Jr.,,,,,6.61,Missed,,,,,,,,,,,,,,,,,Mitchell,1630558.0
45,PT09M39.00S,2022-04-02T00:16:50.9Z,1,REGULAR,block,,[],1630558,,,1610612745,6,8,2022-04-02T00:16:53Z,440000,,,0,,D. Mitchell BLOCK (1 BLK),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
46,PT09M39.00S,2022-04-02T00:16:50.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,6,8,2022-04-02T00:16:56Z,450000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,
47,PT09M39.00S,2022-04-02T00:16:55.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,6,8,2022-04-02T00:16:55Z,460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT09M28.00S,2022-04-02T00:17:07.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626168,16.245072273324574,48.28431372549019,1610612758,6,8,2022-04-02T00:17:12Z,470000,9.0,100.0,1,left,MISS T. Lyles 10' Hook,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,10.06,Missed,,,,,,,,,,,,,,,,,,
49,PT09M26.00S,2022-04-02T00:17:09.6Z,1,REGULAR,rebound,defensive,[],1630586,,,1610612745,6,8,2022-04-02T00:17:12Z,480000,,,0,,U. Garuba REBOUND (Off:2 Def:1),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,48.0,3.0,1.0,2.0,,,,,,,,,,,,,
50,PT09M14.00S,2022-04-02T00:17:22.0Z,1,REGULAR,3pt,Jump Shot,[],1629726,65.1281208935611,50.0,1610612745,9,8,2022-04-02T00:17:26Z,490000,0.0,275.0,1,right,G. Mathews 27' 3PT  (3 PTS) (K. Porter Jr. 2 AST),"[1629726, 1629645]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,27.53,Made,3.0,,,,,K. Porter Jr.,1629645.0,2.0,,,,,,,,,,
52,PT09M03.00S,2022-04-02T00:17:32.8Z,1,REGULAR,3pt,Jump Shot,[],1630558,27.808804204993432,78.43137254901961,1610612758,9,8,2022-04-02T00:17:38Z,510000,-142.0,209.0,1,left,MISS D. Mitchell 25' step back 3PT,[1630558],1610612758.0,SAC,step back,,,Mitchell,D. Mitchell,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,
53,PT09M01.00S,2022-04-02T00:17:34.8Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,9,8,2022-04-02T00:17:38Z,520000,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,,,,,,
54,PT08M54.00S,2022-04-02T00:17:41.8Z,1,REGULAR,2pt,Jump Shot,[],1630224,73.66951379763469,52.94117647058824,1610612745,11,8,2022-04-02T00:23:47Z,530000,15.0,195.0,1,right,J. Green 19' step back Jump Shot (3 PTS),[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,19.56,Made,3.0,,,,,,,,,,,,,,,,,
55,PT08M32.00S,2022-04-02T00:18:03.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,6.783837056504599,48.529411764705884,1610612758,11,10,2022-04-02T00:18:09Z,540000,7.0,11.0,1,left,H. Barnes cutting finger roll Layup (7 PTS) (T. Lyles 1 AST),"[203084, 1626168]",1610612758.0,SAC,cutting finger roll,,,Barnes,H. Barnes,,,,,1.35,Made,7.0,,,,,T. Lyles,1626168.0,1.0,,,,,,,,,,
57,PT08M16.00S,2022-04-02T00:18:20.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629645,93.64323258869908,48.77450980392157,1610612745,13,10,2022-04-02T00:18:24Z,560000,-6.0,7.0,1,right,K. Porter Jr. driving DUNK (2 PTS) (U. Garuba 1 AST),"[1629645, 1630586]",1610612745.0,HOU,driving,,,Porter Jr.,K. Porter Jr.,,,,,0.95,Made,2.0,,,,,U. Garuba,1630586.0,1.0,,,,,,,,,,
59,PT08M03.00S,2022-04-02T00:18:32.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630558,10.85742444152431,49.01960784313725,1610612758,13,10,2022-04-02T00:18:39Z,580000,5.0,50.0,1,left,MISS D. Mitchell driving floating Shot,[1630558],1610612758.0,SAC,driving floating,,,Mitchell,D. Mitchell,,,,,4.98,Missed,,,,,,,,,,,,,,,,,,
60,PT08M01.00S,2022-04-02T00:18:34.9Z,1,REGULAR,rebound,defensive,[],1630586,,,1610612745,13,10,2022-04-02T00:18:52Z,590000,,,0,,U. Garuba REBOUND (Off:2 Def:2),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,59.0,4.0,2.0,2.0,,,,,,,,,,,,,
61,PT07M54.00S,2022-04-02T00:18:41.1Z,1,REGULAR,3pt,Jump Shot,[],1629726,73.01248357424441,17.892156862745097,1610612745,16,10,2022-04-02T00:18:46Z,600000,-161.0,201.0,1,right,G. Mathews 25' 3PT  (6 PTS) (J. Tate 1 AST),"[1629726, 1630256]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,25.74,Made,6.0,,,,,J. Tate,1630256.0,1.0,,,,,,,,,,
63,PT07M39.00S,2022-04-02T00:18:57.0Z,1,REGULAR,2pt,Jump Shot,[],1626168,12.220762155059134,31.349571078431367,1610612758,16,10,2022-04-02T00:25:03Z,620000,93.0,62.0,1,left,MISS T. Lyles 11' turnaround fadeaway Shot,[1626168],1610612758.0,SAC,turnaround fadeaway,,,Lyles,T. Lyles,,,,,11.22,Missed,,,,,,,,,,,,,,,,,,
64,PT07M37.00S,2022-04-02T00:18:59.0Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,16,10,2022-04-02T00:19:03Z,630000,,,0,,J. Green REBOUND (Off:0 Def:3),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,63.0,3.0,3.0,0.0,,,,,,,,,,,,,
65,PT07M26.00S,2022-04-02T00:19:09.5Z,1,REGULAR,3pt,Jump Shot,[],1630224,71.69842312746385,16.911764705882355,1610612745,19,10,2022-04-02T00:19:15Z,640000,-165.0,214.0,1,right,J. Green 27' 3PT  (6 PTS) (J. Tate 2 AST),"[1630224, 1630256]",1610612745.0,HOU,,,,Green,J. Green,,,,,27.01,Made,6.0,,,,,J. Tate,1630256.0,2.0,,,,,,,,,,
67,PT07M19.00S,2022-04-02T00:19:21.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,19,10,2022-04-02T00:19:21Z,660000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M06.00S,2022-04-02T00:22:32.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,6.652431011826544,49.754901960784316,1610612758,19,12,2022-04-02T00:22:36Z,670000,1.0,10.0,1,left,H. Barnes driving Layup (9 PTS),[203084],1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,1.01,Made,9.0,,,,,,,,,,,,,,,,,
69,PT06M49.00S,2022-04-02T00:22:49.1Z,1,REGULAR,3pt,Jump Shot,[],1629645,71.82982917214193,79.65686274509804,1610612745,19,12,2022-04-02T00:22:54Z,680000,148.0,212.0,1,right,MISS K. Porter Jr. 25' step back 3PT,[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,
70,PT06M46.00S,2022-04-02T00:22:52.1Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,19,12,2022-04-02T00:22:54Z,690000,,,0,,C. Metu REBOUND (Off:0 Def:1),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,69.0,1.0,1.0,0.0,,,,,,,,,,,,,
71,PT06M32.00S,2022-04-02T00:23:08.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,7.227332457293031,36.74172794117647,1610612758,19,12,2022-04-02T00:26:12Z,700000,66.0,15.0,1,left,MISS H. Barnes 6' driving floating Shot,[203084],1610612758.0,SAC,driving floating,,,Barnes,H. Barnes,,,,,6.81,Missed,,,,,,,,,,,,,,,,,,
72,PT06M31.00S,2022-04-02T00:23:09.4Z,1,REGULAR,rebound,defensive,[],1630586,,,1610612745,19,12,2022-04-02T00:23:55Z,710000,,,0,,U. Garuba REBOUND (Off:2 Def:3),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,71.0,5.0,3.0,2.0,,,,,,,,,,,,,
73,PT06M22.00S,2022-04-02T00:23:16.3Z,1,REGULAR,3pt,Jump Shot,[],1629726,67.7562417871222,68.13725490196079,1610612745,22,12,2022-04-02T00:23:59Z,720000,91.0,251.0,1,right,G. Mathews 26' 3PT pullup (9 PTS),[1629726],1610612745.0,HOU,pullup,,,Mathews,G. Mathews,,,,,26.65,Made,9.0,,,,,,,,,,,,,,,,,
74,PT06M08.00S,2022-04-02T00:23:33.6Z,1,REGULAR,foul,offensive,[],203084,,,1610612758,22,12,2022-04-02T00:27:01Z,730000,,,0,,H. Barnes charge offensive FOUL (1 PF),"[203084, 1630224]",1610612758.0,SAC,charge,,,Barnes,H. Barnes,,,,,,,,,,,,,,,201245.0,1.0,0.0,Green,1630224.0,,,,,
76,PT06M08.00S,2022-04-02T00:23:33.6Z,1,REGULAR,turnover,offensive foul,[],203084,,,1610612758,22,12,2022-04-02T00:23:33Z,750000,,,0,,H. Barnes offensive foul TURNOVER (1 TO),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,201245.0,,,,,1.0,,,,
77,PT06M01.00S,2022-04-02T00:23:55.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630224,92.85479632063075,47.05882352941176,1610612745,24,12,2022-04-02T00:24:06Z,760000,-15.0,15.0,1,right,J. Green driving DUNK (8 PTS) (K. Porter Jr. 3 AST),"[1630224, 1629645]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,2.08,Made,8.0,,,,,K. Porter Jr.,1629645.0,3.0,,,,,,,,,,
78,PT05M44.00S,2022-04-02T00:24:11.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,9.59264126149803,37.47702205882353,1610612758,24,12,2022-04-02T00:28:32Z,770000,63.0,38.0,1,left,MISS H. Barnes 7' turnaround fadeaway bank Shot,[203084],1610612758.0,SAC,turnaround fadeaway bank,,,Barnes,H. Barnes,,,,,7.31,Missed,,,,,,,,,,,,,,,,,,
79,PT05M42.00S,2022-04-02T00:24:13.4Z,1,REGULAR,rebound,defensive,[],1630586,,,1610612745,24,12,2022-04-02T00:24:18Z,780000,,,0,,U. Garuba REBOUND (Off:2 Def:4),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,78.0,6.0,4.0,2.0,,,,,,,,,,,,,
80,PT05M38.00S,2022-04-02T00:24:24.3Z,1,REGULAR,foul,personal,[],1629002,,,1610612745,24,12,2022-04-02T00:24:37Z,790000,,,0,,C. Metu personal FOUL (1 PF),"[1629002, 1630224]",1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,1193.0,1.0,0.0,Green,1630224.0,,,,,
83,PT05M31.00S,2022-04-02T00:25:03.8Z,1,REGULAR,3pt,Jump Shot,[],1629726,68.80749014454665,70.83333333333334,1610612745,24,12,2022-04-02T00:25:11Z,810000,104.0,241.0,1,right,MISS G. Mathews 26' 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,26.23,Missed,,,,,,,,,,,,,,,,,,
84,PT05M29.00S,2022-04-02T00:25:05.8Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,24,12,2022-04-02T00:25:11Z,820000,,,0,,C. Metu REBOUND (Off:0 Def:2),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,83.0,2.0,2.0,0.0,,,,,,,,,,,,,
85,PT05M13.00S,2022-04-02T00:25:21.6Z,1,REGULAR,3pt,Jump Shot,[],203200,29.122864651773984,72.05882352941177,1610612758,24,12,2022-04-02T00:25:26Z,830000,-110.0,221.0,1,left,MISS J. Holiday 24' 3PT,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,24.73,Missed,,,,,,,,,,,,,,,,,,
86,PT05M13.00S,2022-04-02T00:25:21.6Z,1,REGULAR,rebound,defensive,[],1630586,,,1610612745,24,12,2022-04-02T00:25:26Z,840000,,,0,,U. Garuba REBOUND (Off:2 Def:5),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,85.0,7.0,5.0,2.0,,,,,,,,,,,,,
87,PT05M06.00S,2022-04-02T00:25:32.0Z,1,REGULAR,foul,personal,['2freethrow'],203200,,,1610612745,24,12,2022-04-02T00:25:38Z,850000,,,0,,J. Holiday shooting personal FOUL (1 PF) (Tate 2 FT),"[203200, 1630256]",1610612758.0,SAC,shooting,,,Holiday,J. Holiday,,,,,,,,,,,,,,,201245.0,1.0,0.0,Tate,1630256.0,,,,,
89,PT05M06.00S,2022-04-02T00:25:55.1Z,1,REGULAR,freethrow,1 of 2,[],1630256,,,1610612745,24,12,2022-04-02T00:25:55Z,870000,,,0,,MISS J. Tate Free Throw 1 of 2,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,Missed,,,,,,,,,,,,,,,,,,
90,PT05M06.00S,2022-04-02T00:25:55.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,24,12,2022-04-02T00:25:55Z,880000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,
91,PT05M06.00S,2022-04-02T00:25:56.1Z,1,REGULAR,substitution,out,[],203200,,,1610612745,24,12,2022-04-02T00:26:08Z,890000,,,0,,SUB out: J. Holiday,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M06.00S,2022-04-02T00:25:56.1Z,1,REGULAR,substitution,in,[],1628978,,,1610612745,24,12,2022-04-02T00:26:08Z,900000,,,0,,SUB in: D. DiVincenzo,[1628978],1610612758.0,SAC,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M06.00S,2022-04-02T00:26:12.3Z,1,REGULAR,freethrow,2 of 2,[],1630256,,,1610612745,25,12,2022-04-02T00:26:12Z,910000,,,0,,J. Tate Free Throw 2 of 2 (6 PTS),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
